Datenbanksysteme: Konzepte und Techniken der Implementierung,Theo Härder; Erhard Rahm,*,*,2001,306
Frameworks for entity matching: A comparison,Hanna Köpcke; Erhard Rahm,Abstract Entity matching is a crucial and difficult task for data integration. Entity matchingframeworks provide several methods and their combination to effectively solve differentmatch tasks. In this paper; we comparatively analyze 11 proposed frameworks for entitymatching. Our study considers both frameworks which do or do not utilize training data tosemi-automatically find an entity matching strategy to solve a given match task. Moreover;we consider support for blocking and the combination of different match algorithms. Wefurther study how the different frameworks have been evaluated. The study aims at exploringthe current state of the art in research prototypes of entity matching frameworks and theirevaluations. The proposed criteria should be helpful to identify promising frameworkapproaches and enable categorizing and comparatively assessing additional entity …,Data & Knowledge Engineering,2010,294,15
Matching large schemas: Approaches and evaluation,Hong-Hai Do; Erhard Rahm,Abstract Current schema matching approaches still have to improve for large and complexSchemas. The large search space increases the likelihood for false matches as well asexecution times. Further difficulties for Schema matching are posed by the high expressivepower and versatility of modern schema languages; in particular user-defined types andclasses; component reuse capabilities; and support for distributed schemas andnamespaces. To better assist the user in matching complex schemas; we have developed anew generic schema matching tool; COMA++; providing a library of individual matchers anda flexible infrastructure to combine the matchers and refine their results. Different matchstrategies can be applied including a new scalable approach to identify context-dependentcorrespondences between schemas with shared elements and a fragment-based match …,Information Systems,2007,269,2
Evaluation of entity resolution approaches on real-world match problems,Hanna Köpcke; Andreas Thor; Erhard Rahm,Abstract Despite the huge amount of recent research efforts on entity resolution (matching)there has not yet been a comparative evaluation on the relative effectiveness and efficiencyof alternate approaches. We therefore present such an evaluation of existingimplementations on challenging real-world match tasks. We consider approaches both withand without using machine learning to find suitable parameterization and combination ofsimilarity functions. In addition to approaches from the research community we also considera state-of-the-art commercial entity resolution implementation. Our results indicate significantquality and efficiency differences between different approaches. We also find that somechallenging resolution tasks such as matching product entities from online shops are notsufficiently solved with conventional approaches based on the similarity of attribute …,Proceedings of the VLDB Endowment,2010,226,6
Generic schema matching; ten years later,Philip A Bernstein; Jayant Madhavan; Erhard Rahm,ABSTRACT In a paper published in the 2001 VLDB Conference; we proposed treatinggeneric schema matching as an independent problem. We developed a taxonomy ofexisting techniques; a new schema matching algorithm; and an approach to comparativeevaluation. Since then; the field has grown into a major research topic. We briefly summarizethe new techniques that have been developed and applications of the techniques in thecommercial world. We conclude by discussing future trends and recommendations forfurther work.,Proceedings of the VLDB Endowment,2011,215,7
On matching schemas automatically,Erhard Rahm; Philip A Bernstein,Abstract Schema matching is a basic problem in many database application domains; suchas data integration; E-business; data warehousing; and semantic query processing. Incurrent implementations; schema matching is typically performed manually; which hassignificant limitations. On the other hand; in previous research many techniques have beenproposed to achieve a partial automation of the Match operation for specific applicationdomains. We present a taxonomy that covers many of the existing approaches; and wedescribe these approaches in some detail. In particular; we distinguish between schema-and instance-level; element-and structure-level; and language-and constraint-basedmatchers. Based on our classification we review some previous match implementationsthereby indicating which part of the solution space they cover. We intend our taxonomy …,Technical Report,2001,203,7
Multi-dimensional database allocation for parallel data warehouses,Thomas Stöhr; Holger Märtens; Erhard Rahm,Abstract Data allocation is a key performance factor for parallel database systems (PDBS).This holds especially for data warehousing environments where huge amounts of data andcomplex analytical queries have to be dealt with. While there are several studies on dataallocation for relational PDBS; the specific requirements of data warehouses have not yetbeen sufficiently addressed. In this study; we consider the allocation of relational datawarehouses based on a star schema and utilizing bitmap index structures. We investigatehow a multi-dimensional hierarchical data fragmentation of the fact table supports queriesreferencing different subsets of the schema dimensions. Our analysis is based on realisticparameters derived from a decision support benchmark. The performance implications ofdifferent allocation choices are evaluated by means of a detailed simulation model.,Proc. 26th Int. Conf. on Very Large Data Bases,2000,199,17
XMach-1: A benchmark for XML data management,Timo Böhme; Erhard Rahm,Abstract We propose a scaleable multi-user benchmark called XMach-1 (AML DataManagement benchmark) for evaluating the performance of XML data managementsystems. It is based on a web application and considers different types of XML data; inparticular text documents; schema-less data and structured data. We specify the structure ofthe benchmark database and the generation of its contents. Furthermore; we define a mix ofXML queries and update operations for which system performance is determined. Theprimary performance metric; Xqps; measures the query throughput of a system underresponse time constraints. We will use XMach-1 to evaluate both native XML datamanagement systems and XML-enabled relational DBMS.,*,2001,188,7
Matching Large XML Schemas,Erhard Rahm; H Do; S. Maßmann,Abstract Current schema matching approaches still have to improve for very large andcomplex schemas. Such schemas are increasingly written in the standard language W3CXML schema; especially in E-business applications. The high expressive power andversatility of this schema language; in particular its type system and support for distributedschemas and name-spaces; introduce new issues. In this paper; we study some of theimportant problems in matching such large XML schemas. We propose a fragment-orientedmatch approach to decompose a large match problem into several smaller ones and toreuse previous match results at the level of schema fragments.,SIGMOD Record,2004,172,15
Mehrrechner-Datenbanksysteme: Grundlagen der verteilten und parallelen Datenbankverarbeitung,Erhard Rahm,Traditionellerweise erfolgt die Datenbankverarbeitung zentralisiert; wobei die Datenbank aneinem Rechner gehalten und verwaltet wird. Zudem arbeiten üblicherweise Anwendungenund Transaktionen nur mit einer Datenbank. Dieser einfache Ansatz verliert jedochzunehmend an Bedeutung; da viele Anwendungsbereiche eine verteilte und paralleleDatenbankverarbeitung verlangen. Treibende Kräfte hierfür sind Forderungen nach hoherLeistungsfähigkeit und Verfügbarkeit; Verbesserung der Kosteneffektivität sowieUnterstützung dezentraler Organisationsstrukturen. Weiterhin muß Anwendungen häufig derintegrierte Zugriff auf mehrere unabhängige und heterogene Datenbanken ermöglichtwerden. Zur Erfüllung dieser Anforderungen eignen sich verschiedene Klassensogenannter Mehrrechner-Datenbanksysteme; bei denen Datenbanksysteme (DBS) auf …,*,1994,166,22
Towards large-scale schema and ontology matching,Erhard Rahm,Abstract The purely manual specification of semantic correspondences between schemas isalmost infeasible for very large schemas or when many different schemas have to bematched. Hence; solving such large-scale match tasks asks for automatic or semiautomaticschema matching approaches. Large-scale matching needs especially to be supported forXML schemas and different kinds of ontologies due to their increasing use and size; eg; in e-business and web and life science applications. Unfortunately; correctly and efficientlymatching large schemas and ontologies are very challenging; and most previous matchsystems have only addressed small match tasks. We provide an overview about recentlyproposed approaches to achieve high match quality or/and high efficiency for large-scalematching. In addition to describing some recent matchers utilizing instance and usage …,*,2011,164,20
Data warehouse scenarios for model management,Philip Bernstein; Erhard Rahm,Abstract Model management is a framework for supporting meta-data related applicationswhere models and mappings are manipulated as first class objects using operations such asMatch; Merge; ApplyFunction; and Compose. To demonstrate the approach; we show how touse model management in two scenarios related to loading data warehouses. The casestudy illustrates the value of model management as a methodology for approaching meta-data related problems. It also helps clarify the required semantics of key operations. Thesedetailed scenarios provide evidence that generic model management is useful and; verylikely; implementable.,Conceptual Modeling—ER 2000,2000,161,15
Load Balancing for MapReduce-based Entity Resolution,Lars Kolb; Andreas Thor; Erhard Rahm,The effectiveness and scalability of MapReduce-based implementations of complex data-intensive tasks depend on an even redistribution of data between map and reduce tasks. Inthe presence of skewed data; sophisticated redistribution approaches thus becomenecessary to achieve load balancing among all reduce tasks to be executed in parallel. Forthe complex problem of entity resolution; we propose and evaluate two approaches for suchskew handling and load balancing. The approaches support blocking techniques to reducethe search space of entity resolution; utilize a preprocessing MapReduce job to analyze thedata distribution; and distribute the entities of large blocks among multiple reduce tasks. Theevaluation on a real cloud infrastructure shows the value and effectiveness of the proposedload balancing approaches.,Proc. ICDE,2012,145,11
FUNC: a package for detecting significant associations between gene sets and ontological annotations,Kay Prüfer; Bjoern Muetzel; Hong-Hai Do; Gunter Weiss; Philipp Khaitovich; Erhard Rahm; Svante Pääbo; Michael Lachmann; Wolfgang Enard,Genome-wide expression; sequence and association studies typically yield large sets ofgene candidates; which must then be further analysed and interpreted. Information aboutthese genes is increasingly being captured and organized in ontologies; such as the GeneOntology. Relationships between the gene sets identified by experimental methods andbiological knowledge can be made explicit and used in the interpretation of results.However; it is often difficult to assess the statistical significance of such analyses since manyinter-dependent categories are tested simultaneously. We developed the program packageFUNC that includes and expands on currently available methods to identify significantassociations between gene sets and ontological annotations. Implemented are several testsin particular well suited for genome wide sequence comparisons; estimates of the family …,BMC Bioinformatics,2007,127,10
MediGRID: Towards a user friendly secured grid infrastructure,Dagmar Krefting; Julian Bart; Kamen Beronov; Olga Dzhimova; Jürgen Falkner; Michael Hartung; Andreas Hoheisel; Tobias A Knoch; Thomas Lingner; Yassene Mohammed; Kathrin Peter; Erhard Rahm; Ulrich Sax; Dietmar Sommerfeld; Thomas Steinke; Thomas Tolxdorff; Michal Vossberg; Fred Viezens; Anette Weisbecker,Abstract Many scenarios in medical research are predestined for grid computing. Largeamounts of data in complex medical image; biosignal and genome processing demandlarge computing power and data storage. Integration of distributed; heterogeneous data; egcorrelation between phenotype and genotype data are playing an essential part in lifesciences. Sharing of specialized software; data and processing results for collaborative workare further tasks which would strongly benefit from the use of grid infrastructures. However;two major barriers are identified in existing grid environments that prevent extensive usewithin the life sciences community: Extended security requirements and appropriateusability. To meet these requirements; the MediGRID project is enhancing the basic D-Gridinfrastructure along with the implementation of prototype applications from different fields …,Future Generation Computer Systems,2009,114,15
Supporting executable mappings in model management,Sergey Melnik; Philip A Bernstein; Alon Halevy; Erhard Rahm,Abstract Model management is an approach to simplify the programming of metadata-intensive applications. It offers developers powerful operators; such as Compose; Diff; andMerge; that are applied to models; such as database schemas or interface specifications;and to mappings between models. Prior model management solutions focused on a simpleclass of mappings that do not have executable semantics. Yet many metadata applicationsrequire that mappings be executable; expressed in SQL; XSLT; or other data transformationlanguages. In this paper; we develop a semantics for model-management operators thatallows applying the operators to executable mappings. Our semantics captures previously-proposed desiderata and is language-independent: the effect of the operators is expressedin terms of what they do to the instances of models and mappings. We describe an …,Proc.  2005 ACM SIGMOD Int. Conf. on Management of Data,2005,114,4
Dedoop: Efficient Deduplication with Hadoop,Lars Kolb; Andreas Thor; Erhard Rahm,Abstract We demonstrate a powerful and easy-to-use tool called Dedoop (< u> De</u>duplication with Ha< u> doop</u>) for MapReduce-based entity resolution (ER) of largedatasets. Dedoop supports a browser-based specification of complex ER workflowsincluding blocking and matching steps as well as the optional use of machine learning forthe automatic generation of match classifiers. Specified workflows are automaticallytranslated into MapReduce jobs for parallel execution on different Hadoop clusters. Toachieve high performance Dedoop supports several advanced load balancing strategies.,PVLDB,2012,111,7
Multi-pass sorted neighborhood blocking with MapReduce,Lars Kolb; Andreas Thor; Erhard Rahm,Abstract Cloud infrastructures enable the efficient parallel execution of data-intensive taskssuch as entity resolution on large datasets. We investigate challenges and possiblesolutions of using the MapReduce programming model for parallel entity resolution usingSorting Neighborhood blocking (SN). We propose and evaluate two efficient MapReduce-based implementations for single-and multi-pass SN that either use multiple MapReducejobs or apply a tailored data replication. We also propose an automatic data partitioningapproach for multi-pass SN to achieve load balancing. Our evaluation based on real-worlddatasets shows the high efficiency and effectiveness of the proposed approaches.,Computer Science-Research and Development,2012,105,5
Supporting Efficient Streaming and Insertion of XML Data in RDBMS.,Timo Böhme; Erhard Rahm,Abstract. Relational database systems are increasingly used to manage XML documents;especially for data-centric XML. In this paper we present a new approach to efficientlymanage document-centric XML data based on a generic relational mapping. Such a genericXML storage is especially useful in data integration systems to manage highly diverse XMLdocuments. We focus on efficient insert operations; support of streamed data and fastretrieval of document fragments. Therefore we introduce a new numbering scheme calledDLN (Dynamic Level Numbering) and several variants of it. A performance evaluation basedon a prototypical implementation demonstrates the high efficiency of DLN.,DIWeb,2004,102,4
Citation analysis of database publications,Erhard Rahm; Andreas Thor,Abstract We analyze citation frequencies for two main database conferences (SIGMOD;VLDB) and three database journals (TODS; VLDB Journal; Sigmod Record) over 10 years.The citation data is obtained by integrating and cleaning data from DBLP and GoogleScholar. Our analysis considers different comparative metrics per publication venue; inparticular the total and average number of citations as well as the impact factor which has sofar only been considered for journals. We also determine the most cited papers; authors;author institutions and their countries.,ACM Sigmod Record,2005,99,20
Dynamic multi-resource load balancing in parallel database systems,Erhard Rahm; Robert Marek,Abstract Parallel database systems have to support the effective parallelization of complexqueries in multi-user mode; ie in combination with inter-query/inter-transaction parallelism.For this purpose; dynamic scheduling and load balancing strategies are necessary thatconsider the current system state for determining the degree of intra-query parallelism andfor selecting the processors for executing subqueries. We study these issues for parallelhash join processing and show that the two subproblems should be addressed in anintegrated way. Even more importantly; however; is the use of a multiresource loadbalancing approach that considers all potential bottleneck resources; in particular memory;disk and CPU. We discuss basic performance tradeoffs to consider and evaluate theperformance of several load balancing strategies by means of a detailed simulation …,Proc. 22th Int. Conf. on Very Large Data Bases,1995,96,15
Quickmig: automatic schema matching for data migration projects,Christian Drumm; Matthias Schmitt; Hong-Hai Do; Erhard Rahm,Abstract A common task in many database applications is the migration of legacy data frommultiple sources into a new one. This requires identifying semantically related elements ofthe source and target systems and the creation of mapping expressions to transforminstances of those elements from the source format to the target format. Currently; datamigration is typically done manually; a tedious and timeconsuming process; which is difficultto scale to a high number of data sources. In this paper; we describe QuickMig; a new semi-automatic approach to determining semantic correspondences between schema elementsfor data migration applications. QuickMig advances the state of the art with a set of newtechniques exploiting sample instances; domain ontologies; and reuse of existing mappingsto detect not only element correspondences but also their mapping expressions …,Proc. 16th ACM CIKM (Conf. on Information and Knowledge Management),2007,95,1
Convergent validity of bibliometric Google Scholar data in the field of chemistry—Citation counts for papers that were accepted by Angewandte Chemie International...,Lutz Bornmann; Werner Marx; Hermann Schier; Erhard Rahm; Andreas Thor; Hans-Dieter Daniel,Abstract Examining a comprehensive set of papers (n= 1837) that were accepted forpublication by the journal Angewandte Chemie International Edition (one of the primechemistry journals in the world) or rejected by the journal but then published elsewhere; thisstudy tested the extent to which the use of the freely available database Google Scholar(GS) can be expected to yield valid citation counts in the field of chemistry. Analyses ofcitations for the set of papers returned by three fee-based databases–Science CitationIndex; Scopus; and Chemical Abstracts–were compared to the analysis of citations foundusing GS data. Whereas the analyses using citations returned by the three fee-baseddatabases show very similar results; the results of the analysis using GS citation datadiffered greatly from the findings using citations from the fee-based databases. Our study …,Journal of informetrics,2009,93,20
GOMMA: a component-based infrastructure for managing and analyzing life science ontologies and their evolution,Toralf Kirsten; Anika Gross; Michael Hartung; Erhard Rahm,Ontologies are increasingly used to structure and semantically describe entities of domains;such as genes and proteins in life sciences. Their increasing size and the high frequency ofupdates resulting in a large set of ontology versions necessitates efficient management andanalysis of this data. We present GOMMA; a generic infrastructure for managing andanalyzing life science ontologies and their evolution. GOMMA utilizes a generic repository touniformly and efficiently manage ontology versions and different kinds of mappings.Furthermore; it provides components for ontology matching; and determining evolutionaryontology changes. These components are used by analysis tools; such as the OntologyEvolution Explorer (OnEX) and the detection of unstable ontology regions. We introduce thecomponent-based infrastructure and show analysis results for selected components and …,Journal of Biomedical Semantics,2011,89,8
An Integrative and Uniform Model for Metadata Management in Data Warehousing Environments,T Stöhr; R Müller; E Rahm,Abstract Due to the increasing complexity of data warehouses; a centralized and declarativemanagement of metadata is essential for data warehouse administration; maintenance andusage. Metadata are usually divided into technical and semantic metadata. Typically; currentapproaches only support subsets of these metadata types; such as data movementmetadata or multidimensional metadata for OLAP. In particular; the interdependenciesbetween technical and semantic metadata have not yet been investigated sufficiently. Therepresentation of these interdependencies form an important prerequisite for the translationof queries formulated at the business concept level to executable queries on physical data.Therefore; we suggest a uniform and integrative model for data warehouse metadata. Thismodel uses a uniform representation approach based on the Uniform Modeling …,Proc. Int. Workshop on Design an Management of Fata Warehouses (DMDW’99). http://sunsite. informatik. rwth-aachen. de/Publications/CEUR-WS,1999,85,7
Instance Matching with COMA++.,Daniel Engmann; Sabine Massmann,Abstract: Schema matching is the process of identifying semantic correspondences betweenschemas. COMA++ is a matching prototype which uses several characteristics of schemas todetermine similarities between them; for example the names and data types of the schemaelements and structural information. In this paper we propose two instance-based matchersfor COMA++ to gain a further quality improvement. The features of the matchers and firstresults are described.,BTW workshops,2007,83,4
Empirical performance evaluation of concurrency and coherency control protocols for database sharing systems,Erhard Rahm,Abstract Database Sharing (DB-sharing) refers to a general approach for building adistributed high performance transaction system. The nodes of a DB-sharing system arelocally coupled via a high-speed interconnect and share a common database at the disklevel. This is also known as a “shared disk” approach. We compare database sharing withthe database partitioning (shared nothing) approach and discuss the functional DBMScomponents that require new and coordinated solutions for DB-sharing. The performance ofDB-sharing systems critically depends on the protocols used for concurrency and coherencycontrol. The frequency of communication required for these functions has to be kept as lowas possible in order to achieve high transation rates and short response times. A trace-driven simulation system for DB-sharing complexes has been developed that allows a …,ACM Transactions on Database Systems (TODS),1993,79,5
COnto–Diff: generation of complex evolution mappings for life science ontologies,Michael Hartung; Anika Groß; Erhard Rahm,Abstract Life science ontologies evolve frequently to meet new requirements or to betterreflect the current domain knowledge. The development and adaptation of large andcomplex ontologies is typically performed collaboratively by several curators. To effectivelymanage the evolution of ontologies it is essential to identify the difference (Diff) betweenontology versions. Such a Diff supports the synchronization of changes in collaborativecuration; the adaptation of dependent data such as annotations; and ontology versionmanagement. We propose a novel approach COnto–Diff to determine an expressive andinvertible diff evolution mapping between given versions of an ontology. Our approach firstmatches the ontology versions and determines an initial evolution mapping consisting ofbasic change operations (insert/update/delete). To semantically enrich the evolution …,Journal of biomedical informatics,2013,77,15
Dynamic load balancing in parallel database systems,Erhard Rahm,Abstract Dynamic load balancing is a prerequisite for effectively utilizing large paralleldatabase systems. Load balancing at different levels is required in particular for assigningtransactions and queries as well as subqueries to nodes. Special problems are posed by theneed to support both inter-transaction/query as well as intra-transaction/query parallelismdue to conflicting performance requirements. We compare the major architectures forparallel database systems; Shared Nothing and Shared Disk; with respect to their loadbalancing potential. For this purpose; we focus on parallel scan and join processing in multi-user mode. It turns out that both the degree of query parallelism as well as the processorallocation should be determined in a coordinated way and based on the current utilization ofcritical resource types; in particular CPU and memory.,European Conference on Parallel Processing,1996,76,8
An online bibliography on schema evolution,Erhard Rahm; Philip A Bernstein,Abstract We briefly motivate and present a new online bibliog- raphy on schema evolution; anarea which has recently gained much interest in both research and practice. 1 Introduction Schemaevolution is the ability to change deployed schemas; ie; metadata structures formally describingcomplex artifacts such as databases; messages; application programs or workflows. Typicalschemas thus include relational or object-oriented (OO) database schemas; conceptual ER orUML models; ontologies; XML schemas; software interfaces and workflow specifications.Obviously; the need for schema evolution occurs very often in order to deal with new or changedrequirements; to correct deficiencies in the current schemas or to migrate to a new platform. Effectivesupport for schema evolution is challeng- ing since schema changes may have to bepropagated; correctly and efficiently; to instance data; views; applica- tions and other …,ACM Sigmod Record,2006,75,1
MOMA-a mapping-based object matching system,Andreas Thor; Erhard Rahm,Object matching or object consolidation is a crucial task for data integration and datacleaning. It addresses the problem of identifying object instances in data sources referring tothe same real world entity. We propose a flexible framework called MOMA for mapping-based object matching. It allows the construction of match workflows combining the results ofseveral matcher algorithms on both attribute values and contextual information. The outputof a match task is an instance-level mapping that supports information fusion in P2P dataintegration systems and can be re-used for other match tasks. MOMA utilizes furthersemantic mappings of different cardinalities and provides merge and compose operators formapping combination. We propose and evaluate several strategies for both object matchingbetween different sources as well as for duplicate identification within a single data …,Proc. CIDR,2007,74,7
Evolution of the COMA Match System,Sabine Massmann; Salvatore Raunich; David Aumüller; Patrick Arnold; Erhard Rahm,Abstract. The schema and ontology matching systems COMA and COMA++ are widely usedin the community as a basis for comparison of new match approaches. We give an overviewof the evolution of COMA during the last decade. In particular we discuss lessons learned onstrong points and remaining weaknesses. Furthermore; we outline the design andfunctionality of the upcoming COMA 3.0.,Proc. ISWC workshop on Ontology Matching,2011,70,15
Analyzing the evolution of life science ontologies and mappings,Michael Hartung; Toralf Kirsten; Erhard Rahm,Abstract Ontologies are heavily developed and used in life sciences and undergocontinuous changes. However; the evolution of life science ontologies and references tothem (eg; annotations) is not well understood and has received little attention so far. Wetherefore propose a generic framework for analyzing both the evolution of ontologies andthe evolution of ontology-related mappings; in particular annotations referring to ontologiesand similarity (match) mappings between ontologies. We use our framework for an extensivecomparative evaluation of evolution measures for 16 life science ontologies. Moreover; weanalyze the evolution of annotation mappings and ontology mappings for the GeneOntology.,International Workshop on Data Integration in the Life Sciences,2008,70,7
Analysis of dynamic load balancing strategies for parallel shared nothing database systems,Erhard Rahm; Robert Marek,Abstract Parallel database systems have to support both inter-transaction as well as intra-transaction parallelism. Inter-transaction parallelism (multi-user mode) is required to achievehigh throughput; in particular for OL TP transactions; and sufficient cost-effectiveness. Intra-transaction parallelism is a prerequisite for reducing the response time of complex and data-intensive transactions (queries). In order to achieve both goals dynamic strategies for loadbalancing and scheduling are necessary which take the current system state into account forallocating transactions and subqueries to processors and for determining the degree of intra-transaction parallelism. We study the load balancing problem for parallel join processing inShared Nothing database systems. In these systems; join processing is typically based on adynamic redistribution of relations to join processors thus making dynamic load balancing …,Proc. 19th Int. Conf. on Very Large Data Bases,1993,69,4
Recent advances in schema and ontology evolution,Michael Hartung; James Terwilliger; Erhard Rahm,Abstract Schema evolution is the increasingly important ability to adapt deployed schemasto changing requirements. Effective support for schema evolution is challenging sinceschema changes may have to be propagated; correctly and efficiently; to instance data anddependent schemas; mappings; or applications. We introduce the major requirements foreffective schema and ontology evolution; including support for a rich set of changeoperations; simplicity of change specification; evolution transparency (eg; by providing andmaintaining views or schema versions); automated generation of evolution mappings; andpredictable instance migration that minimizes data loss and manual intervention. We thengive an overview about the current state of the art and recent research results for theevolution of relational schemas; XML schemas; and ontologies. For numerous …,*,2011,67,7
On metadata interoperability in data warehouses,Hong Hai Do; Erhard Rahm,Abstract. In current data warehouse environments there is either no or only insufficientsupport for a consistent and comprehensive metadata management. Typically; a multitude oflargely autonomous and heterogeneously organized repositories coexist. We categorize themajor metadata types and their interdependencies within a three-dimensional classificationapproach. We then investigate how interoperability and integration of metadata can beachieved based on a federated metadata architecture and standardization efforts such asOIM and CWM. In particular; we examine synchronization alternatives to keep replicatedmetadata consistent. We also give an overview of currently available commercialrepositories and discuss interoperability issues to couple data warehouses with informationportals.,Technischer Report,2000,64,15
