The TSIMMIS project: Integration of heterogenous information sources,Sudarshan Chawathe; Hector Garcia-Molina; Joachim Hammer; Kelly Ireland; Yannis Papakonstantinou; Jeffrey Ullman; Jennifer Widom,The goal of the Tsimmis Project is to develop tools that facilitate the rapid integration ofheterogeneous information sources that may include both structured and unstructured data.This paper gives an overview of the project; describing components that extract propertiesfrom unstructured objects; that translate information into a common object model; thatcombine information from several sources; that allow browsing of information; and thatmanage constraints across heterogeneous sites. Tsimmis is a joint project between Stanfordand the IBM Almaden Research Center. 1 Overview A common problem facing manyorganizations today is that of multiple; disparate information sources and repositories;including databases; object stores; knowledge bases; file systems; digital libraries;information retrieval systems; and electronic mail systems. Decision makers often need …,*,1994,1549,20
Challenges and Opportunities with big data 2011-1,Divyakant Agrawal; Philip Bernstein; Elisa Bertino; Susan Davidson; Umeshwas Dayal; Michael Franklin; Johannes Gehrke; Laura Haas; Alon Halevy; Jiawei Han; HV Jagadish; Alexandros Labrinidis; Sam Madden; Yannis Papakonstantinou; Jignesh Patel; Raghu Ramakrishnan; Kenneth Ross; Cyrus Shahabi; Dan Suciu; Shiv Vaithyanathan; Jennifer Widom,Abstract The promise of data-driven decision-making is now being recognized broadly; andthere is growing enthusiasm for the notion of``Big Data.''While the promise of Big Data is real--for example; it is estimated that Google alone contributed 54 billion dollars to the USeconomy in 2009--there is currently a wide gap between its potential and its realization.,*,2011,107,18
Incremental validation of XML documents,Andrey Balmin; Yannis Papakonstantinou; Victor Vianu,Abstract We investigate the incremental validation of XML documents with respect to DTDs;specialized DTDs; and XML Schemas; under updates consisting of element tag renamings;insertions; and deletions. DTDs are modeled as extended context-free grammars."Specialized DTDs" allow the decoupling of element types from element tags. XML Schemasare abstracted as specialized DTDs with limitations on the type assignment. For DTDs andXML Schemas; we exhibit an O (m log n) incremental validation algorithm using an auxiliarystructure of size O (n); where n is the size of the document and m the number of updates.The algorithm does not handle the incremental validation of XML Schema wrt renaming ofinternal nodes; which is handled by the specialized DTDs incremental validation algorithm.For specialized DTDs; we provide an O (m log 2 n) incremental algorithm; again using an …,ACM Transactions on Database Systems (TODS),2004,107,5
Algorithms and applications for answering ranked queries using ranked views,Vagelis Hristidis; Yannis Papakonstantinou,Abstract. Ranked queries return the top objects of a database according to a preferencefunction. We present and evaluate (experimentally and theoretically) a core algorithm thatanswers ranked queries in an efficient pipelined manner using materialized ranked views.We use and extend the core algorithm in the described PREFER and MERGE systems.PREFER precomputes a set of materialized views that provide guaranteed queryperformance. We present an algorithm that selects a near optimal set of views under spaceconstraints. We also describe multiple optimizations and implementation aspects of thedownloadable version of PREFER. Then we discuss MERGE; which operates at ametabroker and answers ranked queries by retrieving a minimal number of objects fromsources that offer ranked queries. A speculative version of the pipelining algorithm is …,The VLDB Journal,2004,106,10
Supporting top-k keyword search in xml databases,Liang Jeff Chen; Yannis Papakonstantinou,Keyword search is considered to be an effective information discovery method for bothstructured and semi-structured data. In XML keyword search; query semantics is based onthe concept of Lowest Common Ancestor (LCA). However; naive LCA-based semanticsleads to exponential computation and result size. In the literature; LCA-based semanticvariants (eg; ELCA and SLCA) were proposed; which define a subset of all the LCAs as theresults. While most existing work focuses on algorithmic efficiency; top-K processing for XMLkeyword search is an important issue that has received very little attention. Existingalgorithms focusing on efficiency are designed to optimize the semantic pruning and areincapable of supporting top-K processing. On the other hand; straightforward applications oftop-K techniques from other areas (eg; relational databases) generate LCAs that may not …,Data Engineering (ICDE); 2010 IEEE 26th International Conference on,2010,99,12
BBQ: A visual interface for integrated browsing and querying of XML,Kevin D Munroe; Yannis Papakonstantiou,Abstract In this paper we present BBQ (B lended B rowsing and Q uerying); a graphic userinterface for seamlessly browsing and querying XML data sources. BBQ displays thestructure of multiple data sources using a paradigm that resembles drilling-down inWindows' directory structures. BBQ allows queries incorporating one or more of the sources.Queries are constructed in a query-by-example (QBE) manner; where DTDs play the role ofschema. The queries are arbitrary conjunctive queries with GROUPBY; and their results canbe subsequently used and refined. To support query refinement; BBQ introduces virtualresult views: standalone virtual data sources that (i) are constructed by user queries; fromelements in other data sources; and (ii) can be used in subsequent queries as first-classdata sources themselves. Furthermore; BBQ allows users to query data sources with …,*,2000,98,10
Structured materialized views for XML queries,Andrei Arion; Véronique Benzaken; Ioana Manolescu; Yannis Papakonstantinou,Abstract The performance of XML database queries can be greatly enhanced by rewritingthem using materialized views. We study the problem of rewriting a query using materializedviews; where both the query and the views are described by a tree pattern language;appropriately extended to capture a large XQuery subset. The pattern language featuresoptional nodes and nesting; allowing to capture the data needs of nested XQueries. Thelanguage also allows describing storage features such as structural identifiers; whichenlarge the space of rewritings. We study pattern containment and equivalent rewritingunder the constraints expressed in a structural summary; whose enhanced form also entailsintegrity constraints. Our approach is implemented in the ULoad [7] prototype and wepresent a performance analysis.,Proceedings of the 33rd international conference on Very large data bases,2007,94,12
Incremental validation of XML documents,Yannis Papakonstantinou; Victor Vianu,Abstract We investigate the incremental validation of XML documents with respect to DTDsand XML Schemas; under updates consisting of element tag renamings; insertions anddeletions. DTDs are modeled as extended context-free grammars and XML Schemas areabstracted as “specialized DTDs”; allowing to decouple element types from element tags.For DTDs; we exhibit an O (m log n) incremental validation algorithm using an auxiliarystructure of size O (n); where n is the size of the document and m the number of updates. Forspecialized DTDs; we provide an O (m log 2 n) incremental algorithm; again using anauxiliary structure of size O (n). This is a significant improvement over brute-force re-validation from scratch.,International Conference on Database Theory,2003,84,12
The NEXT framework for logical XQuery optimization,Alin Deutsch; Yannis Papakonstantinou; Yu Xu,Abstract Classical logical optimization techniques rely on a logical semantics of the querylanguage. The adaptation of these techniques to XQuery is precluded by its definition as afunctional language with operational semantics. We introduce Nested XML Tableaux whichenable a logical foundation for XQuery semantics and provide the logical plan optimizationframework of our XQuery processor. As a proof of concept; we develop and evaluate aminimization algorithm for removing redundant navigation within and across nestedsubqueries. The rich XQuery features create key challenges that fundamentally extend theprior work on the problems of minimizing conjunctive and tree pattern queries.,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,83,12
Hypothetical queries in an olap environment,Andrey Balmin; Thanos Papadimitriou; Yannis Papakonstantinou,Abstract Analysts and decision makers use what if analysis to assess the effects of hypothetical scenarios. What if analysis is currently supported by spreadsheets and ad hoc OLAPtools. Unfortunately; the former lack seam less integration with the data and the lat ter lackflexibility and performance appropri ate for OLAP applications. To tackle these problems wedeveloped the Sesame system; which models an hypothetical scenario as a list ofhypothetical modifications on the ware house views and fact data. We provide formalscenario syntax and semantics; which extend view update semantics for accomodating thespecial requirements of OLAP. We focus on query algebra operators suitable for perform ingspreadsheet style computations. Then we present SesameVs optimizer and its corner stonesubstitution and rewriting mechanisms. Substitution enables lazy evaluation of the hy …,VLDB,2000,82,18
Authority-based keyword search in databases,Vagelis Hristidis; Heasoo Hwang; Yannis Papakonstantinou,Abstract Our system applies authority-based ranking to keyword search in databasesmodeled as labeled graphs. Three ranking factors are used: the relevance to the query; thespecificity and the importance of the result. All factors are handled using authority-flowtechniques that exploit the link-structure of the data graph; in contrast to traditionalInformation Retrieval. We address the performance challenges in computing the authorityflows in databases by using precomputation and exploiting the database schema if present.We conducted user surveys and performance experiments on multiple real and syntheticdatasets; to assess the semantic meaningfulness and performance of our system.,ACM Transactions on Database Systems (TODS),2008,81,12
Enhancing semistructured data mediators with document type definitions,Yannis Papakonstantinou; Pavel Velikhov,Mediation is an important application of XML. The MIX mediator uses Document TypeDefinitions (DTDs) to assist the user in query formulation and query processors in runningqueries more efficiently. We provide an algorithm for inferring the view DTD from the viewdefinition and the source DTDs. We develop a metric of the quality of the inferencealgorithm's view DTD by formalizing the notions of soundness and tightness. Intuitively;tightness is similar to precision; ie; it deteriorates when" many" objects described by the viewDTD can never appear as content of the view. In addition we show that DTDs have someinherent deficiencies that prevent the development of tight DTDs. We propose" DTDs withspecialization" as a way to resolve this problem.,Data Engineering; 1999. Proceedings.; 15th International Conference on,1999,78,10
The ADMS project: Views" R" us,Nick Roussopoulos; Chungmin M Chen; Stephen Kelley; Alex Delis; Yannis Papakonstantinou,Abstract The goal of the ADMS project is to create a framework for caching materializedviews; access paths; and experience obtained during query execution. The rationale behindthis project is to amortize database access cost over an extended time period and adaptexecution strategies based on experience. ADMS demonstrates the versatility of the viewsand their role in performance; data warehousing; management and control of datadistribution and replication.,*,1995,78,12
QURSED: querying and reporting semistructured data,Yannis Papakonstantinou; Michalis Petropoulos; Vasilis Vassalos,Abstract QURSED enables the development of web-based query forms and reports (QFRs)that query and report semistructured XML data; ie; data that are characterized by nesting;irregularities and structural variance. The query aspects of a QFR are captured by its queryset specification; which formally encodes multiple parameterized condition fragments andcan describe large numbers of queries. The run-time component of QURSED producesXQuery-compliant queries by synthesizing fragments from the query set specification thathave been activated during the interaction of the end-user with the QFR. The design-timecomponent of QURSED; called QURSED Editor; semi-automates the development of thequery set specification and its association with the visual components of the QFR bytranslating visual actions into appropriate query set specifications. We describe QURSED …,Proceedings of the 2002 ACM SIGMOD international conference on Management of data,2002,76,18
Navigation-driven evaluation of virtual mediated views,Bertram Ludäscher; Yannis Papakonstantinou; Pavel Velikhov,Abstract The MIX mediator systems incorporates a novel framework for navigation-drivenevaluation of virtual mediated views. Its architecture allows the on-demand computation ofviews and query results as the user navigates them. The evaluation scheme minimizessuperfluous source access through the use of lazy mediators that translate incoming clientnavigations on virtual XML views into navigations on lower level mediators or wrappedsources. The proposed demand-driven approach is inevitable for handling up-to-datemediated views of large Web sources or query results. The non-materialization of the queryanswer is transparent to the client application since clients can navigate the query answerusing a subset of the standard DOM API for XML documents. We elaborate on queryevaluation in such a framework and show how algebraic plans can be implemented as …,International Conference on Extending Database Technology,2000,76,12
Rewriting nested XML queries using nested views,Nicola Onose; Alin Deutsch; Yannis Papakonstantinou; Emiran Curtmola,Abstract We present and analyze an algorithm for equivalent rewriting of XQuery queriesusing XQuery views; which is complete for a large class of XQueries featuring nested FLWRblocks; XML construction and join equalities by value and identity. These features posesignificant challenges which lead to fundamental extension of prior work on the problems ofrewriting conjunctive and tree pattern queries. Our solution exploits the Nested XMLTableaux (NEXT) notation which enables a logical foundation for specifying XQuerysemantics. We present a tool which inputs XQuery queries and views and outputs anXQuery rewriting; thus being usable on top of any of the existing XQuery processingengines. Our experimental evaluation shows that the tool scales well for large numbers ofviews and complex queries.,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,75,5
