Efficient ticket routing by resolution sequence mining,Qihong Shao; Yi Chen; Shu Tao; Xifeng Yan; Nikos Anerousis,Abstract IT problem management calls for quick identification of resolvers to reportedproblems. The efficiency of this process highly depends on ticket routing---transferringproblem ticket among various expert groups in search of the right resolver to the ticket. Toachieve efficient ticket routing; wise decision needs to be made at each step of ticket transferto determine which expert group is likely to be; or to lead to the resolver. In this paper; weaddress the possibility of improving ticket routing efficiency by mining ticket resolutionsequences alone; without accessing ticket content. To demonstrate this possibility; a Markovmodel is developed to statistically capture the right decisions that have been made towardproblem resolution; where the order of the Markov model is carefully chosen according tothe conditional entropy obtained from ticket data. We also design a search algorithm …,Proceedings of the 14th ACM SIGKDD international conference on Knowledge discovery and data mining,2008,73,15
Designing and evaluating an XPath dialect for linguistic queries,Steven Bird; Yi Chen; Susan B Davidson; Haejoong Lee; Yifeng Zheng,Linguistic research and natural language processing employ large repositories of orderedtrees. XML; a standard ordered tree model; and XPath; its associated language; are naturalchoices for linguistic data and queries. However; several important expressive featuresrequired for linguistic queries are missing or hard to express in XPath. In this paper; wemotivate and illustrate these features with a variety of linguistic queries. Then we proposeextensions to XPath to support linguistic queries; and design an efficient query enginebased on a novel labeling scheme. Experiments demonstrate that our language is not onlysufficiently expressive for linguistic trees but also efficient for practical usage.,Data Engineering; 2006. ICDE'06. Proceedings of the 22nd International Conference on,2006,65,20
XKvalidator: a constraint validator for XML,Yi Chen; Susan B Davidson; Yifeng Zheng,Abstract The role of XML in data exchange is evolving from one of merely conveying thestructure of data to one that also conveys its semantics. In particular; several proposals forkey and foreign key constraints have recently appeared; and aspects of these proposalshave been adopted within XMLSchema. In this paper; we examine the problem of checkingkeys and foreign keys in XML documents using a validator based on SAX. The algorithmrelies on an indexing technique based on the paths found in key definitions; and can beused for checking the correctness of an entire document (bulk checking) as well as forchecking updates as they are made to the document (incremental checking). The asymptoticperformance of the algorithm is linear in the size of the document or update. Furthermore;experimental results demonstrate reasonable performance.,Proceedings of the eleventh international conference on Information and knowledge management,2002,65,0
Method; system and recording medium for maintaining the order of nodes in a heirarchical document,*,A method; a system and recording medium for maintaining the order of nodes in ahierarchical document. The method may select the maximum and the minimum number ofchildren for each node; build an auxiliary ordered tree having at least as many leaves asatoms within the hierarchical document based upon the selected maximum and minimumnumber of children for each node; attach the atoms to the leaves of the auxiliary orderedtree; and label each of the nodes in the auxiliary ordered tree.,*,2007,58,10
Extending XPath to support linguistic queries,Steven Bird; Yi Chen; Susan B Davidson; Haejoong Lee; Yifeng Zheng,Abstract Linguistic research and language technology development employ largerepositories of ordered trees. XML; a standard ordered tree model; and XPath; its associatedlanguage; are natural choices for linguistic data storage and queries. However; severalimportant expressive features required for linguistic queries are missing in XPath. In thispaper; we motivate and illustrate these features with a variety of linguistic queries. Then wedefine extensions to XPath which support linguistic tree queries; and describe an efficientquery engine based on a novel labeling scheme. Experiments demonstrate that ourlanguage is not only sufficiently expressive for linguistic trees but also efficient for practicalusage.,In Proceedings of Programming Language Technologies for XML (PLAN-X),2005,54,20
Generative models for ticket resolution in expert networks,Gengxin Miao; Louise E Moser; Xifeng Yan; Shu Tao; Yi Chen; Nikos Anerousis,Abstract Ticket resolution is a critical; yet challenging; aspect of the delivery of IT services. Alarge service provider needs to handle; on a daily basis; thousands of tickets that reportvarious types of problems. Many of those tickets bounce among multiple expert groupsbefore being transferred to the group with the right expertise to solve the problem. Finding amethodology that reduces such bouncing and hence shortens ticket resolution time is a long-standing challenge. In this paper; we present a unified generative model; the OptimizedNetwork Model (ONM); that characterizes the lifecycle of a ticket; using both the content andthe routing sequence of the ticket. ONM uses maximum likelihood estimation; to representhow the information contained in a ticket is used by human experts to make ticket routingdecisions. Based on ONM; we develop a probabilistic algorithm to generate ticket routing …,Proceedings of the 16th ACM SIGKDD international conference on Knowledge discovery and data mining,2010,48,11
Query processing over incomplete autonomous databases,Garrett Wolf; Hemal Khatri; Bhaumik Chokshi; Jianchun Fan; Yi Chen; Subbarao Kambhampati,Abstract Incompleteness due to missing attribute values (aka" null values") is very commonin autonomous web databases; on which user accesses are usually supported throughmediators. Traditional query processing techniques that focus on the strict soundness ofanswer tuples often ignore tuples with critical missing attributes; even if they wind up beingrelevant to a user query. Ideally we would like the mediator to retrieve such possibleanswers and gauge their relevance by accessing their likelihood of being pertinent answersto the query. The autonomous nature of web databases poses several challenges inrealizing this objective. Such challenges include the restricted access privileges imposed onthe data; the limited support for query patterns; and the bounded pool of database andnetwork resources in the web environment. We introduce a novel query rewriting and …,Proceedings of the 33rd international conference on Very large data bases,2007,48,20
Processing keyword search on XML: a survey,Ziyang Liu; Yi Chen,Abstract Keyword search is a user-friendly approach for users to retrieve information fromXML data. Since an XML document can have a large size and contain a lot of information; anXML keyword search result should be a fragment of an XML document dynamicallyconstructed at query time; which is achievable due to the structuredness of XML. Processingkeyword searches on XML has several challenges; eg; what are the elements in the XMLdocument that are relevant to the query? How to generate the results efficiently and rank theresults meaningfully? How to present the results to the user in a way such that the user canquickly find the desired information? In this survey; we review the papers in the literature thatattempted to address these problems. We divide the existing approaches into severalclasses based on the problem they tackled; and perform a comprehensive analysis of …,World Wide Web Journal,2011,47,0
Wise: A workflow information search engine,Qihong Shao; Peng Sun; Yi Chen,Workflows are widely used for representing business processes; web services; scientificexperiments; and activities in daily life; like recipes. There is an increasing need for peopleto search a workflow repository using keywords and retrieve the relevant ones according totheir interests. A workflow hierarchy is a three dimensional object containing multi-resolutionabstraction views on the same workflow. This unique structure poses a new set ofchallenges compared to keyword search on tree or graph structures which are typicallyfound in XML or relational data. In this demonstration; we present an effective workflowsearch engine; WISE; which returns informative and concise search results; defined as theminimal views of the most specific workflow hierarchies containing matching keywords.,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,47,10
Efficient iceberg query evaluation using compressed bitmap index,Bin He; Hui-I Hsiao; Ziyang Liu; Yu Huang; Yi Chen,Decision support and knowledge discovery systems often compute aggregate values ofinteresting attributes by processing a huge amount of data in very large databases and/orwarehouses. In particular; iceberg query is a special type of aggregation query thatcomputes aggregate values above a user-provided threshold. Usually; only a small numberof results will satisfy the threshold constraint. Yet; the results often carry very important andvaluable business insights. Because of the small result set; iceberg queries offer manyopportunities for deep query optimization. However; most existing iceberg query processingalgorithms do not take advantage of the small-result-set property and rely heavily on thetuple-scan-based approach. This incurs intensive disk accesses and computation; resultingin long processing time especially when data size is large. Bitmap index; which builds …,IEEE Transactions on Knowledge and data engineering,2012,46,0
Incremental information extraction using relational databases,Luis Tari; Phan Huy Tu; Jorg Hakenberg; Yi Chen; Tran Cao Son; Graciela Gonzalez; Chitta Baral,Information extraction systems are traditionally implemented as a pipeline of special-purpose processing modules targeting the extraction of a particular kind of information. Amajor drawback of such an approach is that whenever a new extraction goal emerges or amodule is improved; extraction has to be reapplied from scratch to the entire text corpuseven though only a small part of the corpus might be affected. In this paper; we describe anovel approach for information extraction in which extraction needs are expressed in theform of database queries; which are evaluated and optimized by database systems. Usingdatabase queries for information extraction enables generic extraction and minimizesreprocessing of data by performing incremental extraction to identify which part of the data isaffected by the change of components or goals. Furthermore; our approach provides …,IEEE Transactions on Knowledge and Data Engineering,2012,42,15
Keyword-based search and exploration on databases,Yi Chen; Wei Wang; Ziyang Liu,Empowering users to access databases using simple keywords can relieve users from thesteep learning curve of mastering a structured query language and understanding complexand possibly fast-evolving data schemas. In this tutorial; we give an overview of the state-of-the-art techniques for supporting keyword-based search and exploration on databases.Several topics will be discussed; including query result definition; ranking functions; resultgeneration and top-k query processing; snippet generation; result clustering; resultcomparison; query cleaning and suggestion; performance optimization; and search qualityevaluation. Various data models will be discussed; including relational data; XML data;graph-structured data; data streams; and workflows. Finally we identify the challenges andopportunities for future research to advance the field.,Data Engineering (ICDE); 2011 IEEE 27th International Conference on,2011,41,10
Query expansion based on clustered results,Ziyang Liu; Sivaramakrishnan Natarajan; Yi Chen,Abstract Query expansion is a functionality of search engines that suggests a set of relatedqueries for a user-issued keyword query. Typical corpus-driven keyword query expansionapproaches return popular words in the results as expanded queries. Using theseapproaches; the expanded queries may correspond to a subset of possible query semantics;and thus miss relevant results. To handle ambiguous queries and exploratory queries;whose result relevance is difficult to judge; we propose a new framework for keyword queryexpansion: we start with clustering the results according to user specified granularity; andthen generate expanded queries; such that one expanded query is generated for eachcluster whose result set should ideally be the corresponding cluster. We formalize thisproblem and show its APX-hardness. Then we propose two efficient algorithms named …,Proceedings of the VLDB Endowment,2011,41,0
Return specification inference and result clustering for keyword search on XML,Ziyang Liu; Yi Chen,Abstract Keyword search enables Web users to easily access XML data without the need tolearn a structured query language and to study possibly complex data schemas. Existingwork has addressed the problem of selecting qualified data nodes that match keywords andconnecting them in a meaningful way; in the spirit of inferring the where clause in XQuery.However; how to infer the return clause for keyword searches is an open problem. Toaddress this challenge; we present a keyword search engine for data-centric XML; XSeek; toinfer the semantics of the search and identify return nodes effectively. XSeek recognizespossible entities and attributes inherently represented in the data. It also distinguishesbetween predicates and return specifications in query keywords. Then based on theanalysis of both XML data structures and keyword patterns; XSeek generates return …,ACM Transactions on Database Systems (TODS),2010,36,10
L-Tree: a dynamic labeling structure for ordered XML data,Yi Chen; George Mihaila; Rajesh Bordawekar; Sriram Padmanabhan,Abstract With the ever growing use of XML as a data representation format; we see anincreasing need for robust; high performance XML database systems. While most of therecent work focuses on efficient XML query processing; XML databases also need to supportefficient updates. To speed up query processing; various labeling schemes have beenproposed. However; the vast majority of these schemes have poor update performance. Inthis paper; we introduce a dynamic labeling structure for XML data: L-Tree and its order-preserving labeling scheme with O (log n) amortized update cost and O (log n) bits per label.L-Tree has good performance on updates without compromising the performance of queryprocessing. We present the update algorithm for L-Tree and analyze its complexity.,Current Trends in Database Technology-EDBT 2004 Workshops,2004,34,12
Enabling privacy in provenance-aware workflow systems,Susan B Davidson; Sanjeev Khanna; Sudeepa Roy; Julia Stoyanovich; Val Tannen; Yi Chen; Tova Milo,A new paradigm for creating and correcting scientific analyses is emerging; that ofprovenance-aware workflow systems. In such systems; repositories of workflowspecifications and of provenance graphs that represent their executions will be madeavailable as part of scientific information sharing. This will allow users to search and queryboth workflow specifications and their provenance graphs: Scientists who wish to performnew analyses may search workflow repositories to find specifications of interest to reuse ormodify. They may also search provenance information to understand the meaning of aworkflow; or to debug a specification. Finding erroneous or suspect data; a user may thenask provenance queries to determine what downstream data might have been affected; or tounderstand how the process failed that led to creating the data. With the increased …,*,2011,32,8
Answering keyword queries on XML using materialized views,Ziyang Liu; Yi Chen,Answering queries using materialized views has been well studied in the context ofstructured queries and has shown significant performance benefits. Despite the popularity ofkeyword search over XML data; it is an open problem whether materialized views can beleveraged for query evaluation. In this paper; we investigate this problem and presenttechniques for answering keyword queries using a minimal number of materialized views.Experimental evaluation demonstrates the efficiency of the proposed techniques.,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,30,20
Query processing over incomplete autonomous databases: query rewriting using learned data dependencies,Garrett Wolf; Aravind Kalavagattu; Hemal Khatri; Raju Balakrishnan; Bhaumik Chokshi; Jianchun Fan; Yi Chen; Subbarao Kambhampati,Abstract Incompleteness due to missing attribute values (aka" null values") is very commonin autonomous web databases; on which user accesses are usually supported throughmediators. Traditional query processing techniques that focus on the strict soundness ofanswer tuples often ignore tuples with critical missing attributes; even if they wind up beingrelevant to a user query. Ideally we would like the mediator to retrieve such possibleanswersand gauge their relevance by accessing their likelihood of being pertinent answers to thequery. The autonomous nature of web databases poses several challenges in realizing thisobjective. Such challenges include the restricted access privileges imposed on the data; thelimited support for query patterns; and the bounded pool of database and network resourcesin the web environment. We introduce a novel query rewriting and optimization framework …,The VLDB Journal—The International Journal on Very Large Data Bases,2009,29,10
eXtract: a snippet generation system for XML search,Yu Huang; Ziyang Liu; Yi Chen,Abstract Snippets are used by almost every text search engine to complement rankingschemes in order to effectively handle user keyword search. Despite the fact that XML is astandard representation format of web data; research on generating result snippets for XMLsearch remains untouched. In this work; we present eXtract; a system that efficientlygenerates self-contained result snippets within a given size bound which effectivelysummarize the query results and differentiate them from one another; according to whichusers can quickly assess the relevance of the query results.,Proceedings of the VLDB Endowment,2008,26,0
PEPX: a query-friendly probabilistic XML database,Te Li; Qihong Shao; Yi Chen,Uncertain data widely exists in various applications due to several reasons. First; datagenerated by automated information extraction and data analysis tools is error-prone [5].Second; data integrated from various sources is often uncertain or even conflicting;depending on the trustworthiness of its sources and the quality of the data mappingprocedures [9]. Furthermore; experimental results and sensor data are observed inconditions that may be subject to a range of variability in natural environment; mechanicaldefects; contaminated samples; etc.[3]. The abundance of uncertain data demands aneffective database management system that records our confidence about the data asprobabilities; supports efficient query evaluation; and provides confidence indicators forquery results. Toward this goal; a lot of work has been done to manage uncertain data in …,Proceedings of the 15th ACM international conference on Information and knowledge management,2006,26,0
EasyTicket: a ticket routing recommendation engine for enterprise problem resolution,Qihong Shao; Yi Chen; Shu Tao; Xifeng Yan; Nikos Anerousis,Abstract Managing problem tickets is a key issue in IT service industry. A large serviceprovider may handle thousands of problem tickets from its customers on a daily basis. Theefficiency of processing these tickets highly depends on ticket routing---transferring problemtickets among expert groups in search of the right resolver to the ticket. Despite that manyticket management systems are available; ticket routing in these systems is still manuallyoperated by support personnel. In this demo; we introduce EasyTicket; a ticket routingrecommendation engine that helps automate this process. By mining ticket history data; wemodel an enterprise social network that represents the functional relationships amongvarious expert groups in ticket routing. Based on this network; our system then providesrouting recommendations to new tickets. Our experimental studies on 1.4 million real …,Proceedings of the VLDB Endowment,2008,24,1
QUIC: A system for handling imprecision & incompleteness in autonomous databases,Garrett Wolf; Hemal Khatri; Yi Chen; Subbarao Kambhampati,*,CIDR,2007,24
Detecting and resolving unsound workflow views for correct provenance analysis,Peng Sun; Ziyang Liu; Susan B Davidson; Yi Chen,Abstract Workflow views abstract groups of tasks in a workflow into high level compositetasks; in order to reuse sub-workflows and facilitate provenance analysis. However; unless aview is carefully designed; it may not preserve the dataflow between tasks in the workflow;ie; it may not be sound. Unsound views can be misleading and cause incorrect provenanceanalysis. This paper studies the problem of efficiently identifying and correcting unsoundworkflow views with minimal changes. In particular; given a workflow view; we wish to spliteach unsound composite task into the minimal number of tasks; such that the resulting viewis sound. We prove that this problem is NP-hard by reduction from independent set. We thenpropose two local optimality conditions (weak and strong); and design polynomial timealgorithms for correcting unsound views to meet these conditions. Experiments show that …,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009,23,0
EXPedite: A system for encoded XML processing,Yi Chen; George A Mihaila; Susan B Davidson; Sriram Padmanabhan,Abstract As XML becomes an increasingly popular format for information exchange; theefficient processing of broadcast XML data on a constrained device (for example; a cellphone or a PDA) becomes a critical task. In this paper we present the EXPedite system: anew model of data processing in an information exchange environment; which" migrates"the power of the data-sending server to receivers for efficient processing. It consists of asimple and general encoding scheme for servers; and streaming query processingalgorithms on encoded XML stream for data receivers with constrained computing abilities.Experiments show the impressive performance of EXPedite.,Proceedings of the thirteenth ACM international conference on Information and knowledge management,2004,22,0
Validating constraints in XML,Yi Chen; Susan B Davidson; Yifeng Zheng,Abstract The role of XML in data exchange is evolving from one of merely conveying thestructure of data to one that also conveys its semantics. In particular; several proposals forkey and foreign key constraints have recently appeared; and aspects of these proposalshave been adopted within XMLSchema. Although several validators for XMLSchema appearto check for keys; relatively little attention has been paid to the general problem of how tocheck constraints in XML.,*,2002,21,10
Content-aware resolution sequence mining for ticket routing,Peng Sun; Shu Tao; Xifeng Yan; Nikos Anerousis; Yi Chen,Abstract Ticket routing is key to the efficiency of IT problem management. Due to thecomplexity of many reported problems; problem tickets typically need to be routed amongvarious expert groups; to search for the right resolver. In this paper; we study the problem ofusing historical ticket data to make smarter routing recommendations for new tickets; so as toimprove the efficiency of ticket routing; in terms of the Mean number of Steps To Resolve(MSTR) a ticket. Previous studies on this problem have been focusing on mining ticketresolution sequences to generate more informed routing recommendations. In this work; weenhance the existing sequence-only approach by further mining the text content of tickets.Through extensive studies on real-world problem tickets; we find that neither resolutionsequence nor ticket content alone is sufficient to deliver the most reduction in MSTR …,Business Process Management,2010,19,15
A bi-labeling based XPath processing system,Yi Chen; Susan B Davidson; Yifeng Zheng,Abstract We present BLAS; a Bi-LAbeling based XPath processing System. BLAS uses twolabeling schemes to speed up query processing: P-labeling for processing consecutive child(or parent) axis traversals; and D-labeling for processing descendant (or ancestor) axistraversals. XML data are stored in labeled form and indexed. Algorithms are presented fortranslating XPath queries to SQL expressions. BLAS reduces the number of joins in the SQLquery translated from a given XPath query and reduces the number of disk accessesrequired to execute the SQL query compared with the traditional XPath processing using D-labeling alone. We also propose an approximate P-labeling scheme and the correspondingquery translation algorithm to handle XML data trees that contain a large number of distincttag names; and/or are very deep. This extension captures a spectrum of XPath-to-SQL …,Information Systems,2010,14,20
Searching workflows with hierarchical views,Ziyang Liu; Qihong Shao; Yi Chen,Abstract Workflows are prevalent in diverse applications; which can be scientificexperiments; business processes; web services; or recipes. With the dramatically growingnumber of workflows; there is an increasing need for people to search a workflow repositoryusing keywords and to retrieve the relevant ones. A workflow hierarchy is a threedimensional object containing multiple abstraction views of different granularity on the sameworkflow. This unique structure poses a new set of challenges compared to keyword searchon tree or graph structures typically found in relational or XML data. In this paper; we definean informative; self-contained and concise search result on workflows to be a projection of aworkflow hierarchy on a two dimensional viewing plane inferred from user queries. We thendesign and develop an efficient keyword search engine for workflows. Experimental …,Proceedings of the VLDB Endowment,2010,14,3
Vitex: A streaming xpath processing system,Yi Chen; Susan B Davidson; Yifeng Zheng,We present ViteX; an XPath processing system on XML streams with polynomial timecomplexity. ViteX uses a polynomial-space data structure to encode an exponential numberof pattern matches (in the query size) which are required to process queries correctly duringa single sequential scan of XML. Then ViteX computes query solutions by probing the datastructure in a lazy fashion without enumerating pattern matches.,Data Engineering; 2005. ICDE 2005. Proceedings. 21st International Conference on,2005,14,20
Efficient and scalable data evolution with column oriented databases,Ziyang Liu; Bin He; Hui-I Hsiao; Yi Chen,Abstract Database evolution is the process of updating the schema of a database or datawarehouse (schema evolution) and evolving the data to the updated schema (dataevolution). It is often desired or necessitated when changes occur to the data or the queryworkload; the initial schema was not carefully designed; or more knowledge of the databaseis known and a better schema is concluded. The Wikipedia database; for example; has hadmore than 170 versions in the past 5 years [8]. Unfortunately; although much research hasbeen done on the schema evolution part; data evolution has long been a prohibitivelyexpensive process; which essentially evolves the data by executing SQL queries and re-constructing indexes. This prevents databases from being flexibly and frequently changedbased on the need and forces schema designers; who cannot afford mistakes; to be …,Proceedings of the 14th International Conference on Extending Database Technology,2011,13,20
Personalized influential topic search via social network summarization,Jianxin Li; Chengfei Liu; Jeffrey Xu Yu; Yi Chen; Timos Sellis; J Shane Culpepper,Social networks are a vital mechanism to disseminate information to friends and colleagues.In this work; we investigate an important problem-the personalized influential topic search;or PIT-Search in a social network: Given a keyword query q issued by a user u in a socialnetwork; a PIT-Search is to find the top-k q-related topics that are most influential for thequery user u. The influence of a topic to a query user depends on the social connectionbetween the query user and the social users containing the topic in the social network. Tomeasure the topics' influence at the similar granularity scale; we need to extract the socialsummarization of the social network regarding topics. To make effective topic-aware socialsummarization; we propose two random-walk based approaches: random clustering and anL-length random walk. Based on the proposed approaches; we can find a small set of …,IEEE Transactions on Knowledge and Data Engineering,2016,12,0
Improving XML search by generating and utilizing informative result snippets,Ziyang Liu; Yu Huang; Yi Chen,Abstract Snippets are used by almost every text search engine to complement the rankingscheme in order to effectively handle user searches; which are inherently ambiguous andwhose relevance semantics are difficult to assess. Despite the fact that XML is a standardrepresentation format of Web data; research on generating result snippets for XML searchremains limited. To tackle this important yet open problem; in this article; we present asystem eXtract which generates snippets for XML search results. We identify that a goodXML result snippet should be a meaningful information unit of a small size that effectivelysummarizes this query result and differentiates it from others; according to which users canquickly assess the relevance of the query result. We have designed and implemented anovel algorithm to satisfy these requirements. Furthermore; we propose to cluster the …,ACM Transactions on Database Systems (TODS),2010,12,1
Efficiently discovering critical workflows in scientific explorations,Qihong Shao; Peng Sun; Yi Chen,Abstract Existing workflow management systems assume that scientists have a well-specified workflow design before the execution. In reality; a lot of scientific discoveries aremade as a result of a dynamic process; where scientists keep proposing new hypothesesand verifying them through multiple tries of various experiments before achieving successfulexperimental results. Consequently; not all the experiments in a workflow execution havenecessarily contributed to the final result. In this paper; we investigate the problem ofeffectively reproducing the results of previous scientific workflow executions by discoveringthe critical experiments leading to the success and the logical constraints on their executionorder. Relational schema and SQL queries have been designed for effectively recording theworkflow execution log; efficiently identifying the critical experiments from the log; and …,Future Generation Computer Systems,2009,12,20
Assessing expertise awareness in resolution networks,Yi Chen; Shu Tao; Xifeng Yan; Nikos Anerousis; Qihong Shao,Problem resolution is a key issue in the IT service industry. A large service provider handles;on daily basis; thousands of tickets that report various types of problems from its customers.The efficiency of this process highly depends on the effective interactions among variousexpert groups; in search of the resolver to the reported problem. In fact; ticket transferdecisions reflect the expertise awareness between groups; thus encoding a sophisticatedresolution social network. In this paper; we propose a computational framework toquantitatively assess expertise awareness; ie; how well a group knows the expertise ofothers. An accurate assessment of expertise awareness could identify the weakestcomponents in a resolution system. The framework; built on our previously developedresolution engine; is able to calculate the performance difference caused by excluding a …,Advances in Social Networks Analysis and Mining (ASONAM); 2010 International Conference on,2010,11,0
TargetSearch: a ranking friendly XML keyword search engine,Ziyang Liu; Yichuan Cai; Yi Chen,This demo illustrates an XML search engine TargetSearch that addresses an open problemin XML keyword search: given relevant matches to keywords; how to compose query resultsproperly so that they can be effectively ranked and easily digested by users. Theapproaches adopted in the literature generate either overwhelmingly large results orfragmentary results; both of which may cause the ranking schemes to be ineffective.Intuitively; each query has a search target and each result should contain exactly oneinstance of the search target along with its evidence. We developed TargetSearch whichcomposes atomic and intact query results driven by users' search targets.,Data Engineering (ICDE); 2010 IEEE 26th International Conference on,2010,11,19
