High-performance complex event processing over streams,Eugene Wu; Yanlei Diao; Shariq Rizvi,Abstract In this paper; we present the design; implementation; and evaluation of a systemthat executes complex event queries over real-time streams of RFID readings encoded asevents. These complex event queries filter and correlate events to match specific patterns;and transform the relevant events into new composite events for the use of externalmonitoring applications. Stream-based execution of these queries enables time-criticalactions to be taken in environments such as supply chain management; surveillance andfacility management; healthcare; etc. We first propose a complex event language thatsignificantly extends existing event languages to meet the needs of a range of RFID-enabledmonitoring applications. We then describe a query plan-based approach to efficientlyimplementing this language. Our approach uses native operators to efficiently handle …,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,919,13
Probabilistic Data Management for Pervasive Computing: The Data Furnace Project.,Minos N Garofalakis; Kurt P Brown; Michael J Franklin; Joseph M Hellerstein; Daisy Zhe Wang; Eirinaios Michelakis; Liviu Tancau; Eugene Wu; Shawn R Jeffery; Ryan Aipperspach,Abstract The wide deployment of wireless sensor and RFID (Radio Frequency IDentification)devices is one of the key enablers for next-generation pervasive computing applications;including large-scale environmental monitoring and control; context-aware computing; and“smart digital homes”. Sensory readings are inherently unreliable and typically exhibit strongtemporal and spatial correlations (within and across different sensing devices); effectivereasoning over such unreliable streams introduces a host of new data managementchallenges. The Data Furnace project at Intel Research and UC-Berkeley aims to build aprobabilistic data management infrastructure for pervasive computing environments thathandles the uncertain nature of such data as a first-class citizen through a principledframework grounded in probabilistic models and inference techniques.,IEEE Data Eng. Bull.,2006,50,18
The case for data visualization management systems: vision paper,Eugene Wu; Leilani Battle; Samuel R Madden,Abstract Most visualizations today are produced by retrieving data from a database andusing a specialized visualization tool to render it. This decoupled approach results insignificant duplication of functionality; such as aggregation and filters; and missestremendous opportunities for cross-layer optimizations. In this paper; we present the case foran integrated Data Visualization Management System (DVMS) based on a declarativevisualization language that fully compiles the end-to-end visualization pipeline into a set ofrelational algebra queries. Thus the DVMS can be both expressive via the visualizationlanguage; and performant by lever-aging traditional and visualization-specific optimizationsto scale interactive visualizations to massive datasets.,Proceedings of the VLDB Endowment,2014,49,18
Demonstration of qurk: a query processor for humanoperators,Adam Marcus; Eugene Wu; David R Karger; Samuel Madden; Robert C Miller,Abstract Crowdsourcing technologies such as Amazon's Mechanical Turk (" MTurk") servicehave exploded in popularity in recent years. These services are increasingly used forcomplex human-reliant data processing tasks; such as labelling a collection of images;combining two sets of images to identify people that appear in both; or extracting sentimentfrom a corpus of text snippets. There are several challenges in designing a workflow thatfilters; aggregates; sorts and joins human-generated data sources. Currently; crowdsourcing-based workflows are hand-built; resulting in increasingly complex programs. Additionally;developers must hand-optimize tradeoffs among monetary cost; accuracy; and time tocompletion of results. These challenges are well-suited to a declarative query interface thatallows developers to describe their worflow at a high level and automatically optimizes …,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,41,12
Vertexica: your relational friend for graph analytics!,Alekh Jindal; Praynaa Rawlani; Eugene Wu; Samuel Madden; Amol Deshpande; Mike Stonebraker,Abstract In this paper; we present Vertexica; a graph analytics tools on top of a relationaldatabase; which is user friendly and yet highly efficient. Instead of constraining programmersto SQL; Vertexica offers a popular vertex-centric query interface; which is more natural foranalysts to express many graph queries. The programmers simply provide their vertex-compute functions and Vertexica takes care of efficiently executing them in the standard SQLengine. The advantage of using Vertexica is its ability to leverage the relational features andenable much more sophisticated graph analysis. These include expressing graphalgorithms which are difficult in vertex-centric but straightforward in SQL and the ability tocompose end-to-end data processing pipelines; including pre-and post-processing ofgraphs as well as combining multiple algorithms for deeper insights. Vertexica has a …,Proceedings of the VLDB Endowment,2014,35,21
Hifi: A unified architecture for high fan-in systems,Owen Cooper; Anil Edakkunni; Michael J Franklin; Wei Hong; Shawn R Jeffery; Sailesh Krishnamurthy; Fredrick Reiss; Shariq Rizvi; Eugene Wu,Abstract Advances in data acquisition and sensor technologies are leading towards thedevelopment of" High Fan-in" architectures: widely distributed systems whose edges consistof numerous receptors such as sensor networks and RFID readers and whose interior nodesconsist of traditional host computers organized using the principle of successiveaggregation. Such architectures pose significant new data management challenges. TheHiFi system; under development at UC Berkeley; is aimed at addressing these challenges.We demonstrate an initial prototype of HiFi that uses data stream query processing toacquire; filter; and aggregate data from multiple devices including sensor motes; RFIDreaders; and low power gateways organized as a High Fan-in system.,PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE DATA BASES,2004,34,9
Clamshell: Speeding up crowds for low-latency data labeling,Daniel Haas; Jiannan Wang; Eugene Wu; Michael J Franklin,Abstract Data labeling is a necessary but often slow process that impedes the developmentof interactive systems for modern data analysis. Despite rising demand for manual datalabeling; there is a surprising lack of work addressing its high and unpredictable latency. Inthis paper; we introduce CLAMShell; a system that speeds up crowds in order to achieveconsistently low-latency data labeling. We offer a taxonomy of the sources of labelinglatency and study several large crowd-sourced labeling deployments to understand theirempirical latency profiles. Driven by these insights; we comprehensively tackle each sourceof latency; both by developing novel techniques such as straggler mitigation and poolmaintenance and by optimizing existing methods such as crowd retainer pools and activelearning. We evaluate CLAMShell in simulation and on live workers on Amazon's …,Proceedings of the VLDB Endowment,2015,27,10
Subzero: a fine-grained lineage system for scientific databases,Eugene Wu; Samuel Madden; Michael Stonebraker,Data lineage is a key component of provenance that helps scientists track and queryrelationships between input and output data. While current systems readily support lineagerelationships at the file or data array level; finer-grained support at an array-cell level isimpractical due to the lack of support for user defined operators and the high runtime andstorage overhead to store such lineage. We interviewed scientists in several domains toidentify a set of common semantics that can be leveraged to efficiently store fine-grainedlineage. We use the insights to define lineage representations that efficiently capturecommon locality properties in the lineage data; and a set of APIs so operator developers caneasily export lineage information from user defined operators. Finally; we introduce twobenchmarks derived from astronomy and genomics; and show that our techniques can …,Data Engineering (ICDE); 2013 IEEE 29th International Conference on,2013,26,5
The case for rodentstore; an adaptive; declarative storage system,Philippe Cudre-Mauroux; Eugene Wu; Sam Madden,Abstract: Recent excitement in the database community surrounding new applications?analytic; scientific; graph; geospatial; etc.? has led to an explosion in research on databasestorage systems. New storage systems are vital to the database community; as they are atthe heart of making database systems perform well in new application domains.Unfortunately; each such system also represents a substantial engineering effort including agreat deal of duplication of mechanisms for features such as transactions and caching. Inthis paper; we make the case for RodentStore; an adaptive and declarative storage systemproviding a high-level interface for describing the physical representation of data.Specifically; RodentStore uses a declarative storage algebra whereby administrators (ordatabase design tools) specify how a logical schema should be grouped into collections …,arXiv preprint arXiv:0909.1779,2009,26,12
Partitioning techniques for fine-grained indexing,Eugene Wu; Samuel Madden,Many data-intensive websites use databases that grow much faster than the rate that usersaccess the data. Such growing datasets lead to ever-increasing space and performanceoverheads for maintaining and accessing indexes. Furthermore; there is often considerableskew with popular users and recent data accessed much more frequently. Theseobservations led us to design Shinobi; a system which uses horizontal partitioning as amechanism for improving query performance to cluster the physical data; and increasinginsert performance by only indexing data that is frequently accessed. We present databasedesign algorithms that optimally partition tables; drop indexes from partitions that areinfrequently queried; and maintain these partitions as workloads change. We show a 60×performance improvement over traditionally indexed tables using a real-world query …,Data Engineering (ICDE); 2011 IEEE 27th International Conference on,2011,25,19
Wisteria: Nurturing scalable data cleaning infrastructure,Daniel Haas; Sanjay Krishnan; Jiannan Wang; Michael J Franklin; Eugene Wu,Abstract Analysts report spending upwards of 80% of their time on problems in datacleaning. The data cleaning process is inherently iterative; with evolving cleaning workflowsthat start with basic exploratory data analysis on small samples of dirty data; then refineanalysis with more sophisticated/expensive cleaning operators (eg; crowdsourcing); andfinally apply the insights to a full dataset. While an analyst often knows at a logical level whatoperations need to be done; they often have to manage a large search space of physicaloperators and parameters. We present Wisteria; a system designed to support the iterativedevelopment and optimization of data cleaning workflows; especially ones that utilize thecrowd. Wisteria separates logical operations from physical implementations; and driven byanalyst feedback; suggests optimizations and/or replacements to the analyst's choice of …,Proceedings of the VLDB Endowment,2015,24,19
Automated metadata construction to support portable building applications,Arka A Bhattacharya; Dezhi Hong; David Culler; Jorge Ortiz; Kamin Whitehouse; Eugene Wu,Abstract Commercial buildings consume nearly 19\% of delivered energy in the US; nearlyhalf (42%) of which is consumed in buildings with digital control systems comprised of wiredsensor networks. These sensors have scant metadata; and are represented by``tags''whichare obscure; building-specific and not machine parseable. We develop a human-in-the-loopsynthesis technique which uses syntactic and data-driven steps to parse these sensor tagsinto a common namespace; which can enable portable building applications. We show thatour technique allows an expert to fully parse a large fraction (~ 70%) of the tags with 24; 15and 43 examples for three large commercial buildings comprising 1586; 2522 and 1865sensors respectively; and deploy three portable applications on two buildings with less than30 examples.,Proceedings of the 2nd ACM International Conference on Embedded Systems for Energy-Efficient Built Environments,2015,22,12
ActiveClean: interactive data cleaning for statistical modeling,Sanjay Krishnan; Jiannan Wang; Eugene Wu; Michael J Franklin; Ken Goldberg,Abstract Analysts often clean dirty data iteratively--cleaning some data; executing theanalysis; and then cleaning more data based on the results. We explore the iterativecleaning process in the context of statistical model training; which is an increasingly popularform of data analytics. We propose ActiveClean; which allows for progressive and iterativecleaning in statistical modeling problems while preserving convergence guarantees.ActiveClean supports an important class of models called convex loss models (eg; linearregression and SVMs); and prioritizes cleaning those records likely to affect the results. Weevaluate ActiveClean on five real-world datasets UCI Adult; UCI EEG; MNIST; IMDB; andDollars For Docs with both real and synthetic errors. The results show that our proposedoptimizations can improve model accuracy by up-to 2.5 x for the same amount of data …,Proceedings of the VLDB Endowment,2016,17,12
Collaborative data analytics with DataHub,Anant Bhardwaj; Amol Deshpande; Aaron J Elmore; David Karger; Sam Madden; Aditya Parameswaran; Harihar Subramanyam; Eugene Wu; Rebecca Zhang,Abstract While there have been many solutions proposed for storing and analyzing largevolumes of data; all of these solutions have limited support for collaborative data analytics;especially given the many individuals and teams are simultaneously analyzing; modifyingand exchanging datasets; employing a number of heterogeneous tools or languages fordata analysis; and writing scripts to clean; preprocess; or query data. We demonstrateDataHub; a unified platform with the ability to load; store; query; collaboratively analyze;interactively visualize; interface with external applications; and share datasets. We willdemonstrate the following aspects of the DataHub platform:(a) flexible data storage; sharing;and native versioning capabilities: multiple conference attendees can concurrently updatethe database and browse the different versions and inspect conflicts;(b) an app …,Proceedings of the VLDB Endowment,2015,17,10
Towards reliable interactive data cleaning: A user survey and recommendations,Sanjay Krishnan; Daniel Haas; Michael J Franklin; Eugene Wu,Abstract Data cleaning is frequently an iterative process tailored to the requirements of aspecific analysis task. The design and implementation of iterative data cleaning toolspresents novel challenges; both technical and organizational; to the community. In thispaper; we present results from a user survey (N= 29) of data analysts and infrastructureengineers from industry and academia. We highlight three important themes:(1) the iterativenature of data cleaning;(2) the lack of rigor in evaluating the correctness of data cleaning;and (3) the disconnect between the analysts who query the data and the infrastructureengineers who design the cleaning pipelines. We conclude by presenting a number ofrecommendations for future work in which we envision an interactive data cleaning systemthat accounts for the observed challenges.,Proceedings of the Workshop on Human-In-the-Loop Data Analytics,2016,11,12
SampleClean: Fast and Reliable Analytics on Dirty Data.,Sanjay Krishnan; Jiannan Wang; Michael J Franklin; Ken Goldberg; Tim Kraska; Tova Milo; Eugene Wu,Abstract An important obstacle to accurate data analytics is dirty data in the form of missing;duplicate; incorrect; or inconsistent values. In the SampleClean project; we have developeda new suite of techniques to estimate the results of queries when only a sample of data canbe cleaned. Some forms of data corruption; such as duplication; can affect samplingprobabilities; and thus; new techniques have to be designed to ensure correctness of theapproximate query results. We first describe our initial project on computing statisticallybounded estimates of sum; count; and avg queries from samples of cleaned data. Wesubsequently explored how the same techniques could apply to other problems in databaseresearch; namely; materialized view maintenance. To avoid expensive incrementalmaintenance; we maintain only a sample of rows in a view; and then leverage …,IEEE Data Eng. Bull.,2015,11,12
Activeclean: Interactive data cleaning while learning convex loss models,Sanjay Krishnan; Jiannan Wang; Eugene Wu; Michael J Franklin; Ken Goldberg,Abstract: Data cleaning is often an important step to ensure that predictive models; such asregression and classification; are not affected by systematic errors such as inconsistent; out-of-date; or outlier data. Identifying dirty data is often a manual and iterative process; and canbe challenging on large datasets. However; many data cleaning workflows can introducesubtle biases into the training processes due to violation of independence assumptions. Wepropose ActiveClean; a progressive cleaning approach where the model is updatedincrementally instead of re-training and can guarantee accuracy on partially cleaned data.ActiveClean supports a popular class of models called convex loss models (eg; linearregression and SVMs). ActiveClean also leverages the structure of a user's model toprioritize cleaning those records likely to affect the results. We evaluate ActiveClean on …,arXiv preprint arXiv:1601.03797,2016,9,19
A demonstration of DBWipes: clean as you query,Eugene Wu; Samuel Madden; Michael Stonebraker,Abstract As data analytics becomes mainstream; and the complexity of the underlying dataand computation grows; it will be increasingly important to provide tools that help analystsunderstand the underlying reasons when they encounter errors in the result. While dataprovenance has been a large step in providing tools to help debug complex workflows; itscurrent form has limited utility when debugging aggregation operators that compute a singleoutput from a large collection of inputs. Traditional provenance will return the entire inputcollection; which has very low precision. In contrast; users are seeking precise descriptionsof the inputs that caused the errors. We propose a Ranked Provenance System; whichidentifies subsets of inputs that influenced the output error; describes each subset withhuman readable predicates and orders them by contribution to the error. In this …,Proceedings of the VLDB Endowment,2012,8,10
Combining Design and Performance in a Data Visualization Management System.,Eugene Wu; Fotis Psallidas; Zhengjie Miao; Haoci Zhang; Laura Rettig; Yifan Wu; Thibault Sellam,ABSTRACT Interactive data visualizations have emerged as a prominent way to bring dataexploration and analysis capabilities to both technical and non-technical users. Despite theirubiquity and importance across applications; multiple design-and performance-relatedchallenges lurk beneath the visualization creation process. To meet these challenges;application designers either use visualization systems (eg; Endeca; Tableau; and Splunk)that are tailored to domainspecific analyses; or manually design; implement; and optimizetheir own solutions. Unfortunately; both approaches typically slow down the creationprocess. In this paper; we describe the status of our progress towards an end-to-endrelational approach in our data visualization management system (DVMS). We introduceDeVIL; a SQL-like language to express static as well as interactive visualizations as …,CIDR,2017,6,0
QFix: Diagnosing errors through query histories,Xiaolan Wang; Alexandra Meliou; Eugene Wu,Abstract Data-driven applications rely on the correctness of their data to function properlyand effectively. Errors in data can be incredibly costly and disruptive; leading to loss ofrevenue; incorrect conclusions; and misguided policy decisions. While data cleaning toolscan purge datasets of many errors before the data is used; applications and usersinteracting with the data can introduce new errors. Subsequent valid updates can obscurethese errors and propagate them through the dataset causing more discrepancies. Evenwhen some of these discrepancies are discovered; they are often corrected superficially; ona case-by-case basis; further obscuring the true underlying cause; and making detection ofthe remaining errors harder. In this paper; we propose QFix; a framework that derivesexplanations and repairs for discrepancies in relational data; by analyzing the effect of …,Proceedings of the 2017 ACM International Conference on Management of Data,2017,5,12
Towards perception-aware interactive data visualization systems,Eugene Wu; Arnab Nandi,Page 1. Towards Perception-aware Interactive Data Visualization Systems Eugene Wu / ArnabNandi Columbia University / The Ohio State University Page 2. + (faster) VIZ Page 3. InteractionPage 4. Interaction Page 5. Interactive Visualization Page 6. Output Awareness Don't showmore data than # pixels in output M4 (database community) Immens (viz community) Readless data & render approximate results Error bars; uncertainty Sampling/Online AggApproximation Page 7. time am ount Page 8. Create Vis Resolution Awareness PerceptualAwareness Page 9. Graphical Perception Cleveland et al. > true value true value logerr Page10. Just Noticeable Difference how much change before you notice? JND ~ k * MagnitudeWeber's Law Steven's Law Page 11. Perceptual Functions as Abstractions Univariate (Cleveland)penc (true value) = err of perceived value Bivariate (JND) …,DSIA Workshop; IEEE VIS,2015,5,10
Pfunk-h: Approximate query processing using perceptual models,Daniel Alabi; Eugene Wu,Abstract Interactive visualization tools (eg; crossfilter) are critical to many data analysts bymaking the discovery and verification of hypotheses quick and seamless. Increasing datasizes has made the scalability of these tools a necessity. To bridge the gap between datasizes and interactivity; many visualization systems have turned to sampling-basedapproximate query processing frameworks. However; these systems are currently obliviousto human perceptual visual accuracy. This could either lead to overly aggressive samplingwhen the approximation accuracy is higher than needed or an incorrect visual renderingwhen the accuracy is too lax. Thus; for both correctness and efficiency; we propose to useempirical knowledge of human perceptual limitations to automatically bound the error ofapproximate answers meant for visualization. This paper explores a preliminary model of …,Proceedings of the Workshop on Human-In-the-Loop Data Analytics,2016,4,3
Activeclean: An interactive data cleaning framework for modern machine learning,Sanjay Krishnan; Michael J Franklin; Ken Goldberg; Jiannan Wang; Eugene Wu,Abstract Databases can be corrupted with various errors such as missing; incorrect; orinconsistent values. Increasingly; modern data analysis pipelines involve Machine Learning;and the effects of dirty data can be difficult to debug. Dirty data is often sparse; and naivesampling solutions are not suited for high-dimensional models. We propose ActiveClean; aprogressive framework for training Machine Learning models with data cleaning. Ourframework updates a model iteratively as the analyst cleans small batches of data; andincludes numerous optimizations such as importance weighting and dirty data detection. Wedesigned a visual interface to wrap around this framework and demonstrate ActiveClean fora video classification problem and a topic modeling problem.,Proceedings of the 2016 International Conference on Management of Data,2016,4,5
Demonstration of the trajstore system,Eugene Wu; Philippe Cudre-Mauroux; Samuel Madden,Abstract The proliferation of GPS devices has led to a substantial interest in location basedservices. In particular; modern vehicles can generate an incredible amount of drive data.However; current storage systems are not optimized for storing and querying such largespatial-temporal data sets. In this demonstration; we show the performance of the TrajStoresystem; a dynamic storage system optimized for quickly accessing data in a particular spatial-temporal region. In particular; TrajStore uses a novel adaptive indexing technique thatdynamically adjusts itself to co-locate spatially close trajectories on disk; as well as anumber of compression techniques in the storage layer that significantly reduce access timefor a given index cell. In this demonstration; we will store a set of real world taxi cab drivetraces in TrajStore; and users will be able to query the data through a map based …,Proceedings of the VLDB Endowment,2009,4,12
No bits left behind,Eugene Wu; Carlo Curino; Samuel Madden,One of the key tenets of database system design is making efficient use of storage andmemory resources. However; existing database system implementations are actuallyextremely wasteful of such resources; for example; most systems leave a great deal of emptyspace in tuples; index pages; and data pages; and spend many CPU cycles reading coldrecords from disk that are never used. In this paper; we identify a number of such sources ofwaste; and present a series of techniques that limit this waste (eg; forcing better memorylocality for hot data and using empty space in index pages to cache popular tuples) withoutsubstantially complicating interfaces or system design. We show that these techniqueseffectively reduce memory requirements for real scenarios from the Wikipedia database (byup to 17.8×) while increasing query performance (by up to 8×).,*,2011,3,3
PALM: Machine Learning Explanations For Iterative Debugging,Sanjay Krishnan; Eugene Wu,Abstract When a Deep Neural Network makes a misprediction; it can be challenging for adeveloper to understand why. While there are many models for interpretability in terms ofpredictive features; it may be more natural to isolate a small set of training examples thathave the greatest influence on the prediction. However; it is often the case that every trainingexample contributes to a prediction in some way but with varying degrees of responsibility.We present Partition Aware Local Model (PALM); which is a tool that learns and summarizesthis responsibility structure to aide machine learning debugging. PALM approximates acomplex model (eg; a deep neural network) using a two-part surrogate model: a meta-modelthat partitions the training data; and a set of sub-models that approximate the patterns withineach partition. These sub-models can be arbitrarily complex to capture intricate local …,Proceedings of the 2nd Workshop on Human-In-the-Loop Data Analytics,2017,2,12
Skipping-oriented partitioning for columnar layouts,Liwen Sun; Michael J Franklin; Jiannan Wang; Eugene Wu,Abstract As data volumes continue to grow; modern database systems increasingly rely ondata skipping mechanisms to improve performance by avoiding access to irrelevant data.Recent work [39] proposed a fine-grained partitioning scheme that was shown to improvethe opportunities for data skipping in row-oriented systems. Modern analytics and big datasystems increasingly adopt columnar storage schemes; and in such systems; a row-basedapproach misses important opportunities for further improving data skipping. The flexibility ofcolumn-oriented organizations; however; comes with the additional cost of tuplereconstruction. In this paper; we develop Generalized Skipping-Oriented Partitioning(GSOP); a novel hybrid data skipping framework that takes into account these row-basedand column-based tradeoffs. In contrast to previous column-oriented physical design …,Proceedings of the VLDB Endowment,2016,2,12
Graphical Perception in Animated Data Visualizations,Eugene Wu; Lilong Jiang; Larry Xu; Arnab Nandi,*,*,2015,2
Scorpion,Eugene Wu; Samuel Madden,Q: Why the average temperature at 12PM and 1PM are unexpectedly high? A: The hightemperature caused by sensors near windows that heat up under the sun around noon andanother sensor running out of energy that starts producing erroneous readings.• MedicalCost Analysis: Amongst a population of cancer patients; the top 15% of patients by costrepresented more than 50% of the total dollars spent. Q: Were these patients significantlysicker? Did they have significantly better or worse outcomes than the median-cost patient. A:Small number of doctors were over-prescribing these procedures; which were presumablynot necessary because the outcomes didn't improve.,*,2005,2,16
