Biodegradation aspects of polycyclic aromatic hydrocarbons (PAHs): a review,AK Haritash; CP Kaushik,Abstract PAHs are aromatic hydrocarbons with two or more fused benzene rings with naturalas well as anthropogenic sources. They are widely distributed environmental contaminantsthat have detrimental biological effects; toxicity; mutagenecity and carcinogenicity. Due totheir ubiquitous occurrence; recalcitrance; bioaccumulation potential and carcinogenicactivity; the PAHs have gathered significant environmental concern. Although PAH mayundergo adsorption; volatilization; photolysis; and chemical degradation; microbialdegradation is the major degradation process. PAH degradation depends on theenvironmental conditions; number and type of the microorganisms; nature and chemicalstructure of the chemical compound being degraded. They are biodegraded/biotransformedinto less complex metabolites; and through mineralization into inorganic minerals; H 2 O …,*,2009,1550
Pesticide pollution of river Ghaggar in Haryana; India,A Kaushik; HR Sharma; S Jain; J Dawra; CP Kaushik,Abstract Ghaggar; one of the major rivers of northern India originating in outer Himalayasand flowing through the state of Punjab; Haryana; and Rajasthan; is put to multiple uses.Along its course of 464 km; it receives discharge from various cities and runoff fromagricultural lands. Punjab and Haryana are two predominantly agricultural states of Indiausing substantial amounts of agrochemicals; yet there are no reports available in literatureon the level of pesticides in the stretch of river Ghaggar through Punjab and Haryana. This isthe first report on pesticide pollution of the river Ghaggar in Haryana. Water samples alongthe 230-km stretch of the river in Haryana were analyzed for the presence of organochlorineinsecticide residues. While aldrin and dieldrin were below detection limits; bothhexachlorocyclohexane (HCH) and dichlorodiphenyltrichloroethane (DDT) were …,Environmental monitoring and assessment,2010,53
Variation in spatial pattern of criteria air pollutants before and during initial rain of monsoon,Khaiwal Ravindra; Suman Mor; JS Kamyotra; CP Kaushik,Abstract Spatial patterns of various criteria air pollutants; like SO 2; NO 2; O 3; and TSP werestudied atShahdara National Ambient Air Quality Monitoring stationin Delhi (India) in July1999. The minimum pollutantconcentrations were observed during morning hours; whereasthe highest concentrations were found during thelate night hours; which seem to be relatedwith thevehicular emission. Pre-monsoon daily ambient airquality spatial pattern wascompared with the spatialpattern during initial and subsequent rain shower ofmonsoon.These spatial patterns were found to beessentially the same before and during rain;however asignificant decrease in SO 2; NO 2 and TSPconcentrations (40-45%) wasobserved after initial andsubsequent rains of the monsoon; demonstrating theimportance ofrainfall in the scavenging of thesecriteria air pollutants.,Environmental Monitoring and Assessment,2003,51
Determination of exposure and probable ingestion of fluoride through tea; toothpaste; tobacco and pan masala,Asheesh Kumar Yadav; CP Kaushik; Anil Kumar Haritash; Bhupender Singh; Shiv Pratap Raghuvanshi; Ankur Kansal,Abstract Levels of water soluble and acid soluble fluoride in tea; toothpaste; tobacco andpan masala (mouth freshener) were estimated. These items are; generally; ignored whilecalculating the total dietary intake of fluoride. Tea; toothpaste; tobacco; pan masala (withtobacco and without tobacco) frequently expose human body to 3.88–137.09; 53.5–338.5;28.0–113.0; 16.5–306.5 and 23.5–185.0 μg of fluoride per gram of these items; respectively.An effort was also made to quantify; on the basis of available studies; the probable humaningestion of fluoride through these substances. Increased leaching of fluoride from some ofthese substances has been observed in acidic conditions in the present study. The resultscan be extrapolated to acidic conditions of human stomach.,Journal of hazardous materials,2007,49
Suitability assessment of groundwater for drinking; irrigation and industrial use in some North Indian villages,AK Haritash; CP Kaushik; A Kaushik; Ankur Kansal; Asheesh Kumar Yadav,Abstract The study comprised suitability assessment of groundwater for drinking; irrigation;and industrial use. A total of 34 groundwater samples were collected from Rewari town andits perimeter from the land chiefly used for agriculture. Physico-chemical characterization ofthe samples revealed that groundwater from most of the sources was not fit for drinkingowing to a high concentration of calcium; magnesium; hardness and fluoride. Suitability forirrigation; too; was low since most of the sources had high value of sodium adsorption ratio(SAR); residual sodium carbonate (RSC); soluble sodium percentage (SSP) andmagnesium hazard which can render salinity and alkali hazard to soils on long term use inirrigation. No source of water was found to be suitable for industrial application since it hadhigh concentration of calcium carbonate which can precipitate very easily. It was …,Environmental monitoring and assessment,2008,48
Organochloride insecticide residues in air in Delhi; India,CP Kaushik; MKK Pillai; A Raman; HC Agarwal,Abstract Regular monitoring of air at three different sites; namely; Netaji Nagar; Moti Nagarand Town Hall in the metropolitan city of Delhi; India from June; 1980 to May; 1982 revealedvarying levels of residues of DDT and HCH. The concentration of total DDT residues variedfrom 4 to 232 ng m− 3 with an average of 60 ng m− 3. Total HCH ranged from 0 to 21797 ngm− 3 with an average of 438 ng m− 3. Comparatively higher levels of total DDT (73 ng M− 3)were detected at Moti Nagar; the site near a DDT factory. The total HCH was highest at TownHall (931 ng m− 3). Normally; higher quantities of the residues of DDT and HCH weredetected during October to December. The insecticide residues consisted mainly of p; p′-DDT; p; p′-DDE; o; p′-DDT and p; p′-DDD; α-and γ-HCH. Only p; p′-DDT and p; p′-DDE were detected in all the samples and accounted for the bulk of total DDT. The HCH …,Water; Air; and Soil Pollution,1987,47
Degradation of hexachlorocyclohexane (HCH; α; β; γ and δ) by Bacillus circulans and Bacillus brevis isolated from soil contaminated with HCH,Archna Gupta; CP Kaushik; A Kaushik,Abstract Hexachlorocyclohexane (HCH; α; β; γ and δ) degradation efficiency of acclimatizedBacillus circulans and Bacillus brevis was studied under aerobic conditions on nutrient agar.These bacteria were isolated from HCH contaminated soil and acclimatized to differentconcentrations of HCH for more than 2 years. Acclimatized bacteria degraded at asignificantly high rate not only the α and γ isomers but also the thermodynamically stable βand δ isomers at different concentrations; suggesting their potential for degradation of eventhe aged residues.,Soil Biology and Biochemistry,2000,45
Growth and yield response of marigold to potting media containing vermicompost produced from different wastes,Pritam Sangwan; VK Garg; CP Kaushik,Abstract Investigations were made to assay the influence of vermicomposts; prepared from(i) cow dung (CD) and (ii) sugar mill wastewater treatment plant sludge spiked with horsedung; on the growth and productivity of marigold plants in pot culture experiments. The soilwas used as potting media; and vermicomposts were amended with it in 10; 20; 30 and 40%ratio. A total of nine different potting media were prepared. The fertility status of soil andvermicomposts was quantified. There were significant differences in the fertilizer quality ofsoil and both the vermicomposts. Maximum numbers of flowers was produced in the pottingmedia containing 30% of CD vermicompost and minimum was reported in control (soilwithout amendments). The diameter of biggest flower was reported in the potting mediacontaining 40% of sugar mill wastewater treatment plant sludge vermicompost. Results …,The Environmentalist,2010,44
Pesticide residues in river Yamuna and its canals in Haryana and Delhi; India,CP Kaushik; HR Sharma; S Jain; J Dawra; A Kaushik,Abstract Yamuna; a prominent river of India covers an extensive area of 345;843 km 2 fromYamunotri glacier through six Indian states. Residues of organochlorine pesticides (OCPs)namely; isomers of HCH and endosulfan; DDT and its metabolites; aldrin; dieldrin; wereanalysed in water of river Yamuna along its 346 km stretch passing through Haryana–Delhi–Haryana and the canals originating from it. β-HCH; p. p′-DDT; p. p′-DDE and p. p′-DDDhad maximum traceability in test samples (95–100%) followed by γ-HCH; α-HCH and o. p′-DDD (60–84%) and o. p′-DDT; δ-HCH and o. p′-DDE (7–30%) while aldrin; dieldrin; αand β endosulfan remained below detection limits (BDL). The concentration of ΣHCH andΣDDT at different sites of the river ranged between 12.76–593.49 ng/l (with a mean of310.25 ng/l) and 66.17–722.94 ng/l (with a mean of 387.9 ng/l); respectively. In canals the …,Environmental monitoring and assessment,2008,43
Pesticide residues in bovine milk from a predominantly agricultural state of Haryana; India,HR Sharma; A Kaushik; CP Kaushik,Abstract One hundred forty seven samples of bovine milk were collected from 14 districts ofHaryana; India during December 1998–February 1999 and analysed for the presence oforganochlorine pesticide (OCPs) residues.∑ HCH;∑ DDT;∑ endosulfan and aldrin weredetected in 100%; 97%; 43% and 12% samples and with mean values of 0.0292; 0.0367;0.0022 and 0.0036 μg/ml; respectively. Eight percent samples exceeded the maximumresidue limit (MRL) of 0.10 mg/kg as recommended by WHO for∑ HCH; 4% samples of 0.05mg/kg for α-HCH; 5% samples of 0.01 mg/kg for γ-HCH; 26% samples of 0.02 mg/kg for β-HCH as recommended by PFAA and 24% samples of 0.05 mg/kg as recommended by FAOfor∑ DDT. Concentrations of β-HCH and p; p′-DDE were more as compared to otherisomers and metabolites of HCH and DDT.,Environmental monitoring and assessment,2007,42
Waste biomass of Nostoc linckia as adsorbent of crystal violet dye: Optimization based on statistical model,Sharma Mona; Anubha Kaushik; CP Kaushik,Abstract The potential of spent biomass of a hydrogen producing cyanobacterial strainNostoc linckia from a hydrogen fermentor was studied for decolorization of a tri-phenylmethane dye; crystal violet. The waste cyanobacterial biomass immobilized incalcium alginate was used as a biosorbent and the process variables were optimized formaximum dye removal using the statistical response surface methodology (RSM). Batchmode experiments were performed to determine the kinetic behavior of the dye in aqueoussolution allowing the computation of kinetic parameters. Influence of interacting parameterslike temperature (25–35° C); pH (4–8); initial dye concentration (100–200 mg/L) andcyanobacterial dose (0.2–0.4 g) on dye removal were examined using central compositedesign (CCD) which included two additional levels for each parameter. Second-order …,International biodeterioration & biodegradation,2011,40
Treatment of low strength industrial cluster wastewater by anaerobic hybrid reactor,Amit Kumar; Asheesh Kumar Yadav; TR Sreekrishnan; Santosh Satya; CP Kaushik,Abstract The study was aimed at treating the complex; combined wastewater generated inMangolpuri industrial cluster. It was considered as a low strength wastewater with respect toits organic content. Anaerobic treatment of this wastewater was studied using an anaerobichybrid reactor (AHR) which combined the best features of both the upflow anaerobic sludgeblanket (UASB) reactor and anaerobic fluidized bed rector (AFBR). The performance of thereactor under different organic and hydraulic loading rates were studied. The COD removalreached 94% at an organic loading rate (OLR) of 2.08 kg COD m− 3 d− 1 at an hydraulicretention time (HRT) of 6.0 h. The granules developed were characterized in terms of theirdiameter and terminal settling velocity.,Bioresource technology,2008,40
Assessment of seasonal enrichment of heavy metals in respirable suspended particulate matter of a sub-urban Indian city,AK Haritash; CP Kaushik,Abstract Heavy metals in respirable suspended particulate matter (RSPM) were analyzed fordifferent seasons; from July 2002 to December 2002; at different locations in Hisar (Haryana;India). The samples were analyzed for Pb; As; Ni; Cu; Mn; Fe and Mg on atomic absorptionspectrophotometer (AAS) in air-acetylene flame. The concentration of heavy metals wasmore in the studied residential area followed by industrial area and commercial area. Theconcentrations of Fe; As; Ni and Mn were found to be more compared to other metals.Further; the concentrations of all the heavy metals were higher in pre-monsoon (extendedsummer) and monsoon followed by post-monsoon; autumn and winter. Meteorology playedan important role in concentration of heavy metals in RSPM. Turbulent conditions resulted inhigher concentration owing to re-suspension and external input whereas; low wind speed …,Environmental monitoring and assessment,2007,35
Sugarmill effluent effects on growth; photosynthetic pigments and nutrient uptake in wheat seedlings in aqueous vs. soil medium,A Kaushik; Bala R Kadyan; CP Kaushik,Abstract Germination; seedling growth; concentrations of photosynthetic pigments andnutrient uptake in Triticum vulgare L.(Var. WH-147) were studied in response to sugarmilleffluent application (10% concentration) in aqueous Vs. soil medium. The effluent rich invarious nutrients showed particularly high concentration of sodium. Germination was notaffected by the effluent treatment. Seedling growth was reduced significantly by the effluentin aqueous medium; but not in soil. The effluent treatment increased the concentrations ofvarious pigments; however; the pigment ratios got changed in the aqueous medium only.The uptake of nitrogen; magnesium and carbon by the seedlings decreased while that ofcalcium; sodium and phosphorus increased in effluent treated plants; the changes beingmore marked in aqueous medium except for phosphorus. In the effluent treated plants …,Water; Air; and Soil Pollution,1996,34
Organochlorine insecticide residues in the rain water in Delhi; India,HC Agarwal; CP Kaushik; MKK Pillai,Abstract Rain water samples were regularly collected from three sites; namely; Netaji Nagar;Moti Nagar and Town Hall within the Delhi city area from July; 1980 to June; 1982. Thepesticide residues were adsorbed on polyurethane foam coated with 0.5% DC-200 andsubsequently extracted and analyzed for DDT; HCH and their metabolites/isomers. Theconcentration of total DDT ranged from 0.22 to 108 μg L− 1 with a mean value of 12.5 μg L−1. The samples of rain water contained varying levels of 4; 4-DDT; 2; 4-DDT; 4; 4-DDE; and4; 4-DDD. The 4; 4-DDT; 4; 4-DDE and 2; 4-DDT were the main components of total DDT.The range of HCH residues in rain water was from 0.08 to 43 μg L− 1 with a mean of 5.3 μgL− 1. The residues of HCH consisted mainly of α-and γ-isomers with traces of β and δ-isomers. The α-and γ-isomers accounted for 76 and 24% of total HCH; respectively. The …,Water; Air; and Soil Pollution,1987,30
Biosorption of chromium (VI) by spent cyanobacterial biomass from a hydrogen fermentor using Box-Behnken model,Sharma Mona; Anubha Kaushik; CP Kaushik,Abstract The study explores utilization of waste cyanobacterial biomass of Nostoc linckiafrom a lab-scale hydrogen fermentor for the biosorption of Cr (VI) from aqueous solution. Thebiomass immobilized in alginate beads was used for removal of the metal in batch modeoptimizing the process conditions adopting response surface methodology (RSM). Kineticstudies were done to get useful information on the rate of chromium adsorption onto thecyanobacterial biomass; which was found to follow pseudo second-order model. Fourimportant process parameters including initial metal concentration (10–100 mg/L); pH (2–6);temperature (25–45° C) and cyanobacterial dose (0.1–2.0 g) were optimized to obtain thebest response of Cr (VI) removal using the statistical Box-Behnken design. The responsesurface data indicated maximum Cr (VI) biosorption at pH 2–4 with different initial …,International biodeterioration & biodegradation,2011,28
Polycyclic aromatic hydrocarbons (PAHs) and environmental health,CP Kaushik; AK Haritash,Abstract PAHs are persistent carcinogens in environment. They have associated toxicity andmutagenecity to almost all forms oflife; and their origin is natural as well as anthropogenic.They have gained the concern as they have entered all the components of environment andhave produced harmful effects. The increasing number of organisms affected by cancer is aresult of PAHs apart from other pollutants. They have shown their carcinogenicity;mutagenecity and other toxic effects in human beings; other mammals; plants; apes; reptiles;fish; amphibians; invertebrates and even in microorganisms. PAHs pose a threat tobiodiversity too.,Our earth,2006,27
Persistence and metabolism of HCH and DDT in soil under subtropical conditions,CP Kaushik,Abstract The persistence and metabolism of HCH and DDT were studied by applying theinsecticides at the rate of 25 kg ha− 1 to soil under field conditions in the Delhi area duringOctober–March. The soil was of sandy loam type; with a pH of 7.9 and 0.93% organic carboncontent. HCH dissipated rapidly from the soil compared to DDT. 77% of the total HCH waslost in 30 days and 91% in 135 days. For identical periods the loss of DDT increased from 26to 43.5%. The HCH a-isomer dissipated at a faster rate than the γ-isomer. The rate ofdissipation of the β and δ-isomers could not be calculated due to their low concentrations.The o. p-DDT isomer was lost more rapidly than p. p-DDT. The concentration of p. p-DDEremained almost the same during the period of investigation. The total “half life” of HCH was37.5 days and DDT 188 days.,Soil biology and biochemistry,1991,27
Perspectives in Environmental Studies,A Kaushik; C P Kaushik,Environmental Studies Pertain To A Systematic Analysis Of The Natural And Man-MadeWorld Encompassing Various Scientific; Economic; Social And Ethical Aspects. HumanImpacts Leading To Large-Scale Degradation Of The Environment Have Aroused GlobalConcern On Environmental Issues In The Recent Years. The Apex Court Has Hence; IssuedDirective To Impart Environmental Literacy To All. In This Book The Fundamental ConceptsOf Environmental Studies Have Been Introduced And Analyzed In A Simple Manner StrictlyAs Per The Module Syllabus Designed By The Ugc For Undergraduate Courses In Science;Humanities; Engineering; Medicine; Pharmacy; Commerce; Management And Law. BesidesThe Undergraduate Students Of All Disciplines The Book Will Also Be Useful For ThoseAppearing In Various Competitive Exams Since Environmental Issues Now Find A Focus …,*,2004,25
Metal–salt co-tolerance and metal removal by indigenous cyanobacterial strains,Bala Kiran; Anubha Kaushik; CP Kaushik,Abstract Chromium and salt tolerance in five indigenous cyanobacterial strains isolated fromcontaminated sites was investigated along with their metal bioaccumulative potential. All thefive species showed significantly better growth when the medium was spiked with salt orchromium. As compared to single metal or salt treatment; the binary metal–salt (MS)treatments had more favorable effect on cyanobacterial growth as indicated by significantlyhigher concentration of the primary photosynthetic pigment chlorophyll at M 20 S 2000 (9.9–25.3 μg/mL) as compared to that at M 0 S 0 (4.0–12.3 μg/mL). Similarly biomass was muchhigher at M 20 S 1000 and M 20 S 2000 (41.8–86.2 mg/10 mL) as compared to that atcontrol; M 0 S 0 (21.5–36.3 mg/10 mL). Accessory pigments like carotenoids andphycobilinproteins too tended to increase significantly in response to both metal and salts …,Process Biochemistry,2008,23
Degradation of hexachlorocyclohexane isomers by two strains of Alcaligenes faecalis isolated from a contaminated site,A Gupta; CP Kaushik; A Kaushik,MATERIALS AND METHODS All the isomers of HCH used were of 99% purity. The otherchemicals were of analytical grade. All glassware were cleaned with acetone and ovendried. HCH degrading bacteria were isolated from the HCH contaminated soil from thefactory premises of Hindustan Insecticides Limited; New Delhi; India. Soil samples weretaken up to a depth of 5 cm from four different sites and pooled. The medium used forisolation and enrichment was nutrient agar (pH 6.9) that contained 5 g beef extract; 3 gpeptone; and 8 g sodium chloride in l L of distilled water (Difco Manual 1953). HCH wasadded to the nutrient agar to yield a final concentration of 5 pg/ml of HCH. Five gram sampleof soil was vigorously stirred with 100 ml of distilled water for half an hour. One ml of thissuspension was subjected to serial dilution up to 10'6 to give the final inoculum. One ml of …,Bulletin of environmental contamination and toxicology,2001,22
