Generalized probabilistic framework for optimum inspection and maintenance planning,Sunyong Kim; Dan M Frangopol; Mohamed Soliman,Abstract This paper proposes a generalized probabilistic framework for optimum inspectionand maintenance planning of deteriorating structures. The proposed framework covers (1)the damage occurrence and propagation and service life prediction under uncertainty;(2) therelation between degree of damage and probability of damage detection of an inspectionmethod; and (3) the effects of inspection and maintenance on service life and life-cycle cost.Optimum inspection and maintenance types and times are obtained through an optimizationformulation by maximizing the expected service life and minimizing the expected total life-cycle cost consisting of inspection and maintenance costs. The service life; life-cycle cost;and maintenance delay; along with inspection and maintenance actions; are formulatedusing a decision tree model. The selection of the appropriate maintenance type depends …,Journal of Structural Engineering,2013,72
Life-cycle cost evaluation of conventional and corrosion-resistant steel for bridges,Mohamed Soliman; Dan M Frangopol,Abstract Steel bridges that are under severe chloride exposure due to deicing salts ormarine environmental effects require frequent maintenance and repair activities to extendtheir service life and maintain an adequate performance level. In addition to the directmaintenance cost; these maintenance actions may lead to indirect costs associated withtraffic delays and environmental effects that can significantly increase the life-cycle cost ofthe bridge under consideration. The use of more sustainable materials; such asmaintenance-free steel; may increase the initial cost of the structure; however; the life-cyclecost; including the maintenance actions during the service life and their associated indirecteffects; can be significantly reduced. This paper presents the computational approach andresults of an analytical investigation to quantify the life-cycle cost of a steel bridge …,Journal of Bridge Engineering,2014,10
Prediction of structural response of naval vessels based on available structural health monitoring data,Alysson Mondoro; Mohamed Soliman; Dan M Frangopol,Abstract Structural health monitoring (SHM) can be beneficial in reducing epistemicuncertainties associated with fatigue life prediction. For naval ships; available SHM data canbe discretized into operational cells; each referring to a certain navigation speed; headingangle; and sea condition. Cell-based approaches for predicting future fatigue life can beapplied if monitoring information is known for all cells. However; available SHM data maypopulate some; but not all; potential cells. Moreover; since SHM data is only available for agiven set of operating conditions; potential changes in climate or operational profiles cannotbe accounted for. Accordingly; there is a need for an approach to predict structuralresponses in unmonitored cells as a function of limited available monitoring data. This paperproposes a methodology to predict the responses of naval vessels in unobserved cells by …,Ocean Engineering,2016,7
Assessment of different flexure fatigue failure analysis methods to estimate the number of cycles to failure of asphalt mixtures,MI Soliman; WA Zeiada; KE Kaloush; MS Mamlouk,ABSTRACT: Load associated fatigue cracking is one of the major distress types occurring inflexible pavements. Beam fatigue testing has been used for several decades and isconsidered an integral part of advanced characterization procedures. However; there havebeen several fatigue failure analysis methods based on the failure stiffness of the mixture.These methods may not produce the same results; and vary depending on the method ofdetecting the failure point. In this paper; beam fatigue test results conducted at Arizona StateUniversity were used for the analysis. The mixtures included conventional; Asphalt Rubber(AR); and Fiber-Reinforced (Aramid and Polyolefin) asphalt mixtures. Deflection controlledfatigue tests were conducted according to American Association of State Highway andTransportation Officials (AASHTO T321) procedure at three temperatures. Paired-t …,Four point bending,2012,7
Optimal risk-based management of coastal bridges vulnerable to hurricanes,Alysson Mondoro; Dan M Frangopol; Mohamed Soliman,Abstract This paper proposes an approach for developing optimal risk-based managementstrategies for bridges in coastal regions. Currently; bridge management strategies in theseregions are designed to limit the negative effects corrosion has on bridge performanceunder traffic loads. However; recent large-scale hurricanes and their associated damage tobridges have demonstrated the need to consider hurricanes when making bridgemanagement decisions. This paper aims to develop optimal risk-based managementstrategies that include both repair actions to address deteriorating performance under trafficloads and retrofit actions to minimize the potential for failure during hurricanes. Theproposed approach considers the uncertainties associated with hazards; and the economic;social; and environmental consequences of failure under traffic loads and hurricanes. The …,Journal of Infrastructure Systems,2016,4
Geometry control simulation for long-span steel cable-stayed bridges based on geometrically nonlinear analysis,Jie Wu; Dan M Frangopol; Mohamed Soliman,Abstract The aim of implementing geometry control simulation to a cable-stayed bridge is toensure that the specific designed geometric configuration will be satisfied after itsconstruction. This paper presents a methodology; along with its software development; tosimulate the different construction stages associated with cable stayed bridges and providethe erection configuration for each stage which ensures that the final designed geometricconfiguration is satisfied. To achieve this goal; a numerical simulation and control techniquewhich considers geometric nonlinear effects is adopted. Multiple short truss elements areused to model the sag effect of long cables; additionally; the simulation of multipletensioning stages associated with long cables is performed by successively adjusting theunstressed lengths of the cables. Beam–column and large displacement effects are …,Engineering Structures,2015,4
Structural Lifecycle Management of Ships Under Uncertainty,Dan M Frangopol; Mohamed Soliman,Successful lifecycle management of ships is best conducted through an integrated lifecycleframework that accounts for uncertainties. These uncertainties are inherently present in theloading conditions; deteriorating mechanisms; inspection and maintenance activities; aswell as in the models adopted to identify the structural resistance of ships. This paperpresents a brief overview on the recent research work performed at Lehigh University in thefield of lifecycle management of naval vessels under uncertainty. The discussed topicsinclude probabilistic performance assessment under different operational conditions;inspection and monitoring planning; and maintenance optimization. Additionally; the papercovers some of the challenges and research areas that need further development to improvethe capabilities of the proposed approach.,Naval Engineers Journal,2014,4
Fatigue reliability assessment of railway bridges based on probabilistic dynamic analysis of a coupled train-bridge system,Huile Li; Dan M Frangopol; Mohamed Soliman; He Xia,Abstract This paper presents an approach to fatigue reliability assessment of railway bridgesbased on probabilistic dynamic analysis of a coupled train-bridge system. The fatigueloading from moving trains is investigated through a novel approach in which three-dimensional (3D) numerical models of both the train and the bridge are integrated with awheel-rail interaction model to perform coupled dynamic analysis. The results of thisanalysis are used to estimate the long-term fatigue loading and the time-variant fatiguereliability of bridge details. Train speed and track irregularities are selected as randomvariables in the coupled train-bridge system model. Probabilistic dynamic stress analysis isconducted for each train passage to obtain samples of the stress range and its cycle count.This information is used to identify the probability distributions of the stress range. Fatigue …,Journal of Structural Engineering,2015,3
Evaluation and prediction of damage to ship structures under uncertainty,DM Frangopol; M Soliman,*,Handbook of Damage Mechanics: Nano to Macro Scale of Materials and Structures. New York: Springer,2015,3
Estimation of cable tension force independent of complex boundary conditions,Banfu Yan; Jiayong Yu; Mohamed Soliman,Abstract The presence of unknown complex boundary conditions usually imposes difficultiesin estimating the cable forces in cable-stayed bridges when using conventional model-based force identification methodologies. Therefore; there exists a need for newmethodologies that can overcome these challenges while achieving acceptable forceidentification accuracy. This paper presents an innovative method to estimate the forceswithin stay cables with complex boundary conditions. The proposed approach transformsthe cable force estimation problem from the common procedure of constructing and solvingthe equation of motion of the cable to a simpler problem of finding the zero-amplitude pointsof its mode shapes. Ultimately; the presented methodology yields accurate cable forceestimations regardless of the complexity of the boundary conditions. An equivalent …,Journal of Engineering Mechanics,2014,3
Maintenance and safety of deteriorating systems: a life-cycle perspective,Dan M Frangopol; Samantha Sabatino; Mohamed Soliman,This paper reviews the key aspects associated with maintenance and safety of deterioratinginfrastructure systems from a life-cycle perspective. The main conceptual aspects related toprobabilistic optimization of maintenance and rehabilitation of structural systems arediscussed. These aspects include life-cycle risk and sustainability assessment; risk-informedand utility-based decision making; and multi-objective optimization of interventions. Ingeneral; sustainability assessment is performed by quantifying economic; social; andenvironmental impacts associated with infrastructure management activities. This keynotepaper also reviews various methods for determining optimum life-cycle maintenance; repair;and rehabilitation types and times; as well as the impact of such activities on the total life-cycle cost. The role of probabilistic performance indicators including reliability and risk …,International Conference on Performance-based and Life-cycle Structural Engineering,2015,2
Life-cycle maintenance; monitoring; and inspection optimization for ship structures under uncertainty,M Soliman; DM Frangopol; A Mondoro,*,12Th International Conference on Applications of Statistics and Probability in Civil Engineering; ICASP12,2015,2
Life-cycle of structural systems: recent achievements and future directions,Dan M Frangopol; Mohamed Soliman,ABSTRACT: Structural systems are under deterioration due to aging; mechanical stressors;and harsh environment; among other threats. Corrosion and fatigue can cause gradualstructural deterioration. Moreover; natural and man-made hazards may lead to a suddendrop in the structural performance. Under the combined effects of these threats; civil andmarine infrastructure systems are expected to perform their intended function whilemaintaining acceptable safety; serviceability; and functionality levels. Inspection; repair; andmaintenance actions are performed to monitor the structural safety and maintain theperformance over certain thresholds. However; these actions must be effectively plannedthroughout the life-cycle of a system to ensure the optimum budget allocation and maximumpossible service life without adverse effects on the safety of the structural system. In this …,Life-Cycle of Structural Systems: Design; Assessment; Maintenance and Management,2014,2
A General Framework for Probabilistic Risk-Based Optimization of Life-Cycle Management of Infrastructure Systems under Gradual and Sudden Deterioration,Dan M Frangopol; Mohamed Soliman,Infrastructure systems are continuously subjected to various deterioration mechanisms. Dueto the presence of uncertainties associated with the loads; material properties; damageoccurrence and propagation; and modeling the structural performance; among others; thelife-cycle management of deteriorating structural systems represents a major challenge;especially when considering the effects of sudden damage. Although various performanceindicators can be used within the life-cycle management of infrastructure systems; risk-based approaches are well-suited for this task. This is due to the ability to integrate theprobabilistic performance with the consequences arising from structural collapse or failure ofdifferent components within an infrastructure system. This paper presents a generalframework for the probabilistic risk-based optimization of life-cycle management of …,*,2014,2
Practical Applications of Life-Cycle Considerations in Sustainable Development of Infrastructure,Dan M Frangopol; Mohamed Soliman; You Dong,Infrastructure systems are subjected to progressive and/or sudden performancedeterioration throughout their service life. This deterioration may start from the day thestructure enters into service and; if not effectively managed; can cause a significantreduction in the structural functionality and safety. Over the last decades; research effortshave shown that life-cycle management techniques can be successfully used to managesuch deteriorating systems. In these techniques; various modules are integrated to form acomprehensive framework responsible for the assessment of the life-cycle performance;analysis of system and component performance interaction; management activities (eg;inspections; monitoring; and maintenance) optimization; and updating the life-cycleperformance based on information obtained from structural health monitoring and/or …,*,2014,2
Simulating the construction process of steel-concrete composite bridges,Jie Wu; Dan M Frangopol; Mohamed Soliman,Abstract This paper presents a master-slave constraint method; which may substitute theconventional transformed-section method; to account for the changes in cross-sectionalproperties of composite members during construction and to investigate the time-dependentperformance of steel-concrete composite bridges. The time-dependent effects caused bycreep and shrinkage of concrete are considered by combining the age-adjusted effectivemodulus method and finite element analysis. An efficient computational tool which runs inAutoCAD environment is developed to simulate the construction process of steel-concretecomposite bridges. The major highlight of the developed tool consists in a very convenientand user-friendly interface integrated in AutoCAD environment. The accuracy of theproposed method is verified by comparing its results with those provided by using the …,Steel and Composite Structures,2015,1
Fatigue Damage in Railway Steel Bridges: Approach Based on a Dynamic Train-Bridge Coupled Model,Huile Li; Mohamed Soliman; Dan M Frangopol; He Xia,Abstract This paper evaluates the fatigue stress and damage accumulation in steel railwaybridges using a dynamic coupled train-bridge system model. The system consists of aspatial vehicle model; a three-dimensional (3D) bridge model; and a wheel-rail interactionmodel including the effects of track irregularities. The proposed approach was validated bycomparing the fatigue stresses of an existing steel railway bridge to those obtained from fieldstructural-health-monitoring data. Fatigue evaluation of the critical structural detail in thebridge was performed on the basis of stress data resulting from the proposed approach andtwo conventional methods (ie; the static-influence-line method and the moving-loadmethod). In addition; an investigation on the effects of train speed; track irregularities; andlateral vibrations on fatigue damage and remaining service life was performed. The …,Journal of Bridge Engineering,2017,*
Nonlinear Prediction Surfaces for Estimating the Structural Response of Naval Vessels,Alysson Mondoro; Mohamed Soliman; Dan M Frangopol,Abstract Structural health monitoring (SHM) of naval vessels is essential for assessing theperformance of the structure and the fatigue damage accrued over the service life. The directintegration of available SHM data may be useful in reducing the epistemic uncertaintiesarising from inaccuracies in the modeling and the variations in the as-built structuralconfiguration from the initial design. Based on SHM data; fatigue damage indices can bepredicted by implementing cell based approaches; such as the lifetime weighted seamethod; that discretizes the operational conditions of the vessel into cells with specific waveheight; heading angle; and speed. The integration of SHM data into the fatigue assessmentusing lifetime weighted sea method requires a complete set of data that covers the wholeoperational spectrum. However; technical malfunctions or discrete monitoring practices …,*,2017,*
Life-cycle cost analysis of steel bridges under severe chloride exposure: A comparison between conventional and corrosion-resistant steel,M Soliman; DM Frangopol,ABSTRACT Steel bridges are under continuous deterioration due to various environmentaland mechanical stressors. This deterioration adversely affects the resistance and reliabilityof the structure resulting in a corresponding reduction in the safe service life. Among theeffects that impact the reliability of aging steel bridges and limit their service life is corrosion.Corrosion affects all steel bridge members and its effects are accelerated in the presence ofchloride deposits arising from marine environments or exposure to de-icing salts. Corrosioncan lead to a uniform loss in the thickness of affected elements; and in turn; reduce theirstructural capacity. This may eventually lead to failure in the corroded component when theload effects exceed the diminished capacity of the member. Different types of steel can beused in steel bridges depending on the desired level of corrosion protection. Carbon steel …,Life-Cycle of Engineering Systems: Emphasis on Sustainable Civil Infrastructure: Proceedings of the Fifth International Symposium on Life-Cycle Civil Engineering (IALCCE 2016); 16-19 October 2016; Delft; The Netherlands,2016,*
Risk-based approach for the optimal management of coastal bridges,A Mondoro; DM Frangopol; M Soliman,ABSTRACT The recent occurrence of large scale hurricanes in the south and northeastregions of the United States and their subsequent damage to the infrastructure hashighlighted the importance of considering hurricanes in the design and management ofcoastal bridges. These bridges have the propensity to fail due to deck unseating; typically;the weight of the superstructure is the only resisting mechanism to uplift forces. Additionally;coastal bridges exist in corrosive environments and the resulting deterioration adverselyaffects the performance of the bridge under both hurricanes and traffic.,Maintenance; Monitoring; Safety; Risk and Resilience of Bridges and Bridge Networks,2016,*
Redundancy of Structures and Fatigue of Bridges and Ships Under Uncertainty,Dan M Frangopol; Benjin Zhu; Mohamed Soliman,Abstract Bridges and ships are key components of civil and marine infrastructure systems;respectively. Due to the nature of their in-service role; failure of such structures may lead tovery high consequences. Preventing such failures requires rigorous design and life-cyclemanagement techniques. In order to maintain satisfactory performance for these structuresthroughout their service life; various uncertainties associated with the design andmanagement processes should be properly accounted for. Among the important designconsiderations for bridges and ships that highly depend on the proper identification of theseuncertainties are the structural redundancy quantification and fatigue life assessment. In thischapter; quantification of redundancy and its integration into the design process of structuralcomponents are discussed. Additionally; the probabilistic fatigue assessment problem …,*,2016,*
Life-Cycle Management of Civil and Marine Structures under Fatigue and Corrosion Effects,Mohamed Soliman,Abstract Infrastructure systems are under continuous deteriorating effects due to variousenvironmental and mechanical stressors. These effects can be generated by sudden threatssuch as earthquakes; tornadoes; blast; and fire; or gradual deterioration due to fatigue andcorrosion. Moreover; as indicated in the 2013 American Society of Civil Engineers (ASCE)Report Card of America's Infrastructure; the United States' infrastructure systems are highlydeteriorating with a required estimated investment of 3.6 trillion USD to improve theircondition within the next seven years. Given the limited financial resources; rationalmethodologies are required to support the optimum budget allocation while maintainingmaximum possible safety levels. Uncertainties associated with the performance prediction;damage initiation and propagation; damage detection capabilities; and the effect of …,*,2015,*
Damage to Ship Structures Under Uncertainty: Evaluation and Prediction,Dan M Frangopol; Mohamed Soliman,Abstract Ship structures are subjected to various deteriorating mechanisms throughout theirservice life. This deterioration is highly uncertain and can adversely affect the performanceand safety of the vessel; and if not addressed properly; catastrophic failures may occur. Inthis chapter; deteriorating mechanisms affecting ship structures and their prediction modelsunder uncertainty are discussed. In addition; the integration of these models into a generalevaluation and management framework is introduced. This integration can support theoptimal decision-making process regarding future structural interventions and; eventually;may lead to safe and efficient service life extension. The role of structural health monitoringand nondestructive evaluation techniques in damage identification; assessment; andprediction is also discussed.,*,2015,*
Lifetime performance; risk; and sustainability of bridges,Dan M Frangopol; You Dong; Mohamed Soliman,Infrastructure transportation systems play an important role in the sustained economicgrowth and social development of most countries. Bridges are key components in suchsystems. During their service life; bridges are subjected to progressive and/or suddenperformance deterioration. Planning bridge lifetime management actions under variousbudgetary constraints and safety; risk; and sustainability requirements represents anessential and challenging process. This can only be achieved through an integratedoptimum bridge life-cycle management framework accounting for uncertainties and variousobjectives and constraints. This keynote paper highlights the proper methodologies forintegrating bridge performance; risk; and sustainability concepts into the life-cycleoptimization framework. The probabilistic evaluation of bridge performance at the system …,Austroads Bridge Conference; 9th; 2014; Sydney; New South Wales; Australia,2014,*
Inspection; Monitoring; and Maintenance of Infrastructure Systems in a Life-cycle Context: Emphasis on Bridges,Dan M Frangopol; Mohamed Soliman,This paper provides a brief overview of the inspection; monitoring; and maintenancescheduling for civil infrastructure systems within the context of life-cycle management underuncertainty. Various methods for determining the optimum life-cycle inspection; monitoringand repair times and types; as well as the impact of such activities on the total life-cycle cost;are discussed in detail. Sources of uncertainty and the objectives of the life-cycleassessment and management are also presented. Additionally; the integration of theseactivities with other modules of the general life-cycle management framework responsiblefor the performance prediction and updating is also discussed. The presented approachesare capable of handling; individually or simultaneously; various deterioration mechanismssuch as earthquake effects; fatigue; and corrosion. The role of probabilistic performance …,IABSE Symposium Report,2014,*
Reliability Quantification of High-Speed Naval Vessels Based on SHM Data,Mohamed Soliman; Dan M Frangopol,Abstract Identification of the structural responses of high-speed naval vessels under normalsea operation is subjected to uncertainties associated with the loading conditions; materialproperties; cross-sectional dimensions and damage propagation; among others.Probabilistic analyses provide appropriate performance indicators; such as the reliabilityindex; which can simultaneously consider these uncertainties in the prediction of the servicelife of ships based on the required reliability levels. In this context; structural healthmonitoring (SHM) can aid in determining the seaway loading conditions and quantifying thestructural responses under different operational conditions. As a result; uncertaintiesassociated with the performance prediction can be quantified and some of them (ie;epistemic uncertainties) can be reduced. In this paper; reliability assessment; based on …,*,2014,*
Lebenszyklusmanagement von Bruecken bei Unsicherheit,DM FRANGOPOL; M SOLIMAN,Es wird ein kurzer Ueberblick ueber die aktuellen Forschungsarbeiten auf dem Gebiet desManagements der Brueckenerhaltung waehrend der Nutzungszeit in den USA gegeben.Dort hatten 2010 etwa 24 Prozent der Bruecken im Zuge von HighwaysTragfaehigkeitsdefizite oder sie waren aus anderen Gruenden nicht mehr hinreichendfunktionsfaehig. Gluecklicherweise hat sich der Prozentsatz der geschaedigten Brueckeninfolge der ergriffenen Erhaltungs-und Verstaerkungsmassnahmen in den vergangenenzwei Jahrzehnten deutlich verringert. Das beschriebene; modular aufgebaute System derBrueckenerhaltung beinhaltet unter anderem Bestandsaufnahme; Beurteilung desTragverhaltens; Bewertung der Zuverlaessigkeit sowie die Optimierung derUeberwachungsverfahren. Das Managementsystem ist sodann auf Bauwerke …,*,2013,*
Reliability and Remaining Life Assessment of Fatigue Critical Steel Structures: Integration of Inspection and Monitoring Information,Mohamed Soliman; Dan M Frangopol,The accurate prediction of the time-dependent damage level under uncertainty is anessential task in the management of fatigue critical steel structures. Structural healthmonitoring (SHM) and inspection actions can greatly improve the reliability of the predictionprocess. This is partly achieved by reducing the uncertainties associated with load estimatesand actual structural responses. Additionally; SHM and inspections provide a deeper insightinto the damage level at the time of application of such actions. This paper proposes aprobabilistic approach for quantifying the reliability and the remaining service life of fatiguedeteriorating steel bridges based on the information form SHM and inspection actions. Theapproach utilizes a probabilistic crack growth model which considers uncertaintiesassociated with the damage propagation process and monitoring outcomes to find the …,*,2013,*
Inspection Planning for Steel Bridges Subjected to Fatigue and Corrosion,Mohamed Soliman; Dan M Frangopol,This paper proposes a probabilistic approach to find the optimum inspection schedule forsteel bridges subjected to fatigue and corrosion. The approach considers corrosion in thereinforced concrete deck in addition to multiple fatigue critical locations and selects the bestinspection option among a set of predefined options for each critical location. Uncertaintiesin the damage occurrence; propagation and detection are considered. The optimuminspection schedule is found as the solution of a bi-objective problem that minimizes theexpected inspection cost and maximizes the probability of damage detection before failure.The approach can be used to support the decision making process and can be integratedinto a general life-cycle management framework.,IABSE Symposium Report,2012,*
RISK ASSESSMENT OF SYSTEMS DURING DEVELOPMENT PHASE: AN APPROACH BASED ON LIFETIME FUNCTIONS,MOHAMED SOLIMAN; DANM FRANGOPOL,Abstract. Quantifying the time-dependent risk associated with complex engineering projectsis an essential task to ensure the success of these projects. Low technology readiness andmaturity levels and uncertainties associated with different development scenarios andmanagement decisions are among the risk mechanisms which may affect a system.Accordingly; monitoring the risk associated with a project during its development phase isnecessary in order to achieve satisfactory outcomes. This paper investigates the applicabilityof system reliability concepts in assessing the risk associated with engineering systemsduring their development phase. A system-based approach to quantify risk associated with asystems; based on time-dependent system reliability principles applied through lifetimefunctions; is proposed. The approach starts with defining the probabilistic parameters …,*,*,*
Equation Chapter 1 Section 1Practical Applications of Life-Cycle Considerations in Sustainable Development of Infrastructure,Dan M Frangopol; Mohamed Soliman; You Dong,*,*,*,*
