Efficient similarity joins for near-duplicate detection,Chuan Xiao; Wei Wang; Xuemin Lin; Jeffrey Xu Yu; Guoren Wang,Abstract With the increasing amount of data and the need to integrate data from multipledata sources; one of the challenging issues is to identify near-duplicate records efficiently. Inthis article; we focus on efficient algorithms to find a pair of records such that their similaritiesare no less than a given threshold. Several existing algorithms rely on the prefix filteringprinciple to avoid computing similarity values for all possible pairs of records. We proposenew filtering techniques by exploiting the token ordering information; they are integrated intothe existing methods and drastically reduce the candidate sizes and hence improve theefficiency. We have also studied the implementation of our proposed algorithm in stand-alone and RDBMS-based settings. Experimental results show our proposed algorithms canoutperform previous algorithms on several real datasets.,ACM Transactions on Database Systems (TODS),2011,559
Semantics of ranking queries for probabilistic data and expected ranks,Graham Cormode; Feifei Li; Ke Yi,When dealing with massive quantities of data; top-k queries are a powerful technique forreturning only the k most relevant tuples for inspection; based on a scoring function. Theproblem of efficiently answering such ranking queries has been studied and analyzedextensively within traditional database settings. The importance of the top-k is perhaps evengreater in probabilistic databases; where a relation can encode exponentially many possibleworlds. There have been several recent attempts to propose definitions and algorithms forranking queries over probabilistic data. However; these all lack many of the intuitiveproperties of a top-k over deterministic data. Specifically; we define a number of fundamentalproperties; including exact-k; containment; unique-rank; value-invariance; and stability;which are all satisfied by ranking queries on certain data. We argue that all these …,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,212
Finding time-dependent shortest paths over large graphs,Bolin Ding; Jeffrey Xu Yu; Lu Qin,Abstract The spatial and temporal databases have been studied widely and intensively overyears. In this paper; we study how to answer queries of finding the best departure time thatminimizes the total travel time from a place to another; over a road network; where the trafficconditions dynamically change from time to time. We study a generalized form of thisproblem; called the time-dependent shortest-path problem. A time-dependent graph GT is agraph that has an edge-delay function; wi; j (t); associated with each edge (vi; vj); to bestored in a database. The edge-delay function wi; j (t) specifies how much time it takes totravel from node vi to node vj; if it departs from vi at time t. A user-specified query is to ask theminimum-travel-time path; from a source node; vs; to a destination node; ve; over the time-dependent graph; GT; with the best departure time to be selected from a time interval T …,Proceedings of the 11th international conference on Extending database technology: Advances in database technology,2008,206
False positive or false negative: Mining frequent itemsets from high speed transactional data streams,Jeffery Xu Yu; Zhihong Chong; Hongjun Lu; Aoying Zhou,Abstract The problem of finding frequent items has been recently studied over high speeddata streams. However; mining frequent itemsets from transactional data streams has notbeen well addressed yet in terms of its bounds of memory consumption. The main difficulty isdue to the nature of the exponential explosion of itemsets. Given a domain of I unique items;the possible number of itemsets can be up to 2 I-1. When the length of data streamsapproaches to a very large number N; the possibility of an itemset to be frequent becomeslarger and difficult to track with limited memory. However; the real killer of effective frequentitemset mining is that most of existing algorithms are false-positive oriented. That is; theycontrol memory consumption in the counting processes by an error parameter ε; and allowitems with support below the specified minimum support s but above s-ε counted as …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,202
Dynamically maintaining frequent items over a data stream,Cheqing Jin; Weining Qian; Chaofeng Sha; Jeffrey X Yu; Aoying Zhou,Abstract It is challenge to maintain frequent items over a data stream; with a small boundedmemory; in a dynamic environment where both insertion/deletion of items are allowed. Inthis paper; we propose a new novel algorithm; called hCount; which can handle bothinsertion and deletion of items with a much less memory space than the best reportedalgorithm. Our algorithm is also superior in terms of precision; recall and processing time. Inaddition; our approach does not request the preknowledge on the size of range for a datastream; and can handle range extension dynamically. Given a little modification; algorithmhCount can be improved to hCount*; which even owns significantly better performance thanbefore.,Proceedings of the twelfth international conference on Information and knowledge management,2003,187
Text classification without negative examples revisit,Gabriel Pui Cheong Fung; Jeffrey Xu Yu; Hongjun Lu; Philip S Yu,Traditionally; building a classifier requires two sets of examples: positive examples andnegative examples. This paper studies the problem of building a text classifier using positiveexamples (P) and unlabeled examples (U). The unlabeled examples are mixed with bothpositive and negative examples. Since no negative example is given explicitly; the task ofbuilding a reliable text classifier becomes far more challenging. Simply treating all of theunlabeled examples as negative examples and building a classifier thereafter isundoubtedly a poor approach to tackling this problem. Generally speaking; most of thestudies solved this problem by a two-step heuristic: first; extract negative examples (N) fromU. Second; build a classifier based on P and N. Surprisingly; most studies did not try toextract positive examples from U. Intuitively; enlarging P by P'(positive examples …,IEEE transactions on Knowledge and Data Engineering,2006,179
The autophagic paradox in cancer therapy,WKK Wu; SB Coffelt; CH Cho; XJ Wang; CW Lee; FKL Chan; J Yu; JJY Sung,Abstract Autophagy; hallmarked by the formation of double-membrane bound organellesknown as autophagosomes; is a lysosome-dependent pathway for protein degradation. Therole of autophagy in carcinogenesis is context dependent. As a tumor-suppressingmechanism in early-stage carcinogenesis; autophagy inhibits inflammation and promotesgenomic stability. Moreover; disruption of autophagy-related genes acceleratestumorigenesis in animals. However; autophagy may also act as a pro-survival mechanism toprotect cancer cells from various forms of cellular stress. In cancer therapy; adaptiveautophagy in cancer cells sustains tumor growth and survival in face of the toxicity of cancertherapy. To this end; inhibition of autophagy may sensitize cancer cells to chemotherapeuticagents and ionizing radiation. Nevertheless; in certain circumstances; autophagy …,*,2012,174
Path materialization revisited: an efficient storage model for XML data,Haifeng Jiang; Hongjun Lu; Wei Wang; Jeffrey Xu Yu,Abstract XML is emerging as a new major standard for representing data on the world wideweb. Several XML storage models have been proposed to store XML data in differentdatabase management systems. The unique feature of model-mapping-based approachesis that no DTD information is required for XML data storage. In this paper; we present a newmodel-mapping-based storage model; called XParent. Unlike the existing work on model-mapping-based approaches that emphasized on converting XML documents to/fromdatabase schema and translation of XML queries into SQL queries; in this paper; we focusourselves on the effectiveness of storage models in terms of query processing. We study thekey issues that affect query performance; namely; storage schema design (storing XML dataacross multiple tables) and path materialization (storing path information in databases) …,Australian Computer Science Communications,2002,171
Keyword search in databases: the power of RDBMS,Lu Qin; Jeffrey Xu Yu; Lijun Chang,Abstract Keyword search in relational databases (RDBs) has been extensively studiedrecently. A keyword search (or a keyword query) in RDBs is specified by a set of keywords toexplore the interconnected tuple structures in an RDB that cannot be easily identified usingSQL on RDBMS. In brief; it finds how the tuples containing the given keywords areconnected via sequences of connections (foreign key references) among tuples in an RDB.Such interconnected tuple structures can be found as connected trees up to a certain size;sets of tuples that are reachable from a root tuple within a radius; or even multi-centersubgraphs within a radius. In the literature; there are two main approaches. One is togenerate a set of relational algebra expressions and evaluate every such expression usingSQL on an RDBMS directly or in a middleware on top of an RDBMS indirectly. Due to a …,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009,151
Fast graph pattern matching,Jiefeng Cheng; Jeffrey Xu Yu; Bolin Ding; S Yu Philip; Haixun Wang,Due to rapid growth of the Internet technology and new scientific/technological advances;the number of applications that model data as graphs increases; because graphs have highexpressive power to model complicated structures. The dominance of graphs in real-worldapplications asks for new graph data management so that users can access graph dataeffectively and efficiently. In this paper; we study a graph pattern matching problem over alarge data graph. The problem is to find all patterns in a large data graph that match a user-given graph pattern. We propose a new two-step R-join (reachability join) algorithm withfilter step and fetch step based on a cluster-based join-index with graph codes. We considerthe filter step as an R-semijoin; and propose a new optimization approach by interleaving R-joins with R-semijoins. We conducted extensive performance studies; and confirm the …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,149
Sliding-window top-k queries on uncertain streams,Cheqing Jin; Ke Yi; Lei Chen; Jeffrey Xu Yu; Xuemin Lin,Abstract Query processing on uncertain data streams has attracted a lot of attentions lately;due to the imprecise nature in the data generated from a variety of streaming applications;such as readings from a sensor network. However; all of the existing works on uncertaindata streams study unbounded streams. This paper takes the first step towards the importantand challenging problem of answering sliding-window queries on uncertain data streams;with a focus on arguably one of the most important types of queries---top-k queries. Thechallenge of answering sliding-window top-k queries on uncertain data streams stems fromthe strict space and time requirements of processing both arriving and expiring tuples in high-speed streams; combined with the difficulty of coping with the exponential blowup in thenumber of possible worlds induced by the uncertain data model. In this paper; we design …,Proceedings of the VLDB Endowment,2008,143
Bloom histogram: path selectivity estimation for XML data with updates,Wei Wang; Haifeng Jiang; Hongjun Lu; Jeffrey Xu Yu,Abstract Cost-based XML query optimization calls for accurate estimation of the selectivity ofpath expressions. Some other interactive and internet applications can also benefit fromsuch estimations. While there are a number of estimation techniques proposed in theliterature; almost none of them has any guarantee on the estimation accuracy within a givenspace limit. In addition; most of them assume that the XML data are more or less static; ie;with few updates. In this paper; we present a framework for XML path selectivity estimation ina dynamic context. Specifically; we propose a novel data structure; bloom histogram; toapproximate XML path frequency distribution within a small space budget and to estimatethe path selectivity accurately with the bloom histogram. We obtain the upper bound of itsestimation error and discuss the trade-offs between the accuracy and the space limit. To …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,136
Probabilistic skyline operator over sliding windows,Wenjie Zhang; Xuemin Lin; Ying Zhang; Wei Wang; Jeffrey Xu Yu,Skyline computation has many applications including multi-criteria decision making. In thispaper; we study the problem of efficient processing of continuous skyline queries oversliding windows on uncertain data elements regarding given probability thresholds. We firstcharacterize what kind of elements we need to keep in our query computation. Then weshow the size of dynamically maintained candidate set and the size of skyline. We developnovel; efficient techniques to process a continuous; probabilistic skyline query. Finally; weextend our techniques to the applications where multiple probability thresholds are given orwe want to retrieve" top-k" skyline data objects. Our extensive experiments demonstrate thatthe proposed techniques are very efficient and handle a high-speed data stream in real time.,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,130
Indexable PLA for efficient similarity search,Qiuxia Chen; Lei Chen; Xiang Lian; Yunhao Liu; Jeffrey Xu Yu,Abstract Similarity-based search over time-series databases has been a hot research topicfor a long history; which is widely used in many applications; including multimedia retrieval;data mining; web search and retrieval; and so on. However; due to high dimensionality (ielength) of the time series; the similarity search over directly indexed time series usuallyencounters a serious problem; known as the" dimensionality curse". Thus; manydimensionality reduction techniques are proposed to break such curse by reducing thedimensionality of time series. Among all the proposed methods; only Piecewise LinearApproximation (PLA) does not have indexing mechanisms to support similarity queries;which prevents it from efficiently searching over very large time-series databases. Our initialstudies on the effectiveness of different reduction methods; however; show that PLA …,Proceedings of the 33rd international conference on Very large data bases,2007,129
A novel spectral coding in a large graph database,Lei Zou; Lei Chen; Jeffrey Xu Yu; Yansheng Lu,Abstract Retrieving related graphs containing a query graph from a large graph database isa key issue in many graph-based applications; such as drug discovery and structural patternrecognition. Because sub-graph isomorphism is a NP-complete problem [4]; we have toemploy a filter-and-verification framework to speed up the search efficiency; that is; using aneffective and efficient pruning strategy to filter out the false positives (graphs that are notpossible in the results) as many as possible first; then validating the remaining candidatesby subgraph isomorphism checking. In this paper; we propose a novel filtering method; aspectral encoding method; ie GCoding. Specifically; we assign a signature to each vertexbased on its local structures. Then; we generate a spectral graph code by combining allvertex signatures in a graph. Based on spectral graph codes; we derive a necessary …,Proceedings of the 11th international conference on Extending database technology: Advances in database technology,2008,127
Scalable sequential pattern mining for biological sequences,Ke Wang; Yabo Xu; Jeffrey Xu Yu,Abstract Biosequences typically have a small alphabet; a long length; and patternscontaining gaps (ie;" don't care") of arbitrary size. Mining frequent patterns in suchsequences faces a different type of explosion than in transaction sequences primarilymotivated in market-basket analysis. In this paper; we study how this explosion affects theclassic sequential pattern mining; and present a scalable two-phase algorithm to deal withthis new explosion. The< i> Segment Phase</i> first searches for short patterns containingno gaps; called< i> segments</i>. This phase is efficient. The< i> Pattern Phase</i>searches for long patterns containing multiple segments separated by variable length gaps.This phase is time consuming. The purpose of two phases is to exploit the informationobtained from the first phase to speed up the pattern growth and matching and to prune …,Proceedings of the thirteenth ACM international conference on Information and knowledge management,2004,127
TwigList: make twig pattern matching fast,Lu Qin; Jeffrey Xu Yu; Bolin Ding,Abstract Twig pattern matching problem has been widely studied in recent years. Give anxml tree T. A twig-pattern matching query; Q; represented as a query tree; is to find all theoccurrences of such twig pattern in T. Previous works like HolisticTwig and TJFastdecomposed the twig pattern into single paths from root to leaves; and merged all theoccurrences of such path-patterns to find the occurrences of the twig-pattern matching query;Q. Their techniques can effectively prune impossible path-patterns to avoid producing alarge amount of intermediate results. But they still need to merge path-patterns which occurshigh computational cost. Recently; Twig 2 Stack was proposed to overcome this problemusing hierarchical-stacks to further reduce the merging cost. But; due to the complexhierarchical-stacks Twig 2 Stack used; Twig 2 Stack Stack may end up many random …,International Conference on Database Systems for Advanced Applications,2007,126
News sensitive stock trend prediction,Gabriel Pui Cheong Fung; Jeffrey Xu Yu; Wai Lam,Abstract Stock market prediction with data mining techniques is one of the most importantissues to be investigated. In this paper; we present a system that predicts the changes ofstock trend by analyzing the influence of non-quantifiableinformation (news articles). Inparticular; we investigate the immediate impact of news articles on the time series based onthe Efficient Markets Hypothesis. Several data mining and text mining techniques are usedin a novel way. A new statistical based piecewise segmentation algorithm is proposed toidentify trends on the time series. The segmented trends are clustered into two categories;Rise and Drop; according to the slope of trends and the coefficient of determination. Wepropose an algorithm; which is called guided clustering; to filter news articles with the help ofthe clusters that we have obtained from trends. We also propose a new differentiated …,Pacific-Asia Conference on Knowledge Discovery and Data Mining,2002,124
Towards multidimensional subspace skyline analysis,Jian Pei; Yidong Yuan; Xuemin Lin; Wen Jin; Martin Ester; Qing Liu; Wei Wang; Yufei Tao; Jeffrey Xu Yu; Qing Zhang,Abstract The skyline operator is important for multicriteria decision-making applications.Although many recent studies developed efficient methods to compute skyline objects in agiven space; none of them considers skylines in multiple subspaces simultaneously. Moreimportantly; the fundamental problem on the semantics of skylines remains open: Why andin which subspaces is (or is not) an object in the skyline&quest; Practically; users may alsobe interested in the skylines in any subspaces. Then; what is the relationship between theskylines in the subspaces and those in the super-spaces&quest; How can we effectivelyanalyze the subspace skylines&quest; Can we efficiently compute skylines in varioussubspaces and answer various analytical queries&quest; In this article; we tackle theproblem of multidimensional subspace skyline computation and analysis. We explore …,ACM Transactions on Database Systems (TODS),2006,121
Comparison of the Kato-Katz technique; hatching test and indirect hemagglutination assay (IHA) for the diagnosis of Schistosoma japonicum infection in China,JM Yu; SJ De Vlas; QW Jiang; Bruno Gryseels,Abstract The Kato-Katz technique (duplicate 41.7 mg fecal smears); hatching test andindirect hemagglutination assay (IHA) were compared for their ability to detect humanSchistosoma japonicum infection in two endemic villages (Zhonjiang and Zhuxi) in ruralChina. The hatching test (using a nylon bag; and based on about 30 g of feces) and IHA areconventional Chinese diagnostic methods. In both villages; the trends of prevalences withage and sex were comparable for the different methods. In Zhuxi; Kato-Katz examinations ofstools from 7 different days and hatching were available; which could be used as a reliablegold standard. This resulted for IHA in a sensitivity of 80% and a specificity of 48%. Thesensitivity of the Kato-Katz technique using one stool specimen was 68%; twice that ofhatching (33%). In Zhonjiang; however; hatching resulted in more positive cases than …,Parasitology international,2007,118
Materialized view selection as constrained evolutionary optimization,Jeffrey Xu Yu; Xin Yao; Chi-Hon Choi; Gang Gou,One of the important issues in data warehouse development is the selection of a set of viewsto materialize in order to accelerate a large number of on-line analytical processing (OLAP)queries. The maintenance-cost view-selection problem is to select a set of materializedviews under certain resource constraints for the purpose of minimizing the total queryprocessing cost. However; the search space for possible materialized views may beexponentially large. A heuristic algorithm often has to be used to find a near optimal solution.In this paper; for the maintenance-cost view-selection problem; we propose a newconstrained evolutionary algorithm. Constraints are incorporated into the algorithm througha stochastic ranking procedure. No penalty functions are used. Our experimental resultsshow that the constraint handling technique; ie; stochastic ranking; can deal with …,IEEE Transactions on Systems; Man; and Cybernetics; Part C (Applications and Reviews),2003,118
Clustering large attributed graphs: An efficient incremental approach,Yang Zhou; Hong Cheng; Jeffrey Xu Yu,In recent years; many networks have become available for analysis; including socialnetworks; sensor networks; biological networks; etc. Graph clustering has shown itseffectiveness in analyzing and visualizing large networks. The goal of graph clustering is topartition vertices in a large graph into clusters based on various criteria such as vertexconnectivity or neighborhood similarity. Many existing graph clustering methods mainlyfocus on the topological structures; but largely ignore the vertex properties which are oftenheterogeneous. Recently; a new graph clustering algorithm; SA-Cluster; has been proposedwhich combines structural and attribute similarities through a unified distance measure. SA-Cluster performs matrix multiplication to calculate the random walk distances between graphvertices. As the edge weights are iteratively adjusted to balance the importance between …,Data Mining (ICDM); 2010 IEEE 10th International Conference on,2010,117
AFOPT: An Efficient Implementation of Pattern Growth Approach.,Guimei Liu; Hongjun Lu; Jeffrey Xu Yu; Wei Wang; Xiangye Xiao,Abstract In this paper; we revisit the frequent itemset mining (FIM) problem and focus onstudying the pattern growth approach. Existing pattern growth algorithms differ in severaldimensions:(1) item search order;(2) conditional database representation;(3) conditionaldatabase construction strategy; and (4) tree traversal strategy. They adopted differentstrategies on these dimensions. Several adaptive algorithms were proposed to try to findgood strategies for general situations. In this paper; we described the implementationtechniques of an adaptive pattern growth algorithm; called AFOPT; which demonstratedgood performance on all tested datasets. We also extended the algorithm to mine closedand maximal frequent itemsets. Comprehensive experiments were conducted todemonstrate the efficiency of the proposed algorithms.,FIMI,2003,117
PBiTree coding and efficient processing of containment joins,Wei Wang; Haifeng Jiang; Hongjun Lu; Jeffrey Xu Yu,We address issue related to containment join processing in tree-structured data such asXML documents. A containment join takes two sets of XML node elements as input andreturns pairs of elements such that the containment relationship holds between them. Whilethere are previous algorithms for processing containment joins; they require both elementsets either sorted or indexed. We propose a novel and complete containment queryprocessing framework based on a new coding scheme; PBiTree code. The PBiTree codeallows us to determine the ancestor-descendant relationship between two elements fromtheir PBiTree-based codes efficiently. We present algorithms in the framework that areoptimized for various combinations of settings. In particular; the newly proposed partitioningbased algorithms can process containment joins efficiently without sorting or indexes …,Data Engineering; 2003. Proceedings. 19th International Conference on,2003,117
Paraoxonase-2 deficiency enhances Pseudomonas aeruginosa quorum sensing in murine tracheal epithelia,David A Stoltz; Egon A Ozer; Carey J Ng; Janet M Yu; Srinivasa T Reddy; Aldons J Lusis; Noam Bourquard; Matthew R Parsek; Joseph Zabner; Diana M Shih,Pseudomonas aeruginosa is an important cause of nosocomial infections and is frequentlypresent in the airways of cystic fibrosis patients. Quorum sensing mediates P. aeruginosa'svirulence and biofilm formation through density-dependent interbacterial signaling withautoinducers. N-3-oxododecanoyl homoserine lactone (3OC12-HSL) is the majorautoinducer in P. aeruginosa. We have previously shown that human airway epithelia andparaoxonases (PONs) degrade 3OC12-HSL. This study investigated the role of PON1;PON2; and PON3 in airway epithelial cell inactivation of 3OC12-HSL. All three PONs werepresent in murine tracheal epithelial cells; with PON2 and PON3 expressed at the highestlevels. Lysates of tracheal epithelial cells from PON2; but not PON1 or PON3; knockout micehad impaired 3OC12-HSL inactivation compared with wild-type mice. In contrast; PON1 …,American Journal of Physiology-Lung Cellular and Molecular Physiology,2007,116
