Doping Strategies for Monolayer MoS2 via Surface Adsorption: A Systematic Study,Priyank Rastogi; Sanjay Kumar; Somnath Bhowmick; Amit Agarwal; Yogesh Singh Chauhan,Using density functional theory calculations; we have systematically explored the effect ofsurface adsorption of different atoms on the electronic properties of monolayer molybdenumdisulfide (MoS2). We have chosen a few representative members from each group in theperiodic table; ranging from alkali metals (group I) to halogens (group VII); and calculatedthe electronic band structure of the adatom–MoS2 system for the most energetically stablelocation of the adatom adsorbed on MoS2. The calculated value of charge transfer from theadsorbed adatom to MoS2 and resultant shifting of the Fermi level to the conduction bandsuggest that the group I (Li; Na; K) and group II metals (Mg; Ca) are the most effectiveadatoms to enhance the n-type mobile carrier density in MoS2. Our calculation is in goodagreement with the experimental observation for K [Nano Lett. 2013; 13; 1991].,J. Phys. Chem. C,2014,44
Plasmon modes of a massive Dirac plasma; and their superlattices,Rashi Sachdeva; Anmol Thakur; Giovanni Vignale; Amit Agarwal,Abstract We explore the collective density oscillations of a collection of charged massiveDirac particles; in one; two; and three dimensions; and their one-dimensional (1D)superlattice. We calculate the long-wavelength limit of the dynamical polarization functionanalytically; and use the random phase approximation to obtain the plasmon dispersion.The density dependence of the long-wavelength plasmon frequency in massive Diracsystems is found to be different compared to systems with parabolic and gapless Diracdispersion. We also calculate the long-wavelength plasmon dispersion of a 1D metamaterialmade from 1D and 2D massive Dirac plasma. Our analytical results will be useful forexploring the use of massive Dirac materials as electrostatically tunable plasmonicmetamaterials and can be experimentally verified by infrared spectroscopy; as in the case …,Physical Review B,2015,16
Conductance of quantum wires: A numerical study of effects of an impurity and interactions,Amit Agarwal; Diptiman Sen,Abstract We use the nonequilibrium Green's function formalism and a self-consistent Hartree-Fock approximation to numerically study the effects of a single impurity and interactionsbetween the electrons (with and without spin) on the conductance of a quantum wire. Westudy how the conductance varies with the wire length; the temperature; and the strengths ofthe impurity and interactions. The numerical results for the dependence of the conductanceon the wire length and temperature are compared with the results obtained from arenormalization group analysis based on the Hartree-Fock approximation. For the spin-1∕ 2model with a repulsive on-site interaction or the spinless model with an attractive nearestneighbor interaction; we find that the conductance increases with increasing wire length ordecreasing temperature. This can be explained using the Born approximation in …,Physical Review B,2006,15
Persistent spin oscillations in a spin-orbit-coupled superconductor,Amit Agarwal; Marco Polini; Rosario Fazio; G Vignale,Abstract Quasi-two-dimensional superconductors with tunable spin-orbit coupling are veryinteresting systems with properties that are also potentially useful for applications. In thisLetter we demonstrate that these systems exhibit undamped collective spin oscillations thatcan be excited by the application of a supercurrent. We propose to use these collectiveexcitations to realize persistent spin oscillators operating in the frequency range of 10 GHz–1 THz.,Phys. Rev. Lett. 107; 077004,2011,14
Electric-field tunable Dirac semimetal state in phosphorene thin films,Barun Ghosh; Bahadur Singh; Rajendra Prasad; Amit Agarwal,Abstract We study the electric-field tunable electronic properties of phosphorene thin films;using the framework of density functional theory. We show that phosphorene thin films offera versatile material platform to study two-dimensional Dirac fermions on application of atransverse electric field. Increasing the strength of the transverse electric field beyond acertain critical value in phosphorene thin films leads to the formation of two symmetryprotected gapless Dirac fermions states with anisotropic energy dispersion. The spin-orbitcoupling splits each of these Dirac states into two spin-polarized Dirac cones which are alsoprotected by nonsymmorphic crystal symmetries. Our study shows that the position as wellas the carrier velocity of the spin-polarized Dirac cone states can be controlled by thestrength of the external electric field.,Physical Review B,2016,13
First-principles cluster expansion study of functionalization of black phosphorene via fluorination and oxidation,Suhas Nahas; Barun Ghosh; Somnath Bhowmick; Amit Agarwal,Abstract Predicting the ground states for surface adsorption is a challenging problembecause the number of degrees of freedom involved in the process is very high. Most of thestudies deal with some specific arrangements of adsorbates on a given surface; but very fewof them actually attempt to find the ground states for different adatom coverage. In this work;we show the effectiveness of the cluster expansion method to predict the “ground states”resulting from chemisorption of oxygen and fluorine atom on the surface of monolayer blackphosphorus or phosphorene. For device applications; we find that in addition to band-gaptuning; controlled chemisorption can change the unique anisotropic carrier effective mass forboth the electrons and holes and even rotate them by 90∘; which can be useful for exploringunusual quantum Hall effect and electronic devices based on phosphorene.,Physical Review B,2016,13
Compact model for ferroelectric negative capacitance transistor with MFIS structure,Girish Pahwa; Tapas Dutta; Amit Agarwal; Yogesh Singh Chauhan,We present a physics-based compact model for a ferroelectric negative capacitance FET(NCFET) with a metal-ferroelectric-insulator-semiconductor (MFIS) structure. The model iscomputationally efficient; and it accurately calculates the gate charge density as a function ofthe applied voltages. For the first time; an explicit expression for the channel current in bulkNCFET is also deduced taking into account the spatial variation of ferroelectric polarizationin the longitudinal direction. Using current continuity condition in the channel; we find thatdifferent regions of the ferroelectric may operate in a positive or a negative capacitance statedepending on the external biases. The model captures the impact of ferroelectric thicknessscaling and variation in the ferroelectric material parameters; and has been validatedagainst the implicit approach involving full numerical computations as well as …,IEEE Transactions on Electron Devices,2017,12
Quantum confinement effects in extremely thin body germanium n-MOSFETs,Priyank Rastogi; Tapas Dutta; Sanjay Kumar; Amit Agarwal; Yogesh Singh Chauhan,We explore the impact of varying channel thickness (from 8 to 1.5 nm) on extremely thingermanium n-MOSFETs; by explicitly incorporating the quantum confinement effects in theband structure calculations using the first principle density functional theory. In Ge (001) thinfilms in the sub-10-nm regime; the X valley becomes the lowest conduction band valley andis mostly responsible for the charge transport as in silicon. Considering device parametersas per the international technology roadmap for semiconductors (ITRS) projected devicespecifications for the year 2024; we use the confinement-modulated effective mass tocalculate the drain current employing the fully ballistic nonequilibrium Green's functiontransport model. The best suited thickness for digital applications is found to be 1.5 nm withsubthreshold slope of 83.8 mV/decade; I ON/I OFF of 1.8× 10 4; and an I ON exceeding …,IEEE Transactions on Electron Devices,2015,12
Four allotropes of semiconducting layered arsenic that switch into a topological insulator via an electric field: Computational study,Sougata Mardanya; Vinay Kumar Thakur; Somnath Bhowmick; Amit Agarwal,Abstract We propose four different thermodynamically stable structural phases of arsenicmonolayers based on ab initio density functional theory calculations; all of which undergo atopological phase transition on application of a perpendicular electric field. All four arsenicmonolayer allotropes have a wide band gap; varying from 1.21 to 3.0 eV (based on GWcalculations); and in general they undergo a metal-insulator quantum phase transition onapplication of uniaxial in-layer strain. Additionally; an increasing transverse electric fieldinduces band inversion at the Γ point in all four monolayer allotropes; leading to a nontrivialtopological phase (insulating for three allotropes and metallic for one allotrope);characterized by the switching of the Z 2 index from 0 (before band inversion) to 1 (afterband inversion). The topological phase tuned by the transverse electric field should …,Physical Review B,2016,11
Capacitance modeling in III–V FinFETs,Chandan Yadav; Juan Pablo Duarte; Sourabh Khandelwal; Amit Agarwal; Chenming Hu; Yogesh Singh Chauhan,We present a physics-based model of charge density and capacitance for III-V channeldouble-gate nMOSFETs. The developed model accurately accounts for the impact ofquantum capacitance on gate capacitance with applied gate voltage including the steplikebehavior with sub-band population. The presented model is in excellent agreement with theself-consistent Schrödinger-Poisson simulation data of InGaAs channel double-gateMOSFET.,IEEE Transactions on Electron Devices,2015,10
Plasmons in spin polarized graphene: a new way to measure spin polarization,Amit Agarwal; Giovanni Vignale,Abstract We study the collective charge excitations (plasmons) in spin-polarized graphene;and derive explicit expressions for their dispersion in the undamped regime. From this; weare able to calculate the critical wave vector beyond which the plasmon enters the electron-hole continuum; its quality factor decreasing sharply. We find that the value of the criticalwave vector is strongly spin-polarization dependent; in a way that has no analog in ordinarytwo-dimensional electron gases. The origin of this effect is in the coupling between theplasmon and the interband electron-hole pairs of the minority spin carriers. We show that theeffect is robust with respect to the inclusion of disorder and we suggest that it can beexploited to experimentally determine the spin polarization of graphene.,Phys. Rev. B,2015,10
Anisotropic plasmons; Friedel oscillations; and screening in 8− P m m n borophene,Krishanu Sadhukhan; Amit Agarwal,Abstract 8− P mmn borophene is a polymorph of borophene which hosts an anisotropic tiltedDirac cone. Using a low-energy effective Hamiltonian for borophene; we analyticallycalculate the density-density response function of borophene and study its anisotropicplasmon dispersion and screening properties. We find that the anisotropic plasmon mode in8− P mmn borophene remains undamped for higher energies along the mirror symmetrydirection. The Friedel oscillation in borophene is found to decay as r− 3 in the large-r limit;with both the amplitude as well as the periodicity of the Friedel oscillations being anisotropic.,Physical Review B,2017,9
Dynamical polarizability; screening and plasmons in one; two and three dimensional massive Dirac systems,Anmol Thakur; Rashi Sachdeva; Amit Agarwal,Abstract We study the density–density response function of a collection of charged massiveDirac particles and present analytical expressions for the dynamical polarization function inone; two and three dimensions. The polarization function is then used to find the dispersionof the plasmon modes; and electrostatic screening of Coulomb interactions within therandom phase approximation. We find that for massive Dirac systems; the oscillatingscreened potential (or density) decays as r− 2 and r− 3 in two and three dimensionsrespectively; and as r− 1 for one dimensional non-interacting systems. However formassless Dirac systems there is no electrostatic screening or Friedel oscillation in onedimension; and the oscillating screened potential decays as r− 3 and r− 4; in two and threedimensions respectively. Our analytical results for the polarization function will be useful …,Journal of Physics: Condensed Matter,2017,9
Effective Doping of Monolayer Phosphorene by Surface Adsorption of Atoms for Electronic and Spintronic Applications,Priyank Rastogi; Sanjay Kumar; Somnath Bhowmick; Amit Agarwal; Yogesh Singh Chauhan,ABSTRACT We study the effect of surface adsorption of 27 different adatoms on theelectronic and magnetic properties of monolayer black phosphorus using density functionaltheory. Choosing a few representative elements from each group; ranging from alkali metals(group I) to halogens (group VII); we calculate the band structure; density of states; magneticmoment and effective mass for the energetically most stable location of the adatom onmonolayer phosphorene. We predict that group I metals (Li; Na; K); and group III adatoms(Al; Ga; In) are effective in enhancing the n-type mobile carrier density; with group IIIadatoms resulting in lower effective mass of the electrons; and thus higher mobilities.Furthermore; we find that the adatoms of transition metals Ti and Fe produce a finitemagnetic moment (1.87 and 2.31 μ B) in monolayer phosphorene; with different band gap …,IETE Journal of Research,2017,8
Impact of channel thickness variation on bandstructure and source-to-drain tunneling in ultra-thin body III-V MOSFETs,Tapas Dutta; Sanjay Kumar; Priyank Rastogi; Amit Agarwal; Yogesh Singh Chauhan,In nanoscale MOSFETs with sub-10 nm channels; the source-to-drain tunneling is expectedto be a critical bottleneck; especially in III-V devices on account of their extremely loweffective masses. Also; to maintain electrostatic integrity at extremely small gate lengths; thechannels need to be made ultrathin. In such devices; the bandstructure of the channelmaterial becomes thickness dependent due to quantum confinement effects; and deviatesremarkably from that of the bulk material. In this paper; we use first principle densityfunctional theory calculations to evaluate the variation of the effective mass and bandgapwith channel thickness. Then; we perform semi-classical ballistic and full quantum non-equilibrium Green's function transport simulations to study the impact on source-to-draintunneling in III-V nMOSFETs. We demonstrate that the severity of the expected …,IEEE Journal of the Electron Devices Society,2016,8
Designing energy efficient and hysteresis free negative capacitance FinFET with negative DIBL and 3.5 XI ON using compact modeling approach,Girish Pahwa; Tapas Dutta; Amit Agarwal; Yogesh Singh Chauhan,We have developed a physics based model for negative capacitance (NC) FinFETs bycoupling the Landau-Khalatnikov model of ferroelctric materials with the standard BSIM-CMG model of FinFET. We apply our model to thin film Y-HfO 2 (yttrium-doped hafniumoxide) based NC-FinFETs designed using state of the art 22nm technology node FinFETs.Using the same ferroelectric material; we demonstrate a device design that can match the ION of the 22nm technology node at 50% reduced V DD with a simultaneous I OFFimprovement of≈ 83%. Further; we analyze the impact of variation of ferroelectric properties;remnant polarization (P r) and coercive electric field (E c) on the device figures of meritwhich can lay a very useful guideline towards investigation of new ferroelectric materials forNC-FinFET. We investigate the impact of scaling the ferroelectric thickness on the …,Solid-State Device Research Conference (ESSDERC); 2016 46th European,2016,7
Line junction in a quantum Hall system with two filling fractions,Diptiman Sen; Amit Agarwal,Abstract We present a microscopic model for a line junction formed by counter orcopropagating single mode quantum Hall edges corresponding to different filling factors.The ends of the line junction can be described by two possible current splitting matriceswhich are dictated by the conditions of both lack of dissipation and the existence of a linearrelation between the bosonic fields. Tunneling between the two edges of the line junctionthen leads to a microscopic understanding of a phenomenological description of linejunctions introduced some time ago. The effect of density-density interactions between thetwo edges is considered; and renormalization-group ideas are used to study how thetunneling parameter changes with the length scale. This leads to a power-law variation ofthe conductance of the line junction with the temperature. Depending on the strength of …,Physical Review B,2008,7
Performance evaluation of 7-nm node negative capacitance FinFET-based SRAM,Tapas Dutta; Girish Pahwa; Amit Ranjan Trivedi; Saurabh Sinha; Amit Agarwal; Yogesh Singh Chauhan,We compare the performance of static random access memory (SRAM) cells based onnegative capacitance (NC) FinFETs and reference FinFETs at the 7-nm technology node.We use a physics-based model for NC FinFETswhere we couple the Landau-Khalatnikovmodel of ferroelectric materials with the standard BSIM-CMG model of FinFET.For the reference FinFETs; we use the predictive model parameters optimized for SRAMdesign as per the ASAP7 PDK. We exploit the unique characteristics of NC-FinFETs anddemonstrate that for ferroelectric thickness below a critical value; SRAMs with higher holdand read stability; better write-ability; lower leakage as well as faster read access time canbe designed at the cost of increased write delay.,IEEE Electron Device Letters,2017,6
Compact modeling of surface potential; charge; and current in nanoscale transistors under quasi-ballistic regime,Avirup Dasgupta; Amit Agarwal; Sourabh Khandelwal; Yogesh Singh Chauhan,In this paper; we have proposed a new analytical model for FETs working in the quasi-ballistic regime. The model is based on a calculation of the charge density along thechannel which is then used to solve Poisson's equation to get the variation of the channelpotential. This is then used to calculate the ballistic and drift-diffusive components of thecurrent. The model is capable of accurately predicting the terminal IV characteristics for alldrain and gate biases and includes short-channel effects. It takes length scaling into accountand can be used for the full range of devices starting from complete drift diffusive tocompletely ballistic. The model has been verified with data for high electron mobilitytransistors (degenerate) and common multigate and nanowire FETs (nondegenerate)proving its ability to take different geometries into consideration. It can be easily …,IEEE Transactions on Electron Devices,2016,6
Wave packet dynamics in monolayer MoS2 with and without a magnetic field,Ashutosh Singh; Tutul Biswas; Tarun Kanti Ghosh; Amit Agarwal,Abstract We study the dynamics of electrons in monolayer molybdenum disulfide (MoS 2); inthe absence as well as presence of a transverse magnetic field. Considering the initialelectronic wave function to be a minimum uncertainty Gaussian wave packet; we calculatethe time dependent expectation value of position and velocity operators analytically. In theabsence of the magnetic field; the time dependent average values of position and velocityshow damped oscillations dependent on the width of the wave packet. In the presence of atransverse magnetic field; the wave packet amplitude shows oscillatory behaviour over shorttimescales associated with classical cyclotron orbit; followed by the phenomena ofspontaneous collapse and revival over larger timescales. We relate the timescales of theseeffects based on general arguments. Our results may also be useful; for the interpretation …,The European Physical Journal B,2014,6
Compact modeling of transition metal dichalcogenide based thin body transistors and circuit validation,Chandan Yadav; Amit Agarwal; Yogesh Singh Chauhan,In this paper; we present a compact model for surface potential and drain current intransition metal dichalcogenide (TMD) channel material-based n-type and p-type FETs. Themodel considers 2-D density of states and Fermi-Dirac statistics along with drift-diffusiontransport model and includes velocity saturation and trap state effects. The developed modelhas been implemented in Verilog-A and is applicable for symmetric double gate as well astop-gated TMD-on-insulator FETs. The presented model is extensively validated withsimulation as well as experimental data for different TMD materials-based FETs and showsexcellent agreement with both the simulation and the experimental data. We further validatethe model at circuit level using experimental data of MoS 2 FET-based inverter.,IEEE Transactions on Electron Devices,2017,5
Thickness and Stacking Dependent Polarizability and Dielectric Constant of Graphene–Hexagonal Boron Nitride Composite Stacks,Piyush Kumar; Yogesh Singh Chauhan; Amit Agarwal; Somnath Bhowmick,The giant carrier mobility of graphene is significantly reduced due to external perturbations;such as substrate based charge impurities; and their impact can be minimized byencapsulating graphene between hexagonal boron nitride (hBN) layers. Using densityfunctional theory (DFT) based ab initio calculations; we study the static response of such acomposite by placing it in a vertical electric field. We find that at relatively low electric field(∼ 0.1 V/Å); although the relative permittivity (εr) of a composite stack increases with thenumber of layers; εr for a fixed stack thickness is independent of the field strength. However;at higher electric field strength; εr increases monotonically with the applied field strengtheven for a fixed stack thickness; signifying nonlinear response. The relative permittivitychanges more readily for graphene rich stacks as compared to hBN rich stacks; which is …,The Journal of Physical Chemistry C,2016,5
Anisotropic plasmons; excitons; and electron energy loss spectroscopy of phosphorene,Barun Ghosh; Piyush Kumar; Anmol Thakur; Yogesh Singh Chauhan; Somnath Bhowmick; Amit Agarwal,Abstract In this article; we explore the anisotropic electron energy loss spectrum (EELS) inmonolayer phosphorene based on ab initio time-dependent density-functional-theorycalculations. Similarly to black phosphorus; the EELS of undoped monolayer phosphoreneis characterized by anisotropic excitonic peaks for energies in the vicinity of the band gapand by interband plasmon peaks for higher energies. On doping; an additional intrabandplasmon peak also appears for energies within the band gap. Similarly to other two-dimensional systems; the intraband plasmon peak disperses as ω pl∝ q in both the zigzagand armchair directions in the long-wavelength limit and deviates for larger wave vectors.The anisotropy of the long-wavelength plasmon intraband dispersion is found to beinversely proportional to the square root of the ratio of the effective masses: ω pl (qy ̂)/ω …,Physical Review B,2017,3
Anisotropic transport of normal metal-barrier-normal metal junctions in monolayer phosphorene,Sangita De Sarkar; Amit Agarwal; K Sengupta,Abstract We study transport properties of a phosphorene monolayer in the presence ofsingle and multiple potential barriers of height U 0 and width d; using both continuum andmicroscopic lattice models; and show that the nature of electron transport along its armchairedge (x direction) is qualitatively different from its counterpart in both conventional two-dimensional electron gas with Schrödinger-like quasiparticles and graphene or surfaces oftopological insulators hosting massless Dirac quasiparticles. We show that the transport;mediated by massive Dirac electrons; allows one to achieve collimated quasiparticle motionalong x and thus makes monolayer phosphorene an ideal experimental platform for studyingKlein paradox in the context of gapped Dirac materials. We study the dependence of thetunneling conductance $ G\equiv {{G} _ {xx}} $ as a function of d and U 0; and …,Journal of Physics: Condensed Matter,2017,3
Compact Modeling of Charge; Capacitance; and Drain Current in III–V Channel Double Gate FETs,Chandan Yadav; Mayank Agrawal; Amit Agarwal; Yogesh Singh Chauhan,In this paper; we present a surface potential based compact modeling of terminal charge;terminal capacitance; and drain current for III-V channel double gate field-effect transistor(DGFET) including the effect of conduction band nonparabolicity. The proposed model isdeveloped accounting for the two-dimensional density of states and includes the effect ofquantum capacitance associated with the low density of states channel material. In addition;model incorporates contribution of the first two sub-bands and efficiently captures the steplike behavior appearing in the gate capacitance and transconductance with population ofthe higher sub-bands. The behavior of bias-dependent terminal capacitances and draincurrent is verified with the numerical simulation data of InGaAs channel DGFET and shows aclose agreement with the simulation data.,IEEE Transactions on Nanotechnology,2017,3
Analysis of quantum capacitance effect in ultra-thin-body III-V transistor,Chandan Yadav; Amit Agarwal; Yogesh Singh Chauhan,Quantum capacitance is expected to have strong impact on the gate capacitance in III-Vdevices. In this paper; we present a comprehensive analysis of the quantum capacitance forIII-V ultra-thin body with thin box transistor. The results show the presence of quantumcapacitance effect and step like behavior due to individual contribution of sub-bands in thegate capacitance. We discuss the impact of various parameters such as insulator thickness;channel (body) thickness on the capacitance with positive and negative back gate biases.,VLSI Design and 2016 15th International Conference on Embedded Systems (VLSID); 2016 29th International Conference on,2016,3
Enhancement of tunneling density of states at a Y junction of spin-1/2 Tomonaga Luttinger liquid wires,Sougata Mardanya; Amit Agarwal,Abstract We calculate the tunneling density of states (TDOS) in a dissipationless three-wirejunction of interacting spin-1/2 electrons; and find an anomalous enhancement of the TDOSin the zero-bias limit; even for repulsive interactions for several bosonic fixed points. Thisenhancement is physically related to the reflection of holes from the junction for incidentelectrons; and it occurs only in the vicinity of the junction (x< v min/2 ω; where v min is theminimum of the velocity of charge or spin excitations and ω is the bias frequency); crossingover to the bulk value; which is always suppressed at larger distances. The TDOS exponentcan be directly probed in an STM experiment by measuring the differential tunnelingconductance as a function of either the bias voltage or temperature as done in C.Blumenstein et al.; Nat. Phys. 7; 776 (2011).,Phys. Rev. B,2015,3
Wave packet dynamics in various two-dimensional systems: a unified description,Ashutosh Singh; Tutul Biswas; Tarun Kanti Ghosh; Amit Agarwal,Abstract In this article we present an exact and unified description of wave packet dynamicsin various 2D systems in the presence of a transverse magnetic field. We consider an initialminimum-uncertainty Gaussian wave packet and find that its long-term dynamics displaysthe universal phenomena of spontaneous collapse and quantum revival. We estimate thetimescales associated with these phenomena based on very general arguments for variousmaterials; whose carrier dynamics is described either by the Schrödinger equation or by theDirac equation.,Annals of Physics,2015,3
