A gradient of childhood self-control predicts health; wealth; and public safety,Terrie E Moffitt; Louise Arseneault; Daniel Belsky; Nigel Dickson; Robert J Hancox; HonaLee Harrington; Renate Houts; Richie Poulton; Brent W Roberts; Stephen Ross; Malcolm R Sears; W Murray Thomson; Avshalom Caspi,Abstract Policy-makers are considering large-scale programs aimed at self-control toimprove citizens' health and wealth and reduce crime. Experimental and economic studiessuggest such programs could reap benefits. Yet; is self-control important for the health;wealth; and public safety of the population? Following a cohort of 1;000 children from birth tothe age of 32 y; we show that childhood self-control predicts physical health; substancedependence; personal finances; and criminal offending outcomes; following a gradient ofself-control. Effects of children's self-control could be disentangled from their intelligenceand social class as well as from mistakes they made as adolescents. In another cohort of500 sibling-pairs; the sibling with lower self-control had poorer outcomes; despite sharedfamily background. Interventions addressing self-control might reduce a panoply of …,Proceedings of the National Academy of Sciences,2011,2144
Induced sputum cell counts in healthy adults,Jose Belda; Richard Leigh; Krishnan Parameswaran; PAUL M O'BYRNE; Malcolm R Sears; Frederick E Hargreave,Induced sputum cell counts provide a relatively noninvasive method to evaluate thepresence; type; and degree of inflammation in the airways of the lungs. Their interpretationrequires a knowledge of normal values from a healthy population. The objective was toexamine the total and differential cell counts in induced sputum from a sample of healthyadults. A total of 118 healthy nonsmoking adults were studied. None had asthma or airflowobstruction (negative history; FEV1⩾ 80% predicted; ratio of FEV1 to vital capacity[FEV1/VC]⩾ 80%; methacholine PC20⩾ 16 mg/ml). Forty-six were atopic. Sputum inductionproduced an adequate sample in 96 subjects [53 males; mean age (range) 36 (18 to 60) yr].The expectorate was processed within 2 h; sputum was selected; treated with dithiothreitol;filtered; and examined in a hemocytometer for total cell count and viability and on Wright …,American Journal of Respiratory and Critical Care Medicine,2000,402
Asthma: epidemiology; etiology and risk factors,Padmaja Subbarao; Piush J Mandhane; Malcolm R Sears,Methods This paper arose from an extensive literature review undertaken in developing theCanadian Healthy Infant Longitudinal Development (CHILD) study; a multicentre nationalobservational study that is currently in progress. The study; which will eventually recruit 5000pregnant women; has the aim of determining the environmental; host; genetic andpsychosocial risk factors for development of allergy and asthma in children. Although not asystematic review; the examination of epidemiologic risk factors in the development ofasthma presented here began in 2004 with a search of MEDLINE; using the Medical SubjectHeading (MeSH) terms “asthma;”“longitudinal” and “cohort study.” One of us (PS) reviewedthe abstracts of all studies identified in the search; excluding those without at least oneobjective outcome measure and those in which the primary outcome measure was not …,*,2009,348
Prediction of differential adult health burden by conduct problem subtypes in males,Candice L Odgers; Avshalom Caspi; Jonathan M Broadbent; Nigel Dickson; Robert J Hancox; HonaLee Harrington; Richie Poulton; Malcolm R Sears; W Murray Thomson; Terrie E Moffitt,Abstract Context A cardinal feature of the DSM-IV diagnostic criteria for conduct disorder isthe distinction between childhood-vs adolescent-onset subtypes. Whether suchdevelopmental subtypes exist in the population and have different prognoses should berigorously tested to inform the DSM-V. Objectives To evaluate the epidemiological validity ofchildhood-vs adolescent-onset conduct problems in a prospective birth cohort; and toassess whether life-course-persistent conduct problems are associated with a greater adulthealth burden. Design; Setting; and Participants Our sample includes 526 male studymembers in the Dunedin Multidisciplinary Health and Development Study; a 1-year birthcohort (April 1; 1972; through March 30; 1973). Developmental trajectories were definedusing prospective ratings of conduct problems at 7; 9; 11; 13; 15; 18; 21; and 26 years of …,Archives of general psychiatry,2007,338
Early infancy microbial and metabolic alterations affect risk of childhood asthma,Marie-Claire Arrieta; Leah T Stiemsma; Pedro A Dimitriu; Lisa Thorson; Shannon Russell; Sophie Yurist-Doutsch; Boris Kuzeljevic; Matthew J Gold; Heidi M Britton; Diana L Lefebvre; Padmaja Subbarao; Piush Mandhane; Allan Becker; Kelly M McNagny; Malcolm R Sears; Tobias Kollmann; William W Mohn; Stuart E Turvey; B Brett Finlay; CHILD Study Investigators,Asthma is the most prevalent pediatric chronic disease and affects more than 300 millionpeople worldwide. Recent evidence in mice has identified a “critical window” early in lifewhere gut microbial changes (dysbiosis) are most influential in experimental asthma.However; current research has yet to establish whether these changes precede or areinvolved in human asthma. We compared the gut microbiota of 319 subjects enrolled in theCanadian Healthy Infant Longitudinal Development (CHILD) Study; and show that infants atrisk of asthma exhibited transient gut microbial dysbiosis during the first 100 days of life. Therelative abundance of the bacterial genera Lachnospira; Veillonella; Faecalibacterium; andRothia was significantly decreased in children at risk of asthma. This reduction in bacterialtaxa was accompanied by reduced levels of fecal acetate and dysregulation of …,Science translational medicine,2015,309
Potential masking effects of salmeterol on airway inflammation in asthma,R ANDREW McIVOR; Emilio Pizzichini; Mark O Turner; Patricia Hussack; Frederick E Hargreave; Malcolm R Sears,We hypothesized that regular use of long-acting β-agonists could delay recognition of(“mask”) increasing airway inflammation. We studied steroid-sparing and “masking” effectsof salmeterol versus placebo in 13 asthmatic individuals requiring⩾ 1;500 μ g inhaledcorticosteroid daily. Corticosteroid doses were reduced weekly until criteria were met for anexacerbation or the corticosteroid was fully withdrawn. Subjects were restabilized on theiroriginal dose of inhaled corticosteroid for 4 wk before crossover to the alternative treatment.Subjects maintained symptom and peak expiratory flow (PEF) diaries; and underwentweekly spirometric; methacholine challenge; sputum eosinophil; and serum eosinophilcationic protein (ECP) measurements. Mean corticosteroid dose was reduced by 87%during salmeterol treatment; versus 69% with placebo (p= 0.04). Sputum eosinophils …,American Journal of Respiratory and Critical Care Medicine,1998,306
International trends in asthma mortality: 1970 to 1985,Rodney Jackson; Malcolm R Sears; Robert Beaglehole; Harold H Rea,Recent international trends in asthma mortality among people aged five to 34 years wereexamined as a follow-up to an epidemic of asthma deaths in the late 1970s which appearedto be confined to New Zealand. Mortality rates were compared in 14 countries with suitablestatistics; Australia; Canada; England and Wales; Finland; France; Japan; Israel; theNetherlands; New Zealand; Singapore; Sweden; Switzerland; the United States; and WestGermany; for the period 1970 to 1984/5. In New Zealand; asthma mortality in this age groupmore than trebled from 1.3 per 100;000 in 1974 to 4.2 per 100;000 in 1979 and since thenhas declined substantially to 1.85 per 100;000 in 1985. Asthma death rates vary more thansix-fold among the other countries examined; and although the New Zealand experiencehas not been seen to the same degree elsewhere; a gradual increase in reported asthma …,Chest,1988,306
Epidemiology of childhood asthma,Malcolm R Sears,*,*,1997,286
The September epidemic of asthma exacerbations in children: a search for etiology,Neil W Johnston; Sebastian L Johnston; Joanne M Duncan; Justina M Greene; Tatiana Kebadze; Paul K Keith; Madan Roy; Susan Waserman; Malcolm R Sears,Background Predictable peaks of asthma exacerbation requiring hospital treatment; ofgreatest magnitude in children and of uncertain etiology; occur globally after school returns.Objective We wished to determine whether asthmatic children requiring emergencydepartment treatment for exacerbations after school return in September were more likely tohave respiratory viruses present and less likely to have prescriptions for control medicationsthan children with equally severe asthma not requiring emergent treatment. Methods Ratesof viral detection and characteristics of asthma management in 57 (of 60) children age 5 to15 years presenting to emergency departments with asthma in 2 communities in Canadabetween September 10 and 30; 2001;(cases) were compared with those in 157 age-matched volunteer children with asthma of comparable severity studied simultaneously …,Journal of Allergy and Clinical Immunology,2005,283
Atopy in childhood. I. Gender and allergen related risks for development of hay fever and asthma,MR Sears; B Burrows; EM Flannery; GP Herbison; MD Holdaway,Summary Reasons for the gender differences in prevalence rates for asthma remainunclear. We have examined the relationships between allergen skin-test reactions anddiagnoses of hay fever and asthma in New Zealand hoys and girls examined at the age of13 years. Information on current and past wheezing; diagnosed asthma; and hay fever wasobtained for 662 subjects (341 boys) of a birth cohort followed longitudinally to the age of 13years; using a physician-administered questionnaire. Atopic status was determined by skin-prick tests to 11 common allergens. The proportion of 13-year-old boys with current asthmawas 1.6 times higher and of ever-diagnosed asthma 1.4 times higher than in girls; but theprevalence of recurrent wheeze (geqslant R: gt-or-equal; slanted three episodes per year)not diagnosed as asthma; or of hay fever; was not significantly different between the …,Clinical & Experimental Allergy,1993,282
A comparison of active and simulated chiropractic manipulation as adjunctive treatment for childhood asthma,Jeffrey Balon; Peter D Aker; Edward R Crowther; Clark Danielson; P Gerard Cox; Denise O'Shaughnessy; Corinne Walker; Charles H Goldsmith; Eric Duku; Malcolm R Sears,Background Chiropractic spinal manipulation has been reported to be of benefit innonmusculoskeletal conditions; including asthma. Methods We conducted a randomized;controlled trial of chiropractic spinal manipulation for children with mild or moderate asthma.After a three-week base-line evaluation period; 91 children who had continuing symptoms ofasthma despite usual medical therapy were randomly assigned to receive either active orsimulated chiropractic manipulation for four months. None had previously receivedchiropractic care. Each subject was treated by 1 of 11 participating chiropractors; selected bythe family according to location. The primary outcome measure was the change from baseline in the peak expiratory flow; measured in the morning; before the use of a bronchodilator;at two and four months. Except for the treating chiropractor and one investigator (who was …,New England Journal of Medicine,1998,271
Risk factors for airway remodeling in asthma manifested by a low postbronchodilator FEV1/vital capacity ratio: a longitudinal population study from childhood to adult...,Finn Rasmussen; D Robin Taylor; Erin M Flannery; Jan O Cowan; Justina M Greene; G Peter Herbison; Malcolm R Sears,Airway remodeling may lead to irreversible loss of lung function in asthma. The impact ofchildhood asthma; airway responsiveness; atopy; and smoking on airway remodeling wasinvestigated in a birth cohort studied longitudinally to age 26. A low postbronchodilator ratioof forced exhaled volume in 1 second (FEV1) to vital capacity (VC) at age 18 or 26 was usedas a marker of airway remodeling.“Normal” study members with no history of asthma ever;no wheezing in the last year; and no smoking ever were used to determine sex-and age-specific reference values for this ratio. The lower limit of normal was defined as the meanratio minus 1.96 standard deviation; delimiting the 2.5% of the normal population with thelowest FEV1/VC ratio. A low postbronchodilator FEV1/VC ratio was found in 7.4% and 6.4%of study members at ages 18 and age 26 and 4.6% at both assessments. Lung function …,American Journal of Respiratory and Critical Care Medicine,2002,262
Sex differences in the relation between body mass index and asthma and atopy in a birth cohort,Robert J Hancox; Barry J Milne; Richie Poulton; D Robin Taylor; Justina M Greene; Christene R McLachlan; Jan O Cowan; Erin M Flannery; G Peter Herbison; Malcolm R Sears,Rationale: Several studies have identified an association between asthma and obesity inwomen. It remains unclear if this association is due to genuine asthma or to symptomscaused by overweight; at what age the association develops; and whether it is confined tofemales. Objective: To explore the relations between body mass index; asthma; and atopy ina birth cohort of approximately 1;000 individuals. Methods: Information on asthma andmeasurements of lung function; airway responsiveness; and atopy were obtained onmultiple occasions between ages 9 and 26. Associations between these outcomes and bodymass index were analyzed using generalized mixed linear regression models. Furtheranalyses adjusted for potential covariates including breastfeeding; birth order; parentalasthma; and personal and family smoking history. Main results: Body mass index was …,American journal of respiratory and critical care medicine,2005,258
Parental and neonatal risk factors for atopy; airway hyper-responsiveness; and asthma.,Malcolm R Sears; M David Holdaway; Erin M Flannery; G Peter Herbison; Phil A Silva,BACKGROUND: Previous studies have not resolved the importance of several potential riskfactors for the development of childhood atopy; airway hyperresponsiveness; and wheezing;which would allow the rational selection of interventions to reduce morbidity from asthma.Risk factors for these disorders were examined in a birth cohort of 1037 New Zealandchildren. METHODS: Responses to questions on respiratory symptoms and measurementsof lung function and airway responsiveness were obtained every two to three yearsthroughout childhood and adolescence; with over 85% cohort retention at age 18 years.Atopy was determined by skin prick tests at age 13 years. Relations between parental andneonatal factors; the development of atopy; and features of asthma were determined bycomparison of proportions and logistic regression. RESULTS: Male sex was a significant …,Archives of disease in childhood,1996,245
Prevalence of bronchial reactivity to inhaled methacholine in New Zealand children.,MR Sears; DT Jones; MD Holdaway; CJ Hewitt; EM Flannery; GP Herbison; PA Silva,The prevalence of bronchial hyperreactivity to inhaled methacholine and of a clinical historyof symptoms of asthma was determined in a birth cohort of 9 year old New Zealand children.A history of current or previous recurrent wheezing was obtained in 220 of 815 children. Of800 who had spirometric tests; 27 (3.4%) had resting airflow obstruction (FEV1/FVC lessthan 75%). Methacholine challenge was undertaken without problem in 766 children; theabbreviated protocol being based on five breaths and four concentrations. A fall in FEV1 ofmore than 20% was observed in 176 children (23% of challenges; 22% of the full cohort)after inhalation of methacholine in concentrations of up to 25 mg/ml. The prevalence ofbronchial reactivity in children with symptoms was related to the frequency of wheezingepisodes in the last year; and the degree of reactivity to the interval since the last episode …,Thorax,1986,244
Traffic air pollution and mortality rate advancement periods,Murray M Finkelstein; Michael Jerrett; Malcolm R Sears,Abstract Chronic exposure to air pollution is associated with increased mortality rates. Theimpact of air pollution relative to other causes of death in a population is of public healthimportance and has not been well established. In this study; the rate advancement periodsassociated with traffic pollution exposures were estimated. Study subjects underwentpulmonary function testing at a clinic in Hamilton; Ontario; Canada; between 1985 and 1999.Cox regression was used to model mortality from all natural causes during 1992–2001 inrelation to lung function; body mass index; a diagnosis of chronic pulmonary disease;chronic ischemic heart disease; or diabetes mellitus; household income; and residencewithin 50 m of a major urban road or within 100 m of a highway. Subjects living close to amajor road had an increased risk of mortality (relative risk= 1.18; 95% confidence interval …,american Journal of epidemiology,2004,239
Regular inhaled beta agonist in asthma: effects on exacerbations and lung function.,DR Taylor; MR Sears; GP Herbison; EM Flannery; DC Lake; DM Yates; MK Lucas; Q Li,BACKGROUND: A comparison of the effects of regular upsilon as needed inhaled betaagonist treatment on the control of asthma in the last 16 weeks of each of two 24 weektreatment periods has been reported. This paper presents additional information onexacerbations of asthma and trends in lung function; airways hyperresponsiveness tomethacholine; and bronchodilator responsiveness during the entire 24 week periods ofregular or as needed beta agonist treatment. METHODS: Subjects undertook a year longrandomised; double blind crossover study of regular upsilon as needed inhaled beta agonisttreatment. Fenoterol (400 micrograms) or matching placebo was inhaled as a dry powderfour times daily for 24 weeks; then subjects crossed over to the alternative regimen.Treatment with inhaled corticosteroids was used by 50 of the 64 subjects in constant …,Thorax,1993,233
Asthma mortality in New Zealand: a two year national study.,MR Sears; HH Rea; R Beaglehole; AJ Gillies; PE Holst; TV O'Donnell; RP Rothwell; DC Sutherland,Abstract The epidemic of deaths from bronchial asthma in New Zealand was investigated bya two-year national review of all deaths of persons under 70 years where" asthma"appeared in part I of a death certificate or in a coroner's report of cause of death. Informationabout the patients; the characteristics and management of their asthma and thecircumstances of the fatal episode was obtained by interviewing relatives and generalpractitioners and perusal of hospital records. The reviewing panel of the asthma task force ofthe Medical Research Council considered 271 of the 342 deaths studied were due toasthma. A high national asthma mortality rate (5.1 per 100 000) was confirmed; with rates forMaoris (18.9) and Pacific Islanders (9.4) considerably higher than that for Europeans (3.4per 100 000). After standardising for age and ethnic groups; there remained a threefold …,The New Zealand Medical Journal,1985,229
Overall asthma control: the relationship between current control and future risk,Eric D Bateman; Helen K Reddel; Göran Eriksson; Stefan Peterson; Ollie Östlund; Malcolm R Sears; Christine Jenkins; Marc Humbert; Roland Buhl; Tim W Harrison; Santiago Quirce; Paul M O'byrne,Background Asthma guidelines emphasize both maintaining current control and reducingfuture risk; but the relationship between these 2 targets is not well understood. ObjectiveThis retrospective analysis of 5 budesonide/formoterol maintenance and reliever therapy(Symbicort SMART Turbuhaler∗∗ Symbicort SMART and Turbuhaler are trademarks ownedby AstraZeneca. Neither the Symbicort SMART posology nor the dry powder formulationTurbuhaler are currently approved in the United States.) studies assessed the relationshipbetween asthma control questionnaire (ACQ-5) and Global Initiative for Asthma-definedclinical asthma control and future risk of instability and exacerbations. Methods Thepercentage of patients with Global Initiative for Asthma–defined controlled asthma over timewas assessed for budesonide/formoterol maintenance and reliever therapy versus the 3 …,Journal of Allergy and Clinical Immunology,2010,220
Adult asthma consensus guidelines update 2003,Catherine Lemière; Tony Bai; Meyer Balter; Charles Bayliff; Allan Becker; Louis-Philippe Boulet; Dennis Bowie; André Cartier; Andrew Cave; Kenneth Chapman; Robert Cowie; Stephen Coyle; Donald Cockcroft; Francine M Ducharme; Pierre Ernst; Shelagh Finlayson; J Mark FitzGerald; Frederick E Hargreave; Donna Hogg; Alan Kaplan; Harold Kim; Cheryle Kelm; Paul O’Byrne; Malcolm Sears; Andrea White Markham; Canadian Adult Consensus Group of the Canadian Thoracic Society,BACKGROUND: Several sets of Canadian guidelines for the diagnosis and management ofasthma have been published over the past 15 years. Since the last revision of the 1999Canadian Asthma Consensus Report; important new studies have highlighted the need toincorporate new information into the asthma guidelines.,Canadian respiratory journal,2004,220
Accuracy of certification of deaths due to asthma: a national study,MALCOLM R SEARS; HAROLD H HILLER; GAIL DE BOER; ROBERT BEAGLEHOLE; A JOHN D GILLIES; PETER E HOLST; THOMAS V O'DONNELL; R PETER G ROTHWELL,Abstract In a two-year study of asthma mortality in New Zealand conducted between August1981 and July 1983; the certified cause of death and its subsequent statistical coding wascompared with the opinion of a panel of respiratory physicians who had made detailedenquiry into the medical history and circumstances surrounding the death of each patient.When the panel's opinlon was taken as the reference standard; the national health statisticsoverestimated asthma mortality for all age groups by 26.0%. For patients aged 15–64 years;the net overestimate was 12.9%; no greater than that found in a similar study in this agegroup in the United Kingdom. Failure of certifying doctors and coroners to follow appropriateprocedures for identification of the primary condition leading to death; or misdiagnosis ofother lung disease as asthma; accounted for most inaccuracies in certification. In patients …,American journal of epidemiology,1986,194
Asthma exacerbations· 1: epidemiology,NW Johnston; MR Sears,Asthma exacerbations may be triggered by a number of atmospheric and domiciliaryenvironmental factors as well as by those encountered in schools and workplaces. Themajority of exacerbations; particularly in children; coincide with respiratory viral infections;most commonly rhinovirus. As most respiratory viruses and many aeroallergens appear inseasonal patterns; asthma exacerbations; particularly those requiring emergency treatment;show analogous seasonal cycles which differ in form in children and adults. While similar inform between the sexes; they differ in amplitude; with boys having higher risks ofexacerbation in childhood and women in adult life. Simultaneous exposure of asthmaticswith respiratory viral infections to allergens or air pollutants may significantly increase therisks of exacerbation. Access to and compliance with inhaled corticosteroid treatment is …,Thorax,2006,189
