Data management in location-dependent information services: Challenges and issues,Dik Lun Lee; Wang-Chien Lee; Jianliang Xu; Baihua Zheng,*,IEEE Pervasive computing,2002,257
Continuous obstructed nearest neighbor queries in spatial databases,Yunjun Gao; Baihua Zheng,Abstract In this paper; we study a novel form of continuous nearest neighbor queries in thepresence of obstacles; namely continuous obstructed nearest neighbor (CONN) search. Itconsiders the impact of obstacles on the distance between objects; which is ignored by mostof spatial queries. Given a data set P; an obstacle set O; and a query line segment q in a two-dimensional space; a CONN query retrieves the nearest neighbor of each point on qaccording to the obstructed distance; ie; the shortest path between them without crossingany obstacle. We formulate CONN search; analyze its unique properties; and developalgorithms for exact CONN query processing; assuming that both P and O are indexed byconventional data-partitioning indices (eg; R-trees). Our methods tackle the CONN retrievalby performing a single query for the entire query segment; and only process the data …,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009,72
The D-tree: An index structure for planar point queries in location-based wireless services,Jianliang Xu; Baihua Zheng; W-C Lee; Dik Lun Lee,Location-based services (LBSs); considered as a killer application in the wireless datamarket; provide information based on locations specified in the queries. In this paper; weexamine the indexing issue for querying location-dependent data in wireless LBSs; inparticular; we focus on an important class of queries; planar point queries. To address theissues of responsiveness; energy consumption; and bandwidth contention in wirelesscommunications; an index has to minimize the search time and maintain a small storageoverhead. It is shown that the traditional point-location algorithms and spatial indexstructures fail to achieve either objective or both. This paper proposes a new index structure;called D-tree; which indexes spatial regions based on the divisions that form the boundariesof the regions. We describe how to construct a binary D-tree index; how to process …,IEEE Transactions on Knowledge and Data Engineering,2004,71
A distributed spatial index for error-prone wireless data broadcast,Baihua Zheng; Wang-Chien Lee; Ken C Lee; Dik Lun Lee; Min Shao,Abstract Information is valuable to users when it is available not only at the right time butalso at the right place. To support efficient location-based data access in wireless databroadcast systems; a distributed spatial index (called DSI) is presented in this paper. DSI ishighly efficient because it has a linear yet fully distributed structure that naturally shares linksin different search paths. DSI is very resilient to the error-prone wireless communicationenvironment because interrupted search operations based on DSI can be resumed easily. Itsupports search algorithms for classical location-based queries such as window queries andk NN queries in both of the snapshot and continuous query modes. In-depth analysis andsimulation-based evaluation have been conducted. The results show that DSI significantlyout-performs a variant of R-trees tailored for wireless data broadcast environments.,The VLDB Journal—The International Journal on Very Large Data Bases,2009,64
Visible reverse k-nearest neighbor query processing in spatial databases,Yunjun Gao; Baihua Zheng; Gencai Chen; Wang-Chien Lee; Ken CK Lee; Qing Li,Reverse nearest neighbor (RNN) queries have a broad application base such as decisionsupport; profile-based marketing; resource allocation; etc. Previous work on RNN searchdoes not take obstacles into consideration. In the real world; however; there are manyphysical obstacles (eg; buildings) and their presence may affect the visibility betweenobjects. In this paper; we introduce a novel variant of RNN queries; namely; visible reversenearest neighbor (VRNN) search; which considers the impact of obstacles on the visibility ofobjects. Given a data set P; an obstacle set O; and a query point q in a 2D space; a VRNNquery retrieves the points in P that have q as their visible nearest neighbor. We propose anefficient algorithm for VRNN query processing; assuming that P and O are indexed by R-trees. Our techniques do not require any preprocessing and employ half-plane property …,IEEE Transactions on Knowledge and Data Engineering,2009,57
Z-SKY: an efficient skyline query processing framework based on Z-order,Ken CK Lee; Wang-Chien Lee; Baihua Zheng; Huajing Li; Yuan Tian,Abstract Given a set of data points in a multidimensional space; a skyline query retrievesthose data points that are not dominated by any other point in the same dataset. Observingthat the properties of Z-order space filling curves (or Z-order curves) perfectly match with thedominance relationships among data points in a geometrical data space; we; in this paper;develop and present a novel and efficient processing framework to evaluate skyline queriesand their variants; and to support skyline result updates based on Z-order curves. Thisframework consists of ZBtree; ie; an index structure to organize a source dataset and skylinecandidates; and a suite of algorithms; namely;(1) ZSearch; which processes skylinequeries;(2) ZInsert; ZDelete and ZUpdate; which incrementally maintain skyline results inpresence of source dataset updates;(3) ZBand; which answers skyband queries;(4) …,The VLDB Journal,2010,56
ROAD: A new spatial object search framework for road networks,Ken CK Lee; Wang-Chien Lee; Baihua Zheng; Yuan Tian,In this paper; we present a new system framework called ROAD for spatial object search onroad networks. ROAD is extensible to diverse object types and efficient for processingvarious location-dependent spatial queries (LDSQs); as it maintains objects separately froma given network and adopts an effective search space pruning technique. Based on ouranalysis on the two essential operations for LDSQ processing; namely; network traversaland object lookup; ROAD organizes a large road network as a hierarchy of interconnectedregional subnetworks (called Rnets). Each Rnet is augmented with 1) shortcuts and 2)object abstracts to accelerate network traversals and provide quick object lookups;respectively. To manage those shortcuts and object abstracts; two cooperating indices;namely; Route Overlay and Association Directory are devised. In detail; we present 1) the …,IEEE transactions on knowledge and data engineering,2012,54
Information dissemination via wireless broadcast,Baihua Zheng; Dik Lun Lee,The advent of sensor; wireless; and portable device technologies will soon enable us to embedcomputing technologies transparently in the environment to provide uninterrupted services forour daily life. With temperature and location sensors and wireless access points embedded inan environment; a person entering an environment can be automatically connected to theenvironment. All of his or her personal computing devices will then be adapted to thecontext; making all important information readily available for the user to tackle the tasks athand. An important step toward the realization of this pervasive environment is to be able to disseminatetimely and relevant information to the user anytime; anywhere. Here; we provide an overviewof current research on ubiquitous data access and dissemination on wireless networks; emphasizingthe differences between the traditional database and mobile environments; and …,Communications of the ACM,2005,53
Continuous visible nearest neighbor queries,Yunjun Gao; Baihua Zheng; Wang-Chien Lee; Gencai Chen,Abstract In this paper; we identify and solve a new type of spatial queries; called continuousvisible nearest neighbor (CVNN) search. Given a data set P; an obstacle set O; and a queryline segment q; a CVNN query returns a set of (p; R) tuples such that p ε P is the nearestneighbor (NN) to every point r along the interval R ε q as well as p is visible to r. Note that pmay be NULL; meaning that all points in P are invisible to all points in R; due to theobstruction of some obstacles in O. In this paper; we formulate the problem and proposeefficient algorithms for CVNN query processing; assuming that both P and O are indexed byR-trees. In addition; we extend our techniques to several variations of the CVNN query.Extensive experiments verify the efficiency and effectiveness of our proposed algorithmsusing both real and synthetic datasets.,Proceedings of the 12th International Conference on Extending Database Technology: Advances in Database Technology,2009,48
Location-dependent skyline query,Baihua Zheng; Ken CK Lee; Wang-Chien Lee,Given a set of data points with both spatial coordinates andnon-spatial attributes; point alocation-dependently dominates point b with respect to a query point q if a is closer to q thanb and meanwhile a dominates b. A location-dependent skyline query (LDSQ) issued at pointq is to retrieve all the points that are not location-dependently dominated by other points withregard to q. In this paper; we focus on the query processing and result validation of LDSQoverstatic objects. Two algorithms; namely brute-forth and δ-scanning; are proposed. Theformer serves as the baseline algorithm while the latter significantly improves theperformance via space pruning. We further conduct a comprehensive simulation todemonstrate the performance of proposed algorithms.,The Ninth International Conference on Mobile Data Management (mdm 2008),2008,46
PRESS: A novel framework of trajectory compression in road networks,Renchu Song; Weiwei Sun; Baihua Zheng; Yu Zheng,Abstract Location data becomes more and more important. In this paper; we focus on thetrajectory data; and propose a new framework; namely PRESS (< u> P</u> aralleled< u>R</u> oad-Network-Based Trajectory Compr< u> ess</u> ion); to effectively compresstrajectory data under road network constraints. Different from existing work; PRESSproposes a novel representation for trajectories to separate the spatial representation of atrajectory from the temporal representation; and proposes a Hybrid Spatial Compression(HSC) algorithm and error Bounded Temporal Compression (BTC) algorithm to compressthe spatial and temporal information of trajectories respectively. PRESS also supportscommon spatial-temporal queries without fully decompressing the data. Through anextensive experimental study on real trajectory dataset; PRESS significantly outperforms …,Proceedings of the VLDB Endowment,2014,45
Ranked reverse nearest neighbor search,Ken CK Lee; Baihua Zheng; Wang-Chien Lee,Given a set of data points P and a query point q in a multidimensional space; reversenearest neighbor (RNN) query finds data points in P whose nearest neighbors are q.Reverse k-nearest neighbor (RkNN) query (where k ges 1) generalizes RNN query to finddata points whose kNNs include q. For RkNN query semantics; q is said to have influence toall those answer data points. The degree of q's influence on a data point p (isin P) is denotedby kappap where q is the kappap-th NN of p. We introduce a new variant of RNN query;namely; ranked reverse nearest neighbor (RRNN) query; that retrieves t data points mostinfluenced by q; ie; the t data points having the smallest kappa's with respect to q. To answerthis RRNN query efficiently; we propose two novel algorithms; kappa-counting and kappa-browsing that are applicable to both monochromatic and bichromatic scenarios and are …,IEEE Transactions on Knowledge and Data Engineering,2008,43
On searching continuous k nearest neighbors in wireless data broadcast systems,Baihua Zheng; Wang-Chien Lee; Dik Lun Lee,A continuous nearest neighbor (CNN) search; which retrieves the nearest neighborscorresponding to every point in a given query line segment; is important for location-basedservices such as vehicular navigation and tourist guides. It is infeasible to answer a CNNsearch by issuing a traditional nearest neighbor query at every point of the line segment dueto the large number of queries generated and the overhead on bandwidth. Algorithms havebeen proposed recently to support CNN search in the traditional client-server systems butnot in the environment of wireless data broadcast; where uplink communication channelsfrom mobile devices to the server are not available. In this paper; we develop a generalizedsearch algorithm for continuous k-nearest neighbors based on Hilbert Curve Index inwireless data broadcast systems. A performance evaluation is conducted to compare the …,IEEE Transactions on Mobile Computing,2007,43
Continuous visible nearest neighbor query processing in spatial databases,Yunjun Gao; Baihua Zheng; Gencai Chen; Qing Li; Xiaofa Guo,Abstract In this paper; we identify and solve a new type of spatial queries; called continuousvisible nearest neighbor (CVNN) search. Given a data set P; an obstacle set O; and a queryline segment q in a two-dimensional space; a CVNN query returns a set of $ ${\langle p;R\rangle} $ $ tuples such that $ ${p\in P} $ $ is the nearest neighbor to every point r alongthe interval $ ${R\subseteq q} $ $ as well as p is visible to r. Note that p may be NULL;meaning that all points in P are invisible to all points in R due to the obstruction of someobstacles in O. In contrast to existing continuous nearest neighbor query; CVNN retrievalconsiders the impact of obstacles on visibility between objects; which is ignored by most ofspatial queries. We formulate the problem; analyze its unique characteristics; and developefficient algorithms for exact CVNN query processing. Our methods (1) utilize …,The VLDB Journal,2011,42
On semantic caching and query scheduling for mobile nearest-neighbor search,Baihua Zheng; Wang-Chien Lee; Dik Lun Lee,Abstract Location-based services have received increasing attention in recent years. In thispaper; we address the performance issues of mobile nearest-neighbor search; in which themobile user issues a query to retrieve stationary service objects nearest to him/her. An indexbased on Voronoi Diagram is used in the server to support such a search; while a semanticcache is proposed to enhance the access efficiency of the service. Cache replacementpolicies tailored for the proposed semantic cache are examined. Moreover; several queryscheduling policies are proposed to address the inter-cell roaming issues in multi-cellenvironments. Simulations are conducted to evaluate the proposed methods. The resultshows that the system performance; in terms of cache hit ratio; query response time; cell-cross number and cell-recross number; is improved significantly.,Wireless Networks,2004,41
Spatial Index on Air.,Baihua Zheng; Wang-Chien Lee; Dik Lun Lee,Abstract With the advent of wireless networking and personal digital devices; the populationof mobile users will increase significantly. Broadcasting is particularly suitable forenvironments having a large number of clients. In this paper; we study the query processingof some typical location-dependent queries; such as window queries and kNN queries; in abroadcast system. To reduce clients' power consumption and provide efficient services; atransformation of the objects is applied based on Hilbert Curve. Furthermore; a linear indexstructure is constructed and several algorithms are devised to answer spatial queries.Experiments are conducted to evaluate the performance of the proposed transformation andrelated algorithms. Results show that the proposed schemes outperform existing algorithmssignificantly.,PerCom,2003,40
Energy-conserving air indexes for nearest neighbor search,Baihua Zheng; Jianliang Xu; Wang-Chien Lee; Dik Lun Lee,Abstract A location-based service (LBS) provides information based on the locationinformation specified in a query. Nearest-neighbor (NN) search is an important class ofqueries supported in LBSs. This paper studies energy-conserving air indexes for NN searchin a wireless broadcast environment. Linear access requirement of wireless broadcastweakens the performance of existing search algorithms designed for traditional spatialdatabase. In this paper; we propose a new energy-conserving index; called grid-partitionindex; which enables a single linear scan of the index for any NN queries. The idea is topartition the search space for NN queries into grid cells and index all the objects that arepotential nearest neighbors of a query point in each grid cell. Three grid partition schemesare proposed for the grid-partition index. Performance of the proposed grid-partition …,International Conference on Extending Database Technology,2004,39
Fast object search on road networks,Ken CK Lee; Wang-Chien Lee; Baihua Zheng,Abstract In this paper; we present ROAD; a general framework to evaluate Location-Dependent Spatial Queries (LDSQ) s that searches for spatial objects on road networks. Byexploiting search space pruning technique and providing a dynamic object mappingmechanism; ROAD is very efficient and flexible for various types of queries; namely; rangesearch and nearest neighbor search; on objects over large-scale networks. ROAD is namedafter its two components; namely; Route Overlay and Association Directory; designed toaddress the network traversal and object access aspects of the framework. In ROAD; a largeroad network is organized as a hierarchy of interconnected regional sub-networks (calledRnets) augmented with 1) shortcuts for accelerating network traversals; and 2) objectabstracts for guiding traversals. In this paper; we present (i) the Rnet hierarchy and …,Proceedings of the 12th International Conference on Extending Database Technology: Advances in Database Technology,2009,38
Search continuous nearest neighbors on the air,Baihua Zheng; W-C Lee; Dik Lun Lee,A continuous nearest neighbor (CNN) search retrieves the nearest neighbors correspondingto every point in a given query line segment. It is important for location-based services suchas vehicular navigation tools and tourist guides. It is infeasible to answer a CNN search byissuing a traditional nearest neighbor query at every point of the line segment due to thelarge number of queries generated and the large overhead on bandwidth. Algorithms havebeen proposed recently to support CNN search in the traditional client-server service model.In this paper; we conduct a pioneering study on CNN search in wireless data broadcastenvironments. We propose two air indexing techniques; namely; R-tree air index and Hilbertcurve air index; and develop algorithms based on these two techniques to search CNNs onthe air. A simulation is conducted to compare the proposed air indexing techniques with a …,Mobile and Ubiquitous Systems: Networking and Services; 2004. MOBIQUITOUS 2004. The First Annual International Conference on,2004,38
Search k nearest neighbors on air,Baihua Zheng; Lee Wang-Chien; Dik Lun Lee,Abstract While the K-Nearest-Neighbor (KNN) problem is well studied in the traditionalwired; disk-based client-server environment; it has not been tackled in a wireless broadcastenvironment. In this paper; the problem of organizing location dependent data andanswering KNN queries on air are investigated. The linear property of wireless broadcastmedia and power conserving requirement of mobile devices make this problem particularlyinteresting and challenging. An efficient data organization; called sorted list; and thecorresponding search algorithm are proposed and compared with the well-known spatialindex; R-Tree. In addition; we develop an approximate search scope to guide the search atthe very beginning of the search process and a learning algorithm to adapt the search scopeduring the search to improve energy and access efficiency. Simulation based …,International Conference on Mobile Data Management,2003,37
Processing location-dependent queries in a multi-cell wireless enviroment,Baihua Zheng; Dik Lun Lee,Abstract We develop several methods for scheduling location-dependent queries clientscross cell bounderies in a multi-cell wireless environment. Our study is based on a commonscenario where data objects are stationary while clients; which issue the queries; aremobile. For query processing; we use Voronoi Diagrams to construct an index and asemantic cache for improving data reusability. For handoff clients; we propose threescheduling methods; namely; the priority method; the intelligent method; and the hybridmethod to improve performance. A simulation is conducted to study the performance of themethods.,Proceedings of the 2nd ACM international workshop on Data engineering for wireless and mobile access,2001,33
Visible reverse k-nearest neighbor queries,Yunjun Gao; Baihua Zheng; Gencai Chen; Wang-Chien Lee; Ken CK Lee; Qing Li,Reverse nearest neighbor (RNN) queries have a broad application base such as decisionsupport; profile-based marketing; resource allocation; data mining; etc. Previous work onRNN search does not take obstacles into consideration. In the real world; however; there aremany physical obstacles (eg; buildings; blindages; etc.); and their presence may affect thevisibility/distance between two objects. In this paper; we introduce a novel variant of RNNqueries; namely visible reverse nearest neighbor (VRNN) search; which considers theobstacle influence on the visibility of objects. Given a data set P; an obstacle set O; and aquery point q; a VRNN query retrieves the points in P that have q as their nearest neighborand are visible to q. We propose an efficient algorithm for VRNN query processing;assuming that both P and O are indexed by R-trees. Our method does not require any pre …,2009 IEEE 25th International Conference on Data Engineering,2009,32
On efficient reverse skyline query processing,Yunjun Gao; Qing Liu; Baihua Zheng; Gang Chen,Abstract Given a D-dimensional data set P and a query point q; a reverse skyline query(RSQ) returns all the data objects in P whose dynamic skyline contains q. It is important formany real life applications such as business planning and environmental monitoring.Currently; the state-of-the-art algorithm for answering the RSQ is the reverse skyline usingskyline approximations (RSSA) algorithm; which is based on the precomputedapproximations of the skylines. Although RSSA has some desirable features; eg;applicability to arbitrary data distributions and dimensions; it needs for multiple accesses ofthe same nodes; incurring redundant I/O and CPU costs. In this paper; we propose severalefficient algorithms for exact RSQ processing over multidimensional datasets. Our methodsutilize a conventional data-partitioning index (eg; R-tree) on the dataset P; and employ …,Expert Systems with Applications,2014,28
Answering why-not questions on reverse top-k queries,Yunjun Gao; Qing Liu; Gang Chen; Baihua Zheng; Linlin Zhou,Abstract Why-not questions; which aim to seek clarifications on the missing tuples for queryresults; have recently received considerable attention from the database community. In thispaper; we systematically explore why-not questions on reverse top-k queries; owing to itsimportance in multi-criteria decision making. Given an initial reverse top-k query and amissing/why-not weighting vector set W m that is absent from the query result; why-notquestions on reverse top-k queries explain why W m does not appear in the query result andprovide suggestions on how to refine the initial query with minimum penalty to include W min the refined query result. We first formalize why-not questions on reverse top-k queries andreveal their semantics; and then propose a unified framework called WQRTQ to answer why-not questions on both monochromatic and bichromatic reverse top-k queries. Our …,Proceedings of the VLDB Endowment,2015,26
Energy-efficient shortest path query processing on air,Yinan Jing; Chunan Chen; Weiwei Sun; Baihua Zheng; Liang Liu; Chuanchuan Tu,Abstract Wireless broadcast provides a scalable and secure spatial data disseminationapproach for geographical applications in wireless mobile environments. Among variouslocation-based services; the shortest path query on road networks is one of the most popularand essential services in our daily life. In this paper; we propose an energy-efficient schemefor on air shortest path query processing on road networks; which leverages an elaborate airindex called BagIndex based upon the novel Hilbert-based heuristic tree decomposition forthe road networks. Experimental results show that the proposed approach incurs lessenergy consumption on both communication and computation than the previous schemes.,Proceedings of the 19th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,2011,26
Optimal-location-selection query processing in spatial databases,Yunjun Gao; Baihua Zheng; Gencai Chen; Qing Li,This paper introduces and solves a novel type of spatial queries; namely; optimal-location-selection (OLS) search; which has many applications in real life. Given a data object set DA;a target object set DB; a spatial region R; and a critical distance dc in a multidimensionalspace; an OLS query retrieves those target objects in DB that are outside R but havemaximal optimality. Here; the optimality of a target object b isin DB located outside R isdefined as the number of the data objects from DA that are inside R and meanwhile havetheir distances to b not exceeding d c. When there is a tie; the accumulated distance from thedata objects to b serves as the tie breaker; and the one with smaller distance has the betteroptimality. In this paper; we present the optimality metric; formalize the OLS query; andpropose several algorithms for processing OLS queries efficiently. A comprehensive …,IEEE Transactions on Knowledge and Data Engineering,2009,26
Efficient processing of exact top-k queries over disk-resident sorted lists,HweeHwa Pang; Xuhua Ding; Baihua Zheng,Abstract The top-k query is employed in a wide range of applications to generate a rankedlist of data that have the highest aggregate scores over certain attributes. As the pool ofattributes for selection by individual queries may be large; the data are indexed with per-attribute sorted lists; and a threshold algorithm (TA) is applied on the lists involved in eachquery. The TA executes in two phases--find a cut-off threshold for the top-k result scores;then evaluate all the records that could score above the threshold. In this paper; we focus onexact top-k queries that involve monotonic linear scoring functions over disk-resident sortedlists. We introduce a model for estimating the depths to which each sorted list needs to beprocessed in the two phases; so that (most of) the required records can be fetched efficientlythrough sequential or batched I/Os. We also devise a mechanism to quickly rank the data …,The VLDB Journal,2010,25
Efficient mutual nearest neighbor query processing for moving object trajectories,Yunjun Gao; Baihua Zheng; Gencai Chen; Qing Li; Chun Chen; Gang Chen,Abstract Given a set D of trajectories; a query object q; and a query time extent Γ; a mutual(ie; symmetric) nearest neighbor (MNN) query over trajectories finds from D; the set oftrajectories that are among the k 1 nearest neighbors (NNs) of q within Γ; and meanwhile;have q as one of their k 2 NNs. This type of queries is useful in many applications such asdecision making; data mining; and pattern recognition; as it considers both the proximity ofthe trajectories to q and the proximity of q to the trajectories. In this paper; we first formalizeMNN search and identify its characteristics; and then develop several algorithms forprocessing MNN queries efficiently. In particular; we investigate two classes of MNN queries;ie; MNN P and MNN T queries; which are defined with respect to stationary query points andmoving query trajectories; respectively. Our methods utilize the batch processing and …,Information Sciences,2010,24
An air index for spatial query processing in road networks,Weiwei Sun; Chunan Chen; Baihua Zheng; Chong Chen; Peng Liu,Spatial queries such as range query and kNN query in road networks have received agrowing number of attention in real life. Considering the large population of the users andthe high overhead of network distance computation; it is extremely important to guaranteethe efficiency and scalability of query processing. Motivated by the scalable and secureproperties of wireless broadcast model; this paper presents an air index called NetworkPartition Index (NPI) to support efficient spatial query processing in road networks viawireless broadcast. The main idea is to partition the road network into a number of regionsand then build the index to carry some pre-computation information of each region. We alsopropose multiple client-side algorithms to facilitate the processing of different spatial queriessuch as kNN query; range query and CNN query. A comprehensive experimental study …,IEEE Transactions on Knowledge and Data Engineering,2015,23
Efficient reverse top-k boolean spatial keyword queries on road networks,Yunjun Gao; Xu Qin; Baihua Zheng; Gang Chen,Reverse k nearest neighbor (RkNN) queries have a broad application base such asdecision support; profile-based marketing; and resource allocation. Previous work on RkNNsearch does not take textual information into consideration or limits to the Euclidean space.In the real world; however; most spatial objects are associated with textual information andlie on road networks. In this paper; we introduce a new type of queries; namely; reverse top-k Boolean spatial keyword (RkBSK) retrieval; which assumes objects are on the roadnetwork and considers both spatial and textual information. Given a data set P on a roadnetwork and a query point q with a set of keywords; an RkBSK query retrieves the points in Pthat have q as one of answer points for their top-k Boolean spatial keyword queries. Weformalize the RkBSK query and then propose filter-and-refinement framework based …,IEEE Transactions on Knowledge and Data Engineering,2015,21
