Dwarf: Shrinking the petacube,Yannis Sismanis; Antonios Deligiannakis; Nick Roussopoulos; Yannis Kotidis,Abstract Dwarf is a highly compressed structure for computing; storing; and querying datacubes. Dwarf identifies prefix and suffix structural redundancies and factors them out bycoalescing their store. Prefix redundancy is high on dense areas of cubes but suffixredundancy is significantly higher for sparse areas. Putting the two together fuses theexponential sizes of high dimensional full cubes into a dramatically condensed datastructure. The elimination of suffix redundancy has an equally dramatic reduction in thecomputation of the cube because recomputation of the redundant suffixes is avoided. Thiseffect is multiplied in the presence of correlation amongst attributes in the cube. A Petabyte25-dimensional cube was shrunk this way to a 2.3 GB Dwarf Cube; in less than 20 minutes;a 1: 400000 storage reduction ratio. Still; Dwarf provides 100% precision on cube queries …,Proceedings of the 2002 ACM SIGMOD international conference on Management of data,2002,359
Extended wavelets for multiple measures,Antonios Deligiannakis; Minos Garofalakis; Nick Roussopoulos,Abstract Several studies have demonstrated the effectiveness of the Haar waveletdecomposition as a tool for reducing large amounts of data down to compact waveletsynopses that can be used to obtain fast; accurate approximate answers to user queries.Although originally designed for minimizing the overall mean-squared (ie; L 2-norm) error inthe data approximation; recently proposed methods also enable the use of Haar wavelets inminimizing other error metrics; such as the relative error in data value reconstruction; whichis arguably the most important for approximate query answers. Relatively little attention;however; has been paid to the problem of using wavelet synopses as an approximate queryanswering tool over complex tabular datasets containing multiple measures; such as thosetypically found in real-life OLAP applications. Existing decomposition approaches will …,ACM Transactions on Database Systems (TODS),2007,30
Dissemination of compressed historical information in sensor networks,Antonios Deligiannakis; Yannis Kotidis; Nick Roussopoulos,Abstract Sensor nodes are small devices that “measure” their environment andcommunicate feeds of low-level data values to a base station for further processing andarchiving. Dissemination of these multi-valued feeds is challenging because of the limitedresources (processing; bandwidth; energy) available in the nodes of the network. In thispaper; we first describe the SBR algorithm for compressing multi-valued feeds containinghistorical data from each sensor. The key to our technique is the base signal; a series ofvalues extracted from the real measurements that is used to provide piece-wiseapproximation of the measurements. While our basic technique exploits correlations amongmeasurements taken on a single node; we further show how it can be adapted to exploitcorrelations among multiple nodes in a localized setting. Sensor nodes may form clusters …,The VLDB Journal,2007,28
Data reduction techniques for sensor networks,Antonios Deligiannakis; Yannis Kotidis; Nick Roussopoulos,We are inevitably moving into a realm where small and inexpensive wireless devices wouldbe seamlessly embedded in the physical world and form a wireless sensor network in orderto perform complex monitoring and computational tasks. Such networks pose newchallenges in data processing and dissemination due to the conflict between (i) theabundance of information that can be collected and processed in a distributed fashionamong thousands of nodes and (ii) the limited resources (bandwidth; energy) that suchdevices possess. In this paper we propose a new data reduction technique that exploits thecorrelation and redundancy among multiple measurements on the same sensor andachieves high degree of data reduction while managing to capture even the smallest detailsof the recorded measurements. The key to our technique is the base signal; a series of …,*,2003,28
Lightweight authentication of linear algebraic queries on data streams,Stavros Papadopoulos; Graham Cormode; Antonios Deligiannakis; Minos Garofalakis,Abstract We consider a stream outsourcing setting; where a data owner delegates themanagement of a set of disjoint data streams to an untrusted server. The ownerauthenticates his streams via signatures. The server processes continuous queries on theunion of the streams for clients trusted by the owner. Along with the results; the server sendsproofs of result correctness derived from the owner's signatures; which are easily verifiableby the clients. We design novel constructions for a collection of fundamental problems overstreams represented as linear algebraic queries. In particular; our basic schemesauthenticate dynamic vector sums and dot products; as well as dynamic matrix products.These techniques can be adapted for authenticating a wide range of important operations instreaming environments; including group by queries; joins; in-network aggregation …,Proceedings of the 2013 ACM SIGMOD International Conference on Management of Data,2013,26
Semi-streamed index join for near-real time execution of ETL transformations,Mihaela A Bornea; Antonios Deligiannakis; Yannis Kotidis; Vasilis Vassalos,Active data warehouses have emerged as a new business intelligence paradigm wheredata in the integrated repository is refreshed in near real-time. This shift of practicesachieves higher consistency between the stored information and the latest updates; which inturn influences crucially the output of decision making processes. In this paper we focus onthe changes required in the implementation of Extract Transform Load (ETL) operationswhich now need to be executed in an online fashion. In particular; the ETL transformationsfrequently include the join between an incoming stream of updates and a disk-resident tableof historical data or metadata. In this context we propose a novel Semi-Streaming Index Join(SSIJ) algorithm that maximizes the throughput of the join by buffering stream tuples andthen judiciously selecting how to best amortize expensive disk seeks for blocks of the …,Data Engineering (ICDE); 2011 IEEE 27th International Conference on,2011,26
TACO: tunable approximate computation of outliers in wireless sensor networks,Nikos Giatrakos; Yannis Kotidis; Antonios Deligiannakis; Vasilis Vassalos; Yannis Theodoridis,Abstract Wireless sensor networks are becoming increasingly popular for a variety ofapplications. Users are frequently faced with the surprising discovery that readingsproduced by the sensing elements of their motes are often contaminated with outliers.Outlier readings can severely affect applications that rely on timely and reliable sensory datain order to provide the desired functionality. As a consequence; there is a recent trend toexplore how techniques that identify outlier values can be applied to sensory data cleaning.Unfortunately; most of these approaches incur an overwhelming communication overhead;which limits their practicality. In this paper we introduce an in-network outlier detectionframework; based on locality sensitive hashing; extended with a novel boosting process aswell as efficient load balancing and comparison pruning mechanisms. Our method trades …,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,26
Optimizing query shortcuts in RDF databases,Vicky Dritsou; Panos Constantopoulos; Antonios Deligiannakis; Yannis Kotidis,Abstract The emergence of the Semantic Web has led to the creation of large semanticknowledge bases; often in the form of RDF databases. Improving the performance of RDFdatabases necessitates the development of specialized data management techniques; suchas the use of shortcuts in the place of path queries. In this paper we deal with the problem ofselecting the most beneficial shortcuts that reduce the execution cost of path queries in RDFdatabases given a space constraint. We first demonstrate that this problem is an instance ofthe quadratic knapsack problem. Given the computational complexity of solving suchproblems; we then develop an alternative formulation based on a bi-criterion linearrelaxation; which essentially seeks to minimize a weighted sum of the query cost and of therequired space consumption. As we demonstrate in this paper; this relaxation leads to …,Extended Semantic Web Conference,2011,25
Efficient influence-based processing of market research queries,Anastasios Arvanitis; Antonios Deligiannakis; Yannis Vassiliou,Abstract The rapid growth of social web has contributed vast amounts of user preferencedata. Analyzing this data and its relationships with products could have several practicalapplications; such as personalized advertising; market segmentation; product featurepromotion etc. In this work we develop novel algorithms for efficiently processing twoimportant classes of queries involving user preferences; ie potential customers identificationand product positioning. With regards to the first problem; we formulate productattractiveness based on the notion of reverse skyline queries. We then present a newalgorithm; termed as RSA; that significantly reduces the I/O cost; as well as the computationcost; when compared to the state-of-the-art reverse skyline algorithm; while at the same timebeing able to quickly report the first results. Several real-world applications require …,Proceedings of the 21st ACM international conference on Information and knowledge management,2012,24
Adaptive join operators for result rate optimization on streaming inputs,Mihaela Bornea; Vasilis Vassalos; Yannis Kotidis; Antonios Deligiannakis,Adaptive join algorithms have recently attracted a lot of attention in emerging applicationswhere data are provided by autonomous data sources through heterogeneous networkenvironments. Their main advantage over traditional join techniques is that they can startproducing join results as soon as the first input tuples are available; thus; improvingpipelining by smoothing join result production and by masking source or network delays. Inthis paper; we first propose Double Index NEsted-loops Reactive join (DINER); a newadaptive two-way join algorithm for result rate maximization. DINER combines two keyelements: an intuitive flushing policy that aims to increase the productivity of in-memorytuples in producing results during the online phase of the join; and a novel reentrant jointechnique that allows the algorithm to rapidly switch between processing in-memory and …,IEEE transactions on knowledge and data engineering,2010,23
Outlier-aware data aggregation in sensor networks,Antonios Deligiannakis; Vassilis Stoumpos; Yannis Kotidis; Vasilis Vassalos; Alex Delis,In this paper we discuss a robust aggregation framework that can detect spuriousmeasurements and refrain from incorporating them in the computed aggregate values. Ourframework can consider different definitions of an outlier node; based on a specifiedminimum support. Our experimental evaluation demonstrates the benefits of our approach.,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,23
Double index nested-loop reactive join for result rate optimization,Mihaela A Bornea; Vasilis Vassalos; Yannis Kotidis; Antonios Deligiannakis,Adaptive join algorithms have recently attracted alot of attention in emerging applicationswhere data is provided by autonomous data sources through heterogeneous networkenvironments. Their main advantage over traditional join techniques is that they can startproducing join results as soon as the first input tuples are available; thus improvingpipelining by smoothing join result production and by masking source or network delays. Inthis paper we propose Double Index NEsted loops Reactive join (DINER); a new adaptivejoin algorithm forresult rate maximization. DINER combines two key elements: an intuitiveflushing policy that aims to increase the productivity of in-memory tuples in producing resultsduring the online phase of the join; and a novel re-entrant join technique that allows thealgorithm to rapidly switch between processing in-memory and disk-resident tuples; thus …,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,22
Probabilistic histograms for probabilistic data,Graham Cormode; Antonios Deligiannakis; Minos Garofalakis; Andrew McGregor,Abstract There is a growing realization that modern database management systems(DBMSs) must be able to manage data that contains uncertainties that are represented inthe form of probabilistic relations. Consequently; the design of each core DBMS componentmust be revisited in the presence of uncertain and probabilistic information. In this paper; westudy how to build histogram synopses for probabilistic relations; for the purposes ofenabling both DBMS-internal decisions (such as indexing and query planning); and(possibly; user-facing) approximate query processing tools. In contrast to initial work in thisarea; our probabilistic histograms retain the key possible-worlds semantics of probabilisticdata; allowing for more accurate; yet concise; representation of the uncertaintycharacteristics of data and query results. We present a variety of techniques for building …,Proceedings of the VLDB Endowment,2009,21
Methods and apparatus for representing probabilistic data using a probabilistic histogram,*,Methods and apparatus for representing probabilistic data using a probabilistic histogramare disclosed. An example method comprises partitioning a plurality of ordered data itemsinto a plurality of buckets; each of the data items capable of having a data value from aplurality of possible data values with a probability characterized by a respective individualprobability distribution function (PDF); each bucket associated with a respective subset ofthe ordered data items bounded by a respective beginning data item and a respectiveending data item; and determining a first representative PDF for a first bucket associatedwith a first subset of the ordered data items by partitioning the plurality of possible datavalues into a first plurality of representative data ranges and respective representativeprobabilities based on an error between the first representative PDF and a first plurality of …,*,2012,20
Distributed geometric query monitoring using prediction models,Nikos Giatrakos; Antonios Deligiannakis; Minos Garofalakis; Izchak Sharfman; Assaf Schuster,Abstract Many modern streaming applications; such as online analysis of financial; network;sensor; and other forms of data; are inherently distributed in nature. An important query typethat is the focal point in such application scenarios regards actuation queries; where properaction is dictated based on a trigger condition placed upon the current value that amonitored function receives. Recent work [Sharfman et al. 2006; 2007b; 2008] studies theproblem of (nonlinear) sophisticated function tracking in a distributive manner. The mainconcept behind the geometric monitoring approach proposed there is for each distributedsite to perform the function monitoring over an appropriate subset of the input domain. In thecurrent work; we examine whether the distributed monitoring mechanism can become moreefficient; in terms of the number of communicated messages; by extending the geometric …,ACM Transactions on Database Systems (TODS),2014,19
Practical private range search revisited,Ioannis Demertzis; Stavros Papadopoulos; Odysseas Papapetrou; Antonios Deligiannakis; Minos Garofalakis,Abstract We consider a data owner that outsources its dataset to an untrusted server. Theowner wishes to enable the server to answer range queries on a single attribute; withoutcompromising the privacy of the data and the queries. There are several schemes on"practical" private range search (mainly in Databases venues) that attempt to strike a trade-offbetween efficiency and security. Nevertheless; these methods either lack provable securityguarantees; or permit unacceptable privacy leakages. In this paper; we take aninterdisciplinary approach; which combines the rigor of Security formulations and proofs withefficient Data Management techniques. We construct a wide set of novel schemes withrealistic security/performance trade-offs; adopting the notion of Searchable SymmetricEncryption (SSE) primarily proposed for keyword search. We reduce range search to …,Proceedings of the 2016 International Conference on Management of Data,2016,18
Robust management of outliers in sensor network aggregate queries,Yannis Kotidis; Vasilis Vassalos; Antonios Deligiannakis; Vassilis Stoumpos; Alex Delis,Abstract Sensor networks are increasingly applied for monitoring diverse environments andapplications. Due to their unsupervised nature of operation and inexpensive hardware used;sensor nodes may furnish readings of rather poor quality. We thus need to devisetechniques that can withstand" dirty" data during query processing. In this paper weintroduce a robust aggregation framework that can detect and isolate spuriousmeasurements from computed aggregate values. Such readings are not injected in thereported aggregate; in order not to obscure the outcome; but are still maintained andreturned to the user/application; which may investigate them further and take appropriatedecisions. In addition; our framework provides a form of positive feedback to the user byenhancing the result with a set of nodes that contain the most characteristic values out of …,Proceedings of the 6th ACM international workshop on Data engineering for wireless and mobile access,2007,18
Hierarchically compressed wavelet synopses,Dimitris Sacharidis; Antonios Deligiannakis; Timos Sellis,Abstract The wavelet decomposition is a proven tool for constructing concise synopses oflarge data sets that can be used to obtain fast approximate answers. Existing researchstudies focus on selecting an optimal set of wavelet coefficients to store so as to minimizesome error metric; without however seeking to reduce the size of the wavelet coefficientsthemselves. In many real data sets the existence of large spikes in the data values results inmany large coefficient values lying on paths of a conceptual tree structure known as theerror tree. To exploit this fact; we introduce in this paper a novel compression scheme forwavelet synopses; termed hierarchically compressed wavelet synopses; that fully exploitshierarchical relationships among coefficients in order to reduce their storage. Our proposedcompression scheme allows for a larger number of coefficients to be stored for a given …,The VLDB Journal—The International Journal on Very Large Data Bases,2009,15
Bandwidth-constrained queries in sensor networks,Antonios Deligiannakis; Yannis Kotidis; Nick Roussopoulos,Abstract Sensor networks consist of battery-powered wireless devices that are required tooperate unattended for long periods of time. Thus; reducing energy drain is of utmostimportance when designing algorithms and applications for such networks. Aggregatequeries are often used by monitoring applications to assess the status of the network anddetect abnormal behavior. Since radio transmission often constitutes the biggest factor ofenergy drain in a node; in this paper we propose novel algorithms for the evaluation ofbandwidth-constrained queries over sensor networks. The goal of our techniques is; given atarget bandwidth utilization factor; to program the sensor nodes in a way that seeks tomaximize the accuracy of the produced query results at the monitoring node; while alwaysproviding strong error guarantees to the monitoring application. This is a distinct …,The VLDB Journal,2008,15
Exploiting spatio-temporal correlations for data processing in sensor networks,Antonios Deligiannakis; Yannis Kotidis,Abstract Recent advances in microelectronics have made feasible the deployment of sensornetworks for a variety of monitoring and surveillance tasks. In such tasks the state of thenetwork is evaluated either at regular intervals at a base-station; which constitutes acentralized location where the data collected by the sensor nodes can be collected andprocessed; or continuously through the use of; potentially multiple; continuous queries. Inorder to increase the network lifetime; multiple techniques have been proposed in order toreduce the data transmitted in the network; since the data communication often constitutesthe main source of energy drain in sensor networks. In this work we discuss several datareduction techniques that can be applied for energy-efficient query processing in sensornetwork applications. All of our proposed techniques seek to identify and take into …,*,2008,14
Issues in complex event processing: Status and prospects in the big data era,Ioannis Flouris; Nikos Giatrakos; Antonios Deligiannakis; Minos Garofalakis; Michael Kamp; Michael Mock,Abstract Many Big Data technologies were built to enable the processing of humangenerated data; setting aside the enormous amount of data generated from Machine-to-Machine (M2M) interactions and Internet-of-Things (IoT) platforms. Such interactions createreal-time data streams that are much more structured; often in the form of series of eventoccurrences. In this paper; we provide an overview on the main research issues confrontedby existing Complex Event Processing (CEP) techniques; with an emphasis on queryoptimization aspects. Our study expands on both deterministic and probabilistic eventmodels and spans from centralized to distributed network settings. In that; we cover a widerange of approaches in the CEP domain and review the current status of techniques thattackle efficient query processing. These techniques serve as a starting point for …,Journal of Systems and Software,2017,11
In-network approximate computation of outliers with quality guarantees,Nikos Giatrakos; Yannis Kotidis; Antonios Deligiannakis; Vasilis Vassalos; Yannis Theodoridis,Abstract Wireless sensor networks are becoming increasingly popular for a variety ofapplications. Users are frequently faced with the surprising discovery that readingsproduced by the sensing elements of their motes are often contaminated with outliers.Outlier readings can severely affect applications that rely on timely and reliable sensory datain order to provide the desired functionality. As a consequence; there is a recent trend toexplore how techniques that identify outlier values based on their similarity to other readingsin the network can be applied to sensory data cleaning. Unfortunately; most of theseapproaches incur an overwhelming communication overhead; which limits their practicality.In this paper we introduce an in-network outlier detection framework; based on localitysensitive hashing; extended with a novel boosting process as well as efficient load …,Information Systems,2013,11
A Fast Approximation Scheme for Probabilistic Wavelet Synopses.,Antonios Deligiannakis; Minos N Garofalakis; Nick Roussopoulos,Abstract Several studies have demonstrated the effectiveness of Haar wavelets in reducinglarge amounts of data down to compact wavelet synopses that can be used to obtain fast;accurate approximate query answers. While Haar wavelets were originally designed forminimizing the overall root-mean-squared (ie; L2-norm) error in the data approximation; therecently-proposed idea of probabilistic wavelet synopses also enables their use inminimizing other error metrics; such as the relative error in individual datavaluereconstruction; which is arguably the most important for approximate query processing.Known construction algorithms for probabilistic wavelet synopses employ probabilisticschemes for coefficient thresholding that are based on optimal Dynamic-Programming (DP)formulations over the error-tree structure for Haar coefficients. Unfortunately; these (exact) …,SSDBM,2005,11
Processing event-monitoring queries in sensor networks,Vassilis Stoumpos; Antonios Deligiannakis; Yannis Kotidis; Alex Delis,In this paper we present algorithms for building and maintaining efficient collection trees thatprovide the conduit to disseminate data required for processing monitoring queries in awireless sensor network. We introduce and formalize the notion of event monitoring queriesand demonstrate that they can capture a large class of monitoring applications. We thenshow techniques which; using a small set of intuitive statistics; can compute collection treesthat minimize important resources such as the number of messages exchanged among thenodes or the overall energy consumption. Our experiments demonstrate that our techniquescan organize the data collection process while utilizing significantly lower resources thanprior approaches.,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,9
Sketching distributed sliding-window data streams,Odysseas Papapetrou; Minos Garofalakis; Antonios Deligiannakis,Abstract While traditional data management systems focus on evaluating single; ad hocqueries over static data sets in a centralized setting; several emerging applications require(possibly; continuous) answers to queries on dynamic data that is widely distributed andconstantly updated. Furthermore; such query answers often need to discount data that is“stale” and operate solely on a sliding window of recent data arrivals (eg; data updatesoccurring over the last 24 h). Such distributed data streaming applications mandate novelalgorithmic solutions that are both time and space efficient (to manage high-speed datastreams) and also communication efficient (to deal with physical data distribution). In thispaper; we consider the problem of complex query answering over distributed; high-dimensional data streams in the sliding-window model. We introduce a novel sketching …,The VLDB Journal,2015,7
PAO: power-efficient attribution of outliers in wireless sensor networks,Nikos Giatrakos; Yannis Kotidis; Antonios Deligiannakis,Abstract Sensor nodes constitute inexpensive; disposable devices that are often scattered inharsh environments of interest so as to collect and communicate desired measurements ofmonitored quantities. Due to the commodity hardware used in the construction of sensornodes; the readings of sensors are frequently tainted with outliers. Given the presence ofoutliers; decision making in sensor networks becomes much harder. In this work; weintroduce PAO; a framework that can reliably and efficiently detect outliers in wireless sensornetworks. PAO significantly reduces the bandwidth consumption during the outlier detectionprocedure; while being able to operate over multiple window types. Moreover; ourframework possesses the ability to operate in either an exact mode; or an approximate onethat further reduces the communication cost; thus covering a wide variety of application …,Proceedings of the Seventh International Workshop on Data Management for Sensor Networks,2010,7
Probabilistic wavelet synopses for multiple measures,*,A technique for building probabilistic wavelet synopses for multi-measure data sets isprovided. In the presence of multiple measures; it is demonstrated that the problem of exactprobabilistic coefficient thresholding becomes significantly more complex. An algorithmicformulation for probabilistic multi-measure wavelet thresholding based on the idea of partial-order dynamic programming (PODP) is provided. A fast; greedy approximation algorithm forprobabilistic multi-measure thresholding based on the idea of marginal error gains isprovided. An empirical study with both synthetic and real-life data sets validated theapproach; demonstrating that the algorithms outperform naive approaches based onoptimizing individual measures independently and the greedy thresholding schemeprovides near-optimal and; at the same time; fast and scalable solutions to the …,*,2007,6
