A brief survey of web data extraction tools,Alberto HF Laender; Berthier A Ribeiro-Neto; Altigran S Da Silva; Juliana S Teixeira,Abstract In the last few years; several works in the literature have addressed the problem ofdata extraction from Web pages. The importance of this problem derives from the fact that;once extracted; the data can be handled in a way similar to instances of a traditionaldatabase. The approaches proposed in the literature to address the problem of Web dataextraction use techniques borrowed from areas such as natural language processing;languages and grammars; machine learning; information retrieval; databases; andontologies. As a consequence; they present very distinct features and capabilities whichmake a direct comparison difficult to be done. In this paper; we propose a taxonomy forcharacterizing Web data extraction fools; briefly survey major Web data extraction toolsdescribed in the literature; and provide a qualitative analysis of them. Hopefully; this work …,ACM Sigmod Record,2002,940
Improving web search efficiency via a locality based static pruning method,Edleno S De Moura; Célia F dos Santos; Daniel R Fernandes; Altigran S Silva; Pavel Calado; Mario A Nascimento,Abstract The unarguably fast; and continuous; growth of the volume of indexed (andindexable) documents on the Web poses a great challenge for search engines. This is trueregarding not only search effectiveness but also time and space efficiency. In this paper wepresent an index pruning technique targeted for search engines that addresses the latterissue without disconsidering the former. To this effect; we adopt a new pruning strategycapable of greatly reducing the size of search engine indices. Experiments using a realsearch engine show that our technique can reduce the indices' storage costs by up to 60%over traditional lossless compression methods; while keeping the loss in retrieval precisionto a minimum. When compared to the indices size with no compression at all; thecompression rate is higher than 88%; ie; less than one eighth of the original size. More …,Proceedings of the 14th international conference on World Wide Web,2005,65
Cobweb-a crawler for the brazilian web,Altigran Soares da Silva; Eveline A Veloso; Paulo Braz Golgher; Berthier Ribeiro-Neto; Alberto HF Laender; Nivio Ziviani,One of the key components of current Web search engines is the document collector. Thepaper describes CoBWeb; an automatic document collector whose architecture is distributedand highly scalable. CoBWeb aims at collecting large amounts of documents per time periodwhile observing operational and ethical limits in the crawling process. CoBWeb is part of theSIAM (Information Systems in Mobile Computing Environments) search engine which isbeing implemented to support the Brazilian Web. Thus; several results related to theBrazilian Web are presented.,String Processing and Information Retrieval Symposium; 1999 and International Workshop on Groupware,1999,63
Structure-driven crawler generation by example,Márcio LA Vidal; Altigran S da Silva; Edleno S de Moura; João Cavalcanti,Abstract Many Web IR and Digital Library applications require a crawling process to collectpages with the ultimate goal of taking advantage of useful information available on Websites. For some of these applications the criteria to determine when a page is to be presentin a collection are related to the page content. However; there are situations in which theinner structure of the pages provides a better criteria to guide the crawling process than theircontent. In this paper; we present a structure-driven approach for generating Web crawlersthat requires a minimum effort from users. The idea is to take as input a sample page and anentry point to a Web site and generate a structure-driven crawler based on navigationpatterns; sequences of patterns for the links a crawler has to follow to reach the pagesstructurally similar to the sample page. In the experiments we have carried out; structure …,Proceedings of the 29th annual international ACM SIGIR conference on Research and development in information retrieval,2006,60
Measuring similarity between collection of values,Carina F Dorneles; Carlos A Heuser; Andrei EN Lima; Altigran Soares da Silva; Edleno Silva de Moura,Abstract In this paper; we propose a set of similarity metrics for manipulating collections ofvalues occuring in XML documents. Following the data model presented in TAX algebra; wetreat an XML element as a labeled ordered rooted tree. Consider that XML nodes can beeither atomic; ie; they may contain single values such as short character strings; date; etc; orcomplex; ie; nested structures that contain other nodes; we propose two types of similaritymetrics: MAVs; for atomic nodes and MCVs; for complex nodes. In the first case; we suggestthe use of several application domain dependent metrics. In the second case; we definemetrics for complex values that are structure dependent; and can be distinctly applied for itand collections of values. We also present experiments showing the effectiveness of ourmethod.,Proceedings of the 6th annual ACM international workshop on Web information and data management,2004,49
Learning to deduplicate,Moisés G de Carvalho; Marcos André Gonçalves; Alberto HF Laender; Altigran S da Silva,Abstract Identifying record replicas in Digital Libraries and other types of digital repositoriesis fundamental to improve the quality of their content and services as well as to yieldeventual sharing efforts. Several deduplication strategies are available; but most of them relyon manually chosen settings to combine evidence used to identify records as being replicas.In this paper; we present the results of experiments we have carried out with a novelMachine Learning approach we have proposed for the deduplication problem. Thisapproach; based on Genetic Programming (GP); is able to automatically generate similarityfunctions to identify record replicas in a given repository. The generated similarity functionsproperly combine and weight the best evidence available among the record fields in order totell when two distinct records represent the same real-world entity. The results of the …,Proceedings of the 6th ACM/IEEE-CS joint conference on Digital libraries,2006,46
Computing block importance for searching on web sites,David Fernandes; Edleno S de Moura; Berthier Ribeiro-Neto; Altigran S da Silva; Marcos André Gonçalves,Abstract In this paper we consider the problem of using the block structure of a Web page toimprove ranking results when searching for information on Web sites. Given the blockstructure of the Web pages as input; we propose a method for computing the importance ofeach block (in the form of block weights) in a Web collection. As we show throughexperiments; the deployment of our method may allow a significant improvement in thequality of search results. We ran experiments to compare the quality of search results whenusing our method to the quality obtained when using no structure information. Whencompared to a ranking method that considered pages as monolithic units; our block-basedranking method led to improvements in the quality of search results in experiments with twosites with heterogeneous structures. Further; our method does not increase the cost of …,Proceedings of the sixteenth ACM conference on Conference on information and knowledge management,2007,45
An example-based environment for wrapper generation,Paulo B Golgher; Alberto HF Laender; Altigran S Da Silva; Berthier Ribeiro-Neto,Abstract In the so-called Web information systems; the role of extracting data of interest fromWeb sites is played by software components generically known as wrappers. As a result; theexistence of flexible tools for designing; developing and maintaining wrappers is crucial. Inthis paper; we present WByE (Wrapping By Example); a user-oriented set of tools for helpingthe user to build wrappers. WByE is based on information implicitly provided by the user bymeans of suitable and intuitive interfaces. It includes two components: the ASByE tool; usedfor generating specifications on how to fetch desired pages (be them static or dynamic); andthe DEByE tool; used for the extraction of data implicitly present in the fetched pages.,International Conference on Conceptual Modeling,2000,44
Replica identification using genetic programming,Moisés G Carvalho; Albero HF Laender; Marcos André Gonçalves; Altigran S da Silva,Abstract Identifying and handling replicas are important to guarantee the quality of theinformation made available by modern data storage services. There has been a largeinvestment from companies and governments in the development of effective methods forremoving replicas from large databases. Typically; this investment has produced significantresults; since cleaned replica-free databases not only allow the retrieval of higher-qualityinformation but also lead to a more concise data representation and to potential savings incomputational time and resources to process and maintaining this data. In this paper; wepropose a GP-based approach to automatic replica identification that combines evidencebased on the data content in order to find a similarity function that is able to identify whethertwo entries in a repository are replicas or not. As shown by our experiments; our approach …,Proceedings of the 2008 ACM symposium on Applied computing,2008,39
Named entity disambiguation in streaming data,Alexandre Davis; Adriano Veloso; Altigran S Da Silva; Wagner Meira Jr; Alberto HF Laender,Abstract The named entity disambiguation task is to resolve the many-to-manycorrespondence between ambiguous names and the unique real-world entity. This task canbe modeled as a classification problem; provided that positive and negative examples areavailable for learning binary classifiers. High-quality sense-annotated data; however; arehard to be obtained in streaming environments; since the training corpus would have to beconstantly updated in order to accomodate the fresh data coming on the stream. On theother hand; few positive examples plus large amounts of unlabeled data may be easilyacquired. Producing binary classifiers directly from this data; however; leads to poordisambiguation performance. Thus; we propose to enhance the quality of the classifiersusing finer-grained variations of the well-known Expectation-Maximization (EM) algorithm …,Proceedings of the 50th Annual Meeting of the Association for Computational Linguistics: Long Papers-Volume 1,2012,36
The Web as a Data Source for Spatial Databases.,Karla AV Borges; Alberto HF Laender; Claudia Bauzer Medeiros; Altigran Soares da Silva; Clodoveu A Davis Jr,Abstract. With the phenomenal growth of the WWW; rich data sources on many differentsubjects have become available online. Some of these sources store daily facts that ofteninvolve textual geographic descriptions. These descriptions can be perceived as indirectlygeoreferenced data-eg; addresses; telephone numbers; zip codes and place names. Underthis perspective; the Web becomes a large geospatial database; often providing up-to-datelocal or regional information. In this work we focus on using the Web as an important sourceof urban geographic information and propose to enhance urban Geographic InformationSystems (GIS) using indirectly georeferenced data extracted from the Web. We describe anenvironment that allows the extraction of geospatial data from Web pages; converts them toXML format; and uploads the converted data into spatial databases for later use in urban …,GeoInfo,2003,36
Ondux: on-demand unsupervised learning for information extraction,Eli Cortez; Altigran S da Silva; Marcos André Gonçalves; Edleno S de Moura,Abstract Information extraction by text segmentation (IETS) applies to cases in which datavalues of interest are organized in implicit semi-structured records available in textualsources (eg postal addresses; bibliographic information; ads). It is an important practicalproblem that has been frequently addressed in the recent literature. In this paper weintroduce ONDUX (On Demand Unsupervised Information Extraction); a new unsupervisedprobabilistic approach for IETS. As other unsupervised IETS approaches; ONDUX relies oninformation available on pre-existing data to associate segments in the input string withattributes of a given domain. Unlike other approaches; we rely on very effective matchingstrategies instead of explicit learning strategies. The effectiveness of this matching strategyis also exploited to disambiguate the extraction of certain attributes through a …,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,35
Exploring features for the automatic identification of user goals in web search,Mauro Rojas Herrera; Edleno Silva de Moura; Marco Cristo; Thomaz Philippe Silva; Altigran Soares da Silva,Abstract Queries submitted to search engines can be classified according to the user goalsinto three distinct categories: navigational; informational; and transactional. Suchclassification may be useful; for instance; as additional information for advertisementselection algorithms and for search engine ranking functions; among other possibleapplications. This paper presents a study about the impact of using several featuresextracted from the document collection and query logs on the task of automaticallyidentifying the users' goals behind their queries. We propose the use of new features notpreviously reported in literature and study their impact on the quality of the queryclassification task. Further; we study the impact of each feature on different web collections;showing that the choice of the best set of features may change according to the target …,Information processing & management,2010,35
A probabilistic approach for automatically filling form-based web interfaces,Guilherme A Toda; Eli Cortez; Altigran S da Silva; Edleno de Moura,Abstract In this paper we present a proposal for the implementation and evaluation of anovel method for automatically using data-rich text for filling form-based input interfaces. Oursolution takes a text as input; extracts implicit data values from it and fills appropriate fields.For this task; we rely on knowledge obtained from values of previous submissions for eachfield; which are freely obtained from the usage of the interfaces. Our approach; called iForm;exploits features related to the content and the style of these values; which are combinedthrough a Bayesian framework. Through extensive experimentation; we show that ourapproach is feasible and effective; and that it works well even when only a few previoussubmissions to the input interface are available.,Proceedings of the VLDB Endowment,2010,34
The effectiveness of automatically structured queries in digital libraries,Marcos André Gonçalves; Edward A Fox; Aaron Krowne; Pável Calado; Alberto HF Laender; Altigran S da Silva; Berthier Ribeiro-Neto,Structured or fielded metadata is the basis for many digital library services; includingsearching and browsing. Yet; little is known about the impact of using structure on theeffectiveness of such services. We investigate a key research question: do structuredqueries improve effectiveness in DL searching? To answer this question; we empiricallycompared the use of unstructured queries to the use of structured queries. We then testedthe capability of a simple Bayesian network system; built on top of a DL retrieval engine; toinfer the best structured queries from the keywords entered by the user. Experimentsperformed with 20 subjects working with a DL containing a large collection of computerscience literature clearly indicate that structured queries; either manually constructed orautomatically generated; perform better than their unstructured counterparts; in the …,Digital Libraries; 2004. Proceedings of the 2004 Joint ACM/IEEE Conference on,2004,34
LABRADOR: Efficiently publishing relational databases on the web by using keyword-based query interfaces,Filipe Mesquita; Altigran S da Silva; Edleno S de Moura; Pável Calado; Alberto HF Laender,Abstract A vast amount of valuable information; produced and consumed by people andinstitutions; is currently stored in relational databases. For many purposes; there is an everincreasing demand for having these databases published on the Web; so that users canquery the data available in them. An important requirement for this to happen is that queryinterfaces must be as simple and intuitive as possible. In this paper we present LABRADOR;a system for efficiently publishing relational databases on the Web by using a simple textbox query interface. The system operates by taking an unstructured keyword-based queryposed by a user and automatically deriving an equivalent SQL query that fits the user'sinformation needs; as expressed by the original query. The SQL query is then sent to aDBMS and its results are processed by LABRADOR to create a relevance-based ranking …,Information Processing & Management,2007,33
Bootstrapping for example-based data extraction,Paulo B Golgher; Altigran S da Silva; Alberto HF Laender; Berthier Ribeiro-Neto,Abstract The effortless generation of wrappers for Web data sources is a crucial task ifproper access to the huge amount of semi-structured data on the Web is to be granted. Inparticular; the development of strategies for wrapper generation based on user-givenexamples is currently one of the most promising research directions in Web data extraction.In this paper we show how to use a pre-existing data repository to automatically generateexamples and allow full automated example-based data extraction. To demonstrate thefeasibility of our approach we provide a number of results obtained from experiments wecarried out and discuss how our ideas can be used to improve extraction rates and forproviding resilience and adaptiveness for example-based generated wrappers.,Proceedings of the tenth international conference on Information and knowledge management,2001,33
Searching web databases by structuring keyword-based queries,Pável Calado; Altigran S da Silva; Rodrigo C Vieira; Alberto HF Laender; Berthier A Ribeiro-Neto,Abstract On-line information services have become widespread in the Web nowadays.However; Web users are non-specialized and have a great variety of interests. Thus;interfaces for Web databases must be simple and uniform. In this paper we present anapproach; based on Bayesian networks; for querying Web databases using keywords only.According to this approach; the user inputs a query through a simple search-box interface.From the input query; one or more plausible structured queries are derived and submitted toWeb databases. The results are then retrieved and presented to the user as rankedanswers. Our approach reduces the complexity of existing on-line interfaces and offers asolution to the problem of querying several distinct Web databases with a single interface.The applicability of the proposed approach was demonstrated by experimental results …,Proceedings of the eleventh international conference on Information and knowledge management,2002,31
Querying semistructured data by example: The QSByE interface,Irna MR Evangelista Filha; Irna MR Evangelista; Filha Alberto; Alberto HF Laender; Altigran S da Silva,Abstract This paper presents QSByE; an interface for querying semistructured data throughexamples. The interface supports QBE-like query operations that are based on the nestedrelational algebra; which has been extended to deal with common features found insemistructured data; such as nested and irregular structures. Therefore; QSByE is moresuitable for casual users than traditional query languages for semistructured data because itprovides graphical facilities that assist the user on the query formulation process. QSByEoperates over data repositories generated by DEByE; a tool for extracting data from Websources.,*,2001,31
Explorando redes sociais online: Da coleta e análise de grandes bases de dados às aplicações,Fabrício Benevenuto; Jussara M Almeida; Altigran S Silva,Resumo Redes sociais online têm se tornado extremamente populares; levando aosurgimento e à crescente popularização de uma nova onda de aplicações na Web.Associado a esse crescimento; redes sociais estão se tornando um tema central depesquisas em diversas áreas da Ciência da Computação. Este mini-curso oferece umaintrodução ao pesquisador que pretende explorar esse tema. Inicialmente; apresentamosas principais características das redes sociais mais populares atualmente. Em seguida;discutimos as principais métricas e análises utilizadas no estudo dos grafos que formam atopologia das redes sociais. Finalmente; sumarizamos as principais abordagens para coletae tratamento de dados de redes sociais online e discutimos trabalhos recentes que ilustramo uso de tais técnicas.,Porto Alegre: Sociedade Brasileira de Computação,2011,30
Avaliação das características dos usuários com hipertensão arterial e/ou diabetes mellitus em uma Unidade de Saúde Pública; no município de Jaboatão dos Guar...,DS Bezerra; AS Silva; ALM Carvalho,Resumo Hipertensão Arterial e Diabetes Mellitus constituem os principais fatores de riscopara doenças cardiovasculares. Neste contexto; o acompanhamento farmacoterapêuticodemonstra ser uma importante estratégia de controle destas condições de saúde. Comoobjetivo; avaliou-se as características dos usuários do Programa Nacional de Hipertensão eDiabetes (Hiperdia) em uma Unidade de Saúde Pública; para averiguar a necessidade deimplantar um serviço de Atenção Farmacêutica. Utilizaram-se questionários para verificar acompreensão do usuário sobre: doença; terapia medicamentosa e adesão ao tratamento.Observou-se que dos 50 usuários entrevistados; a média de idade foi 56; 68±10; 1 anos;sendo 82% gênero feminino. 62% apresentaram ensino fundamental; 12% eramanalfabetos e 32% tinham algum conhecimento sobre sua doença. Em relação aos …,Revista de Ciências Farmacêuticas Básica e Aplicada,2009,30
An evolutionary approach for combining different sources of evidence in search engines,Thomaz Philippe C Silva; Edleno Silva de Moura; João Marcos B Cavalcanti; Altigran S da Silva; Moisés Gomes de Carvalho; Marcos André Gonçalves,Abstract Modern Web search engines use different strategies to improve the overall qualityof their document rankings. Usually the strategy adopted involves the combination ofmultiple sources of relevance into a single ranking. This work proposes the use ofevolutionary techniques to derive good evidence combination functions using three differentsources of evidence of relevance: the textual content of documents; the reputation ofdocuments extracted from the connectivity information available in the processed collectionand the anchor text concatenation. The combination functions discovered by ourevolutionary strategies were tested using a collection containing 368 queries extracted froma real nation-wide search engine query log with over 12 million documents. Theexperiments performed indicate that our proposal is an effective and practical alternative …,Information Systems,2009,28
Exploiting genre in focused crawling,Guilherme T De Assis; Alberto HF Laender; Marcos André Gonçalves; Altigran S Da Silva,Abstract In this paper; we propose a novel approach to focused crawling that exploits genreand content-related information present in Web pages to guide the crawling process. Theeffectiveness; efficiency and scalability of this approach are demonstrated by a set ofexperiments involving the crawling of pages related to syllabi (genre) of computer sciencecourses (content). The results of these experiments show that focused crawlers constructedaccording to our approach achieve levels of F1 superior to 92%(an average gain of 178%over traditional focused crawlers); requiring the analysis of no more than 60% of the visitedpages in order to find 90% of the relevant pages (an average gain of 82% over traditionalfocused crawlers).,International Symposium on String Processing and Information Retrieval,2007,28
A Bayesian network approach to searching Web databases through keyword-based queries,Pável Calado; Altigran S da Silva; Alberto HF Laender; Berthier A Ribeiro-Neto; Rodrigo C Vieira,Abstract On-line information services have become widespread in the Web nowadays.However; Web users are non-specialized and have a great variety of interests. Interfaces forWeb databases must; therefore; be both simple and uniform. In this paper; we present asolution for querying Web databases using keywords only. A Bayesian network model isused to generate a set of one or more plausible structured queries derived form the initialuser input. These queries can then be submitted to Web databases and the retrieved resultspresented as a set of ranked answers. To structure the user queries; full access to thedatabase is not required. Instead; only a small portion of its content; extracted through apublic Web interface; is used by the network model. This approach not only reduces thecomplexity of existing on-line interfaces; but also offers a solution to the problem of …,Information processing & management,2004,28
Collecting hidden weeb pages for data extraction,Juliano Palmieri Lage; Altigran S da Silva; Paulo B Golgher; Alberto HF Laender,Abstract As the Web grows; more and more data has become available under dynamicforms of publication; such as a legacy database accessed by an HTML form (the so calledHidden Web). In situations such as this; integration of this data relies more and more on thefast generation of page fetching agents. As a result; there is an increasing need for tools thatcan help the user to generate such agents. In this paper; we describe an approach toautomatically generating agents to collect hidden Web pages that uses a pre-existing datarepository for identifying the contents of these pages and takes the advantage of someregularities that can be found among Web sites. To demonstrate the effectiveness of ourapproach; we discuss the results of a number of experiments carried out with sites fromdifferent domains. We also dicuss how such regularities among sites can be formalized.,Proceedings of the 4th international workshop on Web information and data management,2002,27
The Web-DL environment for building digital libraries from the Web,Pável P Calado; Marcos A Gonçalves; Edward A Fox; Berthier Ribeiro-Neto; Alberto HF Laender; Altigran S da Silva; Davi C Reis; Pablo A Roberto; Monique V Vieira; Juliano P Lage,Abstract The Web contains a huge volume of unstructured data; which is difficult to manage.In digital libraries; on the other hand; information is explicitly organized; described; andmanaged. Community-oriented services are built to attend specific information needs andtasks. In this paper; we describe an environment; Web-DL; that allows the construction ofdigital libraries from the Web. The Web-DL environment will allow us to collect data from theWeb; standardize it; and publish it through a digital library system. It provides support toservices and organizational structure normally available in digital libraries; but benefitingfrom the breadth of the Web contents. We experimented with applying the Web-DLenvironment to the Networked Digital Library of Theses and Dissertations (NDLTD); thusdemonstrating that the rapid construction of DLs from the Web is possible. Also; Web-DL …,Proceedings of the 3rd ACM/IEEE-CS joint conference on Digital libraries,2003,26
Fast document-at-a-time query processing using two-tier indexes,Cristian Rossi; Edleno S de Moura; Andre L Carvalho; Altigran S da Silva,Abstract In this paper we present two new algorithms designed to reduce the overall timerequired to process top-k queries. These algorithms are based on the document-at-a-timeapproach and modify the best baseline we found in the literature; Blockmax WAND (BMW);to take advantage of a two-tiered index; in which the first tier is a small index containing onlythe higher impact entries of each inverted list. This small index is used to pre-process thequery before accessing a larger index in the second tier; resulting in considerable speedingup the whole process. The first algorithm we propose; named BMW-CS; achieves higherperformance; but may result in small changes in the top results provided in the final ranking.The second algorithm; named BMW-t; preserves the top results and; while slower than BMW-CS; it is faster than BMW. In our experiments; BMW-CS was more than 40 times faster …,Proceedings of the 36th international ACM SIGIR conference on Research and development in information retrieval,2013,25
Active learning genetic programming for record deduplication,Junio De Freitas; Gisele L Pappa; Altigran S da Silva; Marcos A Gonc; Edleno Moura; Adriano Veloso; Alberto HF Laender; Moisés G de Carvalho,The great majority of genetic programming (GP) algorithms that deal with the classificationproblem follow a supervised approach; ie; they consider that all fitness cases available toevaluate their models are labeled. However; in certain application domains; a lot of humaneffort is required to label training data; and methods following a semi-supervised approachmight be more appropriate. This is because they significantly reduce the time required fordata labeling while maintaining acceptable accuracy rates. This paper presents the ActiveLearning GP (AGP); a semi-supervised GP; and instantiates it for the data deduplicationproblem. AGP uses an active learning approach in which a committee of multi-attributefunctions votes for classifying record pairs as duplicates or not. When the committee majorityvoting is not enough to predict the class of the data pairs; a user is called to solve the …,Evolutionary Computation (CEC); 2010 IEEE Congress on,2010,25
A flexible approach for extracting metadata from bibliographic citations,Eli Cortez; Altigran S da Silva; Marcos André Gonçalves; Filipe Mesquita; Edleno S de Moura,Abstract In this article we present FLUX-CiM; a novel method for extracting components (eg;author names; article titles; venues; page numbers) from bibliographic citations. Our methoddoes not rely on patterns encoding specific delimiters used in a particular citation style. Thisfeature yields a high degree of automation and flexibility; and allows FLUX-CiM to extractfrom citations in any given format. Differently from previous methods that are based onmodels learned from user-driven training; our method relies on a knowledge baseautomatically constructed from an existing set of sample metadata records from a given field(eg; computer science; health sciences; social sciences; etc.). These records are usuallyavailable on the Web or other public data repositories. To demonstrate the effectiveness andapplicability of our proposed method; we present a series of experiments in which we …,Journal of the Association for Information Science and Technology,2009,25
