Probabilistic seismic response analysis of a 3-D reinforced concrete building,Marco Faggella; Andre R Barbosa; Joel P Conte; Enrico Spacone; Jose I Restrepo,Abstract This paper presents the probabilistic seismic demand analysis with respect toseismic input uncertainty only of a 3-D reinforced concrete building model subjected to three-component earthquake ground motion excitation. Response history analyses are carried outon a nonlinear frame model. Probability distributions are assumed for the ground motionIntensity Measure (IM) taken as the linear 5% damped elastic spectral acceleration at thefundamental period of the structure. Part of the framework of the so-called PerformanceBased Earthquake Engineering (PBEE) methodology developed by the Pacific EarthquakeEngineering Research (PEER) Center is used in this study. This paper has two mainobjectives. The first objective is to perform a probabilistic demand analysis of an existingbuilding conditional on the ground motion IM. The second objective is to use the results …,Structural Safety,2013,30
Comparison of inundation depth and momentum flux based fragilities for probabilistic tsunami damage assessment and uncertainty analysis,Hyoungsu Park; Daniel T Cox; Andre R Barbosa,Abstract Annual exceedance probabilities of the maximum tsunami inundation depth; h Max;and momentum flux; M Max; conditional on a full-rupture event of the Cascadia SubductionZone (CSZ) were used to estimate the probability of building damage using a fragilityanalysis at Seaside; Oregon. Tax lot data; Google Street View; and field reconnaissancesurveys were used to classify the buildings in Seaside and to correlate building typologieswith existing fragility curves according to the construction material; number of stories; andbuilding seismic design level based on the date of construction. A fragility analysis was usedto estimate the damage probability of buildings for 500-; 1000-; and 2500-year exceedanceprobabilities conditioned on a full-rupture CSZ event. Finally; the sensitivity of buildingdamage was estimated for both the aleatory and epistemic uncertainties involved in the …,Coastal Engineering,2017,9
Application of lean construction concepts to manage the submittal process in AEC projects,Ana Catarina VMF Pestana; Thaís da CL Alves; André R Barbosa,Abstract Office processes are repetitive; common to multiple projects; involve multiplespecialists; and are necessary to support the work of trades. Not much attention has beengiven to the management of office-related processes in the architecture; engineering; andconstruction (AEC) literature despite their importance in supporting core activities in thisindustry. Anecdotal evidence provided by industry practitioners and research carried out bythe authors suggest that these processes lack transparency (eg; actual durations areunknown; indicators are not used to manage the process) and suffer from low reliability; thatis; planned times do not reflect the reality and are often underestimated. Aiming to addressthis gap in the literature; this paper presents a two-phase study carried out to investigate thesubmittal process in a construction company using lean construction concepts and tools …,Journal of Management in Engineering,2013,9
Structural assessment of a school building in Sankhu; Nepal damaged due to torsional response during the 2015 Gorkha earthquake,Supratik Bose; Amin Nozari; Mohammad Ebrahim Mohammadi; Andreas Stavridis; Moaveni Babak; Richard Wood; Dan Gillins; Andre Barbosa,Abstract This paper discusses the structural assessment of a red-tagged four-story schoolbuilding in Sankhu; Nepal. The building had a masonry-infilled reinforced concrete framewhich was severely damaged during the 2015 Gorkha Earthquake. The concentration ofdamage in the west end of the first story indicates that the frame exhibited torsional responseto the ground excitation. The authors visited the structure 2 months after the earthquake;collected LiDAR scans; and recorded the ambient vibrations of the damaged structure. TheLiDAR data has been used to create a three-dimensional point cloud of the building whichhas allowed the identification of the locations and geometry of the major cracks but also themeasurement of the permanent deformations of the building. The structure was alsoinstrumented with four unidirectional accelerometers on every floor; two at opposite …,*,2016,8
Seismic performance of high-strength steel RC bridge columns,Andre R Barbosa; Tim Link; David Trejo,Abstract This paper presents the results of a testing program developed to assess theperformance of circular RC bridge columns constructed with ASTM A706 Grade 80 [550]high-strength steel (HSS) reinforcement. Two pairs of columns were tested (four columns intotal). The columns were subjected to lateral cyclic loading to determine the effects of steelreinforcement grade (yield strength) and of moment–shear span ratio on columnperformance. Each pair consisted of one column constructed with Grade 80 [550] HSSreinforcement and a control column constructed with Grade 60 [420] reinforcement. The firstpair had a moment–shear span ratio of six (6); and the second pair had a moment–shearspan ratio of three (3). All four columns were designed to have similar nominal bending-moment capacities. Results indicate that the columns constructed with Grade 80 [550] …,Journal of Bridge Engineering,2015,8
Methodology for development of physics-based tsunami fragilities,Navid Attary; John W van de Lindt; Vipin U Unnikrishnan; Andre R Barbosa; Daniel T Cox,Abstract Tsunamis affect coastal regions around the world; resulting in fatalities andcatastrophic damage to communities. Fragility functions form the basis of most risk andresilience analyses at the individual structure level; thereby allowing physical infrastructurecomponents to be included at the community level. For tsunami loading; the vast majority offragilities that have been developed are based on postevent observations in the field; whichare usually specific to the site of the event. In this paper; a methodology to generate physics-based tsunami fragility functions is proposed; using vector intensity measures; such astsunami flow depth and flow velocity and several combinations thereof. The proposedmethodology relies on Monte Carlo Simulation for consideration of material uncertaintiesand includes epistemic uncertainties in the tsunami force calculation. The ability of …,Journal of Structural Engineering,2016,7
SSI-Bridge: soil-bridge interaction during long-duration earthquake motions,Andre R Barbosa; H Benjamin Mason; Kyle Romney; More Hall,16. Abstract The seismic response of a complete soil-bridge system during shallow; crustaland subduction zone earthquakes is the topic of this report. Specifically; the effects ofearthquake duration on the seismic performance of soil-bridge systems are examined. Thistopic is important; because many bridges worldwide are located in tectonic regionscharacterized by a subducting plate boundary; where high-intensity; long-durationearthquake motions are possible. To date; the effects of earthquake duration are not widelyconsidered during seismic design of bridges. In this report; a model of a soil-bridge system isdeveloped in the finite element framework OpenSees. The soilbridge system is subjected toearthquake motions of varying durations using the direct method. Comparative results showthat the number of inelastic excursions in the bridge column and pile increase …,University of Washington; Seattle; WA; USDOT University Transportation Center for Federal Region,2014,7
Wavelets no intervalo em elementos finitos,AR Barbosa,*,Master's thesis; IST-Technical University of Lisbon,2001,7
Utilização de um modelo Híbrido-Misto na análise dinâmica de estruturas reticuladas planas,Mário V Silva; AR Barbosa; EMBR Pereira; LMSS Castro,*,Congresso de Métodos Numéricos en Ingeniería; Granada,2005,6
Performance-based tsunami engineering methodology for risk assessment of structures,Navid Attary; Vipin U Unnikrishnan; John W van de Lindt; Daniel T Cox; Andre R Barbosa,Abstract Tsunamis are rare destructive phenomena caused by the sudden displacement of alarge amount of water in the ocean and can result in enormous losses to coastalcommunities. The resilience of coastal communities to tsunamis can be improved throughthe use of risk-informed decision making tools. Performance-Based Engineering (PBE)approaches have been developed for different natural hazards including earthquake; fire;hurricane; and wind to perform probabilistic risk assessment for structures. In this study; aprobabilistic Performance-Based Tsunami Engineering (PBTE) framework based on the totalprobability theorem is proposed for the risk assessment of structures subject to tsunamis.The proposed framework can be disaggregated into the different basic analysis phases ofhazard analysis; foundation and structure characterization; interaction analysis; structural …,Engineering Structures,2017,5
Structural identification of an 18-Story RC building in Nepal using post-earthquake ambient vibration and lidar data,Hanshun Yu; Mohammed A Mohammed; Mohammad E Mohammadi; Babak Moaveni; Andre R Barbosa; Andreas Stavridis; Richard L Wood,Few studies have been conducted to assess post-earthquake performance of structuresusing vibration measurements. This paper presents system identification and finite elementmodeling of an 18-story apartment building that was damaged during the 2015 Gorkhaearthquake in Nepal. In July 2016; a few months after the earthquake; the authors visited thebuilding and collected its ambient acceleration response. The recorded data are analyzedand the modal parameters of the structure are identified using an output-only systemidentification method. A linear finite element model of the building is also developed basedon the geometry of the building and its material properties to estimate numerically itsdynamic characteristics. The identified modal parameters are compared to those of themodel to identify possible shortcomings of the modeling and identification approaches …,Frontiers in Built Environment,2017,5
Seismic performance of circular reinforced concrete bridge columns constructed with grade 80 reinforcement,David Trejo; André R Barbosa; Tim Link,This project assessed the use of ASTM A706 Grade 80 reinforcing bars in reinforcedconcrete columns. Grade 80 is not currently allowed in reinforced concrete columns due tolack of information on the material characteristics and column performance. Six half-scale;circular columns were tested: three constructed with Grade 60 reinforcement and threeconstructed with Grade 80 reinforcement. Designs followed standard design methodologiesused by State Highway Agencies (including American Association of State Highway andTransportation Officials (AASHTO)). Results indicate that columns constructed with Grade 80reinforcement performed similar to columns constructed with conventional ASTM A706Grade 60 reinforcement. Computational modeling was performed using OpenSees for all sixcolumns. Results indicate that the columns constructed with Grade 80 reinforcement …,*,2014,5
Modeling framework for soil-bridge system response during sequential earthquake and tsunami loading,Trevor Carey; H Benjamin Mason; Andre R Barbosa; Michael H Scott,ABSTRACT Numerous bridge structures on Japan's eastern coast were damaged by theintense ground motion and subsequent tsunami caused by the 2011 Great East Japanearthquake. Damage to bridge systems during this multi-hazard event consisted of twocomponents: long duration ground shaking and tsunami inundation forces. Determining theextent of damage from each hazard is difficult because bridge assessment typically cannotbe performed between the earthquake motion and tsunami attack. Herein; a comprehensivemulti-hazard framework is proposed to simulate the contemporaneous damage from longduration ground shaking; and tsunami inundation for a typical coastal bridge. The frameworkconsiders soil-structure interaction; fluid-structure interaction; and ground motion timeduration effects when estimating bridge damage. The implementation of this multi-hazard …,Proceedings of Tenth US National Conference on Earthquake Engineering,2014,5
Uncertainty analysis of identified damping ratios in nonlinear dynamic systems,Babak Moaveni; Andre R Barbosa; Marios Panagiotou; Joel P Conte; Jose I Restrepo,ABSTRACT Obtaining accurate estimates of damping parameters from experimentalmeasurements of structures has been a challenge in the civil engineering community. Ingeneral; the confidence level on the identified damping is much lower than that of theidentified natural frequencies and mode shape components. Most system identificationmethods are based on linear system and control theories; while in reality most structuresbehave nonlinearly as the amplitude of the input force they are subjected to increases.When these linear system identification methods are applied to nonlinear structuralresponse; dynamic properties of an equivalent linear system are obtained. This equivalentlinear system will have similar response time history and input energy. The un-modeledsources of energy dissipation such as hysteretic/yielding energy will be included in the …,Proc. of International Modal Analysis Conference,2009,5
Bridge abutment interaction under seismic loading,André R Barbosa; Manuel AG Silva,Abstract: Abutments may undergo significant damage of difficult repair due to earthquakes.Simultaneous consideration of all intervening factors is difficult to achieve at present andsimplified models that integrate most representative features are required. The studyillustrates a simplified methodology for considering non-linear aspects and interactionabutmentsuperstructure for a bridge actually built and examines the influence of someparameters on the response.,2nd International Conference on Structural Condition Assessment; Monitoring and Improvement; Changsha; China,2007,5
Multiple-hazard fragility and restoration models of highway bridges for regional risk and resilience assessment in the United States: state-of-the-art review,Ioannis Gidaris; Jamie E Padgett; Andre R Barbosa; Suren Chen; Daniel Cox; Bret Webb; Amy Cerato,Abstract Highway bridges are one of the most vulnerable constituents of transportationnetworks when exposed to one or more natural hazards; such as earthquakes; hurricanes;tsunamis; and riverine floods. To facilitate and enhance prehazard and posthazard eventmitigation and emergency response strategies of transportation systems and entirecommunities; probabilistic risk and resilience assessment methodologies have attractedincreased attention recently. In this context; fragility and restoration models for highwaybridges subjected to a range of hazards are essential tools for efficient and accuratequantification of risk and resilience. This paper provides a comprehensive review of state-of-the-art fragility and restoration models for typical highway bridge classes that are applicablefor implementation in multihazard risk and resilience analyses of regional portfolios or …,Journal of structural engineering,2017,4
Nonlinear model calibration of a shear wall building using time and frequency data features,Eliyar Asgarieh; Babak Moaveni; Andre R Barbosa; Eleni Chatzi,Abstract This paper investigates the effects of different factors on the performance ofnonlinear model updating for a seven-story shear wall building model. The accuracy ofcalibrated models using different data features and modeling assumptions is studied bycomparing the time and frequency responses of the models with the exact simulated ones.Simplified nonlinear finite element models of the shear wall building are calibrated so thatthe misfit between the considered response data features of the models and the structure isminimized. A refined FE model of the test structure; which was calibrated manually to matchthe shake table test data; is used instead of the real structure for this performance evaluationstudy. The simplified parsimonious FE models are composed of simple nonlinear beam-column fiber elements with nonlinearity infused in them by assigning generated hysteretic …,Mechanical Systems and Signal Processing,2017,4
Influence of earthquake ground‐motion duration on damage estimation: application to steel moment resisting frames,Andre R Barbosa; Filipe LA Ribeiro; Luis AC Neves,Summary This paper presents an analytical study evaluating the influence of ground motionduration on structural damage of 3-story; 9-story; and 20-story SAC steel moment resistingframe buildings designed for downtown Seattle; WA; USA; using pre-Northridge codes. Two-dimensional nonlinear finite element models of the buildings are used to estimate thedamage induced by the ground motions. A set of 44 ground motions is used to study thecombined effect of spectral acceleration and ground motion significant duration on drift anddamage measures. In addition; 10 spectrally equivalent short-duration shallow crustalground motions and long-duration subduction zone records are selected to isolate durationeffect and assess its effect on the response. For each ground motion pair; incrementaldynamic analyses are performed at at least 20 intensity levels and response measures …,Earthquake Engineering & Structural Dynamics,2017,4
Performance of steel energy dissipators connected to cross-laminated timber wall panels subjected to tension and cyclic loading,Anthonie Kramer; Andre R Barbosa; Arijit Sinha,Abstract This paper presents a new alternative energy dissipation solution to be used withcross-laminated timber (CLT) self-centering walls. CLT is a relatively new building product inNorth America and could potentially be used for high-rise construction. The development ofhigh-performance seismic design solutions is necessary to encourage innovative structuresand the design of these structures to new heights. The objective of this paper is to propose awall-to-floor connection system that is easy to install and replace (structural fuse) after theoccurrence of a large damaging event. The proposed energy dissipators are fabricatedfollowing concepts used in developing steel buckling restrained steel braces (BRB); havinga milled portion; which is designed to yield and is enclosed within a grouted steel pipe. Theconnection system is investigated experimentally through a test sequence of …,Journal of Structural Engineering,2015,4
Segurança Estrutural,L Neves; A Barbosa,Este documento pretende servir de base ao estudo da quantificaçao da segurançaestrutural e das acçoes presentes em estruturas. Embora se faça uma curta introduçao aotema da fiabilidade estrutural; este é apenas apresentado como fundamento para a análisesemi-probabilıstica presente nos modernos regulamentos estruturais. Este documento épublicado no momento em que foram tornados públicos os anexos nacionais a parte dosEurocódigos. Assim; nao foi possıvel; em tempo útil; corrigir e alterar toda a informaçaopresente neste documento e; embora se tenha tentado que este seguisse as indicaçoes dosAnexos Nacionais; existirao; sem dúvidas valores e metodologias que; estando de acordocom os documentos principais dos Eurocódigos; nao estao em completo acordo com osAnexos Nacionais. Este é um documento que está em desenvolvimento há cerca de um …,*,2010,4
System and damage identification of a seven-story reinforced concrete building structure tested on the UCSD-NEES shake table,JP Conte; B Moaveni; X He; AR Barbosa,*,Proceeding of international conference on experimental vibration analysis for civil engineering structures,2007,4
Damage reconnaissance of unreinforced masonry bearing wall buildings after the 2015 Gorkha; Nepal; earthquake,Giuseppe Brando; Davide Rapone; Enrico Spacone; Matt S O'Banion; Michael J Olsen; Andre R Barbosa; Marco Faggella; Rosario Gigliotti; Domenico Liberatore; Salvatore Russo; Luigi Sorrentino; Supratik Bose; Andreas Stravidis,This paper documents and analyzes the seismic behavior of unreinforced masonry (URM)buildings that were damaged by the 2015 Gorkha earthquake in Nepal; and reports on theperformance of palaces; giving an overview on the failures suffered by significant examplesof these monumental buildings. Field reconnaissance was completed through both rapid; in-situ visual assessment and state-of-the-art procedures utilizing light detection and ranging(lidar) and virtual reality (VR) technologies. Both the visual and virtual assessments werecompared for 20 structures and were generally consistent; however; the virtual assessmentprocess enabled detection of damage that could not be captured or was difficult todistinguish in the field observations. Further; both in-plane and out-of-plane mechanismswere analyzed and attributed to specific structural deficiencies that usually characterize …,Earthquake Spectra,2017,3
Hysteretic behaviour of metal connectors for hybrid (high-and low-grade mixed species) cross laminated timber,Vahid Mahdavifar; Andre Barbosa; Arijit Sinha; Lech Muszynski; Rakesh Gupta,Abstract: Cross-laminated timber (CLT) is a prefabricated solid engineered wood productmade of at least three orthogonally bonded layers of solid-sawn lumber that are laminatedby gluing longitudinal and transverse layers with structural adhesives to form a solid panel.Previous studies have shown that the CLT buildings can perform well in seismic loading andare recognized as the essential role of connector performance in structural design;modelling; and analysis of CLT buildings. When CLT is composed of high-grade/high-density layers for the outer lamellas and low-grade/low-density for the core of the panels; theCLT panels are herein designated as hybrid CLT panels as opposed to conventional CLTpanels that are built using one lumber type for both outer and core lamellas. This paperpresents results of a testing program developed to estimate the cyclic performance of CLT …,arXiv preprint arXiv:1710.07825,2017,3
Probabilistic Seismic and Tsunami Hazard Analysis Conditioned on a Megathrust Rupture of the Cascadia Subduction Zone,Hyoungsu Park; Daniel T Cox; Mohammad Shafiqual Alam; Andre R Barbosa,This paper presents a framework for a probabilistic hazard assessment for the multi-hazardseismic and tsunami phenomena (PSTHA). For this work; we consider a full-rupture eventalong the Cascadia Subduction Zone and apply the methodology to the study area ofSeaside; Oregon; along the US Pacific Northwest coast. In this work; we show that theannual exceedance probabilities (AEP) of the tsunami intensity measures (IM) arequalitatively dissimilar to the IMs of the seismic ground motion in the study area. Specifically;the spatial gradients for the tsunami IM are much stronger across the length scale of the cityowing to the physical differences of energy dissipation of the two mechanisms. Exampleresults of probabilistic seismic hazard analysis (PSHA) and probabilistic tsunami hazardanalysis (PTHA) are shown for three observation points in the study area of Seaside. For …,Frontiers in Built Environment,2017,3
Tsunamis effects in man-made environment,Harry Yeh; Andre Barbosa; Benjamin H Mason,Tsunamis are water waves created by an impulsive disturbance in the ocean. A majority oftsunamis are generated by a coseismic ocean floor displacement (ie; earthquake-inducedseafloor rupture). Less common generation mechanisms are subaerial or submarinelandslides; volcanic activity; or; even more rarely; meteorite impact. To generate a tsunami;the earthquake must have a large magnitude (likewise; landsliding and volcanic activitymust be significant to generate a tsunami). Because tsunami generation occurs when largespans of the seafloor displace (ie; seafloor displacement of hundreds of kilometers);tsunamis' wavelengths are longer than the ocean depth. Tsunami wave heights are small(typically less than 1 meter high) in deep water; but the waves increase in height as theyadvance onto the continental shelf and approach the shore. The increase in wave height …,*,2014,3
Implementation and calibration of finite-length plastic hinge elements for use in seismic structural collapse analysis,Filipe LA Ribeiro; Luis AC Neves; Andre R Barbosa,Finite-length plastic hinge (FLPH) models have shown advantages over the concentratedplasticity hinge (CPH) models. However; empirical phenomenological relationships; such asModified Ibarra–Medina–Krawinkler (ModIMK) deterioration model; were mainly calibratedfor use in CPH models. ModIMK relationships are versatile and have been applied to steel;reinforced concrete; and timber structures. Herein; a calibration procedure of FLPH modelsand a unified algorithm for use of ModIMK relationships in CPH and FLPH models arepresented. Results from included examples validate the proposed algorithms; which wereimplemented in OpenSees. Additionally; results highlight that FPLH models avoid errors andconvergence pitfalls of CPH models.,Journal of Earthquake Engineering,2017,2
Torsional load transfer of drilled shaft foundations,Qiang Li; Armin W Stuedlein; Andre R Barbosa,Abstract Drilled shaft foundations commonly experience torsional loads; in addition to axialand lateral loading. Such cases include loads on mast arm traffic sign and signal poles; orseismically induced inertial loading of foundations supporting skewed or curved bridges.Despite the prevalence of drilled shafts; the understanding of the actual resistance to torsionprovided by these deep foundation elements is not well established. To help address thisgap in knowledge; two instrumented drilled shafts were constructed to evaluate the torsionalcapacity and load transfer at full scale. Both monotonic quasi-static and cyclic loading testswere performed. The imposed rotation and corresponding torque was monitored using stringpotentiometers and load cells; respectively. Strain gauges installed to measure shear strainsfacilitated computation of the torsional load transfer; which is described in detail. Design …,Journal of Geotechnical and Geoenvironmental Engineering,2017,2
Damage Assessment and Modeling of the Five Tiered Pagoda Style Nyatapola Temple,Richard L Wood; Mohammad Ebrahim Mohammadi; Andre R Barbosa; Linh Abdulrahman; Rajendra Soti; Chandra Kiran Kawan; Manjip Shakya; Michael J Olsen,This paper presents a novel methodology to combine ambient vibration-based operationmodal analysis with 3D ground-based lidar data to study damage on the Nyatapola Temple;which is a Bhaktapur UNESCO world heritage site that was damaged during the 2015Gorkha Nepal Earthquake. The post-earthquake ambient vibration data; collected viaaccelerometers placed on various levels of the temple; are used to estimate the vibrationalproperties via operational modal analysis. These properties are then compared to the pre-earthquake dynamic characteristics collected in 2002. The lidar data provides a geometricassessment of the current condition of the temple; capturing post-earthquake drift as afunction of height as well as significant cracks present in the façade. The lidar data alsoinforms the numerical models implemented for the post-earthquake condition assessment …,Earthquake Spectra,2017,2
Evaluation of torsional load transfer for drilled shaft foundations,Armin W Stuedlein; Andre R Barbosa; Qiang Li,Despite the prevalence of the use of drilled shafts for the support of traffic signal and signsalong state highways; relatively little is known about the torsional load transfer between thestructure and soil providing its support. A review of literature indicated that just three full-scale torsional loading test series have been conducted; and these did not report theobservation of the torsional load transfer. To help address this gap in knowledge; twoinstrumented test shafts; which were designed to support signal pole type SM3 based onOregon Department of Transportation (ODOT) Standard Drawing TM653; were constructedto evaluate the torsional capacity and load transfer of these shafts at full-scale at the OregonState University (OSU) Geotechnical Engineering Field Research Site (GEFRS). Two shaftswere constructed: one shaft designated as the torsion test drilled shaft with production …,*,2016,2
Nonlinear layered modelling approach for cross laminated timber panels subjected to out-of-plane loading,Vahid Mahdavifar; Andre R Barbosa; Arijit Sinha,41st IAHS WORLD CONGRESS Sustainability and Innovation for the Future 13-16th September2016 Albufeira; Algarve; Portugal … NONLINEAR LAYERED MODELLING APPROACH FORCROSS LAMINATED TIMBER PANELS SUBJECTED TO OUT-OF-PLANE LOADING … VahidMahdavifar1; Andre R. Barbosa2* and Arijit Sinha3 … 1: Civil and Construction Engineering/ Wood Science and Engineering College of Engineering / College of Forestry Oregon StateUniversity Room 290; Richardson Hall; Oregon State University; Corvallis; OR 97331 e-mail:Vahid.Mahdavifar@gmail.com … 2: Civil and Construction Engineering College of EngineeringOregon State University Room 342; Owen Hall; Oregon State University; Corvallis; OR 97331e-mail: Andre.Barbosa@oregonstate.edu … 3: Wood Science and Engineering College of ForestryOregon State University Room 234; Richardson Hall; Oregon State University; Corvallis …,Albufeira; Algarve; Portugal,2016,2
