Self-trapping of partially spatially incoherent light,Matthew Mitchell; Zhigang Chen; Ming-feng Shih; Mordechai Segev,Optical spatial solitons have been extensively studied during the last three decades[1]. Self-trappingof optical beams occurs when diffraction is exactly balanced by self- focusing due to an opticalnonlinearity [2]. Self-focusing was first studied in gases [3]; fluids [4]; and solids [5] which possessKerr-like nonlinearities. It has been found that self-trapping of a two dimensional beam in Kerrme- dia is unstable; which leads to catastrophic self-focusing [6] and eventually to beambreakup. Furthermore; even self-trapping of a one dimensional beam in a bulk Kerr mediumis unstable: It suffers from transverse instabil- ities that lead to beam breakup and filamentation[7]. Thus only self-trapping of a one dimensional beam in a slab waveguide is stable in a Kerrmedium [5]. Theoret- ical studies have shown that saturable Kerr media should be able to supportstable self-trapping of a two dimen- sional beam [8]. The first … FIG.2. Photographs of …,Physical review letters,1996,489
Waveguides induced by photorefractive screening solitons,Ming-feng Shih; Zhigang Chen; Matthew Mitchell; Mordechai Segev; Howard Lee; Robert S Feigelson; Jeffrey P Wilde,We study theoretically and experimentally the properties of waveguides induced by one-dimensional steady-state photorefractive screening solitons. We show that the number ofpossible guided modes in a waveguide induced by a bright soliton depends on the intensityratio of the soliton; which is the ratio between the soliton peak intensity and the sum of thebackground illumination and the dark irradiance. We find that the number of guided modesincreases monotonically with increasing intensity ratio. By adjusting the intensity ratio andthe applied field; one can keep a fixed soliton size and at the same time vary the number ofguided modes continuously. On the other hand; waveguides induced by dark screeningsolitons can support only one guided mode for all intensity ratios. Our experiments showgood agreement with the theoretical results for both bright-and dark-soliton-induced …,JOSA B,1997,150
Observation of discrete solitons and soliton rotation in optically induced periodic ring lattices,Xiaosheng Wang; Zhigang Chen; PG Kevrekidis,Abstract We report the first experimental demonstration of ring-shaped photonic lattices byoptical induction and the formation of discrete solitons in such radially symmetric lattices.The transition from discrete diffraction to single-channel guidance or nonlinear self-trappingof a probe beam is achieved by fine-tuning the lattice potential or the focusing nonlinearity.In addition to solitons trapped in the lattice center and in different lattice rings; wedemonstrate controlled soliton rotation in the Bessel-like ring lattices.,Physical review letters,2006,149
Steady-state dark photorefractive screening solitons,Zhigang Chen; Mark H Garrett; George C Valley; Matthew Mitchell; Ming-feng Shih; Mordechai Segev,We present an experimental study of steady-state dark photorefractive screening solitonstrapped in a bulk strontium barium niobate crystal. We compare experimental measurementswith theoretical calculations of the soliton properties and find good agreement betweentheory and experiments. We confirm the shapepreserving behavior of the dark soliton bymeasuring its beam profile as it propagates throughout a specially cut crystal and by guidinga beam of a different wavelength.,Optics letters,1996,146
Spatial soliton pixels from partially incoherent light,Zhigang Chen; Kathryn McCarthy,We report what is to our knowledge the first observation of pixellike spatial solitons frompartially spatially incoherent light. We created an array of as many as 32× 32 soliton pixelsby launching a spatially modulated incoherent light beam into a noninstantaneous self-focusing photorefraction medium. These solitons were stable and robust; forming a steady-state two-dimensional waveguide array in which optical coupling and control of localwaveguide channels could be realized.,Optics letters,2002,143
Topological creation and destruction of edge states in photonic graphene,Mikael C Rechtsman; Yonatan Plotnik; Julia M Zeuner; Daohong Song; Zhigang Chen; Alexander Szameit; Mordechai Segev,Abstract We experimentally demonstrate a topological transition of classical light in“photonic graphene”: an array of waveguides arranged in the honeycomb geometry. As thesystem is uniaxially strained (compressed); the two unique Dirac points (present in thespectrum of conventional graphene) merge and annihilate each other; and a band gapforms. As a result; edge states are created on the zigzag edge and destroyed on thebearded edge. These results are applicable for any 2D honeycomb-type structure; fromcarbon-based graphene to photonic lattices and crystals.,Physical review letters,2013,142
Incoherently coupled dark–bright photorefractive solitons,Zhigang Chen; Tamer H Coskun; Yuri S Kivshar; Vsevolod V Afanasjev; Demetrios N Christodoulides; Mordechai Segev,Page 1. November 15; 1996 / Vol. 21; No. 22 / OPTICS LETTERS 1821 Incoherently coupleddark–bright photorefractive solitons Zhigang Chen and Mordechai Segev Department of ElectricalEngineering and Center for Photonics and Optoelectronic Materials; Princeton University;Princeton; New Jersey 08544 Tamer H. Coskun and Demetrios N. Christodoulides Departmentof Electrical Engineering and Computer Science; Lehigh University; Bethlehem; Pennsylvania18015 Yuri S. Kivshar and Vsevolod V. Afanasjev Optical Sciences Centre; The AustralianNational University; Canberra; ACT 0200; Australia Received June 17; 1996 We report theobservation of incoherently coupled dark–bright spatial soliton pairs in a biased bulkphotorefractive crystal. When such a pair is decoupled; the dark component evolves into a tripletstructure; whereas the bright one decays into a self-defocusing beam …,Optics letters,1996,140
Observation of unconventional edge states in ‘photonic graphene’,Yonatan Plotnik; Mikael C Rechtsman; Daohong Song; Matthias Heinrich; Julia M Zeuner; Stefan Nolte; Yaakov Lumer; Natalia Malkova; Jingjun Xu; Alexander Szameit; Zhigang Chen; Mordechai Segev,Abstract Graphene; a two-dimensional honeycomb lattice of carbon atoms; has beenattracting much interest in recent years. Electrons therein behave as massless relativisticparticles; giving rise to strikingly unconventional phenomena. Graphene edge states areessential for understanding the electronic properties of this material. However; the coarse orimpure nature of the graphene edges hampers the ability to directly probe the edge states.Perhaps the best example is given by the edge states on the bearded edge that have neverbeen observed—because such an edge is unstable in graphene. Here; we use the opticalequivalent of graphene—a photonic honeycomb lattice—to study the edge states and theirproperties. We directly image the edge states on both the zigzag and bearded edges of thisphotonic graphene; measure their dispersion properties; and most importantly; find a new …,Nature materials,2014,138
Necklacelike solitons in optically induced photonic lattices,J Yang; I Makasyuk; PG Kevrekidis; H Martin; BA Malomed; DJ Frantzeskakis; Zhigang Chen,Abstract We report the first observation of stationary necklacelike solitons. Such necklacestructures were realized when a high-order vortex beam was launched appropriately into atwo-dimensional optically induced photonic lattice. Our theoretical results obtained withcontinuous and discrete models show that the necklace solitons resulting from a charge-4vortex have a π phase difference between adjacent “pearls” and are formed in an octagonshape. Their stability region is identified.,Physical review letters,2005,129
Defect modes in one-dimensional photonic lattices,Francesco Fedele; Jianke Yang; Zhigang Chen,Linear defect modes in one-dimensional photonic lattices are studied theoretically. Fornegative (repulsive) defects; various localized defect modes are found. The strongestconfinement of the defect modes appears when the lattice intensity at the defect site isnonzero rather than zero. When launched at small angles into such a defect site of thelattice; a Gaussian beam can be trapped and undergo snake oscillations under appropriateconditions.,Optics letters,2005,128
Anisotropic enhancement of discrete diffraction and formation of two-dimensional discrete-soliton trains,Zhigang Chen; Hector Martin; Eugenia D Eugenieva; Jingjun Xu; Anna Bezryadina,Abstract We demonstrate anisotropic enhancement of discrete diffraction and formation ofdiscrete-soliton trains in an optically induced photonic lattice. Such discrete behavior of lightpropagation was observed when a one-dimensional stripe beam was launchedappropriately into a two-dimensional lattice created with partially coherent light. Ourexperimental results are corroborated with numerical simulations.,Physical review letters,2004,127
Dipole solitons in optically induced two-dimensional photonic lattices,Jianke Yang; Igor Makasyuk; Anna Bezryadina; Zhigang Chen,Dipole solitons in a two-dimensional optically induced photonic lattice are theoreticallypredicted and experimentally demonstrated for the first time to our knowledge. It is shownthat such dipole solitons are stable and robust under appropriate conditions. Ourexperimental results are in good agreement with theoretical predictions.,Optics letters,2004,125
Theory of incoherent dark solitons,Demetrios N Christodoulides; Tamer H Coskun; Matthew Mitchell; Zhigang Chen; Mordechai Segev,Abstract We formulate the theory of incoherent dark spatial solitons in noninstantaneous self-defocusing nonlinear media. We find that the basic modal constituents of these incoherentdark soliton entities are radiation modes as well as bound states. Our results explain for thefirst time why incoherent dark solitons are in fact gray and why a transverse π-phase flip canfacilitate their observation.,Physical review letters,1998,121
Optimal control of the ballistic motion of Airy beams,Yi Hu; Peng Zhang; Cibo Lou; Simon Huang; Jingjun Xu; Zhigang Chen,We demonstrate the projectile motion of two-dimensional truncated Airy beams in a generalballistic trajectory with controllable range and height. We show that the peak beam intensitycan be delivered to any desired location along the trajectory as well as repositioned to agiven target after displacement due to propagation through disordered or turbulent media.,Optics letters,2010,120
Directional coupler with soliton-induced waveguides,Song Lan; Eugenio DelRe; Zhigang Chen; Ming-feng Shih; Mordechai Segev,We demonstrate a directional coupler that employs two waveguides induced by two mutuallyincoherent photorefractive solitons propagating in parallel at close proximity. Efficientcoupling from one waveguide to the other is achieved for probe beams at wavelengths muchlonger than that of the solitons. We study the mutual coupling as a function of distancebetween solitons.,Optics letters,1999,114
Dipole and quadrupole solitons in optically induced two‐dimensional photonic lattices: theory and experiment,Jianke Yang; Igor Makasyuk; Anna Bezryadina; Zhigang Chen,Abstract Dipole and quadrupole solitons in a two-dimensional photorefractive optical latticeare investigated both theoretically and experimentally. It is shown theoretically that out-of-phase dipole solitons and quadrupole solitons exist and are linearly stable in theintermediate-intensity regime. In-phase dipole and quadrupole solitons; however; arealways linearly unstable; but their instabilities are rather weak in the low-intensity regime.Experimentally; both types of dipole solitons are observed; and the experimental resultsagree qualitatively with the theoretical predictions. In addition; we have observed theanisotropic effect of the photorefractive crystal in the dipole-soliton formation.,Studies in applied mathematics,2004,110
Generation of linear and nonlinear nonparaxial accelerating beams,Peng Zhang; Yi Hu; Drake Cannan; Alessandro Salandrino; Tongcang Li; Roberto Morandotti; Xiang Zhang; Zhigang Chen,We study linear and nonlinear self-accelerating beams propagating along circulartrajectories beyond the paraxial approximation. Such nonparaxial accelerating beams areexact solutions of the Helmholtz equation; preserving their shapes during propagation evenunder nonlinearity. We generate experimentally and observe directly these large-anglebending beams in colloidal suspensions of polystyrene nanoparticles.,Optics letters,2012,107
Spontaneous symmetry breaking in photonic lattices: Theory and experiment,PG Kevrekidis; Zhigang Chen; BA Malomed; DJ Frantzeskakis; MI Weinstein,Abstract We examine an example of spontaneous symmetry breaking in a double-wellwaveguide with a symmetric potential. The ground state of the system beyond a criticalpower becomes asymmetric. The effect is illustrated numerically; and quantitatively analyzedvia a Galerkin truncation that clearly shows the bifurcation from a symmetric to anasymmetric steady state. This phenomenon is also demonstrated experimentally when aprobe beam is launched appropriately into an optically induced photonic lattice in aphotorefractive material.,Physics Letters A,2005,104
Observation of optical Shockley-like surface states in photonic superlattices,Natalia Malkova; Ivan Hromada; Xiaosheng Wang; Garnett Bryant; Zhigang Chen,We provide what we believe to be the first experimental demonstration of linear Shockley-like surface states in an optically induced semi-infinite photonic superlattice. Such surfacestates appear only when the induced superlattice consisting of alternating strong and weakbonds is terminated properly at the surface. Our experimental results are in good agreementwith our theoretical analysis.,Optics letters,2009,99
Steady-state vortex-screening solitons formed in biased photorefractive media,Zhigang Chen; Ming-feng Shih; Mordechai Segev; Daniel W Wilson; Richard E Muller; Paul D Maker,We report the observation of steady-state photorefractive vortex-screening solitons. As asingly charged circular vortex nested on a broad beam propagates through a biasedstrontium barium niobate crystal; it self-traps in both transverse dimensions despite theinherent anisotropy of the photorefractive nonlinearity. When the vortex beam is a doughnut-shaped narrow beam; it breaks up into two elongated slices (with a self-defocusingnonlinearity) or into two focused filaments (with a self-focusing nonlinearity). Wedemonstrate the optical guidance of a probe beam in a circular waveguide induced by theself-trapped vortex.,Optics letters,1997,95
Defect solitons in photonic lattices,Jianke Yang; Zhigang Chen,Abstract Nonlinear defect modes (defect solitons) and their stability in one-dimensionalphotonic lattices with focusing saturable nonlinearity are investigated. It is shown that defectsolitons bifurcate out from every infinitesimal linear defect mode. Low-power defect solitonsare linearly stable in lower bandgaps but unstable in higher bandgaps. At higher powers;defect solitons become unstable in attractive defects; but can remain stable in repulsivedefects. Furthermore; for high-power solitons in attractive defects; we found a type ofVakhitov-Kolokolov (VK) instability which is different from the usual VK instability based onthe sign of the slope in the power curve. Lastly; we demonstrate that in each bandgap; inaddition to defect solitons which bifurcate from linear defect modes; there is also an infinitefamily of other defect solitons which can be stable in certain parameter regimes.,Physical Review E,2006,92
Experiments on induced modulational instability of an incoherent optical beam,Jill Klinger; Hector Martin; Zhigang Chen,We report the observation of modulational instability (MI) of a partially spatially incoherentbeam induced by seeding noise through cross-phase modulation. We show experimentallythat a threshold exists for such induced incoherent MI to occur that depends on the degree ofspatial coherence as well as on the strength of the nonlinearity. Above threshold; theinduced MI leads to the formation of ordered and disordered patterns of incoherent light.,Optics letters,2001,91
Trapping and transporting aerosols with a single optical bottle beam generated by moiré techniques,Peng Zhang; Ze Zhang; Jai Prakash; Simon Huang; Daniel Hernandez; Matthew Salazar; Demetrios N Christodoulides; Zhigang Chen,We demonstrate optical trapping and manipulation of aerosols with an optical bottle beamgenerated by the moiré techniques. We observe stable trapping and back-and-forthtransportation of a variety of absorbing carbon particles suspended in air; ranging fromclusters of nanosized buckminsterfullerene C_60 to micrometer-sized carbon powders.,Optics letters,2011,89
Steady-state photorefractive soliton-induced Y-junction waveguides and high-order dark spatial solitons,Zhigang Chen; Matthew Mitchell; Mordechai Segev,We report the experimental observation of steady-state photorefractive Y junctions andsequences of high-order dark photorefractive screening solitons in a biased bulk strontiumbarium niobate crystal. The parameters that characterize the properties of the high-orderdark screening solitons are measured and compared with the theoretical prediction for thefundamental dark screening soliton. The high-order dark solitons induce stable waveguidesin one transverse dimension that can guide other; possibly very intense; beams of differentwavelengths.,Optics letters,1996,85
Band-gap guidance in optically induced photonic lattices with a negative defect,Igor Makasyuk; Zhigang Chen; Jianke Yang,Abstract We report the first experimental demonstration of band-gap guidance of light in anoptically induced two-dimensional photonic lattice with a single-site negative defect (akin toa low-index core in photonic-crystal fibers). We discuss the difference between spatialguidance at a regular and a defect site; and show that the guided beam through the defectdisplays fine structures such as vortex cells that arise from defect modes excited at higherband gaps. Defect modes at different wavelengths are also observed.,Physical review letters,2006,84
Observation of two-dimensional lattice vector solitons,Zhigang Chen; Anna Bezryadina; Igor Makasyuk; Jianke Yang,We demonstrate the formation of fundamental and dipolelike vector solitons in an opticallyinduced two-dimensional photonic lattice. Such vector solitons are realized by mutualtrapping of two beams in the lattice. Our theoretical results are in good agreement withexperimental observations.,Optics letters,2004,83
Dynamics of incoherent bright and dark self-trapped beams and their coherence properties in photorefractive crystals,Tamer H Coskun; Demetrios N Christodoulides; Matthew Mitchell; Zhigang Chen; Mordechai Segev,Using the coherent density approach; we study the propagation dynamics of incoherentbright and dark beams in biased photorefractive crystals. We show that; under appropriateinitial conditions; bright as well as darklike incoherent quasi-solitons can be established inthis material system. Our numerical simulations demonstrate that the coherence propertiesof these beams can be significantly affected by the self-trapping process.,Optics letters,1998,83
Second-harmonic generation in waveguides induced by photorefractive spatial solitons,Song Lan; Ming-feng Shih; Greg Mizell; JA Giordmaine; Zhigang Chen; Charalambos Anastassiou; John Martin; Mordechai Segev,We demonstrate experimentally second-harmonic generation in waveguides induced byphotorefractive solitons and show that the conversion efficiency is improved considerably.These induced waveguides are flexible and can be generated in any crystalline directionthat allows soliton formation; and thus offer broad tunability (by rotation of the crystal); whichcannot exist in fabricated waveguides.,Optics letters,1999,81
Xuezhikang; an extract of cholestin; reduces cardiovascular events in type 2 diabetes patients with coronary heart disease: subgroup analysis of patients with type 2...,Shui-ping Zhao; Zong-liang Lu; Bao-min Du; Zuo Chen; Yang-feng Wu; Xue-hai Yu; Yu-cheng Zhao; Ling Liu; Hui-jun Ye; Zhi-hong Wu,Abstract: Lipid-lowering therapy has been proven to reduce macrovascular complications oftype 2 diabetes. Xuezhikang is an extract of cholestin and has a markedly modulating effecton lipids; but the effect of xuezhikang on reducing coronary events in diabetic patients withcoronary heart disease (CHD) is less clear. A total of 591 diabetic patients with CHD wererandomized to the xuezhikang group (n= 306) and the placebo group (n= 285). During theaverage 4 years of follow-up; there were 28 cases of CHD events (9.2%) in the xuezhikanggroup and 53 cases (18.6%) in the placebo group. Risk reduction for CHD events was50.8%(P; 0.001) by xuezhikang treatment. Xuezhikang decreased the risk of non-fatal MI by63.8%; fatal MI by 58.5%; CHD sudden death by 26.9%; and other CHD death by 53.4%.CHD death totaled to 21 cases in the xuezhikang group (6.9%) and 35 cases in the …,Journal of cardiovascular pharmacology,2007,76
Interaction between vector solitons and solitonic gluons,Elena A Ostrovskaya; Yuri S Kivshar; Zhigang Chen; Mordechai Segev,We describe a physical mechanism for creating multisoliton bound states by which opticalsolitons are glued together by attraction between the nonsoliton beams that they guide;solitonic gluons. We verify the concept of the solitonic gluons experimentally; observing asuppression of the repulsion between dark solitons owing to an attractive force actingbetween out-of-phase bright guided beams.,Optics letters,1999,73
Nonlinear spectrum reshaping and gap-soliton-train trapping in optically induced photonic structures,Cibo Lou; Xiaosheng Wang; Jingjun Xu; Zhigang Chen; Jianke Yang,Abstract We report the first theoretical prediction and experimental demonstration of gapsoliton trains in a self-defocusing photonic lattice. Without a priori spectral or phaseengineering; a stripe beam whose spatial power spectrum lies only in one transversedirection evolves into a gap soliton train with power spectrum growing also in the orthogonaldirection due to nonlinear transport and spectrum reshaping. Our results suggest that; innonlinear k-space evolution; energy can transfer not only between regions of normal andanomalous diffraction; but also from initially excited regions to initially unexcited regions.,Physical review letters,2007,72
Optically induced photovoltaic self-defocusing-to-self-focusing transition,Charalambos Anastassiou; Ming-feng Shih; Matthew Mitchell; Zhigang Chen; Mordechai Segev,We show theoretically and experimentally that the photovoltaic nonlinearity that gives rise tospatial solitons can be switched from self-defocusing to self-focusing (or vice versa) by useof background illumination. This raises the possibility of bright photovoltaic solitons inLiNbO_3.,Optics letters,1998,71
Sequential formation of multiple dark photorefractive spatial solitons: experiments and theory,Zhigang Chen; Mordechai Segev; Sujata R Singh; Tamer H Coskun; Demetrios N Christodoulides,Steady-state dark photorefractive spatial screening solitons are observed in an odd-or even-number sequence when a laser beam that contains a dark stripe generated from a phase oramplitude discontinuity in the center of the beam is launched into a biased bulk strontiumbarium niobate crystal. If the initial width of the dark stripe is small; only a fundamentalsoliton or a Y-junction soliton is generated; corresponding to the lowest order in the odd-oreven-number soliton sequence. As the initial width and the bias field are increased; weobserve a progressive transition from a lower-order soliton to a sequence of higher-ordermultiple solitons. We show that these dark solitons induce stable waveguides that can guidean intense beam of a different wavelength into multiple channels. Comparisons betweenexperiments and theory on multiple dark spatial solitons are presented and shown to be …,JOSA B,1997,71
Bright spatial solitons on a partially incoherent background,Tamer H Coskun; Demetrios N Christodoulides; Young-Rae Kim; Zhigang Chen; Marin Soljacic; Mordechai Segev,Abstract We present the first observation of incoherent antidark spatial solitons innoninstantaneous nonlinear media. This new class of soliton states involves bright solitonson a partially incoherent background of infinite extent. In the case where the nonlinearity isof the Kerr type; their existence is demonstrated analytically by means of an exact solution.Computer simulations and experiments indicate that these incoherent antidark solitons canpropagate in a stable fashion provided that the spatial coherence of their background isreduced below the incoherent modulation instability threshold.,Physical review letters,2000,69
Stable higher-order vortices and quasivortices in the discrete nonlinear Schrödinger equation,PG Kevrekidis; Boris A Malomed; Zhigang Chen; DJ Frantzeskakis,Abstract Vortex solitons with the topological charge S= 3; and “quasivortex”(multipole)solitons; which exist instead of the vortices with S= 2 and 4; are constructed on a squarelattice in the discrete nonlinear Schrödinger equation (true vortices with S= 2 were knownbefore; but they are unstable). For each type of solitary wave; its stability interval is found; interms of the intersite coupling constant. The interval shrinks with increase of S. At couplingsabove a critical value; oscillatory instabilities set in; resulting in breakup of the vortex orquasivortex into lattice solitons with a lower vorticity. Such localized states may be observedin optical guiding structures; and in Bose-Einstein condensates loaded into optical lattices.,Physical Review E,2004,68
Persistence and breakdown of Airy beams driven by an initial nonlinearity,Yi Hu; Simon Huang; Peng Zhang; Cibo Lou; Jingjun Xu; Zhigang Chen,We study the behavior of Airy beams propagating from a nonlinear medium to a linearmedium. We show that an Airy beam initially driven by a self-defocusing nonlinearityexperiences anomalous diffraction and can maintain its shape in subsequent propagation;but its intensity pattern and acceleration cannot persist when driven by a self-focusingnonlinearity. The unusual behavior of Airy beams is examined from their energy flow as wellas the Brillouin zone spectrum of self-induced chirped photonic lattices.,Optics letters,2010,65
Formation of discrete solitons in light-induced photonic lattices,Zhigang Chen; Hector Martin; Eugenia D Eugenieva; Jingjun Xu; Jianke Yang,We present both experimental and theoretical results on discrete solitons in two-dimensionaloptically-induced photonic lattices in a variety of settings; including fundamental discretesolitons; vector-like discrete solitons; discrete dipole solitons; and discrete soliton trains. Ineach case; a clear transition from two-dimensional discrete diffraction to discrete trapping isdemonstrated with a waveguide lattice induced by partially coherent light in a bulkphotorefractive crystal. Our experimental results are in good agreement with the theoreticalanalysis of these effects.,Optics express,2005,65
Incoherent collisions between one‐dimensional steady‐state photorefractive screening solitons,Ming‐feng Shih; Zhigang Chen; Mordechai Segev; Tamer H Coskun; Demetrios N Christodoulides,We report the observation of collisions between mutually incoherent; one‐dimensional;bright; steady‐state photorefractive screening solitons. Using the theory of planar dielectricwaveguides together with the theory of photorefractive screening solitons; we explain howthe collisions depend on the peak intensity of the solitons and the externally applied biasedfield. Finally; we compare the experimental results with direct numerical simulations.,Applied physics letters,1996,65
