Towards sensor database systems,Philippe Bonnet; Johannes Gehrke; Praveen Seshadri,Abstract Sensor networks are being widely deployed for measurement; detection andsurveillance applications. In these new applications; users issue long-running queries overa combination of stored data and sensor data. Most existing applications rely on acentralized system for collecting sensor data. These systems lack flexibility because data isextracted in a predefined way; also; they do not scale to a large number of devices becauselarge volumes of raw data are transferred regardless of the queries that are submitted. In ournew concept of sensor database system; queries dictate which data is extracted from thesensors. In this paper; we define the concept of sensor databases mixing stored datarepresented as relations and sensor data represented as time series. Each long-runningquery formulated over a sensor database defines a persistent view; which is maintained …,International Conference on Mobile Data Management,2001,1079
A provenance-based infrastructure to support the life cycle of executable papers,David Koop; Emanuele Santos; Phillip Mates; Huy T Vo; Philippe Bonnet; Bela Bauer; Brigitte Surer; Matthias Troyer; Dean N Williams; Joel E Tohline; Juliana Freire; Cláudio T Silva,Abstract As publishers establish a greater online presence as well as infrastructure tosupport the distribution of more varied information; the idea of an executable paper thatenables greater interaction has developed. An executable paper provides more informationfor computational experiments and results than the text; tables; and figures of standardpapers. Executable papers can bundle computational content that allow readers andreviewers to interact; validate; and explore experiments. By including such content; authorsfacilitate future discoveries by lowering the barrier to reproducing and extending results. Wepresent an infrastructure for creating; disseminating; and maintaining executable papers.Our approach is rooted in provenance; the documentation of exactly how data; experiments;and results were generated. We seek to improve the experience for everyone involved in …,Procedia Computer Science,2011,46
New doubts on the importance of the logographic stage,Liliane Sprenger-Charolles; Philippe Bonnet,The objective of this longitudinal study was to evaluate reading strategies used by Frenchchildren. A group of prereaders (N= 37) was followed from the beginning of kindergarten tothe end of the first grade. In kindergarten; they were non-readers. They were presented witha series of word to picture matching tasks twice in kindergarten and twice in first grade. Theaim of the observation was to evaluate the utilization of logographic strategies which arecharacterized by a large reliance on the global form of the word (its length; see study 1); bythe non-sequentiality of processing (study 2) and by the use of salient visual--and notphonological--cues (study 3). In these three studies we took into account correct responsesand justifications. Relations between metaphonological abilities; letter knowledge andprereading strategies were also assessed (studies 4 and 5). Our data showed that first …,Cahiers de Psychologie Cognitive-Current Psychology of Cognition,1996,46
Improving responsiveness for wide-area data access,Laurent Amsaleg; Philippe Bonnet; Michael J Franklin; Anthony Tomasic; Tolga Urhan,Abstract In a wide-area environment; the time required to obtain data from remote sourcescan vary unpredictably due to network congestion; link failure or other problems. Traditionaltechniques for query optimization and query execution do not cope well with suchunpredictability. The static nature of those techniques prevents them from adapting to remoteaccess delays that arise at runtime. In this paper we describe two separate; but relatedtechniques aimed at tackling this problem. The first technique; called Query Scrambling;hides relatively short; intermittent delays by dynamically adjusting query execution plans on-the-fly. The second technique addresses the longer-term unavailability of data sources byallowing the return of partial query answers when some of the data needed to fully answer aquery are missing. 1 Introduction The continued dramatic growth in global …,IEEE Data Engineering Bulletin,1997,41
Device database systems,Philippe Bonnet; Praveen Seshadri,Abstract In the next decade; networks of devices will be widely deployed for measurement;detection and surveillance applications. Millions of sensors and small-scale mobile deviceswill integrate processors; memory and communication capabilities. The Cornell COUGARproject studies how database technology can be adapted to meet the challenges of this newcomputing environment. In our novel concept of a device database system; physical devicesare modeled as database objects. This permits large collections of devices to be controlledthrough declarative queries.,Data Engineering; 2000. Proceedings. 16th International Conference on,2000,39
Personal servers as digital keys,Allan Beaufour; Philippe Bonnet,Personal servers are an attractive concept: people carry around a device that takes care ofcomputing; storage and communication on their behalf in a pervasive computingenvironment. So far personal servers have mainly been considered for accessing personalinformation. In this paper; we consider personal servers in the context of a digital key system.Digital keys are an interesting alternative to physical keys for mail or good deliverycompanies whose employees access tens of private buildings every day. We present adigital key system tailored for the current incarnation of personal servers; ie; a Bluetooth-enabled mobile phone. We describe how to use Bluetooth for this application; we present asimple authentication protocol and we provide a detailed analysis of response time andenergy consumption on the mobile phone.,Pervasive Computing and Communications; 2004. PerCom 2004. Proceedings of the Second IEEE Annual Conference on,2004,36
Trusted Cells: A Sea Change for Personal Data Services.,Nicolas Anciaux; Philippe Bonnet; Luc Bouganim; Benjamin Nguyen; Iulian Sandu Popa; Philippe Pucheral,ABSTRACT How do you keep a secret about your personal life in an age where yourdaughter's glasses record and share everything she senses; your wallet records and sharesyour financial transactions; and your set-top box records and shares your family's energyconsumption? Your personal data has become a prime asset for many companies aroundthe Internet; but can you avoid--or even detect--abusive usage? Today; there is a wideconsensus that individuals should have increased control on how their personal data iscollected; managed and shared. Yet there is no appropriate technical solution to implementsuch personal data services: centralized solutions sacrifice security for innovativeapplications; while decentralized solutions sacrifice innovative applications for security. Inthis paper; we argue that the advent of secure hardware in all personal IT devices; at the …,CIDR,2013,34
Query processing in a device database system,Philippe Bonnet; Johannes Gehrke; Tobias Mayr; Praveen Seshadri,In the next decade; networks of devices will be widely deployed for measurement; detectionand surveillance applications. Millions of sensors and small-scale mobile devices willintegrate processors; memory and communication capabilities. Large collections of devicesneed to be controlled and accessed in an ad-hoc manner. This paper shows that databasetechnology can be adapted to meet the challenges of this new computing environment. Inour new concept of a device database system; individual devices are modeled as databaseobjects; which allows us to access collections of devices with declarative queries. Wepresent a semantics for queries over device database systems and novel query processingtechniques for evaluating such queries. We describe our implementation of thesetechniques in the Cornell COUGAR system and present a experimental evaluation that …,*,1999,31
Towards ECLiPSe agents on the internet,Ph Bonnet; S Bressan; L Leth; B Thomsen,*,Proc. of the1stW orkshop onLogi c Programming Tool s for InternetAppli cati ons; P. Tarau; A. Davison; K. DeBosschere; and M. Hermenegildo (eds.); J ICSLP,1996,28
Repeatability and workability evaluation of SIGMOD 2011,Philippe Bonnet; Stefan Manegold; Matias Bjørling; Wei Cao; Javier Gonzalez; Joel Granados; Nancy Hall; Stratos Idreos; Milena Ivanova; Ryan Johnson; David Koop; Tim Kraska; René Müller; Dan Olteanu; Paolo Papotti; Christine Reilly; Dimitris Tsirogiannis; Cong Yu; Juliana Freire; Dennis Shasha,Abstract SIGMOD has offered; since 2008; to verify the experiments published in the papersaccepted at the conference. This year; we have been in charge of reproducing theexperiments provided by the authors (repeatability); and exploring changes to experimentparameters (workability). In this paper; we assess the SIGMOD repeatability process in termsof participation; review process and results. While the participation is stable in terms ofnumber of submissions; we find this year a sharp contrast between the high participationfrom Asian authors and the low participation from American authors. We also find that mostexperiments are distributed as Linux packages accompanied by instructions on how to setupand run the experiments. We are still far from the vision of executable papers.,ACM SIGMOD Record,2011,25
Extraction and integration of data from semi-structured documents into business applications,Ph Bonnet; Stephane Bressan,Collecting useful information along the information Autobahn is a fun window shoppingactivity which rapidly becomes frustrating. As the technology offers a broader logicalconnectivity; enables schemes for secure transactions; and offers more guarantees ofquality; validity; and reliability; it remains difficult to manage the potentially available data;and to integrate them into applications. Can I write a program which would assist me inplanning my next business trip by retrieving relevant data about hotel prices; weatherforecast; plane ticket reservations? How can I manage my investment portfolio withoutgathering and copying everyday; by hand; stock prices and analysts recommendations intospreadsheets? On the one hand users can browse or surf the World Wide Web (under thename of which we liberally include all electronic information sources and protocols; eg …,*,1997,24
Mote-based online anomaly detection using echo state networks,Marcus Chang; Andreas Terzis; Philippe Bonnet,Abstract Sensor networks deployed for scientific data acquisition must inspectmeasurements for faults and events of interest. Doing so is crucial to ensure the relevanceand correctness of the collected data. In this work we unify fault and event detection under ageneral anomaly detection framework. We use machine learning techniques to classifymeasurements that resemble a training set as normal and measurements that significantlydeviate from that set as anomalies. Furthermore; we aim at an anomaly detection frameworkthat can be implemented on motes; thereby allowing them to continue collecting scientifically-relevant data even in the absence of network connectivity. The general consensus thus farhas been that learning-based techniques are too resource intensive to be implemented onmote-class devices. In this paper; we challenge this belief. We implement an anomaly …,International Conference on Distributed Computing in Sensor Systems,2009,23
LightNVM: The Linux Open-Channel SSD Subsystem.,Matias Bjørling; Javier González; Philippe Bonnet,Abstract As Solid-State Drives (SSDs) become commonplace in data-centers and storagearrays; there is a growing demand for predictable latency. Traditional SSDs; serving blockI/Os; fail to meet this demand. They offer a high-level of abstraction at the cost ofunpredictable performance and suboptimal resource utilization. We propose that SSDmanagement trade-offs should be handled through Open-Channel SSDs; a new class ofSSDs; that give hosts control over their internals. We present our experience buildingLightNVM; the Linux Open-Channel SSD subsystem. We introduce a new Physical PageAddress I/O interface that exposes SSD parallelism and storage media characteristics.LightNVM integrates into traditional storage stacks; while also enabling storage engines totake advantage of the new I/O interface. Our experimental results demonstrate that …,FAST,2017,22
Bluetooth-based sensor networks,Philippe Bonnet; Allan Beaufour; Mads Bondo Dydensborg; Martin Leopold,Abstract It is neither desirable nor possible to abstract sensor network software from thecharacteristics of the underlying hardware components. In particular the radio has a majorimpact on higher level software. In this paper; we review the lessons we learnt usingBluetooth radios in the context of sensor networks. These lessons are relevant for (a)application designers choosing the best radio given a set of requirements and for (b)researchers in the data management community who need to formulate assumptions aboutunderlying sensor networks.,ACM SIGMOD Record,2003,22
Meeting ecologists' requirements with adaptive data acquisition,Marcus Chang; Philippe Bonnet,Abstract Ecologists instrument ecosystems to collect time series representing the evolutionin time and space of relevant abiotic and biotic factors. Sensor networks promise to improveon existing data acquisition systems by interconnecting stand-alone measurement systemsinto virtual instruments. Such ecological sensor networks; however; will only fulfill theirpotential if they meet the scientists requirements. In an ideal world; an ecologist expressesrequirements in terms of a target dataset; which the sensor network then actually collectsand stores. In fact; failures occur and interesting events happen; making uniform systematicecosystem sampling neither possible nor desirable. Today; these anomalous situations arehandled as exceptions treated by technicians that receive an alert at deployment time. In thispaper; we detail how ecological sensor networks can maximize the utility of the collected …,Proceedings of the 8th ACM Conference on Embedded Networked Sensor Systems,2010,21
Flash Device Support for Database Management.,Philippe Bonnet; Luc Bouganim,ABSTRACT While disks have offered a stable behavior for decadesthus guaranteeing thetimelessness of many database design decisions; flash devices keep on mutating. Theirbehavior varies across models and across firmware updates for the same model. Manyresearchers have proposed to adapt database algorithms for existing flash devices; othershave tried to capture the performance characteristics of flash devices. However; today; weneither have a reference DBMS design nor a performance model for flash devices: databaseresearchers are running after flash memory technology. In this paper; we take the reverseapproach and we define how flash devices should support database management. Weadvocate that flash devices should provide DBMS with more control over IO behavior withoutsacrificing correctness or robustness. We introduce the notion of bimodal flash devices …,CIDR,2011,19
Performing sound flash device measurements: some lessons from uFLIP,Matias Bjørling; Lionel Le Folgoc; Ahmed Mseddi; Philippe Bonnet; Luc Bouganim; Björn Jónsson,Abstract It is amazingly easy to get meaningless results when measuring flash devices;partly because of the peculiarity of flash memory; but primarily because their behavior isdetermined by layers of complex; proprietary; and undocumented software and hardware. Inthis demonstration; we share the lessons we learnt developing the uFlip benchmark andconducting experiments with a wide range of flash devices. We illustrate the problems thatare actual obstacles to sound performance and energy measurements; and we show how tomitigate the effects of these problems. We also present the uFlip web site and its on-linevisualization tool that should help the research community investigate flash device behavior.,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,19
EagleTree: exploring the design space of SSD-based algorithms,Niv Dayan; Martin Kjær Svendsen; Matias Bjørling; Philippe Bonnet; Luc Bouganim,Abstract Solid State Drives (SSDs) are a moving target for system designers: they are blackboxes; their internals are undocumented; and their performance characteristics vary acrossmodels. There is no appropriate analytical model and experimenting with commercial SSDsis cumbersome; as it requires a careful experimental methodology to ensure repeatability.Worse; performance results obtained on a given SSD cannot be generalized. Overall; it isimpossible to explore how a given algorithm; say a hash join or LSM-tree insertions;leverages the intrinsic parallelism of a modern SSD; or how a slight change in the internalsof an SSD would impact its overall performance. In this paper; we propose a new SSDsimulation framework; named EagleTree; which addresses these problems; and enables aprincipled study of SSD-Based algorithms. The demonstration scenario illustrates the …,Proceedings of the VLDB Endowment,2013,17
Towards an open framework leveraging a trusted execution environment,Javier González; Philippe Bonnet,Abstract Sensor data is a core component of big data. The abundance of sensor datacombined with advances in data integration and data mining entails a great opportunity todevelop innovative applications. However; data about our movements; our energyconsumption or our biometry are personal data that we should have full control over.Likewise; companies face a trade-off as the benefits of innovative services must be weightedagainst the risk of exposing data that reveal core internal processes. How to design a dataplatform that enables innovative data services and yet enforce access and usage control?The solutions proposed in the literature to this trade-off all involve some form of trustedexecution environment; where data and processing is trusted and safe from corruption byusers or attackers. The hardware that could support such trusted execution environments …,*,2013,15
The Necessary Death of the Block Device Interface.,Matias Bjørling; Philippe Bonnet; Luc Bouganim; Niv Dayan,ABSTRACT Solid State Drives (SSDs) are replacing magnetic disks as secondary storagefor database management; as they offer orders of magnitude improvement in terms ofbandwidth and latency. In terms of system design; the advent of SSDs raises considerablechallenges. First; the storage chips; which are the basic component of a SSD; have widelydifferent characteristics–eg; copy-onwrite; erase-before-write and page-addressability forflash chips vs. in-place update and byte-addressability for PCM chips. Second; SSDs are nolonger a bottleneck in terms of I/O latency forcing streamlined execution throughout the I/Ostack. Finally; SSDs provide a high degree of parallelism that must be leveraged to reachnominal bandwidth. This evolution puts database system researchers at a crossroad. Thefirst option is to hang on to the current architecture where secondary storage is …,CIDR,2013,14
Exploring the coming repositories of reproducible experiments: Challenges and opportunities,Juliana Freire; Philippe Bonnet; Dennis Shasha,ABSTRACT Computational reproducibility efforts in many communities will soon give rise tovalidated software and data repositories of high quality. A scientist in a field may want toquery the components of such repositories to build new software workflows; perhaps afteradding the scientist's own algorithms. This paper explores research challenges necessary toachieving this goal.,Proceedings of the VLDB Endowment,2011,14
uflip: Understanding the energy consumption of flash devices,Matias Bjorling; Philippe Bonnet; Luc Bouganim; Björn Pór Jónsson,Understanding the energy consumption of flash devices is important for two reasons. First;energy is emerging as a key metric for data management systems. It is thus important tounderstand how we can reason about the energy consumption of flash devices beyond theirapproximate aggregate consumption (low power consumption in idle mode; average Wattconsumption from the data sheets). Second; when measured at a sufficiently fine granularity;the energy consumption of a given device might complement the performancecharacteristics derived from its response time profile. Indeed; background work which is notdirectly observable with a response time profile appears clearly when energy is used as ametric. In this paper; we discuss the results from the uFLIP benchmark applied to fourdifferent SSD devices using both response time and energy as metric.,IEEE Data Engineering Bulletin,2010,13
Database tuning principles; experiments; and troubleshooting techniques,Dennis Shasha; Philippe Bonnet,Abstract As our reliance on computers and computerized data has increased; we have cometo expect more from our computers. We no longer expect our computers to act as largeexpensive calculators that merely spit out bills and paychecks. We now; additionally; expectour systems to rapidly access and interactively present us with large volumes of accuratedata. In fact; our expectations have changed so much; in the past decade; that we no longerfocus on what our systems are but rather on what they do. We no longer refer to our systemsas computer systems but rather information systems. With these new expectations havecome new responsibilities for the information systems professional. We can no longerconcern ourselves merely with keeping our systems up and running. We now need toconcern ourselves with subjective concepts such as response time and throughput. With …,ACM SIGMOD Record,2004,13
Parachute queries in the presence of unavailable data sources,Philippe Bonnet; Anthony Tomasic,Mediator systems are used today in a wide variety of unreliable environments. Whenprocessing a query; a mediator may try to access a data source which is unavailable. In thissituation; existing systems either silently ignore unavailable data sources or generate anerror. In either case; to obtain the complete answer; the query is reprocessed from scratch.This behavior is inefficient in environments with a non-negligible probability that a datasource is unavailable (eg; the Internet). In the case that some data sources are unavailable;the complete answer to a query cannot be obtained; however useful work can be done withthe available data sources. In this paper; we describe a novel approach to mediator queryprocessing where; in the presence of unavailable data sources; the answer to a query is a{\em partial answer}. The partial answer represents the state of the mediator at the end of …,*,1998,13
System co-design and data management for flash devices,Philippe Bonnet; Luc Bouganim; Ioannis Koltsidas; Stratis D Viglas,ABSTRACT Flash devices are emerging as a replacement for disks. How does this evolutionimpact the design of data management systems? While flash devices have been availablefor years; this question is still open. In this tutorial; we share two views on the development ofdata management systems for flash devices. The first view considers that flash devicesintroduce so much complexity that it is necessary to reconsider the strictly layered approachbetween storage system; operating system and data management system. The second viewconsiders that data management systems should recognize the complexity of flash devicesand leverage the characteristics of different classes of devices for different usage patterns.Throughout the tutorial; we will cover the data management stack: from the fundamentals offlash technology; through storage for database systems and the manipulation of flash …,Proc. VLDB,2011,11
Getting priorities straight: improving Linux support for database I/O,Christoffer Hall; Philippe Bonnet,Abstract The Linux 2.6 kernel supports asynchronous I/O as a result of propositions from thedatabase industry. This is a positive evolution but is it a panacea? In the context of theBadger project; a collaboration between MySQL AB and University of Copenhagen; weevaluate how MySQL/InnoDB can best take advantage of Linux asynchronous I/O and howLinux can help MySQL/InnoDB best take advantage of the underlying I/O bandwidth. This isa crucial problem for the increasing number of MySQL servers deployed for very largedatabase applications. In this paper; we first show that the conservative I/O submissionpolicy used by InnoDB (as well as Oracle 9.2) leads to an under-utilization of the availableI/O bandwidth. We then show that introducing prioritized asynchronous I/O in Linux will allowMySQL/InnoDB and the other Linux databases to fully utilize the available I/O bandwith …,Proceedings of the 31st international conference on Very large data bases,2005,11
Monitoring in a high-arctic environment: Some lessons from mana,Marcus Chang; Philippe Bonnet,Our Strategy We aimed to design a system that operates in a high-arctic environment at highresolution; low cost; and high utility. Sensors dominate lake-monitoring costs (optical sensorsthat measure chlorophyll concentration cost more than US$10;000). This restricts the potentialfor high spatial resolution—for example; using a robot to move an expensive sensor insteadof deploying multiple cheap sensors. So; we focus on high utility. We can't achieve high utilitywith current data loggers; which have two main shortcomings. First; they implement a best-effortapproach; storing raw measurements as they're received. So; scientists must search for anyoutliers; miss- ing values; or miscalibration.3 At that point; the best they can hope for is to interpolatethe valid data points to compensate for the unusable ones. Ideally; the data logger would checkthe data it collects and compensate when necessary; thus controlling the collected data's …,IEEE Pervasive Computing,2010,10
Private cloud configuration with metaconfig,Thomas Damgaard Nielsen; Christian Iversen; Philippe Bonnet,With the advent of private clouds; the challenge of configuring a mix of physical and virtualmachines is no longer reserved to a few system administrator gurus. How to assign virtualmachines onto physical machines to leverage the available resources? How to maintain thevirtual machine configurations congruent with a given specification; even in the face ofunexpected changes? System administrators should be able to rely on appropriate tools totackle these questions. However; today; even if tools exist to automate system configuration;there is no solution that seamlessly integrate the administration and configuration of virtualas well as physical machines. In this paper; we present MetaConfig; a system that supports(a) convergent as well as congruent configuration management;(b) full bootstrapping ofblank physical and virtual machines and (c) automatic allocation of virtual machines onto …,Cloud Computing (CLOUD); 2011 IEEE International Conference on,2011,9
Hogthrob: towards a sensor network infrastructure for sow monitoring (wireless sensor network special day),Philippe Bonnet; Martin Leopold; K Madsen,Summary form only given. We aim at developing a next-generation system for sowmonitoring. Today; farmers use RFID based solutions with an ear tag on the sows and areader located inside the feeding station. This does not allow the farmers to locate a sow in alarge pen; or to monitor the life cycle of the sow (detect heat period; detect injury...). Our goalis to explore the design of a sensor network that supports such functionalities and meets theconstraints of this industry in terms of price; energy consumption and availability,Design; Automation and Test in Europe; 2006. DATE'06. Proceedings,2006,9
I/O Speculation for the Microsecond Era.,Michael Yung Chung Wei; Matias Bjørling; Philippe Bonnet; Steven Swanson,Abstract Microsecond latencies and access times will soon dominate most datacenter I/Oworkloads; thanks to improvements in both storage and networking technologies. Currenttechniques for dealing with I/O latency are targeted for either very fast (nanosecond) or slow(millisecond) devices. These techniques are suboptimal for microsecond devices-they eitherblock the processor for tens of microseconds or yield the processor only to be ready againmicroseconds later. Speculation is an alternative technique that resolves the issues ofyielding and blocking by enabling an application to continue running until the applicationproduces an externally visible side effect. State-of-the-art techniques for speculating on I/Orequests involve checkpointing; which can take up to a millisecond; squandering any of theperformance benefits microsecond scale devices have to offer. In this paper; we survey …,USENIX Annual Technical Conference,2014,8
Making CSB+-Tree Processor Conscious.,Michael L Samuel; Anders Uhl Pedersen; Philippe Bonnet,ABSTRACT Cache-conscious indexes; such as CSB+-tree; are sensitive to the underlyingprocessor architecture. In this paper; we focus on how to adapt the CSB+-tree so that itperforms well on a range of different processor architectures. Previous work has focused onthe impact of node size on the performance of the CSB+-tree. We argue that it is necessaryto consider a larger group of parameters in order to adapt CSB+-tree to processorarchitectures as different as Pentium and Itanium. We identify this group of parameters andstudy how it impacts the performance of CSB+-tree on Itanium 2. Finally; we propose asystematic method for adapting CSB+-tree to new platforms. This work is a first step towardsintegrating CSB+-tree in MySQL's heap storage manager.,DaMoN,2005,8
