Linkage analysis of IL4 and other chromosome 5q31. 1 markers and total serum immunoglobulin E concentrations,David G Marsh; John D Neely; Daniel R Breazeale; Balaram Ghosh; Linda R Freidhoff; Eva Ehrlich-Kautzky; Carsten Schou; Guha Krishnaswamy; Terri H Beaty,Sib-pair analysis of 170 individuals from 11 Amish families revealed evidence for linkage offive markers in chromosome 5q31. 1 with a gene controlling total serum immunoglobulin E(IgE) concentration. No linkage was found between these markers and specific IgE antibodyconcentrations. Analysis of total IgE within a subset of 128 IgE antibody-negative sib pairsconfirmed evidence for linkage to 5q31. 1; especially to the interleukin-4 gene (IL4). Acombination of segregation and maximum likelihood analyses provided further evidence forthis linkage. These analyses suggest that IL4 or a nearby gene in 5q31. 1 regulates IgEproduction in a nonantigen-specific (noncognate) fashion.,Science,1994,1203
Inflammatory aspects of sleep apnea and their cardiovascular consequences,E Kasasbeh; David S Chi; G Krishnaswamy,Abstract: Obstructive sleep apnea (OSA) is a common medical condition that occurs in aconsiderable percentage of the population. Substantial evidence shows that patients withOSA have an increased incidence of hypertension compared with individuals without OSA;and that OSA is a risk factor for the development of hypertension. It is established that OSAmay be implicated in stroke and transient ischemic attacks. OSA is associated with coronaryheart disease; heart failure; and cardiac arrhythmias. Pulmonary hypertension may beassociated with OSA; especially in patients with pre-existing pulmonary disease. Althoughthe exact cause that links OSA with cardiovascular disease is unknown; there is evidencethat OSA is associated with a group of proinflammatory and prothrombotic factors that havebeen identified as important in the development of atherosclerosis. OSA is associated …,SOUTHERN MEDICAL JOURNAL-BIRMINGHAM ALABAMA-,2006,141
Chronic granulomatous disease: a review of the infectious and inflammatory complications,EunKyung Song; Gayatri Bala Jaishankar; Hana Saleh; Warit Jithpratuck; Ryan Sahni; Guha Krishnaswamy,Chronic Granulomatous Disease is the most commonly encountered immunodeficiencyinvolving the phagocyte; and is characterized by repeated infections with bacterial andfungal pathogens; as well as the formation of granulomas in tissue. The disease is the resultof a disorder of the NADPH oxidase system; culminating in an inability of the phagocyte togenerate superoxide; leading to the defective killing of pathogenic organisms. This can leadto infections with Staphylococcus aureus; Psedomonas species; Nocardia species; andfungi (such as Aspergillus species and Candida albicans). Involvement of vital or largeorgans can contribute to morbidity and/or mortality in the affected patients. Major advanceshave occurred in the diagnosis and treatment of this disease; with the potential for genetherapy or stem cell transplantation looming on the horizon.,*,2011,132
The molecular role of mast cells in atherosclerotic cardiovascular disease,Jim L Kelley; David S Chi; Wael Abou-Auda; J Kelly Smith; Guha Krishnaswamy,Abstract Human atherosclerosis has many characteristics of an inflammatory disorder.Recent data suggest that mast cells might be important in the pathogenesis ofatherosclerotic disease. By secretion of pro-inflammatory cytokines; mast cells can assist inthe recruitment of monocytes and lymphocytes into vascular tissue; thereby propagating theinflammatory response. Mast cell enzymes might activate pro-metalloproteinases; therebydestabilizing atheromatous plaques. Mast cells can facilitate foam cell formation bypromoting cholesterol accumulation. However; mast cell tryptase could slow thrombusformation at sites of plaque rupture by interfering with coagulation. Therefore; mast cells canmodulate coronary artery disease by both facilitatory and inhibitory pathways.,Molecular medicine today,2000,125
Ancillary FISH analysis for 1p and 19q status: preliminary observations in 287 gliomas and oligodendroglioma mimics,Arie Perry; Christine E Fuller; Ruma Banerjee; Daniel J Brat; Bernd W Scheithauer,1. ABSTRACT Deletions of chromosomes 1p and 19q are associated with chemosensitivityand enhanced survival in oligodendrogliomas. Therefore; we have utilized FISH analysis asan ancillary tool for diffuse gliomas with suspected oligodendroglial features. To date; 246gliomas have been analyzed in 131 male and 93 female patients; including 109oligodendrogliomas (O); 109 mixed oligoastrocytomas/equivocal gliomas (MOA); and 28astrocytomas (A). To address specificity; we also analyzed 41 oligodendroglioma mimics;including 12 central and 12 extraventricular neurocytomas (EVN); 12 dysembryoplasticneuroepithelial tumors; and 5 clear cell ependymomas. Aside from 2 EVNs; no mimicsdemonstrated codeletion. Three patterns were associated with glioma cell type (O vs.MOA/A):-1p/19q;-19q alone; and polysomies. Long-term survivals of> 5-years (N= 47) …,Front Biosci,2003,122
Baicalein inhibits IL-1β-and TNF-α-induced inflammatory cytokine production from human mast cells via regulation of the NF-κB pathway,Chia-Jung Hsieh; Kenton Hall; Tuanzhu Ha; Chuanfu Li; Guha Krishnaswamy; David S Chi,Human mast cells are multifunctional cells capable of a wide variety of inflammatoryresponses. Baicalein (BAI); isolated from the traditional Chinese herbal medicine Huangqin(Scutellaria baicalensis Georgi); has been shown to have anti-inflammatory effects. Weexamined its effects and mechanisms on the expression of inflammatory cytokines in an IL-1β-and TNF-α-activated human mast cell line; HMC-1. HMC-1 cells were stimulated eitherwith IL-1β (10 ng/ml) or TNF-α (100 U/ml) in the presence or absence of BAI. We assessedthe expression of IL-6; IL-8; and MCP-1 by ELISA and RT-PCR; NF-κB activation byelectrophoretic mobility shift assay (EMSA); and IκBα activation by Western blot. BAI (1.8 to30 μM) significantly inhibited production of IL-6; IL-8; and MCP-1 in a dose-dependentmanner in IL-1β-activated HMC-1. BAI (30 μM) also significantly inhibited production of IL …,Clinical and Molecular Allergy,2007,104
Regulation of nitric oxide production from macrophages by lipopolysaccharide and catecholamines,David S Chi; Min Qui; Guha Krishnaswamy; Chuanfu Li; William Stone,Abstract Catecholamines are elaborated in stress responses to mediate vasoconstriction;and elevate systemic vascular resistance and blood pressure. They are elaborated indisorders such as sepsis; cocaine abuse; and cardiovascular disease. The aim of the studywas to determine whether catecholamines affect nitric oxide (NO) production; as NO is avasodilator and counteracts the harmful effects of catecholamines. RAW264. 7 macrophagecells were cultured with lipopolysaccharide (LPS)±epinephrine; norepinephrine; anddopamine at 5× 10− 6 M concentrations for 24 h. Supernatants were harvested formeasuring NO by spectrophotometry using the Greiss reagent and cells were harvested fordetecting inducible NO synthase (iNOS) by Western blot. NO production in RAW 264.7macrophages was increased significantly by addition of LPS (0.5–10 ng/ml) in a dose …,Nitric oxide,2003,100
Changes in bone mineral content and density after stroke.,Ronald C Hamdy; Guha Krishnaswamy; Vito Cancellaro; Kathy Whalen; Leo Harvill,Abstract The purpose of this study was to determine whether there are differences in bonemineral content and density between paralyzed and nonparalyzed sides of patients who hadsustained strokes associated with unilateral muscle weakness; to determine the relationshipbetween duration of stroke and degree of demineralization and to compare the degree ofdemineralization in upper and lower limbs. The bone mineral content and density weremeasured by dual photon absorptiometry (high resolution scanning mode; Lunar DP4) inambulant patients with a history of single completed strokes associated with unilateralweakness. The bone mineral content and density of each limb was determined by the regionof interest analysis program. In the 30 patients included in this study; the bone mineralcontent and density were significantly less on the paralyzed than on the nonparalyzed …,American journal of physical medicine & rehabilitation,1993,94
Endothelial cell biology: role in the inflammatory response,Mariah Pate; Vijay Damarla; David S Chi; Smita Negi; Guha Krishnaswamy,1. Abstract Human endothelial cells are multifunctional cells that line blood vessels and arecapable of secreting a variety of biologically active mediators. They normally maintainvascular hemostasis and prevent thrombotic complications. When affected by infection;stress; hypertension; dyslipidemia; or high homocysteine levels; endothelial cells undergochanges resulting in “dysfunction;” characterized typically by decreased endothelialexpression of nitric oxide; enhanced expression of cell adhesion molecules; and associatedincreased binding of circulating leukocytes to these cells. There is accompanying cytokineand chemokine elaboration; resulting in cellular recruitment and the orchestration of anacute inflammatory response that can culminate in chronic inflammation if reparativemechanisms are not operative. This review will address the basic biology of endothelial …,*,2010,88
Autoimmune progesterone dermatitis and its manifestation as anaphylaxis: a case report and literature review,Joy L Snyder; Guha Krishnaswamy,Objective Autoimmune progesterone dermatitis is a rare cyclic premenstrual reaction toprogesterone produced during the luteal phase of a woman's menstrual cycle with a varietyof presentations including erythema multiforme; eczema; urticaria; angioedema; andprogesterone-induced anaphylaxis. We present a case of progesterone-inducedanaphylaxis and a review of literature focusing on its diagnosis and therapy. Data SourcesWe surveyed all the literature in English back to 1921 when the first case was published.First; we researched the terms progesterone anaphylaxis; autoimmune progesteronedermatitis; cyclic urticaria; using the PubMed resource. Then we included articles foundwithin these publications' reference sections. Study Selection We selected articles based onwhether the cases described appeared to fit the description of the entity autoimmune …,Annals of Allergy; Asthma & Immunology,2003,88
The Dapsone hypersensitivity syndrome revisited: a potentially fatal multisystem disorder with prominent hepatopulmonary manifestations,Semaan G Kosseifi; Bhuvana Guha; Dima N Nassour; David S Chi; Guha Krishnaswamy,4; 4'-Diaminodiphenylsulphone (Dapsone) is widely used for a variety of infectious; immuneand hypersensitivity disorders; with indications ranging from Hansen's disease; inflammatorydisease and insect bites; all of which may be seen as manifestations in certain occupationaldiseases. However; the use of dapsone may be associated with a plethora of adverseeffects; some of which may involve the pulmonary parenchyma. Methemoglobinemia withresultant cyanosis; bone marrow aplasia and/or hemolytic anemia; peripheral neuropathyand the potentially fatal dapsone hypersensitivity syndrome (DHS); the focus of this review;may all occur individually or in combination. DHS typically presents with a triad of fever; skineruption; and internal organ (lung; liver; neurological and other systems) involvement;occurring several weeks to as late as 6 months after the initial administration of the drug …,Journal of Occupational Medicine and Toxicology,2006,85
Analysis of cytokine transcripts in the bronchoalveolar lavage cells of patients with asthma,Guha Krishnaswamy; Mark C Liu; Song-Nan Su; Megumi Kumai; Hui-Qing Xiao; David G Marsh; Shau-Ku Huang,Materials and Methods Patients The presence and severity of asthma was determined byclinical history; pulmonary function testing; and bronchial provocation with methacholine;using previously established techniques (16). The presence or absence of atopy wasdefined by skin testing to a panel of common aeroallergens. The clinical characteristics ofthe patients and control nonasthmatic individuals are shown in Table 1. The six asthmaticpatients were all atopic; as determined by positive skin testing and history. Their asthma wasmild; as suggested by their FEYt values. An additional four asthmatic subjects; who wereskin-test positive to ragweed; underwent segmental allergen challenge with ragweed. Noneof the patients had asthma symptoms at the time of BAL or segmental allergen challenge.The five control individuals had no history of asthma and had normal FEYt values and …,American journal of respiratory cell and molecular biology,1993,84
Incense smoke: clinical; structural and molecular effects on airway disease,Ta-Chang Lin; Guha Krishnaswamy; David S Chi,In Asian countries where the Buddhism and Taoism are mainstream religions; incenseburning is a daily practice. A typical composition of stick incense consists of 21%(by weight)of herbal and wood powder; 35% of fragrance material; 11% of adhesive powder; and 33%of bamboo stick. Incense smoke (fumes) contains particulate matter (PM); gas products andmany organic compounds. On average; incense burning produces particulates greater than45 mg/g burned as compared to 10 mg/g burned for cigarettes. The gas products fromburning incense include CO; CO2; NO2; SO2; and others. Incense burning also producesvolatile organic compounds; such as benzene; toluene; and xylenes; as well as aldehydesand polycyclic aromatic hydrocarbons (PAHs). The air pollution in and around varioustemples has been documented to have harmful effects on health. When incense smoke …,*,2008,77
Dermatology for the practicing allergist: Tinea pedis and its complications,Muhannad Al Hasan; S Matthew Fitzgerald; Mahnaz Saoudian; Guha Krishnaswamy,Tinea pedis is a chronic fungal infection of the feet; very often observed in patients who areimmuno-suppressed or have diabetes mellitus. The practicing allergist may be called uponto treat this disease for various reasons. Sometimes tinea infection may be mistaken foratopic dermatitis or allergic eczema. In other patients; tinea pedis may complicate allergyand asthma and may contribute to refractory atopic disease. Patients with recurrent cellulitismay be referred to the allergist/immunologist for an immune evaluation and discovered tohave tinea pedis as a predisposing factor. From a molecular standpoint; superficial fungalinfections may induce a type2 T helper cell response (Th2) that can aggravate atopy. Th2cytokines may induce eosinophil recruitment and immunoglobulin E (IgE) class switching byB cells; thereby leading to exacerbation of atopic conditions. Three groups of fungal …,*,2004,70
Interferon-alpha upregulates gene expression of aquaporin-5 in human parotid glands,J Kelly Smith; Afzal A Siddiqui; Louis A Modica; Rhesa Dykes; Christy Simmons; Julie Schmidt; Guha A Krishnaswamy; Steven L Berk,Aquaporins are a family of homologous membrane proteins that function as highly selectivewater channels. Aquaporin-5 (AQP5) is uniquely present in lacrimal and salivary glands;where it accounts for normal tear and saliva production. We tested the hypothesis that orallyadministered human interferon-alpha (HuIFN-alpha) benefits persons with xerostomia byaugmenting the production of AQP5 protein by parotid gland epithelium. Cells from threehuman parotid glands were cultured with and without human lymphoblastoid IFN-alpha; andassayed for AQP5 mRNA levels by reverse transcriptase polymerase chain reaction (RT-PCR); and AQP5 protein levels by Western blot. Intracellular localization of AQP5 proteinwas done using confocal microscopy. The functional integrity of the glandular tissue wasconfirmed by RT-PCR analysis of alpha-amylase 1 and basic proline-rich protein …,Journal of interferon & cytokine research,1999,69
Obstructive sleep apnea; inflammation; and cardiopulmonary disease,Jim L Arter; David S Chi; M Girish; S Matthew Fitzgerald; Bhuvana Guha; Guha Krishnaswamy,1. ABSTRACT Obstructive sleep apnea (OSA) occurs commonly in the US population and isseen in both obese as well as non-obese individuals. OSA is a disease characterized byperiodic upper airway collapse during sleep; which then results in either apnea; hypopnea;or both. The disorder leads to a variety of medical complications. Neuropsychiatriccomplications include daytime somnolence; cognitive dysfunction; and depression.Increased incidence of motor vehicle accidents has been documented in these patients andprobably reflects disordered reflex mechanisms or excessive somnolence. More importantly;vascular disorders such as hypertension; stroke; congestive cardiac failure; arrhythmias; andatherosclerosis occur frequently in these patients. The lungs may be affected by pulmonaryhypertension and worsening of asthma. Recent data from several laboratories …,Front Biosci,2004,68
Osteopontin: a novel inflammatory mediator of cardiovascular disease,Mahipal Singh; Srinivas Ananthula; Denise M Milhorn; Guha Krishnaswamy; Krishna Singh,1. Abstract 2. Introduction 3. Osteopontin Structure and Cell Binding 4. Role in VascularDisease 4.1. Role in angiogenesis 4.2. Role in inflammation 4.3. Role in calcification 4.4.Aneurysms/dissections 5. Role in Heart Disease 5.1. Osteopontin and valvular pathology5.2. Osteopontin and heart failure 5.3. Role of osteopontin in myocardial infarction 5.4.Possible mechanisms mediating action in the heart 6. Clinical Relevance/Significance 7.Conclusions,Front Biosci,2007,67
Hepatitis C Virus and the Lung,Jonathan Moorman; Mustafa Saad; Semaan Kosseifi; Guha Krishnaswamy,Hepatitis C virus (HCV) infection is a chronic blood-borne disease that affects> 4;000;000individuals in the United States. The majority of individuals with HVC infection acquire achronic hepatitis that predisposes them to the complications of cirrhosis and hepatoma.Chronic HCV infection is; however; associated with multiple extrahepatic manifestations aswell; including recently recognized effects on the lung. These include primary effects on lungfunction; as well as secondary effects in the settings of progressive liver disease and drugtreatment for HCV. In this article; we discuss the emerging clinical data that support a role forHCV infection in lung disease; describe the multiple pulmonary manifestations of this viralinfection; and outline the therapies available for specific pulmonary complications of chronicHCV infection.,Chest,2005,64
Multifunctional cytokine expression by human coronary endothelium and regulation by monokines and glucocorticoids,Guha Krishnaswamy; John K Smith; Raghu Mukkamala; Kenton Hall; William Joyner; L Yerra; David S Chi,Abstract Human endothelium is capable of expressing a variety of molecules; includingcytokines and growth factors; critical to inflammation. This aspect of coronary endotheliumhas not been studied in detail. In this study; we report; for the first time; expression ofmultifunctional cytokines by human coronary artery endothelial cells (HCAEC) and theirregulation by inflammatory cytokines and glucocorticoids. We also compared expression ofcytokine transcripts in two additional cell lines derived from pulmonary artery (HPAEC) andumbilical vein (HUVEC) endothelium. HCAEC expressed transcripts for interleukin 5 (IL-5);IL-6; IL-8; and monocyte chemotactic protein-1 (MCP-1) constitutively. Induction of IL-1α; IL-6; granulocyte–macrophage colony-stimulating factor (GM-CSF); and MCP-1 was seenfollowing treatment with TNFα. We found no expression of IL-1RA; IL-2; IL-4; IL-13; TNF-α …,Microvascular research,1998,64
Multifunctional cytokine expression by human mast cells: regulation by T cell membrane contact and glucocorticoids,G Krishnaswamy; T Lakshman; AR Miller; S Srikanth; K Hall; S-K Huang; J Suttles; JK Smith; R Stout,Human mast cells readily release a variety of mediators; including cytokines; in response toIgE receptor crosslinking; but the mechanisms governing the expression of cytokines are stillunclear. Using a human mast cell line; HMC-1; we show expression of cytokine transcriptsas early as 2 h after activation with ionomycin and phorbol myristate acetate (PMA). RestingHMC-1 cells expressed transcripts for interleukin-1 receptor antagonist (IL-1RA); IL-2; IL-4;IL-5; GM-CSF; and weakly for IL-8; and stimulation with ionomycin and PMA inducedadditional transcripts for IL-6 and IL-13 and upregulated expression of IL-8 transcripts. HMC-1 cells secreted IL-4; IL-8; and GM-CSF protein after activation and dexamethasonesignificantly inhibited the production of these cytokines. Of significance is the finding that theaddition of membranes purified from activated T cells to mast cell cultures induced …,Journal of interferon & cytokine research,1997,61
Potential mechanisms connecting asthma; esophageal reflux; and obesity/sleep apnea complex—a hypothetical review,Aiman Kasasbeh; Ehab Kasasbeh; Guha Krishnaswamy,Summary Obstructive sleep apnea (OSA) and asthma are potentially linked at several levels.The pathophysiology of these two conditions seems to overlap significantly; as airwayobstruction; inflammation; obesity; and several other factors are implicated in thedevelopment of both diseases. Gastroesophageal reflux disease (GERD); cardiovascularcomplications; obesity itself; and the underlying inflammatory processes are all complexcontributory factors that provide hypothetical links. Furthermore; a collateral rise inprevalence of both OSA and asthma has been noticed during the past few years; occurringin association with the emerging epidemic of obesity; a common risk factor for bothconditions. OSA and asthma share many other risk factors as well. We propose ahypothetical OSA–asthma relationship that has implications on the diagnosis and …,Sleep medicine reviews,2007,57
C-reactive protein as a novel biomarker: reactant can flag atherosclerosis and help predict cardiac events,Nader Elgharib; David S Chi; Walid Younis; Salim Wehbe; Guha Krishnaswamy,PREVIEW C-reactive protein (CRP) is a relatively nonspecific marker of inflammation.However; it can be used to monitor the severity and progression of some well-definedcardiovascular diseases. For example; it can predict serious events in patients with coronaryartery disease (CAD) who are hospitalized with acute coronary syndrome; myocardialinfarction (MI); or advanced peripheral vascular disease. In this article; the authors reviewthe role of CRP in the diagnosis; monitoring; and treatment of various forms of ischemic andinflammatory cardiovascular disease.,Postgraduate medicine,2003,54
Regulation and dysregulation of immunoglobulin E: a molecular and clinical perspective,Mariah B Pate; John Kelly Smith; David S Chi; Guha Krishnaswamy,Altered levels of Immunoglobulin E (IgE) represent a dysregulation of IgE synthesis and maybe seen in a variety of immunological disorders. The object of this review is to summarizethe historical and molecular aspects of IgE synthesis and the disorders associated withdysregulation of IgE production. Articles published in Medline/PubMed were searched withthe keyword Immunoglobulin E and specific terms such as class switch recombination;deficiency and/or specific disease conditions (atopy; neoplasia; renal disease; myeloma;etc.). The selected papers included reviews; case reports; retrospective reviews andmolecular mechanisms. Studies involving both sexes and all ages were included in theanalysis. Both very low and elevated levels of IgE may be seen in clinical practice. Majoradvancements have been made in our understanding of the molecular basis of IgE class …,*,2010,50
