Integrating classification and association rule mining,Bing Liu Wynne Hsu Yiming Ma; Bing Liu,*,Proceedings of the fourth international conference on knowledge discovery and data mining,1998,2773
Quantitative and qualitative retinal microvascular characteristics and blood pressure,Carol Y Cheung; Wan T Tay; Paul Mitchell; Jie J Wang; Wynne Hsu; Mong L Lee; Qiangfeng P Lau; Ai L Zhu; Ronald Klein; Seang M Saw; Tien Y Wong,Objective: The present study examined the effects of blood pressure on a spectrum ofquantitative and qualitative retinal microvascular signs. Methods: Retinal photographs fromthe Singapore Malay Eye Study; a population-based cross-sectional study of 3280 (78.7%response) persons aged 40–80 years; were analyzed. Quantitative changes in the retinalvasculature (branching angle; vascular tortuosity; fractal dimension; and vascular caliber)were measured using a semi-automated computer-based program. Qualitative signs;including focal arteriolar narrowing (FAN); arteriovenous nicking (AVN); opacification of thearteriolar wall (OAW); and retinopathy (eg; microaneurysms; retinal hemorrhages); wereassessed from photographs by trained technicians. After excluding persons with diabetesand ungradable photographs; 1913 persons provided data for this analysis. Results: In …,Journal of hypertension,2011,117
Mining relationships among interval-based events for classification,Dhaval Patel; Wynne Hsu; Mong Li Lee,Abstract Existing temporal pattern mining assumes that events do not have any duration.However; events in many real world applications have durations; and the relationshipsamong these events are often complex. These relationships are modeled using ahierarchical representation that extends Allen's interval algebra. However; thisrepresentation is lossy as the exact relationships among the events cannot be fullyrecovered. In this paper; we augment the hierarchical representation with additionalinformation to achieve a lossless representation. An efficient algorithm called IEMiner isdesigned to discover frequent temporal patterns from interval-based events. The algorithmemploys two optimization techniques to reduce the search space and remove non-promisingcandidates. From the discovered temporal patterns; we build an interval-based classifier …,Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,117
Multi-level organization and summarization of the discovered rules,Bing Liu; Minqing Hu; Wynne Hsu,ABSTRACT Many existing data mining techniques often produce a large number of rules;which make it very difficult for manual inspection of the rules to identify those interestingones. This problem represents a major gap between the results of data mining and theunderstanding and use of the mining results. In this paper; we argue that the key problem isnot with the large number of rules because if there are indeed many rules that exist in data;they should be discovered. The main problem is with our inability to organize; summarizeand present the rules in such a way that they can be easily analyzed by the user. In thispaper; we propose a technique to intuitively organize and summarize the discovered rules.With this organization; the discovered rules can be presented to the user in the way as wethink and talk about knowledge in our daily lives. This organization also allows the user to …,Proceedings of the sixth ACM SIGKDD international conference on Knowledge discovery and data mining,2000,114
The retinal vasculature as a fractal: methodology; reliability; and relationship to blood pressure,Gerald Liew; Jie Jin Wang; Ning Cheung; Yong Ping Zhang; Wynne Hsu; Mong Li Lee; Paul Mitchell; Gabriella Tikellis; Bronwen Taylor; Tien Yin Wong,Objective Fractals represent a type of derived geometric pattern that permits thecharacterization of the branching pattern of retinal vessels. We examined a newsemiautomated method to measure retinal vessel fractals. Design Methodology study.Participants Three hundred randomly selected participants from the population-based BlueMountains Eye Study. Methods We developed a semiautomated computer program tomeasure the fractal dimension (D f) of the retinal vessels from digitized images of disk-centered retinal photographs. Two trained graders masked to participant characteristicsmeasured D f of right eye images of participants. Reliability was determined by repeatgrading of the images from 60 participants; and association with systolic and diastolic bloodpressure was examined in all 300 participants. Main Outcome Measure D f of the retinal …,Ophthalmology,2008,113
BORDER: efficient computation of boundary points,Chenyi Xia; Wynne Hsu; Mong-Li Lee; Beng Chin Ooi,This work addresses the problem of finding boundary points in multidimensional data sets.Boundary points are data points that are located at the margin of densely distributed datasuch as a cluster. We describe a novel approach called BORDER (a BOundaRy pointsDEtectoR) to detect such points. BORDER employs the state-of-the-art database technique-the Gorder kNN join and makes use of the special property of the reverse k nearest neighbor(RkNN). Experimental studies on data sets with varying characteristics indicate thatBORDER is able to detect the boundary points effectively and efficiently.,IEEE Transactions on Knowledge and Data Engineering,2006,107
Retinal vascular tortuosity; blood pressure; and cardiovascular risk factors,Carol Yim-lui Cheung; Yingfeng Zheng; Wynne Hsu; Mong Li Lee; Qiangfeng Peter Lau; Paul Mitchell; Jie Jin Wang; Ronald Klein; Tien Yin Wong,Objective To examine the relationship of retinal vascular tortuosity to age; blood pressure;and other cardiovascular risk factors. Design Population-based; cross-sectional study.Participants A total of 3280 participants aged 40 to 80 years from the Singapore Malay EyeStudy (78.7% response rate). Methods Retinal arteriolar and venular (vascular) tortuositywere quantitatively measured from fundus images using a computer-assisted program.Retinal vascular tortuosity was defined as the integral of the curvature square along the pathof the vessel; normalized by the total path length. Data on blood pressure and majorcardiovascular disease (CVD) risk factors were collected from all participants. MeanOutcome Measures Retinal arteriolar and venular tortuosity. Results A total of 2915participants contributed data to this study. The mean (standard deviation) and median …,Ophthalmology,2011,106
Automatic grading of retinal vessel caliber,Huiqi Li; Wynne Hsu; Mong Li Lee; Tien Yin Wong,New clinical studies suggest that narrowing of the retinal blood vessels may be an earlyindicator of cardiovascular diseases. One measure to quantify the severity of retinalarteriolar narrowing is the arteriolar-to-venular diameter ratio (AVR). The manualcomputation of AVR is a tedious process involving repeated measurements of the diametersof all arterioles and venules in the retinal images by human graders. Consistency andreproducibility are concerns. To facilitate large-scale clinical use in the general population; itis essential to have a precise; efficient and automatic system to compute this AVR. Thispaper describes a new approach to obtain AVR. The starting points of vessels are detectedusing a matched Gaussian filter. The detected vessels are traced with the help of acombined Kalman filter and Gaussian filter. A modified Gaussian model that takes into …,IEEE Transactions on Biomedical Engineering,2005,105
Mining changes for real-life applications,Bing Liu; Wynne Hsu; Heng-Siew Han; Yiyuan Xia,Abstract Much of the data mining research has been focused on devising techniques to buildaccurate models and to discover rules from databases. Relatively little attention has beenpaid to mining changes in databases collected over time. For businesses; knowing what ischanging and how it has changed is of crucial importance because it allows businesses toprovide the right products and services to suit the changing market needs. If undesirablechanges are detected; remedial measures need to be implemented to stop or to delay suchchanges. In many applications; mining for changes can be more important than producingaccurate models for prediction. A model; no matter how accurate; can only predict based onpatterns mined in the old data. That is; a model requires a stable environment; otherwise itwill cease to be accurate. However; in many business situations; constant human …,International Conference on Data Warehousing and Knowledge Discovery,2000,101
Alterations in retinal microvascular geometry in young type 1 diabetes,Muhammad Bayu Sasongko; Jie Jin Wang; Kim C Donaghue; Ning Cheung; Paul Benitez-Aguirre; Alicia Jenkins; Wynne Hsu; Mong-Li Lee; Tien Y Wong,OBJECTIVE To describe retinal microvascular geometric parameters in young patients withtype 1 diabetes. RESEARCH DESIGN AND METHODS Patients with type 1 diabetes (aged12–20 years) had clinical assessments and retinal photography following standardizedprotocol at a tertiary-care hospital in Sydney. Retinal microvascular geometry; includingarteriolar and venular tortuosity; branching angles; optimality deviation; and length-to-diameter ratio (LDR); were measured from digitized photographs. Associations of thesegeometric characteristics with diabetes duration; A1C level; systolic blood pressure (SBP);and other risk factors were assessed. RESULTS Of 1;159 patients enrolled; 944 (81.4%) hadgradable photographs and 170 (14.7%) had retinopathy. Older age was associated withdecreased arteriolar (P= 0.024) and venular (P= 0.002) tortuosity; and female subjects …,Diabetes care,2010,100
NeMoFinder: Dissecting genome-wide protein-protein interactions with meso-scale network motifs,Jin Chen; Wynne Hsu; Mong Li Lee; See-Kiong Ng,Abstract Recent works in network analysis have revealed the existence of network motifs inbiological networks such as the protein-protein interaction (PPI) networks. However; existingmotif mining algorithms are not sufficiently scalable to find meso-scale network motifs. Also;there has been little or no work to systematically exploit the extracted network motifs fordissecting the vast interactomes. We describe an efficient network motif discovery algorithm;NeMoFinder; that can mine meso-scale network motifs that are repeated and unique in largePPI networks. Using NeMoFinder; we successfully discovered; for the first time; up to size-12network motifs in a large whole-genome S. cerevisiae (Yeast) PPI network. We also showthat such network motifs can be systematically exploited for indexing the reliability of PPIdata that were generated via highly erroneous high-throughput experimental methods.,Proceedings of the 12th ACM SIGKDD international conference on Knowledge discovery and data mining,2006,99
A piecewise Gaussian model for profiling and differentiating retinal vessels,Huiqi Li; Wynne Hsu; Mong-Li Lee; Hongyu Wang,Accurate measurement and identification of blood vessels could provide useful informationto clinical diagnosis. A piecewise Gaussian model is proposed to describe the intensitydistribution of vessel profile in this paper. The characteristic of central reflex is speciallyconsidered in the proposed model. The comparison with the single Gaussian model isperformed; which shows that the piecewise Gaussian model is a more appropriate model forvessel profile. The obtained model parameters could be utilized in the identification of vesseltype. The minimum Mahalanobis distance classifier is employed in the classification. 505segments of vessels were tested. The success rate is 82.46% and 89.03% for the arteriesand veins respectively.,Image Processing; 2003. ICIP 2003. Proceedings. 2003 International Conference on,2003,96
Increasing confidence of protein interactomes using network topological metrics,Jin Chen; Wynne Hsu; Mong Li Lee; See-Kiong Ng,Abstract Motivation: Experimental limitations in high-throughput protein–protein interactiondetection methods have resulted in low quality interaction datasets that contained sizablefractions of false positives and false negatives. Small-scale; focused experiments are thenneeded to complement the high-throughput methods to extract true protein interactions.However; the naturally vast interactomes would require much more scalable approaches.Results: We describe a novel method called IRAP* as a computational complement forrepurification of the highly erroneous experimentally derived protein interactomes. Ourmethod involves an iterative process of removing interactions that are confidently identifiedas false positives and adding interactions detected as false negatives into the interactomes.Identification of both false positives and false negatives are performed in IRAP* using …,Bioinformatics,2006,94
An information-driven framework for image mining,Ji Zhang; Wynne Hsu; Mong Li Lee,Abstract Image mining systems that can automatically extract semantically meaningfulinformation (knowledge) from image data are increasingly in demand. The fundamentalchallenge in image mining is to determine how lowlevel; pixel representation contained in araw image or image sequence can be processed to identify high-level spatial objects andrelationships. To meet this challenge; we propose an efficient information-driven frameworkfor image mining. We distinguish four levels of information: the Pixel Level; the Object Level;the Semantic Concept Level; and the Pattern and Knowledge Level. High-dimensionalindexing schemes and retrieval techniques are also included in the framework to support theflow of information among the levels. We believe this framework represents the first steptowards capturing the different levels of information present in image data and addressing …,International Conference on Database and Expert Systems Applications,2001,92
Efficient remote homology detection using local structure,Yuna Hou; Wynne Hsu; Mong Li Lee; Christopher Bystroff,Abstract Motivation: The function of an unknown biological sequence can often beaccurately inferred if we are able to map this unknown sequence to its correspondinghomologous family. At present; discriminative methods such as SVM-Fisher and SVM-pairwise; which combine support vector machine (SVM) and sequence similarity; arerecognized as the most accurate methods; with SVM-pairwise being the most accurate.However; these methods typically encode sequence information into their feature vectorsand ignore the structure information. They are also computationally inefficient. Based onthese observations; we present an alternative method for SVM-based protein classification.Our proposed method; SVM-I-sites; utilizes structure similarity for remote homologydetection. Result: We run experiments on the Structural Classification of Proteins 1.53 …,Bioinformatics,2003,89
Snnb: A selective neighborhood based naive Bayes for lazy learning,Zhipeng Xie; Wynne Hsu; Zongtian Liu; Mong Li Lee,Abstract Naïve Bayes is a probability-based classification method which is based on theassumption that attributes are conditionally mutually independent given the class label.Much research has been focused on improving the accuracy of Naïve Bayes via eagerlearning. In this paper; we propose a novel lazy learning algorithm; SelectiveNeighbourhood based Naïve Bayes (SNNB). SNNB computes different distanceneighborhoods of the input new object; lazily learns multiple Naïve Bayes classifiers; anduses the classifier with the highest estimated accuracy to make decision. The results of ourexperiments on 26 datasets show that our proposed SNNB algorithm is efficient and itoutperforms Naïve Bayes; and state-of-the-art classification methods NBTree; CBA; and C4.5 in terms of accuracy.,Pacific-Asia Conference on Knowledge Discovery and Data Mining,2002,89
ADRIS: an automatic diabetic retinal image screening system,Kheng Guan Goh; Wynne Hsu; M Li Lee; Huan Wang,*,Studies in Fuzziness and Soft Computing,2001,88
Feedback approach to design for assembly by evaluation of assembly plan,Wynne Hsu; CS George Lee; Shun-Feng Su,Abstract One of the questions that intrigues many researchers is that of how a product canbe designed that is good for assembly. A product which is assembly-oriented is easier andless costly to assemble. The benefits are many; but the ways of achieving it are certainly notunique. One way is the concurrent-engineering/design-for-assembly approach. In thisapproach; all the lifecycle issues are taken into consideration during the design phase. Adifferent but complementary approach is that of allowing redesign as soon as specificinformation is made available during a later stage of the lifecycle; such as the planningstage. The paper adopts the second approach. It examines how information available fromthe planning stage can aid in identifying areas for redesign. Evaluation criteria areformulated that provide enough information to allow redesign suggestions to be …,Computer-Aided Design,1993,87
Fast image retrieval using color-spatial information,Beng Chin Ooi; Kian-Lee Tan; Tat Seng Chua; Wynne Hsu,Abstract. In this paper; we present an image retrieval system that employs both the color andspatial information of images to facilitate the retrieval process. The basic unit used in ourtechnique is a single-colored cluster; which bounds a homogeneous region of that color inan image. Two clusters from two images are similar if they are of the same color and overlapin the image space. The number of clusters that can be extracted from an image can be verylarge; and it affects the accuracy of retrieval. We study the effect of the number of clusters onretrieval effectiveness to determine an appropriate value for “optimal''performance. Tofacilitate efficient retrieval; we also propose a multi-tier indexing mechanism called theSequenced Multi-Attribute Tree (SMAT). We implemented a two-tier SMAT; where the firstlayer is used to prune away clusters that are of different colors; while the second layer …,The VLDB Journal,1998,81
Discovering the set of fundamental rule changes,Bing Liu; Wynne Hsu; Yiming Ma,Abstract The world around us changes constantly. Knowing what has changed is animportant part of our lives. For businesses; recognizing changes is also crucial. It allowsbusinesses to adapt themselves to the changing market needs. In this paper; we studychanges of association rules from one time period to another. One approach is to comparethe supports and/or confidences of each rule in the two time periods and report thedifferences. This technique; however; is too simplistic as it tends to report a huge number ofrule changes; and many of them are; in fact; simply the snowball effect of a small subset offundamental changes. Here; we present a technique to highlight the small subset offundamental changes. A change is fundamental if it cannot be explained by some otherchanges. The proposed technique has been applied to a number of real-life datasets …,Proceedings of the seventh ACM SIGKDD international conference on Knowledge discovery and data mining,2001,78
Identifying non-actionable association rules,Bing Liu; Wynne Hsu; Yiming Ma,Abstract Building predictive models and finding useful rules are two important tasks of datamining. While building predictive models has been well studied; finding useful rules foraction still presents a major problem. A main obstacle is that many data mining algorithmsoften produce too many rules. Existing research has shown that most of the discovered rulesare actually redundant or insignificant. Pruning techniques have been developed to removethose spurious and/or insignificant rules. In this paper; we argue that being a significant rule(or a non-redundant rule); however; does not mean that it is a potentially useful rule foraction. Many significant rules (unpruned rules) are in fact not actionable. This paper studiesthis issue and presents an efficient algorithm to identify these non-actionable rules.Experiment results on many real-life datasets show that the number of non-actionable …,Proceedings of the seventh ACM SIGKDD international conference on Knowledge discovery and data mining,2001,73
Mining frequent query patterns from XML queries,Liang Huai Yang; Mong Li Lee; H Wynne; Sumit Acharya,As XML prevails over the Internet; the efficient retrieval of XML data becomes important.Research to improve query response times has been largely concentrate on indexing XMLdocuments and processing regular path expressions. Another approach is to discoverfrequent query patterns since the answers to these queries can be stored and indexed.Mining frequent query patterns requires more than simple tree matching since the XMLqueries involves special characters such as"*" or"//". In addition; the matching process canbe expensive since the search space is exponential to the size of XML schema. In thispaper; we present two mining algorithms; XQPMiner and XQPMinerTID; to discover frequentquery pattern frees from a large collection of XML queries efficiently. Both algorithms exploitschema information to guide the enumeration of candidate subtrees; thus eliminating …,Database Systems for Advanced Applications; 2003.(DASFAA 2003). Proceedings. Eighth International Conference on,2003,69
Remote homolog detection using local sequence–structure correlations,Yuna Hou; Wynne Hsu; Mong Li Lee; Christopher Bystroff,Abstract Remote homology detection refers to the detection of structural homology inproteins when there is little or no sequence similarity. In this article; we present a remotehomolog detection method called SVM-HMMSTR that overcomes the reliance on detectablesequence similarity by transforming the sequences into strings of hidden Markov states thatrepresent local folding motif patterns. These state strings are transformed into fixed-dimension feature vectors for input to a support vector machine. Two sets of features aredefined: an order-independent feature set that captures the amino acid and local structurecomposition; and an order-dependent feature set that captures the sequential ordering of thelocal structures. Tests using the Structural Classification of Proteins (SCOP) 1.53 data setshow that the SVM-HMMSTR gives a significant improvement over several current …,PROTEINS: Structure; Function; and Bioinformatics,2004,66
Visually aided exploration of interesting association rules,Bing Liu; Wynne Hsu; Ke Wang; Shu Chen,Abstract Association rules are a class of important regularities in databases. They are foundto be very useful in practical applications. However; the number of association rulesdiscovered in a database can be huge; thus making manual inspection and analysis of therules difficult. In this paper; we propose a new framework to allow the user to explore thediscovered rules to identify those interesting ones. This framework has two components; aninterestingness analysis component; and a visualization component. The interestingnessanalysis component analyzes and organizes the discovered rules according to variousinterestingness criteria with respect to the user's existing knowledge. The visualizationcomponent enables the user to visually explore those potentially interesting rules. The keystrength of the visualization component is that from a single screen; the user is able to …,Pacific-Asia Conference on Knowledge Discovery and Data Mining,1999,65
A new method to measure peripheral retinal vascular caliber over an extended area,CAROL YIM‐LUI CHEUNG; Wynne Hsu; Mong Li Lee; Jie Jin Wang; Paul Mitchell; Qiangfeng Peter Lau; Haslina Hamzah; Maisie Ho; Tien Yin Wong,Abstract Please cite this paper as: Cheung; Hsu; Lee; Wang; Mitchell; Lau; Hamzah; Ho andWong (2010). A New Method to Measure Peripheral Retinal Vascular Caliber over anExtended Area. Microcirculation17 (7); 495–503. Abstract Objective: To describe a newcomputer-assisted method to measure retinal vascular caliber over an extended area of thefundus. Methods: Retinal photographs taken from participants of the Singapore Malay EyeStudy (n= 3280) were used for this study. Retinal vascular caliber was measured andsummarized as central retinal artery equivalent (CRAE) and central retinal vein equivalent(CRVE) using a new semi-automated computer-based program. Measurements were madeat the Standard zone (from 0.5 to 1.0 disk diameter) and an Extended zone (from 0.5 to 2.0disk diameter). Results: Reliability of retinal vascular caliber measurement was high for …,Microcirculation,2010,63
