From region encoding to extended dewey: On efficient processing of XML twig pattern matching,Jiaheng Lu; Tok Wang Ling; Chee-Yong Chan; Ting Chen,Abstract Finding all the occurrences of a twig pattern in an XML database is a core operationfor efficient evaluation of XML queries. A number of algorithms have been proposed toprocess a twig query based on region encoding labeling scheme. While region encodingsupports efficient determination of structural relationship between two elements; we observethat the information within a single label is very limited. In this paper; we propose a newlabeling scheme; called extended Dewey. This is a powerful labeling scheme; since from thelabel of an element alone; we can derive all the elements names along the path from theroot to the element. Based on extended Dewey; we design a novel holistic twig joinalgorithm; called TJFast. Unlike all previous algorithms based on region encoding; toanswer a twig query; TJFast only needs to access the labels of the leaf query nodes …,Proceedings of the 31st international conference on Very large data bases,2005,379
Extended xml tree pattern matching: theories and algorithms,Jiaheng Lu; Tok Wang Ling; Zhifeng Bao; Chen Wang,As business and enterprises generate and exchange XML data more often; there is anincreasing need for efficient processing of queries on XML data. Searching for theoccurrences of a tree pattern query in an XML database is a core operation in XML queryprocessing. Prior works demonstrate that holistic twig pattern matching algorithm is anefficient technique to answer an XML tree pattern with parent-child (PC) and ancestor-descendant (AD) relationships; as it can effectively control the size of intermediate resultsduring query processing. However; XML query languages (eg; XPath and XQuery) definemore axes and functions such as negation function; order-based axis; and wildcards. In thispaper; we research a large set of XML tree pattern; called extended XML tree pattern; whichmay include PC; AD relationships; negation functions; wildcards; and order restriction. We …,IEEE transactions on knowledge and data engineering,2011,60
Efficient processing of ordered XML twig pattern,Jiaheng Lu; Tok Wang Ling; Tian Yu; Changqing Li; Wei Ni,Abstract Finding all the occurrences of a twig pattern in an XML database is a core operationfor efficient evaluation of XML queries. Holistic twig join algorithm has showed its superiorityover binary decompose based approach due to efficient reducing intermediate results. Theexisting holistic join algorithms; however; cannot deal with ordered twig queries. Astraightforward approach that first matches the unordered twig queries and then prunesaway the undesired answers is obviously not optimal in most cases. In this paper; we study anovel holistic-processing algorithm; called OrderedTJ; for ordered twig queries. We showthat OrderedTJ can identify a large query class to guarantee the I/O optimality. Finally; ourexperiments show the effectiveness; scalability and efficiency of our proposed algorithm.,International Conference on Database and Expert Systems Applications,2005,50
Clustering web video search results based on integration of multiple features,Alex Hindle; Jie Shao; Dan Lin; Jiaheng Lu; Rui Zhang,Abstract The usage of Web video search engines has been growing at an explosive rate.Due to the ambiguity of query terms and duplicate results; a good clustering of video searchresults is essential to enhance user experience as well as improve retrieval performance.Existing systems that cluster videos only consider the video content itself. This paperpresents the first system that clusters Web video search results by fusing the evidences froma variety of information sources besides the video content such as title; tags and description.We propose a novel framework that can integrate multiple features and enable us to adoptexisting clustering algorithms. We discuss our careful design of different components of thesystem and a number of implementation decisions to achieve high effectiveness andefficiency. A thorough user study shows that with an innovative interface showing the …,World Wide Web,2011,42
Method and apparatus for improving performance of approximate string queries using variable length high-quality grams,*,A computer process; called VGRAM; improves the performance of these string searchalgorithms in computers by using a carefully chosen dictionary of variable-length gramsbased on their frequencies in the string collection. A dynamic programming algorithm forcomputing a tight lower bound on the number of common grams shared by two similarstrings in order to improve query performance is disclosed. A method for automaticallycomputing a dictionary of high-quality grams for a workload of queries. Improvement onquery performance is achieved by these techniques by a cost-based quantitative approachto deciding good grams for approximate string queries. An approach for answeringapproximate queries efficiently based on discarding gram lists; and another is based oncombining correlated lists. An indexing structure is reduced to a given amount of space …,*,2011,39
Indexing and querying XML using extended Dewey labeling scheme,Jiaheng Lu; Xiaofeng Meng; Tok Wang Ling,Abstract Finding all the occurrences of a tree pattern in an XML database is a core operationfor efficient evaluation of XML queries. The Dewey labeling scheme is commonly used tolabel an XML document to facilitate XML query processing by recording information on thepath of an element. In order to improve the efficiency of XML tree pattern matching; weintroduce a novel labeling scheme; called extended Dewey; which effectively extends theexisting Dewey labeling scheme to combine the types and identifiers of elements in a label;and to avoid the scan of labels for internal query nodes to accelerate query processing (inI/O cost). Based on extended Dewey; we propose a series of holistic XML tree patternmatching algorithms. We first present TJFast to answer an XML twig pattern query. Toefficiently answer a generalized XML tree pattern; we then propose GTJFast; an …,Data & Knowledge Engineering,2011,36
Labeling and querying dynamic XML trees,Jiaheng Lu; Tok Wang Ling,Abstract With the growing importance of XML in data exchange; much research tends toprovide a compact labeling scheme and a flexible query facility to extract data from dynamicXML trees. In this paper; we first propose GRP; namely GRoup based Prefix labelingscheme. Compared to the previous labeling schemes; the total size of labels in GRP is muchshorter. Experiment results with synthetic and real life data show that the size of labels withGRP is about 2%-10% of that with the previous labeling scheme. Based on GRP; we furtherpropose GRJ (GRoup based structural Join); a structural join algorithm. GRJ is similar to thehash join algorithm in RDBMS and needs to scan the join data only twice. Furthermore;unlike other structural join algorithms; GRJ can perform efficiently without dependency onthe join data sorted or indexed; for the data in the dynamic XML trees are usually …,Asia-Pacific Web Conference,2004,36
Best Keyword Cover Search.,Ke Deng; Xin Li; Jiaheng Lu; Xiaofang Zhou,It is common that the objects in a spatial database (eg; restaurants/hotels) are associatedwith keyword (s) to indicate their businesses/services/features. An interesting problemknown as Closest Keywords search is to query objects; called keyword cover; whichtogether cover a set of query keywords and have the minimum inter-objects distance. Inrecent years; we observe the increasing availability and importance of keyword rating inobject evaluation for the better decision making. This motivates us to investigate a genericversion of Closest Keywords search called Best Keyword Cover which considers inter-objects distance as well as the keyword rating of objects. The baseline algorithm is inspiredby the methods of Closest Keywords search which is based on exhaustively combiningobjects from different query keywords to generate candidate keyword covers. When the …,IEEE Trans. Knowl. Data Eng.,2015,33
String similarity measures and joins with synonyms,Jiaheng Lu; Chunbin Lin; Wei Wang; Chen Li; Haiyong Wang,Abstract A string similarity measure quantifies the similarity between two text strings forapproximate string matching or comparison. For example; the strings" Sam" and" Samuel"can be considered similar. Most existing work that computes the similarity of two strings onlyconsiders syntactic similarities; eg; number of common words or q-grams. While these areindeed indicators of similarity; there are many important cases where syntactically differentstrings can represent the same real-world object. For example;" Bill" is a short form of"William". Given a collection of predefined synonyms; the purpose of the paper is to exploresuch existing knowledge to evaluate string similarity measures more effectively andefficiently; thereby boosting the quality of string matching. In particular; we first present anexpansion-based framework to measure string similarities efficiently while considering …,Proceedings of the 2013 ACM SIGMOD International Conference on Management of Data,2013,32
TJFast: effective processing of XML twig pattern matching,Jiaheng Lu; Ting Chen; Tok Wang Ling,Abstract Finding all the occurrences of a twig pattern in an XML database is a core operationfor efficient evaluation of XML queries. A number of algorithms have been proposed toprocess a twig query based on region encoding. In this paper; based on a novel labelingscheme: extended Dewey; we propose a novel and efficient holistic twig join algorithm;namely TJFast. Compared to previous work; our algorithm only needs to access the labels ofleaf query nodes. We report our experimental results to show that our algorithms aresuperior to previous approaches in terms of the number of elements scanned and queryperformance.,Special interest tracks and posters of the 14th international conference on World Wide Web,2005,30
MRTuner: a toolkit to enable holistic optimization for mapreduce jobs,Juwei Shi; Jia Zou; Jiaheng Lu; Zhao Cao; Shiqiang Li; Chen Wang,Abstract MapReduce based data-intensive computing solutions are increasingly deployedas production systems. Unlike Internet companies who invent and adopt the technology fromthe very beginning; traditional enterprises demand easy-to-use software due to the limitedcapabilities of administrators. Automatic job optimization software for MapReduce is apromising technique to satisfy such requirements. In this paper; we introduce a toolkit fromIBM; called MRTuner; to enable holistic optimization for MapReduce jobs. In particular; wepropose a novel Producer-Transporter-Consumer (PTC) model; which characterizes thetradeoffs in the parallel execution among tasks. We also carefully investigate thecomplicated relations among about twenty parameters; which have significant impact on thejob performance. We design an efficient search algorithm to find the optimal execution …,Proceedings of the VLDB Endowment,2014,28
An effective object-level XML keyword search,Zhifeng Bao; Jiaheng Lu; Tok Wang Ling; Liang Xu; Huayu Wu,Abstract Keyword search is widely recognized as a convenient way to retrieve informationfrom XML data. In order to precisely meet users' search concerns; we study how to effectivelyreturn the targets that users intend to search for. We model XML document as a set ofinterconnected object-trees; where each object contains a subtree to represent a concept inthe real world. Based on this model; we propose object-level matching semantics calledInterested Single Object (ISO) and Interested Related Object (IRO) to capture single objectand multiple objects as user's search targets respectively; and design a novel relevanceoriented ranking framework for the matching results. We propose efficient algorithms tocompute and rank the query results in one phase. Finally; comprehensive experiments showthe efficiency and effectiveness of our approach; and an online demo of our system on …,International Conference on Database Systems for Advanced Applications,2010,28
Efficient algorithms and cost models for reverse spatial-keyword k-nearest neighbor search,Ying Lu; Jiaheng Lu; Gao Cong; Wei Wu; Cyrus Shahabi,Abstract Geographic objects associated with descriptive texts are becoming prevalent;justifying the need for spatial-keyword queries that consider both locations and textualdescriptions of the objects. Specifically; the relevance of an object to a query is measured byspatial-textual similarity that is based on both spatial proximity and textual similarity. In thisarticle; we introduce the Reverse Spatial-Keyword k-Nearest Neighbor (RSKkNN) query;which finds those objects that have the query as one of their k-nearest spatial-textualobjects. The RSKkNN queries have numerous applications in online maps and GIS decisionsupport systems. To answer RSKkNN queries efficiently; we propose a hybrid index tree;called IUR-tree (Intersection-Union R-tree) that effectively combines location proximity withtextual similarity. Subsequently; we design a branch-and-bound search algorithm based …,ACM Transactions on Database Systems (TODS),2014,26
Hmsearch: An efficient hamming distance query processing algorithm,Xiaoyang Zhang; Jianbin Qin; Wei Wang; Yifang Sun; Jiaheng Lu,Abstract Hamming distance measures the number of dimensions where two vectors havedifferent values. In applications such as pattern recognition; information retrieval; anddatabases; we often need to efficiently process Hamming distance query; which retrievesvectors in a database that have no more than k Hamming distance from a given queryvector. Existing work on efficient Hamming distance query processing has some of thefollowing limitations; such as only applicable to tiny error threshold values; unable to dealwith vectors where the value domain is large; or unable to attain robust performance in thepresence of data skew. In this paper; we propose HmSearch; an efficient query processingmethod for Hamming distance queries that addresses the above-mentioned limitations. Ourmethod is based on improved enumeration-based signatures; enhanced filtering; and the …,Proceedings of the 25th International Conference on Scientific and Statistical Database Management,2013,23
Efficient algorithm for computing link-based similarity in real world networks,Yuanzhe Cai; Gao Cong; Xu Jia; Hongyan Liu; Jun He; Jiaheng Lu; Xiaoyong Du,Similarity calculation has many applications; such as information retrieval; and collaborativefiltering; among many others. It has been shown that link-based similarity measure; such asSimRank; is very effective in characterizing the object similarities in networks; such as theWeb; by exploiting the object-to-object relationship. Unfortunately; it is prohibitivelyexpensive to compute the link-based similarity in a relatively large graph. In this paper;based on the observation that link-based similarity scores of real world graphs follow thepower-law distribution; we propose a new approximate algorithm; namely Power-SimRank;with guaranteed error bound to efficiently compute link-based similarity measure. We alsoprove the convergence of the proposed algorithm. Extensive experiments conducted on realworld datasets and synthetic datasets show that the proposed algorithm outperforms …,Data Mining; 2009. ICDM'09. Ninth IEEE International Conference on,2009,23
分布式系统及云计算概论,陆嘉恒， 文继荣， 毛新生,*,*,2011,22
alpha decay of Th-217 populating excited states in Ra-213,K Nishio; H Ikezoe; S Mitsuoka; J Lu,*,Physical Review C,2000,19
A study of SQL-on-hadoop systems,Yueguo Chen; Xiongpai Qin; Haoqiong Bian; Jun Chen; Zhaoan Dong; Xiaoyong Du; Yanjie Gao; Dehai Liu; Jiaheng Lu; Huijie Zhang,Abstract Hadoop is now the de facto standard for storing and processing big data; not onlyfor unstructured data but also for some structured data. As a result; providing SQL analysisfunctionality to the big data resided in HDFS becomes more and more important. Hive is apioneer system that support SQL-like analysis to the data in HDFS. However; theperformance of Hive is not satisfactory for many applications. This leads to the quickemergence of dozens of SQL-on-Hadoop systems that try to support interactive SQL queryprocessing to the data stored in HDFS. This paper firstly gives a brief technical review onrecent efforts of SQL-on-Hadoop systems. Then we test and compare the performance of fiverepresentative SQL-on-Hadoop systems; based on some queries selected or derived fromthe TPC-DS benchmark. According to the results; we show that such systems can benefit …,Workshop on Big Data Benchmarks; Performance Optimization; and Emerging Hardware,2014,18
从数据管理视角看大数据挑战,周晓方， 陆嘉恒， 李翠平， 杜小勇,*,中国计算机学会通讯,2012,17
Energy efficiency for MapReduce workloads: An in-depth study,Boliang Feng; Jiaheng Lu; Yongluan Zhou; Nan Yang,Abstract Energy efficiency has emerged as a crucial optimization goal in data centers.MapReduce has become a popular and even fashionable distributed processing model forparallel computing in data centers. Hadoop is an open-source implementation ofMapReduce; which is widely used for short jobs requiring low response time. In this paper;we conduct an in-depth study of the energy efficiency for MapReduce workloads. We identifyfour factors that affect the energy efficiency of MapReduce. In particular; we makeexperiments over four typical MapReduce workloads that represent different kinds ofapplication scenarios and measure the energy consumption with varied cluster parameters.Our key finding is that with well-tuned system parameters and adaptive resourceconfigurations; MapReduce cluster can achieve both performance improvement and …,Proceedings of the Twenty-Third Australasian Database Conference-Volume 124,2012,16
From structure-based to semantics-based: Towards effective XML keyword search,Thuy Ngoc Le; Huayu Wu; Tok Wang Ling; Luochen Li; Jiaheng Lu,Abstract Existing XML keyword search approaches can be categorized into tree-basedsearch and graph-based search. Both of them are structure-based search because theymainly rely on the exploration of the structural features of document. Those structure-basedapproaches cannot fully exploit hidden semantics in XML document. This causes seriousproblems in processing some class of keyword queries. In this paper; we thoroughly pointout mismatches between answers returned by structure-based search and the expectationsof common users. Through detailed analysis of these mismatches; we show the importanceof semantics in XML keyword search and propose a semantics-based approach to processXML keyword queries. Particularly; we propose to use Object Relationship (OR) graph;which fully captures semantics of object; relationship and attribute; to represent XML …,International Conference on Conceptual Modeling,2013,15
Bucket‐based authentication for outsourced databases,Jieping Wang; Xiaoyong Du; Jiaheng Lu; Wei Lu,Abstract When outsourced database owners delegate their data to service providers; whichmight be untrusted or compromised; two issues of data security emerge; including dataconfidentiality and data integrity. Most of the previous research focuses on only one issueand the solution to integrate two approaches is expensive. In this paper; we propose bucket-based authentication that can keep data confidentiality and meanwhile guarantee dataintegrity. Specifically; we first propose a new approach based on bucket checksum; whichcan be used for the authentication of multiple tuples at one time. We then apply bucketchecksum to the authentication of various types of queries in static scenarios; includingrange queries and aggregation queries; such as MIN; MAX; SUM and COUNT queries. Inthe authentication of aggregation queries; several pruning rules have been proposed to …,Concurrency and Computation: Practice and Experience,2010,15
Efficient algorithms for approximate member extraction using signature-based inverted lists,Jiaheng Lu; Jialong Han; Xiaofeng Meng,Abstract We study the problem of approximate membership extraction (AME); ie; how toefficiently extract substrings in a text document that approximately match some strings in agiven dictionary. This problem is important in a variety of applications such as named entityrecognition and data cleaning. We solve this problem in two steps. In the first step; for eachsubstring in the text; we filter away the strings in the dictionary that are very different from thesubstring. In the second step; each candidate string is verified to decide whether thesubstring should be extracted. We develop an incremental algorithm using signature-basedinverted lists to minimize the duplicate list-scan operations of overlapping windows in thetext. Our experimental study of the proposed algorithms on real and synthetic datasetsshowed that our solutions significantly outperform existing methods in the literature.,Proceedings of the 18th ACM conference on Information and knowledge management,2009,15
Effective keyword search in XML documents based on MIU,Jianjun Xu; Jiaheng Lu; Wei Wang; Baile Shi,Abstract Keyword search is an effective approach for most users to search for informationbecause they do not need to learn complex query languages or the underlying structures ofthe data. This paper focuses on effective keyword search in XML documents which aremodeled as labeled trees. We first analyze the problems caused by the refinement of resultgranularity during XML keyword search and then propose to partition an XML document intoXML fragments with the granularity of Minimal Information Unit (MIU). Furthermore; wepresent efficient index structures and the corresponding search algorithms. Finally; ourcomprehensive experiments demonstrate the benefits of our method over previouslyproposed methods in terms of result quality; index size and execution time.,International Conference on Database Systems for Advanced Applications,2006,15
Optimal top-k generation of attribute combinations based on ranked lists,Jiaheng Lu; Pierre Senellart; Chunbin Lin; Xiaoyong Du; Shan Wang; Xinxing Chen,Abstract In this work; we study a novel query type; called top-k; m queries. Suppose we aregiven a set of groups and each group contains a set of attributes; each of which isassociated with a ranked list of tuples; with ID and score. All lists are ranked in decreasingorder of the scores of tuples. We are interested in finding the best combinations of attributes;each combination involving one attribute from each group. More specifically; we want the top-k combinations of attributes according to the corresponding top-m tuples with matching IDs.This problem has a wide range of applications from databases to search engines ontraditional and non-traditional types of data (relational data; XML; text; etc.). We show that astraightforward extension of an optimal top-k algorithm; the Threshold Algorithm (TA); hasshortcomings in solving the km problem; as it needs to compute a large number of …,Proceedings of the 2012 ACM SIGMOD International Conference on Management of Data,2012,14
Information extraction from microblogs: A survey,Wen Hua; Dat T Huynh; Saeid Hosseini; Jiaheng Lu; Xiaofang Zhou,Abstract Microblogging (eg Twitter; http://twitter. com); as a new form of onlinecommunication in which users talk about their daily lives; publish opinions or shareinformation by short posts; has become one of the most popular social networking servicestoday; which makes it potentially a large information base attracting increasing attention ofresearchers in the field of knowledge discovery and data mining. In this paper; we conduct asurvey about existing research on information extraction from microblogging services andtheir applications; and then address some promising future works. We specifically analyzethree types of information: personal; social and travel information.,International Journal of Software and Informatics,2012,14
HIGH EFFICIENT EXTRACTION OF MC2N (M,BINGBING LIU; ZIYANG LIU; WENGUO XU; HAIBIN YANG; CHUNXIAO GAO; JINSHAN LU; SHUYING LIU; GUANGTIAN ZOU,Abstract A high pressure and high temperature method was used to efficiently extract on alarge scale metallofullerenes M@ C 2n (M= La; Ce) in a closed vessel under argon gasprotection. With pyridine as the HPHT solvent; about 60–80% M@ C 2n and 30–55% M@ C82 can be enriched; M@ C 82 is dissolved selectively; With toluene as the HPHT solvent;M@ C 2n can also be efficiently extracted; especially M@ C 74; which is a new member ofM@ C 2n soluble species.,Tetrahedron,1998,14
大数据挑战与 NoSQL 数据库技术,陆嘉恒,*,北京: 电子工业出版社,2013,13
Towards maximum independent sets on massive graphs,Yu Liu; Jiaheng Lu; Hua Yang; Xiaokui Xiao; Zhewei Wei,Abstract Maximum independent set (MIS) is a fundamental problem in graph theory and ithas important applications in many areas such as social network analysis; graphicalinformation systems and coding theory. The problem is NP-hard; and there has beennumerous studies on its approximate solutions. While successful to a certain degree; theexisting methods require memory space at least linear in the size of the input graph. Thishas become a serious concern in view of the massive volume of today's fast-growing graphs.In this paper; we study the MIS problem under the semi-external setting; which assumes thatthe main memory can accommodate all vertices of the graph but not all edges. We present agreedy algorithm and a general vertex-swap framework; which swaps vertices toincrementally increase the size of independent sets. Our solutions require only few …,Proceedings of the VLDB Endowment,2015,12
FlexTable: using a dynamic relation model to store RDF data,Yan Wang; Xiaoyong Du; Jiaheng Lu; Xiaofang Wang,Abstract Efficient management of RDF data is an important factor in realizing the SemanticWeb vision. The existing approaches store RDF data based on triples instead of a relationmodel. In this paper; we propose a system called FlexTable; where all triples of an instanceare coalesced into one tuple and all tuples are stored in relation schemas. The maintechnical challenge is how to partition all the triples into several tables; ie it is needed todesign an effective and dynamic schema structure to store RDF triples. To deal with thischallenge; we firstly propose a schema evolution method called LBA; which is based on alattice structure to automatically evolve schemas while new triples are inserted. Secondly;we propose a novel page layout with an interpreted storage format to reduce the physicaladjustment cost during schema evolution. Finally we perform comprehensive experiments …,International Conference on Database Systems for Advanced Applications,2010,12
Xreal: an interactive xml keyword searching,Zhifeng Bao; Jiaheng Lu; Tok Wang Ling,Abstract Keyword search over XML data usually brings irrelevant results especially when thekeywords in a user query have ambiguities. We demonstrate a statistic-based approach toidentify the search targets and constraints of a user query in the presence of keywordambiguities; and come out a relevance oriented result ranking scheme called XML TF* IDF.Since the search intention of a same query may even vary from user to user; we provide aninteractive search strategy by allowing user to simply tick their desired search targets from alist of suggestions recommended by the search engine. In this way; we can acquire moreprecise results and also take the burden of learning the schema of XML data off users.,Proceedings of the 19th ACM international conference on Information and knowledge management,2010,11
SemanticTwig: a semantic approach to optimize XML query processing,Zhifeng Bao; Tok Wang Ling; Jiaheng Lu; Bo Chen,Abstract Twig pattern matching (TPM) is the core operation of XML query processing.Existing approaches rely on either efficient data structures or novel labeling/indexingschemes to reduce the intermediate result size; but none of them takes into account the richsemantic information resided in XML document and the query issued. Moreover; in order tofulfill the semantics of the XPath/XQuery query; most of them require costly post processingto eliminate redundant matches and group matching results. In this paper; we propose aninnovative semantics-aware query optimization approach to overcome these limitations. Inparticular; we exploit the functional dependency derived from the given semantic informationto stop query processing early; we distinguish the output and predicate nodes of a query;then propose a query breakup technique and build a query plan; such that for each …,International Conference on Database Systems for Advanced Applications,2008,11
