Identification of a novel coronavirus in patients with severe acute respiratory syndrome,Christian Drosten; Stephan Günther; Wolfgang Preiser; Sylvie Van Der Werf; Hans-Reinhard Brodt; Stephan Becker; Holger Rabenau; Marcus Panning; Larissa Kolesnikova; Ron AM Fouchier; Annemarie Berger; Ana-Maria Burguière; Jindrich Cinatl; Markus Eickmann; Nicolas Escriou; Klaus Grywna; Stefanie Kramme; Jean-Claude Manuguerra; Stefanie Müller; Volker Rickerts; Martin Stürmer; Simon Vieth; Hans-Dieter Klenk; Albert DME Osterhaus; Herbert Schmitz; Hans Wilhelm Doerr,Background Abstract The severe acute respiratory syndrome (SARS) has recently beenidentified as a new clinical entity. SARS is thought to be caused by an unknown infectiousagent. Methods Clinical specimens from patients with SARS were searched for unknownviruses with the use of cell cultures and molecular techniques. Results A novel coronaviruswas identified in patients with SARS. The virus was isolated in cell culture; and a sequence300 nucleotides in length was obtained by a polymerase-chain-reaction (PCR)–basedrandom-amplification procedure. Genetic characterization indicated that the virus is onlydistantly related to known coronaviruses (identical in 50 to 60 percent of the nucleotidesequence). On the basis of the obtained sequence; conventional and real-time PCR assaysfor specific and sensitive detection of the novel virus were established. Virus was …,New England journal of medicine,2003,3198
Hsp70 chaperones as modulators of prion life cycle: novel effects of Ssa and Ssb on the Saccharomyces cerevisiae prion [PSI+],Kim D Allen; Renee D Wegrzyn; Tatiana A Chernova; Susanne Müller; Gary P Newnam; Peggy A Winslett; Kristin B Wittich; Keith D Wilkinson; Yury O Chernoff,[PSI+] is a prion isoform of the yeast release factor Sup35. In some assays; the cytosolicchaperones Ssa1 and Ssb1/2 of the Hsp70 family were previously shown to exhibit “pro-[PSI+]” and “anti-[PSI+]” effects; respectively. Here; it is demonstrated for the first time thatexcess Ssa1 increases de novo formation of [PSI+] and that pro-[PSI+] effects of Ssa1 areshared by all other Ssa proteins. Experiments with chimeric constructs show that the peptide-binding domain is a major determinant of differences in the effects of Ssa and Ssb proteinson [PSI+]. Surprisingly; overproduction of either chaperone increases loss of [PSI+] whenSup35 is simultaneously overproduced. Excess Ssa increases both the average size ofprion polymers and the proportion of monomeric Sup35 protein. Both in vivo and in vitroexperiments uncover direct physical interactions between Sup35 and Hsp70 proteins …,Genetics,2005,138
Simultaneous genomic overexpression of seven glycolytic enzymes in the yeast Saccharomyces cerevisiae,Jörg Hauf; Friedrich K Zimmermann; Susanne Müller,Abstract Fusions of the glycolytic genes TPI1; PGK1; ENO1; PYK1; PDC1; and ADH1 withthe lacZ reporter gene of Escherichia coli and a lacZ fusion construct of a 390-bp fragmentfrom the promoter of the HXT7 gene were assayed for β-galactosidase activity. The glycolyticpromoters were induced after addition of glucose to ethanol-grown cells; whereas the HXT7promoter fragment showed a constitutive β-galactosidase expression on both carbonsources. The genes coding for the seven enzymes of lower glycolysis Tdh; Pgk; Gpm; Eno;Pyk; Pdc; and Adh were simultaneously put under the control of the same strong promoter; atruncated HXT7 promoter that is constitutively active on ethanol as well as on glucosemedium. Genomic expression of the glycolytic genes under the control of this promoter;resulted in an at least 2-fold overexpression. The gene MSG5 was isolated; coding for a …,Enzyme and microbial technology,2000,133
Broad RNA interference–mediated antiviral immunity and virus-specific inducible responses in Drosophila,Cordula Kemp; Stefanie Mueller; Akira Goto; Vincent Barbier; Simona Paro; François Bonnay; Catherine Dostert; Laurent Troxler; Charles Hetru; Carine Meignin; Sébastien Pfeffer; Jules A Hoffmann; Jean-Luc Imler,The fruit fly Drosophila melanogaster is a good model to unravel the molecular mechanismsof innate immunity and has led to some important discoveries about the sensing andsignaling of microbial infections. The response of Drosophila to virus infections remainspoorly characterized and appears to involve two facets. On the one hand; RNA interferenceinvolves the recognition and processing of dsRNA into small interfering RNAs by the hostRNase Dicer-2 (Dcr-2); whereas; on the other hand; an inducible response controlled by theevolutionarily conserved JAK-STAT pathway contributes to the antiviral host defense. Toclarify the contribution of the small interfering RNA and JAK-STAT pathways to the control ofviral infections; we have compared the resistance of flies wild-type and mutant for Dcr-2 orthe JAK kinase Hopscotch to infections by seven RNA or DNA viruses belonging to …,The Journal of Immunology,2013,117
Loss of nectin-2 at Sertoli-spermatid junctions leads to male infertility and correlates with severe spermatozoan head and midpiece malformation; impaired binding t...,Steffen Mueller; Thomas A Rosenquist; Yoshimi Takai; Richard A Bronson; Eckard Wimmer,Abstract The members of the nectin/CD155 gene family represent a growing class of novelcell adhesion molecules of the immunoglobulin superfamily. In the present study; wedescribe the generation of a mouse line lacking a functional nectin-2 gene (nectin-2LacZ/LacZ) and analyze the resulting male-specific infertility phenotype. Although nectin-2LacZ/LacZ males produced normal amounts of motile spermatozoa; scanning electronmicroscopy revealed severe malformations of the spermatozoan head and midpiece.Besides a 4-fold reduction in migration of nectin-2LacZ/LacZ spermatozoa to the oviducts; invitro binding to zona-intact mouse oocytes was reduced 6-fold. On the other hand; nectin-2LacZ/LacZ spermatozoa bound to zona-free hamster oocytes at near-wild type levels but;remarkably; failed to penetrate. In addition to the previously reported expression of nectin …,Biology of reproduction,2003,117
Pyrite-induced hydroxyl radical formation and its effect on nucleic acids,Corey A Cohn; Steffen Mueller; Eckard Wimmer; Nicole Leifer; Steven Greenbaum; Daniel R Strongin; Martin AA Schoonen,Abstract Background Pyrite; the most abundant metal sulphide on Earth; is known tospontaneously form hydrogen peroxide when exposed to water. In this study the hypothesisthat pyrite-induced hydrogen peroxide is transformed to hydroxyl radicals is tested. ResultsUsing a combination of electron spin resonance (ESR) spin-trapping techniques andscavenging reactions involving nucleic acids; the formation of hydroxyl radicals inpyrite/aqueous suspensions is demonstrated. The addition of EDTA to pyrite slurries inhibitsthe hydrogen peroxide-to-hydroxyl radical conversion; but does not inhibit the formation ofhydrogen peroxide. Given the stability of EDTA chelation with both ferrous and ferric iron;this suggests that the addition of the EDTA prevents the transformation by chelation ofdissolved iron species. Conclusion While the exact mechanism or mechanisms of the …,Geochemical Transactions,2006,116
Synthetic viruses: a new opportunity to understand and prevent viral disease,Eckard Wimmer; Steffen Mueller; Terrence M Tumpey; Jeffery K Taubenberger,Abstract Rapid progress in DNA synthesis and sequencing is spearheading the deliberate;large-scale genetic alteration of organisms. These new advances in DNA manipulation havebeen extended to the level of whole-genome synthesis; as evident from the synthesis ofpoliovirus; from the resurrection of the extinct 1918 strain of influenza virus and of humanendogenous retroviruses and from the restructuring of the phage T7 genome. The largestDNA synthesized so far is the 582;970 base pair genome of Mycoplasma genitalium;although; as yet; this synthetic DNA has not been'booted'to life. As genome synthesis isindependent of a natural template; it allows modification of the structure and function of avirus's genetic information to an extent that was hitherto impossible. The common goal of thisnew strategy is to further our understanding of an organism's properties; particularly its …,*,2009,114
Cell adhesion and proliferation on RGD-modified recombinant spider silk proteins,Stefanie Wohlrab; Susanne Müller; Andreas Schmidt; Stefanie Neubauer; Horst Kessler; Aldo Leal-Egaña; Thomas Scheibel,Abstract Due to the biocompatibility and biodegradability as well as the mechanicalproperties of the fibers; spider silk has become an attractive material for researchersregarding biomedical applications. In this study; the engineered recombinant spider silkprotein eADF4 (C16) was modified with the integrin recognition sequence RGD by a genetic(fusing the amino acid sequence GRGDSPG) as well as a chemical approach (using thecyclic peptide c (RGDfK)). Both modified silk proteins were processed into films; andthereafter characterized concerning secondary structure; water contact angle and surfaceroughness. No influence of the RGD-modifications on any of these film properties could bedetected. However; attachment and proliferation of BALB/3T3 mouse fibroblasts weresignificantly improved on films made of the RGD-modified silk proteins. Interestingly; the …,Biomaterials,2012,109
Inhibition of filovirus replication by the zinc finger antiviral protein,Stefanie Müller; Peggy Möller; Matthew J Bick; Stephanie Wurr; Stephan Becker; Stephan Günther; Beate M Kümmerer,ABSTRACT The zinc finger antiviral protein (ZAP) was recently shown to inhibit Moloneymurine leukemia virus and Sindbis virus replication. We tested whether ZAP also actsagainst Ebola virus (EBOV) and Marburg virus (MARV). Antiviral effects were observed afterinfection of cells expressing the N-terminal part of ZAP fused to the product of the zeocinresistance gene (NZAP-Zeo) as well as after infection of cells inducibly expressing full-length ZAP. EBOV was inhibited by up to 4 log units; whereas MARV was inhibited between1 to 2 log units. The activity of ZAP was dependent on the integrity of the second and fourthzinc finger motif; as tested with cell lines expressing NZAP-Zeo mutants. Heterologousexpression of EBOV-and MARV-specific sequences fused to a reporter gene suggest thatZAP specifically targets L gene sequences. The activity of NZAP-Zeo in this assay was …,Journal of virology,2007,106
Electronically reconfigurable reflectarrays with nematic liquid crystals,A Moessinger; R Marin; S Mueller; J Freese; R Jakoby,The realisation and characterisation of an electronically reconfigurable 35 GHz reflectarray;which is able to steer the main beam continuously between− 20 and+ 20°; is reported. Thetunable unit cells of the reflectarray are filled with nematic liquid crystal; a material that isable to change its effective permittivity as a result of an applied control voltage of up to 15 V.First; the unit cell and its performance; and then the setup of the reconfigurable reflectarrayand its measured far-field patterns; are described.,Electronics Letters,2006,104
Potentiometric sensors based on surface molecular imprinting: Detection of cancer biomarkers and viruses,Yantian Wang; Zhiquan Zhang; Vijay Jain; Jinju Yi; Steffen Mueller; Jonathan Sokolov; Zhenxian Liu; Kalle Levon; Basil Rigas; Miriam H Rafailovich,Abstract The continuing discovery of cancer biomarkers necessitates improved methods fortheir detection. Molecular imprinting using artificial materials provides an alternative to thedetection of a wide range of substances. We applied surface molecular imprinting using self-assembled monolayers to design sensing elements for the detection of cancer biomarkersand other proteins. These elements consist of a gold-coated silicon chip onto which hydroxyl-terminated alkanethiol molecules and template biomolecule are co-adsorbed; where thethiol molecules are chemically bound to the metal substrate and self-assembled into highlyordered monolayers; the biomolecules can be removed; creating the foot-print cavities in themonolayer matrix for this kind of template molecules. Re-adsorption of the biomolecules tothe sensing chip changes its potential; which can be measured potentiometrically. We …,sensors and actuators B: Chemical,2010,100
Immunofluorescence analysis of poliovirus receptor expression in Peyer’s patches of humans; primates; and CD155 transgenic mice: implications for poliovirus infec...,Akiko Iwasaki; Reinhold Welker; Steffen Mueller; Melissa Linehan; Akio Nomoto; Eckard Wimmer,Abstract Oral transmission of poliovirus is restricted to humans and certain primate species.The expression of the human poliovirus receptor (CD155) within gastrointestinal-associatedlymphoid tissues from species that are susceptible (human) or resistant (rhesus macaqueand CD155 transgenic [Tg] mice) to oral poliovirus infection was examined. Sensitivity tooral infection correlated with CD155 expression not only in the intestinal epithelium;including the follicle-associated epithelium (FAE) and microfold (M) cells of Peyer's patches;but also in germinal centers within the Peyer's patches. CD155 expression in rhesusmacaques was reduced in FAE and; significantly; absent in germinal centers. In CD155 Tgmice; CD155 expression was barely observable in the intestinal epithelium; absent ingerminal centers; but prominent in the tunica muscularis. This suggests that productive …,The Journal of infectious diseases,2002,98
RNAi-mediated immunity provides strong protection against the negative-strand RNA vesicular stomatitis virus in Drosophila,Stefanie Mueller; Valérie Gausson; Nicolas Vodovar; Safia Deddouche; Laurent Troxler; Jonathan Perot; Sébastien Pfeffer; Jules A Hoffmann; Maria-Carla Saleh; Jean-Luc Imler,Abstract Activation of innate antiviral responses in multicellular organisms relies on therecognition of structural differences between viral and cellular RNAs. Double-stranded (ds)RNA; produced during viral replication; is a well-known activator of antiviral defenses andtriggers interferon production in vertebrates and RNAi in invertebrates and plants. Previouswork in mammalian cells indicates that negative-strand RNA viruses do not appear togenerate dsRNA; and that activation of innate immunity is triggered by the recognition of theuncapped 5′ ends of viral RNA. This finding raises the question whether antiviral RNAi;which is triggered by the presence of dsRNA in insects; represents an effective host-defensemechanism against negative-strand RNA viruses. Here; we show that the negative-strandRNA virus vesicular stomatitis virus (VSV) does not produce easily detectable amounts of …,Proceedings of the National Academy of Sciences,2010,95
Histone deacetylase inhibitors impair the elimination of HIV-infected cells by cytotoxic T-lymphocytes,Richard Brad Jones; Rachel O'Connor; Stefanie Mueller; Maria Foley; Gregory L Szeto; Dan Karel; Mathias Lichterfeld; Colin Kovacs; Mario A Ostrowski; Alicja Trocha; Darrell J Irvine; Bruce D Walker,Resting memory CD4+ T-cells harboring latent HIV proviruses represent a critical barrier toviral eradication. Histone deacetylase inhibitors (HDACis); such as suberanilohydroxamicacid (SAHA); romidepsin; and panobinostat have been shown to induce HIV expression inthese resting cells. Recently; it has been demonstrated that the low levels of viral geneexpression induced by a candidate HDACi may be insufficient to cause the death of infectedcells by viral cytopathic effects; necessitating their elimination by immune effectors; such ascytotoxic T-lymphocytes (CTL). Here; we study the impact of three HDACis in clinicaldevelopment on T-cell effector functions. We report two modes of HDACi-induced functionalimpairment: i) the rapid suppression of cytokine production from viable T-cells induced by allthree HDACis ii) the selective death of activated T-cells occurring at later time-points …,PLoS pathogens,2014,92
ACE inhibitor versus β-blocker for the treatment of hypertension in renal allograft recipients,Martin Hausberg; Michael Barenbrock; Helge Hohage; Susanne Müller; Stefan Heidenreich; Karl-Heinz Rahn,Abstract—Angiotensin-converting enzyme (ACE) inhibitors have been shown to slow theprogression of chronic renal failure. However; the value of ACE inhibitors for the treatment ofhypertension in renal allograft recipients has not been established. ACE inhibitors dilate theefferent glomerular arteriole; an effect that may aggravate the decrease in glomerularfiltration rate resulting from cyclosporine-induced vasoconstriction at the afferent glomerulararteriole. Therefore; the goal of this double-blind; randomized study was to compare theantihypertensive and renal effects of the ACE inhibitor quinapril with those of the β-blockeratenolol in renal allograft recipients in whom hypertension developed 6 to 12 weeks aftertransplantation. All patients received cyclosporine as an immunosuppressant and had stablegraft function (serum creatinine concentration;< 220 μmol/L) at entry into the study …,Hypertension,1999,92
rBCG induces strong antigen-specific T cell responses in rhesus macaques in a prime-boost setting with an adenovirus 35 tuberculosis vaccine vector,Isabelle Magalhaes; Donata R Sizemore; Raija K Ahmed; Stefanie Mueller; Lena Wehlin; Charles Scanga; Frank Weichold; Giulia Schirru; Maria Grazia Pau; Jaap Goudsmit; Sharon Kühlmann-Berenzon; Mats Spångberg; Jan Andersson; Hans Gaines; Rigmor Thorstensson; Yasir AW Skeiky; Jerry Sadoff; Markus Maeurer,Background BCG vaccination; combined with adenoviral-delivered boosts; represents areasonable strategy to augment; broaden and prolong immune protection againsttuberculosis (TB). We tested BCG (SSI1331)(in 6 animals; delivered intradermally) and arecombinant (rBCG) AFRO-1 expressing perfringolysin (in 6 animals) followed by two boosts(delivered intramuscullary) with non-replicating adenovirus 35 (rAd35) expressing a fusionprotein composed of Ag85A; Ag85B and TB10. 4; for the capacity to induce antigen-specificcellular immune responses in rhesus macaques (Macaca mulatta). Control animals receiveddiluent (3 animals). Methods and Findings Cellular immune responses were analyzedlongitudinally (12 blood draws for each animal) using intracellular cytokine staining (TNF-alpha; IL-2 and IFN-gamma); T cell proliferation was measured in CD4+; CD8alpha/beta+ …,PloS one,2008,91
Replicon system for Lassa virus,Meike Hass; Uta Gölnitz; Stefanie Müller; Beate Becker-Ziaja; Stephan Günther,ABSTRACT Lassa virus is endemic to West Africa and causes hemorrhagic fever in humans.To facilitate the functional analysis of this virus; a replicon system was developed based onLassa virus strain AV. Genomic and antigenomic minigenomes (MG) were constructedconsisting of the intergenic region of S RNA and a reporter gene (Renilla luciferase) inantisense orientation; flanked by the 5′ and 3′ untranslated regions of S RNA. MGs wereexpressed under the control of the T7 promoter. Nucleoprotein (NP); L protein; and Z proteinwere expressed from plasmids containing the T7 promoter and internal ribosomal entry site.Transfection of cells stably expressing T7 RNA polymerase (BSR T7/5) with MG in the formof DNA or RNA and plasmids for the expression of NP and L protein resulted in high levelsof Renilla luciferase expression. The replicon system was optimized with respect to the …,Journal of virology,2004,91
Recruitment of nectin-3 to cell-cell junctions through trans-heterophilic interaction with CD155; a vitronectin and poliovirus receptor that localizes to αvβ3 integrin-co...,Steffen Mueller; Eckard Wimmer,Abstract Nectins present a novel class of Ig superfamily adhesion molecules that;cooperatively with cadherins; establish and maintain cell-cell adherens junctions. CD155;the cognate receptor for poliovirus; undergoes cell-matrix contacts by binding to theextracellular matrix protein vitronectin. The significant homology of nectins with CD155prompted us to investigate the possibility of their interaction. We determined that nectin-3binds CD155 and its putative mouse homologue Tage4 in cell-based ligand binding assays.Coculture of nectin-3-and CD155-expressing HeLa cells led to CD155-dependentrecruitment of nectin-3 to cell-cell contacts. In a heterologous coculture system with CD155expressing mouse neuroblastoma cells; HeLa cell-expressed nectin-3 was recruited tocontact sites with CD155 bearing neurites. CD155 and nectin-3 colocalized to epithelial …,Journal of Biological Chemistry,2003,91
Simultaneous overexpression of enzymes of the lower part of glycolysis can enhance the fermentative capacity of Saccharomyces cerevisiae,Hans Peter Smits; Jörg Hauf; Susanne Müller; Timothy J Hobley; Friedrich K Zimmermann; Bärbel Hahn‐Hägerdal; Jens Nielsen; Lisbeth Olsson,Abstract Recombinant S. cerevisiae strains; with elevated levels of the enzymes of lowerglycolysis (glyceraldehyde-3-phosphate dehydrogenase; phosphoglycerate mutase;phosphoglycerate kinase; enolase; pyruvate kinase; pyruvate decarboxylase and alcoholdehydrogenase) were physiologically characterized. During growth on glucose the enzymelevels in the recombinant strains (YHM4 and YHM7) were 1.1–3.4-fold higher than in thehost strain (CEN. PK. K45). The recombinant strains were grown in aerobic or anaerobicbatch cultures on glucose or a mixture of glucose and galactose. The specific ethanolproduction rates in the recombinant strains were the same as for the host strain and thephysiological behaviour of the recombinant strains and the host strain was similar. When thecellular demand for ATP was increased by means of glucose pulses (final concentrations …,Yeast,2000,88
