On indexing mobile objects,George Kollios; Dimitrios Gunopulos; Vassilis J Tsotras,Abstract We show how to index mobile objects in one and two dimensions using efficientdynamic external memory data structures. The problem is motivated by real life applicationsin traffic monitoring; intelligent navigation and mobile communications domains. For the l-dimensional case; we give (i) a dynamic; external memory algorithm with guaranteed worstcase performance and linear space and (ii) a practical approximation algorithm also in thedynamic; external memory setting; which has linear space and expected logarithmic querytime. We also give an algorithm with guaranteed logarithmic query time for a restrictedversion of the problem. We present extensions of our techniques to two dimensions. Inaddition we give a lower bound on the number of I/O's needed to answer the d-dimensionalproblem. Initial experimental results and comparisons to traditional indexing approaches …,Proceedings of the eighteenth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,1999,485
Indexing animated objects using spatiotemporal access methods,George Kollios; Vassilis J.  Tsotras; Dimitrios Gunopulos; Alex Delis; Marios Hadjieleftheriou,We present an approach for indexing animated objects and efficiently answering queriesabout their position in time and space. In particular; we consider an animated movie as aspatiotemporal evolution. A movie is viewed as an ordered sequence of frames; where eachframe is a 2D space occupied by the objects that appear in that frame. The queries ofinterest are range queries of the form;" find the objects that appear in area S between framesf/sub i/and f/sub j//sup"/as well as nearest neighbor queries such as;" find the q nearestobjects to a given position A between frames f/sub i/and f/sub j//sup"/. The straightforwardapproach to index such objects considers the frame sequence as another dimension anduses a 3D access method (such as an R-Tree or its variants). This; however; assigns long"lifetime" intervals to objects that appear through many consecutive frames. Long intervals …,IEEE Transactions on Knowledge and Data Engineering,2001,127
Asterix: towards a scalable; semistructured data platform for evolving-world models,Alexander Behm; Vinayak R Borkar; Michael J Carey; Raman Grover; Chen Li; Nicola Onose; Rares Vernica; Alin Deutsch; Yannis Papakonstantinou; Vassilis J Tsotras,Abstract ASTERIX is a new data-intensive storage and computing platform project spanningUC Irvine; UC Riverside; and UC San Diego. In this paper we provide an overview of theASTERIX project; starting with its main goal—the storage and analysis of data pertaining toevolving-world models. We describe the requirements and associated challenges; andexplain how the project is addressing them. We provide a technical overview of ASTERIX;covering its architecture; its user model for data and queries; and its approach to scalablequery processing and data management. ASTERIX utilizes a new scalable runtimecomputational platform called Hyracks that is also discussed at an overview level; we haverecently made Hyracks available in open source for use by other interested parties. We alsorelate our work on ASTERIX to the current state of the art and describe the research …,Distributed and Parallel Databases,2011,126
Efficient schemes for managing multiversionXML documents,S-Y Chien; Vassilis J Tsotras; Carlo Zaniolo,Abstract Multiversion support for XML documents is needed in many critical applications;such as software configuration control; cooperative authoring; web information warehouses;and” e-permanence” of web documents. In this paper; we introduce efficient and robusttechniques for:(i) storing and retrieving;(ii) viewing and exchanging; and (iii) queryingmultiversion XML documents. We first discuss the limitations of traditional version controlmethods; such as RCS and SCCS; and then propose novel techniques that overcome theirlimitations. Initially; we focus on the problem of managing secondary storage efficiently; andintroduce an edit-based versioning scheme that enhances RCS with an effective clusteringpolicy based on the concept of page-usefulness. The new scheme drastically improvesversion retrieval at the expense of a small (linear) space overhead. However; the edit …,The VLDB Journal—The International Journal on Very Large Data Bases,2002,117
Storing and querying multiversion XML documents using durable node numbers,Shu-Yao Chien; Vassilis J Tsotras; Carlo Zaniolo; Donghui Zhang,Managing multiple versions of XML documents represents an important problem for manytraditional applications; such as software configuration control; as well as new ones; such aslink permanence of web documents. Research on managing multiversion XML documentsseeks to provide efficient and robust techniques for storing; retrieving and querying suchdocuments. In this paper we present a novel approach to version management that achievesthese objectives by a scheme based on Durable Node Numbers and timestamps for theelements of XML documents. We first present efficient storage and retrieval techniques formultiversion documents. Then; we explore the indexing and clustering strategies needed toassure efficient support for complex queries on content and on document evolution.,Web Information Systems Engineering; 2001. Proceedings of the Second International Conference on,2001,117
On query result diversification,Marcos R Vieira; Humberto L Razente; Maria CN Barioni; Marios Hadjieleftheriou; Divesh Srivastava; Caetano Traina; Vassilis J Tsotras,In this paper we describe a general framework for evaluation and optimization of methodsfor diversifying query results. In these methods; an initial ranking candidate set produced bya query is used to construct a result set; where elements are ranked with respect torelevance and diversity features; ie; the retrieved elements should be as relevant aspossible to the query; and; at the same time; the result set should be as diverse as possible.While addressing relevance is relatively simple and has been heavily studied; diversity is aharder problem to solve. One major contribution of this paper is that; using the aboveframework; we adapt; implement and evaluate several existing methods for diversifyingquery results. We also propose two new approaches; namely the Greedy with MarginalContribution (GMC) and the Greedy Randomized with Neighborhood Expansion (GNE) …,Data Engineering (ICDE); 2011 IEEE 27th International Conference on,2011,113
Complex spatio-temporal pattern queries,Marios Hadjieleftheriou; George Kollios; Petko Bakalov; Vassilis J Tsotras,Abstract This paper introduces a novel type of query; what we name Spatio-temporal PatternQueries (STP). Such a query specifies a spatiotemporal pattern as a sequence of distinctspatial predicates where the predicate temporal ordering (exact or relative) matters. STPqueries can use various types of spatial predicates (range search; nearest neighbor; etc.)where each such predicate is associated (1) with an exact temporal constraint (a time-instantor a time-interval); or (2) more generally; with a relative order among the other querypredicates. Using traditional spatiotemporal index structures for these types of queries wouldbe either inefficient or not an applicable solution. Alternatively; we propose specializedquery evaluation algorithms for STP queries With Time. We also present a novel indexstructure; suitable for STP queries With Order. Finally; we conduct a comprehensive …,Proceedings of the 31st international conference on Very large data bases,2005,113
Temporal database bibliography update,Vassilis J Tsotras; Anil Kumar,This is the sixth bibliography to appear concerning temporal databases and represents asupplement to the 1993 bibliography by Kline (\An Update of the Temporal DatabaseBibliography;" ACM SIGMOD Record; 22; No. 4; Dec. 1993; pp. 66 {80). Since thesebibliographies are incremental; the earlier bibliographies should also be consulted to ndprevious entries. In addition; the reader should consult the references in the survey article byOzsoyoglu & Snodgrass (\Temporal and Real-Time Databases: A Survey"; IEEE Trans. onKnowledge and Data Engineering; Vol. 7; No. 4; Aug. 1995; pp. 513 {532); since thosereferences are not included here.,Sigmod Record,1996,111
Efficient aggregation over objects with extent,Donghui Zhang; Vassilis J Tsotras; Dimitrios Gunopulos,Abstract We examine the problem of efficiently computing sum/count/avg aggregates overobjects with non-zero extent. Recent work on computing multi-dimensional aggregates hasconcentrated on objects with zero extent (points) on a multi-dimensional grid; or one-dimensional intervals. However; in many spatial and/or spatio-temporal applications objectshave extent in various dimensions; while they can be located anywhere in the applicationspace. The aggregation predicate is typically described by a multi-dimensional box (box-sum aggregation). We examine two variations of the problem. In the simple case an object'svalue contributes to the aggregation result as a whole as long as the object intersects thequery box. More complex is the functional box-sum aggregation introduced in this paper;where objects participate in the aggregation proportionally to the size of their intersection …,Proceedings of the twenty-first ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2002,108
XML document versioning,Shu Yao Chien; Vassilis J Tsotras; Carlo Zaniolo,Abstract Managing multiple versions of XML documents represents an important problem;because of many applications ranging from traditional ones; such as software configurationcontrol; to new ones; such as link permanence of web documents. Research on managingmultiversion XML documents seeks to provide efficient and robust techniques for (i) storingand retrieving;(ii) exchanging; and (iii) querying such documents. In this paper; we first showthat traditional version control methods; such as RCS; and SCCS; fall short from satisfyingthese three requirements; and discuss alternative solutions. First; we enhance RCS with atemporal page clustering policy to achieve objective (i). Then; we discuss a reference-basedversioning scheme that achieves both objectives (i) and (ii) and is also effective atsupporting simple queries. The topic of supporting complex queries; including temporal …,ACM SIGMOD Record,2001,107
On-line discovery of dense areas in spatio-temporal databases,Marios Hadjieleftheriou; George Kollios; Dimitrios Gunopulos; Vassilis J Tsotras,Abstract Moving object databases have received considerable attention recently. Previouswork has concentrated mainly on modeling and indexing problems; as well as queryselectivity estimation. Here we introduce a novel problem; that of addressing density-basedqueries in the spatio-temporal domain. For example:“Find all regions that will contain morethan 500 objects; ten minutes from now”. The user may also be interested in finding the timeperiod (interval) that the query answer remains valid. We formally define a new class ofdensity-based queries and give approximate; on-line techniques that answer themefficiently. Typically the threshold above which a region is considered to be dense is part ofthe query. The difficulty of the problem lies in the fact that the spatial and temporal predicatesare not specified by the query. The techniques we introduce find all candidate dense …,International Symposium on Spatial and Temporal Databases,2003,106
The snapshot index: an I/O-optimal access method for timeslice queries,Vassilis J Tsotras; Nickolas Kangelaris,Abstract We present an access method for timeslice queries that reconstructs a past state s(t) of a time-evolving collection of objects; in O (sol log b n+¦ s (t)¦ b) I/O's; where¦ s (t)¦denotes the size of the collection at time t; n is the total number of changes in the collection'sevolution and b is the size of an I/O transfer. Changes include the addition; deletion orattribute modification of objects; they are assumed to occur in increasing time order andalways affect the most current state of the collection (thus our index supports transaction-time.) The space used is O (nb) while the update processing is constant per change; ie;independent of n. This is the first I/O-optimal access method for this problem using O (nb)space and O (1) updating (in the expected amortized sense due to the use of hashing.) Thisperformance is also achieved for interval intersection temporal queries. An advantage of …,Information Systems,1995,102
Efficient computation of temporal aggregates with range predicates,Donhui Zhang; Alexander Markowetz; Vassilis Tsotras; Dimitrios Gunopulos; Bernhard Seeger,Abstract A temporal aggregation query is an important but costly operation for applicationsthat maintain time-evolving data (data warehouses; temporal databases; etc.). Due to thelarge volume of such data; performance improvements for temporal aggregation queries arecritical. In this paper we examine techniques to compute temporal aggregates that includekey-range predicates (range temporal aggregates). In particular we concentrate on SUM;COUNT and AVG aggregates. This problem is novel; to handle arbitrary key ranges;previous methods would need to keep a separate index for every possible key range. Wepropose an approach based on a new index structure called the Multiversion SB-Tree;which incorporates features from both the SB-Tree and the Multiversion B-Tree; to handlearbitrary key-range temporal SUM; COUNT and AVG queries. We analyze the …,Proceedings of the twentieth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2001,90
Selectivity estimators for multidimensional range queries over real attributes,Dimitrios Gunopulos; George Kollios; Vassilis Tsotras; Carlotta Domeniconi,Abstract. Estimating the selectivity of multidimensional range queries over real valuedattributes has significant applications in data exploration and database query optimization.In this paper; we consider the following problem: given a table of d attributes whose domainis the real numbers and a query that specifies a range in each dimension; find a goodapproximation of the number of records in the table that satisfy the query. The simplestapproach to tackle this problem is to assume that the attributes are independent. Moreaccurate estimators try to capture the joint data distribution of the attributes. In databases;such estimators include the construction of multidimensional histograms; random sampling;or the wavelet transform. In statistics; kernel estimation techniques are being used. Manytraditional approaches assume that attribute values come from discrete; finite domains …,The International Journal on Very Large Data Bases,2005,88
The threshold join algorithm for top-k queries in distributed sensor networks,Demetrios Zeinalipour-Yazti; Zografoula Vagena; Dimitrios Gunopulos; Vana Kalogeraki; V Tsotras; Michail Vlachos; Nick Koudas; Divesh Srivastava,Abstract In this paper we present the Threshold Join Algorithm (TJA); which is an efficientTOP-k query processing algorithm for distributed sensor networks. The objective of a top-kquery is to find the k highest ranked answers to a user defined similarity function. Theevaluation of such a query in a sensor network environment is associated with the transfer ofdata over an extremely expensive communication medium. TJA uses a non-uniformthreshold on the queried attribute in order to minimize the number of tuples that have to betransferred towards the querying node. Additionally; TJA resolves queries in the networkrather than in a centralized fashion; which minimizes even more the consumption ofbandwidth and delay. Our preliminary experimental results; using our trace driven simulator;show that TJA is both practical and efficient.,Proceedings of the 2nd international workshop on Data management for sensor networks,2005,87
AsterixDB: A scalable; open source BDMS,Sattam Alsubaiee; Yasser Altowim; Hotham Altwaijry; Alexander Behm; Vinayak Borkar; Yingyi Bu; Michael Carey; Inci Cetindil; Madhusudan Cheelangi; Khurram Faraaz; Eugenia Gabrielova; Raman Grover; Zachary Heilbron; Young-Seok Kim; Chen Li; Guangqiang Li; Ji Mahn Ok; Nicola Onose; Pouria Pirzadeh; Vassilis Tsotras; Rares Vernica; Jian Wen; Till Westmann,Abstract AsterixDB is a new; full-function BDMS (Big Data Management System) with afeature set that distinguishes it from other platforms in today's open source Big Dataecosystem. Its features make it well-suited to applications like web data warehousing; socialdata storage and analysis; and other use cases related to Big Data. AsterixDB has a flexibleNoSQL style data model; a query language that supports a wide range of queries; a scalableruntime; partitioned; LSM-based data storage and indexing (including B+-tree; R-tree; andtext indexes); support for external as well as natively stored data; a rich set of built-in types;support for fuzzy; spatial; and temporal types and queries; a built-in notion of data feeds foringestion of data; and transaction support akin to that of a NoSQL store. Development ofAsterixDB began in 2009 and led to a mid-2013 initial open source release. This paper is …,Proceedings of the VLDB Endowment,2014,85
Indexing spatiotemporal archives,Marios Hadjieleftheriou; George Kollios; Vassilis J Tsotras; Dimitrios Gunopulos,Abstract Spatiotemporal objects–that is; objects that evolve over time–appear in manyapplications. Due to the nature of such applications; storing the evolution of objects throughtime in order to answer historical queries (queries that refer to past states of the evolution)requires a very large specialized database; what is termed in this article a spatiotemporalarchive. Efficient processing of historical queries on spatiotemporal archives requiresequally sophisticated indexing schemes. Typical spatiotemporal indexing techniquesrepresent the objects using minimum bounding regions (MBR) extended with a temporaldimension; which are then indexed using traditional multidimensional index structures.However; rough MBR approximations introduce excessive overlap between index nodes;which deteriorates query performance. This article introduces a robust indexing scheme …,The VLDB Journal,2006,83
Version management of XML documents,Chien Shu-Yao; Vassilis J Tsotras; Carlo Zaniolo,Abstract The problem of ensuring efficient storage and fast retrieval for multi-versionstructured documents is important because of the recent popularity of XML documents andsemistructured information on the web. Traditional document version control systems; egRCS; which model documents as a sequence of lines of text and use the shortest edit scriptto represent version differences; can be inefficient and they do not preserve the logicalstructure of the original document. Therefore; we propose a new approach where thestructure of the documents is preserved intact; and their sub-objects are timestampedhierarchically for efficient reconstruction of current and past versions. Our technique; calledthe Usefulness Based Copy Control (UBCC); is geared towards efficient versionreconstruction while using small storage overhead. Our analysis and experiments …,International Workshop on the World Wide Web and Databases,2000,78
On the spatiotemporal burstiness of terms,Theodoros Lappas; Marcos R Vieira; Dimitrios Gunopulos; Vassilis J Tsotras,Abstract Thousands of documents are made available to the users via the web on a dailybasis. One of the most extensively studied problems in the context of such documentstreams is burst identification. Given a term t; a burst is generally exhibited when anunusually high frequency is observed for t. While spatial and temporal burstiness have beenstudied individually in the past; our work is the first to simultaneously track and measurespatiotemporal term burstiness. In addition; we use the mined burstiness information towardan efficient document-search engine: given a user's query of terms; our engine returns aranked list of documents discussing influential events with a strong spatiotemporal impact.We demonstrate the efficiency of our methods with an extensive experimental evaluation onreal and synthetic datasets.,Proceedings of the VLDB Endowment,2012,75
Efficient complex query support for multiversion XML documents,Shu-Yao Chien; Vassilis J Tsotras; Carlo Zaniolo; Donghui Zhang,Abstract Managing multiple versions of XML documents represents a critical requirement formany applications. Also; there has been much recent interest in supporting complex querieson XML data (eg; regular path expressions; structural projections; DIFF queries). In thispaper; we examine the problem of supporting efficiently complex queries on multiversionedXML documents. Our approach relies on a scheme based on durable node numbers (DNNs)that preserve the order among the XML tree nodes and are invariant with respect to updates.Using the document's DNNs various complex queries are reduced to combinations of partialversion retrieval queries. We examine three indexing schemes to efficiently evaluate partialversion retrieval queries in this environment. A thorough performance analysis is thenpresented to reveal the advantages of each scheme.,International Conference on Extending Database Technology,2002,72
Adaptive system and method for predicting response times in a service environment,*,A hybrid fuzzy logic/neural network prediction system and method is disclosed for predictingresponse times to service requests to a service provider. Data from a historical database ofrecords including customer requests and weather information are input to the hybrid system.The data is filtered to reject faulty data entries and data not necessarily useful for predictingresponse times to service requests such as customer comments are eliminated. Abackpropagation neural network operating in a supervised learning mode is employed todecrease the effects of the inherent system nonlinearities. The prediction error from theneural network is trained to make predictions within a predetermined error limit. The neuralnetwork generates a prediction configuration; ie a set of neural network characteristics; forevery record per geographical area; time frame; and month. A fuzzy logic classifier is …,*,1995,70
Temporal and spatio-temporal aggregations over data streams using multiple time granularities,Donghui Zhang; Dimitrios Gunopulos; Vassilis J Tsotras; Bernhard Seeger,Abstract Temporal and spatio-temporal aggregations are important but costly operations forapplications that maintain time-evolving data (data warehouses; temporal databases; etc.).In this paper; we examine the problem of computing such aggregates over data streams.The aggregates are maintained using multiple levels of temporal granularities: older data isaggregated using coarser granularities while more recent data is aggregated with finerdetail. We present specialized indexing schemes for dynamically and progressivelymaintaining temporal and spatio-temporal aggregates. Moreover; these schemes can beparameterized. The levels of granularity as well as their corresponding index sizes (orvalidity lengths) can be dynamically adjusted. This provides a useful trade-off betweenaggregation detail and storage space. Analytical and experimental results show the …,Information Systems,2003,68
Tree-pattern queries on a lightweight XML processor,Mirella M Moro; Zografoula Vagena; Vassilis J Tsotras,Abstract Popular XML languages; like XPath; use" tree-pattern" queries to select nodesbased on their structural characteristics. While many processing methods have already beenproposed for such queries; none of them has found its way to any of the existing" lightweight"XML engines (ie engines without optimization modules). The main reason is the lack of asystematic comparison of query methods under a common storage model. In this work; weaim to fill this gap and answer two important questions: what the relative similarities andimportant differences among the tree-pattern query methods are; and if there is a prominentmethod among them in terms of effectiveness and robustness that an XML processor shouldsupport. For the first question; we propose a novel classification of the methods according totheir matching process. We then describe a common storage model and demonstrate that …,Proceedings of the 31st international conference on Very large data bases,2005,67
Temporal aggregation over data streams using multiple granularities,Donghui Zhang; Dimitrios Gunopulos; Vassilis J Tsotras; Bernhard Seeger,Abstract Temporal aggregation is an important but costly operation for applications thatmaintain time-evolving data (data warehouses; temporal databases; etc.). In this paper weexamine the problem of computing temporal aggregates over data streams. Suchaggregates are maintained using multiple levels of temporal granularities: older data isaggregated using coarser granularities while more recent data is aggregated with finerdetail. We present specialized indexing schemes for dynamically and progressivelymaintaining temporal aggregates. Moreover; these schemes can be parameterized. Thelevels of granularity as well as their corresponding index sizes (or validity lengths) can bedynamically adjusted. This provides a useful trade-o. between aggregation detail andstorage space. Analytical and experimental results show the efficiency of the proposed …,International Conference on Extending Database Technology,2002,67
Efficient temporal join processing using indices,Donghui Zhang; Vassilis J Tsotras; Bernhard Seeger,We examine the problem of processing temporal joins in the presence of indexing schemes.Previous work on temporal joins has concentrated on non-indexed relations which were fullyscanned. Given the large data volumes created by the ever increasing time dimension;sequential scanning is prohibitive. This is especially true when the temporal join involvesonly parts of the joining relations (eg; a given time interval instead of the whole timeline).Utilizing an index becomes then beneficial as it directs the join to the data of interest. Weconsider temporal join algorithms for three representative indexing schemes; namely a B+-tree; an R*-tree and a temporal index; the Multiversion B+-tree (MVBT). Both the B+-tree andR*-tree result in simple but not efficient join algorithms because neither index achieves goodtemporal data clustering. Better clustering is maintained by the MVBT through record …,Data Engineering; 2002. Proceedings. 18th International Conference on,2002,63
Sail: A spatial index library for efficient application integration,Marios Hadjieleftheriou; Erik Hoel; Vassilis J Tsotras,With the proliferation of spatial and spatio-temporal data that are produced everyday by awide range of applications; Geographic Information Systems (GIS) have to cope with millionsof objects with diverse spatial characteristics. Clearly; under these circumstances;substantial performance speed up can be achieved with the use of spatial; spatio-temporaland other multi-dimensional indexing techniques. Due to the increasing research effort ondeveloping new indexing methods; the number of available alternatives is becomingoverwhelming; making the task of selecting the most appropriate method for indexing thedata according to application needs rather challenging. Therefore; developing a library thatcan combine a variety of indexing techniques under a common application programminginterface can prove to be a valuable tool. In this paper we present SaIL (SpAtial Index …,Geoinformatica,2005,58
Graph indexing of road networks for shortest path queries with label restrictions,Michael Rice; Vassilis J Tsotras,Abstract The current widespread use of location-based services and GPS technologies hasrevived interest in very fast and scalable shortest path queries. We introduce a new shortestpath query type in which dynamic constraints may be placed on the allowable set of edgesthat can appear on a valid shortest path (eg; dynamically restricting the type of roads ormodes of travel which may be considered in a multimodal transportation network). Weformalize this problem as a specific variant of formal language constrained shortest pathproblems; which we call the Kleene Language Constrained Shortest Paths problem. Toefficiently support this type of dynamically constrained shortest path query for large-scaledatasets; we extend the hierarchical graph indexing technique known as ContractionHierarchies. Our experimental evaluation using the North American road network dataset …,Proceedings of the VLDB Endowment,2010,57
Access methods for bi-temporal databases,Anil Kumar; Vassilis J Tsotras; Christos Faloutsos,Abstract While much work has recently appeared in literature on access methods fortransaction-time databases; not much has been done for indexing bitemporal databases; ie;databases that incorporate both transaction and valid time dimensions. In this paper we firstdiscuss the issues involved in addressing general bitemporal queries and then propose twogeneral approaches in solving such queries. For simplicity we present our findings inrelation to the so-called bitemporal pure-timeslice query. However our methodology appliesto more complex bitemporal queries. The first approach reduces bitemporal queries topartial persistence problems for which an efficient method is then designed. Using thisapproach we introduce a new access method for the bitemporal pure-timeslice query; theBitemporal Interval Tree. The second approach “sees” bitemporal data objects as …,*,1995,57
