Nanowire-based one-dimensional electronics,Claes Thelander; Prabhat Agarwal; S Brongersma; Joël Eymery; Lou-Fé Feiner; Alfred Forchel; M Scheffler; W Riess; BJ Ohlsson; U Gösele; Lars Samuelson,During the last half century; a dramatic downscaling of electronics has taken place; aminiaturization that the industry expects to continue for at least a decade. We present effortsto use the self-assembly of one-dimensional semiconductor nanowires 1 in order to bringnew; high-performance nanowire devices as an add-on to mainstream Si technology. Thenanowire approach offers a coaxial gate-dielectric-channel geometry that is ideal for furtherdownscaling and electrostatic control; as well as heterostructure-based devices on Siwafers.,Materials today,2006,676
Composition of wide bandgap semiconductor materials and nanostructures measured by atom probe tomography and its dependence on the surface electric field,Lorenzo Mancini; Nooshin Amirifar; Deodatta Shinde; Ivan Blum; Matthieu Gilbert; Angela Vella; François Vurpillot; Williams Lefebvre; Rodrigue Lardé; Etienne Talbot; Philippe Pareige; Xavier Portier; Ahmed Ziani; Christian Davesnne; Christophe Durand; Joël Eymery; Raphaël Butté; Jean-François Carlin; Nicolas Grandjean; Lorenzo Rigutti,Atom probe tomography allows for three-dimensional reconstruction of the elementaldistribution in materials at the nanoscale. However; the measurement of the chemicalcomposition of compound semiconductors may exhibit strong biases depending on theexperimental parameters used. This article reports on a systematic analysis of thecomposition measurement of III–N binary (AlN; GaN) and ternary compounds (InGaN;InAlN); MgO; and ZnO by laser-assisted tomographic atom probe as a function of laserpower and applied DC bias. We performed separate series of measurements at constantbias; constant laser pulse energy; and constant detection rate and a spatial analysis of thesurface field through detector hitmap ratios of elemental charge states. As a result;(i) we candetermine the separate roles of laser energy and surface field the latter being the …,The Journal of Physical Chemistry C,2014,63
Flexible light-emitting diodes based on vertical nitride nanowires,Xing Dai; Agnes Messanvi; Hezhi Zhang; Christophe Durand; Joël Eymery; Catherine Bougerol; François H Julien; Maria Tchernycheva,We demonstrate large area fully flexible blue LEDs based on core/shell InGaN/GaNnanowires grown by MOCVD. The fabrication relies on polymer encapsulation; nanowire lift-off and contacting using silver nanowire transparent electrodes. The LEDs exhibit rectifyingbehavior with a light-up voltage around 3 V. The devices show no electroluminescencedegradation neither under multiple bending down to 3 mm curvature radius nor in time formore than one month storage in ambient conditions without any protecting encapsulation.Fully transparent flexible LEDs with high optical transmittance are also fabricated. Finally; atwo-color flexible LED emitting in the green and blue spectral ranges is demonstratedcombining two layers of InGaN/GaN nanowires with different In contents.,Nano letters,2015,60
High-energy x-ray reflectivity of buried interfaces created by wafer bonding,F Rieutord; J Eymery; F Fournel; D Buttard; R Oeser; O Plantevin; H Moriceau; B Aspar,Abstract The bonding interfaces separating two silicon wafers assembled for making asilicon-on-insulator system are studied using high-resolution high-energy x-ray reflectivity.The evolution of the bond structure upon annealing is investigated; in situ. These datadirectly exhibit water removal and oxide layer structural changes; throughout thetemperature sequence.,Physical Review B,2001,57
Controlled surface nanopatterning with buried dislocation arrays,F Leroy; J Eymery; P Gentile; F Fournel,Abstract Self-assembled configurations of nanostructures are expected to play an increasingrole in devices design; as an alternative to conventional microelectronics. The key limitationis the lack of control on localisation; density and size uniformity of the structures. Here weshow how to create a template to overcome these problems. A periodic nanometre scalepatterning can be induced at a silicon surface by buried dislocation networks obtained bytwist wafer bonding; using stress selective etching of the surface. These templates aremorphologically characterised by scanning tunnelling microscopy and grazing incidence X-ray diffraction. Stress fields and elastic energy densities are calculated for the non-etchedsolid; and the selective etching mechanisms are discussed. Germanium growth experimentson such a Si patterned surface give a demonstration of the ordering efficiency. This study …,Surface science,2003,52
Single-Wire Light-Emitting Diodes Based on GaN Wires Containing Both Polar and Nonpolar InGaN/GaN Quantum Wells,Gwenole Jacopin; Andres De Luna Bugallo; Pierre Lavenus; Julien Lorenzo Rigutti; François H.; Zagonel Luiz F.; Kociak Mathieu; Durand Christophe; Salomon Damien; Chen Xiao Jun; Eymery Joël; Tchernycheva Maria,Abstract Single-wire light-emitting diodes based on radial p–i–n multi quantum well (QW)junctions have been realized from GaN wires grown by catalyst-free metal organic vaporphase epitaxy. The In x Ga 1-x N/GaN undoped QW system is coated over both the nonpolarlateral sidewalls and on the polar upper surface. Cathodo-and electroluminescence (EL)experiments provide evidence that the polar QWs emit in the visible spectral range atsystematically lower energy than the nonpolar QWs. The EL of the polar or nonpolar QWscan be selectively activated by varying the sample temperature and current injection level.,APPLIED PHYSICS EXPRESS,2012,51
Single-wire photodetectors based on InGaN/GaN radial quantum wells in GaN wires grown by catalyst-free metal-organic vapor phase epitaxy,A De Luna Bugallo; L Rigutti; G Jacopin; FH Julien; C Durand; XJ Chen; D Salomon; J Eymery; M Tchernycheva,We present a letter on single-wire photodetectors based on radial nin multiquantum well(QW) junctions. The devices are realized from GaN wires grown by catalyst-freemetalorganic vapor phase epitaxy coated at their top by five nonpolar In 0.16 Ga 0.84 N/GaNundoped radial QWs; and are sensitive to light with energy E> 2.6 eV. Their photoconductivegain is as high as 2× 10 3. The scanning photocurrent microscopy maps evidence that thedetector response is localized at the extremity containing the QWs for both below (at λ= 488nm) and above GaN band gap (at λ= 244 nm) excitation. This confirms that the deviceoperates as a radial nin junction.,Applied Physics Letters,2011,50
Two-dimensional electron-hole liquid in single Si quantum wells with large electronic and dielectric confinement,N Pauc; V Calvo; J Eymery; F Fournel; N Magnea,Abstract We report a luminescence study of the electronic properties of the 2D electron-holeliquid in crystalline Si quantum wells with SiO 2 dielectric barriers. The Fermi-Diraccondensation of e− h pairs into a metallic liquid is strongly enhanced by spatial localization.We present experimental evidence for the formation of liquid nanodroplets; with sizeincreasing with e− h pair density. The quantum confined regime is observed for well widthbelow 15 nm. The data are analyzed in a confinement model that takes account of the band-gap renormalization by 2D many-body effects and the increase of the Coulomb interactionsdue to the dielectric mismatch between the Si well and the SiO 2 barriers.,Physical review letters,2004,50
Light emitting diodes based on GaN core/shell wires grown by MOVPE on n-type Si substrate,A-L Bavencove; D Salomon; M Lafossas; B Martin; A Dussaigne; F Levy; B Andre; P Ferret; C Durand; J Eymery; Le Si Dang; P Gilet,A report is presented on the fabrication of light emitting diodes (LEDs) based on GaNcore/shell wires on conductive substrates by metal organic vapour phase epitaxy. Catalyst-free GaN-based wires are grown spontaneously on 2-inch n-doped silicon substrateswithout any thick buffer layer. The LED wire heterostructure consists of an n-type GaN: Sicore covered radially by five InGaN/GaN quantum wells and a p-type GaN: Mg shell.Macroscopic devices that integrate around 106 wire-LEDs have been obtained thanks to asimple; direct and full-wafer scale contacting process. For the first time; continuous-waveelectrical injection at room temperature through the Si substrate into a cm2-chip of GaN-based core/shell wire-LEDs is successfully demonstrated; producing blueelectroluminescent emission at 450 nm.,Electronics letters,2011,49
Analysis of strain and stacking faults in single nanowires using Bragg coherent diffraction imaging,V Favre-Nicolin; F Mastropietro; J Eymery; D Camacho; YM Niquet; BM Borg; ME Messing; Lars-Erik Wernersson; RE Algra; EPAM Bakkers; TH Metzger; R Harder; IK Robinson,Abstract Coherent diffraction imaging (CDI) on Bragg reflections is a promising technique forthe study of three-dimensional (3D) composition and strain fields in nanostructures; whichcan be recovered directly from the coherent diffraction data recorded on single objects. Inthis paper; we report results obtained for single homogeneous and heterogeneousnanowires with a diameter smaller than 100 nm; for which we used CDI to retrieveinformation about deformation and faults existing in these wires. We also discuss theinfluence of stacking faults; which can create artefacts during the reconstruction of thenanowire shape and deformation.,New Journal of Physics,2010,48
Correlation of microphotoluminescence spectroscopy; scanning transmission electron microscopy; and atom probe tomography on a single nano-object containing a...,Lorenzo Rigutti; Ivan Blum; Deodatta Shinde; David Hernández-Maldonado; Williams Lefebvre; Jonathan Houard; François Vurpillot; Angela Vella; Maria Tchernycheva; Christophe Durand; Joël Eymery; Bernard Deconihout,A single nanoscale object containing a set of InGaN/GaN nonpolar multiple-quantum wellshas been analyzed by microphotoluminescence spectroscopy (μPL); high-resolutionscanning transmission electron microscopy (HR-STEM) and atom probe tomography (APT).The correlated measurements constitute a rich and coherent set of data supporting theinterpretation that the observed μPL narrow emission lines; polarized perpendicularly to thecrystal c-axis and with energies in the interval 2.9–3.3 eV; are related to exciton stateslocalized in potential minima induced by the irregular 3D In distribution within the quantumwell (QW) planes. This novel method opens up interesting perspectives; as it will be possibleto apply it on a wide class of quantum confining emitters and nano-objects.,Nano letters,2013,43
Enhanced Sb incorporation in InAsSb nanowires grown by metalorganic vapor phase epitaxy,B Mattias Borg; Kimberly A Dick; Joël Eymery; Lars-Erik Wernersson,We demonstrate metalorganic vapor phase epitaxy of InAs 1− x Sb x nanowires (x= 0.08–0.77) for applications in high-speed electronics and long-wavelength optical devices. Thecomposition of the InAsSb nanowires and InAsSb epilayers on the same sample isindependently determined using lab-setup high resolution x-ray diffraction; by making use ofthe size-dependent in-plane broadening of the nanowire Bragg peak. We find that theincorporation of Sb into the nanowires is significantly higher than for planar epitaxy underthe same growth conditions. Thermodynamic calculations indicate that this is due to adramatically decreased effective V/III ratio at the particle/nanowire interface.,Applied Physics Letters,2011,40
Ultra thin silicon films directly bonded onto silicon wafers,F Fournel; H Moriceau; N Magnea; J Eymery; JL Rouvière; K Rousseau; B Aspar,Abstract Ultra thin film of silicon bonded on 4 in.(001) silicon wafers have been obtained bycombining a direct hydrophobic silicon bonded technique with a layer transfer. The twistangle between the ultra thin Si film and the Si substrate was varied from 0 to 15°. X-rayreflectivity measured the thickness and the roughness of the ultra thin films. Complementaryresults concerning the interface structure were obtained with high resolution transmissionelectronic microscopy. It is shown that an ultra thin film (a few nm) can be reproductivelyprepared upon the full 4 in. wafers. Moreover; this process gives very small thicknessfluctuations and a small surface roughness. The bonding interface has a low concentrationof oxide precipitates and presents two arrays dislocations respectively; due to the twist(screw dislocations) and a residual tilt angle (mixed dislocations) of the crystals …,Materials Science and Engineering: B,2000,39
Effect of the quantum well thickness on the performance of InGaN photovoltaic cells,L Redaelli; A Mukhtarova; S Valdueza-Felip; A Ajay; C Bougerol; C Himwas; J Faure-Vincent; C Durand; J Eymery; E Monroy,We report on the influence of the quantum well thickness on the effective band gap andconversion efficiency of In0. 12Ga0. 88N/GaN multiple quantum well solar cells. The band-to-band transition can be redshifted from 395 to 474 nm by increasing the well thickness from1.3 to 5.4 nm; as demonstrated by cathodoluminescence measurements. However; theredshift of the absorption edge is much less pronounced in absorption: in thicker wells;transitions to higher energy levels dominate. Besides; partial strain relaxation in thicker wellsleads to the formation of defects; hence degrading the overall solar cell performance.,Applied Physics Letters,2014,38
Catalyst-free growth of high-optical quality GaN nanowires by metal-organic vapor phase epitaxy,XJ Chen; Bruno Gayral; Diane Sam-Giao; Catherine Bougerol; Christophe Durand; Joël Eymery,Catalyst-free GaN wires with 100–200 nm diameters are grown on bare c-sapphiresubstrates by a metal-organic vapor phase epitaxy approach using both low V/III ratio and V-III precursor flows that favor a reaction-limited growth regime. The polarity control of theinitial seeds allows obtaining pencil-shape wires with very sharp pyramids at their top (∼ 5nm diameter). These defect-free nanowires evidence excellent structural and opticalproperties as shown by a sharp photoluminescence linewidth (1–3 meV at 5 K).,Applied Physics Letters,2011,35
Quantum communication with quantum dot spins,Christoph Simon; Yann-Michel Niquet; Xavier Caillet; Joël Eymery; Jean-Philippe Poizat; Jean-Michel Gérard,Abstract Single electron spins in quantum dots are attractive for quantum communicationbecause of their expected long coherence times. We propose a method to createentanglement between two remote spins based on the coincident detection of two photonsemitted by the dots. Local nodes of two or more qubits can be realized using the dipole-dipole interaction between trions in neighboring dots and spectral addressing; allowing therealization of a quantum repeater. We have performed a detailed feasibility study of ourproposal based on tight-binding calculations of quantum dot properties.,Physical Review B,2007,35
Surface segregation in binary Cu-Ni and Pt-Ni alloys using Monte Carlo simulation,J Eymery; JC Joud,Abstract Monte Carlo simulation is used to calculate the surface segregation in Cu-Ni and Pt-Ni alloys. The first system is characterized by its segregating tendency with a weak sizeeffect; the second one exhibits an ordering tendency with a strong mismatch. Introduction ofan elastic energy term in the Markov chain is necessary for the Pt-Ni system whosesegregating properties are dominated by competition between chemical and elastic energycontributions. Interesting information is deduced from this kind of simulation concerning theatomic distributions in the surface plane.,Surface Science,1990,34
Co-integrated dual strained channels on fully depleted sSDOI CMOSFETs with HfO/sub 2//TiN gate stack down to 15nm gate length,F Andrieu; T Ernst; O Faynot; Y Bogumilowicz; J-M Hartmann; J Eymery; D Lafond; Y-M Levaillant; C Dupré; R Powers; F Fournel; C Fenouillet-Beranger; A Vandooren; B Ghyselen; C Mazure; N Kernevez; G Ghibaudo; S Deleonibus,We report an original dual channel fully depleted CMOSFET architecture on insulator (DCOI)co-integrating strained-Si (nMOS) and strained-Si/sub 0.6/Ge/sub 0.4/(pMOS) with HfO/sub2//TiN gate stacks down to 15nm gate length. We demonstrate for the first time an I/subON/improvement for short channel SOI of 10% at 35nm gate length (25% at 75nm; 100% onlong channels) for both n-and p-MOSFETs and a more than 3 decades gate leakagereduction compared to a SiO/sub 2/dielectric. Meanwhile; thanks to the dual channelengineering; a threshold voltage adjustment is performed with a mid gap single metal gatesuitable for high performance (HP) CMOS.,SOI Conference; 2005. Proceedings. 2005 IEEE International,2005,32
Ultra High Precision Of The Tilt/Twist Misorientation Angles In Silicon/Silicon Direct Wafer Bonding.,F Fournel; H Moriceau; B Aspar; N Magnea; J Eymery; F Leroy; K Rousseau; JL Rouvière,ABSTRACT An original direct wafer bonding process has been developed to accuratelycontrol the bonding interface twist and tilt angles between a mono-crystalline layer and abare mono-crystalline wafer. This process is based on the bonding of twin surfaces resultingfrom a single wafer separation; using for instance the Smart Cut® process. A targeted controlof±0.005 is obtained for the twist angle without any crystallographic measurement; leadingto a pure twist-bonded interface between two (001) silicon surfaces. Then; by chemicaletching; the interfacial dislocation network is used to nanopattern the silicon surface whichperiodicity is exactly related to the dislocation network one. This periodicity is tunablebetween few angstroms to few tenths microns. Moreover; this nanopattern is shown to give along range organization of flat Ge islands.,Semiconductor Wafer Bonding VII: Science; Technology; and Applications: Proceedings of the International Symposium,2003,32
Wafer-scale selective area growth of GaN hexagonal prismatic nanostructures on c-sapphire substrate,Xiao Jun Chen; Jun-Seok Hwang; Guillaume Perillat-Merceroz; Stefan Landis; Brigitte Martin; D Le Si Dang; Joël Eymery; Christophe Durand,Abstract Selective area growth of GaN nanostructures has been performed on full 2 ″c-sapphire substrates using Si 3 N 4 mask patterned by nanoimprint lithography (array of 400nm diameter circular holes). A new process has been developed to improve thehomogeneity of the nucleation selectivity of c-oriented hexagonal prismatic nanostructuresat high temperature (1040° C). It consists of an initial GaN nucleation step at 950° C followedby ammonia annealing before high temperature growth. Structural analyses show that GaNnanostructures are grown in epitaxy with c-sapphire with lateral overgrowths on the mask.Strain and dislocations are observed at the interface due to the large GaN/sapphire latticemismatch in contrast with the high quality of the relaxed crystals in the lateral overgrowtharea. A cathodoluminescence study as a function of the GaN nanostructure size confirms …,Journal of Crystal Growth,2011,31
Coherent-diffraction imaging of single nanowires of diameter 95 nanometers,Vincent Favre-Nicolin; Joël Eymery; Robert Koester; Pascal Gentile,Abstract Photonic or electronic confinement effects in nanostructures become significantwhen one of their dimension is in the 5–300 nm range. Improving their developmentrequires the ability to study their structure-shape; strain field; and interdiffusion maps. Wehave used coherent-diffraction imaging to record the three-dimensional scattered intensity ofsingle silicon nanowires with a lateral size smaller than 100 nm. We show that this intensitycan be used to recover the hexagonal shape of the nanowire with a 28 nm resolution. Thispaper also discusses the limits of the method in terms of radiation damage.,Physical Review B,2009,31
Elastic relaxation in patterned and implanted strained silicon on insulator,S Baudot; F Andrieu; F Rieutord; J Eymery,Mechanical relaxations of strained silicon on insulator (sSOI) nanostructures are studied forthe isolation and implantation processes used in transistor technology. Two model systemsare quantitatively analyzed by grazing incidence x-ray diffraction: long etched sSOI lines ofdifferent widths and bidimensional (2D) sSi samples implanted by As/Xe ions with the samestripe geometry; the gate stack acting as an implantation mask. For sSOI lines; the strain ofthe initial 2D layer is conserved along the longer direction; ie; the transport direction. Alongthe small direction; a large relaxation is observed especially for the smaller widths. Thisrelaxation is almost complete for thicker samples (70 nm); whereas it is much more limitedfor thinner ones (10 nm). The tuning by etching/size selection of the sSOI initial biaxial stressinto uniaxial stress along the transport direction should represent a great advantage for n …,Journal of Applied Physics,2009,30
Coherent x-ray wavefront reconstruction of a partially illuminated Fresnel zone plate,Francesca Mastropietro; D Carbone; A Diaz; J Eymery; Anne Sentenac; TH Metzger; Virginie Chamard; Vincent Favre-Nicolin,A detailed characterization of the coherent x-ray wavefront produced by a partiallyilluminated Fresnel zone plate is presented. We show; by numerical and experimentalapproaches; how the beam size and the focal depth are strongly influenced by theillumination conditions; while the phase of the focal spot remains constant. These resultsconfirm that the partial illumination can be used for coherent diffraction experiments. Finally;we demonstrate the possibility of reconstructing the complex-valued illumination function bysimple measurement of the far field intensity in the specific case of partial illumination.,Optics express,2011,29
Dislocation strain field in ultrathin bonded silicon wafers studied by grazing incidence x-ray diffraction,J Eymery; D Buttard; F Fournel; H Moriceau; GT Baumbach; D Lübbert,Abstract An ultrathin silicon layer (16 nm) bonded onto a silicon wafer is studied by grazingincidence x-ray diffraction. We measure satellite peaks around the {220} reflections comingfrom two periodic dislocation networks localized at the bonding interface. These lateralsuperlattice peaks are explained with a simple continuum model; and their positions giveinformation about the tilt and twist misalignment of the two crystals; as well as the nature andinteractions between the dislocation arrays. The square symmetry of dissociated screwdislocations (twist) and the average alignment of the mixed dislocations (tilt) are observed.The analysis of the satellite truncation rods shows that the strain field is strong enough toaffect the surface; and that the dissociation of screw dislocations has to be taken intoaccount.,Physical Review B,2002,29
Flexible white light emitting diodes based on nitride nanowires and nanophosphors,Nan Guan; Xing Dai; Agnès Messanvi; Hezhi Zhang; Jianchang Yan; Eric Gautier; Catherine Bougerol; François H Julien; Christophe Durand; Joël Eymery; Maria Tchernycheva,We report the first demonstration of flexible white phosphor-converted light emitting diodes(LEDs) based on p–n junction core/shell nitride nanowires. GaN nanowires containingseven radial In0. 2Ga0. 8N/GaN quantum wells were grown by metal–organic chemicalvapor deposition on a sapphire substrate by a catalyst-free approach. To fabricate theflexible LED; the nanowires are embedded into a phosphor-doped polymer matrix; peeledoff from the growth substrate; and contacted using a flexible and transparent silver nanowiremesh. The electroluminescence of a flexible device presents a cool-white color with aspectral distribution covering a broad spectral range from 400 to 700 nm. Mechanicalbending stress down to a curvature radius of 5 mm does not yield any degradation of theLED performance. The maximal measured external quantum efficiency of the white LED …,ACS photonics,2016,28
Equilibrium shape of steps and islands on polar II-VI semiconductors surfaces,D Martrou; J Eymery; N Magnea,Abstract Scanning tunneling microscopy studies of (001) surfaces of partially ionic II-VIcompounds show novel surface structures with step and 2D island edges aligned along the<100> crystallographic directions. We propose a simplified model incorporating electrostaticinteractions in the calculation of the energy of charged steps that could explain why the freeenergy of< 100> steps lies below that of the [110] and [1 1 0] steps. The energetics of thevicinal surfaces is strongly influenced by this original effect which makes possible thefabrication of staircase and checkerboard templates for growing self-organizednanostructures.,Physical review letters,1999,28
Impact of Mobility Boosters (XsSOI; CESL; TiN gate) on the Performance of≪ 100≫ or≪ 110≫ oriented FDSOI cMOSFETs for the 32nm Node,F Andrieu; O Faynot; F Rochette; J-C Barbé; C Buj; Y Bogumilowicz; F Allain; V Delaye; D Lafond; F Aussenac; S Feruglio; J Eymery; T Akatsu; P Maury; L Brévard; L Tosti; H Dansas; E Rouchouze; J-M Hartmann; L Vandroux; M Cassé; F Boeuf; C Fenouillet-Béranger; F Brunier; I Cayreforcq; C Mazuré; G Ghibaudo; S Deleonibus,For the first time; we integrated 1.9 GPa eXtra-strained silicon on insulator (XsSOI)substrates in FDSOI n and pMOSFETs with gate length (LG) and width (W) down to 25 nm.Due to the high stress levels; significant I ON-I OFF improvements were obtained not only fornMOS but also for pMOS. We compared those results with the performance of devicesstrained by contact etch stop layer (CESL); for different device orientations (< 110> or<100>) and feature sizes (LG; W). We demonstrate that; similarly to XsSOI; a single tensileCESL can improve both n and pMOS performance; leading to I ON; n= 700 muA/mum and ION; p= 430 muA/mum at I OFF= 140 pA/mum; this for LG< 35 nm; W= 50 nm and V DD= 1 Valong the< 100> direction.,VLSI Technology; 2007 IEEE Symposium on,2007,26
