Visualizing the signatures of social roles in online discussion groups,Howard T Welser; Eric Gleave; Danyel Fisher; Marc Smith,Abstract: Social roles in online discussion forums can be described by patternedcharacteristics of communication between network members which we conceive of as'structural signatures.'This paper uses visualization methods to reveal these structuralsignatures and regression analysis to confirm the relationship between these signatures andtheir associated roles in Usenet newsgroups. Our analysis focuses on distinguishing thesignatures of one role from others; the role of “answer people." Answer people areindividuals whose dominant behavior is to respond to questions posed by other users. Wefound that answer people predominantly contribute one or a few messages to discussionsinitiated by others; are disproportionately tied to relative isolates; have few intense ties andhave few triangles in their local networks. OLS regression shows that these signatures …,Journal of social structure,2007,418
Visual snippets: summarizing web pages for search and revisitation,Jaime Teevan; Edward Cutrell; Danyel Fisher; Steven M Drucker; Gonzalo Ramos; Paul André; Chang Hu,Abstract People regularly interact with different representations of Web pages. A personlooking for new information may initially find a Web page represented as a short snippetrendered by a search engine. When he wants to return to the same page the next day; thepage may instead be represented by a link in his browser history. Previous research hasexplored how to best represent Web pages in support of specific task types; but; as we findin this paper; consistency in representation across tasks is also important. We explore howdifferent representations are used in a variety of contexts and present a compactrepresentation that supports both the identification of new; relevant Web pages and the re-finding of previously viewed pages.,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,2009,133
BLEWS: Using blogs to provide context for news articles.,Michael Gamon; Sumit Basu; Dmitriy Belenko; Danyel Fisher; Matthew Hurst; Arnd Christian König,Abstract An overwhelming number of news articles are available every day via the internet.Unfortunately; it is impossible for us to peruse more than a handful; furthermore it is difficultto ascertain an article's social context; ie; is it popular; what sorts of people are reading it;etc. In this paper; we develop a system to address this problem in the restricted domain ofpolitical news by harnessing implicit and explicit contextual information from theblogosphere. Specifically; we track thousands of blogs and the news articles they cite;collapsing news articles that have highly overlapping content. We then tag each article withthe number of blogs citing it; the political orientation of those blogs; and the level ofemotional charge expressed in the blog posts that link to the news article. We summarizeand present the results to the user via a novel visualization which displays this contextual …,ICWSM,2008,122
Trust me; I'm partially right: incremental visualization lets analysts explore large datasets faster,Danyel Fisher; Igor Popov; Steven Drucker; m. c. Schraefel,Abstract Queries over large scale (petabyte) data bases often mean waiting overnight for aresult to come back. Scale costs time. Such time also means that potential avenues ofexploration are ignored because the costs are perceived to be too high to run or evenpropose them. With sampleAction we have explored whether interaction techniques topresent query results running over only incremental samples can be presented assufficiently trustworthy for analysts both to make closer to real time decisions about theirqueries and to be more exploratory in their questions of the data. Our work with three teamsof analysts suggests that we can indeed accelerate and open up the query process withsuch incremental visualizations.,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,2012,119
Collaborative Brushing and Linking for Co‐located Visual Analytics of Document Collections,Petra Isenberg; Danyel Fisher,Abstract Many real-world analysis tasks can benefit from the combined efforts of a group ofpeople. Past research has shown that to design visualizations for collaborative visualanalytics tasks; we need to support both individual as well as joint analysis activities. Wepresent Cambiera; a tabletop visual analytics tool that supports individual and collaborativeinformation foraging activities in large text document collections. We define collaborativebrushing and linking as an awareness mechanism that enables analysts to follow their ownhypotheses during collaborative sessions while still remaining aware of the group'sactivities. With Cambiera; users are able to collaboratively search through documents;maintaining awareness of each others' work and building on each others' findings.,Computer Graphics Forum,2009,118
Understanding multi-touch manipulation for surface computing,Chris North; Tim Dwyer; Bongshin Lee; Danyel Fisher; Petra Isenberg; George Robertson; Kori Inkpen,Abstract Two-handed; multi-touch surface computing provides a scope for interactions thatare closer analogues to physical interactions than classical windowed interfaces. Thedesign of natural and intuitive gestures is a difficult problem as we do not know how userswill approach a new multi-touch interface and which gestures they will attempt to use. In thispaper we study whether familiarity with other environments influences how users approachinteraction with a multi-touch surface computer as well as how efficiently those userscomplete a simple task. Inspired by the need for object manipulation in informationvisualization applications; we asked users to carry out an object sorting task on a physicaltable; on a tabletop display; and on a desktop computer with a mouse. To compare users'gestures we produced a vocabulary of manipulation techniques that users apply in the …,IFIP Conference on Human-Computer Interaction,2009,106
Using egocentric networks to understand communication,Danyel Fisher,Social-network analysis generally helps researchers understand how groups of peopleinteract. In this article the author uses small-scale egocentric social networks; based onvolitional; explicit connections; to understand how people manage their personal and groupcommunications. Two research projects using this approach show that such networks cangive researchers important insight into the people who communicate online. Soylent; aproject based on email; shows several common patterns in social interaction. The Rolesproject; based on Usenet newsgroups; suggests that various online social spaces canbehave very differently from each other.,IEEE Internet Computing,2005,99
Ordering personal information using social metadata,*,A unique system; method; and user interface that facilitate ordering personal items based onpast personal interaction between a user and the user's correspondents are provided. Inparticular; the system provides alternative views of information; such as messages; that isorganized around people using an ordering based on the history of communication betweenthe recipient and sender. Social metrics can be calculated based on social metadataassociated with the messages; for example. Metrics can be used to configure how or whichmessages are viewed and their order in one or more pane views. Each pane view canpresent different orderings of messages—which are displayed by the recipient or sender ofthe message. So for instance; instead of viewing messages in chronological receipt date;they can be viewed by the message's sender and ordered by the number of messages …,*,2010,98
Incremental visualization for structured data in an enterprise-level data store,*,The subject disclosure is directed towards simulating query execution to provide incrementalvisualization for a global data set. A data store may be configured for searching at least aportion of a global data set being stored at an enterprise-level data store. In response to auser-issued query; partial query results are provided to a front-end interface for display to theuser. The front-end interface also provides statistical information corresponding to the partialquery results in relation to the global data set; which may be used to determine when acurrent set of query results becomes acceptable as a true/accurate estimate.,*,2015,87
The Social Network and Relationship Finder: Social Sorting for Email Triage.,Carman Neustaedter; AJ Bernheim Brush; Marc A Smith; Danyel Fisher,Abstract Email triage is the process of going through unhandled email and deciding what todo with it. This process can quickly become a serious problem for users with large volumesof email. Studies have found that people use a variety of approaches to triage their email;many of which have a social component. We believe that email clients can better supportemail triage by providing users with additional sorting features based on socially salientinformation. We present a prototype email client; SNARF (the Social Network and,CEAS,2005,87
Trill: A high-performance incremental query processor for diverse analytics,Badrish Chandramouli; Jonathan Goldstein; Mike Barnett; Robert DeLine; Danyel Fisher; John C Platt; James F Terwilliger; John Wernsing,Abstract This paper introduces Trill--a new query processor for analytics. Trill fulfills acombination of three requirements for a query processor to serve the diverse big dataanalytics space:(1) Query Model: Trill is based on a tempo-relational model that enables it tohandle streaming and relational queries with early results; across the latency spectrum fromreal-time to offline;(2) Fabric and Language Integration: Trill is architected as a high-levellanguage library that supports rich data-types and user libraries; and integrates well withexisting distribution fabrics and applications; and (3) Performance: Trill's throughput is highacross the latency spectrum. For streaming data; Trill's throughput is 2-4 orders of magnitudehigher than comparable streaming engines. For offline relational queries; Trill's throughput iscomparable to a major modern commercial columnar DBMS. Trill uses a streaming …,Proceedings of the VLDB Endowment,2014,80
Debate; division; and diversity: Political discourse networks in USENET newsgroups,John Kelly; Danyel Fisher; Marc Smith,Do online political discussions tend to aggregate diverse voices in cross-cutting debate anddeliberation? Or do “audiences” for online discussion tend to fragment into ideological echochambers? In the wilds of threaded discussion on the internet (as opposed to deliberativepolls; moderated discussions; and other designed venues of deliberation); networks ofpolitical discourse emerge from billions of individual choices by millions of individual citizensabout what to discuss online; where to discuss it; and with whom. Do these choices leadindividuals to interact across ideological divides; or to cluster within them? How weunderstand the value of internet-based forms of political discourse is in part dependent onthis question. The danger to a healthy public sphere; well articulated by Sunstein; is thatindividuallevel selectivity biases; enabled by the internet's facilitation of choice in …,Online Deliberation Conference,2005,80
A comparison of user-generated and automatic graph layouts,Tim Dwyer; Bongshin Lee; Danyel Fisher; Kori Inkpen Quinn; Petra Isenberg; George Robertson; Chris North,The research presented in this paper compares user-generated and automatic graphlayouts. Following the methods suggested by van Ham et al.(2008); a group of usersgenerated graph layouts using both multi-touch interaction on a tabletop display and mouseinteraction on a desktop computer. Users were asked to optimize their layout for aestheticsand analytical tasks with a social network. We discuss characteristics of the user-generatedlayouts and interaction methods employed by users in this process. We then report on a web-based study to compare these layouts with the output of popular automatic layout algorithms.Our results demonstrate that the best of the user-generated layouts performed as well as orbetter than the physics-based layout. Orthogonal and circular automatic layouts were foundto be considerably less effective than either the physics-based layout or the best of the …,IEEE transactions on visualization and computer graphics,2009,76
An exploratory study of co-located collaborative visual analytics around a tabletop display,Petra Isenberg; Danyel Fisher; Meredith Ringel Morris; Kori Inkpen; Mary Czerwinski,Co-located collaboration can be extremely valuable during complex visual analytics tasks.This paper presents an exploratory study of a system designed to support collaborativevisual analysis tasks on a digital tabletop display. Fifteen participant pairs employed Cam-biera; a visual analytics system; to solve a problem involving 240 digital documents. Ouranalysis; supported by observations; system logs; questionnaires; and interview data;explores how pairs approached the problem around the table. We contribute a unique; richunderstanding of how users worked together around the table and identify eight types ofcollaboration styles that can be used to identify how closely people work together whileproblem solving. We show how the closeness of teams' collaboration influenced how wellthey performed on the task overall. We further discuss the role of the tabletop for visual …,Visual Analytics Science and Technology (VAST); 2010 IEEE Symposium on,2010,75
Co-located collaborative visual analytics around a tabletop display,Petra Isenberg; Danyel Fisher; Sharoda A Paul; Meredith Ringel Morris; Kori Inkpen; Mary Czerwinski,Co-located collaboration can be extremely valuable during complex visual analytics tasks.We present an exploratory study of a system designed to support collaborative visualanalysis tasks on a digital tabletop display. Fifteen participant pairs employed Cambiera; avisual analytics system; to solve a problem involving 240 digital documents. Our analysis;supported by observations; system logs; questionnaires; and interview data; explores howpairs approached the problem around the table. We contribute a unique; rich understandingof how users worked together around the table and identify eight types of collaborationstyles that can be used to identify how closely people work together while problem solving.We show how the closeness of teams' collaboration and communication influenced howthey performed on the task overall. We further discuss the role of the tabletop for visual …,IEEE Transactions on visualization and Computer Graphics,2012,70
Adding custom content to mapping applications,*,Digital maps can be composed of a series of image tiles that are selected based on thecontext of the map to be presented. Independently hosted tiles can comprise additionaldetails that can be added to the map. A manifest can be created that describes the layers ofmap details composed of such independently hosted tiles. Externally referable mechanismscan; based on the manifest and map context; select tiles; from among the independentlyhosted tiles; that correspond to map tiles being displayed to a user. Subsequently; themechanisms can instruct a browser; as specified in the manifest; to combine the map tilesand the independently hosted tiles to generate a more detailed map. Alternatively;customized mechanisms can generate map detail tiles in real-time; based on an exportedmap context. Also; controls instantiated by the browser can render three-dimensional …,*,2014,65
Efficiently discovering and synthesizing maps from a large corpus of maps,*,Intent of a user is determined with respect to mapping information. A search is performed forrelevant maps from a plurality of disparate sources. A subset of maps from a superset ofavailable maps are identified that correlate to the determined intent; and the subset of mapsare fused or synthesized to create a single map view that aggregates and combines relevantcontent from respective maps of the subset.,*,2009,63
SWAMI (poster session): a framework for collaborative filtering algorithm development and evaluation,Danyel Fisher; Kris Hildrum; Jason Hong; Mark Newman; Megan Thomas; Rich Vuduc,Abstract We present a Java-based framework; SWAMI (Shared Wisdom through theAmalgamation of Many Interpretations) for building and studying collaborative filteringsystems. SWAMI consists of three components: a prediction engine; an evaluation system;and a visualization component. The prediction engine provides a common interface forimplementing different prediction algorithms. The evaluation system provides a standardizedtesting methodology and metrics for analyzing the accuracy and run-time performance ofprediction algorithms. The visualization component suggests how graphical representationscan inform the development and analysis of prediction algorithms. We demonstrate SWAMIon the Each Movie data set by comparing three prediction algorithms: a traditional Pearsoncorrelation-based method; support vector machines; and a new accurate and scalable …,Proceedings of the 23rd annual international ACM SIGIR conference on Research and development in information retrieval,2000,63
Narratives: A visualization to track narrative events as they develop,Danyel Fisher; Aaron Hoff; George Robertson; Matthew Hurst,Analyzing unstructured text streams can be challenging. One popular approach is to isolatespecific themes in the text; and to visualize the connections between them. Some existingsystems; like ThemeRiver; provide a temporal view of changes in themes; other systems; likeIn-Spire; use clustering techniques to help an analyst identify the themes at a single point intime. Narratives combines both of these techniques; it uses a temporal axis to visualize waysthat concepts have changed over time; and introduces several methods to explore howthose concepts relate to each other. Narratives is designed to help the user place newsstories in their historical and social context by understanding how the major topicsassociated with them have changed over time. Users can relate articles through time byexamining the topical keywords that summarize a specific news event. By tracking the …,Visual Analytics Science and Technology; 2008. VAST'08. IEEE Symposium on,2008,61
Friends; foes; and fringe: norms and structure in political discussion networks,John W Kelly; Danyel Fisher; Marc Smith,Abstract Online discussion groups have a network structure that emerges from theinteractions of thousands of participants; writing in thousands of topical threads. Thisstructure varies greatly according to the type of discussion group; such as technical; fan orsupport. Political groups have their own distinctive structure; organized around ideologicallypolarized clusters of participants. Whereas in some other groups; individuals whovehemently disagree with the mainstream might be ignored or ostracized; in political groupsmost participants preferentially interact with" opponents" and ignore" friends." And yet; thereis a type of opponent whose ideas are so far from the field of debate as to be ignored bymost or nearly all other participants. This difference is starkly apparent in network diagramsof discussion groups. The core of highly participative discussants contains opponents …,Proceedings of the 2006 international conference on Digital government research,2006,61
From Usenet to CoWebs: interacting with social information spaces,Christopher Lueg; Danyel Fisher,Beginning with a brief outline of Usenet's general structure and development over the pastfew years; the book addresses the problems of exploring virtual communities and distributedinformation systems in general; and of finding information in electronic informationenvironments. It covers traditional approaches such as information filtering; collaborativefiltering and information retrieval; outlining their successes and failures; and discusses theprospects of novel approaches such as visualisations of social processes and socialnavigation.,*,2012,59
Morphing social networks based on user context,*,Providing for adaptive networking based on user context is disclosed herein. By way ofexample; networking usage patterns; preferences and disposition toward a network ornetwork interface can be monitored and analyzed to determine the user context. In someaspects; the usage context can be further modified based on language processing of contentof messages sent or received by the user. Once determined; user context can be employedto adapt a composition of a network; including user nodes of the network as well as interfacetools for accessing the network; based on the user context. As user use patterns change; thenetwork can be further adapted to account for changes in user context over time; or othersuitable user categorizations. Accordingly; the subject disclosure provides a powerful tool forbreaking user-software paradigms requiring the user to adapt to the network and network …,*,2010,58
A deeper understanding of sequence in narrative visualization,Jessica Hullman; Steven Drucker; Nathalie Henry Riche; Bongshin Lee; Danyel Fisher; Eytan Adar,Conveying a narrative with visualizations often requires choosing an order in which topresent visualizations. While evidence exists that narrative sequencing in traditional storiescan affect comprehension and memory; little is known about how sequencing choices affectnarrative visualization. We consider the forms and reactions to sequencing in narrativevisualization presentations to provide a deeper understanding with a focus onlinear;'slideshow-style'presentations. We conduct a qualitative analysis of 42 professionalnarrative visualizations to gain empirical knowledge on the forms that structure andsequence take. Based on the results of this study we propose a graph-driven approach forautomatically identifying effective sequences in a set of visualizations to be presentedlinearly. Our approach identifies possible transitions in a visualization set and prioritizes …,IEEE Transactions on Visualization and Computer Graphics,2013,53
Reducing legacy bias in gesture elicitation studies,Meredith Ringel Morris; Andreea Danielescu; Steven Drucker; Danyel Fisher; Bongshin Lee; schraefel m c; Jacob O Wobbrock,UI elements from traditional PC interfaces; most participants suggested mouse-like single-point or simple-path gestures [1]. The participants; too; acknowledged these biases: Onesaid;“I'ma child of the mouse”; another said;“I'm falling back on the old things that I'velearned.” In a multimodal gesture and speech elicitation study; Morris [3] noted similarexamples; including a participant who referred to his hand as the mouse; a participant whoavoided bimanual gestures because they might require that a system have two cursors; andseveral participants who suggested speech commands based on keyboard shortcuts (eg;saying “F5” aloud to reload a Web page). Legacy bias does have some benefits. Becausethey draw upon culturally shared metaphors; participants tend to propose similarlegacyinspired interactions; resulting in high agreement scores in elicitation studies [1] …,interactions,2014,50
Distilling digital traces: Computational social science approaches to studying the internet,Howard T Welser; Marc Smith; Danyel Fisher; Eric Gleave,Abstract Systems for computer-mediated interaction provide unprecedented researchopportunities for social scientists. The scale and complexity of these data also pose practicaland theoretical challenges regarding data management; aggregation; analysis; andinference. This chapter discusses these challenges and describes a series of techniquesthat help researchers move from repositories of interaction logs; through large-scaledatabases; to visual and quantitative answers to theoretically motivated questions. Wedescribe an integrated framework for generating theoretically motivated research based onthe traditions of collective action; social networks; and interactionist sociologies. At thepractical level of data collection; processing; and presentation; we describe the use ofrelational databases; standard data structures; and strategies that facilitate moving data …,Handbook of online research methods,2008,49
TouchViz: a case study comparing two interfaces for data analytics on tablets,Steven M Drucker; Danyel Fisher; Ramik Sadana; Jessica Herron,Abstract As more applications move from the desktop to touch devices like tablets; designersmust wrestle with the costs of porting a design with as little revision of the UI as possible fromone device to the other; or of optimizing the interaction per device. We consider the tradeoffsbetween two versions of a UI for working with data on a touch tablet. One interface is basedon using the conventional desktop metaphor (WIMP) with a control panel; push buttons; andcheckboxes--where the mouse click is effectively replaced by a finger tap. The otherinterface (which we call FLUID) eliminates the control panel and focuses touch actions onthe data visualization itself. We describe our design process and evaluation of eachinterface. We discuss the significantly better task performance and preference for the FLUIDinterface; in particular how touch design may challenge certain assumptions about the …,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,2013,48
Using visual techniques to manipulate data,*,Various types of data can be collected into a data set and related content and/or relatedconcepts across the data in the data set and/or across search histories can be displayed asa visual representation. The related content/concepts can be presented as a function ofincremental revealing of relationships. After reviewing the visual representation; a user cancustomize the data set and relationships by specifically excluding a related data segment.The visual representation can be applied across multiple searches or other obtained data.Through interaction with the visual representation; a user can drill down into commonlinkages of the data to more narrowly focus on a subset of the data and/or to refocus asearch result and/or to provide annotations.,*,2013,45
Search on surfaces: Exploring the potential of interactive tabletops for collaborative search tasks,Meredith Ringel Morris; Danyel Fisher; Daniel Wigdor,Abstract Collaborative information seeking often takes place in co-located settings; suchopportunities may be planned (business colleagues meeting in a conference room orstudents working together in a library) or spontaneous (family members gathered in theirliving room or friends meeting at a café). Surface computing technologies (ie; interactivetabletops) hold great potential for enhancing collaborative information seeking activities.Such devices provide engaging direct manipulation interactions; facilitate awareness ofcollaborators' activities; and afford spatial organization of content. However; current tabletoptechnologies also present several challenges that creators of collaborative informationseeking system must account for in their designs. In this article; we explore the design spacefor collaborative search systems on interactive tabletops; discussing the benefits and …,Information processing & management,2010,45
Performance of a social network,*,Providing for characterizing and determining effectiveness of social networks is describedherein. By way of example; data descriptive of inter-relationships of persons can beemployed to generate a social connectivity map for users of a communication network. Datadisseminated or consumed via the communication network can be monitored andcharacterized in conjunction with task performance. The characterization can be comparedwith a performance benchmark to rate a composition of a social network; or underlyingnetwork applications and functions; in effecting user tasks or other user activities.Accordingly; individuals and organizations can determine and compare the effectiveness ofa network in assisting user activities based on predetermined benchmarks; which can betuned to various aspects; functions or applications of an underlying social network.,*,2010,43
Structured labeling for facilitating concept evolution in machine learning,Todd Kulesza; Saleema Amershi; Rich Caruana; Danyel Fisher; Denis Charles,Abstract Labeling data is a seemingly simple task required for training many machinelearning systems; but is actually fraught with problems. This paper introduces the notion ofconcept evolution; the changing nature of a person's underlying concept (the abstract notionof the target class a person is labeling for; eg; spam email; travel related web pages) whichcan result in inconsistent labels and thus be detrimental to machine learning. We introducetwo structured labeling solutions; a novel technique we propose for helping people defineand refine their concept in a consistent manner as they label. Through a series of fiveexperiments; including a controlled lab study; we illustrate the impact and dynamics ofconcept evolution in practice and show that structured labeling helps people label moreconsistently in the presence of concept evolution than traditional labeling.,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,2014,40
Fast dynamic voronoi treemaps,Avneesh Sud; Danyel Fisher; Huai-Ping Lee,The Voronoi Treemap is a space-filling treemap technique that relaxes the constraints ofrectangular nodes. Its organic shapes maintain a one-to-one aspect ratio; are flexible withtheir placement; allowing stable zooming and dynamic data values. In this paper; we presentalgorithms for efficient computation and dynamic update of Voronoi Treemaps. Our GPGPU-based technique allows for rapid computation of centroidal Voronoi Diagrams; providingalmost two orders of magnitude speedup over previous work. In addition; we present ahierarchical algorithm for stable updates. Finally; we demonstrate the application of Voronoitreemaps to real-world dynamic datasets; including interactive navigation.,Voronoi Diagrams in Science and Engineering (ISVD); 2010 International Symposium on,2010,36
Animation for visualization: opportunities and drawbacks,Danyel Fisher,The use of Java; Flash; Silverlight; and JavaScript on the Web has made it easier todistribute animated; interactive visualizations. Many visualizers are beginning to think abouthow to make their visualizations more compelling with animation. There are many goodguides on how to make static visualizations more effective; and many applications supportinteractivity well. But animated visualization is still a new area; there is little consensus onwhat makes for a good animation. The intuition behind animation seems clear enough: if atwo-dimensional image is good; then a moving image should be better. Movement isfamiliar: we are accustomed to both moving through the real world and seeing things in itmove smoothly. All around us; items move; grow; and change color in ways that weunderstand deeply and richly.,Ch,2010,36
Helping users sort faster with adaptive machine learning recommendations,Steven M Drucker; Danyel Fisher; Sumit Basu,Abstract Sorting and clustering large numbers of documents can be an overwhelming task:manual solutions tend to be slow; while machine learning systems often present results thatdon't align well with users' intents. We created and evaluated a system for helping users sortlarge numbers of documents into clusters. iCluster has the capability to recommend newitems for existing clusters and appropriate clusters for items. The recommendations arebased on a learning model that adapts over time–as the user adds more items to a cluster;the system's model improves and the recommendations become more relevant. Thirty-twosubjects used iCluster to sort hundreds of data items both with and withoutrecommendations; we found that recommendations allow users to sort items more rapidly. Apool of 161 raters then assessed the quality of the resulting clusters; finding that clusters …,IFIP Conference on Human-Computer Interaction,2011,34
Visual summarization of web pages,*,A visual summarization of a web page is generated. This generally involves identifying atleast one of; an image that is exemplary of the page content; text that is exemplary of thepage content; and a logo associated with the web page. The exemplary image and logo; ifidentified; are scaled to prescribed sizes. The exemplary image can act as a backgroundimage for the summarization; or a scaled version of the at least a portion of the web pagecan act as the background image. In the latter; if an exemplary image was identified; it isoverlaid onto the background image at a prescribed location. In either case; if a logo wasidentified; it is also overlaid onto the background image at a prescribed location. Ifexemplary text was identified; a text area in the background image is identified and at leastsome of the exemplary text is inserted.,*,2010,32
