Database architecture optimized for the new bottleneck: Memory access,Peter A Boncz; Stefan Manegold; Martin L Kersten,Abstract In the past decade; advances in speed of commodity CPUs have far out-pacedadvances in memory latency. Main-memory access is therefore increasingly a performancebottleneck for many computer applications; including database systems. In this article; weuse a simple scan test to show the severe impact of this bottleneck. The insights gained aretranslated into guidelines for database architecture; in terms of both data structures andalgorithms. We discuss how vertically fragmented data structures optimize cacheperformance on sequential data access. We then focus on equi-join; typically a random-access operation; and introduce radix algorithms for partitioned hash-join. The performanceof these algorithms is quantified using a detailed analytical model that incorporates memoryaccess cost. Experiments that validate this model were performed on the Monet database …,VLDB,1999,411
Merging what's cracked; cracking what's merged: adaptive indexing in main-memory column-stores,Stratos Idreos; Stefan Manegold; Harumi Kuno; Goetz Graefe,Abstract Adaptive indexing is characterized by the partial creation and refinement of theindex as side effects of query execution. Dynamic or shifting workloads may benefit frompreliminary index structures focused on the columns and specific key ranges actuallyqueried---without incurring the cost of full index construction. The costs and benefits ofadaptive indexing techniques should therefore be compared in terms of initialization costs;the overhead imposed upon queries; and the rate at which the index converges to a statethat is fully-refined for a particular workload component. Based on an examination ofdatabase cracking and adaptive merging; which are two techniques for adaptive indexing;we seek a hybrid technique that has a low initialization cost and also converges rapidly. Wefind the strengths and weaknesses of database cracking and adaptive merging …,Proceedings of the VLDB Endowment,2011,98
Hardware-oblivious parallelism for in-memory column-stores,Max Heimel; Michael Saecker; Holger Pirk; Stefan Manegold; Volker Markl,Abstract The multi-core architectures of today's computer systems make parallelism anecessity for performance critical applications. Writing such applications in a generic;hardware-oblivious manner is a challenging problem: Current database systems thus relyon labor-intensive and error-prone manual tuning to exploit the full potential of modernparallel hardware architectures like multi-core CPUs and graphics cards. We propose analternative design for a parallel database engine; based on a single set of hardware-oblivious operators; which are compiled down to the actual hardware at runtime. This designreduces the development overhead for parallel database engines; while achievingcompetitive performance to hand-tuned systems. We provide a proof-of-concept for thisdesign by integrating operators written using the parallel programming framework …,Proceedings of the VLDB Endowment,2013,85
The researcher’s guide to the data deluge: Querying a scientific database in just a few seconds,Martin L Kersten; Stratos Idreos; Stefan Manegold; Erietta Liarou,ABSTRACT There is a clear need for interactive exploration of extremely large databases;especially in the area of scientific data management where ingestion of multiple Terabyteson a daily basis is foreseen. Unfortunately; current data management technology is not well-suited for such overwhelming demands. In light of these challenges; we should rethink someof the strict requirements database systems adopted in the past. We envision that nextgeneration database systems should interpret queries by their intent; rather than as acontract carved in stone for complete and correct answers. The result set should aid the userin understanding the database's content and provide guidance to continue the dataexploration journey. A scientist can stepwise explore deeper and deeper into the database;and stop when the result content and quality reaches his satisfaction point. At the same …,PVLDB Challenges and Visions,2011,85
Updating a cracked database,Stratos Idreos; Martin L Kersten; Stefan Manegold,Abstract A cracked database is a datastore continuously reorganized based on operationsbeing executed. For each query; the data of interest is physically reclustered to speed-upfuture access to the same; overlapping or even disjoint data. This way; a cracking DBMS self-organizes and adapts itself to the workload. So far; cracking has been considered for staticdatabases only. In this paper; we introduce several novel algorithms for high-volumeinsertions; deletions and updates against a cracked database. We show that the niceperformance properties of a cracked database can be maintained in a dynamic environmentwhere updates interleave with queries. Our algorithms comply with the cracking philosophy;ie; a table is informed on pending insertions and deletions; but only when the relevant datais needed for query processing just enough pending update actions are applied.,Proceedings of the 2007 ACM SIGMOD international conference on Management of data,2007,79
What happens during a join? Dissecting CPU and memory optimization effects,Stefan Manegold; Peter A Boncz; Martin L Kersten,*,Proceedings of the 26th international conference on very large data bases,2000,78
Slot index spatial join,Nikos Mamoulis; Dimitris Papadias,Efficient processing of spatial joins is very important due to their high cost and frequentapplication in spatial databases and other areas involving multidimensional data. This paperproposes slot index spatial join (SISJ); an algorithm that joins a nonindexed data set withone indexed by an R-tree. We explore two optimization techniques that reduce the spacerequirements and the computational cost of SISJ and we compare it; analytically andexperimentally; with other spatial join methods for two cases: 1) when the nonindexed inputis read from disk and 2) when it is an intermediate result of a preceding database operator ina complex query plan. The importance of buffer splitting between consecutive join operatorsis also demonstrated through a two-join case study and a method that estimates the optimalsplitting is proposed. Our evaluation shows that SISJ outperforms alternative methods in …,IEEE Transactions on Knowledge and Data Engineering,2003,61
Pathfinder: XQuery---the relational way,Peter Boncz; Torsten Grust; Maurice van Keulen; Stefan Manegold; Jan Rittinger; Jens Teubner,Abstract Relational query processors are probably the best understood (as well as the bestengineered) query engines available today. Although carefully tuned to process instances ofthe relational model (tables of tuples); these processors can also provide a foundation forthe evaluation of" alien"(non-relational) query languages: if a relational encoding of the aliendata model and its associated query language is given; the RDBMS may act like a special-purpose processor for the new language.,Proceedings of the 31st international conference on Very large data bases,2005,57
Data vaults: a symbiosis between database technology and scientific file repositories,Milena Ivanova; Martin Kersten; Stefan Manegold,Abstract In this short paper we outline the data vault; a database-attached external filerepository. It provides a true symbiosis between a DBMS and existing file-basedrepositories. Data is kept in its original format while scalable processing functionality isprovided through the DBMS facilities. In particular; it provides transparent access to all datakept in the repository through an (array-based) query language using the file-type specificscientific libraries. The design space for data vaults is characterized by requirements comingfrom various fields. We present a reference architecture for their realization in (commercial)DBMSs and a concrete implementation in MonetDB for remote sensing data geared atcontent-based image retrieval.,International Conference on Scientific and Statistical Database Management,2012,52
Cracking the database store,Martin L Kersten; Stefan Manegold,Abstract Query performance strongly depends on finding an execution plan that touches asfew superfluous tuples as possible. The access structures deployed for this purpose;however; are non-discriminative. They assume every subset of the domain being indexed isequally important; and their structures cause a high maintenance overhead during updates.This approach often fails in decision support or scientific environments where indexselection represents a weak compromise amongst many plausible plans. An alternativeroute; explored here; is to continuously adapt the database organization by makingreorganization an integral part of the query evaluation process. Every query is first analyzedfor its contribution to break the database into multiple pieces; such that both the requiredsubset is easily retrieved and subsequent queries may benefit from the new partitioning …,CIDR,2005,47
Cache-conscious radix-decluster projections,Stefan Manegold; Peter Boncz; Niels Nes; Martin Kersten,Abstract As CPUs become more powerful with Moore's law and memory latencies stayconstant; the impact of the memory access performance bottleneck continues to grow onrelational operators like join; which can exhibit random access on a memory region largerthan the hardware caches. While cache-conscious variants for various relational algorithmshave been described; previous work has mostly ignored (the cost of) projection columns.However; real-life joins almost always come with projections; such that proper projectioncolumn manipulation should be an integral part of any generic join algorithm. In this paper;we analyze cache-conscious hash-join algorithms including projections on two storageschemes: N-ary Storage Model (NSM) and Decomposition Storage Model (DSM). It turnsout; that the strategy of first executing the join and only afterwards dealing with the …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,47
Accelerating Foreign-Key Joins using Asymmetric Memory Channels.,Holger Pirk; Stefan Manegold; Martin L Kersten,ABSTRACT Indexed Foreign-Key Joins expose a very asymmetric access pattern: theForeign-Key Index is sequentially scanned whilst the Primary-Key table is target of manyquasi-random lookups which is the dominant cost factor. To reduce the costs of the randomlookups the fact-table can be (re-) partitioned at runtime to increase access locality on thedimension table; and thus limit the random memory access to inside the CPU's cache.However; this is very hard to optimize and the performance impact on recent architectures islimited because the partitioning costs consume most of the achievable join improvement [3].GPGPUs on the other hand have an architecture that is well suited for this operation: arelatively slow connection to the large system memory and a very fast connection to thesmaller internal device memory. We show how to accelerate Foreign-Key Joins by …,ADMS@ VLDB,2011,42
Understanding sources of ineffciency in general-purpose chips,Rehan Hameed; Wajahat Qadeer; Megan Wachs; Omid Azizi; Alex Solomatnikov; Benjamin C Lee; Stephen Richardson; Christos Kozyrakis; Mark Horowitz,Abstract Scaling the performance of a power limited processor requires decreasing theenergy expended per instruction executed; since energy/op* op/second is power. To betterunderstand what improvement in processor efficiency is possible; and what must be done tocapture it; we quantify the sources of the performance and energy overheads of a 720p HDH. 264 encoder running on a general-purpose four-processor CMP system. The initialoverheads are large: the CMP was 500 x less energy efficient than an Application SpecificIntegrated Circuit (ASIC) doing the same job. We explore methods to eliminate theseoverheads by transforming the CPU into a specialized system for H. 264 encoding. Broadlyapplicable optimizations like single instruction; multiple data (SIMD) units improve CMPperformance by 14 x and energy by 10x; which is still 50x worse than an ASIC. The …,Communications of the ACM,2011,39
Concurrency control for adaptive indexing,Goetz Graefe; Felix Halim; Stratos Idreos; Harumi Kuno; Stefan Manegold,Abstract Adaptive indexing initializes and optimizes indexes incrementally; as a side effect ofquery processing. The goal is to achieve the benefits of indexes while hiding or minimizingthe costs of index creation. However; index-optimizing side effects seem to turn read-onlyqueries into update transactions that might; for example; create lock contention. This paperstudies concurrency control in the context of adaptive indexing. We show that the design andimplementation of adaptive indexing rigorously separates index structures from indexcontents; this relaxes the constraints and requirements during adaptive indexing comparedto those of traditional index updates. Our design adapts to the fact that an adaptive index isrefined continuously; and exploits any concurrency opportunities in a dynamic way.,Proceedings of the VLDB Endowment,2012,38
The repeatability experiment of SIGMOD 2008,Ioana Manolescu; Loredana Afanasiev; Andrei Arion; Jens Dittrich; Stefan Manegold; Neoklis Polyzotis; Karl Schnaitter; Pierre Senellart; Spyros Zoupanos; Dennis Shasha,Abstract SIGMOD 2008 was the first database conference that offered to test submitters'programs against their data to verify the experiments published. This paper discusses therationale for this effort; the community's reaction; our experiences; and advice for futuresimilar efforts.,ACM SIGMOD Record,2008,38
Understanding; modeling; and improving main-memory database performance,Stefan Manegold,Databases have not only become essential to business and science; but also begin toappear more and more in everyday life. Classically; databases are used to maintain internalbusiness data about employees; clients; accounting; stock; and manufacturing processes.Furthermore; companies nowadays use them to present data to customers and clients on theWorld-Wide-Web. In science; databases store the data gathered by astronomers; byinvestigators of the human genome; and by biochemists exploring the medical properties ofproteins; to name only a few examples. With home-PC's becoming more and more powerful—one can easily get 1 gigabyte (GB) of mainmemory and up to 160 GB on a single commoditydisk drive—database systems are beginning to appear as a common tool for variouscomputer applications; much as spreadsheets and word processors did before them …,*,2002,37
ROX: run-time optimization of XQueries,Riham Abdel Kader; Peter Boncz; Stefan Manegold; Maurice Van Keulen,Abstract Optimization of complex XQueries combining many XPath steps and joins iscurrently hindered by the absence of good cardinality estimation and cost models forXQuery. Additionally; the state-of-the-art of even relational query optimization still strugglesto cope with cost model estimation errors that increase with plan size; as well as with theeffect of correlated joins and selections. In this research; we propose to radically depart fromthe traditional path of separating the query compilation and query execution phases; byhaving the optimizer execute; materialize partial results; and use sampling based estimationtechniques to observe the characteristics of intermediates. The proposed technique takes asinput a Join Graph where the edges are either equi-joins or XPath steps; and the executionenvironment provides value-and structural-join algorithms; as well as structural and value …,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009,35
Benchmarking adaptive indexing,Goetz Graefe; Stratos Idreos; Harumi Kuno; Stefan Manegold,Abstract Ideally; realizing the best physical design for the current and all subsequentworkloads would impact neither performance nor storage usage. In reality; workloads anddatasets can change dramatically over time and index creation impacts the performance ofconcurrent user and system activity. We propose a framework that evaluates the key premiseof adaptive indexing—a new indexing paradigm where index creation and re-organizationtake place automatically and incrementally; as a side-effect of query execution. We focus onhow the incremental costs and benefits of dynamic reorganization are distributed across theworkload's lifetime. We believe measuring the costs and utility of the stages of adaptationare relevant metrics for evaluating new query processing paradigms and comparing them totraditional approaches.,Technology Conference on Performance Evaluation and Benchmarking,2010,34
Updating the Pre/Post Plane in MonetDB/XQuery.,Peter A Boncz; Stefan Manegold; Jan Rittinger,ABSTRACT We outline an efficient ACID-compliant mechanism for structural inserts anddeletes in relational XML document storage that uses a region based pre/size/levelencoding (equivalent to the pre/post encoding). Updates to such node-numbering schemesare considered prohibitive (ie physical cost linear to document size); because structuralupdates cause shifts in all pre-numbers after the update point; and require updates of thesize of all ancestors; such that the root of the tree becomes a locking bottleneck. We showhow such locking can be avoided by updating the size of ancestors using deltaincrements;which are transaction-commutative operations. We also reduce the physical cost to theminimum (ie linear to update volume) by carefully exploiting the virtual column feature ofMonetDB to store pre numbers (virtual columns are never materialized; and thus need not …,*,2005,33
CPU and cache efficient management of memory-resident databases,Holger Pirk; Florian Funke; Martin Grund; Thomas Neumann; Ulf Leser; Stefan Manegold; Alfons Kemper; Martin Kersten,Memory-Resident Database Management Systems (MRDBMS) have to be optimized for tworesources: CPU cycles and memory bandwidth. To optimize for bandwidth in mixedOLTP/OLAP scenarios; the hybrid or Partially Decomposed Storage Model (PDSM) hasbeen proposed. However; in current implementations; bandwidth savings achieved bypartial decomposition come at increased CPU costs. To achieve the aspired bandwidthsavings without sacrificing CPU efficiency; we combine partially decomposed storage withJust-in-Time (JiT) compilation of queries; thus eliminating CPU inefficient function calls.Since existing cost based optimization components are not designed for JiT-compiled queryexecution; we also develop a novel approach to cost modeling and subsequent storagelayout optimization. Our evaluation shows that the JiT-based processor maintains the …,Data Engineering (ICDE); 2013 IEEE 29th International Conference on,2013,30
Waste not… Efficient co-processing of relational data,Holger Pirk; Stefan Manegold; Martin Kersten,The variety of memory devices in modern computer systems holds opportunities as well aschallenges for data management systems. In particular; the exploitation of GraphicsProcessing Units (GPUs) and their fast memory has been studied quite intensively.However; current approaches treat GPUs as systems in their own right and fail to provide ageneric strategy for efficient CPU/GPU cooperation. We propose such a strategy forrelational query processing: calculating an approximate result based on lossily compressed;GPU-resident data and refine the result using residuals; ie; the lost data; on the CPU. Wedeveloped the required algorithms; implemented the strategy in an existing DBMS andfound up to 8 times performance improvement; even for datasets larger than the availableGPU memory.,Data Engineering (ICDE); 2014 IEEE 30th International Conference on,2014,27
Database cracking: fancy scan; not poor man's sort!,Holger Pirk; Eleni Petraki; Stratos Idreos; Stefan Manegold; Martin Kersten,Abstract Database Cracking is an appealing approach to adaptive indexing: on every range-selection query; the data is partitioned using the supplied predicates as pivots. The core ofdatabase cracking is; thus; pivoted partitioning. While pivoted partitioning; like scanning;requires a single pass through the data it tends to have much higher costs due to lower CPUefficiency. In this paper; we conduct an in-depth study of the reasons for the low CPUefficiency of pivoted partitioning. Based on the findings; we develop an optimized versionwith significantly higher (single-threaded) CPU efficiency. We also develop a number ofmulti-threaded implementations that are effectively bound by memory bandwidth. Combiningall of these optimizations we achieve an implementation that has costs close to or better thanan ordinary scan on a variety of systems ranging from low-end (cheaper than $300) …,Proceedings of the Tenth International Workshop on Data Management on New Hardware,2014,25
SciQL: array data processing inside an RDBMS,Ying Zhang; Martin Kersten; Stefan Manegold,Abstract Scientific discoveries increasingly rely on the ability to efficiently grind massiveamounts of experimental data using database technologies. To bridge the gap between theneeds of the Data-Intensive Research fields and the current DBMS technologies; we haveintroduced SciQL (pronounced as' cycle'). SciQL is the first SQL-based declarative querylanguage for scientific applications with both tables and arrays as first class citizens. Itprovides a seamless symbiosis of array-; set-and sequence-interpretations. A key innovationis the extension of value-based grouping of SQL: 2003 with structural grouping; ie; grouparray elements based on their positions. This leads to a generalisation of window-basedquery processing with wide applicability in science domains. In this demo; we showcase aproof of concept implementation of SciQL in the relational database system MonetDB …,Proceedings of the 2013 ACM SIGMOD International Conference on Management of Data,2013,25
Repeatability and workability evaluation of SIGMOD 2011,Philippe Bonnet; Stefan Manegold; Matias Bjørling; Wei Cao; Javier Gonzalez; Joel Granados; Nancy Hall; Stratos Idreos; Milena Ivanova; Ryan Johnson; David Koop; Tim Kraska; René Müller; Dan Olteanu; Paolo Papotti; Christine Reilly; Dimitris Tsirogiannis; Cong Yu; Juliana Freire; Dennis Shasha,Abstract SIGMOD has offered; since 2008; to verify the experiments published in the papersaccepted at the conference. This year; we have been in charge of reproducing theexperiments provided by the authors (repeatability); and exploring changes to experimentparameters (workability). In this paper; we assess the SIGMOD repeatability process in termsof participation; review process and results. While the participation is stable in terms ofnumber of submissions; we find this year a sharp contrast between the high participationfrom Asian authors and the low participation from American authors. We also find that mostexperiments are distributed as Linux packages accompanied by instructions on how to setupand run the experiments. We are still far from the vision of executable papers.,ACM SIGMOD Record,2011,25
Pathfinder: Relational xquery over multi-gigabyte XML inputs in interactive time,Peter Alexander Boncz; Torsten Grust; Stefan Manegold; Jan Rittinger; Jens Teubner,textabstractUsing a relational DBMS as back-end engine for an XQuery processing systemleverages relational query optimization and scalable query processing strategies providedby mature DBMS engines in the XML domain. Though a lot of theoretical work has beendone in this area and various solutions have been proposed; no complete systems havebeen made available so far to give the practical evidence that this is a viable approach. Inthis paper; we describe the ourely relational XQuery processor Pathfinder that has been builton top of the extensible RDBMS MonetDB. Performance results indicate that the system iscapable of evaluating XQuery queries efficiently; even if the input XML documents becomehuge. We additionally present further contributions such as loop-lifted staircase join;techniques to derive order properties and to reduce sorting effort in the generated …,Information Systems [INS],2005,25
MonetDB/DataCell: online analytics in a streaming column-store,Erietta Liarou; Stratos Idreos; Stefan Manegold; Martin Kersten,Abstract In DataCell; we design streaming functionalities in a modern relational databasekernel which targets big data analytics. This includes exploitation of both itsstorage/execution engine and its optimizer infrastructure. We investigate the opportunitiesand challenges that arise with such a direction and we show that it carries significantadvantages for modern applications in need for online analytics such as web logs; networkmonitoring and scientific data management. The major challenge then becomes the efficientsupport for specialized stream features; eg; multi-query processing and incremental window-based processing as well as exploiting standard DBMS functionalities in a streamingenvironment such as indexing. This demo presents DataCell; an extension of the MonetDBopen-source column-store for online analytics. The demo gives users the opportunity to …,Proceedings of the VLDB Endowment,2012,24
Transactional support for adaptive indexing,Goetz Graefe; Felix Halim; Stratos Idreos; Harumi Kuno; Stefan Manegold; Bernhard Seeger,Abstract Adaptive indexing initializes and optimizes indexes incrementally; as a side effect ofquery processing. The goal is to achieve the benefits of indexes while hiding or minimizingthe costs of index creation. However; index-optimizing side effects seem to turn read-onlyqueries into update transactions that might; for example; create lock contention. This paperstudies concurrency control and recovery in the context of adaptive indexing. We show thatthe design and implementation of adaptive indexing rigorously separates index structuresfrom index contents; this relaxes constraints and requirements during adaptive indexingcompared to those of traditional index updates. Our design adapts to the fact that anadaptive index is refined continuously and exploits any concurrency opportunities in adynamic way. A detailed experimental analysis demonstrates that (a) adaptive indexing …,The VLDB Journal,2014,22
A multi-query optimizer for Monet,Stefan Manegold; Arjan Pellenkoft; Martin Kersten,Abstract Database systems allow for concurrent use of several applications (and queryinterfaces). Each application generates an “optimal” plan—a sequence of low-leveldatabase operators—for accessing the database. The queries posed by users through thesame application can be optimized together using traditional multi-query optimizationtechniques. However; the commonalities among queries of different applications are notexploited. In this paper we present an efficient inter-application multi-query optimizer that re-uses previously computed (intermediate) results and eliminates redundant work.Experimental results on a single CPU system and a parallel system show that the inter-application multi-query optimizer improves the query evaluation performance significantly.,British National Conference on Databases,2000,21
Holistic indexing in main-memory column-stores,Eleni Petraki; Stratos Idreos; Stefan Manegold,Abstract Great database systems performance relies heavily on index tuning; ie; creatingand utilizing the best indices depending on the workload. However; the complexity of theindex tuning process has dramatically increased in recent years due to ad-hoc workloadsand shortage of time and system resources to invest in tuning. This paper introduces holisticindexing; a new approach to automated index tuning in dynamic environments. Holisticindexing requires zero set-up and tuning effort; relying on adaptive index creation as a side-effect of query processing. Indices are created incrementally and partially; they arecontinuously refined as we process more and more queries. Holistic indexing takes the state-of-the-art adaptive indexing ideas a big step further by introducing the notion of a systemwhich never stops refining the index space; taking educated decisions about which index …,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,2015,19
The calibrator (v0. 9e); a cache-memory and TLB calibration tool,Stefan Manegold; Peter Boncz,*,*,2004,19
An empirical evaluation of XQuery processors,Stefan Manegold,Abstract This paper presents an extensive and detailed experimental evaluation of XQueryprocessors. The study consists of running five publicly available XQuery benchmarks—theMichigan benchmark (MBench); XBench; XMach-1; XMark and X007—on six XQueryprocessors; three stand-alone (file-based) XQuery processors (Galax; Qizx/Open; Saxon-B)and three XML/XQuery database systems (BerkeleyDB/XML; MonetDB/XQuery; X-Hive/DB).Next to assessing and comparing the functionality; performance and scalability for thevarious systems; the major focus of this work is to report in detail about the experiencesmade while performing such an exhaustive study; to discuss all the problems that weencountered and how we solved them; and hence to hopefully provide some guidelines (oreven a recipe) for performing reproducible large-scale experimental research and system …,Information Systems,2008,17
Real-time wildfire monitoring using scientific database and linked data technologies,Manolis Koubarakis; Charalambos Kontoes; Stefan Manegold,Abstract We present a real-time wildfire monitoring service that exploits satellite images andlinked geospatial data to detect hotspots and monitor the evolution of fire fronts. The servicemakes heavy use of scientific database technologies (array databases; SciQL; data vaults)and linked data technologies (ontologies; linked geospatial data; stSPARQL) and isimplemented on top of MonetDB and Strabon. The service is now operational at the NationalObservatory of Athens and has been used during the previous summer by emergencymanagers monitoring wildfires in Greece.,Proceedings of the 16th International Conference on Extending Database Technology,2013,16
