Utility-driven data acquisition in participatory sensing,Mehdi Riahi; Thanasis G Papaioannou; Immanuel Trummer; Karl Aberer,Abstract Participatory sensing (PS) is becoming a popular data acquisition means forinteresting emerging applications. However; as data queries from these applicationsincrease; the sustainability of this platform for multiple concurrent applications is at stake. Inthis paper; we consider the problem of efficient data acquisition in PS when queries ofdifferent types come from different applications. We effectively deal with the issues related toresource constraints; user privacy; data reliability; and uncontrolled mobility. We formulatethe problem as multi-query optimization and propose efficient heuristics for its effectivesolution for the various query types and mixes that enable sustainable sensing. Based onsimulations with real and artificial data traces; we found that our heuristic algorithmsoutperform baseline approaches in a multitude of settings considered.,Proceedings of the 16th International Conference on Extending Database Technology,2013,37
Parallelizing query optimization on shared-nothing architectures,Immanuel Trummer; Christoph Koch,Abstract Data processing systems offer an ever increasing degree of parallelism on thelevels of cores; CPUs; and processing nodes. Query optimization must exploit high degreesof parallelism in order not to gradually become the bottleneck of query evaluation. We showhow to parallelize query optimization at a massive scale. We present algorithms for parallelquery optimization in left-deep and bushy plan spaces. At optimization start; we divide theplan space for a given query into partitions of equal size that are explored in parallel byworker nodes. At the end of optimization; each worker returns the optimal plan in its partitionto the master which determines the globally optimal plan from the partition-optimal plans. Nosynchronization or data exchange is required during the actual optimization phase. Theamount of data sent over the network; at the start and at the end of optimization; as well as …,Proceedings of the VLDB Endowment,2016,3
Method for multi-objective quality-driven service selection,*,This invention relates to the field of multi-objective workflow optimization. Certain exemplaryembodiments of the invention are applicable in cases where workflow descriptions containchoice variables relating for instance to the selection of a specific service provider out ofseveral service providers that provide similar services; to the selection of human workers; orto the selection between alternative subworkflows. A binding represents a combination ofchoices; binding the choice variables to specific values. Bindings induce specific cost and/orquality properties to the workflow; a binding being Pareto-optimal if no other binding existsthat is at least as good for every cost and/or quality property and better for at least oneproperty. Certain exemplary embodiments relate to a system and/or computer-implementedmethod for computing an approximation of the set of Pareto-optimal bindings such that …,*,2013,3
The magazine archive includes every article published in Communications of the ACM for over the past 50 years.,Guy Kindler; Anup Rao; Ryan O'Donnell; Avi Wigderson,Foam problems are about how to best partition space into bubbles of minimal surface area.We investigate the case where one unit-volume bubble is required to tile d-dimensionalspace in a periodic fashion according to the standard; cubical lattice. While a cube requiressurface area 2d; we construct such a bubble having surface area very close to that of asphere; that is; proportional to cacm5510_b. gif (the minimum possible even without theconstraint of being periodic). Our method for constructing this" spherical cube" is inspired byfoundational questions in the theory of computation related to the concept of hardnessamplification. Our methods give new algorithms for" coordinated discretization" of high-dimensional data points; which have near-optimal noise resistance. We also provide themost efficient known cubical foam in three dimensions.,Communications of the ACM,*,3
Probably Approximately Optimal Query Optimization,Immanuel Trummer; Christoph Koch,Abstract: Evaluating query predicates on data samples is the only way to estimate theirselectivity in certain scenarios. Finding a guaranteed optimal query plan is not a reasonableoptimization goal in those cases as it might require an infinite number of samples. Wetherefore introduce probably approximately optimal query optimization (PAO) where the goalis to find a query plan whose cost is near-optimal with a certain probability. We will justifywhy PAO is a suitable formalism to model scenarios in which predicate sampling andoptimization need to be interleaved. We present the first algorithm for PAO. Our algorithm isnon-intrusive and uses standard query optimizers and sampling components as sub-functions. It is generic and can be applied to a wide range of scenarios. Our algorithm isiterative and calculates in each iteration a query plan together with a region in the …,arXiv preprint arXiv:1511.01782,2015,2
Dynamically selecting composition algorithms for economical composition as a service,Immanuel Trummer; Boi Faltings,Abstract Various algorithms have been proposed for the problem of quality-driven servicecomposition. They differ by the quality of the resulting executable processes and by theirprocessing costs. In this paper; we study the problem of service composition from aneconomical point of view and adopt the perspective of a Composition as a Service provider.Our goal is to minimize composition costs while delivering executable workflows of aspecified average quality. We propose to dynamically select different composition algorithmsfor different workflow templates based upon template structure and workflow priority. Forevaluating our selection algorithm; we consider two classic approaches to quality-drivencomposition; genetic algorithms and integer linear programming with different parametersettings. An extensive experimental evaluation shows significant gains in efficiency when …,International Conference on Service-Oriented Computing,2011,2
Cost Optimal Provisioning of Cloud Applications,Immanuel Trummer,*,*,2010,2
Multi-objective parametric query optimization,Immanuel Trummer; Christoph Koch,Abstract Classical query optimization compares query plans according to one cost metricand associates each plan with a constant cost value. In this paper; we introduce the multi-objective parametric query optimization (MPQO) problem where query plans are comparedaccording to multiple cost metrics and the cost of a given plan according to a given metric ismodeled as a function that depends on multiple parameters. The cost metrics may; forinstance; include execution time or monetary fees; a parameter may represent the selectivityof a query predicate that is unspecified at optimization time. MPQO generalizes parametricquery optimization (which allows multiple parameters but only one cost metric) and multi-objective query optimization (which allows multiple cost metrics but no parameters). Weformally analyze the novel MPQO problem and show why existing algorithms are …,The VLDB Journal,2017,1
Data vocalization: optimizing voice output of relational data,Immanuel Trummer; Jiancheng Zhu; Mark Bryan,Abstract Research on data visualization aims at finding the best way to present data viavisual interfaces. We introduce the complementary problem of" data vocalization". Our goalis to present relational data in the most efficient way via voice output. This problem setting ismotivated by emerging tools and devices (eg; Google Home; Amazon Echo; Apple's Siri; orvoice-based SQL interfaces) that communicate data primarily via audio output to their users.We treat voice output generation as an optimization problem. The goal is to minimizespeaking time while transmitting an approximation of a relational table to the user. Weconsider constraints on the precision of the transmitted data as well as on the cognitive loadplaced on the listener. We formalize voice output optimization and show that it is NP-hard.We present three approaches to solve that problem. First; we show how the problem can …,Proceedings of the VLDB Endowment,2017,*
Solving the Join Ordering Problem via Mixed Integer Linear Programming,Immanuel Trummer; Christoph Koch,Abstract We transform join ordering into a mixed integer linear program (MILP). This allowsto address query optimization by mature MILP solver implementations that have evolvedover decades and steadily improved their performance. They offer features such as anytimeoptimization and parallel search that are highly relevant for query optimization. We present aMILP formulation for searching left-deep query plans. We use sets of binary variables torepresent join operands and intermediate results; operator implementation choices or thepresence of interesting orders. Linear constraints restrict value assignments to the onesrepresenting valid query plans. We approximate the cost of scan and join operations vialinear functions; allowing to increase approximation precision up to arbitrary degrees. Weintegrated a prototypical implementation of our approach into the Postgres optimizer and …,Proceedings of the 2017 ACM International Conference on Management of Data,2017,*
From Massive Parallelization to Quantum Computing: Seven Novel Approaches to Query Optimization,Immanuel Trummer,Abstract The goal of query optimization is to map a declarative query (describing data togenerate) to a query plan (describing how to generate the data) with optimal execution cost.Query optimization is required to support declarative query interfaces. It is a core problem inthe area of database systems and has received tremendous attention in the researchcommunity; starting with an initial publication in 1979. In this thesis; we revisit the queryoptimization problem. This visit is motivated by several developments that change thecontext of query optimization. That change is not reflected in prior literature. First; advancesin query execution platforms and processing techniques have changed the context of queryoptimization. Novel provisioning models and processing techniques such as Cloudcomputing; crowdsourcing; or approximate processing allow to trade between different …,*,2016,*
A Study of Linguistic Drift On Le Temps Newspaper Corpus,Nicolas Bornand; Farah Bouassida; Malik Bougacha; Gil Brechbühler; Tao Lin; Cynthia Oeschger; Marc Schär; Jérémy Weber; Immanuel Trummer; Christoph Koch,Intuition helps us think that; through time; language is changing because of the variation ofthe vocabulary but also in the way words of this vocabulary are used. Along with discoveriesand civilization evolution; some words disappear and others emerge. Moreover; the 21stcentury is characterized by secondary source documents that influence us in our way ofexpressing ourselves. Thus; our study tries to define the features that could prove that thereis a linguistic drift and to quantify the changes with a metric. Our dataset is a french articlescorpus from 1840 to 1998 from two Swiss newspapers. We are provided with xml files ofOCRized articles. The fact that there is less articles during the first years is sometimes to beconsidered; as is the fact that for years 1917 to 1919 we just have one newspaper's articlesand that in 1998; we just have the articles of a few months. Within this project; we want to …,*,2015,*
The RADO approach to Quality-Driven Service Composition-Approximating the Pareto-Frontier in Polynomial Time,Immanuel Trummer; Boi Faltings,ABSTRACT In Quality-Driven Service Composition; tasks from an abstract workflow areassigned to concrete services such that workflow QoS are optimized. The following threeproperties are desirable for a corresponding algorithm. First; the run time is ideally boundedby a polynomial in the number of workflow tasks and service candidates. Second; thealgorithm provides formal guarantees on how close the returned solution is to the optimalone. Third; the algorithm is able to return a representative set of Pareto-optimal solutionsinstead of only one. The user can choose among them or apply arbitrary filter or sortoperations in successive steps. We present the first algorithm that has all three features. Weanalyze its formal properties and evaluate the algorithm experimentally. We find that ouralgorithm is competitive from the theoretical as well as from the practical perspective.,*,2012,*
The magazine archive includes every article published in Communications of the ACM for over the past 50 years.,Immanuel Trummer; Christoph Koch,We propose a generalization of the classical database query optimization problem: multi-objective parametric query (MPQ) optimization. MPQ compares alternative processing plansaccording to multiple execution cost metrics. It also models missing pieces of information onwhich plan costs depend upon as parameters. Both features are crucial to model queryprocessing on modern data processing platforms.MPQ generalizes previously proposedquery optimization variants; such as multi-objective query optimization; parametric queryoptimization; and traditional query optimization. We show; however; that the MPQ problemhas different properties than prior variants and solving it requires novel methods. We presentan algorithm that solves the MPQ problem and finds; for a given query; the set of all relevantquery plans. This set contains all plans that realize optimal execution cost tradeoffs for …,Communications of the ACM,*,*
DA_Trummer2,Immanuel Trummer,In a Software as a Service (SaaS) scenario; customers use software that is hosted andmanaged by a third party; the SaaS provider. Typically this software is run in a remote datacenter and accessed via the Internet. Customers may subscribe and unsubscribe to such anapplication and pay only for the actual use of the software. The SaaS provider on the otherhand can exploit economies of scale by offering the same application to many customers.The process by which an application is made available to customers is called provisioning.For provisioning an application; SaaS providers can exploit resources that are already inuse by other customers; create new resources on their own premises or outsource part of theapplication again to a third party. For provisioning parts of the application; SaaS offers fromother providers as well as Infrastructure as,*,*,*
1 Optimization Tools for Big Data Analytics,Immanuel Trummer,*,*,*,*
