Sieve: linked data quality assessment and fusion,Pablo N Mendes; Hannes Mühleisen; Christian Bizer,Abstract The Web of Linked Data grows rapidly and already contains data originating fromhundreds of data sources. The quality of data from those sources is very diverse; as valuesmay be out of date; incomplete or incorrect. Moreover; data sources may provide conflictingvalues for a single real-world object. In order for Linked Data applications to consume datafrom this global data space in an integrated fashion; a number of challenges have to beovercome. One of these challenges is to rate and to integrate data based on their quality.However; quality is a very subjective matter; and finding a canonic judgement that is suitablefor each and every task is not feasible.,Proceedings of the 2012 Joint EDBT/ICDT Workshops,2012,192
Configuring a self-organized semantic storage service,Hannes Muhleisen; Tilman Walther; Anne Augustin; Marko Harasic; Robert Tolksdorf,Abstract. Scalability requirements for semantic stores lead to distributedhardwareindependent solutions to handle and analyze massive amounts of semantic data.We use a different approach by imitating the behaviour of swarm individuals to achieve thisscalability. We have implemented our concept of a Self-organized Semantic Storage Service(S4) and present preliminary evaluation results in order to investigate to what extent theperformance of a distributed and swarm-based storage system is dependent on itsconfiguration.,The 6th International Workshop On Scalable Semantic Web Knowledge Base Systems (SSWS2010),2010,2
Uniqueness; Density; and Keyness: Exploring Class Hierarchies.,Anja Jentzsch; Hannes Mühleisen; Felix Naumann,Abstract. The Web of Data contains a large number of openly-available datasets covering awide variety of topics. In order to benefit from this massive amount of open data; eg; to addvalue to an organization's internal data; such external datasets must be analyzed andunderstood already at the basic level of data types; uniqueness; constraints; value patterns;etc. For Linked Datasets and other Web data such meta information is currently quite limitedor not available at all. Data profiling techniques are needed to compute respective statisticsand meta information. Analyzing datasets along the vocabulary-defined taxonomichierarchies yields further insights; such as the data distribution at different hierarchy levels;or possible mappings betweens vocabularies or datasets. In particular; key candidates forentities are difficult to find in light of the sparsity of property values on the Web of Data. To …,COLD,2015,1
Web-scale range queries in a self-organized storage service,Hannes Muhleisen; Tilman Walther; Robert Tolksdorf,Abstract Distributed solutions for the storage and retrieval of large amounts of data arenecessary to handle the growing amounts of knowledge expected from future applications.The support for range queries provides much-needed expressivity; for example for querieson data annotated with location and time. We present a novel and scalable way for rangequery evaluation in our distributed storage system based on behaviour found in ants.Routing decisions in this system are taken on the basis of virtual pheromone paths leadingfrom one node to another node; distinct for different data items. Range queries for singleranges can be evaluated by checking the pheromone paths for the entire range and forkingthe operation to several nodes if necessary. An aggregation method ensures the efficiencyof the routing operations. We have evaluated our approach using a synthetic data set …,Proceedings of the 2011 IEEE/WIC/ACM International Conferences on Web Intelligence and Intelligent Agent Technology-Volume 03,2011,1
Package ‘digest’,Dirk Eddelbuettel; Antoine Lucas; Jarek Tuszynski; Henrik Bengtsson; Simon Urbanek; Mario Frasca; Bryan Lewis; Murray Stokely; Hannes Muehleisen; Duncan Murdoch; Jim Hester; Wush Wu; Qiang Kou; Thierry Onkelinx; Michel Lang; Viliam Simko; Kurt Hornik; Maintainer Dirk Eddelbuettel,Description Implementation of a function'digest ()'for the creation of hash digests of arbitraryR objects (using the'md5';'sha-1';'sha-256';'crc32';'xxhash'and'murmurhash'algorithms)permitting easy comparison of R language objects; as well as a function'hmac ()'to createhash-based message authentication code. Please note that this package is not meant to bedeployed for cryptographic purposes for which more comprehensive (and widely tested)libraries such as' OpenSSL'should be used.,*,2018,*
Deep Integration of Machine Learning Into Column Stores,Mark Raasveldt; Pedro Holanda; Hannes Mühleisen; Stefan Manegold,ABSTRACT We leverage vectorized User-Defined Functions (UDFs) to efficiently integrateunchanged machine learning pipelines into an analytical data management system. Theentire pipelines including data; models; parameters and evaluation outcomes are stored andexecuted inside the database system. Experiments using our MonetDB/Python UDFs showgreatly improved performance due to reduced data movement and parallel processingopportunities. In addition; this integration enables meta-analysis of models using relationalqueries.,*,2018,*
Multi-Hypothesis CSV Parsing,Till Döhmen; Hannes Mühleisen; Peter Boncz,Abstract Comma Separated Value (CSV) files are commonly used to represent data. CSV isa very simple format; yet we show that it gives rise to a surprisingly large amount ofambiguities in its parsing and interpretation. We summarize the state-of-the-art in CSVparsers; which typically make a linear series of parsing and interpretation decisions; suchthat any wrong decision at an earlier stage can negatively affect all downstream decisions.Since computation time is much less scarce than human time; we propose to turn CSVparsing into a ranking problem. Our quality-oriented multi-hypothesis CSV parsing approachgenerates several concurrent hypotheses about dialect; table structure; etc. and ranks thesehypotheses based on quality features of the resulting table. This approach makes it possibleto create an advanced CSV parser that makes many different decisions; yet keeps the …,Proceedings of the 29th International Conference on Scientific and Statistical Database Management,2017,*
Scaling column imprints using advanced vectorization,Lefteris Sidirourgos; Hannes Mühleisen,Abstract Column Imprints is a pre-filtering secondary index for answering range queries. Themain feature of imprints is that they are light-weight and are based on compressed bit-vectors; one per cacheline; that quickly determine if the values in that cacheline satisfy thepredicates of a query. The main overhead of the imprints implementation is the manysequential value comparisons against the boundaries of a virtual equi-height histogram.Similarly; during query scans; many sequential value comparisons are performed to identifyfalse positives. In this paper; we speed-up the process of imprints creation and querying byusing advanced vectorization techniques. We also experimentally explore the benefits ofstretching imprints to larger bit-vector sizes and blocks of data; using 256-bit SIMD registers.Our findings are very promising for both imprints and for future index design research that …,Proceedings of the 13th International Workshop on Data Management on New Hardware,2017,*
Database-Inspired Optimizations for Statistical Analysis,Hannes Mühleisen; Alexander Bertram; Maarten-Jan Kallen,Abstract Computing complex statistics on large amounts of data is no longer a corner case;but a daily challenge. However; current tools such as GNU R were not built to efficientlyhandle large data sets. We propose to vastly improve the execution of R scripts byinterpreting them as a declaration of intent rather than a imperative order set in stone. Thisallows us to apply optimization techniques from the columnar data management researchfield. We have implemented several of these optimizers in Renjin; a JVM-based Open-Source execution environment for R scripts. The demonstration of our approach using aseries of micro-benchmarks and experiments on complex survey analysis show orders-of-magnitude improvements in analysis cost.,Journal of Statistical Software,2017,*
MonetDB Jun2016 feature release,ML Kersten; PA Boncz; NJ Nes; S Manegold; KS Mullender; JA deRijke; Y Zhang; M Pham; LHA Scheers; E Petraki; THJ Sellam; Y Kargin; MM Gawade; HF Mühleisen; K Kyzirakos; DG Nedev; CP Cijvat; F Alvanaki; M vanDinther; E Sidirourgos; RA Koopmanschap; M Raasveldt; P Koutsourakis; TR Döhmen; BB Kruit; A Wits; PE Ferreira; SG Stalinov,KNAW Narcis. Back to search results. Publication MonetDB Jun2016 feature release (2016).Pagina-navigatie: Main. Save publication: Save as MODS; Export to Mendeley; Save as EndNote;Export to RefWorks. Title; MonetDB Jun2016 feature release. Author; ML Kersten (Martin); PA Boncz(Peter); NJ Nes (Niels); S. Manegold (Stefan); KS Mullender (Sjoerd); JA de Rijke (Arjen); Y. Zhang(Ying); M.-D. Pham (Minh-Duc); LHA Scheers (Bart); E. Petraki (Eleni); THJ Sellam (Thibault); Y.Kargin (Yagiz); MM Gawade (Mrunal); HF Mühleisen (Hannes); K. Kyzirakos (Konstantinos); DGNedev (Dimitar); CP Cijvat (Robin); F. Alvanaki (Foteini); M. van Dinther (Martin); E. Sidirourgos(Eleftherios); RA Koopmanschap (Richard); M. Raasveldt (Mark); P. Koutsourakis (Panagiotis);TR Döhmen (Till); BB Kruit (Benno); A. Wits (Abe); PE Silva Ferreira (Pedro); SG Stalinov (Svetlin).Supporting host; Database Architectures. Date; 2016 …,*,2016,*
MonetDB Jul2015-SP3 bigfix release,ML Kersten; PA Boncz; NJ Nes; Stefan Manegold; KS Mullender; JA deRijke; Ying Zhang; M Pham; LHA Scheers; Eleni Petraki; THJ Sellam; Yagiz Kargin; MM Gawade; HF Mühleisen; Konstantinos Kyzirakos; DG Nedev; CP Cijvat; Foteini Alvanaki; M vanDinther; Eleftherios Sidirourgos; RA Koopmanschap; Mark Raasveldt; Panagiotis Koutsourakis; TR Döhmen; BB Kruit; Abe Wits,KNAW Narcis. Back to search results. Publication MonetDBJul2015-SP3 bigfix release (2016). Pagina-navigatie: Main …,*,2016,*
Hypoparsr,HF Mühleisen,KNAW Narcis. Back to search results. Publication Hypoparsr (2016). Pagina-navigatie: Main …,*,2016,*
MonetDBLite,HF Mühleisen,KNAW Narcis. Back to search results. Publication MonetDBLite (2016). Pagina-navigatie: Main …,*,2016,*
Wifinetwerk treinen simpel te kraken; ook door een leek-Volkskrant,HF Mühleisen,KNAW Narcis. Back to search results. Publication Wifinetwerk treinen simpel te kraken;ook door een leek - Volkskrant (2015). Pagina-navigatie: Main …,*,2015,*
Wifi in de trein is onveilig en de NS doet er niks aan-Metronieuws. nl,HF Mühleisen,KNAW Narcis. Back to search results. Publication Wifi in de trein is onveilig en de NSdoet er niks aan - Metronieuws.nl (2015). . Pagina-navigatie: Main …,*,2015,*
De wifi in de trein is volstrekt onveilig (en de NS doet er niets aan)-De Correspondent,HF Mühleisen,KNAW Narcis. Back to search results. Publication De wifi in de trein is volstrektonveilig (en de NS doet er... (2015). . Pagina-navigatie: Main …,*,2015,*
Het wifi netwerk in de trein is zo lek als een mandje: NPO Radio 2; Gijs 2.0; 06.08. 2015 [6: 22],HF Mühleisen,KNAW Narcis. Back to search results. Publication Het wifi netwerk in de trein is zo lekals een mandje : NPO Radio 2;... (2015). Pagina-navigatie: Main …,*,2015,*
Insecure wifi in trains-diverse media,HF Mühleisen,KNAW Narcis. Back to search results. Publication Insecure wifi in trains -diverse media (2015). . Pagina-navigatie: Main …,*,2015,*
Thema Film 13: Data Analytics with MonetDB & R,HF Mühleisen,KNAW Narcis. Back to search results. Publication Thema Film 13: DataAnalytics with MonetDB & R (2015). . Pagina-navigatie: Main …,*,2015,*
MonetDB Oct2014-SP1 bugfix release,ML Kersten; PA Boncz; NJ Nes; S Manegold; KS Mullender; JA deRijke; Y Zhang; H Pirk; M Pham; LHA Scheers; E Petraki; THJ Sellam; Y Kargin; MM Gawade; HF Mühleisen; S Héman; K Kyzirakos; DG Nedev; CP Cijvat; F Alvanaki; M vanDinther; E Sidirourgos; MG Ivanova,KNAW Narcis. Back to search results. Publication MonetDB Oct2014-SP1 bugfix release (2014).Pagina-navigatie: Main. Save publication: Save as MODS; Export to Mendeley; Save as EndNote;Export to RefWorks. Title; MonetDB Oct2014-SP1 bugfix release. Author; ML Kersten (Martin);PA Boncz (Peter); NJ Nes (Niels); S. Manegold (Stefan); KS Mullender (Sjoerd); JA de Rijke (Arjen);Y. Zhang (Ying); H. Pirk (Holger); M.-D. Pham (Minh-Duc); LHA Scheers (Bart); E. Petraki (Eleni);THJ Sellam (Thibault); Y. Kargin (Yagiz); MM Gawade (Mrunal); HF Mühleisen (Hannes); S. Héman(Sándor); K. Kyzirakos (Konstantinos); DG Nedev (Dimitar); CP Cijvat (Robin); F. Alvanaki (Foteini);M. van Dinther (Martin); E. Sidirourgos (Eleftherios); MG Ivanova (Milena). Supporting host;Database Architectures; Database Architectures. Date; 2014-11-01. Language; English. Type;Other. Publication; https://ir.cwi.nl/pub/22666 …,*,2014,*
SINGLE-CLICK TO DATA INSIGHTS TRANSACTION REPLICATION AND DEPLOYMENT AUTOMATION MADE SIMPLE FOR THE CLOUD AGE,Dimitar G Nedev; Niels Nes; Hannes Mühleisen; Ying Zhang; Martin Kersten; K Georgieva; Z Kazlacheva; M Pehlivanova,Abstract: In this report we present out initial work on making the MonetDB column-storeanalytical database ready for Cloud deployment. As we stand in the new space betweenresearch and industry we have tried to combine approaches from both worlds. We providedetails how we utilize modern technologies and tools for automating building of virtualmachine image for Cloud; datacentre and desktop use. We also explain our solution toasynchronous transaction replication MonetDB. The report concludes with how this all tiestogether with our efforts to make MonetDB ready for the age where high-performance dataanalytics is available in a single-click.,ARTTE Applied Researches in Technics; Technologies and Education,2014,*
MonetDB Oct2014 feature release,ML Kersten; PA Boncz; NJ Nes; S Manegold; KS Mullender; JA deRijke; Y Zhang; H Pirk; M Pham; LHA Scheers; E Petraki; THJ Sellam; Y Kargin; MM Gawade; HF Mühleisen; S Héman; K Kyzirakos; DG Nedev; CP Cijvat; F Alvanaki; M vanDinther; E Sidirourgos; MG Ivanova,KNAW Narcis. Back to search results. Publication MonetDB Oct2014 feature release (2014).Pagina-navigatie: Main. Save publication: Save as MODS; Export to Mendeley; Save as EndNote;Export to RefWorks. Title; MonetDB Oct2014 feature release. Author; ML Kersten (Martin); PABoncz (Peter); NJ Nes (Niels); S. Manegold (Stefan); KS Mullender (Sjoerd); JA de Rijke (Arjen);Y. Zhang (Ying); H. Pirk (Holger); M.-D. Pham (Minh-Duc); LHA Scheers (Bart); E. Petraki (Eleni);THJ Sellam (Thibault); Y. Kargin (Yagiz); MM Gawade (Mrunal); HF Mühleisen (Hannes); S.Héman (Sándor); K. Kyzirakos (Konstantinos); DG Nedev (Dimitar); CP Cijvat (Robin); F. Alvanaki(Foteini); M. van Dinther (Martin); E. Sidirourgos (Eleftherios); MG Ivanova (Milena). Supportinghost; Database Architectures; Database Architectures. Date; 2014-10-01. Language; English.Type; Other. Publication; https://ir.cwi.nl/pub/22647 …,*,2014,*
