Practical data-oriented microaggregation for statistical disclosure control,Josep Domingo-Ferrer; Josep Maria  Mateo-Sanz,Microaggregation is a statistical disclosure control technique for microdata disseminated instatistical databases. Raw microdata (ie; individual records or data vectors) are grouped intosmall aggregates prior to publication. Each aggregate should contain at least k data vectorsto prevent disclosure of individual information; where k is a constant value preset by the dataprotector. No exact polynomial algorithms are known to date to microaggregate optimally; ie;with minimal variability loss. Methods in the literature rank data and partition them intogroups of fixed-size; in the multivariate case; ranking is performed by projecting data vectorsonto a single axis. In this paper; candidate optimal solutions to the multivariate andunivariate microaggregation problems are characterized. In the univariate case; twoheuristics based on hierarchical clustering and genetic algorithms are introduced which …,IEEE Transactions on Knowledge and data Engineering,2002,575
Balanced trustworthiness; safety; and privacy in vehicle-to-vehicle communications,Qianhong Wu; Josep Domingo-Ferrer; Ursula González-Nicolás,Vehicular ad hoc networks (VANETs) are being designed to improve traffic safety andefficiency. To meet this goal; the messages disseminated in VANETs must be trustworthy.We propose a privacy-preserving system that guarantees message trustworthiness invehicle-to-vehicle (V2V) communications. Vehicle privacy is provided as long as a vehicledoes not attempt to endorse the same message more than once. In spite of a messagehaving been validly endorsed; if it is later found to be false; the system offers the possibilityof a posteriori tracing the message generator and its endorsers. Our proposal demonstratesa number of distinctive features. The system is equipped with both a priori and a posterioricountermeasures. The threshold used for a priori endorsement can adaptively changeaccording to the message urgency and traffic context; rather than being preset in the …,IEEE Transactions on Vehicular Technology,2010,184
Asymmetric group key agreement,Qianhong Wu; Yi Mu; Willy Susilo; Bo Qin; Josep Domingo-Ferrer,Abstract A group key agreement (GKA) protocol allows a set of users to establish a commonsecret via open networks. Observing that a major goal of GKAs for most applications is toestablish a confidential channel among group members; we revisit the group key agreementdefinition and distinguish the conventional (symmetric) group key agreement fromasymmetric group key agreement (ASGKA) protocols. Instead of a common secret key; onlya shared encryption key is negotiated in an ASGKA protocol. This encryption key isaccessible to attackers and corresponds to different decryption keys; each of which is onlycomputable by one group member. We propose a generic construction of one-roundASGKAs based on a new primitive referred to as aggregatable signature-based broadcast(ASBB); in which the public key can be simultaneously used to verify signatures and …,Annual International Conference on the Theory and Applications of Cryptographic Techniques,2009,163
A methodology for direct and indirect discrimination prevention in data mining,Sara Hajian; Josep Domingo-Ferrer,Data mining is an increasingly important technology for extracting useful knowledge hiddenin large collections of data. There are; however; negative social perceptions about datamining; among which potential privacy invasion and potential discrimination. The latterconsists of unfairly treating people on the basis of their belonging to a specific group.Automated data collection and data mining techniques such as classification rule mininghave paved the way to making automated decisions; like loan granting/denial; insurancepremium computation; etc. If the training data sets are biased in what regards discriminatory(sensitive) attributes like gender; race; religion; etc.; discriminatory decisions may ensue. Forthis reason; anti-discrimination techniques including discrimination discovery andprevention have been introduced in data mining. Discrimination can be either direct or …,IEEE Transactions on Knowledge and Data Enginering,2013,150
Comparing SDC methods for microdata on the basis of information loss and disclosure risk,Josep Domingo-Ferrer; Josep M Mateo-Sanz; Vicenç Torra,Abstract: We present in this paper the first empirical comparison of SDC methods formicrodata which encompasses both continuous and categorical microdata. Based on re-identification experiments; we try to optimize the tradeoff between information loss anddisclosure risk. First; relevant SDC methods for continuous and categorical microdata areidentified. Then generic information loss measures (not targeted to specific data uses) aredefined; both in the continuous and the categorical case. Disclosure risk is assessed usingempirical re-identification. Two approaches to empirical re-identification are used: Euclideanrecord linkage and probabilistic record linkage. The results of this comparison will be usedto come up with better SDC for microdata in the recently started EU-funded project CASC.,Pre-proceedings of ETK-NTTS,2001,147
Efficient multivariate data-oriented microaggregation,Josep Domingo-Ferrer; Antoni Martínez-Ballesté; Josep Maria Mateo-Sanz; Francesc Sebé,Abstract Microaggregation is a family of methods for statistical disclosure control (SDC) ofmicrodata (records on individuals and/or companies); that is; for masking microdata so thatthey can be released while preserving the privacy of the underlying individuals. Theprinciple of microaggregation is to aggregate original database records into small groupsprior to publication. Each group should contain at least k records to prevent disclosure ofindividual information; where k is a constant value preset by the data protector. Recently;microaggregation has been shown to be useful to achieve k-anonymity; in addition to itbeing a good masking method. Optimal microaggregation (with minimum within-groupsvariability loss) can be computed in polynomial time for univariate data. Unfortunately; formultivariate data it is an NP-hard problem. Several heuristic approaches to …,The VLDB Journal—The International Journal on Very Large Data Bases,2006,136
A polynomial-time approximation to optimal multivariate microaggregation,Josep Domingo-Ferrer; Francesc Sebé; Agusti Solanas,Abstract Microaggregation is a family of methods for statistical disclosure control (SDC) ofmicrodata (records on individuals and/or companies); that is; for masking microdata so thatthey can be released without disclosing private information on the underlying individuals.Microaggregation techniques are currently being used by many statistical agencies. Theprinciple of microaggregation is to group original database records into small aggregatesprior to publication. Each aggregate should contain at least k records to prevent disclosureof individual information; where k is a constant value preset by the data protector. In additionto it being a good masking method; microaggregation has recently been shown useful toachieve k-anonymity. In k-anonymity; the parameter k specifies the maximum acceptabledisclosure risk; so that; once a value for k has been selected; the only job left is to …,Computers & Mathematics with Applications,2008,127
A critique of k-anonymity and some of its enhancements,Josep Domingo-Ferrer; Vicenç Torra,k-Anonymity is a privacy property requiring that all combinations of key attributes in adatabase be repeated at least for k records. It has been shown that k-anonymity alone doesnot always ensure privacy. A number of sophistications of k-anonymity have been proposed;like p-sensitive k-anonymity; l-diversity and t-closeness. This paper explores theshortcomings of those properties; none of which turns out to be completely convincing.,Availability; Reliability and Security; 2008. ARES 08. Third International Conference on,2008,126
Trustworthy privacy-preserving car-generated announcements in vehicular ad hoc networks,Vanesa Daza; Josep Domingo-Ferrer; Francesc Sebé; Alexandre Viejo,Vehicular ad hoc networks (VANETs) allow vehicle-to-vehicle communication and; inparticular; vehicle-generated announcements. Provided that the trustworthiness of suchannouncements can be guaranteed; they can greatly increase the safety of driving. A newsystem for vehicle-generated announcements is presented that is secure against externaland internal attackers attempting to send fake messages. Internal attacks are thwarted byusing an endorsement mechanism based on threshold signatures. Our system outperformsprevious proposals in message length and computational cost. Three different privacy-preserving variants of the system are also described to ensure that vehicles volunteering togenerate and/or endorse trustworthy announcements do not have to sacrifice their privacy.,IEEE Transactions on Vehicular Technology,2009,108
Record linkage methods for multidatabase data mining,Vicenç Torra; Josep Domingo-Ferrer,Record linkage is one of the existing preprocessing techniques used for data cleaning for distributedand non-homogoneous databases. Such databases contain information about the same individualsdescribed using the same vari- ables that; frequently; do not match due to accidental distortionof the datal. Record linkage techniques are applied in such cases to find the records that correspondto the same individuals and to make databases consistent. Multi- database mining; that typicallycombines databases from different sources and; therefore; non-homogeneous also benefits fromthese tools. This chapter describes existing mechanisms for re-identifying those pairs of recordsin two different data files corresponding to the same individual. We review in this chapter recordlinkage techniques in the case where the files share a set of variables. Techniques for files notsharing any variable have recently been proposed in [10] and will not be discussed here …,*,2003,105
From t-closeness-like privacy to postrandomization via information theory,David Rebollo-Monedero; Jordi Forne; Josep Domingo-Ferrer,t-Closeness is a privacy model recently defined for data anonymization. A data set is said tosatisfy t-closeness if; for each group of records sharing a combination of key attributes; thedistance between the distribution of a confidential attribute in the group and the distributionof the attribute in the entire data set is no more than a threshold t. Here; we define a privacymeasure in terms of information theory; similar to t-closeness. Then; we use the tools of thattheory to show that our privacy measure can be achieved by the postrandomization method(PRAM) for masking in the discrete case; and by a form of noise addition in the general case.,IEEE Transactions on Knowledge and Data Engineering,2010,101
Disclosure risk assessment in statistical microdata protection via advanced record linkage,Josep Domingo-Ferrer; Vicenç Torra,Abstract The performance of Statistical Disclosure Control (SDC) methods for microdata(also called masking methods) is measured in terms of the utility and the disclosure riskassociated to the protected microdata set. Empirical disclosure risk assessment based onrecord linkage stands out as a realistic and practical disclosure risk assessmentmethodology which is applicable to every conceivable masking method. The intruder isassumed to know an external data set; whose records are to be linked to those in theprotected data set; the percent of correctly linked record pairs is a measure of disclosure risk.This paper reviews conventional record linkage; which assumes shared variables betweenthe external and the protected data sets; and then shows that record linkage—and thusdisclosure—is still possible without shared variables.,Statistics and Computing,2003,89
Reference data sets to test and compare SDC methods for protection of numerical microdata,Ruth Brand; J Domingo-Ferrer; JM Mateo-Sanz,During the CASC Research Meeting held in April 2002 in Plymouth; the need was detectedfor reference data sets to test and compare microdata SDC methods. This document is a non-scheduled joint CASC deliverable by Destatis and URV and contains the description of threedata sets which are proposed as reference data for numerical microdata protection. Thethree data sets are described below and are called “CENSUS”;“EIA” and “Tarragona”. The“CENSUS” and “Tarragona” data sets have been used by the URV team in theirpublications. The “EIA” data set is proposed by Ruth Brand (Destatis) as an additional andsomewhat larger data set. All three data sets seem to represent reasonably well real datasets used in business statistics.,European Project IST-2000-25069 CASC,2002,87
V-MDAV: a multivariate microaggregation with variable group size,Agusti Solanas; Antoni Martinez-Balleste; J Domingo-Ferrer,Summary. Microaggregation is a clustering problem with minimum size constraints on theresulting clusters or groups; the number of groups is unconstrained and the within-grouphomogeneity should be maximized. In the context of privacy in statistical databases;microaggregation is a well-known approach to obtaining anonymized versions ofconfidential microdata. Optimally solving microaggregation on multivariate data sets isknown to be difficult (NP-hard). Therefore; heuristic methods are used in practice. This paperpresents a new heuristic approach to multivariate microaggregation; which provides variable-sized groups (and thus higher within-group homogeneity) with a computational cost similarto the one of fixed-size microaggregation heuristics.,17th COMPSTAT Symposium of the IASC; Rome,2006,86
Security in wireless ad-hoc networks–a survey,Roberto Di Pietro; Stefano Guarino; Nino Vincenzo Verde; Josep Domingo-Ferrer,Abstract Pervasive mobile and low-end wireless technologies; such as radio-frequencyidentification (RFID); wireless sensor networks and the impending vehicular ad-hocnetworks (VANETs); make the wireless scenario exciting and in full transformation. For allthe above (and similar) technologies to fully unleash their potential in the industry andsociety; there are two pillars that cannot be overlooked: security and privacy. Both propertiesare especially relevant if we focus on ad-hoc wireless networks; where devices are requiredto cooperate–eg from routing to the application layer–to attain their goals. In this paper; wesurvey emerging and established wireless ad-hoc technologies and we highlight theirsecurity/privacy features and deficiencies. We also identify open research issues andtechnology challenges for each surveyed technology.,*,2014,85
A survey of inference control methods for privacy-preserving data mining,Josep Domingo-Ferrer,Inference control in databases; also known as Statistical Disclosure Control (SDC); is aboutprotecting data so they can be published without revealing confidential information that canbe linked to specific individuals among those to which the data correspond. This is animportant application in several areas; such as official statistics; health statistics; e-commerce (sharing of consumer data); etc. Since data protection ultimately means datamodification; the challenge for SDC is to achieve protection with minimum loss of theaccuracy sought by database users. In this chapter; we survey the current state of the art inSDC methods for protecting individual data (microdata). We discuss several information lossand disclosure risk measures and analyze several ways of combining them to assess theperformance of the various methods. Last but not least; topics which need more research …,*,2008,85
Probabilistic information loss measures in confidentiality protection of continuous microdata,Josep M Mateo-Sanz; Josep Domingo-Ferrer; Francesc Sebé,Abstract Inference control for protecting the privacy of microdata (individual data) should tryto optimize the tradeoff between data utility (low information loss) and protection againstdisclosure (low disclosure risk). Whereas risk measures are bounded between 0 and 1;information loss measures proposed in the literature for continuous data are unbounded;which makes it awkward to trade off information loss for disclosure risk. We propose in thispaper to use probabilities to define bounded information loss measures for continuousmicrodata.,Data Mining and Knowledge Discovery,2005,85
Privacy and Data Protection by Design-from policy to engineering,George Danezis; Josep Domingo-Ferrer; Marit Hansen; Jaap-Henk Hoepman; Daniel Le Metayer; Rodica Tirtea; Stefan Schiffner,Abstract: Privacy and data protection constitute core values of individuals and of democraticsocieties. There have been decades of debate on how those values-and legal obligations-can be embedded into systems; preferably from the very beginning of the design process.One important element in this endeavour are technical mechanisms; known as privacy-enhancing technologies (PETs). Their effectiveness has been demonstrated by researchersand in pilot implementations. However; apart from a few exceptions; eg; encryption becamewidely used; PETs have not become a standard and widely used component in systemdesign. Furthermore; for unfolding their full benefit for privacy and data protection; PETsneed to be rooted in a data governance strategy to be applied in practice.,arXiv preprint arXiv:1501.03726,2015,82
User-private information retrieval based on a peer-to-peer community,Josep Domingo-Ferrer; Maria Bras-Amorós; Qianhong Wu; Jesús Manjón,Abstract Private information retrieval (PIR) is normally modeled as a game between twoplayers: a user and a database. The user wants to retrieve some item from the databasewithout the latter learning which item is retrieved. Most current PIR protocols are ill-suited toprovide PIR from a search engine or large database:(i) their computational complexity islinear in the size of the database;(ii) they assume active cooperation by the database serverin the PIR protocol. If the database cannot be assumed to cooperate; a peer-to-peer (P2P)user community is a natural alternative to achieve some query anonymity: a user gets herqueries submitted on her behalf by other users in the P2P community. In this way; thedatabase still learns which item is being retrieved; but it cannot obtain the real queryhistories of users; which become diffused among the peer users. We name this relaxation …,Data & Knowledge Engineering,2009,79
Simulatable certificateless two-party authenticated key agreement protocol,Lei Zhang; Futai Zhang; Qianhong Wu; Josep Domingo-Ferrer,Abstract Key agreement (KA) allows two or more users to negotiate a secret session keyamong them over an open network. Authenticated key agreement (AKA) is a KA protocolenhanced to prevent active attacks. AKA can be achieved using a public-key infrastructure(PKI) or identity-based cryptography. However; the former suffers from a heavy certificatemanagement burden while the latter is subject to the so-called key escrow problem.Recently; certificateless cryptography was introduced to mitigate these limitations. In thispaper; we first propose a security model for AKA protocols using certificateless cryptography.Following this model; we then propose a simulatable certificateless two-party AKA protocol.Security is proven under the standard computational Diffie–Hellman (CDH) and bilinearDiffie–Hellman (BDH) assumptions. Our protocol is efficient and practical; because it …,Information Sciences,2010,78
Inference control in statistical databases: From theory to practice,Josep Domingo-Ferrer,Inference control in statistical databases; also known as statistical disclosure limitation orstatistical confidentiality; is about finding tradeoffs to the tension between the increasingsocietal need for accurate statistical data and the legal and ethical obligation to protectprivacy of individuals and enterprises which are the source of data for producing statistics.Techniques used by intruders to make inferences compromising privacy increasingly drawon data mining; record linkage; knowledge discovery; and data analysis and thus statisticalinference control becomes an integral part of computer science. This coherent state-of-the-art survey presents some of the most recent work in the field. The papers presented togetherwith an introduction are organized in topical sections on tabular data protection; microdataprotection; and software and user case studies.,*,2002,78
A method for data-oriented multivariate microaggregation,Josep M Mateo-Sanz; Josep Domingo-Ferrer,*,Proceedings of the Conference on Statistical Data Protection’98,1998,77
Discrimination prevention in data mining for intrusion and crime detection,Sara Hajian; Josep Domingo-Ferrer; Antoni Martinez-Balleste,Automated data collection has fostered the use of data mining for intrusion and crimedetection. Indeed; banks; large corporations; insurance companies; casinos; etc. areincreasingly mining data about their customers or employees in view of detecting potentialintrusion; fraud or even crime. Mining algorithms are trained from datasets which may bebiased in what regards gender; race; religion or other attributes. Furthermore; mining is oftenoutsourced or carried out in cooperation by several entities. For those reasons;discrimination concerns arise. Potential intrusion; fraud or crime should be inferred fromobjective misbehavior; rather than from sensitive attributes like gender; race or religion. Thispaper discusses how to clean training datasets and outsourced datasets in such a way thatlegitimate classification rules can still be extracted but discriminating rules based on …,Computational Intelligence in Cyber Security (CICS); 2011 IEEE Symposium on,2011,76
Handbook on statistical disclosure control,Anco Hundepool; Josep Domingo-Ferrer; Luisa Franconi; Sarah Giessing; Rainer Lenz; Jane Longhurst; E Schulte Nordholt; Giovanni Seri; P Wolf,In 2006 Eurostat took the initiative of setting up Centres of Excellence (CENEX). The ideabehind this scheme is to combine the strengths of the leading National Statistic Institutes(NSIs) in Europe on a certain topic. Often in several NSIs small isolated groups are workingon specific topics. Other NSIs even lack the resources to pay enough attention to certainmethodological issues. This situation led to the Eurostat initiative on Centres of Excellence.A CENEX could bring together the knowledge on a certain topic at a higher level bysupporting the research in the leading countries and to spread this work to the other NSIs.Statistical Disclosure Control (SDC) was selected as a pilot topic. One of the reasons forselecting SDC was a longer tradition in the field of SDC with respect to Europeancooperation; like the EU framework projects SDC and CASC. One of the tasks of this …,ESSnet on Statistical Disclosure Control,2010,76
LHS-based hybrid microdata vs rank swapping and microaggregation for numeric microdata protection,Ramesh A Dandekar; Josep Domingo-Ferrer; Francesc Sebé,Abstract In previous work by Domingo-Ferrer et al.; rank swapping and multivariatemicroaggregation has been identified as well-performing masking methods for microdataprotection. Recently; Dandekar et al. proposed using synthetic microdata; as an option; inplace of original data by using Latin hypercube sampling (LHS) technique. The LHS methodfocuses on mimicking univariate as well as multivariate statistical characteristics of originaldata. The LHS-based synthetic data does not allow one to one comparison with originaldata. This prevents estimating the overall information loss by using current measures. In thispaper we utilize unique features of LHS method to create hybrid data sets and evaluate theirperformance relative to rank swapping and multivariate microaggregation using generalizedinformation loss and disclosure risk measures.,*,2002,76
Enhancing data utility in differential privacy via microaggregation-based $ $ k $ $ k-anonymity,Jordi Soria-Comas; Josep Domingo-Ferrer; David Sánchez; Sergio Martínez,Abstract It is not uncommon in the data anonymization literature to oppose the “old” k k-anonymity model to the “new” differential privacy model; which offers more robust privacyguarantees. Yet; it is often disregarded that the utility of the anonymized results provided bydifferential privacy is quite limited; due to the amount of noise that needs to be added to theoutput; or because utility can only be guaranteed for a restricted type of queries. This is incontrast with k k-anonymity mechanisms; which make no assumptions on the uses ofanonymized data while focusing on preserving data utility from a general perspective. In thispaper; we show that a synergy between differential privacy and k k-anonymity can be found:k k-anonymity can help improving the utility of differentially private responses to arbitraryqueries. We devote special attention to the utility improvement of differentially private …,The VLDB Journal,2014,72
Using mahalanobis distance-based record linkage for disclosure risk assessment,Vicenç Torra; John M Abowd; Josep Domingo-Ferrer,Abstract Distance-based record linkage (DBRL) is a common approach to empiricallyassessing the disclosure risk in SDC-protected microdata. Usually; the Euclidean distance isused. In this paper; we explore the potential advantages of using the Mahalanobis distancefor DBRL. We illustrate our point for partially synthetic microdata and show that; in somecases; Mahalanobis DBRL can yield a very high re-identification percentage; far superior tothe one offered by other record linkage methods.,International Conference on Privacy in Statistical Databases,2006,71
On the security of noise addition for privacy in statistical databases,Josep Domingo-Ferrer; Francesc Sebé; Jordi Castella-Roca,Abstract. Noise addition is a family of methods used in the protection of the privacy of individualdata (microdata) in statistical databases. This paper is a critical analysis of the security of themethods in that family. Keywords: Noise addition; Statistical database protection; Statistical disclosurecontrol; Statistical disclosure limitation; Data security; Re- spondents' privacy … Privacy in statisticaldatabases is about finding tradeoffs to the tension between the increasing societal and economicaldemand for accurate information and the legal and ethical obligation to protect the privacy ofindividuals and enterprises which are the source of the statistical data. To put it bluntly; statisticalagen- cies cannot expect to collect accurate information from individual or corporate respondentsunless these feel the privacy of their responses is guaranteed; also; surveys of web users[6;7;11] show that a majority of these are unwilling to provide data to a web site unless …,International Workshop on Privacy in Statistical Databases,2004,64
A distributed architecture for scalable private RFID tag identification,Agusti Solanas; Josep Domingo-Ferrer; Antoni Martínez-Ballesté; Vanesa Daza,Abstract The fast growth of Radio Frequency IDentification (RFID) implies a deploymentchallenge; namely how to keep this technology scalable without renouncing security andprivacy features. This paper focuses on combining tag privacy and scalability using the hashlocks mechanism. Our contribution is twofold:(i) a cell-based architecture is proposed inwhich the readers co-operate in order to conduct tag identification in a private and scalableway;(ii) a communication protocol for the proposed architecture is defined and assessed.The proposed architecture and protocol solve the scalability shortcomings of private RFIDidentification pointed out by Juels and Weis.,Computer Networks,2007,62
Microaggregation for database and location privacy,Josep Domingo-Ferrer,Abstract Data aggregation is a central principle underlying many applications in computerscience; from artificial intelligence to data security and privacy. Microaggregation is a specialclustering problem where the goal is to cluster a set of points into groups of at least k pointsin such a way that groups are as homogeneous as possible. A usual homogeneity criterionis the minimization of the within-groups sum of squares. Microaggregation appeared inconnection with anonymization of statistical databases. When discussing microaggregationfor information systems; points are database records. This paper extends the use ofmicroaggregation for k-anonymity to implement the recent property of p-sensitive k-anonymity in a more unified and less disruptive way. Then location privacy is investigated:two enhanced protocols based on a trusted-third party (TTP) are proposed and thereafter …,International Workshop on Next Generation Information Technologies and Systems,2006,62
Regression for ordinal variables without underlying continuous variables,Vicenç Torra; Josep Domingo-Ferrer; Josep M Mateo-Sanz; Michael Ng,Abstract Several techniques exist nowadays for continuous (ie numerical) data analysis andmodeling. However; although part of the information gathered by companies; statisticaloffices and other institutions is numerical; a large part of it is represented using categoricalvariables in ordinal or nominal scales. Techniques for model building on categorical dataare required to take advantage of such a wealth of information. In this paper; currentapproaches to regression for ordinal data are reviewed and a new proposal is describedwhich has the advantage of not assuming any latent continuous variable underlying thedependent ordinal variable. Estimation in the new approach can be implemented usinggenetic algorithms. An artificial example is presented to illustrate the feasibility of theproposal.,Information Sciences,2006,62
Ciphertext-policy hierarchical attribute-based encryption with short ciphertexts,Hua Deng; Qianhong Wu; Bo Qin; Josep Domingo-Ferrer; Lei Zhang; Jianwei Liu; Wenchang Shi,Abstract Attribute-based encryption (ABE) systems allow encrypting to uncertain receivers bymeans of an access policy specifying the attributes that the intended receivers shouldpossess. ABE promises to deliver fine-grained access control of encrypted data. However;when data are encrypted using an ABE scheme; key management is difficult if there is alarge number of users from various backgrounds. In this paper; we elaborate on ABE andpropose a new versatile cryptosystem referred to as ciphertext-policy hierarchical ABE (CP-HABE). In a CP-HABE scheme; the attributes are organized in a matrix and the users havinghigher-level attributes can delegate their access rights to the users at a lower level. Thesefeatures enable a CP-HABE system to host a large number of users from differentorganizations by delegating keys; eg; enabling efficient data sharing among …,Information Sciences,2014,61
