Information Centric Networking Based Service Centric Networking,*,A method implemented by a network device residing in a service domain; wherein thenetwork device comprises an information centric networking (ICN) transport layer and aservice access layer (SAL) for handling context-aware service logistics and service mobilityoverlaid on the ICN transport layer; the method comprising receiving; in the ICN transportlayer; a message comprising a service request that originates from a user equipment (UE);in the SAL; retrieving; from the service request; contextual information relevant to the UE oran access network connected to the UE; determining; based on the contextual information;one or more services needed to execute the service request; and determining one or moreservice identities (SIDs) each of which identifies one of the one or more services.,*,2014,72
Design of a software-defined resilient virtualized networking environment,Xuan Liu; Sarah Edwards; Niky Riga; Deep Medhi,Network virtualization enables programmability to the substrate network provider whoprovisions and manages virtual networks (VNs) for service providers. A mix of software-defined and autonomic technology improves the flexibility of network management;including dynamic reconfiguration in the virtualized networking environment (VNE). Virtualrouter (VR) s run at a logical level where software failures may be more frequent. Thus; a VRfailure is more frequent than a physical router failure on the substrate network. In this paper;we present a software-defined resilient virtualized networking environment where a VNtopology can be restored by using a preserved standby virtual router (S-VR) after a VRfailure. We illustrate a preliminary autonomic setup of a VNE on the GENI testbed.,11th International Conference on the Design of Reliable Communication Networks (DRCN),2015,3
Optimal Standby Virtual Routers Selection for Node Failures in a Virtual Network Environment,Xuan Liu; Deep Medhi,Network virtualization allows flexibility to configure virtual networks in a dynamic manner. Insuch a setting; to provide resilient services to virtual networks; we consider the situationwhere the substrate network provider wants to have standby virtual routers ready to servethe virtual networks in the event of a failure. Such a failure can affect one or more virtualrouters in multiple virtual networks. The goal of our work is to make the optimal selection ofstandby virtual routers so that virtual networks can be dynamically reconfigured back to theiroriginal topologies after a failure. We present an optimization formulation and a heuristic forthis problem. By considering a number of factors; we present numerical studies to show howthe optimal selection is affected. The results show that the proposed heuristic's performancewas close to the optimization model when there were sufficient standby virtual routers for …,10th International Conference on Network and Service Management,2014,3
Optimally Selecting Standby Virtual Routers for Node Failures in a Virtual Network Environment,Xuan Liu; Deep Medhi,In a virtual network environment; a substrate network provider allocates computing andnetworking resources for service providers who request virtual networks to be created forparticular services; and it also has the capability to provide resilient virtual networkmanagement with redundant resources; such as dynamic virtual network restoration fromfailures. In this papers; we consider the situation where the substrate network providerdesires to have standby virtual routers ready to serve virtual networks under node failures.Such a failure can affect one or more virtual routers in multiple virtual networks. The goal ofthis paper is to make the optimal selection of standby virtual routers so that virtual networkscan be dynamically reconfigured back to their original topologies right after the failures. Wepresent an optimization formulation and a heuristic for this problem. By considering a …,IEEE Transactions on Network and Service Management,2017,2
Dynamic virtual network restoration with optimal standby virtual router selection,Xuan Liu; Deep Medhi,Fault-tolerance in a virtualized networking environment (VNE) requires additional efforts toprovide the survivability against failures on either virtual networks (VNs) or the underlyingsubstrate network. In this dissertation; we design a software-defined resilient VNE using ahybrid scheme of protection and restoration; where for each VN; a set of redundant virtualrouters (VRs) are reserved as shared standby virtual routers (S-VRs); and any S-VR can beactivated to replace a failed VR in the existed VN dynamically after the failure is identified.We first introduce a dynamic reconfiguration scheme (DRS) for node failures in a VNE; andthen propose a Mixed-Integer Linear Programming (MILP) model with dual goals tooptimally select S-VRs to restore all VNs while load balancing; and a heuristic algorithmbased on the model is also presented. By considering a number of factors; the results …,Network Operations and Management Symposium (NOMS); 2016 IEEE/IFIP,2016,1
Multi-Tier Push Service Control Architecture for Large Scale Conference Over ICN,*,A network element (NE) comprising a memory configured to store a digest log for aconference; a receiver coupled to the memory and configured to receive a first messagefrom a first of a plurality of service proxies of the conference; wherein the first messagecomprises a signature profile of a first of a plurality of participants of the conferenceassociated with the first service proxy; a processor coupled to the receiver and the memoryand configured to track a state of the conference by updating the digest log according to thefirst message; and a transmitter coupled to the processor and configured to send a pluralityof second messages to indicate the digest log update to the service proxies without atransmission request from the service proxies.,*,2014,1
A behavior based policy management for adaptive trustworthiness assignment in future network,Akira Wada; Yasuhiro Sato; Xuan Liu; Tianyi Xing; Shingo Ata; Deep Medhi; Dijiang Huang; Ikuo Oka,A secure network is considered to be an important goal of the Future Internet; one way whichcan be embodied is by having flexible and robust routing functionality with built-in securityand trustworthy mechanisms. However; there is a fundamental and important challenge howto determine the trustworthiness to every traffic flow to realize trustable communications. Inthis paper; we propose a framework to manage the trustworthiness automatically based onthe policy by administrator; hysteresis of the traffic; and/or behavior of end users. Wedescribe the role and function on to manage policy and trustworthiness and illustrate theimplementation of SeRViTR; which is a trust routing framework; with communicationexperiment.,Integrated Network Management (IM 2013); 2013 IFIP/IEEE International Symposium on,2013,1
Can higher training practice dosage with treadmill slip-perturbation necessarily reduce risk of falls following overground slip?,Anna Lee; Tanvi Bhatt; Xuan Liu; Yiru Wang; Yi-Chung Pai,Abstract Background Perturbation training is an emerging paradigm to reduce idiopathicfalls (without clinical signs or symptoms) in older adults. While higher training threat dosage(intensity) in motor learning often directly relates to greater adaptation; retention; andgeneralization; little is known whether increasing the practice dosage (repetition) of treadmillslip-perturbation training would necessarily improve its outcomes. Research question Canhigher practice dosage of treadmill slip-perturbation training lead to greater generalization toan overground slip immediately after the training? Methods Forty-five community-dwellingolder adults (73.5±5.6 years old) participated in the present study. They were convenientlyassigned to three groups with equivalent treadmill walking duration: treadmill slip-perturbation training group with 40 practice dosage; 24 practice dosage; and zero …,Gait & posture,2018,*
The recovery response to a novel unannounced laboratory-induced slip: The “first trial effect” in older adults,Xuan Liu; Sasha Reschechtko; Shuaijie Wang; Yi-Chung Clive Pai,Abstract Background After a single slip; older adults rapidly make adaptive changes to avoidor eliminate further backward loss of balance or a fall. This rapid adaptation has beentermed the" single trial effect". The purpose of this study was to explore the relationshipbetween the motor errors subjects experienced upon a novel slip and the selection andexecution of corrective response by which they modified their ongoing gait pattern andturned it into a protective step. Methods A forward slip was induced in the laboratory among145 community-living older (≥ 65year old) adults who were protected by an overhead fullbody harness system. An eight-camera motion analysis system recorded subjects'kinematics; which was used to compute their instability (motor error); recovery stepplacement (response selection); and stability gain (motor correction). Findings A linear …,Clinical Biomechanics,2017,*
Multi-Tier Push Hybrid Service Control Architecture for Large Scale Conferencing over ICN,*,A network element (NE) comprising a memory configured to store a digest log for aconference; a receiver configured to receive a first message from a first of a plurality ofparticipants associated with the NE; wherein the first message comprises a signature profileof the first participant; a processor coupled to the receiver and the memory and configured totrack a state of the conference by performing a first update of the digest log according to thefirst message; and a transmitter coupled to the processor and configured to send a secondmessage to a first of a plurality of service proxies that serve the conference; wherein thesecond messages indicate the updated digest log.,*,2014,*
New Results on Multipath Routing,Michal Pioro; Sudhir Mohanraj; Deep Medhi; Xuan Liu,Multipath routing of traffic demands; known also as bifurcated routing or load sharing; hasbeen studied for various telecommunication networks for a long time. An advantage ofmultipath routing is that it gives a demand the opportunity to use multiple paths through thenetwork to send its traffic. In a single-commodity situation; this benefit can be clearly seen.When multiple demands (multi-commodity situation) compete for the same resources in anetwork; we focus on the problem of how many demands can take real advantage ofmultiple paths. In this context; we present new results on multipath routing for a number ofnetwork traffic objectives. We show that under certain traffic conditions and topologicalstructures; multipath routing provides virtually no gain compared to single-path routing whenthe traffic is offered for all demand pairs in a network. We also present results on how …,2014 INFORMS Telecommunications Conference,2014,*
CNERT 2016: 2016 IEEE INFOCOM International Workshop on Computer and Networking Experimental Research Using Testbeds-Committees,Jeannie Albrecht; Ilya Baldin RENCI; Stefano Basagni; Andy Bavier; Mark Berman; Walid Dabbous INRIA France; Eli De Poorter; Eric Eide; Ted Faber; James Griffioen; Yong Guan; Deniz Gurkan; David Irwin; Thanasis Korakis; Hovannes Kulhandjian; Xuan Liu; Yaoqing Liu; Lucas Nussbaum; Chrysa Papagianni; Thierry Rakotoarivelo NICTA-Sydney Australia; Parmesh Ramanathan; Niky Riga; Ivan Seskar WINLAB; Simone Silvestri; Alex Sprintson; Violet Syrotiuk; Vic Thomas; Ilenia Tinnirello; Kuang-Ching Wang; Hongwei Zhang,Page 1. CNERT 2016: 2016 IEEE INFOCOM International Workshop on Computer and NetworkingExperimental Research Using Testbeds - Committees Technical Program Committee JeannieAlbrecht Williams College USA Ilya Baldin RENCI/UNC Chapel Hill USA Stefano BasagniNortheastern University USA Andy Bavier Princeton University USA Mark Berman Raytheon BBNTechnologies USA Walid Dabbous INRIA France Eli De Poorter Ghent University Belgium EricEide University of Utah USA Ted Faber The Aerospace Corporation USA James GriffioenUniversity of Kentucky USA Yong Guan Iowa State University USA Deniz Gurkan University ofHouston USA David Irwin University of Massachusetts; Amherst USA Thanasis Korakis New YorkUniversity USA Hovannes Kulhandjian California State University; Fresno USA Xuan Liu Universityof Missouri-Kansas City USA Yali Liu AT&T Labs USA …,*,*,*
Hadoop-in-a-Hybrid-Cloud,Luis Russi¹; Carlos R Senna¹; Edmundo RM Madeira¹; Xuan Liu; Shuai Zhao; Sheyda Mehr; Deep Medhi,Page 1. ORCHESTRATION ENGINE • Prepares working place in the private cloud's storage •Creates an Execution Service Instance (ESI) already associated with this cloud storage area •Releases the ESI to manage the application execution (asynchronously) • Copies the resultingfiles from the cloud storage to the user's working place • Eliminates ESI; and notifies WCPEXECUTION SERVICE • ES Instance interacts with the private cloud monitoring system toevaluate the computational resources conditions • Checks for extra resources from the publiccloud • Automatic Hadoop Cluster preparation • Makes an accessible copy of the resultingfiles • Eliminates all involved VMs • Notifies the OE about the end of processes • Monitors allstages of processing Hadoop-in-a-Hybrid-Cloud Luis Russi¹; Carlos R. Senna¹; EdmundoRM Madeira¹; Xuan Liu²; Shuai Zhao²; and Deep Medhi² …,*,*,*
