Accelerating CUDA graph algorithms at maximum warp,Sungpack Hong; Sang Kyun Kim; Tayo Oguntebi; Kunle Olukotun,Abstract Graphs are powerful data representations favored in many computational domains.Modern GPUs have recently shown promising results in accelerating computationallychallenging graph problems but their performance suffered heavily when the graph structureis highly irregular; as most real-world graphs tend to be. In this study; we first observe thatthe poor performance is caused by work imbalance and is an artifact of a discrepancybetween the GPU programming model and the underlying GPU architecture. We thenpropose a novel virtual warp-centric programming method that exposes the traits ofunderlying GPU architectures to users. Our method significantly improves the performanceof applications with heavily imbalanced workloads; and enables trade-offs betweenworkload imbalance and ALU underutilization for fine-tuning the performance. Our …,ACM SIGPLAN Notices,2011,293
Taming subgraph isomorphism for RDF query processing,Jinha Kim; Hyungyu Shin; Wook-Shin Han; Sungpack Hong; Hassan Chafi,Abstract RDF data are used to model knowledge in various areas such as life sciences;Semantic Web; bioinformatics; and social graphs. The size of real RDF data reaches billionsof triples. This calls for a framework for efficiently processing RDF data. The core function ofprocessing RDF data is subgraph pattern matching. There have been two completelydifferent directions for supporting efficient subgraph pattern matching. One direction is todevelop specialized RDF query processing engines exploiting the properties of RDF data forthe last decade; while the other direction is to develop efficient subgraph isomorphismalgorithms for general; labeled graphs for over 30 years. Although both directions have asimilar goal (ie; finding subgraphs in data graphs for a given query graph); they have beenindependently researched without clear reason. We argue that a subgraph isomorphism …,Proceedings of the VLDB Endowment,2015,24
PGQL: a property graph query language,Oskar van Rest; Sungpack Hong; Jinha Kim; Xuming Meng; Hassan Chafi,Abstract Graph-based approaches to data analysis have become more widespread; whichhas given need for a query language for graphs. Such a graph query language needs notonly SQL-like functionality for querying structured data; but also intrinsic support for typicalgraph-style applications: reachability analysis; path finding and graph construction. Wepropose a new query language for the popular Property Graph (PG) data model: theProperty Graph Query Language (PGQL). PGQL is based on the paradigm of graph patternmatching; closely follows syntactic structures of SQL; and provides regular path queries withconditions on labels and properties to allow for reachability and path finding queries.Besides intrinsic vertex; edge and path types; PGQL also has the graph as intrinsic type andallows for graph construction and query composition.,Proceedings of the Fourth International Workshop on Graph Data Management Experiences and Systems,2016,22
Bus optimization for low-power data path synthesis based on network flow method,Sungpack Hong; Taewhan Kim,Abstract Sub-micron feature sizes have resulted in a considerable portion of power to bedissipated on the buses; causing an increased attention on savings for power at thebehavioral level and RT level of design. This paper addresses the problem of minimizingpower dissipated in switching of the buses in data path synthesis. Unlike the previousapproaches in which minimization of the power consumed in buses has not beenconsidered until operation scheduling is completed; our approach integrates the bus bindingproblem into scheduling to exploit the impact of scheduling on reduction of power dissipatedon the buses more fully and effectively. We accomplish this by formulating the problem into aflow problem in a network; and devising an efficient algorithm which iteratively findsmaximum flow of minimum cost solutions in the network. Experimental results on a …,Proceedings of the 2000 IEEE/ACM international conference on Computer-aided design,2000,22
Graph analysis: do we have to reinvent the wheel?,Adam Welc; Raghavan Raman; Zhe Wu; Sungpack Hong; Hassan Chafi; Jay Banerjee,Abstract The problem of efficiently analyzing graphs of various shapes and sizes has beenrecently enjoying an increased level of attention both in the academia and in the industry.This trend prompted creation of specialized graph databases that have been rapidly gainingpopularity of late. In this paper we argue that there exist alternatives to graph databases;providing competitive or superior performance; that do not require replacement of the entireexisting storage infrastructure by the companies wishing to deploy them.,First International Workshop on Graph Data Management Experiences and Systems,2013,21
Dynamic voltage scaling of supply and body bias exploiting software runtime distribution,Sungpack Hong; Sungjoo Yoo; Byeong Bin; Kyu-Myung Choi; Soo-Kwan Eo; Taehwan Kim,Abstract This paper presents a method of dynamic voltage scaling (DVS) that tackles bothswitching and leakage power with combined V dd/V bs scaling and gives minimum averageenergy consumption exploiting the runtime distribution of software execution. We present amathematical formulation of the DVS problem and an efficient numerical solution.Experimental results show that the presented method shows up to 44% further reduction inenergy consumption compared with existing methods. Especially; when the leakage powerconsumption is significant; ie when temperature is high; the presented method is proven tobe the most effective.,Proceedings of the conference on Design; automation and test in Europe,2008,20
Memory system having nonvolatile and buffer memories; and reading method thereof,*,Disclosed is a method for reading data in a memory system including a buffer memory and anonvolatile memory; the method being comprised of: determining whether an input addressin a read request is allocated to the buffer memory; determining whether a size of requesteddata is larger than a reference unless the input address is allocated to the buffer memory;and conducting a prefetch reading operation from the nonvolatile memory if the requesteddata size is larger than the reference.,*,2011,18
FARM: A prototyping environment for tightly-coupled; heterogeneous architectures,Tayo Oguntebi; Sungpack Hong; Jared Casper; Nathan Bronson; Christos Kozyrakis; Kunle Olukotun,Computer architectures are increasingly turning to parallelism and heterogeneity assolutions for boosting performance in the face of power constraints. As this trend continues;the challenges of simulating and evaluating these architectures have grown. Hardwareprototypes provide deeper insight into these systems when compared to simulators; but aretraditionally more difficult and costly to build. We present the Flexible Architecture ResearchMachine (FARM); a hardware prototyping system based on an FPGA coherently connectedto a multiprocessor system. FARM substantially reduces the difficulty and cost of buildinghardware prototypes by providing a ready-made framework for communicating with acustom design on the FPGA. FARM ensures efficient; low-latency communication with theFPGA via a variety of mechanisms; allowing a wide range of applications to effectively …,Field-Programmable Custom Computing Machines (FCCM); 2010 18th IEEE Annual International Symposium on,2010,18
Runtime distribution-aware dynamic voltage scaling,Sungpack Hong; Sungjoo Yoo; Hoonsang Jin; Kyu-Myung Choi; Jeong-Taek Kong; Soo-Kwan Eo,Abstract We propose a new intra-task dynamic voltage scaling (DVS) method to capture animportant fact of'software runtime distribution'and integrate it into DVS effectively.Specifically; the proposed method finds performance levels; for a given software runtimedistribution; ie statistical profiling of execution cycles (neither the execution cycle of worst-case execution path nor the worst-case execution cycles of basic blocks); which leads toa'minimal energy consumption while satisfying the given deadline constraints. Experimentalresults report that the proposed method gives 19.2%~ 33.3% further energy reductioncompared with the best-known methods for two industrial multimedia software programs; H.264 decoder and MPEG4 decoder.,Proceedings of the 2006 IEEE/ACM international conference on Computer-aided design,2006,18
Decomposition of bus-invert coding for low-power I/O,Sungpack Hong; Taewhan Kim; Unni Narayanan; Ki-Seok Chung,This paper proposes a new bus-invert coding scheme for reducing the number of bustransitions. Unlike the previous schemes in which the entire bus lines or one subset of thebus lines are considered for bus-invert coding; in the proposed scheme; the bus lines arepartitioned and each partitioned group is considered independently for bus-invert coding tomaximize the effectiveness of reducing the total number of bus transitions. Experimentalresults show that the decomposed bus-invert coding scheme reduces the total number ofbus transitions by 47.2% and 11.9% on average than those of the conventional and thepartial bus-invert coding schemes respectively.,Journal of Circuits; Systems; and Computers,2000,17
Pgx. iso: parallel and efficient in-memory engine for subgraph isomorphism,Raghavan Raman; Oskar van Rest; Sungpack Hong; Zhe Wu; Hassan Chafi; Jay Banerjee,Abstract Subgraph isomorphism; or finding matching patterns in a graph; is a classic graphproblem that has many practical use cases. There are even commercialized solutions for thisproblem such as RDF databases with their support for SPARQL queries. In this paper; wepresent an efficient; parallel in-memory solution to this problem. Our solution exploitsefficient data representations as well as algorithmic extensions; both tailored for parallel; in-memory processing. Moreover; when processing RDF data; we reduce the problem size byconverting certain nodes and edges into properties. We also propose a new graph querylanguage where such a conversion can be encoded. Our evaluation shows that our solutioncan achieve significant performance boost over an existing secondary storage based RDFdatabase.,Proceedings of Workshop on GRAph Data management Experiences and Systems,2014,12
Fast in-memory triangle listing for large real-world graphs,Martin Sevenich; Sungpack Hong; Adam Welc; Hassan Chafi,Abstract Triangle listing; or identifying all the triangles in an undirected graph; is a veryimportant graph problem that serves as a building block of many other graph algorithms. Thecompute-intensive nature of the problem; however; necessitates an efficient method to solvethis problem; especially for large real-world graphs. In this paper we propose a fast andprecise in-memory solution for the triangle listing problem. Our solution includes fastcommon neighborhoods finding methods that consider power law degree distribution of real-word graphs. We prove how theoretic lower bound can be achieved by sorting the nodes inthe graph by their degree and applying pruning. We explain how our techniques can beapplied automatically by an optimizing DSL compiler. Our experiments show that hundredsof billions of triangles in a five billion edge graph can be enumerated in about a minute …,Proceedings of the 8th Workshop on Social Network Mining and Analysis,2014,11
Dynamic voltage scaling method of CPU using workload estimator and computer readable medium storing the method,*,A method for scaling a dynamic voltage of a CPU is achieved by setting a voltage settingpoint for each of a plurality of code segments of a program; and profiling workload bymeasuring a workload variation of each of the code segments based on data that changeswhenever measured; selecting a plurality of combinations; each having a plurality of voltagesetting points; and calculating workload estimators corresponding to the voltage settingpoints of each of the selected combinations based on the workload variation measured inthe workload profiling operation; selecting an optimal combination that consumes a leastenergy of the CPU based on the workload estimators; and determining whether a real timeconstraint is satisfied when an operating voltage is set based on the workload estimatorcorresponding to each of the voltage setting points of the optimal combination during …,*,2010,10
Early experiences in using a domain-specific language for large-scale graph analysis,Sungpack Hong; Jan Van Der Lugt; Adam Welc; Raghavan Raman; Hassan Chafi,Abstract Large-scale graph analysis has recently been drawing lots of attention from bothindustry and academia. Although there are already several frameworks designed forscalable graph analysis; eg Giraph [1]; all these frameworks adopt non-traditionalprogramming models and APIs. This can significantly lower the productivity of the frameworkuser. This paper discusses the feasibility of using an intuitive Domain-Specific Language(DSL) for graph analysis. Specifically; we use a compiler to translate Green-Marl [5]programs into an equivalent Giraph application; automatically bridging between verydifferent programming models. We observe that the DSL programs are concise and intuitive;and that the compiler generated Giraph implementations exhibit performance on par withthat of hand-written ones. However; the DSL compilation cannot but fail if the algorithm is …,First International Workshop on Graph Data Management Experiences and Systems,2013,7
Using domain-specific languages for analytic graph databases,Martin Sevenich; Sungpack Hong; Oskar van Rest; Zhe Wu; Jayanta Banerjee; Hassan Chafi,Abstract Recently graph has been drawing lots of attention both as a natural data model thatcaptures fine-grained relationships between data entities and as a tool for powerful dataanalysis that considers such relationships. In this paper; we present a new graph databasesystem that integrates a robust graph storage with an efficient graph analytics engine.Primarily; our system adopts two domain-specific languages (DSLs); one for describinggraph analysis algorithms and the other for graph pattern matching queries. Compared tothe API-based approaches in conventional graph processing systems; the DSL-basedapproach provides users with more flexible and intuitive ways of expressing algorithms andqueries. Moreover; the DSL-based approach has significant performance benefits as well;(1)by skipping (remote) API invocation overhead and (2) by applying high-level optimization …,Proceedings of the VLDB Endowment,2016,6
System for applying transformation to improve graph analysis,*,A method for performing a neighbor-flipping transformation is provided. In one embodiment;a graph analysis program for computing a function relating to nodes in a directed graph isobtained and analyzed for neighborhood iterating operations; in which a function iscomputed over sets of nodes in the graph. For any detected neighborhood iteratingoperation; the method transforms the iterating operation by reversing the neighbor noderelationship between the nodes in the operation. The transformed operation computes thesame value for the function as the operation prior to transformation. The method alters theneighbor node relationship automatically; so that a user does not have to recode the graphanalysis program. In some cases; the method includes construction of edges in the reversedirection while retaining the original edges in addition to performing the transformation.,*,2014,6
A systematic IP and bus subsystem modeling for platform-based system design,Junhyung Um; Woo-Cheol Kwon; Sungpack Hong; Young-Taek Kim; Kyu-Myung Choi; Jeong-Taek Kong; Soo-Kwan Eo; Taewhan Kim,Abstract The topic on platform-based system modeling has received a great deal of attentiontoday. One of the important tasks that significantly affect the effectiveness and efficiency ofthe system modeling is the modeling of IP components and communication between IPs. Tobe effective; it is generally accepted that the system modeling should be performed in twosteps; In the first step; a fast but some inaccurate system modeling is considered to facilitatethe simultaneous development of software and hardware. The second step then refines themodels of the software and hardware blocks (ie; IPs) to increase the simulation accuracy forthe system performance analysis. Here; one critical factor required for a successful systemmodeling is a systematic modeling of the IP blocks and bus subsystem connecting the IPs. Inthis respect; this work addresses the problem of systematic modeling of the IPs and bus …,Proceedings of the conference on Design; automation and test in Europe: Proceedings,2006,6
Technical report: On fast parallel detection of strongly connected components (scc) in small-world graphs,Sungpack Hong; NC Rodia; K Olukotun,Abstract—Detecting strongly connected components (SCCs) in a directed graph is afundamental graph analysis algorithm that is used in many science and engineeringdomains. Traditional approaches in parallel SCC detection; however; show limitedperformance and poor scaling behavior when applied to large real-world graph instances. Inthis paper; we investigate the shortcomings of the conventional approach and propose aseries of extensions that consider the fundamental properties of real-world graphs; eg thesmall-world property. Our scalable implementation offers excellent performance on diverse;small-world graphs resulting in a 4.44 x to 23.98 x parallel speedup over the optimalsequential algorithm with 8 cores and 16 hardware threads.,*,2013,5
Data storage system including respective buffers for non-volatile memory and disc recording medium; and data access method thereof,*,A data storage system includes a non-volatile memory; a disc recording medium; a non-volatile memory buffer; operatively disposed between a host interface and the non-volatilememory; which stores a portion of data stored in the non-volatile memory; and a disc buffer;operatively disposed between the host interface and the disc recording medium; whichstores a portion of data stored in the disc recording medium. The data storage system maybe configured to receive an access address from a host operatively connected to the hostinterface; and sequentially determine whether the access address exists in one of the non-volatile memory buffer; the non-volatile memory; the disc buffer; and the disc recordingmedium; in that order.,*,2010,5
Vip: A practical approach to platform-based system modeling methodology,Jun-Hyung Um; Sung-Pack Hong; Young-Taek Kim; Eui-young Chung; Kyu-Myung Choi; Jeong-Taek Kong; Soo-Kwan Eo,Abstract Research on highly abstracted system modeling and simulation has received agreat deal of attention as of the concept of platform based design is becoming ubiquitous.From a practical design point of view; such modeling and simulation must consider thefollowing:(i) fast simulation speed and cycle accuracy;(ii) early availability for early stagesoftware development;(iii) inter-operability with external tools for software development; and(iv) reusability of the models. Unfortunately; however; all of the previous works only partiallyaddresses the requirements; due to the inherent conflicts among the requirements. Theobjective of this study is to develop a new system design methodology to effectively addressthe requirements mentioned above. We propose a new transaction-level system modelingmethodology; called ViP (Virtual Platform). We propose a two-step approach in the ViP …,JSTS: Journal of Semiconductor Technology and Science,2005,5
A Case of System-level Hardware/Software Co-design and Co-verification of a Commodity Multi-Processor System with Custom Hardware,Sungpack Hong; Tayo Oguntebi; Jared Casper; Nathan Bronson; Christos Kozyrakis; Kunle Olukotun,*,CODES+ISSS,*,5
Graph database system that dynamically compiles and executes custom graph analytic programs written in high-level; imperative programing language,*,Techniques are provided for a graph database system that accepts custom graph analyticprograms that are written in a high-level graph-specific programming language andcompiles the programs into executables that; when executed; directly access graph data of agraph that is stored in the graph database. In this way; a low-level data-access API isavoided. Also; a graph analytic program; which only describes an abstract description of analgorithm; does not include any details regarding data access. In one technique; a user isnot required to include explicit parallelization in a graph analytic program in order for thegraph analytic program to take advantage of parallelization. A compiler of the graphdatabase system identifies portions of the graph analytic program that can benefit fromparallelization and; in response; generates parallelized executable code that …,*,2016,4
Tech Report: Compiling Green-Marl into GPS,Sungpack Hong; Semih Salihoglu; Jennifer Widom; Kunle Olukotun,Abstract The massive size of the data in large graph processing requires distributedprocessing. However; conventional frameworks for distributed graph processing; such asPregel; use programming models that are well-suited for scalability but inconvenient forprogramming graph algorithms. In this paper; we use Green-Marl; a Domain-SpecificLanguage for graph analysis; to describe graph algorithms intuitively and extend its compilerto generate equivalent Pregel programs. Using the semantic information exposed by Green-Marl; the compiler applies the same kinds of transformation rules that programmers applywhen manually implementing graph algorithms with Pregel. Our experiments show that thePregel programs generated by Green-Marl compiler perform similarly to native Pregelimplementations of the same algorithms. The compiler is even able to generate a Pregel …,*,2012,4
Modeling; analysis; and experimental comparison of streaming graph-partitioning policies,Yong Guo; Sungpack Hong; Hassan Chafi; Alexandru Iosup; Dick Epema,Abstract In recent years; many distributed graph-processing systems have been designedand developed to analyze large-scale graphs. For all distributed graph-processing systems;partitioning graphs is a key part of processing and an important aspect to achieve goodprocessing performance. To keep low the overhead of partitioning graphs; even whenprocessing the ever-increasing modern graphs; many previous studies use lightweightstreaming graph-partitioning policies. Although many such policies exist; currently there isno comprehensive study of their impact on load balancing and communication overheads;and on the overall performance of graph-processing systems. This relative lack ofunderstanding hampers the development and tuning of new streaming policies; and couldlimit the entire research community to the existing classes of policies. We address these …,Journal of Parallel and Distributed Computing,2017,3
Distributed graph processing system that support remote data read with proactive bulk data transfer,*,Techniques for generating and transferring bulk messages from one computing device toanother computing device in a cluster are provided. Each computing device in a cluster isassigned a different set of nodes of a graph. A first computing device may be assigned aparticular node that is neighbors with multiple other nodes that are assigned to one or moreother computing devices in the cluster. When processing graph-related code at the firstcomputing device; information about the neighbors may be required. The first computingdevice receives a bulk message from one of the other computing devices. The bulk messagecontains information about at least a subset of the neighbors. Therefore; the first computingdevice is not required to send multiple messages for information about the subset ofneighbors. In fact; the first computing device is not required to send any message for the …,*,2016,3
Finding common neighbors between two nodes in a graph,*,Techniques for identifying common neighbors of two nodes in a graph are provided. Onetechnique involves performing a binary split search and/or a linear search. Anothertechnique involves creating a segmenting index for a first neighbor list. A second neighborlist is scanned and; for each node indicated in the second neighbor list; the segmentingindex is used to determine whether the node is also indicated in the first neighbor list.Techniques are also provided for counting the number of triangles. One technique involvespruning nodes from neighbor lists based on the node values of the nodes whose neighborlists are being pruned. Another technique involves sorting the nodes in a node array (and;thus; their respective neighbor lists) based on the nodes' respective degrees prior toidentifying common neighbors. In this way; when pruning the neighbor lists; the neighbor …,*,2015,3
Asgraph: a mutable multi-versioned graph container with high analytical performance,Michael Haubenschild; Manuel Then; Sungpack Hong; Hassan Chafi,Abstract In the last years researchers and industry have become interested in the analysis ofgraphs to gain insights into social networks; road networks; and other data that is naturallyorganized as a set of connected entities. Many of these graphs are very large; somecontaining hundreds of billions of edges. Usually; graphs are stored in static or immutablerepresentations. We propose ASGraph. ASGraph is a graph container that supports updatesand multi-versioning while still providing high analytical performance in the order ofmagnitude of the predominant CSR. ASGraph stores temporal graphs with arbitrarily finegranularity. Additionally; it can optimize its internal layout for analytical queries at specificsnapshots. We show that it has moderate runtime overhead between 7%--98% forPageRank compared to CSR. Meanwhile it outperforms CSR both in runtime and memory …,Proceedings of the Fourth International Workshop on Graph Data Management Experiences and Systems,2016,2
Efficiently counting triangles in a graph,*,Techniques for identifying common neighbors of two nodes in a graph are provided. Onetechnique involves performing a binary split search and/or a linear search. Anothertechnique involves creating a segmenting index for a first neighbor list. A second neighborlist is scanned and; for each node indicated in the second neighbor list; the segmentingindex is used to determine whether the node is also indicated in the first neighbor list.Techniques are also provided for counting the number of triangles. One technique involvespruning nodes from neighbor lists based on the node values of the nodes whose neighborlists are being pruned. Another technique involves sorting the nodes in a node array (and;thus; their respective neighbor lists) based on the nodes' respective degrees prior toidentifying common neighbors. In this way; when pruning the neighbor lists; the neighbor …,*,2016,2
In-memory graph pattern matching,*,Techniques for identifying; in a target graph; subgraphs that match a query graph areprovided. Processing a query graph comprises multiple stages; one for each query node inthe query graph. In the first stage; a query node is selected; different portions of the targetgraph are assigned to different threads; each thread identifies nodes that match the selectedquery node and stores the identities of those nodes in storage that is local to the thread. Theresults of each thread are then stored in a “global” data structure. In the second stage; asecond query node is selected and different portions of the global data structure areassigned to different threads. Each thread identifies nodes that match the second querynode and that are connected to a previously-matched node. The second stage repeats untilall nodes in the query graph are processed.,*,2016,2
Snapshot-consistent; in-memory graph instances in a multi-user database,*,Techniques for storing and processing graph data in a database system are provided. Graphdata (or a portion thereof) that is stored in persistent storage is loaded into memory togenerate an instance of a particular graph. The instance is consistent as of a particular pointin time. Graph analysis operations are performed on the instance. The instance may be usedby multiple users to perform graph analysis operations. Subsequent changes to the graphare stored separate from the instance. Later; the changes may be applied to the instance (ora copy thereof) to refresh the instance.,*,2016,2
Invalidating entries in a non-coherent cache,*,Techniques are provided for performing an invalidate operation in a non-coherent cache. Inresponse to receiving an invalidate instruction; a cache unit only invalidates cache entriesthat are associated with invalidation data. In this way; a separate invalidate instruction is notrequired for each cache entry that is to be invalidated. Also; cache entries that are not to beinvalidated remain unaffected by the invalidate operation. A cache entry may be associatedwith invalidation data if an address of the corresponding data item is in a particular set ofaddresses. The particular set of addresses may have been specified as a result of aninvalidation instruction specified in code that is executing on a processor that is coupled tothe cache.,*,2014,2
