Can social bookmarking improve web search?,Paul Heymann; Georgia Koutrika; Hector Garcia-Molina,Abstract Social bookmarking is a recent phenomenon which has the potential to give us agreat deal of data about pages on the web. One major question is whether that data can beused to augment systems like web search. To answer this question; over the past year wehave gathered what we believe to be the largest dataset from a social bookmarking site yetanalyzed by academic researchers. Our dataset represents about forty million bookmarksfrom the social bookmarking site del. icio. us. We contribute a characterization of posts todel. icio. us: how many bookmarks exist (about 115 million); how fast is it growing; and howactive are the URLs being posted about (quite active). We also contribute a characterizationof tags used by bookmarkers. We found that certain tags tend to gravitate towards certaindomains; and vice versa. We also found that tags occur in over 50 percent of the pages …,Proceedings of the 2008 International Conference on Web Search and Data Mining,2008,591
Questioning yahoo! answers,Zoltan Gyongyi; Georgia Koutrika; Jan Pedersen; Hector Garcia-Molina,Yahoo! Answers represents a new type of community portal that allows users to postquestions and/or answer questions asked by other members of the community; alreadyfeaturing a very large number of questions and several million users. Other recentlylaunched services; like Microsoft's Live QnA and Amazon's Askville; follow the same basicinteraction model. The popularity and the particular characteristics of this model call for acloser study that can help a deeper understanding of the entities involved; their interactions;and the implications of the model. Such understanding is a crucial step in social andalgorithmic research that could yield improvements to various components of the service; forinstance; personalizing the interaction with the system based on user interest. In this paper;we perform an analysis of 10 months worth of Yahoo! Answers data that provides insights …,*,2007,81
Précis: The essence of a query answer,Georgia Koutrika; Alkis Simitsis; Yannis Ioannidis,Wide spread use of database systems in modern society has brought the need to provideinexperienced users with the ability to easily search a database with no specific knowledgeof a query language. Several recent research efforts have focused on supporting keyword-based searches over relational databases. This paper presents an alternative proposal andintroduces the idea of précis queries. These are free-form queries whose answer (a précis)is a synthesis of results; containing not only information directly related to the queryselections but also information implicitly related to them in various ways. Our approach toprécis queries includes two additional novelties:(a) queries do not generate individualrelations but entire multi-relation databases; and (b) query results are personalized to user-specific and/or domain requirements. We develop a framework and system architecture …,Data Engineering; 2006. ICDE'06. Proceedings of the 22nd International Conference on,2006,75
Combating spam in tagging systems: An evaluation,Georgia Koutrika; Frans Adjie Effendi; Zolt Gyöngyi; Paul Heymann; Hector Garcia-Molina,Abstract Tagging systems allow users to interactively annotate a pool of shared resourcesusing descriptive strings called tags. Tags are used to guide users to interesting resourcesand help them build communities that share their expertise and resources. As taggingsystems are gaining in popularity; they become more susceptible to tag spam: misleadingtags that are generated in order to increase the visibility of some resources or simply toconfuse users. Our goal is to understand this problem better. In particular; we are interestedin answers to questions such as: How many malicious users can a tagging system toleratebefore results significantly degrade&quest; What types of tagging systems are morevulnerable to malicious attacks&quest; What would be the effort and the impact of employinga trusted moderator to find bad postings&quest; Can a system automatically protect itself …,ACM Transactions on the Web (TWEB),2008,70
A unified user profile framework for query disambiguation and personalization,Georgia Koutrika; Yannis Ioannidis,Abstract. Personalization of keyword searches has attracted interest in the researchcommunity as a means to decrease search ambiguity and return results that are more boundto be interesting to a particular user. We describe a termbased user profile that treats querydisambiguation and personalization as a uniform term rewriting process. Its key feature isthe representation of connections between terms based on possible rewritings betweenthem on a per user basis. We present a query-rewriting algorithm for such querydisambiguation based on the proposed profiles. Preliminary experimental results show thepotential of the overall approach.,Proceedings of workshop on new technologies for personalized information access,2005,70
On the selection of tags for tag clouds,Petros Venetis; Georgia Koutrika; Hector Garcia-Molina,Abstract We examine the creation of a tag cloud for exploring and understanding a set ofobjects (eg; web pages; documents). In the first part of our work; we present a formal systemmodel for reasoning about tag clouds. We then present metrics that capture the structuralproperties of a tag cloud; and we briefly present a set of tag selection algorithms that areused in current sites (eg; del. icio. us; Flickr; Technorati) or that have been described inrecent work. In order to evaluate the results of these algorithms; we devise a novel syntheticuser model. This user model is specifically tailored for tag cloud evaluation and assumes an"ideal" user. We evaluate the algorithms under this user model; as well as the model itself;using two datasets: CourseRank (a Stanford social tool containing information aboutcourses) and del. icio. us (a social bookmarking site). The results yield insights as to …,Proceedings of the fourth ACM international conference on Web search and data mining,2011,67
Précis: from unstructured keywords as queries to structured databases as answers,Alkis Simitsis; Georgia Koutrika; Yannis Ioannidis,Abstract Précis queries represent a novel way of accessing data; which combines ideas andtechniques from the fields of databases and information retrieval. They are free-form;keyword-based; queries on top of relational databases that generate entire multi-relationdatabases; which are logical subsets of the original ones. A logical subset contains not onlyitems directly related to the given query keywords but also items implicitly related to them invarious ways; with the purpose of providing to the user much greater insight into the originaldata. In this paper; we lay the foundations for the concept of logical database subsets thatare generated from précis queries under a generalized perspective that removes severalrestrictions of previous work. In particular; we extend the semantics of précis queriesconsidering that they may contain multiple terms combined through the AND; OR; and …,The VLDB Journal—The International Journal on Very Large Data Bases,2008,62
Constrained optimalities in query personalization,Georgia Koutrika; Yannis Ioannidis,Abstract Personalization is a powerful mechanism that helps users to cope with theabundance of information on the Web. Database query personalization achieves this bydynamically constructing queries that return results of high interest to the user. This;however; may conflict with other constraints on the query execution time and/or result sizethat may be imposed by the search context; such as the device used; the networkconnection; etc. For example; if the user is accessing information using a mobile phone; thenit is desirable to construct a personalized query that executes quickly and returns a handfulof answers. Constrained Query Personalization (CQP) is an integrated approach todatabase query answering that dynamically takes into account the queries issued; the user'sinterest in the results; response time; and result size in order to build personalized …,Proceedings of the 2005 ACM SIGMOD international conference on Management of data,2005,61
Extracting; linking and integrating data from public sources: A financial case study,Douglas Burdick; Mauricio Hernández; Howard Ho; Georgia Koutrika; Rajasekar Krishnamurthy; Lucian Constantin Popa; Ioana Stanoi; Shivakumar Vaithyanathan; Sanjiv Ranjan Das,Abstract: We present Midas; a system that uses complex data processing to extract andaggregate facts from a large collection of structured and unstructured documents into a set ofunified; clean entities and relationships. Midas focuses on data for financial companies andis based on periodic filings with the US Securities and Exchange Commission (SEC) andFederal Deposit Insurance Corporation (FDIC). We show that; by using data aggregated byMidas; we can provide valuable insights about financial institutions either at the wholesystem level or at the individual company level. The key technology components that weimplemented in Midas and that enable the various financial applications are: informationextraction; entity resolution; mapping and fusion; all on top of a scalable infrastructure basedon Hadoop. We describe our experience in building the Midas system and also outline …,*,2015,59
Personalized systems: Models and methods from an ir and db perspective,Yannis Ioannidis; Georgia Koutrika,Abstract In today's knowledge-driven society; information abundance and personalelectronic device ubiquity have made it difficult for users to find the right information at theright time and at the right level of detail. To solve this problem; researchers have developedsystems that adapt their behavior to the goals; tasks; interests; and other characteristics oftheir users. Based on models that capture important user characteristics; these personalizedsystems maintain their users' profiles and take them into account to customize the contentgenerated or its presentation to the different individuals.,Proceedings of the 31st international conference on Very large data bases,2005,49
Meta-blocking: Taking entity resolutionto the next level,George Papadakis; Georgia Koutrika; Themis Palpanas; Wolfgang Nejdl,Entity Resolution is an inherently quadratic task that typically scales to large data collectionsthrough blocking. In the context of highly heterogeneous information spaces; blockingmethods rely on redundancy in order to ensure high effectiveness at the cost of lowerefficiency (ie; more comparisons). This effect is partially ameliorated by coarse-grained blockprocessing techniques that discard entire blocks either a-priori or during the resolutionprocess. In this paper; we introduce meta-blocking as a generic procedure that intervenesbetween the creation and the processing of blocks; transforming an initial set of blocks into anew one with substantially fewer comparisons and equally high effectiveness. In essence;meta-blocking aims at extracting the most similar pairs of entities by leveraging theinformation that is encapsulated in the block-to-entity relationships. To this end; it first …,IEEE Transactions on Knowledge and Data Engineering,2014,43
Explaining structured queries in natural language,Georgia Koutrika; Alkis Simitsis; Yannis E Ioannidis,Many applications offer a form-based environment for naïve users for accessing databaseswithout being familiar with the database schema or a structured query language. Userinteractions are translated to structured queries and executed. However; as a user is unlikelyto know the underlying semantic connections among the fields presented in a form; it is oftenuseful to provide her with a textual explanation of the query. In this paper; we take a graph-based approach to the query translation problem. We represent various forms of structuredqueries as directed graphs and we annotate the graph edges with template labels using anextensible template mechanism. We present different graph traversal strategies for efficientlyexploring these graphs and composing textual query descriptions. Finally; we presentexperimental results for the efficiency and effectiveness of the proposed methods.,Data Engineering (ICDE); 2010 IEEE 26th International Conference on,2010,41
Information seeking: convergence of search; recommendations; and advertising,Hector Garcia-Molina; Georgia Koutrika; Aditya Parameswaran,How to address user information needs amidst a preponderance of data. doi: 10.1145/2018396.2018423 Hector Garcia-Molina; Georgia Koutrika; and Aditya Parameswaran thegoal is to present to the user only information that is of interest and relevance; at the rightplace and time. 122 communications of the acm| november 2011| vol. 54| no. 11 viewpointsnism; except that the objects presented to the user are commercial advertisements; andfinancial considerations play a central role in ranking. An advertising mechanism alsoconsiders the user context; eg; what Web site is currently being visited; or what query theuser just entered. The selection of advertisements can be based on the similarity of thecontext to the ad; or the similarity of the context to a bid phrase (where the advertiserspecifies the contexts he is interested in); or on financial considerations (eg; which …,Communications of the ACM,2011,39
HIL: a high-level scripting language for entity integration,Mauricio Hernández; Georgia Koutrika; Rajasekar Krishnamurthy; Lucian Popa; Ryan Wisnesky,Abstract We introduce HIL; a high-level scripting language for entity resolution andintegration. HIL aims at providing the core logic for complex data processing flows thataggregate facts from large collections of structured or unstructured data into clean; unifiedentities. Such flows typically include many stages of processing that start from the outcomeof information extraction and continue with entity resolution; mapping and fusion. A HILprogram captures the overall integration flow through a combination of SQL-like rules thatlink; map; fuse and aggregate entities. A salient feature of HIL is the use of logical indexes inits data model to facilitate the modular construction and aggregation of complex entities.Another feature is the presence of a flexible; open type system that allows HIL to handleinput data that is irregular; sparse or partially known. As a result; HIL can accurately …,Proceedings of the 16th international conference on extending database technology,2013,36
Personalizing queries based on networks of composite preferences,Georgia Koutrika; Yannis Ioannidis,Abstract People's preferences are expressed at varying levels of granularity and detail as aresult of partial or imperfect knowledge. One may have some preference for a general classof entities; for example; liking comedies; and another one for a fine-grained; specific class;such as disliking recent thrillers with Al Pacino. In this article; we are interested in capturingsuch complex; multi-granular preferences for personalizing database queries and instudying their impact on query results. We organize the collection of one's preferences in apreference network (a directed acyclic graph); where each node refers to a subclass of theentities that its parent refers to; and whenever they both apply; more specific preferencesoverride more generic ones. We study query personalization based on networks ofpreferences and provide efficient algorithms for identifying relevant preferences …,ACM Transactions on Database Systems (TODS),2010,31
Recsplorer: recommendation algorithms based on precedence mining,Aditya G Parameswaran; Georgia Koutrika; Benjamin Bercovitz; Hector Garcia-Molina,Abstract We study recommendations in applications where there are temporal patterns in theway items are consumed or watched. For example; a student who has taken the AdvancedAlgorithms course is more likely to be interested in Convex Optimization; but a student whohas taken Convex Optimization need not be interested in Advanced Algorithms in the future.Similarly; a person who has purchased the Godfather I DVD on Amazon is more likely topurchase Godfather II sometime in the future (though it is not strictly necessary towatch/purchase Godfather I beforehand). We propose a precedence mining model thatestimates the probability of future consumption based on past behavior. We then proposeRecsplorer: a suite of recommendation algorithms that exploit the precedence information.We evaluate our algorithms; as well as traditional recommendation ones; using a real …,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,30
Towards preference-aware relational databases,Anastasios Arvanitis; Georgia Koutrika,In implementing preference-aware query processing; a straightforward option is to build aplug-in on top of the database engine. However; treating the DBMS as a black box affectsboth the expressivity and performance of queries with preferences. In this paper; we arguethat preference-aware query processing needs to be pushed closer to the DBMS. Wepresent a preference-aware relational data model that extends database tuples withpreferences and an extended algebra that captures the essence of processing queries withpreferences. A key novelty of our preference model itself is that it defines a preference inthree dimensions showing the tuples affected; their preference scores and the credibility ofthe preference. Our query processing strategies push preference evaluation inside the queryplan and leverage its algebraic properties for finer-grained query optimization. We …,Data Engineering (ICDE); 2012 IEEE 28th International Conference on,2012,27
Flexible recommendations over rich data,Georgia Koutrika; Robert Ikeda; Benjamin Bercovitz; Hector Garcia-Molina,Abstract CourseRank is a course planning tool aimed at helping students at Stanford.Recommendations comprise an integral part of it. However; implementing existingrecommendation methods leads to fixed recommendations that cannot adapt to eachparticular student's changing requirements and do not help exploit the full extent of theavailable learning opportunities at the university. In this paper; we describe the concept of aflexible recommendation workflow; ie; a high-level description of a parameterized processfor computing recommendations. The input parameters of a flexible recommendationprocess comprise the" knobs" that control the final output and hence generate flexiblerecommendations. We describe how flexible recommendations can be expressed over arelational database and we present our prototype system that allows defining and …,Proceedings of the 2008 ACM conference on Recommender systems,2008,25
Rule-based query personalization in digital libraries,Georgia Koutrika; Yannis Ioannidis,Abstract Searching a digital library is typically a tedious task. A system can improveinformation access by building on knowledge about a user acquired in a user profile in orderto customize information access both in terms of the information returned in response to aquery (query personalization) as well as in terms of the presentation of the results(presentation personalization). In this paper; we focus on query personalization in digitallibraries; in particular; we address structured queries involving metadata stored in relationaldatabases. We describe the specification of user preferences at the level of a user profileand the process of query personalization with the use of query-rewriting rules.,International Journal on Digital Libraries,2004,22
CourseRank: A Closed-Community Social System through the Magnifying Glass.,Georgia Koutrika; Benjamin Bercovitz; Filip Kaliszan; Henry Liou; Hector Garcia-Molina,Abstract Social sites are extremely popular among users but user interactions in most sitesrevolve around relatively simple tasks; such as uploading resources; tagging and pokingfriends. We believe that social sites can go beyond simple interactions among individualsand offer valuable services to welldefined; closed; communities (eg; an academic; corporateor scientific community). In this paper; we present an example of a closed-community socialsystem; CourseRank; an educational and social site where Stanford students can explorecourse offerings and plan their academic program. We perform an analysis of 12 monthsworth of CourseRank data including user contributed information; such as ratings andcomments; as well as information extracted from the user logs; and we analyze severalaspects of user interactions and user-contributed content in the site; such as activity levels …,ICWSM,2009,21
A survey on proximity measures for social networks,Sara Cohen; Benny Kimelfeld; Georgia Koutrika,Abstract Measuring proximity in a social network is an important task; with many interestingapplications; including person search and link prediction. Person search is the problem offinding; by means of keyword search; relevant people in a social network. In user-centricperson search; the search query is issued by a person participating in the social networkand the goal is to find people that are relevant not only to the keywords; but also to thesearcher herself. Link prediction is the task of predicting new friendships (links) that arelikely to be added to the network. Both of these tasks require the ability to measure proximityof nodes within a network; and are becoming increasingly important as social networksbecome more ubiquitous. This chapter surveys recent work on scoring measures fordetermining proximity between nodes in a social network. We broadly identify various …,*,2012,20
CourseRank: a social system for course planning,Benjamin Bercovitz; Filip Kaliszan; Georgia Koutrika; Henry Liou; Zahra Mohammadi Zadeh; Hector Garcia-Molina,Abstract Special-purpose social sites can offer valuable services to well-defined; closed;communities; eg; in a university or in a corporation. The purpose of this demo is to show thechallenges; special features and potential of a focused social system in action throughCourseRank; a course evaluation and planning social system.,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009,20
Surfacing time-critical insights from social media,Bogdan Alexe; Mauricio A Hernández; Kirsten W Hildrum; Rajasekar Krishnamurthy; Georgia Koutrika; Meenakshi Nagarajan; Haggai Roitman; Michal Shmueli-Scheuer; Ioana R Stanoi; Chitra Venkatramani; Rohit Wagle,Abstract We propose to demonstrate an end-to-end framework for leveraging time-sensitiveand critical social media information for businesses. More specifically; we focus onidentifying; structuring; integrating; and exposing timely insights that are essential tomarketing services and monitoring reputation over social media. Our system includescomponents for information extraction from text; entity resolution and integration; analytics;and a user interface.,Proceedings of the 2012 ACM SIGMOD International Conference on Management of Data,2012,17
Unleashing the power of public data for financial risk measurement; regulation; and governance,Mauricio Hernandez; Sanjiv Ranjan Das; Howard Ho; Georgia Koutrika; Rajasekar Krishnamurthy; Lucian Constantin Popa; Ioana Stanoi; Shivakumar Vaithyanathan,Abstract: We present Midas; a system that uses complex data processing to extract andaggregate facts from a large collection of structured and unstructured documents into a set ofunified; clean entities and relationships. Midas focuses on data for financial companies andis based on periodic filings with the US Securities and Exchange Commission (SEC) andFederal Deposit Insurance Corporation (FDIC). We show that; by using data aggregated byMidas; we can provide valuable insights about financial institutions either at the wholesystem level or at the individual company level. To illustrate; we show how co-lendingrelationships that are extracted and aggregated from EC text filings can be used to constructa network of the major financial institutions. Centrality computations on this network enableus to identify critical hub banks for monitoring systemic risk. Financial analysts or …,*,2010,17
Coursecloud: summarizing and refining keyword searches over structured data,Georgia Koutrika; Zahra Mohammadi Zadeh; Hector Garcia-Molina,Abstract In this demo; we show data clouds that summarize the results of keyword searchesover structured data. Data clouds provide insight into the database contents; hints for querymodification and refinement and can lead to serendipitous discoveries of diverse results. Inthis demo paper:,Proceedings of the 12th International Conference on Extending Database Technology: Advances in Database Technology,2009,17
Schema-agnostic vs schema-based configurations for blocking methods on homogeneous data,George Papadakis; George Alexiou; George Papastefanatos; Georgia Koutrika,Abstract Entity Resolution constitutes a core task for data integration that; due to its quadraticcomplexity; typically scales to large datasets through blocking methods. These can beconfigured in two ways. The schema-based configuration relies on schema information inorder to select signatures of high distinctiveness and low noise; while the schema-agnosticone treats every token from all attribute values as a signature. The latter approach hassignificant potential; as it requires no fine-tuning by human experts and it applies toheterogeneous data. Yet; there is no systematic study on its relative performance withrespect to the schema-based configuration. This work covers this gap by comparinganalytically the two configurations in terms of effectiveness; time efficiency and scalability.We apply them to 9 established blocking methods and to 11 benchmarks of structured …,Proceedings of the VLDB Endowment,2015,16
Supervised meta-blocking,George Papadakis; George Papastefanatos; Georgia Koutrika,Abstract Entity Resolution matches mentions of the same entity. Being an expensive task forlarge data; its performance can be improved by blocking; ie; grouping similar entities andcomparing only entities in the same group. Blocking improves the run-time of EntityResolution; but it still involves unnecessary comparisons that limit its performance. Meta-blocking is the process of restructuring a block collection in order to prune suchcomparisons. Existing unsupervised meta-blocking methods use simple pruning rules;which offer a rather coarse-grained filtering technique that can be conservative (ie; keepingtoo many unnecessary comparisons) or aggressive (ie; pruning good comparisons). In thiswork; we introduce supervised meta-blocking techniques that learn classification models fordistinguishing promising comparisons. For this task; we propose a small set of generic …,Proceedings of the VLDB Endowment,2014,16
Social systems: Can we do more than just poke friends?,Georgia Koutrika; Benjamin Bercovitz; Robert Ikeda; Filip Kaliszan; Henry Liou; Zahra Mohammadi Zadeh; Hector Garcia-Molina,Abstract: Social sites have become extremely popular among users but have they attractedequal attention from the research community? Are they good only for simple tasks; such astagging and poking friends? Do they present any new or interesting research challenges? Inthis paper; we describe the insights we have obtained implementing CourseRank; a courseevaluation and planning social system. We argue that more attention should be given tosocial sites like ours and that there are many challenges (though not the traditional DBMSones) that should be addressed by our community.,arXiv preprint arXiv:0909.1774,2009,14
Learningassistant: A novel learning resource recommendation system,Lei Liu; Georgia Koutrika; Shanchan Wu,Reading online content for educational; learning; training or recreational purposes hasbecome a very popular activity. While reading; people may have difficulty understanding apassage or wish to learn more about the topics covered by it; hence they may naturally seekadditional or supplementary resources for the particular passage. These resources shouldbe close to the passage both in terms of the subject matter and the reading level. However;using a search engine to find such resources interrupts the reading flow. It is also aninefficient; trial-and-error process because existing web search and recommendationsystems do not support large queries; they do not understand semantic topics; and they donot take into account the reading level of the original document a person is reading. In thisdemo; we present LearningAssistant; a novel system that enables online reading material …,Data Engineering (ICDE); 2015 IEEE 31st International Conference on,2015,13
PrefDB: Bringing preferences closer to the DBMS,Anastasios Arvanitis; Georgia Koutrika,Abstract In this demonstration we present a preference-aware relational query answeringsystem; termed PrefDB. The key novelty of PrefDB is the use of an extended relational datamodel and algebra that allow expressing different flavors of preferential queries.Furthermore; unlike existing approaches that either treat the DBMS as a black box or requiremodifications of the database core; PrefDB's hybrid implementation enables operator-levelquery optimizations without being obtrusive to the database engine. We showcase theflexibility and efficiency of PrefDB using PrefDBAdmin; a graphical tool that we have builtaiming at assisting application designers in the task of building; testing and tuning querieswith preferences.,Proceedings of the 2012 ACM SIGMOD International Conference on Management of Data,2012,13
Flexible recommendations for course planning,Georgia Koutrika; Benjamin Bercovitz; Robert Ikeda; Filip Kaliszan; Henry Liou; Hector Garcia-Molina,Most recommendation methods are" hard-wired" into the system and support only fixedrecommendations. The purpose of this demo is to show the expressivity of flexiblerecommendation workflows; how flexible recommendations can be processed overrelational data; and to show flexible recommendations in action through a real system usedfor course planning.,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,13
Synthesizing structured text from logical database subsets,Alkis Simitsis; Georgia Koutrika; Yannis Alexandrakis; Yannis Ioannidis,Abstract In the classical database world; information access has been based on a paradigmthat involves structured; schema-aware; queries and tabular answers. In the currentenvironment; however; where information prevails in most activities of society; servingpeople; applications; and devices in dramatically increasing numbers; this paradigm hasproved to be very limited. On the query side; much work has been done on moving towardskeyword queries over structured data. In our previous work; we have touched the other sideas well; and have proposed a paradigm that generates entire databases in response tokeyword queries. In this paper; we continue in the same direction and propose synthesizingtextual answers in response to queries of any kind over structured data. In particular; westudy the transformation of a dynamically-generated logical database subset into a …,Proceedings of the 11th international conference on Extending database technology: Advances in database technology,2008,13
