Nested mappings: schema mapping reloaded,Ariel Fuxman; Mauricio A Hernandez; Howard Ho; Renee J Miller; Paolo Papotti; Lucian Popa,Abstract Many problems in information integration rely on specifications; called schemamappings; that model the relationships between schemas. Schema mappings for bothrelational and nested data are well-known. In this work; we present a new formalism forschema mapping that extends these existing formalisms in two significant ways. First; ournested mappings allow for nesting and correlation of mappings. This results in a naturalprogramming paradigm that often yields more accurate specifications. In particular; we showthat nested mappings can naturally preserve correlations among data that existing mappingformalisms cannot. We also show that using nested mappings for purposes of exchangingdata from a source to a target will result in less redundancy in the target data. The secondextension to the mapping formalism is the ability to express; in a declarative way …,Proceedings of the 32nd international conference on Very large data bases,2006,151
Data exchange with data-metadata translations,Mauricio A Hernández; Paolo Papotti; Wang-Chiew Tan,Abstract Data exchange is the process of converting an instance of one schema into aninstance of a different schema according to a given specification. Recent data exchangesystems have largely dealt with the case where the schemas are given a priori andtransformations can only migrate data from the first schema to an instance of the secondschema. In particular; the ability to perform data-metadata translations; transformation inwhich data is converted into metadata or metadata is converted into data; is largely ignored.This paper provides a systematic study of the data exchange problem with data-metadatatranslation capabilities. We describe the problem; our solution; implementation andexperiments. Our solution is a principled and systematic extension of the existing dataexchange framework; all the way from the constructs required in the visual interface to …,Proceedings of the VLDB Endowment,2008,36
Mapping and cleaning,Floris Geerts; Giansalvatore Mecca; Paolo Papotti; Donatello Santoro,We address the challenging and open problem of bringing together two crucial activities indata integration and data quality; ie; transforming data using schema mappings; and fixingconflicts and inconsistencies using data repairing. This problem is made complex by severalfactors. First; schema mappings and data repairing have traditionally been considered asseparate activities; and research has progressed in a largely independent way in the twofields. Second; the elegant formalizations and the algorithms that have been proposed forboth tasks have had mixed fortune in scaling to large databases. In the paper; we introducea very general notion of a mapping and cleaning scenario that incorporates a wide variety offeatures; like; for example; user interventions. We develop a new semantics for thesescenarios that represents a conservative extension of previous semantics for schema …,Data Engineering (ICDE); 2014 IEEE 30th International Conference on,2014,35
Descriptive and Prescriptive Data Cleaning,Anup K. Chalamalla; Ihab Ilyas; Mourad Ouzzani; Paolo Papotti,Abstract Data cleaning techniques usually rely on some quality rules to identify violatingtuples; and then fix these violations using some repair algorithms. Oftentimes; the rules;which are related to the business logic; can only be defined on some target report generatedby transformations over multiple data sources. This creates a situation where the violationsdetected in the report are decoupled in space and time from the actual source of errors. Inaddition; applying the repair on the report would need to be repeated whenever the datasources change. Finally; even if repairing the report is possible and affordable; this would beof little help towards identifying and analyzing the actual sources of errors for futureprevention of violations at the target. In this paper; we propose a system to address thisdecoupling. The system takes quality rules defined over the output of a transformation …,Sigmod,2014,32
Concise and expressive mappings with+ Spicy,Giansalvatore Mecca; Paolo Papotti; Salvatore Raunich; Marcello Buoncristiano,Abstract We introduce the+ Spicy mapping system. The system is based on a number ofnovel algorithms that contribute to increase the quality and expressiveness of mappings.+Spicy integrates the computation of core solutions in the mapping generation process in ahighly efficient way; based on a natural rewriting of the given mappings. This allows for anefficient implementation of core computations using common runtime languages like SQL orXQuery and guarantees very good performances; orders of magnitude better than those ofprevious algorithms. The rewriting algorithm can be applied both to mappings generated bythe system; or to pre-defined mappings provided as part of the input. To do this; the systemwas enriched with a set of expressive primitives; so that+ Spicy is the first mapping systemthat brings together a sophisticate and expressive mapping generation algorithm with an …,Proceedings of the VLDB Endowment,2009,31
Extraction and integration of partially overlapping web sources,Mirko Bronzi; Valter Crescenzi; Paolo Merialdo; Paolo Papotti,Abstract We present an unsupervised approach for harvesting the data exposed by a set ofstructured and partially overlapping data-intensive web sources. Our proposal comes withina formal framework tackling two problems: the data extraction problem; to generateextraction rules based on the input websites; and the data integration problem; to integratethe extracted data in a unified schema. We introduce an original algorithm; WEIR; to solvethe stated problems and formally prove its correctness. WEIR leverages the overlappingdata among sources to make better decisions both in the data extraction (by pruning rulesthat do not lead to redundant information) and in the data integration (by reflecting localproperties of a source over the mediated schema). Along the way; we characterize theamount of redundancy needed by our algorithm to produce a solution; and present …,Proceedings of the VLDB Endowment,2013,26
Repeatability and workability evaluation of SIGMOD 2011,Philippe Bonnet; Stefan Manegold; Matias Bjørling; Wei Cao; Javier Gonzalez; Joel Granados; Nancy Hall; Stratos Idreos; Milena Ivanova; Ryan Johnson; David Koop; Tim Kraska; René Müller; Dan Olteanu; Paolo Papotti; Christine Reilly; Dimitris Tsirogiannis; Cong Yu; Juliana Freire; Dennis Shasha,Abstract SIGMOD has offered; since 2008; to verify the experiments published in the papersaccepted at the conference. This year; we have been in charge of reproducing theexperiments provided by the authors (repeatability); and exploring changes to experimentparameters (workability). In this paper; we assess the SIGMOD repeatability process in termsof participation; review process and results. While the participation is stable in terms ofnumber of submissions; we find this year a sharp contrast between the high participationfrom Asian authors and the low participation from American authors. We also find that mostexperiments are distributed as Linux packages accompanied by instructions on how to setupand run the experiments. We are still far from the vision of executable papers.,ACM SIGMOD Record,2011,25
Detecting Data Errors: Where are we and what needs to be done?,Ziawasch Abedjan; Xu Chu; Dong Deng; Raul Castro Fernandez; Ihab F Ilyas; Mourad Ouzzani; Paolo Papotti; Michael Stonebraker; Nan Tang,Abstract Data cleaning has played a critical role in ensuring data quality for enterpriseapplications. Naturally; there has been extensive research in this area; and many datacleaning algorithms have been translated into tools to detect and to possibly repair certainclasses of errors such as outliers; duplicates; missing values; and violations of integrityconstraints. Since different types of errors may coexist in the same data set; we often need torun more than one kind of tool. In this paper; we investigate two pragmatic questions:(1) arethese tools robust enough to capture most errors in real-world data sets? and (2) what is thebest strategy to holistically run multiple tools to optimize the detection effort? To answerthese two questions; we obtained multiple data cleaning tools that utilize a variety of errordetection techniques. We also collected five real-world data sets; for which we could …,Proceedings of the VLDB Endowment,2016,22
Core schema mappings: Scalable core computations in data exchange,Giansalvatore Mecca; Paolo Papotti; Salvatore Raunich,Abstract Research has investigated mappings among data sources under two perspectives.On the one side; there are studies of practical tools for schema mapping generation; thesefocus on algorithms to generate mappings based on visual specifications provided by users.On the other side; we have theoretical researches about data exchange. These study how togenerate a solution–ie; a target instance–given a set of mappings usually specified as tuplegenerating dependencies. Since the notion of a core solution has been formally identified asan optimal solution; it is very important to efficiently support core computations in mappingsystems. In this paper; we introduce several new algorithms that contribute to bridge the gapbetween the practice of mapping generation and the theory of data exchange. We showhow; given a mapping scenario; it is possible to generate an executable script that …,Information Systems,2012,22
Heterogeneous data translation through XML conversion,Paolo Papotti; Riccardo Torlone,In this paper; we illustrate an approach to the translation of Web data betweenheterogeneous formats. This work fits into a larger project whose aim is the development ofa tool for the management of data described according to a large variety of models andformats used on the Web and the automatic translation of schemes and instances from onemodel to another. Data translations operate over XML representations of schemes andinstances and rely on a uniform description of models that we call metamodel. Themetamodel shows structural diversities and dictates the needed transformations. Complextranslations are derived automatically by combining a number of predefined basicprocedures. These procedures perform XML transformations and are implemented bymeans of XML query languages. Practical examples are provided to show the …,J. Web Eng.,2005,22
Schema exchange: Generic mappings for transforming data and metadata,Paolo Papotti; Riccardo Torlone,Abstract In this paper we present and study the problem of schema exchange; a naturalextension of the data exchange problem in which mappings are defined over classes ofsimilar schemas. To this end; we first introduce the notion of schema template; a tool for therepresentation of a set of schemas sharing the same structure. We then define the schemaexchange notion as the problem of:(i) taking a schema that matches a source template; and(ii) generating a new schema for a target template; on the basis of a mapping between thetwo templates defined by means of FO dependencies. This framework allows the definition;once for all; of generic transformations that can be applied to different schemas. A methodfor the generation of a “correct” solution of the schema exchange problem is proposed and anumber of general results are given. We also show how it is possible to generate …,Data & Knowledge Engineering,2009,20
Future locations prediction with uncertain data,Disheng Qiu; Paolo Papotti; Lorenzo Blanco,Abstract The ability to predict future movements for moving objects enables better decisionsin terms of time; cost; and impact on the environment. Unfortunately; future locationprediction is a challenging task. Existing works exploit techniques to predict a tripdestination; but they are effective only when location data are precise (eg; GPS data) andmovements are observed over long periods of time (eg; weeks). We introduce a data miningapproach based on a Hidden Markov Model (HMM) that overcomes these limits andimproves existing results in terms of precision of the prediction; for both the route (ie;trajectory) and the final destination. The model is resistant to uncertain location data; as itworks with data collected by using cell-towers to localize the users instead of GPS devices;and reaches good prediction results in shorter times (days instead of weeks in a …,Joint European Conference on Machine Learning and Knowledge Discovery in Databases,2013,18
Flint: Google-basing the web,Lorenzo Blanco; Valter Crescenzi; Paolo Merialdo; Paolo Papotti,Abstract Several Web sites deliver a large number of pages; each publishing data about oneinstance of some real world entity; such as an athlete; a stock quote; a book. Even though itis easy for a human reader to recognize these instances; current search engines areunaware of them. Technologies for the Semantic Web aim at achieving this goal; however;so far they have been of little help in this respect; as semantic publishing is very limited. Wehave developed a system; called Flint; for automatically searching; collecting and indexingWeb pages that publish data representing an instance of a certain conceptual entity. Flinttakes as input a small set of labeled sample pages: it automatically infers a description of theunderlying conceptual entity and then searches the Web for other pages containing datarepresenting the same entity. Flint automatically extracts data from the collected pages …,Proceedings of the 11th international conference on Extending database technology: Advances in database technology,2008,17
Temporal rules discovery for web data cleaning,Ziawasch Abedjan; Cuneyt G Akcora; Mourad Ouzzani; Paolo Papotti; Michael Stonebraker,Abstract Declarative rules; such as functional dependencies; are widely used for cleaningdata. Several systems take them as input for detecting errors and computing a" clean"version of the data. To support domain experts; in specifying these rules; several tools havebeen proposed to profile the data and mine rules. However; existing discovery techniqueshave traditionally ignored the time dimension. Recurrent events; such as persons reported inlocations; have a duration in which they are valid; and this duration should be part of therules or the cleaning process would simply fail. In this work; we study the rule discoveryproblem for temporal web data. Such a discovery process is challenging because of thenature of web data; extracted facts are (i) sparse over time;(ii) reported with delays; and (iii)often reported with errors over the values because of inaccurate sources or non robust …,Proceedings of the VLDB Endowment,2015,16
That's all folks!: llunatic goes open source,Floris Geerts; Giansalvatore Mecca; Paolo Papotti; Donatello Santoro,Abstract It is widely recognized that whenever different data sources need to be integratedinto a single target database errors and inconsistencies may arise; so that there is a strongneed to apply data-cleaning techniques to repair the data. Despite this need; databaseresearch has so far investigated mappings and data repairing essentially in isolation.Unfortunately; schema-mappings and data quality rules interact with each other; so thatapplying existing algorithms in a pipelined way--ie; first exchange then data; then repair theresult--does not lead to solutions even in simple settings. We present the Llunatic mappingand cleaning system; the first comprehensive proposal to handle schema mappings anddata repairing in a uniform way. Llunatic is based on the intuition that transforming andcleaning data are different facets of the same problem; unified by their declarative nature …,Proceedings of the VLDB Endowment,2014,16
Supporting the automatic construction of entity aware search engines,Lorenzo Blanco; Valter Crescenzi; Paolo Merialdo; Paolo Papotti,Abstract Several web sites deliver a large number of pages; each publishing data about oneinstance of some real world entity; such as an athlete; a stock quote; a book. Although it iseasy for a human reader to recognize these instances; current search engines are unawareof them. Technologies for the Semantic Web aim at achieving this goal; however; so far theyhave been of little help in this respect; as semantic publishing is very limited. We havedeveloped a method to automatically search on the web for pages that publish datarepresenting an instance of a certain conceptual entity. Our method takes as input a smallset of sample pages: it automatically infers a description of the underlying conceptual entityand then searches the web for other pages containing data representing the same entity. Wehave implemented our method in a system prototype; which has been used to conduct …,Proceedings of the 10th ACM workshop on Web information and data management,2008,16
Creating nested mappings with Clio,Mauricio A Hernández; Howard Ho; Lucian Popa; Ariel Fuxman; Renee J Miller; Takeshi Fukuda; Paolo Papotti,Schema mappings play a central role in many data integration and data exchangescenarios. In those applications; users need to quickly and correctly specify how datarepresented in one format is converted into a different format. Clio (L. Popa et al.; 2002) is ajoint research project between IBM and the University of Toronto studying the creation;maintenance; and use of schema mappings. There have always been two goals in our workin Clio: 1) the automatic creation of logical assertions that capture the way one or moresource schemas are mapped into a target schema; and 2) the generation of transformationqueries or programs that transform a source data instance into a target data instance.,Data Engineering; 2007. ICDE 2007. IEEE 23rd International Conference on,2007,16
Lightning fast and space efficient inequality joins,Zuhair Khayyat; William Lucia; Meghna Singh; Mourad Ouzzani; Paolo Papotti; Jorge-Arnulfo Quiané-Ruiz; Nan Tang; Panos Kalnis,Abstract Inequality joins; which join relational tables on inequality conditions; are used invarious applications. While there have been a wide range of optimization methods for joinsin database systems; from algorithms such as sort-merge join and band join; to variousindices such as B+-tree; R*-tree and Bitmap; inequality joins have received little attentionand queries containing such joins are usually very slow. In this paper; we introduce fastinequality join algorithms. We put columns to be joined in sorted arrays and we usepermutation arrays to encode positions of tuples in one sorted array wrt the other sortedarray. In contrast to sort-merge join; we use space efficient bit-arrays that enableoptimizations; such as Bloom filter indices; for fast computation of the join results. We haveimplemented a centralized version of these algorithms on top of PostgreSQL; and a …,Proceedings of the VLDB Endowment,2015,15
Dataxformer: An interactive data transformation tool,John Morcos; Ziawasch Abedjan; Ihab Francis Ilyas; Mourad Ouzzani; Paolo Papotti; Michael Stonebraker,Abstract While syntactic transformations require the application of a formula on the inputvalues; such as unit conversion or date format conversions; semantic transformations; suchas" zip code to city"; require a look-up in some reference data. We recently presentedDataXFormer; a system that leverages Web tables; Web forms; and expert sourcing to covera wide range of transformations. In this demonstration; we present the user-interaction withDataXFormer and show scenarios on how it can be used to transform data and explore theeffectiveness and efficiency of several approaches for transformation discovery; leveragingabout 112 million tables and online sources.,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,2015,14
Discovery and correctness of schema mapping transformations,Angela Bonifati; Giansalvatore Mecca; Paolo Papotti; Yannis Velegrakis,Abstract Schema mapping is becoming pervasive in all data transformation; exchange; andintegration tasks. It brings to the surface the problem of differences and mismatches betweenheterogeneous formats and models; respectively; used in source and target databases to bemapped one to another. In this chapter; we start by describing the problem of schemamapping; its background; and technical implications. Then; we outline the early schemamapping systems; along with the new generation of schema mapping tools. Moving from theformer to the latter entailed a dramatic change in the performance of mapping generationalgorithms. Finally; we conclude the chapter by revisiting the query answering techniquesallowed by the mappings; and by discussing useful applications and future and currentdevelopments of schema mapping tools.,*,2011,14
Road to Freedom in Big Data Analytics.,Divy Agrawal; Sanjay Chawla; Ahmed K Elmagarmid; Zoi Kaoudi; Mourad Ouzzani; Paolo Papotti; Jorge-Arnulfo Quiané-Ruiz; Nan Tang; Mohammed J Zaki,ABSTRACT The world is fast moving towards a data-driven society where data is the mostvaluable asset. Organizations need to perform very diverse analytic tasks using various dataprocessing platforms. In doing so; they face many challenges; chiefly; platform dependence;poor interoperability; and poor performance when using multiple platforms. We presentRHEEM; our vision for big data analytics over diverse data processing platforms. RHEEMprovides a threelayer data processing and storage abstraction to achieve both platformindependence and interoperability across multiple platforms. In this paper; we discuss ourvision as well as present multiple research challenges that we need to address to achieve it.As a case in point; we present a data cleaning application built using some of the ideas ofRHEEM. We show how it achieves platform independence and the performance benefits …,EDBT,2016,13
Dataxformer: Leveraging the Web for Semantic Transformations.,Ziawasch Abedjan; John Morcos; Michael N Gubanov; Ihab F Ilyas; Michael Stonebraker; Paolo Papotti; Mourad Ouzzani,ABSTRACT Data transformation is a crucial step in data integration. While sometransformations; such as liters to gallons; can be easily performed by applying a formula or aprogram on the input values; others; such as zip code to city; require sifting through arepository containing explicit value mappings. There are already powerful systems thatprovide formulae and algorithms for transformations. However; the automated identificationof reference datasets to support value mapping remains largely unresolved. The Web ishome to millions of tables with many containing explicit value mappings. This is in additionto value mappings hidden behind Web forms. In this paper; we present DataXFormer; atransformation engine that leverages Web tables and Web forms to perform transformationtasks. In particular; we describe an inductive; filter-refine approach for identifying explicit …,CIDR,2015,13
What is the IQ of your Data Transformation System?,Giansalvatore Mecca; Paolo Papotti; Salvatore Raunich; Donatello Santoro,Abstract Mapping and translating data across different representations is a crucial problemin information systems. Many formalisms and tools are currently used for this purpose; to thepoint that developers typically face a difficult question:" what is the right tool for mytranslation task?" In this paper; we introduce several techniques that contribute to answerthis question. Among these; a fairly general definition of a data transformation system; a newand very efficient similarity measure to evaluate the outputs produced by such a system; anda metric to estimate user efforts. Based on these techniques; we are able to compare a widerange of systems on many translation tasks; to gain interesting insights about theireffectiveness; and; ultimately; about their" intelligence".,Proceedings of the 21st ACM international conference on Information and knowledge management,2012,12
Redundancy-driven web data extraction and integration,Lorenzo Blanco; Mirko Bronzi; Valter Crescenzi; Paolo Merialdo; Paolo Papotti,Abstract A large number of web sites publish pages containing structured information aboutrecognizable concepts; but these data are only partially used by current applications.Although such information is spread across a myriad of sources; the web scale implies arelevant redundancy. We present a domain independent system that exploits theredundancy of information to automatically extract and integrate data from the Web. Oursolution concentrates on sources that provide structured data about multiple instances fromthe same conceptual domain; eg; financial data; product information. Our proposal is basedon an original approach that exploits the mutual dependency between the data extractionand the data integration tasks. Experiments on a sample of 175;000 pages confirm thefeasibility and quality of the approach.,Procceedings of the 13th International Workshop on the Web and Databases,2010,11
Rheem: Enabling multi-platform task execution,Divy Agrawal; Lamine Ba; Laure Berti-Equille; Sanjay Chawla; Ahmed Elmagarmid; Hossam Hammady; Yasser Idris; Zoi Kaoudi; Zuhair Khayyat; Sebastian Kruse; Mourad Ouzzani; Paolo Papotti; Jorge-Arnulfo Quiané-Ruiz; Nan Tang; Mohammed J Zaki,Abstract Many emerging applications; from domains such as healthcare and oil & gas;require several data processing systems for complex analytics. This demo paper showcasessystem; a framework that provides multi-platform task execution for such applications. Itfeatures a three-layer data processing abstraction and a new query optimization approachfor multi-platform settings. We will demonstrate the strengths of system by using real-worldscenarios from three different applications; namely; machine learning; data cleaning; anddata fusion.,Proceedings of the 2016 International Conference on Management of Data,2016,10
RuleMiner: Data quality rules discovery,Xu Chu; Ihab F Ilyas; Paolo Papotti; Yin Ye,Integrity constraints (ICs) are valuables tools for enforcing correct application semantics.However; manually designing ICs require experts and time; hence the need for automaticdiscovery. Previous automatic ICs discovery suffer from (1) limited ICs languageexpressiveness; and (2) time-consuming manual verification of discovered ICs. Weintroduce RULEMINER; a system for discovering data quality rules that addresses thelimitations of existing solutions.,Data Engineering (ICDE); 2014 IEEE 30th International Conference on,2014,10
An Approach to Heterogeneous Data Translation based on XML Conversion.,Paolo Papotti; Riccardo Torlone,Abstract. In this paper; we illustrate a preliminary approach to the translation of Web databetween heterogeneous formats. This work fits into a larger project whose aim is thedevelopment of a tool for the management of data described according to a large variety offormats used on the Web and the (semi) automatic translation of schemes and instancesfrom one model to another. Data translations operate over XML representations of instancesand rely on a uniform representation of models that we call metamodel. The metamodelshows structural diversities and dictates the needed transformations. Complex translationcan be derived by combining a number of predefined basic functions performing XMLtransformations expressed in XQuery. Practical examples are provided to show theeffectiveness of the approach.,CAiSE Workshops (1),2004,10
Messing up with BART: error generation for evaluating data-cleaning algorithms,Patricia C Arocena; Boris Glavic; Giansalvatore Mecca; Renée J Miller; Paolo Papotti; Donatello Santoro,Abstract We study the problem of introducing errors into clean databases for the purpose ofbenchmarking data-cleaning algorithms. Our goal is to provide users with the highestpossible level of control over the error-generation process; and at the same time developsolutions that scale to large databases. We show in the paper that the error-generationproblem is surprisingly challenging; and in fact; NP-complete. To provide a scalablesolution; we develop a correct and efficient greedy algorithm that sacrifices completeness;but succeeds under very reasonable assumptions. To scale to millions of tuples; thealgorithm relies on several non-trivial optimizations; including a new symmetry property ofdata quality constraints. The trade-off between control and scalability is the main technicalcontribution of the paper.,Proceedings of the VLDB Endowment,2015,9
Estimating data integration and cleaning effort,S. Kruse; P. Papotti; F. Naumann,ABSTRACT Data cleaning and data integration have been the topic of intensive research forat least the past thirty years; resulting in a multitude of specialized methods and integratedtool suites. All of them require at least some and in most cases significant human input intheir configuration; during processing; and for evaluation. For managers (and for developersand scientists) it would be therefore of great value to be able to estimate the effort ofcleaning and integrating some given data sets and to know the pitfalls of such an integrationproject in advance. This helps deciding about an integration project using cost/benefitanalysis; budgeting a team with funds and manpower; and monitoring its progress. Further;knowledge of how well a data source fits into a given data ecosystem improves sourceselection. We present an extensible framework for the automatic effort estimation for …,EDBT,2015,9
