Gestures without libraries; toolkits or training: a $1 recognizer for user interface prototypes,Jacob O Wobbrock; Andrew D Wilson; Yang Li,Abstract Although mobile; tablet; large display; and tabletop computers increasingly presentopportunities for using pen; finger; and wand gestures in user interfaces; implementinggesture recognition largely has been the privilege of pattern matching experts; not userinterface prototypers. Although some user interface libraries and toolkits offer gesturerecognizers; such infrastructure is often unavailable in design-oriented environments likeFlash; scripting environments like JavaScript; or brand new off-desktop prototypingenvironments. To enable novice programmers to incorporate gestures into their UIprototypes; we present a" $1 recognizer" that is easy; cheap; and usable almost anywhere inabout 100 lines of code. In a study comparing our $1 recognizer; Dynamic Time Warping;and the Rubine classifier on user-supplied gestures; we found that $1 obtains over 97 …,Proceedings of the 20th annual ACM symposium on User interface software and technology,2007,734
Gesture coder: a tool for programming multi-touch gestures by demonstration,Hao Lü; Yang Li,Abstract Multi-touch gestures have become popular on a wide range of touchscreendevices; but the programming of these gestures remains an art. It is time-consuming anderror-prone for a developer to handle the complicated touch state transitions that result frommultiple fingers and their simultaneous movements. In this paper; we present GestureCoder; which by learning from a few examples given by the developer automaticallygenerates code that recognizes multi-touch gestures; tracks their state changes and invokescorresponding application actions. Developers can easily test the generated code inGesture Coder; refine it by adding more examples; and once they are satisfied with itsperformance integrate the code into their applications. We evaluated our learning algorithmexhaustively with various conditions over a large set of noisy data. Our results show that it …,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,2012,80
Deep shot: a framework for migrating tasks across devices using mobile phone cameras,Tsung-Hsiang Chang; Yang Li,Abstract A user task often spans multiple heterogeneous devices; eg; working on a PC in theoffice and continuing the work on a laptop or a mobile phone while commuting on a shuttle.However; there is a lack of support for users to easily migrate their tasks across devices. Toaddress this problem; we created Deep Shot; a framework for capturing the user's work statethat is needed for a task (eg; the specific part of a webpage being viewed) and resuming iton a different device. In particular; Deep Shot supports two novel and intuitive interactiontechniques; deep shooting and deep posting; for pulling and pushing work states;respectively; using a mobile phone camera. In addition; Deep Shot provides a concise APIfor developers to leverage its services and make their application states migratable. Wedemonstrated that Deep Shot can be used to support a range of everyday tasks migrating …,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,2011,74
DoubleFlip: a motion gesture delimiter for mobile interaction,Jaime Ruiz; Yang Li,Abstract To make motion gestures more widely adopted on mobile devices it is importantthat devices be able to distinguish between motion intended for mobile interaction and every-day motion. In this paper; we present DoubleFlip; a unique motion gesture designed as aninput delimiter for mobile motion-based interaction. The DoubleFlip gesture is distinct fromregular motion of a mobile device. Based on a collection of 2;100 hours of motion datacaptured from 99 users; we found that our DoubleFlip recognizer is extremely resistant tofalse positive conditions; while still achieving a high recognition rate. Since DoubleFlip iseasy to perform and unlikely to be accidentally invoked; it provides an always-active inputevent for mobile interaction.,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,2011,68
External representations in ubiquitous computing design and the implications for design tools,Steven Dow; T Scott Saponas; Yang Li; James A Landay,Abstract One challenge for ubiquitous computing is providing appropriate tools forprofessional designers; thus leading to stronger user-valued applications. Unlike manyprevious tool-builders' attempts to support a specific technology; we take a designer-centered stance; asking the question: how do professional designers externalize ideas foroff-the-desktop computing and how do these inform next generation design tools? We reporton interviews with designers from various domains; including experience; interaction;industrial; and space designers. The study broadly reveals perceived challenges of movinginto a non-traditional design medium; emphasizes the practice of storytelling for relating thecontext of interaction; and through two case studies; traces the use of various externalrepresentations during the design progression of ubicomp applications. Using …,Proceedings of the 6th conference on Designing Interactive systems,2006,51
Tap; swipe; or move: attentional demands for distracted smartphone input,Matei Negulescu; Jaime Ruiz; Yang Li; Edward Lank,Abstract Smartphones are frequently used in environments where the user is distracted byanother task; for example by walking or by driving. While the typical interface forsmartphones involves hardware and software buttons and surface gestures; researchershave recently posited that; for distracted environments; benefits may exist in using motiongestures to execute commands. In this paper; we examine the relative cognitive demands ofmotion gestures and surface taps and gestures in two specific distracted scenarios: awalking scenario; and an eyes-free seated scenario. We show; first; that there is nosignificant difference in reaction time for motion gestures; taps; or surface gestures onsmartphones. We further show that motion gestures result in significantly less time looking atthe smartphone during walking than does tapping on the screen; even with interfaces …,Proceedings of the International Working Conference on Advanced Visual Interfaces,2012,45
Flipping for motion-based input,*,A computer-implemented method for identifying motion-based inputs to an electronic deviceinvolves determining that the electronic device has been rotated in a first direction of rotationpast a first threshold orientation; determining that the electronic device has been rotated in asecond direction of rotation that is substantially the opposite of the first direction of rotation;past a second threshold; and analyzing motion of the device to identify motion-based inputsto the device other than the rotation of the device in the first and second directions; based onthe two determinations.,*,2012,42
Gesture avatar: a technique for operating mobile user interfaces using gestures,Hao Lü; Yang Li,Abstract Finger-based touch input has become a major interaction modality for mobile userinterfaces. However; due to the low precision of finger input; small user interfacecomponents are often difficult to acquire and operate on a mobile device. It is even harderwhen the user is on the go and unable to pay close attention to the interface. In this paper;we present Gesture Avatar; a novel interaction technique that allows users to operateexisting arbitrary user interfaces using gestures. It leverages the visibility of graphical userinterfaces and the casual interaction of gestures. Gesture Avatar can be used to enhance arange of mobile interactions. A user study we conducted showed that compared to Shift (analternative technique for target acquisition tasks); Gesture Avatar performed at a much lowererror rate on various target sizes and significantly faster on small targets (1mm). It also …,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,2011,41
Bootstrapping personal gesture shortcuts with the wisdom of the crowd and handwriting recognition,Tom Ouyang; Yang Li,Abstract Personal user-defined gesture shortcuts have shown great potential for accessingthe ever-growing amount of data and computing power on touchscreen mobile devices.However; their lack of scalability is a major challenge for their wide adoption. In this paper;we present Gesture Marks; a novel approach to touch-gesture interaction that allows a userto access applications and websites using gestures without having to define them first. Itoffers two distinctive solutions to address the problem of scalability. First; it leverages the"wisdom of the crowd"; a continually evolving library of gesture shortcuts that are collectedfrom the user population; to infer the meaning of gestures that a user never defined himself.Second; it combines an extensible template-based gesture recognizer with a specializedhandwriting recognizer to even better address handwriting-based gestures; which are a …,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,2012,35
Glyph entry on computing device,*,A computer-implemented user interface method is disclosed. The method includesdisplaying on a touchscreen of a computing device a first sub-portion of a list of items;receiving from a user of the device an drawn input on the touchscreen; correlating the drawninput to an alphanumeric character; and automatically displaying a second sub-portion ofthe list having one or more entries whose first character correlates to the alphanumericcharacter.,*,2014,32
Sketching informal presentations,Yang Li; James A Landay; Zhiwei Guan; Xiangshi Ren; Guozhong Dai,Abstract Informal presentations are a lightweight means for fast and convenientcommunication of ideas. People communicate their ideas to others on paper andwhiteboards; which afford fluid sketching of graphs; words and other expressive symbols.Unlike existing authoring tools that are designed for formal presentations; we createdSketchPoint to help presenters design informal presentations via freeform sketching. InSketchPoint; presenters can quickly author presentations by sketching slide content; overallhierarchical structures and hyperlinks. To facilitate the transition from idea capture tocommunication; a note-taking workspace was built for accumulating ideas and sketchingpresentation outlines. Informal feedback showed that SketchPoint is a promising tool for ideacommunication.,Proceedings of the 5th international conference on Multimodal interfaces,2003,30
Weave: Scripting Cross-Device Wearable Interaction,Pei-Yu Peggy Chi; Yang Li,Abstract We present Weave; a framework for developers to create cross-device wearableinteraction by scripting. Weave provides a set of high-level APIs; based on JavaScript; fordevelopers to easily distribute UI output and combine sensing events and user input acrossmobile and wearable devices. Weave allows developers to focus on their target interactionbehaviors and manipulate devices regarding their capabilities and affordances; rather thanlow-level specifications. Weave also contributes an integrated authoring environment fordevelopers to program and test cross-device behaviors; and when ready; deploy thesebehaviors to its runtime environment on users' ad-hoc network of devices. An evaluation ofWeave with 12 participants on a range of tasks revealed that Weave significantly reducedthe effort of developers for creating and iterating on cross-device interaction.,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,2015,29
Gesture studio: authoring multi-touch interactions through demonstration and declaration,Hao Lü; Yang Li,Abstract The prevalence of multi-touch devices opens the space for rich interactions.However; the complexity for creating multi-touch interactions hinders this potential. In thispaper; we present Gesture Studio; a tool for creating multi-touch interaction behaviors bycombining the strength of two distinct but complementary approaches: programming bydemonstration and declaration. We employ an intuitive video-authoring metaphor fordevelopers to demonstrate touch gestures; compose complicated behaviors; test thesebehaviors in the tool and export them as source code that can be integrated into thedevelopers' project.,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,2013,29
Translating user interaction with a touch screen into input commands,*,Systems and techniques for translating user interaction with a touch screen into inputcommands. In one aspect; a touch screen system includes a touch screen graphical display;a command interpreter configured to identify modifier interactions with the graphical displayand; in response to identification of the modifier interaction; modify the interpretation of otherinteraction with the graphical display; one or more persistent data storage devices. The datastorage devices store a first set of rules for interpreting user interaction with the graphicaldisplay and a second set of rules for interpreting user interaction with the graphical display.The first set of rules interpret motion across a map or a proper subset of a collection ofinformation as a scrolling or panning command. The second set of rules interpret the motionas a glyph. The command interpreter is configured to modify the interpretation of the other …,*,2013,28
Moving information between computing devices,*,A computer-implemented method for moving information between computing devicesincludes capturing a digital image of a display of a first computing device using a camera ofa second computing device; transmitting; to the first computing device; data that correspondsto the digital image; analyzing the transmitted data on the first computing device todetermine whether the digital image matches a current display of the first computing device;and using the analysis to cause one of the first or second computing devices to invoke anapplication and match a state of an application that is executing on the other of the first orsecond computing devices.,*,2012,27
Collaborative gesture-based input language,*,In one example; a method includes receiving; by a server; data representative of a group ofgestures detected by the plurality of computing devices and data representative of one ormore shortcuts associated with the group of gestures from a plurality of computing devices;wherein each shortcut corresponds to an action performed by at least one of the computingdevices. The method may further include aggregating; by the server; the data representativeof the gestures and the data representative of the associated shortcuts received from theplurality of computing devices based at least in part on detected similarities between at leastone of 1) the group of gestures and 2) the associated shortcuts; and defining; by the server;a gesture-shortcut language based at least in part on the aggregated data.,*,2014,25
The adaptive hybrid cursor: A pressure-based target selection technique for pen-based user interfaces,Xiangshi Ren; Jibin Yin; Shengdong Zhao; Yang Li,Abstract We present the Adaptive Hybrid Cursor; a novel target acquisition technique for pen-based interfaces. To assist a user in a target selection task; this technique automaticallyadapts the size of the cursor and/or its contexts (the target size and the selectionbackground) based on pen pressure input. We systematically evaluated the new techniquewith various 2D target acquisition tasks. The experimental results indicated that the AdaptiveHybrid Cursor had better selection performance; and was particularly effective for small-target and high-density environments in which the regular cursor and the Bubble Cursor [13]failed to show significant advantages. The Adaptive Hybrid Cursor is a novel way to improvetarget acquisition via pressure input; and our study demonstrated its viability and potentialfor pen-based interfaces.,IFIP Conference on Human-Computer Interaction,2007,25
Structuralizing freeform notes by implicit sketch understanding,Yang Li; Zhiwei Guan; Hongan Wang; Guozhong Dai; Xiangshi Ren,People are accustomed to capture important events and ideas by sketching notes onpapers. Pen and paper offer people great freedom and naturalness to perform theseactivities. During note sketching; people generally don't pay much attention to theorganization of notes; instead they use implicit spatial relationships and concise informalorganizing symbols to structuralize notes. We conducted a study to discover how peoplesketch and organize their notes. The structuralized notes are easy to be maintained;manipulated and reused. Based on our observations; we designed algorithms tostructuralize freeform notes into a consistent hierarchical structure. Both implicit spatialparsing and gesture-based structuralizing are enabled. With the supports of thesealgorithms; we built a system SketchPoint notebook as a tool that allows a user to sketch …,AAAI Spring Symposium on Sketch Understanding,2002,25
Touch gestures for text-entry operations,*,In general; this disclosure describes techniques for providing a user of a computing devicewith the ability to perform text-entry operations (eg; using a touch screen) on a computingdevice. Specifically; the techniques of this disclosure may; in some examples; allow the userto use gestures on a mobile computing device to perform text entry and editing operations.Using a presence-sensitive user interface device (eg; a touch screen); the user may usegestures to enter text into text-based applications (eg; short message service (SMS)messages; e-mail message; uniform resource locators (URLs); and the like). Using visually-defined areas on the touch screen; the user may utilize gestures of certain patterns; relativeto the defined areas; to indicate text entry and editing operations such as; for example;deleting characters and words; indicating a space or return characters; and the like.,*,2012,24
Informal prototyping of continuous graphical interactions by demonstration,Yang Li; James A Landay,Abstract Informal prototyping tools have shown great potential in facilitating the early stagedesign of user interfaces. How-ever; continuous interactions; an important constituent ofhighly interactive interfaces; have not been well supported by previous tools. Theseinteractions give continuous visual feedback; such as geometric changes of a graphicalobject; in response to continuous user input; such as the movement of a mouse. We builtMonet; a sketch-based tool for proto-typing continuous interactions by demonstration. InMonet; designers can prototype continuous widgets and their states of interest usingexamples. They can also demonstrate com-pound behaviors involving multiple widgets bydirect ma-nipulation. Monet allows continuous interactions to be eas-ily integrated with event-based; discrete interactions. Con-tinuous widgets can be embedded into storyboards and …,Proceedings of the 18th annual ACM symposium on User interface software and technology,2005,22
Gesture-based search,*,In general; the subject matter described in this specification can be embodied in methods;systems; and program products for performing searches with gesture-based input. A searchsystem receives gesture data corresponding to one or more characters that have beendrawn on a display of a client device. The search system recognizes the one or morecharacters that correspond to the gesture data. The search system formulates a search thatincludes the one or more characters as a query term. The search system communicates tothe client device one or more search results for the search; and data identifying the one ormore characters.,*,2013,18
Beyond pinch and flick: Enriching mobile gesture interaction,Yang Li,WIMP-based interaction is particularly problematic and awkward on mobile phones; whichhave a small form factor and are primarily used on the go. Mobile phone users want to beable to continue focusing on realworld tasks at hand rather than have to carefully key incommands; tap buttons; and navigate through menus. Touchscreen gestures can provide aquicker; more intuitive way to operate a mobile phone. Gestures have always played animportant role in human communication (A. Kendon; Gesture: Visible,Computer,2009,18
Gesture detection using an array of short-range communication devices,*,In general; techniques and systems for defining a gesture with a computing device usingshort-range communication are described. In one example; a method includes obtainingposition information from an array of position devices using near-field communication (NFC)during a movement of the computing device with respect to the array; wherein the positioninformation identifies unique positions within the array for each position device from whichposition information was obtained. The method may also include determining sequenceinformation associated with the position information; wherein the sequence information isrepresentative of an order in which the position information was obtained from each positiondevice; and performing; by the computing device; an action based at least in part on theposition information and the sequence information; wherein the position information and …,*,2014,17
CrowdLearner: rapidly creating mobile recognizers using crowdsourcing,Shahriyar Amini; Yang Li,Abstract Mobile applications can offer improved user experience through the use of novelmodalities and user context. However; these new input dimensions often require recognition-based techniques; with which mobile app developers or designers may not be familiar.Furthermore; the recruiting; data collection and labeling; necessary for using thesetechniques; are usually time-consuming and expensive. We present CrowdLearner; aframework based on crowdsourcing to automatically generate recognizers using mobilesensor input such as accelerometer or touchscreen readings. CrowdLearner allows adeveloper to easily create a recognition task; distribute it to the crowd; and monitor itsprogress as more data becomes available. We deployed CrowdLearner to a crowd of 72mobile users over a period of 2.5 weeks. We evaluated the system by experimenting with …,Proceedings of the 26th annual ACM symposium on User interface software and technology,2013,17
Collaborative gesture-based input language,*,In one example; a method includes receiving; by a server and from a plurality of computingdevices; data representative of a group of gesture-shortcut pairs that each include a gesturehaving been detected by at least one computing device from the plurality of computingdevices and a shortcut associated with the detected gesture; and wherein the shortcutcorresponds to an operation to be executed by the at least one from the plurality ofcomputing devices. The method includes sorting the data representative of each respectivegesture-shortcut pair from the group of gesture-shortcut pairs into at least two subgroups; afirst subgroup including the first gesture-shortcut pair and a second including the secondgesture-shortcut pair; the sorting being based on detected similarities between at least oneof each respective gesture from the group of gesture-shortcut pairs and each respective …,*,2012,17
Gesture script: recognizing gestures and their structure using rendering scripts and interactively trained parts,Hao Lü; James A Fogarty; Yang Li,Abstract Gesture-based interactions have become an essential part of the modern userinterface. However; it remains challenging for developers to create gestures for theirapplications. This paper studies unistroke gestures; an important category of gesturesdefined by their single-stroke trajectories. We present Gesture Script; a tool for creatingunistroke gesture recognizers. Gesture Script enhances example-based learning withinteractive declarative guidance through rendering scripts and interactively trained parts.The structural information from the rendering scripts allows Gesture Script to synthesizegesture variations and generate a more accurate recognizer that also automatically extractsgesture attributes needed by applications. The results of our study with developers show thatGesture Script preserves the threshold of familiar example based gesture tools; while …,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,2014,16
ContextMap: modeling scenes of the real world for context-aware computing,Yang Li; Jason I Hong; James A Landay,ABSTRACT We present a scenegraph-based schema; the ContextMap; to model contextinformation. Locations with hierarchical relations are the skeleton of the ContextMap wherenodes of people; objects and activities can be attached. Context information can becollected by traversing the ContextMap. The ContextMap provides a uniform method torepresent physical and social semantics for context-aware computing. In addition; contextambiguity can be modeled as well.,5th International Conference on Ubiquitous Computing,2003,16
Character recognition for overlapping textual user input,*,Techniques described herein may recognize handwritten characters that are written at leastpartially over the top of one another that are input to a computing device. The handwrittencharacters may be formed of one or more strokes. A user may write characters or parts ofwords over approximately the same area of graphical user interface (ie; on top of each other)without having to wait for a timeout between character input and without having to select abutton or provide another input indicating the character is complete before entering input foranother character. Once a character is at least partially recognized; a graphical indicationcorresponding to the user input displayed on a screen may be altered. Such alterations mayinclude fading or changing size or location of the graphical indication.,*,2014,15
Character recognition for overlapping textual user input,*,Techniques described herein may recognize handwritten characters that are written at leastpartially over the top of one another that are input to a computing device. The handwrittencharacters may be formed of one or more strokes. A user may write characters or parts ofwords over approximately the same area of graphical user interface (ie; on top of each other)without having to wait for a timeout between character input and without having to select abutton or provide another input indicating the character is complete before entering input foranother character. Once a character is at least partially recognized; a graphical indicationcorresponding to the user input displayed on a screen may be altered. Such alterations mayinclude fading or changing size or location of the graphical indication.,*,2014,15
Detecting tapping motion on the side of mobile devices by probabilistically combining hand postures,William McGrath; Yang Li,Abstract We contribute a novel method for detecting finger taps on the different sides of asmartphone; using the built-in motion sensors of the device. In particular; we discuss newfeatures and algorithms that infer side taps by probabilistically combining estimates of taplocation and the hand pose--the hand holding the device. Based on a dataset collected from9 participants; our method achieved 97.3% precision and 98.4% recall on tap eventdetection against ambient motion. For detecting single-tap locations; our methodoutperformed an approach that uses inferred hand postures deterministically by 3% and anapproach that does not use hand posture inference by 17%. For inferring the location of twoconsecutive side taps from the same direction; our method outperformed the two baselineapproaches by 6% and 17% respectively. We discuss our insights into designing the …,Proceedings of the 27th annual ACM symposium on User interface software and technology,2014,15
Translating user interaction with a touch screen into text,*,Methods; systems; and apparatus; including computer programs encoded on a computerstorage medium; for translating user interaction with a touchscreen into text are provided. Inone embodiment; a method comprises receiving information characterizing a first userinteraction with a touchscreen; receiving information characterizing a second userinteraction with the touchscreen; assigning a probability to each of two or moreinterpretations of a combination of the first user interaction and the second user interaction;each of the interpretations construing the combination as a different pair of characters; eachof the probabilities embodying a likelihood that the first user interaction and the second userinteraction represent the respective pair of characters; using the two or more interpretationsto search a collection of data for objects that are each identifiable by one of the two or …,*,2013,15
Teaching motion gestures via recognizer feedback,Ankit Kamal; Yang Li; Edward Lank,Abstract When using motion gestures; 3D movements of a mobile phone; as an inputmodality; one significant challenge is how to teach end users the movement parametersnecessary to successfully issue a command. Is a simple video or image depicting movementof a smartphone sufficient? Or do we need three-dimensional depictions of movement onexternal screens to train users? In this paper; we explore mechanisms to teach end usersmotion gestures; examining two factors. The first factor is how to represent motion gestures:as icons that describe movement; video that depicts movement using the smartphonescreen; or a Kinect-based teaching mechanism that captures and depicts the gesture on anexternal display in three-dimensional space. The second factor we explore is recognizerfeedback; ie a simple representation of the proximity of a motion gesture to the desired …,Proceedings of the 19th international conference on Intelligent User Interfaces,2014,14
A context-aware infrastructure for supporting applications with pen-based interaction,Yang Li; ZhiWei Guan; GuoZhong Dai; XiangShi Ren; Yong Han,Abstract Pen-based user interfaces which leverage the affordances of the pen provide userswith more flexibility and natural interaction. However; it is difficult to construct usable pen-based user interfaces because of the lack of support for their development. Toolkit-levelsupport has been exploited to solve this problem; but this approach makes it hard to gainplatform independence; easy maintenance and easy extension. In this paper a context-aware infrastructure is created; called WEAVER; to provide pen interaction services for bothnovel pen-based applications and legacy GUI-based applications. WEAVER aims to supportthe pen as another standard interactive device along with the keyboard and mouse andpresent a high-level access interface to pen input. It employs application context to tailor itsservice to different applications. By modeling the application context and registering the …,Journal of Computer Science and Technology,2003,14
Hierarchical route maps for efficient navigation,Fangzhou Wang; Yang Li; Daisuke Sakamoto; Takeo Igarashi,Abstract One of the difficulties with standard route maps is accessing to multi-scale routinginformation. The user needs to display maps in both a large scale to see details and a smallscale to see an overview; but this requires tedious interaction such as zooming in and out.We propose to use a hierarchical structure for a route map; called a" Route Tree"; to addressthis problem; and describe an algorithm to automatically construct such a structure. A RouteTree is a hierarchical grouping of all small route segments to allow quick access tomeaningful large and small-scale views. We propose two Route Tree applications;"RouteZoom" for interactive map browsing and" TreePrint" for route information printing; toshow the applicability and usability of the structure. We conducted a preliminary user studyon RouteZoom; and the results showed that RouteZoom significantly lowers the …,Proceedings of the 19th international conference on Intelligent User Interfaces,2014,13
