Relational Databases for Querying XML Documents: Limitations and Opportunities,Shanmugasundaram Jayavel; Tufte Kristin; He Gang; Zhang Chun; DeWitt David; Naughton Jeffrey,*,Proceedings of the 25th VLDB Conference; Edinburgh; Scotland,1999,1644
The Asilomar report on database research,Phil Bernstein; Michael Brodie; Stefano Ceri; David DeWitt; Mike Franklin; Hector Garcia-Molina; Jim Gray; Jerry Held; Joe Hellerstein; HV Jagadish; Michael Lesk; Dave Maier; Jeff Naughton; Hamid Pirahesh; Mike Stonebraker; Jeff Ullman,Abstract The database research community is rightly proud of success in basic research;and its remarkable record of technology transfer. Now the field needs to radically broaden itsresearch focus to attack the issues of capturing; storing; analyzing; and presenting the vastarray of online data. The database research community should embrace a broader researchagenda—broadening the definition of database management to embrace all the content ofthe Web and other online data stores; and rethinking our fundamental assumptions in light oftechnology shifts. To accelerate this transition; we recommend changing the way researchresults are evaluated and presented. In particular; we advocate encouraging morespeculative and long-range work; moving conferences to a poster format; and publishing allresearch literature on the Web.,ACM Sigmod record,1998,339
Rate-based query optimization for streaming information sources,Stratis D Viglas; Jeffrey F Naughton,Abstract Relational query optimizers have traditionally relied upon table cardinalities whenestimating the cost of the query plans they consider. While this approach has been andcontinues to be successful; the advent of the Internet and the need to execute queries overstreaming sources requires a different approach; since for streaming inputs the cardinalitymay not be known or may not even be knowable (as is the case for an unbounded stream.)In view of this; we propose shifting from a cardinality-based approach to a rate-basedapproach; and give an optimization framework that aims at maximizing the output rate ofquery evaluation plans. This approach can be applied to cases where the cardinality-basedapproach cannot be used. It may also be useful for cases where cardinalities are known;because by focusing on rates we are able not only to optimize the time at which the last …,Proceedings of the 2002 ACM SIGMOD international conference on Management of data,2002,330
-Maximizing the Output Rate of Multi-Way Join Queries over Streaming Information Sources,Stratis D Viglas; Jeffrey F Naughton; Josef Burger,Join algorithms have been extensively explored in the research literature; and at manypoints during the history of community one might have concluded that there was nothingmore to be discovered about them. The recent flurry of interest in streaming and adaptivejoin algorithms is one counter example. This chapter continues this investigation intostreaming and adaptive join algorithms; but with a new twist: by considering multi-waysymmetric join operators. The chapter shows that in many cases a multi-way join operatorcan produce its output in a streaming fashion and at a faster rate than any tree of binary joinoperators. Multi-way join operator has introduced interesting issues with respect to how tohandle memory overflow and how to choose a probing sequence within the join.Maximizingthe Output Rate of Multi-Way Join Queries over Streaming Information Sources Stratis D …,*,2003,329
Practical selectivity estimation through adaptive sampling,Richard J Lipton; Jeffrey F Naughton; Donovan A Schneider,Abstract Recently we have proposed an adaptive; random sampling algorithm for generalquery size estimation. In earlier work we analyzed the asymptotic efficiency and accuracy ofthe algorithm; in this paper we investigate its practicality as applied to selects and joins. First;we extend our previous analysis to provide significantly improved bounds on the amount ofsampling necessary for a given level of accuracy. Next; we provide “sanity bounds” to dealwith queries for which the underlying data is extremely skewed or the query result is verysmall. Finally; we report on the performance of the estimation algorithm as implemented in ahost language on a commercial relational system. The results are encouraging; even withthis loose coupling between the estimation algorithm and the DBMS.,ACM SIGMOD Record,1990,323
Sampling-based estimation of the number of distinct values of an attribute,Peter J Haas; Jeffrey F Naughton; S Seshadri; Lynne Stokes,Abstract We provide several new sampling-based estimators of the number of distinct valuesof an attribute in a relation. We compare these new estimators to estimators from thedatabase and statistical literature empirically; using a large number of attribute-valuedistributions drawn from a variety of real-world databases. This appears to be the firstextensive comparison of distinct-value estimators in either the database or statisticalliterature; and is certainly the first to use highlyskewed data of the sort frequentlyencountered in database applications. Our experiments indicate that a new “hybrid”estimator yields the highest precision on average for a given sampling fraction. Thisestimator explicitly takes into account the degree of skew in the data and combines a new“smoothed jackknife” estimator with an estimator due to Shlosser. We investigate how the …,VLDB,1995,313
On schema matching with opaque column names and data values,Jaewoo Kang; Jeffrey F Naughton,Abstract Most previous solutions to the schema matching problem rely in some fashion uponidentifying" similar" column names in the schemas to be matched; or by recognizingcommon domains in the data stored in the schemas. While each of these approaches isvaluable in many cases; they are not infallible; and there exist instances of the schemamatching problem for which they do not even apply. Such problem instances typically arisewhen the column names in the schemas and the data in the columns are" opaque" or verydifficult to interpret. In this paper we propose a two-step technique that works even in thepresence of opaque column names and data values. In the first step; we measure the pair-wise attribute correlations in the tables to be matched and construct a dependency graphusing mutual information as a measure of the dependency between attributes. In the …,Proceedings of the 2003 ACM SIGMOD international conference on Management of data,2003,271
Caching multidimensional queries using chunks,Prasad M Deshpande; Karthikeyan Ramasamy; Amit Shukla; Jeffrey F Naughton,Abstract Caching has been proposed (and implemented) by OLAP systems in order toreduce response times for multidimensional queries. Previous work on such caching hasconsidered table level caching and query level caching. Table level caching is more suitablefor static schemes. On the other hand; query level caching can be used in dynamic schemes;but is too coarse for “large” query results. Query level caching has the further drawback forsmall query results in that it is only effective when a new query is subsumed by a previouslycached query. In this paper; we propose caching small regions of the multidimensionalspace called “chunks”. Chunk-based caching allows fine granularity caching; and allowsqueries to partially reuse the results of previous queries with which they overlap. To facilitatethe computation of chunks required by a query but missing from the cache; we propose a …,ACM SIGMOD Record,1998,265
Estimating the selectivity of XML path expressions for internet scale applications,Ashraf Aboulnaga; Alaa R Alameldeen; Jeffrey F Naughton,Abstract Data on the Internet is increasingly presented in XML format. This allows for novelapplications that query all this data using some XML query language. All XML querylanguages use path expressions to navigate through the tree structure of the data.Estimating the selectivity of these path expressions is therefore essential for optimizingqueries in these languages. In this paper; we propose two techniques for capturing thestructure of complex large-scale XML data as would be handled by Internet-scaleapplications in a small amount of memory for estimating the selectivity of XML pathexpressions: summarized path trees and summarized Markov tables. We experimentallydemonstrate the accuracy of our proposed techniques; and explore the different situationsthat would favor one technique over the other. We also demonstrate that our proposed …,VLDB,2001,263
Storage estimation for multidimensional aggregates in the presence of hierarchies,Amit Shukla; Prasad M Deshpande; Jerey Naughton; K Ramaswamy,*,PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE DATA BASES,1996,260
The Niagara internet query system,Jeffrey F.  Naughton; David J.  DeWitt; David Maier; Ashraf Aboulnaga; Jianjun Chen; Leonidas Galanis; Jaewoo Kang; Rajasekar Krishnamurthy; Qiong Luo; Naveen Prakash; Ravishankar Ramamurthy; Jayavel Shanmugasundaram; Feng Tian; Kristin Tufte; Stratis Viglas; Yuan Wang; Chun Zhang; Bruce Jackson; Anurag Gupta; Rushan Chen,Abstract Recently; there has been a great deal of research into XML query languages toenable the execution of database-style queries over XML files. However; merely being anXML query-processing engine does not render a system suitable for querying the Internet. Auseful system must provide mechanisms to (a) find the XML files that are relevant to a givenquery; and (b) deal with remote data sources that either provide unpredictable data accessand transfer rates; or are infinite streams; or both. The Niagara Internet Query System wasdesigned from the bottom-up to provide these mechanisms. In this article we describe theoverall Niagara architecture; and how Niagara finds relevant XML documents by using acollaboration between the Niagara XML-QL query processor and the Niagara “text-in-context” XML search engine. The Niagara Internet Query System is public domain …,IEEE Data Eng. Bull.,2001,256
Cache conscious algorithms for relational query processing,Ambuj Shatdal; Chander Kant; Jeffrey F Naughton,The current main memory (DRAM) access speeds lag far behind CPU speeds. Cachememory; made of static RAM; is being used in today's architectures to bridge this gap. Itprovides access latencies of 2-4 processor cycles; in contrast to main memory whichrequires 15-25 cycles. Therefore; the performance of the CPU depends upon how well thecache can be utilized. We show that there are signiﬁcant beneﬁts in redesigning ourtraditional query processing algorithms so that they can make better use of the cache. Thenew algorithms run 8%—200% faster than the traditional ones.,*,1994,245
Middle-tier database caching for e-business,Qiong Luo; Sailesh Krishnamurthy; C Mohan; Hamid Pirahesh; Honguk Woo; Bruce G Lindsay; Jeffrey F Naughton,Abstract While scaling up to the enormous and growing Internet population withunpredictable usage patterns; E-commerce applications face severe challenges in cost andmanageability; especially for database servers that are deployed as those applications'backends in a multi-tier configuration. Middle-tier database caching is one solution to thisproblem. In this paper; we present a simple extension to the existing federated features inDB2 UDB; which enables a regular DB2 instance to become a DBCache without anyapplication modification. On deployment of a DBCache at an application server; arbitrarySQL statements generated from the unchanged application that are intended for a backenddatabase server; can be answered: at the cache; at the backend database server; or at bothlocations in a distributed manner. The factors that determine the distribution of workload …,Proceedings of the 2002 ACM SIGMOD international conference on Management of data,2002,240
On the integration of structure indexes and inverted lists,Raghav Kaushik; Rajasekar Krishnamurthy; Jeffrey F Naughton; Raghu Ramakrishnan,Abstract Several methods have been proposed to evaluate queries over a native XMLDBMS; where the queries specify both path and keyword constraints. These broadly consistof graph traversal approaches; optimized with auxiliary structures known as structureindexes; and approaches based on information-retrieval style inverted lists. We propose astrategy that combines the two forms of auxiliary indexes; and a query evaluation algorithmfor branching path expressions based on this strategy. Our technique is general andapplicable for a wide range of choices of structure indexes and inverted list join algorithms.Our experiments over the Niagara XML DBMS show the benefit of integrating the two formsof indexes. We also consider algorithmic issues in evaluating path expression queries whenthe notion of relevance ranking is incorporated. By integrating the above techniques with …,Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,230
Anonymization of set-valued data via top-down; local generalization,Yeye He; Jeffrey F Naughton,Abstract Set-valued data; in which a set of values are associated with an individual; iscommon in databases ranging from market basket data; to medical databases of patients'symptoms and behaviors; to query engine search logs. Anonymizing this data is important ifwe are to reconcile the conflicting demands arising from the desire to release the data forstudy and the desire to protect the privacy of individuals represented in the data.Unfortunately; the bulk of existing anonymization techniques; which were developed forscenarios in which each individual is associated with only one sensitive value; are not well-suited for set-valued data. In this paper we propose a top-down; partition-based approach toanonymizing set-valued data that scales linearly with the input size and scores well on aninformation-loss data quality metric. We further note that our technique can be applied to …,Proceedings of the VLDB Endowment,2009,216
A general technique for querying XML documents using a relational database system,Jayavel Shanmugasundaram; Eugene Shekita; Jerry Kiernan; Rajasekar Krishnamurthy; Efstratios Viglas; Jeffrey Naughton; Igor Tatarinov,Abstract There has been recent interest in using relational database systems to store andquery XML documents. Each of the techniques proposed in this context works by (a) creatingtables for the purpose of storing XML documents (also called relational schemageneration);(b) storing XML documents by shredding them into rows in the created tables;and (c) converting queries over XML documents into SQL queries over the created tables.Since relational schema generation is a physical database design issue--dependent onfactors such as the nature of the data; the query workload and availability of schemas--therehave been many techniques proposed for this purpose. Currently; each relational schemageneration technique requires its own query processor to efficiently convert queries overXML documents into SQL queries over the created tables. In this paper; we present an …,ACM SIGMOD Record,2001,209
The Lowell database research self-assessment,Serge Abiteboul; Rakesh Agrawal; Phil Bernstein; Mike Carey; Stefano Ceri; Bruce Croft; David DeWitt; Mike Franklin; Hector Garcia Molina; Dieter Gawlick; Jim Gray; Laura Haas; Alon Halevy; Joe Hellerstein; Yannis Ioannidis; Martin Kersten; Michael Pazzani; Mike Lesk; David Maier; Jeff Naughton; Hans Schek; Timos Sellis; Avi Silberschatz; Mike Stonebraker; Rick Snodgrass; Jeff Ullman; Gerhard Weikum; Jennifer Widom; Stan Zdonik,A group of senior database researchers gathers every few years to assess the state of databaseresearch and to point out problem areas that deserve additional focus. This article summarizesthe discussion and conclusions of the sixth such meeting in Lowell; MA; in May 2003. It followsa number of earlier reports with similar goals; including [1; 2; 5-7] … Continuing thistradition; 25 senior database researchers representing a broad cross section of the field in termsof research interests; affiliations; and geography gathered in Lowell for two days of intensivediscussion on where the database field is and where it should be going … Several importantobservations came out of this meeting. Information management continues to be a critical componentof most complex software systems. We recommend that database researchers increase theirfocus on the integration of text; data; code; and streams; fusion of information from …,Communications of the ACM,2005,203
Declarative information extraction using datalog with embedded extraction predicates,Warren Shen; AnHai Doan; Jeffrey F Naughton; Raghu Ramakrishnan,Abstract In this paper we argue that developing information extraction (IE) programs usingDatalog with embedded procedural extraction predicates is a good way to proceed. First;compared to current ad-hoc composition using; eg; Perl or C++; Datalog provides a cleanerand more powerful way to compose small extraction modules into larger programs. Thus;writing IE programs this way retains and enhances the important advantages of currentapproaches: programs are easy to understand; debug; and modify. Second; once we writeIE programs in this framework; we can apply query optimization techniques to them. Thisgives programs that; when run over a variety of data sets; are more efficient than anymonolithic program because they are optimized based on the statistics of the data on whichthey are invoked. We show how optimizing such programs raises challenges specific to …,Proceedings of the 33rd international conference on Very large data bases,2007,197
An evaluation of non-equijoin algorithms,David J DeWitt; Jeffrey F Naughton; Donovan A Schneider,Note: OCR errors may be found in this Reference List extracted from the full text article. ACMhas opted to expose the complete List rather than only correct and linked references …{Con71} WJ Conover. Practical Nonparametric Statistics . John Wiley & Sons; New York; NY;1971 … {DG85} David J. DeWitt; Robert H. Gerber: Multiprocessor Hash-Based JoinAlgorithms. VLDB 1985: 151-164 … {KTMo83} Masaru Kitsuregawa; Hidehiko Tanaka; TohruMoto-Oka: Application of Hash to Data Base Machine and Its Architecture. New GenerationComput. 1(1): 63-74(1983) … {RE78} D. Ries and R. Epstein. Evaluation of distribution criteriafor distributed database systems. Technical Report UCB/ERL Tech. Rep. M78/22;UC-Berkeley; May 1978 … {Sto86} Michael Stonebraker: The Case for Shared Nothing. IEEEDatabase Eng. Bull. 9(1): 4-9(1986).,Proceedings of the 17th international conference on very large data bases,1991,191
Low-latency; concurrent checkpointing for parallel programs,Kai Li; Jeffrey F.  Naughton; James S.  Plank,Presents the results of an implementation of several algorithms for checkpointing andrestarting parallel programs on shared-memory multiprocessors. The algorithms arecompared according to the metrics of overall checkpointing time; overhead imposed by thecheckpointer on the target program; and amount of time during which the checkpointerinterrupts the target program. The best algorithm measured achieves its efficiency through avariation of copy-on-write; which allows the most time-consuming operations of thecheckpoint to be overlapped with the running of the program being checkpointed.,IEEE transactions on Parallel and Distributed Systems,1994,185
Parallel sorting on a shared-nothing architecture using probabilistic splitting,David J DeWitt; Jeffrey F Naughton; Donovan A Schneider,The authors consider the problem of external sorting in a shared-nothing multiprocessor. Acritical step in the algorithms the authors consider is to determine the range of sort keys to behandled by each processor. They consider two techniques for determining these ranges ofsort keys: exact splitting; using a parallel version of the algorithm proposed by Iyer; Ricard;and Varman; and probabilistic splitting; which uses sampling to estimate quantiles. Theypresent analytic results showing that probabilistic splitting performs better than exactsplitting. Finally; the authors present experimental results from an implementation of sortingprobabilistic splitting in the Gamma parallel database machine.,Parallel and distributed information systems; 1991.; proceedings of the first international conference on,1991,181
Adaptive parallel aggregation algorithms,Ambuj Shatdal; Jeffrey F Naughton,Abstract Aggregation and duplicate removal are common in SQL queries. However; in theparallel query processing literature; aggregate processing has received surprisingly littleattention; furthermore; for each of the traditional parallel aggregation algorithms; there is arange of grouping selectivities where the algorithm performs poorly. In this work; we proposenew algorithms that dynamically adapt; at query evaluation time; in response to observedgrouping selectivities. Performance analysis via analytical modeling and an implementationon a workstation-cluster shows that the proposed algorithms are able to perform well for allgrouping selectivities. Finally; we study the effect of data skew and show that for certain datasets the proposed algorithms can even outperform the best of traditional approaches.,ACM SIGMOD Record,1995,170
XML-to-SQL query translation literature: The state of the art and open problems,Rajasekar Krishnamurthy; Raghav Kaushik; Jeffrey F Naughton,Abstract Recently; the database research literature has seen an explosion of publicationswith the goal of using an RDBMS to store and/or query XML data. The problems addressedand solved in this area are diverse. This diversity renders it difficult to know how the variousresults presented fit together; and even makes it hard to know what open problems remain.As a first step to rectifying this situation; we present a classification of the problem space anddiscuss how almost 40 papers fit into this classification. As a result of this study; we find thatsome basic questions are still open. In particular; for the XML publishing of relational dataand for “schema-based” shredding of XML documents into relations; there is no publishedalgorithm for translating even simple path expression queries (with the axis) into SQL whenthe XML schema is recursive.,International XML Database Symposium,2003,166
Real-time; concurrent checkpoint for parallel programs,Kai Li; Jeffery F Naughton; James S Plank,Abstract We have developed and implemented a checkpointing and restart algorithm forparallel programs running on commercial uniprocessors and shared-memorymultiprocessors. The algorithm runs concurrently with the target program; interrupts thetarget program for small; fixed amounts of time and is transparent to the checkpointedprogram and its compiler. The algorithm achieves its efficiency through a novel use ofaddress translation hardware that allows the most time-consuming operations of thecheckpoint to be overlapped with the running of the program being checkpointed.,ACM SIGPLAN Notices,1990,154
Combining keyword search and forms for ad hoc querying of databases,Eric Chu; Akanksha Baid; Xiaoyong Chai; AnHai Doan; Jeffrey Naughton,Abstract A common criticism of database systems is that they are hard to query for usersuncomfortable with a formal query language. To address this problem; form-based interfacesand keyword search have been proposed; while both have benefits; both also havelimitations. In this paper; we investigate combining the two with the hopes of creating anapproach that provides the best of both. Specifically; we propose to take as input a targetdatabase and then generate and index a set of query forms offline. At query time; a user witha question to be answered issues standard keyword search queries; but instead of returningtuples; the system returns forms relevant to the question. The user may then build astructured query with one of these forms and submit it back to the system for evaluation. Inthis paper; we address challenges that arise in form generation; keyword search over …,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009,148
Building a scaleable geo-spatial DBMS: technology; implementation; and evaluation,Jignesh Patel; JieBing Yu; Navin Kabra; Kristin Tufte; Biswadeep Nag; Josef Burger; Nancy Hall; Karthikeyan Ramasamy; Roger Lueder; Curt Ellmann; Jim Kupsch; Shelly Guo; Johan Larson; David De Witt; Jeffrey Naughton,Abstract This paper presents a number of new techniques for parallelizing geo-spatialdatabase systems and discusses their implementation in the Paradise object-relationaldatabase system. The effectiveness of these techniques is demonstrated using a variety ofcomplex geo-spatial queries over a 120 GB global geo-spatial data set.,ACM SIGMOD Record,1997,145
On the provenance of non-answers to queries over extracted data,Jiansheng Huang; Ting Chen; AnHai Doan; Jeffrey F Naughton,Abstract In information extraction; uncertainty is ubiquitous. For this reason; it is useful toprovide users querying extracted data with explanations for the answers they receive.Providing the provenance for tuples in a query result partially addresses this problem; in thatprovenance can explain why a tuple is in the result of a query. However; in some casesexplaining why a tuple is not in the result may be just as helpful. In this work we focus onproviding provenance-style explanations for non-answers and develop a mechanism forproviding this new type of provenance. Our experience with an information extractionprototype suggests that our approach can provide effective provenance information that canhelp a user resolve their doubts over non-answers to a query.,Proceedings of the VLDB Endowment,2008,135
Static optimization of conjunctive queries with sliding windows over infinite streams,Ahmed M Ayad; Jeffrey F Naughton,Abstract We define a framework for static optimization of sliding window conjunctive queriesover infinite streams. When computational resources are sufficient; we propose that the goalof optimization should be to find an execution plan that minimizes resource usage within theavailable resource constraints. When resources are insufficient; on the other hand; wepropose that the goal should be to find an execution plan that sheds some of the input load(by randomly dropping tuples) to keep resource usage within bounds while maximizing theoutput rate. An intuitive approach to load shedding suggests starting with the plan that wouldbe optimal if resources were sufficient and adding" drop boxes" to this plan. We find this tobe often times suboptimal-in many instances the optimal partial answer plan results fromadding drop boxes to plans that are not optimal in the unlimited resource case. In view of …,Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,135
On the performance of object clustering techniques,Manolis M Tsangaris; Jeffrey F Naughton,Abstract We investigate the performance of some of the best-known object clusteringalgorithms on four different workloads based upon the tektronix benchmark. For all fourworkloads; stochastic clustering gave the best performance for a variety of performancemetrics. Since stochastic clustering is computationally expensive; it is interesting that forevery workload there was at least one cheaper clustering algorithm that matched or almostmatched stochastic clustering. Unfortunately; for each workload; the algorithm thatapproximated stochastic clustering was different. Our experiments also demonstrated thateven when the workload and object graph are fixed; the choice of the clustering algorithmdepends upon the goals of the system. For example; if the goal is to perform well ontraversals of small portions of the database starting with a cold cache; the important metric …,ACM SIGMOD Record,1992,135
Clustera: an integrated computation and data management system,David J DeWitt; Erik Paulson; Eric Robinson; Jeffrey Naughton; Joshua Royalty; Srinath Shankar; Andrew Krioukov,Abstract This paper introduces Clustera; an integrated computation and data managementsystem. In contrast to traditional cluster-management systems that target specific types ofworkloads; Clustera is designed for extensibility; enabling the system to be easily extendedto handle a wide variety of job types ranging from computationally-intensive; long-runningjobs with minimal I/O requirements to complex SQL queries over massive relational tables.Another unique feature of Clustera is the way in which the system architecture exploitsmodern software building blocks including application servers and relational databasesystems in order to realize important performance; scalability; portability and usabilitybenefits. Finally; experimental evaluation suggests that Clustera has good scale-upproperties for SQL processing; that Clustera delivers performance comparable to Hadoop …,Proceedings of the VLDB Endowment,2008,132
Form-based proxy caching for database-backed web sites,Qiong Luo; Jeffrey F Naughton,Abstract We explore a new proxy-caching framework that exploits the query semantics ofHTML forms. We identify a common class of form-based queries; and study tworepresentative caching schemes for them within this framework:(i) traditional passive querycaching; and (ii) active query caching; in which the proxy cache can service a request byevaluating a query over the contents of the cache. Results from our experimentalimplementation show that our form-based proxy is a general and flexible approach thatefficiently enables active caching schemes for database-backed web sites. Furthermore;handling query containment at the proxy yields significant performance advantages overpassive query caching; but extending the power of the active cache to do full semanticcaching appears to be less generally effective.,VLDB,2001,129
-Mixed Mode XML Query Processing,Alan Halverson; Josef Burger; Leonidas Galanis; Ameet Kini; Rajasekar Krishnamurthy; Ajith Nagaraja Rao; Feng Tian; Stratis D Viglas; Yuan Wang; Jeffrey F Naughton; David J DeWitt,Querying XML documents typically involves both tree-based navigation and patternmatching similar to that used in structured information retrieval domains. This chapter showsthat for good performance; a native XML query processing system should support queryplans that mix these two processing paradigms. The chapter describes the prototype nativeXML system; and reports on experiments demonstrating that even for simple queries; thereare a number of options for how to combine tree-based navigation and structural joins basedon information retrieval-style inverted lists; and that these options can have widely varyingperformance. It presents the ways of transparently using both techniques in a single system;and provides a cost model for identifying efficient combinations of the techniques. Thepreliminary experimental results prove the viability of the approach.Mixed Mode XML …,*,2003,126
