A putative poststreptococcal case of OCD with chronic tic disorder; not otherwise specified,Daniel M Tucker; James F Leckman; Lawrence Scahill; Guita Epstein Wilf; ROBERT LaCAMERA; Laurie Cardona; Phyllis Cohen; Saylor Heidmann; Jonathan Goldstein; Joan Judge; Edward Snyder; Abel Bult; Bradley S Peterson; Robert King; Paul Lombroso,ABSTRACT A 12-year-old girl presented with an atypical; recurrent; increasingly treatment-resistant case of obsessive-compulsive disorder and chronic tic disorder associated withprofound separation anxiety; learning difficulty; and intermittent upper respiratory symptoms.In addition to detailed reviews of history and findings from many clinical caretakers from theprior 7 years; current pediatric; psychiatric; neuropsychological; neuroimaging; and clinicallaboratory data were also available. Treatment options were considered from multipleperspectives: psychoanalytically oriented psychotherapy; conventional pharmacotherapy;family interventions; cognitive-behavioral therapy; and learning-supportive strategies.Psychological; neuropsychiatric; and neuroimmunological formulations of etiology wereconsidered. Subsequent treatments included supportive psychotherapy; neuroleptic …,Journal of the American Academy of Child & Adolescent Psychiatry,1996,73
Mark-up pricing over the business cycle: the microfoundations of the variable mark-up,Jonathan P Goldstein,While considerable attention has been paid either to the fixity or variability of the mark-upand thus the profit rate; the existing literature has failed to develop a serious microeconomicunderpinning. The purpose of this paper is to construct a microeconomic model for theoptimal cyclical behavior of the mark-up and to analyze its implications for mark-upvariability. The debate over the variability of the mark-up has been primarily empirical innature. The major area of contention has centered around the demand sensitivity of the mark-up.'On one hand; proponents of a cyclically fluctuating mark-up consider both cost anddemand determinants of the mark-up and focus on the income elasticity of demand toexplain mark-ups that rise during the expansion phase of the business cycle and declineduring the contraction. On the other hand; there are the cost dominated theories of the …,Southern Economic Journal,1986,14
Pricing; Accumulation; and Crisis in Post Keyesian Theory,Jonathan P Goldstein,The construction of steady state growth models as the centerpiece of the Post Keynesianmethodology has contributed significantly to our understanding of the dynamics of advancedcapitalist economies. In the past decade an emphasis on the microeconomic conditionsconsistent with macro-steady state growth models has emerged. The major limitation of thisapproach is its failure to consistently go beyond the often simplifying assumptionsunderlying steady state economics in order to conduct an analysis which includes thepossibility of endogenous economic instability. 1 In particular; a Post Keynesian theory of theinteraction between pricing and accumulation decisions where economic crisis may emergeas a logical outcome has not been fully explored.,Journal of Post Keynesian Economics,1985,14
Is the endogenous business cycle dead?,Jonathan P Goldstein,A clearly defined dichotomy exists in the business cycle literature between endogenous andexoge-nous cycles. Exogenous cycles are either temporary; heavily damped randomdeviations from a stable long-run growth path or permanent stochastic fluctuations in thegrowth path which both require repeated stochastic impulses to generate typically observedrecurrent and irregular fluctuations. In contrast; endogenous cycles are systematic(deterministic); self-generating recurrent cycles that result from the inherent instability(structure) of the underlying economy. The most recent and most severe critiques ofendogenous theory are empirical in nature and stem from the unit root debates whichcontrast trend stationary (TS) and difference stationary (DS) models. Despite this critique; theevolution of this methodology has produced conflicting results with respect to the most …,Southern Economic Journal,1997,11
The global relevance of Marxian crisis theory,Jonathan P Goldstein,As we approach the dawn of the twenty-first century; 150 years after the development ofMarx's crisis theory; it seems appropriate to reassess the relevance of this approach forunderstanding the potential crisis tendencies of global capitalism. Here; I focus only on theimportant long-term tendency for capitalist economies to produce a continuing succession ofprofit squeeze (PS) and underconsumption (UC) crises and assess the likelihood that aglobal UC crisis will evolve out of the institutional and policy changes that emerged inresponse to the well-documented PS crisis of the postwar period.,Political economy and contemporary capitalism: Radical perspectives on economic theory and policy,2000,10
20 Heterodox macroeconomics and the current global financial crisis,Jonathan P Goldstein,This concluding chapter applies the integrated heterodox macrofoundations developed inthis volume to explain the current global financial crisis. I argue that to effectively understandthe current global crisis of capitalism requires the integration of various strands of heterodoxcrisis theory; particularly Keynesian; Marxian and Institutionalist approaches. 1 The chaptersin Parts I; II and III of this book; particularly those authored by Goldstein (Chapters 3 and 8);Dymski (Chapter 5); Orhanganzi (Chapter 9); Boddy (Chapter 12) and Kotz (Chapter 13)provide an essential foundation for achieving this goal.,Heterodox Macroeconomics,2009,8
An introduction to a unified heterodox macroeconomic theory,Jonathan P Goldstein,In the Neoliberal era; free market economics/ideology and the associated doctrines of freetrade and financial liberalization have guided the economic development of an integratedworld economy. The resulting development path has been marred by increasing incomeinequality; financial crises; slow aggregate demand growth; destructive competition and atendency to global excess capacity and unemployment. These outcomes arise from theanarchy and inherent contradictions of global free markets and the accompanyingcomplement of Neoliberal policies. The benefits of this Neoliberal regime have primarilyaccrued to financial capitalists and; to a lesser extent; to international industrial capitalists atthe expense of other social groups. Despite this poor track record; the economic foundationsthat underlie this development strategy–neoclassical microeconomics and new classical …,Heterodox Macroeconomics,2009,6
The profit squeeze is supported by the PW cycle indicator,JP Goldstein,Abstract This paper questions Van Lear's (1999) conclusion that the cyclical profit squeezemechanism is irrelevant for understanding post World War II business cycles. It is shown thathis conclusion erroneously emanates from either a misreading of the evidence or theapplication of an overly restrictive and irrelevant condition for the existence of a profitsqueeze. It is concluded that Van Lear's data and other data in the literature support thecyclical profit squeeze as a viable explanation of post war cycles.,Review of Radical Political Economics,2002,6
The Micro–Macro Dialectic: A Concept of a Marxian Microfoundation,Jonathan P Goldstein,*,Research in political economy,1986,6
Heterodox Macroeconomics: Crotty's Integration of Keynes and Marx,Jonathan P Goldstein,While heterodox macroeconomic theories agree on a set of general principles; there is farless agreement on specific behavioral relations. With the goal of developing a more potentheterodox framework through the integration of Keynesian; Marxian; and institutionalistperspectives; I consider the seminal work of James Crotty. Crotty has developed the buildingblocks of an integrated heterodox macro theory that revolve around the nexus of theconcepts of fundamental uncertainty; financial fragility; impatient finance; irreversibleinvestment; adversarial class relations; the Marxian concept of competition; Marxian crisistheory; and effective demand. This integration considers numerous dichotomies/regimeshifts that are useful for understanding the path of capitalist development.,Review of Radical Political Economics,2008,5
Mark-up Pricing and the Business Cycle: The Microfoundation of the Variable Mark-up,Jonathan Paul Goldstein,Abstract The purpose of this dissertation is twofold. First; an alternative microfoundation formark-up pricing over the business cycle is developed. Second; the macroeconomicimplications of this microfoundation are examined and an alternative theory of therelationship between mark-up pricing and accumulation is advanced. Three majorhypotheses are considered. It is hypothesized that an optimal cyclical pricing policy for anoligopolistic price leader faced with dynamic cost and demand behavior and internationalcompetition is a variable mark-up. That is; the mark-up rises from initial trough until themidexpansion of the typical business cycle and then declines from that point until theterminal trough. Secondly; it is hypothesized that increases in the degree of competitionincrease the cyclical flexibility of the optimal mark-up policy. That is; the absolute value of …,*,1982,5
8 A Keynes–Marx theory of investment,Jonathan P Goldstein,The theory of investment lies at the center of an integrated heterodox macro model. 1 Yet;heterodox theories of investment have not advanced beyond simplistic expressions of theinvestment function. In particular; Keynesian investment functions have focused on capacityutilization as the primary determinant of investment; while Marxian approaches haveconcentrated on the profit rate. These simplistic theories are inadequate for understandingthe complex macroeconomic dynamics of the capitalist growth process in the era of theNeoliberal regime. Thus; the purpose of this chapter is to extend the basic theory ofinvestment in order to better explain the macro dynamics of the global economy. Based onthe work of Crotty (1993) and Crotty and Goldstein (1992a; 1992b; 1992c); I develop amicrofoundation for the firm's investment decision. This theory integrates both Keynesian …,Heterodox macroeconomics: Keynes; Marx and globalization,2009,4
Self-insurance: The case of motorcycle helmets,Jonathan P Goldstein,This article develops the economic implications of a head-neck injury tradeoff that underliesthe technological limitations of motorcycle helmets as a form of self-insurance. Conditionalon this tradeoff; an analysis of the optimal self-insurance decision establishes thatmandatory helmet use legislation results in expected welfare losses for a subset of themotorcycling population. These losses are not compensated by other forms of self-insuranceexpenditures because such expenditures are suboptimal. In the case of increased riskaversion; the model generates standard results for loss reduction activities with knownproductivities.,Journal of Risk and Insurance,1996,4
The Impact of Profitability; Financial Fragility and Competitive Regime Shifts on Investment Demand: Empirical Evidence,James Crotty; Jonathan Goldstein,Abstract Crotty and Goldstein have developed a hybrid post-Keynesian/neo-Schumpeteriantheory of investment demand. In this micro-founded theory of accumulation; the optimalinvestment decision depends on the level of expected profitability; the degree of competition;and the degree of financial fragility. Its core assumptions are: i) the future is unknowable inprinciple; ii) physical capital is illiquid and the accumulation process is substantiallyirreversible; iii) managers and owners are distinct economic agents with an unresolvedprincipal-agent conflict; and iv) management seeks the long-term growth and financialstability of the firm itself; and guards its decision-making authority against encroachment bystockholders and creditors. In this model; there is an unavoidable growth-safety tradeoff: thefirm's drive for growth and profits is constrained by management's desire for financial …,*,1992,4
The intersection of victims’ and offenders’ sex and race/ethnicity on prosecutorial decisions for violent crimes,Ira Sommers; Jonathan Goldstein; Deborah Baskin,The research considers the influence of extralegal factors; particularly interactions amongvictim/offender relationship; sex; and race/ethnicity; on prosecutors' decisions to dismisscriminal charges; plea; or proceed to trial for violent crimes. Minority males; particularly blackmales; were less likely to receive a plea (versus a trial) regardless of the victim's sex orrace/ethnicity. Minority males were also less likely to receive a plea if the victim was white.Alternatively; in prosecutorial dismissals; black and Hispanic males were treated no moreharshly than were any of the race/ethnicity–sex categories examined. The findings suggestthat failure to consider the sex and race/ethnicity of both defendants and victims may resultin inaccurate conclusions about how these variables affect prosecutorial decisions.,Justice System Journal,2014,3
Real and financial determinants of the profit share: The financial profit squeeze,Matthew Bezreh; Jonathan Goldstein,Page 1. Real and Financial Determinants of the Profit Share: The Financial Profit SqueezeMatthew J. Bezreh and Jonathan P. Goldstein January 2013 WORKINGPAPER SERIES Number307 Gordon Hall 418 North Pleasant Street Amherst; MA 01002 Phone: 413.545.6355 Fax:413.577.0261 peri@econs.umass.edu www.peri.umass.edu Page 2. Real and FinancialDeterminants of the Profit Share: The Financial Profit Squeeze Matthew J. Bezreh Departmentof Economics Bowdoin College Jonathan P. Goldstein* Department of Economics BowdoinCollege jgoldste@bowdoin.edu * Corresponding author Page 3. 2 Real and FinancialDeterminants of the Profit Share: The Financial Profit Squeeze I. Introduction One segment ofthe financialization literature empirically considers how the rise in the political and economicpower of financial capitalists impacts the performance and behavior of nonfinancial firms.1 …,Political Economy; Research Institute (PERI); University of Massachusetts Working Paper,2013,3
Cutting off the Canadians: Nativism and the fate of the Maine Woodman's Association; 1970-1981,Michael Hillard; Jonathan P Goldstein,In October 1975; Maine's native woodcutters conducted an audacious; statewide strike thatled to an unprecedented two-week shutdown of the state's dominant paper industry. Thestrike surprised the industry; the state; and the strikers themselves. While the strike waslargely considered a failure by all sides; it was the beginning of a six-year movement thathad a significant impact on the industry and labor conditions. These impacts ultimatelyproved fleeting; and the movement itself was riven by a host of problems; including theseYankee loggers' nativist sentiments and their unfavorable legal status as contract workers.This essay tells their story. Maine's paper companies began to squeeze these woodcuttersin the late 1960s; precipitating an intensification of rebellious sentiments held by this long-aggrieved but previously quiescent workforce. As their earnings declined into the mid …,Labor,2008,3
Gender in American Tobacco Cards 1880–1920: The Role of Coercive Competition,Jonathan P Goldstein,This paper adds to the literature on Marxian coercive competition and its negative economicand social outcomes. An historical and econometric analysis of competitive intensity and theportrayal of women in one early form of tobacco advertising is conducted using an originaldata set. The historical analysis establishes the nature and intensity of competitive relations.Estimation results for a multinomial logit model for various portrayals of women show that a1% increase in the market share of independent producers caused a 0.35–0.7% and 2.5–4.5% increase in the likelihood that women were included and treated exploitatively in adsin early and late competitive periods; respectively.,Review of Political Economy,2012,2
Book Review Essay: Heterodox Crisis Theory and the Current Global Financial Crisis: The Trillion Dollar Meltdown: Easy Money; High Rollers; and the Great Credit...,Jonathan P Goldstein,An effective understanding of the current global crisis of capitalism requires the integration ofvarious strands of heterodox crisis theory; particularly Keynesian; Marxian; andInstitutionalist approaches. 1 Thus; an evaluation of recent treatises on the current crisisrequires a basic familiarity with the integrated heterodox approach.,*,2009,2
Review of helmet and helmet law effectiveness studies,JP Goldstein,There are two types of studies in this category:(1) before-after helmet law repeal studies; and(2) accident victim studies. The former tests the difference between death rates; injury rates'location rates of injuries; and severity rates of particular types of injuries (for all accidentsoccurring in a particular geographic region) for a similar period of time before and afterhelmet law repeal (Dare et al.; 1979; McSwain and Lummis; 1980). The latter test thedifference between these same rates for helmeted and non-helmeted accident victims (for asample of all accidents during a single time period) in a geographic locale that does nothave a mandatory helmet use law (Chang; 1981: Dare et al.; 1979; Heilman et al.; 1982;Hurt et al. F 1981; Kraus et al.; 1975; Luna et al.; 1981; Scott 1983). In each case statisticallysignificant differences are attributed to helmet use or non-use. Typical results associated …,*,1988,2
Motorcycle Helmet Effectiveness: A Reply,Jonathan P Goldstein,The following is a reply to Iqbal S. Bedi's article" An Evaluation of the Methodology andResults of JP Goldstein's Study;'The Effects of Motorcycle Helmet Use on the Proba bility ofFatality and the Severity of Head and Neck Injuries."'JP Goldstein's original article appearedin the June; 1986; issue of Evaluation Review. Iqbal S. Bedi's article appeared in theOctober; 1987; issue of Evaluation Review.,Evaluation Review,1988,2
The Cost and Outcome Effectiveness of Total Hip Replacement: Technique Choice and Volume–Output Effects Matter,Jonathan P Goldstein; George M Babikian; Adam J Rana; Johanna A Mackenzie; Andrew Millar,Abstract Background Total hip replacement (THR) must be managed in a more sustainablemanner. More cost-effective surgical techniques and the centralization/regionalization ofservices are two solutions. The former requires an assessment of newer minimally invasiveand muscle-sparing surgical techniques. The latter necessitates an effective volume–outcome (VO) relationship. Prior studies have failed to evaluate and control for the VOrelation. Objective The objective of this study was to evaluate the relative cost and outcomeeffectiveness of two minimally invasive and one muscle-sparing techniques while evaluatingand controlling for a potentially endogenous VO relation. Methods An all payer claimsdatabase for all THR performed in Maine in 2011 was used. The cost and outcomeeffectiveness of newer minimally invasive (modified Hardinge) and muscle-sparing …,Applied health economics and health policy,2016,1
Taking the High Road Only to Arrive at the Low Road: The Creation of a Reserve Army of Petty Capitalists in the North Maine Woods,Jonathan P Goldstein; Michael G Hillard,Class relations in wood harvesting in Maine are analyzed. An unexpected high-roadstrategy emerges from the adoption of new technology for corporate crews (wage labor).This high-road policy is enhanced by the class struggle of independent logging contractors(petty capitalists). The ultimate diffusion of this technology to contractors reversed thisstrategy by allowing company crews to be disbanded. This created a reserve army of pettycapitalists and a resultant increase in the rate of exploitation.,Review of Radical Political Economics,2008,1
Rethinking Housing with Agent-Based Models: Models of the Housing Bubble and Crash in the Washington DC Area 1997-2009,Jonathan Goldstein,Abstract This dissertation presents a series of related agent-based models (ABMs) of thehousing market in the Washington DC Metropolitan Statistical Area. The models investigatethe causes of the housing market bubble and crash during the time period 1997-2009 andpolicies that could have avoided such a crisis. The work in this dissertation contributes tothree research areas: understanding the underlying causes of the housing crisis;demonstrating the ability of ABMs to generate important macro phenomena; and improvingABM methodology.,*,2017,*
Real and Financial Determinants of the Profit Share of Income: The Financial Profit Squeeze,Matthew J Bezreh; Jonathan P Goldstein,This paper conducts a causal analysis of determinants of the profit share of income fornonfinancial corporations in the Neoliberal era. The analysis focuses on power relationsacross and amongst three classes: labor; industrial capitalists and financial capitalists.Particular attention is paid to the multidimensional power spectrum of financial capitalists.Regression results establish a financial profit squeeze; the specific elements of financialcapitalist's power responsible for the squeeze and the pervasive nature of low road laborstrategies in the Neoliberal era.,*,2013,*
Race in Early Tobacco Advertising: The Case of American Tobacco Cards 1880-1911,Jonathan P Goldstein,This paper analyzes the inclusion/exclusion and portrayal of minorities (African and NativeAmerican) in one early form of tobacco advertising: American tobacco cards from 1880-1911. I test hypotheses related to: 1) attempts to hide the accomplishments/lifestyle ofminorities; 2) the inclusion of minorities for exploitative purposes; 3) the role of competitionon discrimination; and 4) the existence of progressive undercurrents in this form ofadvertising. My econometric analysis shows that American tobacco cards contributed viaexclusion to the hidden from view treatment of minority lifestyles. The majority of minorityinclusions was exploitative in nature promoting racial stereotyping and niche audiencemarketing; yet a limited progressive undercurrent of treatment; particularly for NativeAmericans; did emerge. JEL classification: B500; J150; N310,Review of Radical Political Economics,2011,*
Imagining the People: Chinese Intellectuals and the Concept of Citizenship; 1890-1920,Timothy B Weston,162 THE JOURNAL OF ASIAN STUDIES alludes to the" vagueness" of the term" citizenship"but suggests that precisely because the word has so many meanings" it seems to illuminatenot merely the political but also the economic and the social"(p. 6). Zarrow and Joshua A.Fogel do not impose a working definition of" citizenship" or a single problematic on thevolume's contributors; this permits wide-ranging discussion; but it also means readers mustwork to find common themes. Zarrow provides a useful overview of Western perspectives oncitizenship and their reception in China; noting that in the West citizenship has beenconstrued as a political matter having to do with the rights of individuals; and as asociological matter having to do with the expression of community. Since the question ofcitizenship in China was posed at a time when the country's very survival was perceived …,*,1999,*
Book Review: Business Cycle Pedagogy,Jonathan Goldstein,Interest in business cycles tends to be countercyclical; peaking during the depth of the mostrecent recession and ebbing with the onset of the next expansion. Recently; there has beena revival in business cycle pedagogy in the form of both texts and individual courseofferings. Contributing to this renaissance are: 1) the occurrence of more severe cyclicalcrises from 1973; 2) the internationalization of the business cycle; and 3) the occurrence ofcycles with profound financial influences. While readers of the Review have alwaysmaintained a close contact with the business cycle literature; they are now faced with aburgeoning set of review articles (Baumol and Bennabib (1988); Gertler (1988); Mankiw(1990); McCallum (1986; 1988; 1989); Plosser (1989); Stiglitz (1992); Weisskopf (1979); andZarnowitz (1985)); anthologies (Barro (1989); RJ Gordon (1986); Lucas (1981); and …,*,1994,*
The effect of motorcycle helmet use on the probability of fatality and the severity of head and neck injuries: A latent variable framework,JP Goldstein,*,Journal of safety research,1987,*
Mark-up Pricing and the Business Cycle: The Microfoundation of the Variable Mark-up;[68 Tab.],Jonathan P Goldstein,*,*,1984,*
Mark-up pricing and the business cycle,Jonathan Paul Goldstein,*,*,1982,*
Introduction to the special issue on the financialization of global capitalism December 2009; Volume 41; No. 4,JONATHAN GOLDSTEIN,*,*,*,*
