A local search mechanism for peer-to-peer networks,Vana Kalogeraki; Dimitrios Gunopulos; Demetrios Zeinalipour-Yazti,Abstract One important problem in peer-to-peer (P2P) networks is searching and retrievingthe correct information. However; existing searching mechanisms in pure peer-to-peernetworks are inefficient due to the decentralized nature of such networks. We propose twomechanisms for information retrieval in pure peer-to-peer networks. The first; the modifiedBreadth-First Search (BFS) mechanism; is an extension of the current Gnuttela protocol;allows searching with keywords; and is designed to minimize the number of messages thatare needed to search the network. The second; the Intelligent Search mechanism; uses thepast behavior of the P2P network to further improve the scalability of the search procedure.In this algorithm; each peer autonomously decides which of its peers are most likely toanswer a given query. The algorithm is entirely distributed; and therefore scales well with …,Proceedings of the eleventh international conference on Information and knowledge management,2002,559
Crowdsourced indoor localization for diverse devices through radiomap fusion,Christos Laoudias; Demetrios Zeinalipour-Yazti; Christos G Panayiotou,Crowdsourcing is an emerging field that allows to tackle difficult problems by solicitingcontributions from common people; rather than trained professionals. In the post-pc era;where smartphones dominate the personal computing market offering both constant mobilityand large amounts of spatiotemporal sensory data; crowdsourcing is becoming increasinglypopular. In this context; crowdsourcing stands as the only viable solution for collecting thelarge amount of location-related network data required to support location-based services;eg; the signal strength radiomap of a fingerprinting localization system inside a multi-floorbuilding. However; this benefit does not come for free; because crowdsourcing also posesnew challenges in radiomap creation. We focus on the problem of device diversity thatoccurs frequently as the contributors usually carry heterogeneous mobile devices that …,Indoor Positioning and Indoor Navigation (IPIN); 2013 International Conference on,2013,47
Optimized query routing trees for wireless sensor networks,Panayiotis Andreou; Demetrios Zeinalipour-Yazti; Andreas Pamboris; Panos K Chrysanthis; George Samaras,Abstract In order to process continuous queries over Wireless Sensor Networks (WSNs);sensors are typically organized in a Query Routing Tree (denoted as T) that provides eachsensor with a path over which query results can be transmitted to the querying node. Wefound that current methods deployed in predominant data acquisition systems construct T ina sub-optimal manner which leads to significant waste of energy. In particular; since T isconstructed in an ad hoc manner there is no guarantee that a given query workload will bedistributed equally among all sensors. That leads to data collisions which represent a majorsource of energy waste. Additionally; current methods only provide a topological-basedmethod; rather than a query-based method; to define the interval during which a sensingdevice should enable its transceiver in order to collect the query results from its children …,Information Systems,2011,41
Distributed spatio-temporal similarity search,Demetrios Zeinalipour-Yazti; Song Lin; Dimitrios Gunopulos,Abstract In this paper we introduce the distributed spatio-temporal similarity search problem:given a query trajectory Q; we want to find the trajectories that follow a motion similar to Q;when each of the target trajectories is segmented across a number of distributed nodes. Wepropose two novel algorithms; UB-K and UBLB-K; which combine local computations oflower and upper bounds on the matching between the distributed subsequences and Q.Such an operation generates the desired result without pulling together all the distributedsubsequences over the fundamentally expensive communication medium. Our solutions findapplications in a wide array of domains; such as cellular networks; wild life monitoring andvideo surveillance. Our experimental evaluation using realistic data demonstrates that ourframework is both efficient and robust to a variety of conditions.,Proceedings of the 15th ACM international conference on Information and knowledge management,2006,40
RISE-Co-S: high performance sensor storage and Co-processing architecture.,Anirban Banerjee; Abhishek Mitra; Walid A Najjar; Demetrios Zeinalipour-Yazti; Vana Kalogeraki; Dimitrios Gunopulos,Abstract—Low power; high performance sensor designs are of particular importancenowadays considering the plethora of emerging applications in a wide range of fields.Applications such as audio capture; FFT (Fast Fourier Transform); image sensing; motiondetection; feature extraction and cepstrum calculations generate raw data in much largerquantity than more mundane applications as temperature and humidity sensing. In-situprocessing of data is an effective way to reduce the amount of information needed to betransmitted over the wireless links. The Co-S platform which we develop addresses this verycrucial aspect of sensor network design. The Co-S integrated with a System on Chip (SoC)based host platform and a gigabyte scale energy efficient data storage system;simultaneously satisfies the constraints of low power consumption and a small form factor …,SECON,2005,40
High performance; low power sensor platforms featuring gigabyte scale storage,A Mitra; A Banerjee; W Najjar; D Zeinalipour-Yazti; V Kalogeraki; D Gunopulos,Abstract Sensor applications have now touched onto the realms of real-time data processinginvolving algorithms as sophisticated as Fast Fourier Transform (FFT); Finite ImpulseResponse (FIR) filtering and Cepstrum. Moreover since typical sensor networks employdevices based on a simplistic microcontroller; it would be rather inefficient vis-àvis utilizationof energy resources to employ it for applications other than the most mundane" Sense andSend". Our research provides a vista to envision a powerful yet energy efficient sensor nodearchitecture. To this end; we have developed a sensor co-processing (Co-S) architectureintegrated with an System on Chip (SoC) based host platform for higher performancesensing needs; coupled with an interface integrating up to gigabyte scale energy efficientdata storage system; which simultaneously satisfies the constraints of low power …,Third International Workshop on Measurement; Modeling; and Performance Analysis of Wireless Sensor Networks (SenMetrics 2005); San Diego; CA,2005,37
pFusion: a P2P architecture for Internet-scale content-based search and retrieval,Demetrios Zeinalipour-Yazti; Vana Kalogeraki; Dimitrios Gunopulos,The emerging peer-to-peer (p2p) model has become a very powerful and attractiveparadigm for developing Internet-scale systems for sharing resources; including files anddocuments. The distributed nature of these systems; where nodes are typically locatedacross different networks and domains; inherently hinders the efficient retrieval ofinformation. In this paper; we consider the effects of topologically aware overlay constructiontechniques on efficient p2p keyword search algorithms. We present the peer fusion(pFusion) architecture that aims to efficiently integrate heterogeneous information that isgeographically scattered on peers of different networks. Our approach builds on work inunstructured p2p systems and uses only local knowledge. Our empirical results; using thepFusion middleware architecture and data sets from Akamai's Internet mapping …,IEEE Transactions on Parallel and Distributed Systems,2007,34
Mint views: Materialized in-network top-k views in sensor networks,Demetrios Zeinalipour-Yazti; Panayiotis Andreou; Panos K Chrysanthis; George Samaras,In this paper we introduce MINT (materialized in-network top-k) Views; a novel framework foroptimizing the execution of continuous monitoring queries in sensor networks. A typicalmaterialized view V maintains the complete results of a query Q in order to minimize the costof future query executions. In a sensor network context; maintaining consistency between Vand the underlying and distributed base relation R is very expensive in terms ofcommunication. Thus; our approach focuses on a subset V (sube. V) that unveils only the khighest-ranked answers at the sink for some user defined parameter k. We additionallyprovide an elaborate description of energy-conscious algorithms for constructing; pruningand maintaining such recursively-defined in-network views. Our trace-drivenexperimentation with real datasets show that MINT offers significant energy reductions …,Mobile Data Management; 2007 International Conference on,2007,33
Efficient indexing data structures for flash-based sensor devices,Song Lin; Demetrios Zeinalipour-Yazti; Vana Kalogeraki; Dimitrios Gunopulos; Walid A Najjar,Abstract Flash memory is the most prevalent storage medium found on modern wirelesssensor devices (WSDs). In this article we present two external memory index structures forthe efficient retrieval of records stored on the local flash memory of a WSD. Our indexstructures; MicroHash and MicroGF (micro grid files); exploit the asymmetric read/write andwear characteristics of flash memory in order to offer high-performance indexing andsearching capabilities in the presence of a low-energy budget; which is typical for thedevices under discussion. Both structures organize data and index pages on the flash mediausing a sorted by timestamp file organization. A key idea behind these index structures isthat expensive random access deletions are completely eliminated. MicroHash enablesequality searches by value in constant time and equality searches by timestamp in …,ACM Transactions on Storage (TOS),2006,33
Data acquisition in sensor networks with large memories,Demetrios Zeinalipour-Yazti; Som Neema; V Kalogeraki; D Gunopulos; Walid Najjar,Sensor Networks will soon become ubiquitous; making them essential tools for monitoringthe activity and evolution of our surrounding environment. However such environments areexpected to generate vast amounts of temporal data that needs to be processed in a power-effective manner. To this date sensor nodes feature small amounts of memory which mostlylimits their capabilities to queries that only refer to the current point in time. In this paper weinitiate a study on the deployment of large memories at sensor nodes. Such an approachgives birth to an array of new temporal and top-k queries which have been extensivelystudied by the database community. Our discussion is in the context of the RISE (RIversideSEnsor) hardware platform; in which sensor nodes feature external flash card memories thatprovides them several Megabytes of storage.,Data Engineering Workshops; 2005. 21st International Conference on,2005,33
SmartTrace: Finding similar trajectories in smartphone networks without disclosing the traces,Costandinos Costa; Christos Laoudias; Demetrios Zeinalipour-Yazti; Dimitrios Gunopulos,In this demonstration paper; we present a powerful distributed framework for finding similartrajectories in a smartphone network; without disclosing the traces of participating users. Ourframework; exploits opportunistic and participatory sensing in order to quickly answerqueries of the form:“Report objects (ie; trajectories) that follow a similar spatio-temporalmotion to Q; where Q is some query trajectory.” SmartTrace; relies on an in-situ data storagemodel; where geo-location data is recorded locally on smartphones for both performanceand privacy reasons. SmartTrace then deploys an efficient top-K query processing algorithmthat exploits distributed trajectory similarity measures; resilient to spatial and temporal noise;in order to derive the most relevant answers to Q quickly and efficiently. Our demonstrationshows how the SmartTrace algorithmics are ported on a network of Android-based …,Data Engineering (ICDE); 2011 IEEE 27th International Conference on,2011,29
Crowdsourced trace similarity with smartphones,Demetrios Zeinalipour-Yazti; Christos Laoudias; Constandinos Costa; Michail Vlachos; Maria I Andreou; Dimitrios Gunopulos,Smartphones are nowadays equipped with a number of sensors; such as WiFi; GPS;accelerometers; etc. This capability allows smartphone users to easily engage incrowdsourced computing services; which contribute to the solution of complex problems in adistributed manner. In this work; we leverage such a computing paradigm to solve efficientlythe following problem: comparing a query trace Q against a crowd of traces generated andstored on distributed smartphones. Our proposed framework; coined SmartTrace+; providesan effective solution without disclosing any part of the crowd traces to the query processor.SmartTrace+; relies on an in-situ data storage model and intelligent top-K query processingalgorithms that exploit distributed trajectory similarity measures; resilient to spatial andtemporal noise; in order to derive the most relevant answers to Q. We evaluate our …,IEEE Transactions on Knowledge and Data Engineering,2013,28
Minimum-hot-spot query trees for wireless sensor networks,Georgios Chatzimilioudis; Demetrios Zeinalipour-Yazti; Dimitrios Gunopulos,Abstract We propose a distributed algorithm to construct a balanced communication tree thatserves in gathering data from the network nodes to a sink. Our algorithm constructs a near-optimally balanced communication tree with minimum overhead. The balancing of the nodedegrees results in the minimization of packet collisions during query execution; that wouldotherwise require numerous retransmissions and reduce the lifetime of the network. Wecompare our simple distributed algorithm against previous work and a centralized solutionand show that for most network layouts it outperforms competition and achieves tree balancevery close to the centralized algorithm. It also has the smallest energy overhead possible toconstruct the tree; increasing the lifetime of the network even more.,Proceedings of the Ninth ACM International Workshop on Data Engineering for Wireless and Mobile Access,2010,26
Continuous all k-nearest-neighbor querying in smartphone networks,Georgios Chatzimilioudis; Demetrios Zeinalipour-Yazti; Wang-Chien Lee; Marios D Dikaiakos,Consider a centralized query operator that identifies to every smartphone user its kgeographically nearest neighbors at all times; a query we coin Continuous All k-NearestNeighbor (CAkNN). Such an operator could be utilized to enhance public emergencyservices; allowing users to send SOS beacons out to the closest rescuers; allowing gamersand social networking users to establish ad-hoc overlay communication infrastructures; inorder to carry out complex interactions. In this paper; we study the problem of efficientlyprocessing a CAkNN query in a cellular or WiFi network; both of which are ubiquitous. Weintroduce an algorithm; coined Proximity; which answers CAkNN queries in O (n (k+ λ)) time;where n denotes the number of users and λ a network-specific parameter (λ<;<; n). Proximitydoes not require any additional infrastructure or specialized hardware and its efficiency is …,Mobile Data Management (MDM); 2012 IEEE 13th International Conference on,2012,24
ETC: energy-driven tree construction in wireless sensor networks,Panayiotis Andreou; Andreas Pamboris; Demetrios Zeinalipour-Yazti; Panos K Chrysanthis; George Samaras,Continuous queries in Wireless Sensor Networks (WSNs) are founded on the premise ofQuery Routing Tree structures (denoted as T); which provide sensors with a path to thequerying node. Predominant data acquisition systems for WSNs construct such structures inan ad-hoc manner and therefore there is no guarantee that a given query workload will bedistributed equally among all sensors. That leads to data collisions which represent a majorsource of energy waste. In this paper we present the Energy-driven Tree Construction (ETC)algorithm; which balances the workload among nodes and minimizes data collisions; thusreducing energy consumption; during data acquisition in WSNs. We show through real micro-benchmarks on the CC2420 radio chip and trace-driven experimentation with real datasetsfrom Intel Research and UC-Berkeley that ETC can provide significant energy reductions …,Mobile Data Management: Systems; Services and Middleware; 2009. MDM'09. Tenth International Conference on,2009,22
Ieee icdm 2010 contest: Tomtom traffic prediction for intelligent gps navigation,Marcin Wojnarski; Pawel Gora; Marcin Szczuka; Hung Son Nguyen; Joanna Swietlicka; Demetris Zeinalipour,In this foreword; we summarize the IEEE ICDM 2010 Contest:“TomTom Traffic Prediction forIntelligent GPS Navigation”. The challenge was held between Jun 22; 2010 and Sep 7; 2010as an interactive on-line competition; using the TunedIT platform (http://tunedit. org). Wepresent the scope of the ICDM contest series in general; the scope of this year's contest;description of its tasks; statistics about participation; details about the TunedIT platform andthe Traffic Simulation Framework. A detailed description of winning solutions is part of thisproceeding series.,Data Mining Workshops (ICDMW); 2010 IEEE International Conference on,2010,21
Mobile sensor network data management,Demetrios Zeinalipour-Yazti; Panos K Chrysanthis,Advances in high throughput sequencing and ''omics''technologies and the resultingexponential growth in the amount of macromolecular sequence; structure; gene expressionmeasurements; have unleashed a transformation of biology from a data-poor science into anincreasingly data-rich science. Despite these advances; biology today; much like physicswas before Newton and Leibnitz; has remained a largely descriptive science. Machinelearning [6] currently offers some of the most cost-effective tools for building predictivemodels from biological data; eg; for annotating new genomic sequences; for predictingmacromolecular function; for identifying functionally important sites in proteins; for identifyinggenetic markers of diseases; and for discovering the networks of genetic interactions thatorchestrate important biological processes [3]. Advances in machine learning eg …,*,2009,21
A distributed middleware infrastructure for personalized services,Marios D Dikaiakos; Demetris Zeinalipour-Yazti,Abstract In this paper; we present an overview of extensible Retrieval; Annotation andCaching Engine (eRACE); a modular and distributed intermediary infrastructure that collectsinformation from heterogeneous Internet sources according to registered profiles or end-user requests. Collected information is stored for filtering; transformation; aggregation; andsubsequent personalized or wide-area dissemination on the wireline or wireless-Internet.We study the architecture and implementation of the main module of eRACE; an HTTP proxynamed WebRACE. WebRACE consists of a high-performance; distributed and multithreadedWeb crawler; a multithreaded filtering processor and an Object Cache. We discuss theimplementation of WebRACE in Java; describe a number of performance optimizations; andpresent its performance assessment.,Computer Communications,2004,21
Towards in-situ data storage in sensor databases,Demetrios Zeinalipour-Yazti; Vana Kalogeraki; Dimitrios Gunopulos; Anirban Mitra; Anirban Banerjee; W Najjar,Abstract The advances in wireless communications along with the exponential growth oftransistors per integrated circuit lead to a rapid evolution of Wireless Sensor Devices(WSDs); that can be used for monitoring environmental conditions at a high fidelity.Following the current trends; WSDs are soon expected to automatically and continuouslycollect vast amounts of temporal data. Organizing such information in centralizedrepositories at all times will be both impractical and expensive. In this paper we discuss thechallenges from storing sensor readings In-situ (at the generating sensor). This creates anetwork of tiny databases as opposed to the prevalent model of a centralized database thatcollects readings from many sensors. We also discuss some of the inherent problems ofsuch a setting; including the lack of efficient distributed query processing algorithms for …,Panhellenic Conference on Informatics,2005,19
Workload-aware query routing trees in wireless sensor networks,Panayiotis Andreou; Demetrios Zeinalipour-Yazti; Panos K Chrysanthis; George Samaras,Continuous queries in wireless sensor networks are established on the premise of a routingtree that provides each sensor with a path over which answers can be transmitted to thequery processor. We found that these structures are sub-optimality constructed inpredominant data acquisition systems leading to an enormous waste of energy. In this paperwe present MicroPulse; a workload-aware optimization algorithm for query routing trees inwireless sensor networks. Our algorithm is established on profiling recent data acquisitionactivity and on identifying the bottlenecks using an in-network execution of the critical pathmethod. A node S utilizes this information in order to locally derive the time instance duringwhich it should wake up; the interval during which it should deliver its workload and theworkload increase tolerance of its parent node. We additionally provide an elaborate …,Mobile Data Management; 2008. MDM'08. 9th International Conference on,2008,18
Exploiting the security weaknesses of the gnutella protocol,Demetrios Zeinalipour-Yazti,Abstract. Peer-to-Peer (P2P) file-sharing systems such as Gnutella; Morpheus and Freenethave recently attracted a lot of interest from the internet community because they realized adistributed infrastructure for sharing files. Such systems have shifted the Web's Client-Servermodel paradigm into a Client-Client model. The tremendous success of such systems hasproven that purely distributed search systems are feasible and that they may change the waywe interact on the Internet. Beside the several advantages that have been uncovered byP2P systems; such as robustness; scalability and high fault tolerance various otherquestions and issues arise in the context of Security. Many P2P protocols are bundled alongwith an adequate amount of security mechanisms but are proprietary which makes theiranalysis difficult. The Gnutella Protocol on the other hand is an open protocol; which …,University of California Report,2002,18
Kspot: Effectively monitoring the k most important events in a wireless sensor network,Panayiotis Andreou; Demetrios Zeinalipour-Yazti; Martha Vassiliadou; Panos K Chrysanthis; George Samaras,This demo presents a graphical user interface and ranking system; coined KSpot; foreffectively monitoring the K highest-ranked answers to a query Q in a Wireless SensorNetwork. KSpot deploys state-of-the-art distributed Top-k query processing algorithms inorder to realize both snapshot queries and historic queries minimizing the consumption ofsystem resources and prolonging the lifetime of the deployed sensor network. Additionally;KSpot is user-friendly and customizable featuring an intuitive user interface that enables auser to express declarative SQL-like queries over any ad-hoc scenario and to display theresults graphically as opposed to the traditional tabular representation. To demonstrate theapplicability of our system during the conference; we will continuously identify the Kconference rooms with the highest sound level and display them such that conference …,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,17
Privacy-preserving indoor localization on smartphones,Andreas Konstantinidis; Georgios Chatzimilioudis; Demetrios Zeinalipour-Yazti; Paschalis Mpeis; Nikos Pelekis; Yannis Theodoridis,Indoor Positioning Systems (IPS) have recently received considerable attention; mainlybecause GPS is unavailable in indoor spaces and consumes considerable energy. On theother hand; predominant Smartphone OS localization subsystems currently rely on server-side localization processes; allowing the service provider to know the location of a user at alltimes. In this paper; we propose an innovative algorithm for protecting users from locationtracking by the localization service; without hindering the provisioning of fine-grainedlocation updates on a continuous basis. Our proposed Temporal Vector Map (TVM)algorithm; allows a user to accurately localize by exploiting a k-Anonymity Bloom (kAB) filterand a bestNeighbors generator of camouflaged localization requests; both of which areshown to be resilient to a variety of privacy attacks. We have evaluated our framework …,IEEE Transactions on Knowledge and Data Engineering,2015,16
The micropulse framework for adaptive waking windows in sensor networks,Demetrios Zeinalipour-Yazti; Panayiotis Andreou; Panos K Chrysanthis; George Samaras; Andreas Pitsillides,In this paper we present MicroPulse; a novel framework for adapting the waking window of asensing device S based on the data workload incurred by a query Q. Assuming a typical tree-based aggregation scenario; the waking window is defined as the time interval r duringwhich S enables its transceiver in order to collect the results from its children. Minimizing thelength of r enables S to conserve energy that can be used to prolong the longevity of thenetwork and hence the quality of results. Our method is established on profiling recent dataacquisition activity and on identifying the bottlenecks using an in-network execution of theCritical Path Method. We show through trace-driven experimentation with a real dataset thatMicroPulse can reduce the energy cost of the waking window by three orders of magnitude.,Mobile Data Management; 2007 International Conference on,2007,16
A programming cloud of smartphones,Andreas Konstantinidis; Constantinos Costa; Georgios Larkou; Demetrios Zeinalipour-Yazti,Abstract In this demonstration we present SmartLab 1; an exciting experimental testbed ofapproximately 40+ real Android Smartphones; plus emulated devices; deployed at theDepartment of Computer Science building at the University of Cyprus. SmartLab provides apublic; permanent testbed for the development and testing of smartphone networkapplications via an intuitive web-based interface. Registered users can upload and installAndroid executables (APKs) on a number of Android smartphones; capture their output;reboot the devices; create concurrent interactive jobs using MonkeyRunner scripts; interactwith the remote devices and many other exciting features. SmartLab aims to facilitateresearch in smartphone network programming environments; communication protocols;system design; and applications.,Proceedings of the 10th international conference on Mobile systems; applications; and services,2012,14
Demonstration abstract: Crowdsourced indoor localization and navigation with anyplace,Lambros Petrou; George Larkou; Christos Laoudias; Demetrios Zeinalipour-Yazti; Christos G Panayiotou,Abstract In this demonstration paper; we present the Anyplace system that relies on theabundance of sensory data on smartphones (eg; WiFi signal strength and inertialmeasurements) to deliver reliable indoor geolocation information. Our system features twohighly desirable properties; namely crowdsourcing and scalability. Anyplace implements aset of crowdsourcing-supportive mechanisms to handle the enormous amount ofcrowdsensed data; filter incorrect user contributions and exploit WiFi data fromheterogeneous mobile devices. Moreover; Anyplace follows a big-data architecture forefficient and scalable storage and retrieval of localization and mapping data.,Proceedings of the 13th international symposium on Information processing in sensor networks,2014,13
Indoor geolocation on multi-sensor smartphones,Chin-Lung Li; Christos Laoudias; George Larkou; Yu-Kuen Tsai; Demetrios Zeinalipour-Yazti; Christos G Panayiotou,Page 1. Demo: Indoor Geolocation on Multi-Sensor Smartphones Chin-Lung Li CyweeCorporation Ltd Taipei; Taiwan chinlung@cywee.com Christos Laoudias KIOS Research CenterUniversity of Cyprus laoudias@ucy.ac.cy George Larkou Dept. of Computer Science Universityof Cyprus glarko01@cs.ucy.ac.cy Yu-Kuen Tsai Cywee Corporation Ltd Taipei; TaiwanYKTsai@cywee.com Demetrios Zeinalipour-Yazti Dept. of Computer Science University of Cyprusdzeina@cs.ucy.ac.cy Christos G. Panayiotou KIOS Research Center University of Cypruschristosp@ucy.ac.cy ABSTRACT In this demo; we present an efficient hybrid indoor posi- tioningsolution that uses multi-sensory location-oriented observations; including WiFi; accelerometer;gyroscope and digital compass data; that are widely available on Android smartphones1 …,Proceeding of the 11th annual international conference on Mobile systems; applications; and services,2013,13
