Microbial synthesis of silver nanoparticles by Bacillus sp.,Nalenthiran Pugazhenthiran; Sambandam Anandan; Govindarajan Kathiravan; Nyayiru Kannaian Udaya Prakash; Simon Crawford; Muthupandian Ashokkumar,Abstract A silver resistant Bacillus sp. was isolated through exposure of an aqueous AgNO 3solution to the atmosphere. Silver nanoparticles were synthesized using these airbornebacteria (Bacillus sp.). Transmission electron microscopy (TEM) and energy dispersive X-ray(EDX) analyses confirmed that silver nanoparticles of 5–15 nm in size were deposited in theperiplasmic space of the bacterial cells; a preferable cell surface location for the easyrecovery of biogenic nanoparticles.,Journal of Nanoparticle Research,2009,175
Antioxidant; free radical scavenging and GC–MS composition of Cinnamomum iners Reinw. ex Blume,NK Udayaprakash; M Ranjithkumar; S Deepa; N Sripriya; Abdulla A Al-Arfaj; S Bhuvaneswari,Abstract The present study was conducted to explicit antioxidant and free radical scavengingpotency of the methanolic leaf extract of Cinnamomum iners and screen the chemicalcomposition using GC–MS. The total phenolic content; total flavonoid content and total anti-oxidant content of C. iners were 7.434±0.04 mg TAE/g DW; 3.2±0.12 μg QE/g DW and119.412±0.39 mg TAE/g DW; respectively. DPPH free radical scavenging activity ofmethanolic leaf extract recorded the IC 50 value at the concentration of 15 μg/ml. Amongvarious antioxidant assays performed; maximum inhibition occurred in ABTS assay(99.36%) followed by TBA (95.39%) and FTC (81.37%). A total of six compounds; ie; 4-piperidineacetic acid; 1-acetyl-5-ethyl-2-[3-(2-hydroxyethyl)-1H-indol-2-yl]-a-methyl-methylester; pentadecanoic acid; 14-methyl-; methyl ester; 10-octadecenoic acid; methyl ester; …,Industrial Crops and Products,2015,14
Phytochemical analysis of common weeds of Northern districts in Tamil Nadu,NU Prakash; B Jahnavi; K Abhinaya; A Gulbsy Rajalin; H Sekar Babu; M Prathap Kumar; K Upendra Reddy; K Dushyanth Reddy; G Sundraraman; K Elumalai; S Devipriya; V Kannan; V Sriraman; RA Kalaivani; M Thanmathi; G Kathiravan; S Bhuvaneswari,ABSTRACT The present study reports about the presence of phytochemical constituents ofaqueous extracts prepared from 26 common weeds belonging to 16 different familiescollected from Northern Districts of Tamil Nadu. Qualitative phytochemical analysis wasperformed on the extract of the weeds for the presence of tannins; phlobatannins; saponins;flavonoids; terpenoids; cardiac glycosides and steroids. Each analysis was carried out induplicate; which resulted in a total of 23; 9; 20; 18; 6; 3 and 4 plant species were found togive positive results for tannins (85%); phlobatannins (33%); saponins (74%); flavanoids(70%); terpenoids (22%); cardiac glycosides (12%) and steroids (14%) respectively.,Int. J. Applied Biol,2011,14
Antioxidant activity of common plants of Northern Tamil Nadu; India,UNK Prakash; S Bhuvaneswari; N Sripriya; L Prameela; R Bhagya; B Radhika; A Balamurugan; S Arokiyaraj,ABSTRACT Objective: To evaluate the antioxidant property of 104 plant species belongingto 45 families available commonly in the Northern part of the state of Tamil Nadu in India.Methods: Methanolic extracts of the leaves of the plants were studied for their Free radicalscavenging activity against DPPH (2; 2 diphenyl-1-picryl hydrazyl). Result: Among the plantsstudied; 39% belongs to trees; 24% herbs; 23% shrubs and the remaining belongs to eithercreeper or climber as their habit. Methanolic crude extracts of plant species atconcentrations of 10; 20; 30; 40 and 50 µg/ml were studied against DPPH to know theirantioxidant potential. Among the species studied; Alangium salvifolium; Amaranthusspinosus; Anacardium occidentale; Annona squamosl; Cissus quadrangularis; Commelinabenghalensis; Croton sparsiflorus; Datura stramonium; Mirabilis jalapa; Momordica …,International Journal of Pharmacy and Pharmaceutical Science,2014,11
Studies on antimicrobial; antioxidant; larvicidal; pesticidal activity and phytochemistry of leaves of Alangium salvifolium (Lf) Wang,NU Prakash; S Bhuvaneswar; S Prethy; N Rajalakshmi; M Saranya; JASMINE Ruth,ABSTRACT The plant Alangium salvifolium is a medium sized tree used in folklore medicinefor various ailments. In this study Aqueous; Chloroform; Methanol and Hexane extract of theleaves of the plant were evaluated for their antibacterial; antioxidant; larvicidal and pesticidalpotency. Further; the aqueous extract of the plant was subjected to phytochemical analysisto know the phytoconstituents. The different types of the extracts provided inconsistent zoneof inhibition against the studied bacteria. There was no antioxidant property recorded (IC50)even at the higher concentration of upto 15mg/ml with any of the extracts. The leaf extractshowed significant larvicidal activity against the larvae; Artemia salina and the pest;Sitophilus oryzae. The aqueous extract of the leaves showed the presence of Tannins;Flavonoids; Terpenoids and Steroids. It is concluded that the leaves of Alangium …,Int J Pharm Pharm Sci,2013,11
Studies on phytochemistry; antioxidant; antibacterial; larvicidal and pesticidal activities of aromatic plants from Yelagiri hills,NK Udayaprakash; S Bhuvaneswari; N Sripriya; R Arulmozhi; K Kavitha; R Aravitha; B Bharathiraja,*,International Journal of Pharmacy and Pharmaceutical Sciences,2014,8
Studies on Bio activity and Phytochemistry of leaves of common trees,K.S. Manasveni and S. Sahana N.K. Udaya Prakash; S. Bhuvaneswari; A,*,International Journal of Research in Pharmaceutical Sciences,2013,8
Studies on the phytochemistry and bioactivity of leaves of few common trees in Chennai; Tamil Nadu; India,NK UDAYA PRAKASH; S Bhuvaneswari; D Divyasri; Neena Anna Kurien; P Uma; S Arokiyaraj,ABSTRACT Objective: To know the importance of tree leaves wasted as litter in largerbiomass; the study was conducted to evaluate their bio efficacy and phytochemistry.Methods: Leaves of 5 common trees in Chennai; ie Mangifera indica; Phyllanthus acidus;Psidium guajava; Tectona grandis and Terminalia catappa belonging to different familieswere selected. The methanol extract of the leaves were studied for their bioactivities like;antibacterial efficacy through Disc diffusion method; antioxidant property using DPPH;larvicidal activity using Artemia salina and pesticidal potential using Sitophilus oryzae alongwith their phytochemistry. Results: The phytochemical studies revealed that Steroids ispresent in all 5 tree leaves and phlobatannin is absent in all. The plant; Psidium guajava hasshowed maximum activity against the bacteria; Escherichia coli followed by Proteus …,International Journal of Pharmacy and Pharmaceutical Sciences,2013,8
Antioxidant activity and phytochemistry of various flowers from Tamil Nadu; India,L. Prameela and N.K. Udaya Prakash S. Bhuvaneswari.; S. Deepa.; N. Sripriya.,Abstract It is a known fact that plants are widely used in pharmaceutical and food industriesdue to their biological importance. Among the plant parts; leaves; stems; roots and bark arebeing widely studied for their biological properties. However; flowers are almost neglectedand are not much probed for their importance. In this study; the methanolic and aqueousextracts of 25 commonly available flowers belonging to 16 different families from the state ofTamil Nadu are probed for their antioxidant property and their phytochemical constituentsrespectively. Methanolic crude extracts of the flowers at the concentrations of 200; 400; 600;800 and 1000µg/ml were studied against DPPH to know their antioxidant potential. Thepresence or absence of phytochemicals like cardiac glycosides; flavonoids; phlobatannins;saponins; steroids; tannins and terpenoids was detected. The flowers of Couroupita …,International Journal of Research in Pharmaceutical Sciences,2014,6
Studies on antibacterial; antioxidant; larvicidal; pesticidal activities and phytochemistry of Leonotis nepetifolia,NK Udaya Prakash; S Bhuvaneswari; A Balamurugan; S Vaishnavi; Sindhu Meena Sunisha Sugunan; M Chandran; H Sekar Babu,*,International Journal of Research in Pharmaceutical Science,2013,6
Fungal endophytes: a preliminary report from marketed flowers,KP Kannan; D Madhankumar; NK Udaya Prakash; R Muthezilan; G Jamuna; N Parthasarathy; S Bhuvaneshwari,ABSTRACT Endophytic fungi that live inside the tissues of living plants are under exploredgroup of microorganisms. It is estimated that there may be at least one million species ofendophytic fungi alone. Endophytes from different plants and plant parts were studiedwidely. However; among the plant parts; mostly flowers are completely neglected. Hence; inthis study; an attempt was made to know the diversity of floral endophytes. The followingflowers ie;,Intl J Appl Biol,2011,6
Design; Development and Analysis of Air Mycoflora Using Fixed Wing Unmanned Aerial Vehicle (UAV),NK Udaya Prakash; R Vasantharaj; E Balasubramanian; Gosavi Bhushan; Sudip Das; Farhan Eqbal,The vertical distribution of fungal spores in the atmosphere reveals their spread insurrounding area and the knowledge on their presence is necessary. There is no costeffective technology or methodology to monitor the spread of mycoflora at the specifiedheight in the atmosphere. In such cases; unmanned aerial vehicles (UAVs) are widely used.In this study; UAV developed with electrical propulsion system is used to monitor themycoflora. Computational fluid dynamic (CFD) analysis was carried to optimize the positionof the sampler in UAV. The flight was used to sample four different sites at the height of 5 mto 20 m for the time period of 5 minutes each. Zefon 3-celled cassette containing mixedcellulose ester (MCE) membrane was used for sampling. The exposed filters were analyzedby swabbing on the surface of petridishes containing potato dextrose agar (PDA). The …,Journal of Applied Science and Engineering,2014,5
Green synthesis of silver nanoparticles using airborne actinomycetes,NK Udaya Prakash; S Bhuvaneswari; SB Prabha; K Kavitha; KV Sandhya; P Sathyabhuvaneshwari; B Bharathiraja,Abstract: Green synthesis of nanoparticles are having an advantage as the physical andchemical process were costly and further green synthesis is ecofriendly. Synthesis of Silvernanoparticles using bacteria and fungi were already reported and very few reports areavailable on the synthesis of same using Actinomycetes. This study focus on the synthesis ofsilver nanoparticles by two different species of Actinomycetes isolated from theatomospheric air sample collected from Koyambedu; Chennai. The intracellular synthesis ofsilver nanoparticles using Streptomyces sp. and Streptoverticillium sp. is reported in thispaper. The isolated actinomycetes were characterized by Physio-chemical and microscopicidentification. These species were treated with silver nitrate solution of 3.5 mM concentrationand it was found that both the species showed their resistivity towards it. The formation of …,Int J Chem Tech Res,2014,5
A study on comparison of Antibacterial potency of members of Myrtaceae,S Bhuvaneswari; S Pandian; S Senthilkumar; NK Udaya Prakash,*,Ind. J. of Appl. Microbiol,2010,5
Aerometric study on thermophilous fungi in a farm house; Chennai,NK Udaya Prakash; BPR Vittal,Abstract A survey on airborne thermophilous fungi at a farmhouse in Chennai; India; wasmade using an Andersen 2-stage viable sampler for the period from January 1997 toDecember 1997 at fortnight intervals. A total of 582 colonies belonging to 17 species wererecorded. The species Emericella nidulans was dominant with an average of 60.2CFU/cubic m of air followed by Aspergillus fumigatus and Thermomyces lanuginosus with34.7 CFU/cubic m of air and 32.2 CFU/cubic m of air; respectively. The total respirablefraction recorded was 58.4%.,Czech Mycology (Czech Republic),2003,5
Studies on bio efficacy of weeds in Tanjore district; Tamilnadu; India,NK UDAYA PRAKASH; S Sowmya; C Priyadharshini; P Hamsalatha; M Tirupurasundari; S Arokiyaraj; S Bhuvaneswari,ABSTRACT The present study was aimed to investigate the bio efficacy ie; antibacterial;antifungal and free radical scavenging activity of ten common weeds which were collected inTanjore district of Tamil Nadu. The selected weeds were Acalypha indica; Amaranthusspinosus; Argemone mexicana;,Int J Pharm PharmSci,2012,4
Quality assessment for the presence of heavy metals in herbal materials from the markets of Chennai; India,NK UDAYA Prakash; S Deepa; N Sripriya; S Bhuvaneswari,ABSTRACT Objective: To assess the quality of herbal materials for the presence of heavymetals. Methods: Herbal materials of around 49 samples from Chennai markets wereprocured and analysed for the presence of metals like Copper (Cu); Calcium (Ca); Cobalt(Co); Sodium (Na); Nickel (Ni); Magnesium (Mg); Manganese (Mn); Iron (Fe); Chromium (Cr)and Lead (Pb) using AAS; Shimadzu; AA 7000; Japan. Results: The raw materials of thecommercial herbal products were found to contain Manganese; Calcium and Magnesium atgreater concentrations; when compared with the other elements analyzed. Conclusion: Thepresence of the metals analyzed were found to be within permissible limits in accordance tothe American Herbal Products Association (AHPA) and WHO standards. Although the studyimplies consumption of herbal materials are safe; periodical monitoring of the quality of …,Int J Pharm Pharm Sci,2014,3
Green synthesis of silver nanoparticles using aqueous floral extract of Nelumbo Nucifera,Selvaraj Arokiyaraj; Nyayiru Kannaian; Udaya Prakash; Vijay Elakkya; T Kamala; S Bhuvaneswari; Kumar V Dinesh,Abstract: Article Preview Article Preview The aim of the present study is to synthesize silvernanoparticles; using an aqueous floral extract of common Lotus; ie Nelumbo nucifera. Thesynthesized nanoparticles were characterized using UV; TEM; EDX; AFM & XRD. Thesynthesized AgNPs were confirmed due to the colour change from colourless to reddishbrown just after the addition of the aqueous floral extract of Nelumbo nucifera. The UVresults of AgNPs showed the excitation of surface Plasmon resonance band at 427 nm. TEMresults showed that the synthesized AgNPs were uniformed; monodispersed; spherical inshape and the particle size were found to be 77.81±3.54 nm. EDX spectrum of AgNPsconfirms strong signals from Ag (64%) and other elements such as C; O and Cl. Themorphology of the synthesized AgNPs by AFM analysis resembled the TEM micrograph …,Materials Science Forum,2013,3
An Investigation on Airborne Mycoflora Near Lignite Mine in Tamilnadu; India,Arvind Prasanth; Amudha Nila; S Bhuvaneswari; NK Udaya Prakash,ABSTRACT A preliminary investigation on air borne culturable molds near Lignite Mine inNeyveli of Tamil Nadu; India were enumerated by employing N-6 Anderson single stagesampler. The fungal colonies developing on Potato Dextrose Agar plates exposed in the N-6sampler were identified up to species level. Twenty different areas in Neyveli weremonitored for the presence of fungal pollutants. Altogether a total of 520 colonies of fungiwere recorded with an average of 260 cfu/m 3 of air. The isolated colonies were classifiedunder 24 species belonging to 13 genera of fungi. Among the genera; Aspergillus wasrepresented by maximum number of species (7). The following genera; ie Curvularia andPenicillium are represented by 2 and 5 species each respectively. Among the speciesrecorded; Aspergillus niger was dominant in the atmosphere with 82.5 cfu/m 3 of air and …,International Journal of Applied Biology,2011,3
Aerometric survey on Thermophilous fungi in a Guinea Pig house,NK Udaya Prakash; BPR Vittal,*,Intl. J. of Appl. Biol,2010,3
A survey on atmospheric presence of thermophilous fungi in a vegetable market,NK Udaya Prakash; BPR Vittal,*,Indian J. of Appl. Microbiol,2005,3
Aerobiology and allergenicity of Mesquite pollen in Chennai; India,S Bhuvaneswari; B Vittal; N Udaya Prakash; T Janaki; V Raju,Abstract Rationale Allergy to Mesquite-Prosopis juliflora (Sw) DC. pollen is reportedworldwide; however; no report is available so far in Chennai; India. Hence a study onaerobiology and allergenic potential of Mesquite pollen was studied. Methods Dailymonitoring of the atmospheric presence of the pollen of Mesquite was studied using VerticalCylinder Trap installed at 5 different spots in Chennai at the height of 15 meters and thestudy was conducted for a period of 12 months. The antigenic potential of the pollen wasstudied through skin prick test conducted on the patients reporting respiratory allergy.Results Altogether 2706 pollen of Mesquite was recorded averaging 541 pollen in a site. Itwas recorded throughout the year registering the peak during February to May. During rainyseason the count was recorded at low level (October to November). Among the 131 …,Journal of Allergy and Clinical Immunology,2004,3
STUDIES ON ANTIOXIDANT ACTIVITIES OF SIX CULTIVARS OF PIPER BETLE LINN,N. K. UDAYA PRAKASH S. BHUVANESWARI; N. SRIPRIYA; S. DEEPA,ABSTRACT Objective: To study the existence of difference or similarity on total phenoliccontent; flavonoid content and antioxidant properties among different cultivars of Piper betleL. Methods: The methanolic extracts of six different cultivars; ie Banarasi; Bangla; Calcutta;Kammar; Kumbakonam and Vellai were evaluated for total phenolic content (Folin-Ciocalteumethod); total flavonoid content (Aluminium chloride method); total antioxidants (Phospho-molybdenum method) and other antioxidant properties (TBA assay; Ferric thiocyanateassay; FRAP assay and ABTS assay). Results: Total phenolic content of the cultivars rangesfrom 12.5 to 13.9 mg TAE/g DW. Higher flavonoid content was observed in Kumbakonam(24.14 µg QE/g DW) while Bangla possessed the lowest (8.25 µg QE/g DW). The totalantioxidants of Vellai accounted to 58.82 mg TAE/g DW while the lowest was recorded in …,International Journal of Pharmacy and Pharmaceutical Sciences,2014,2
Studies on the phytochemistry and bioactivity of leaves of trees in Chennai-I,S Bhuvaneswari; KR Aravind; B Ramkumar; VN Raja; A Neelakandan; MP Kumar; NK Udaya Prakash,Abstract: In continuation of our previous studies; the bio-efficacy and the phytochemicalconstituents of leaves of 5 more common trees of Chennai was evaluated. Methanolicextracts of the leaves of 5 common trees in Chennai; ie Ceiba pentandra (Malvaceae);Couroupita guianensis (Lecythidaceae); Lannea coromandelica (Anacardiaceae);Mimusops elengi (Sapotaceae) and Plumeria obtusa (Apocynaceae) were studied for theirbio activities. Antibacterial efficacy was studied through Micro-Broth Dilution method;antioxidant property using free radical scavenging assay with DPPH; larvicidal activity usingthe larvae of Artemia salina and pesticidal potential using the rice weevil; Sitophilus oryzae.The phytochemical studies revealed that saponin is present in all 5 tree leaves andphlobatannin is absent in all. The plant; Lannea coromandelica has showed significant …,Int J ChemTech Res,2014,2
A Study on the Prevalence of Indoor Mycoflora in Air Conditioned Buses.,NK Prakash; S Bhuvaneswari; M Ranjith Kumar; S Lankesh; K Rupesh,*,*,2014,2
Free radical scavenging and in vitro cytotoxicity activity of agnuside from Vitex agnus castus (Verbenacae),Arokiyaraj Sa; Perinbam Kb; Vivek Pa; Udaya Prakash NK,ABSTRACT To determine free radical scavenging activity and in vitro cytotoxic effects ofagnuside from Vitex agnus castus. Vitex agnus castus has been traditionally used as an anti-infective agent and to treat premenstrual syndrome and acne in teenagers. Bio-assayguided fractionation of ethyl acetate extract from Vitex agnus castus lead to the isolation ofagnuside; tested for diphenyl-picryl-hydrazyl (DPPH); nitric oxide (NO); hydroxyl radicalscavenging assays and in vitro cytotoxic effect using COLO 320 cancer cell lines. Freeradical scavenging potential of agnuside showed remarkable free radical scavengingactivity compared to standard (BHA). In vitro cytotoxic effect of agnuside showed cytotoxiceffect (76.1%) in COLO 320 cancer cells at 24 hr (200 µg/ml) with IC50 value of 15.99 µg/ml.,Journal of Pharmacy Research Vol,2012,2
A study on Phytochemistry; Antimicrobial; Antifungal and Antioxidant properties of male flower of Carica papaya L,S Vaishnavi Devi; NK Udaya Prakash,ABSTRACT In this study; the flowers of Carica papaya was collected from Tiruvellore districtof Tamil Nadu were extracted; using aqueous; chloroform and methanolic. They wereinvestigated for antimicrobial activity using disc diffusion method; antifungal activity usingwell diffusion method and antioxidant property using DPPH method. Further;phytoconstituents of the flowers were also studied. The study shows; that they are notpotential antimicrobial and antifungal agents. They have shows antioxidant property valueLC50 at the value of 30mg/ml and and 80 mg/ml for Aqueous and Chloroform extractsrespectively. The phytochemical analyses showed that the extract contains Tannins;saponins; flavonoids and steroids.,Intl. J. of Appl. Biol,2011,2
A Study on Antibacterial efficacy of some Indian Spices,B Sampath Kumar; S Bhuvaneswari; S Dhanalakshmi; M Vijayalakshmi; NK Udaya Prakash,*,Indian Journal of Applied Microbiology,2008,2
Allergenic thermophilic fungi from house dust of asthmatics,B Srinivasan; U Nyayiru Kannaian; V Balamuri Pandu Ranga,*,Journal of Allergy and Clinical Immunology,2005,2
Atmospheric prevalence and allergenic potency of castor bean pollen in Chennai; India,V Raju; U Nyayiru Kannaian; T Janaki; B Srinivasan; V Balamuri Pandu Ranga,METHODS: Daily monitoring of the atmospheric presence of the pollen of Castor wasstudied using Vertical Cylinder Trap installed at 5 different spots in Chennai at the height of15 meters and the study was conducted for a period of 12 months. The antigenic potential ofthe pollen was studied through skin prick test conducted on the patients reporting respiratoryallergy. RESULTS: Altogether 1361 pollen of Castor was recorded averaging 272 pollen in asite. It was recorded throughout the year registering the peak during July-August. However itwas recorded in low number during the month of March-April. Among 258 subjects studiedfor the atopicity nearly 8.52% of the subject showed positive reactions. CONCLUSION: Thepollen of Castor Bean pollen in Chennai is buoyant; is present in significant amount andpossess allergenic property which is significant medically. Thus; the inclusion of the …,Journal of Allergy and Clinical Immunology,2005,2
A survey on species of Aspergillus in the atmosphere of hospital premises,B Vittal; N Udaya Prakash,METHODS: Air samples from 3 major hospitals; ie Madras Medical College; Stanley MedicalCollege and Kilpauk Medical College from Madras; India were collected using petridishescontaining Sabouraud's Dextrose Agar exposed through Andersen 2-stage Microbial ViableSampler. Samples were taken for a period of 2 years with 10 days interval at each site. Atotal of 62 samples per site were taken at the height of 1 meter. RESULTS: Altogether 19species of Aspergillus was isolated from all the 3 hospital premises. An average of 337colony forming units/m 3 of air per sample per site was recorded. Among the species;Aspergillus niger was dominant followed by A. flavus and A. fumigatus. The presence oftoxigenic; pathogenic and allergenic species like; A. flavus; A. fumigatus; A. versicolor and A.sydowii are recorded in significant numbers. CONCLUSIONS: To control the exposure of …,Journal of Allergy and Clinical Immunology,2005,2
