A calculus for communicating systems,R MILleR,CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ]. メニュー 検索 …,LNCS,1986,1411
LIMBO: Scalable clustering of categorical data,Periklis Andritsos; Panayiotis Tsaparas; Renée J Miller; Kenneth C Sevcik,Abstract Clustering is a problem of great practical importance in numerous applications. Theproblem of clustering becomes more challenging when the data is categorical; that is; whenthere is no inherent distance measure between data values. We introduce LIMBO; ascalable hierarchical categorical clustering algorithm that builds on the InformationBottleneck (IB) framework for quantifying the relevant information preserved when clustering.As a hierarchical algorithm; LIMBO has the advantage that it can produce clusterings ofdifferent sizes in a single execution. We use the IB framework to define a distance measurefor categorical tuples and we also present a novel distance measure for categorical attributevalues. We show how the LIMBO algorithm can be used to cluster both tuples and values.LIMBO handles large data sets by producing a memory bounded summary model for the …,International Conference on Extending Database Technology,2004,247
Conquer: Efficient management of inconsistent databases,Ariel Fuxman; Elham Fazli; Renée J Miller,Abstract Although integrity constraints have long been used to maintain data consistency;there are situations in which they may not be enforced or satisfied. In this paper; we presentConQuer; a system for efficient and scalable answering of SQL queries on databases thatmay violate a set of constraints. ConQuer permits users to postulate a set of key constraintstogether with their queries. The system rewrites the queries to retrieve all (and only) data thatis consistent with respect to the constraints. The rewriting is into SQL; so the rewrittenqueries can be efficiently optimized and executed by commercial database systems. Westudy the overhead of resolving inconsistencies dynamically (at query time). In particular; wepresent a set of performance experiments that compare the efficiency of the rewritingstrategies used by ConQuer. The experiments use queries taken from the TPC-H …,Proceedings of the 2005 ACM SIGMOD international conference on Management of data,2005,230
The hyperion project: from data integration to data coordination,Marcelo Arenas; Vasiliki Kantere; Anastasios Kementsietsidis; Iluju Kiringa; Renée J Miller; John Mylopoulos,Abstract We present an architecture and a set of challenges for peer database managementsystems. These systems team up to build a network of nodes (peers) that coordinate at runtime most of the typical DBMS tasks such as the querying; updating; and sharing of data.Such a network works in a way similar to conventional multidatabases. Conventionalmultidatabase systems are founded on key concepts such as those of a global schema;central administrative authority; data integration; global access to multiple databases;permanent participation of databases; etc. Instead; our proposal assumes total absence ofany central authority or control; no global schema; transient participation of peer databases;and constantly evolving coordination rules among databases. In this work; we describe thestatus of the Hyperion project; present our current solutions; and outline remaining …,ACM SIGMOD Record,2003,227
Clean answers over dirty databases: A probabilistic approach,Periklis Andritsos; Ariel Fuxman; Renee J Miller,The detection of duplicate tuples; corresponding to the same real-world entity; is animportant task in data integration and cleaning. While many techniques exist to identify suchtuples; the merging or elimination of duplicates can be a difficult task that relies on ad-hocand often manual solutions. We propose a complementary approach that permits declarativequery answering over duplicated data; where each duplicate is associated with a probabilityof being in the clean database. We rewrite queries over a database containing duplicates toreturn each answer with the probability that the answer is in the clean database. Ourrewritten queries are sensitive to the semantics of duplication and help a user understandwhich query answers are most likely to be present in the clean database. The semantics thatwe adopt is independent of the way the probabilities are produced; but is able to …,Data Engineering; 2006. ICDE'06. Proceedings of the 22nd International Conference on,2006,224
Discovering data quality rules,Fei Chiang; Renée J Miller,Abstract Dirty data is a serious problem for businesses leading to incorrect decision making;inefficient daily operations; and ultimately wasting both time and money. Dirty data oftenarises when domain constraints and business rules; meant to preserve data consistency andaccuracy; are enforced incompletely or not at all in application code. In this work; wepropose a new data-driven tool that can be used within an organization's data qualitymanagement process to suggest possible rules; and to identify conformant and non-conformant records. Data quality rules are known to be contextual; so we focus on thediscovery of context-dependent rules. Specifically; we search for conditional functionaldependencies (CFDs); that is; functional dependencies that hold only over a portion of thedata. The output of our tool is a set of functional dependencies together with the context in …,Proceedings of the VLDB Endowment,2008,222
Schema equivalence in heterogeneous systems: bridging theory and practice,Renée J Miller; Yannis E Ioannidis; Raghu Ramakrishnan,Abstract Current theoretical work offers measures of schema equivalence based on theinformation capacity of schemas. This work is based on the existence of abstract functionssatisfying various restrictions between the sets of all instances of two schemas. Inconsidering schemas that arise in practice; however; it is not clear how to reason about theexistence of such abstract functions. Further; these notions of equivalence tend to be tooliberal in that schemas are often considered equivalent when a practitioner would considerthem to be different. As a result; practical integration methodologies have not utilized thistheoretical foundation and most of them have relied on ad-hoc approaches. We presentresults that seek to bridge this gap. First; we consider the problem of deciding informationcapacity equivalence and dominance of schemas that occur in practice; ie; those that can …,Information Systems,1994,192
Clio: Schema mapping creation and data exchange,Ronald Fagin; Laura M Haas; Mauricio Hernández; Renée J Miller; Lucian Popa; Yannis Velegrakis,Abstract The Clio project provides tools that vastly simplify information integration.Information integration requires data conversions to bring data in different representationsinto a common form. Key contributions of Clio are the definition of non-procedural schemamappings to describe the relationship between data in heterogeneous schemas; a newparadigm in which we view the mapping creation process as one of query discovery; andalgorithms for automatically generating queries for data transformation from the mappings.Clio provides algorithms to address the needs of two major information integration problems;namely; data integration and data exchange. In this chapter; we present our algorithms forboth schema mapping creation via query discovery; and for query generation for dataexchange. These algorithms can be used in pure relational; pure XML; nested relational …,*,2009,186
Clio: A semi-automatic tool for schema mapping,Mauricio A Hernández; Renée J Miller; Laura M Haas,We consider the integration requirements of modern data intensive applications includingdata warehousing; global information systems and electronic commerce. At the heart ofthese requirements lies the schema mapping problem in which a source (legacy) databasemust be mapped into a different; but xed; target schema. The goal of schema mapping is thediscovery of a query or set of queries to map source databases into the new structure. Wedemonstrate Clio; a new semi-automated tool for creating schema mappings. Clio employs amapping-by-example paradigm that relies on the use of value correspondences describinghow a value of a target attribute can be created from a set of values of source attributes. Atypical session with Clio starts with the user loading a source and a target schema into thesystem. These schemas are read from either an underlying Object-Relational database or …,ACM SIGMOD Record,2001,181
-Mapping Adaptation under Evolving Schemas,Yannis Velegrakis; Renée J Miller; Lucian Popa,This chapter identifies the problem of mapping adaptation in dynamic environments withevolving schemas. To achieve interoperability; modem information systems and e-commerce applications use mappings to translate data from one representation to another.In dynamic environments like the Web; data sources may change not only their data but alsotheir schemas; their semantics; and their query capabilities. Such changes must be reflectedin the mappings. The chapter motivates the need for an automated system to adaptmappings and describes several areas in which the solutions can be applied. This chapterpresents a novel framework and a tool; Toronto Mapping Adaptation System (ToMAS); thatautomatically maintains the consistency of the mappings as schemas evolve. The approachis unique in many ways. It considers and manages a very general class of mappings …,*,2003,157
Nested mappings: schema mapping reloaded,Ariel Fuxman; Mauricio A Hernandez; Howard Ho; Renee J Miller; Paolo Papotti; Lucian Popa,Abstract Many problems in information integration rely on specifications; called schemamappings; that model the relationships between schemas. Schema mappings for bothrelational and nested data are well-known. In this work; we present a new formalism forschema mapping that extends these existing formalisms in two significant ways. First; ournested mappings allow for nesting and correlation of mappings. This results in a naturalprogramming paradigm that often yields more accurate specifications. In particular; we showthat nested mappings can naturally preserve correlations among data that existing mappingformalisms cannot. We also show that using nested mappings for purposes of exchangingdata from a source to a target will result in less redundancy in the target data. The secondextension to the mapping formalism is the ability to express; in a declarative way …,Proceedings of the 32nd international conference on Very large data bases,2006,151
Framework for evaluating clustering algorithms in duplicate detection,Oktie Hassanzadeh; Fei Chiang; Hyun Chul Lee; Renée J Miller,Abstract The presence of duplicate records is a major data quality concern in largedatabases. To detect duplicates; entity resolution also known as duplication detection orrecord linkage is used as a part of the data cleaning process to identify records thatpotentially refer to the same real-world entity. We present the Stringer system that providesan evaluation framework for understanding what barriers remain towards the goal of trulyscalable and general purpose duplication detection algorithms. In this paper; we useStringer to evaluate the quality of the clusters (groups of potential duplicates) obtained fromseveral unconstrained clustering algorithms used in concert with approximate jointechniques. Our work is motivated by the recent significant advancements that have madeapproximate join algorithms highly scalable. Our extensive evaluation reveals that some …,Proceedings of the VLDB Endowment,2009,148
Peer data exchange,Ariel Fuxman; Phokion G Kolaitis; Renée J Miller; Wang-Chiew Tan,Abstract In this article; we introduce and study a framework; called peer data exchange; forsharing and exchanging data between peers. This framework is a special case of a full-fledged peer data management system and a generalization of data exchange between asource schema and a target schema. The motivation behind peer data exchange is to modelauthority relationships between peers; where a source peer may contribute data to a targetpeer; specified using source-to-target constraints; and a target peer may use target-to-source constraints to restrict the data it is willing to receive; but cannot modify the data of thesource peer. A fundamental algorithmic problem in this framework is that of deciding theexistence of a solution: given a source instance and a target instance for a fixed peer dataexchange setting; can the target instance be augmented in such a way that the source …,ACM Transactions on Database Systems (TODS),2006,140
Leveraging data and structure in ontology integration,Octavian Udrea; Lise Getoor; Renée J Miller,Abstract There is a great deal of research on ontology integration which makes use of richlogical constraints to reason about the structural and logical alignment of ontologies. Thereis also considerable work on matching data instances from heterogeneous schema orontologies. However; little work exploits the fact that ontologies include both data andstructure. We aim to close this gap by presenting a new algorithm (ILIADS) that tightlyintegrates both data matching and logical reasoning to achieve better matching ofontologies. We evaluate our algorithm on a set of 30 pairs of OWL Lite ontologies with theschema and data matchings found by human reviewers. We compare against two systems-the ontology matching tool FCA-merge [28] and the schema matching tool COMA++[1].ILIADS shows an average improvement of 25% in quality over FCA-merge and a 11 …,Proceedings of the 2007 ACM SIGMOD international conference on Management of data,2007,139
Using schematically heterogeneous structures,Reée J Miller,Abstract Schematic heterogeneity arises when information that is represented as data underone schema; is represented within the schema (as metadata) in another. Schematicheterogeneity is an important class of heterogeneity that arises frequently in integratinglegacy data in federated or data warehousing applications. Traditional query languages andview mechanisms are insufficient for reconciling and translating data between schematicallyheterogeneous schemas. Higher order query languages; that permit quantification overschema labels; have been proposed to permit querying and restructuring of data betweenschematically disparate schemas. We extend this work by considering how these languagescan be used in practice. Specifically; we consider a restricted class of higher order viewsand show the power of these views in integrating legacy structures. Our results provide …,ACM SIGMOD,1998,137
First-order query rewriting for inconsistent databases,Ariel D Fuxman; Renée J Miller,Abstract We consider the problem of retrieving consistent answers over databases that mightbe inconsistent with respect to some given integrity constraints. In particular; we concentrateon sets of constraints that consist of key dependencies. Most of the existing work hasfocused on identifying intractable cases of this problem. In contrast; in this paper we give analgorithm that computes the consistent answers for a large and practical class of conjunctivequeries. Given a query q; the algorithm returns a first-order query Q (called a query rewriting)such that for every (potentially inconsistent) database I; the consistent answers for q can beobtained by evaluating Q directly on I.,International Conference on Database Theory,2005,115
First-order query rewriting for inconsistent databases,Ariel Fuxman; Renée J Miller,Abstract We consider the problem of retrieving consistent answers over databases that mightbe inconsistent with respect to a set of integrity constraints. In particular; we concentrate onsets of constraints that consist of key dependencies; and we give an algorithm that computesthe consistent answers for a large and practical class of conjunctive queries. Given a queryq; the algorithm returns a first-order query Q (called a query rewriting) such that for every(potentially inconsistent) database I; the consistent answers for q can be obtained byevaluating Q directly on I.,Journal of Computer and System Sciences,2007,105
SECRET: a model for analysis of the execution semantics of stream processing systems,Irina Botan; Roozbeh Derakhshan; Nihal Dindar; Laura Haas; Renée J Miller; Nesime Tatbul,Abstract There are many academic and commercial stream processing engines (SPEs)today; each of them with its own execution semantics. This variation may lead to seeminglyinexplicable differences in query results. In this paper; we present SECRET; a model of thebehavior of SPEs. SECRET is a descriptive model that allows users to analyze the behaviorof systems and understand the results of window-based queries for a broad range ofheterogeneous SPEs. The model is the result of extensive analysis and experimentationwith several commercial and academic engines. In the paper; we describe the types ofheterogeneity found in existing engines; and show with experiments on real systems that ourmodel can explain the key differences in windowing behavior.,Proceedings of the VLDB Endowment,2010,104
Method for schema mapping and data transformation,*,*,*,*,104
Data sharing in the hyperion peer database system,Patricia Rodríguez-Gianolli; Anastasios Kementsietsidis; Maddalena Garzetti; Iluju Kiringa; Lei Jiang; Mehedi Masud; Renée J Miller; John Mylopoulos,Abstract This demo presents Hyperion; a prototype system that supports data sharing for anetwork of independent Peer Relational Database Management Systems (PDBMSs). Thenodes of such a network are assumed to be autonomous PDBMSs that form acquaintancesat run-time; and manage mapping tables to define value correspondences among differentdatabases. They also use distributed Event-Condition-Action (ECA) rules to enable andcoordinate data sharing. Peers perform local querying and update processing; and alsopropagate queries and updates to their acquainted peers. The demo illustrates the followingkey functionalities of Hyperion:(1) the use of (data level) mapping tables to infer newmetadata as peers dynamically join the network;(2) the ability to answer queries using datain acquaintances; and (3) the ability to coordinate peers through update propagation.,Proceedings of the 31st international conference on Very large data bases,2005,102
Preserving mapping consistency under schema changes,Yannis Velegrakis; J Miller; Lucian Popa,Abstract In dynamic environments like the Web; data sources may change not only their databut also their schemas; their semantics; and their query capabilities. When a mapping is leftinconsistent by a schema change; it has to be detected and updated. We present a novelframework and a tool (ToMAS) for automatically adapting (rewriting) mappings as schemasevolve. Our approach considers not only local changes to a schema but also changes thatmay affect and transform many components of a schema. Our algorithm detects mappingsaffected by structural or constraint changes and generates all the rewritings that areconsistent with the semantics of the changed schemas. Our approach explicitly modelsmapping choices made by a user and maintains these choices; whenever possible; as theschemas and mappings evolve. When there is more than one candidate rewriting; the …,The VLDB Journal—The International Journal on Very Large Data Bases,2004,100
NanoART synthesis; characterization; uptake; release and toxicology for human monocyte–macrophage drug delivery,Ari S Nowacek; Reagan L Miller; JoEllyn McMillan; Georgette Kanmogne; Michel Kanmogne; R Lee Mosley; Zhiya Ma; Sabine Graham; Mahesh Chaubal; Jane Werling; Barrett Rabinow; Huanyu Dou; Howard E Gendelman,Background: Factors limiting the efficacy of conventional antiretroviral therapy for HIV-1infection include treatment adherence; pharmacokinetics and penetration into viralsanctuaries. These affect the rate of viral mutation and drug resistance. In attempts to bypasssuch limitations; nanoparticles containing ritonavir; indinavir and efavirenz (described asnanoART) were manufactured to assess macrophage-based drug delivery. Methods:NanoART were made by high-pressure homogenization of crystalline drug with varioussurfactants. Size; charge and shape of the nanoparticles were assessed. Monocyte-derivedmacrophage nanoART uptake; drug release; migration and cytotoxicity were determined.Drug levels were measured by reverse-phase high-performance liquid chromatography.Results: Efficient monocyte-derived macrophage cytoplasmic vesicle uptake in less than …,Nanomedicine,2009,88
Muse: Mapping understanding and design by example,Bogdan Alexe; Laura Chiticariu; Renée J Miller; Wang-Chiew Tan,A fundamental problem in information integration is that of designing the relationships;called schema mappings; between two schemas. The specification of a semantically correctschema mapping is typically a complex task. Automated tools can suggest potentialmappings; but few tools are available for helping a designer understand mappings anddesign alternative mappings. We describe Muse; a mapping design wizard that uses dataexamples to assist designers in understanding and refining a schema mapping towards thedesired specification. We present novel algorithms behind Muse and show how Musesystematically guides the designer on two important components of a mapping design: thespecification of the desired grouping semantics for sets of data and the choice amongalternative interpretations for semantically ambiguous mappings. In every component …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,86
Mapping XML and relational schemas with Clio,Lucian Popa; Mauricio A Hernandez; Yannis Velegrakis; Renée J Miller; Felix Naumann; Howard Ho,Merging and coalescing data from multiple and diverse sources into different data formatscontinues to be an important problem in modern information systems. Schema matching (theprocess of matching elements of a source schema with elements of a target schema) andschema mapping (the process of creating a query that maps between two disparateschemas) are at the heart of data integration systems. We demonstrate Clio; a semi-automatic schema mapping tool developed at the IBM Almaden Research Center. In thispaper; we showcase Clio's mapping engine which allows mapping to and from relationaland XML schemas; and takes advantage of data constraints in order to preserve dataassociations.,Data Engineering; 2002. Proceedings. 18th International Conference on,2002,79
Creating probabilistic databases from duplicated data,Oktie Hassanzadeh; Renée J Miller,Abstract A major source of uncertainty in databases is the presence of duplicate items; ie;records that refer to the same real-world entity. However; accurate deduplication is a difficulttask and imperfect data cleaning may result in loss of valuable information. A reasonablealternative approach is to keep duplicates when the correct cleaning strategy is not certain;and utilize an efficient probabilistic query-answering technique to return query results alongwith probabilities of each answer being correct. In this paper; we present a flexible modularframework for scalably creating a probabilistic database out of a dirty relation of duplicateddata and overview the challenges raised in utilizing this framework for large relations ofstring data. We study the problem of associating probabilities with duplicates that aredetected using state-of-the-art scalable approximate join methods. We argue that …,The VLDB Journal—The International Journal on Very Large Data Bases,2009,77
Information-theoretic tools for mining database structure from large data sets,Periklis Andritsos; Renée J Miller; Panayiotis Tsaparas,Abstract Data design has been characterized as a process of arriving at a design thatmaximizes the information content of each piece of data (or equivalently; one that minimizesredundancy). Information content (or redundancy) is measured with respect to a prescribedmodel for the data; a model that is often expressed as a set of constraints. In this work; weconsider the problem of doing data redesign in an environment where the prescribed modelis unknown or incomplete. Specifically; we consider the problem of finding structural clues inan instance of data; an instance which may contain errors; missing values; and duplicaterecords. We propose a set of information-theoretic tools for finding structural summaries thatare useful in characterizing the information content of the data; and ultimately useful in datadesign. We provide algorithms for creating these summaries over large; categorical data …,Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,77
Clustering Categorical Data based On Information Loss Minimization,Periklis Andritsos; Panayiotis Tsaparas; Renee J. Miller; Kenneth C. Sevcik,As the size of databases continues to grow; understanding their structure gets more difficult.This; together with the lack of documentation and the unavailability of the original designersof the database adds further difficulty to the job of researchers and professionals tounderstand the structure of large and complex databases. At the same time; data sourcesare distributed over several sites and their integration introduces anomalies and oftenresults in “dirty” databases; ie; databases that contain erroneous or duplicate data records.Our research focuses on the application of data mining; and in particular clusteringtechniques; to aid the process of recovering and understanding high-level views of datasets. Clustering is a problem of great practical importance that has been the focus ofsubstantial research in several domains for decades [13; 14]. As storage capacities grow …,Second Hellenic Data Management Symposium; 2003,2003,77
A semantic approach to discovering schema mapping expressions,Yuan An; Alex Borgida; Renée J Miller; John Mylopoulos,In many applications it is important to find a meaningful relationship between the schemas ofa source and target database. This relationship is expressed in terms of declarative logicalexpressions called schema mappings. The more successful previous solutions have reliedon inputs such as simple element correspondences between schemas in addition to localschema constraints such as keys and referential integrity. In this paper; we investigate theuse of an alternate source of information about schemas; namely the presumed presence ofsemantics for each table; expressed in terms of a conceptual model (CM) associated with it.Our approach first compiles each CM into a graph and represents each table's semantics asa subtree in it. We then develop algorithms for discovering subgraphs that are plausibleconnections between those concepts/nodes in the CM graph that have attributes …,Data Engineering; 2007. ICDE 2007. IEEE 23rd International Conference on,2007,75
A framework for semantic link discovery over relational data,Oktie Hassanzadeh; Anastasios Kementsietsidis; Lipyeow Lim; Renée J Miller; Min Wang,Abstract Discovering links between different data items in a single data source or acrossdifferent data sources is a challenging problem faced by many information systems today. Inparticular; the recent Linking Open Data (LOD) community project has highlighted theparamount importance of establishing semantic links among web data sources. Currently;LOD sources provide billions of RDF triples; but only millions of links between data sources.Many of these data sources are published using tools that operate over relational datastored in a standard RDBMS. In this paper; we present a framework for discovery ofsemantic links from relational data. Our framework is based on declarative specification oflinkage requirements by a user. We illustrate the use of our framework using several linkdiscovery algorithms on a real world scenario. Our framework allows data publishers to …,Proceedings of the 18th ACM conference on Information and knowledge management,2009,69
Mining for empty spaces in large data sets,Jeff Edmonds; Jarek Gryz; Dongming Liang; Renée J Miller,Abstract Many data mining approaches focus on the discovery of similar (and frequent) datavalues in large data sets. We present an alternative; but complementary approach in whichwe search for empty regions in the data. We consider the problem of finding all maximalempty rectangles in large; two-dimensional data sets. We introduce a novel; scalablealgorithm for finding all such rectangles. The algorithm achieves this with a single scan overa sorted data set and requires only a small bounded amount of memory. We extend thealgorithm to find all maximal empty hyper-rectangles in a multi-dimensional space. Weconsider the complexity of this search problem and present new bounds on the number ofmaximal empty hyper-rectangles. We briefly overview experimental results obtained byapplying our algorithm to real and synthetic data sets and describe one application of …,Theoretical Computer Science,2003,59
Linkedct: A linked data space for clinical trials,Oktie Hassanzadeh; Anastasios Kementsietsidis; Lipyeow Lim; Renée J Miller; Min Wang,Abstract: The Linked Clinical Trials (LinkedCT) project aims at publishing the first opensemantic web data source for clinical trials data. The database exposed by LinkedCT isgenerated by (1) transforming existing data sources of clinical trials into RDF; and (2)discovering semantic links between the records in the trials data and several other datasources. In this paper; we discuss several challenges involved in these two steps andpresent the methodology used in LinkedCT to overcome these challenges. Our approach forsemantic link discovery involves using state-of-the-art approximate string matchingtechniques combined with ontology-based semantic matching of the records; all performedin a declarative and easy-to-use framework. We present an evaluation of the performance ofour proposed techniques in several link discovery scenarios in LinkedCT.,arXiv preprint arXiv:0908.0567,2009,58
Representing and querying data transformations,Yannis Velegrakis; Renee J Miller; John Mylopoulos,Modern information systems often store data that has been transformed and integrated froma variety of sources. This integration may obscure the original source semantics of dataitems. For many tasks; it is important to be able to determine not only where data itemsoriginated; but also why they appear in the integration as they do and through whattransformation they were derived. This problem is known as data provenance. In this work;we consider data provenance at the schema and mapping level. In particular; we considerhow to answer questions such as" what schema elements in the source (s) contributed tothis value"; or" through what transformations or mappings was this value derived?" Towardsthis end; we elevate schemas and mappings to first-class citizens that are stored in arepository and are associated with the actual data values. An extended query language …,Data Engineering; 2005. ICDE 2005. Proceedings. 21st International Conference on,2005,55
A unified model for data and constraint repair,Fei Chiang; Renee J Miller,Integrity constraints play an important role in data design. However; in an operationaldatabase; they may not be enforced for many reasons. Hence; over time; data may becomeinconsistent with respect to the constraints. To manage this; several approaches haveproposed techniques to repair the data; by finding minimal or lowest cost changes to thedata that make it consistent with the constraints. Such techniques are appropriate for the oldworld where data changes; but schemas and their constraints remain fixed. In many modernapplications however; constraints may evolve over time as application or business ruleschange; as data is integrated with new data sources; or as the underlying semantics of thedata evolves. In such settings; when an inconsistency occurs; it is no longer clear if there isan error in the data (and the data should be repaired); or if the constraints have evolved …,Data Engineering (ICDE); 2011 IEEE 27th International Conference on,2011,54
Clio: Schema Mapping Creation and Data Exchange; Conceptual Modeling: Foundations and Applications: Essays in Honor of John Mylopoulos,Ronald Fagin; Laura M Haas; Mauricio Hernández; Renée J Miller; Lucian Popa; Yannis Velegrakis,*,*,2009,51
