Database System Concepts,A Silberschatz; HF Korth; S. Sudarshan,*,*,2011,4029
Database system issues in nomadic computing,R Alonso; HF Korth,Abstract Mobile computers and wireless networks are emerging technologies that will soonbe available to a wide variety of computer users. Unlike earlier generations of laptopcomputers; the new generation of mobile computers can be an integrated part of adistributed computing environment; one in which users change physical location frequently.The result is a new computing paradigm; nomadic computing. This paradigm will affect thedesign of much of our current systems software; including that of database systems. Thispaper discusses in some detail the impact of nomadic computing on a number of traditionaldatabase system concepts. In particular; we point out how the reliance on short-livedbatteries changes the cost assumptions underlying query processing. In these systems;power consumption competes with resource utilization in the definition of cost metrics. We …,Proceedings of the ACM SIGMOD Conference on the Management of Data,1993,326
ªDatabase Systems Issues in Nomadic Computing,R Alonso; HF Korth,*,*,1992,324
A Model of CAD Transactions,F Bancilhon; Won Kim; HF Korth,ABSTRACT A CAD environment requires a significantly different model of transaction fromthat developed for typical data-processing applications. A viable model of CAD transactionmust allow a group of cooperating designers to arrive at a design without being forced towait over a long duration. It must also allow a group of designers to collaborate on a designwith another group by assigning subtasks. In this paper; we provide both an intuitivedescription and a formal development of a new model of CAD transactions.,Proc. of llth Int. Conf. on Very Large Data Bases,1985,296
Locking primitives in a database system,Henry F Korth,Abstract. Locking~ sa frequently used concurrency control mechamsm m database systems.Most systems offer one or more lock modes; usually read and write modes. Here; oneoperatwnal lock mode is assumed for each database operation; and a criterion for" good"lock compatibdlty functions; called maximal permtssiveness; is gtven Operatmnal modes areused as a basis to define generalized update modes that correspond to arbitrary lockconversions. The notion of intention modes from System R is extended to arbnrary lockmodes; and the mteractmn among the classes of lock modes thus created is studied.,Journal of the ACM (JACM),1983,296
Fundamentos de bases de datos,Henry Korth; Abraham Silberschatz,El propósito del texto es presentar los conceptos fundamentales de gestión de bases dedatos. Estos incluyen aspectos de diseños de bases de datos; lenguajes de bases de datose implementación de sistemas de bases de datos.,558 1 CIC-UCAB/0479 20041116 Rgerman,1993,267
The claremont report on database research,Rakesh Agrawal; Anastasia Ailamaki; Philip A Bernstein; Eric A Brewer; Michael J Carey; Surajit Chaudhuri; Anhai Doan; Daniela Florescu; Michael J Franklin; Hector Garcia-Molina; Johannes Gehrke; Le Gruenwald; Laura M Haas; Alon Y Halevy; Joseph M Hellerstein; Yannis E Ioannidis; Hank F Korth; Donald Kossmann; Samuel Madden; Roger Magoulas; Beng Chin Ooi; Tim O'Reilly; Raghu Ramakrishnan; Sunita Sarawagi; Michael Stonebraker; Alexander S Szalay; Gerhard Weikum,Abstract In late May; 2008; a group of database researchers; architects; users and punditsmet at the Claremont Resort in Berkeley; California to discuss the state of the research fieldand its impacts on practice. This was the seventh meeting of this sort in twenty years; andwas distinguished by a broad consensus that we are at a turning point in the history of thefield; due both to an explosion of data and usage scenarios; and to major shifts in computinghardware and platforms. Given these forces; we are at a time of opportunity for researchimpact; with an unusually large potential for influential results across computing; thesciences and society. This report details that discussion; and highlights the group'sconsensus view of new focus areas; including new database engine architectures;declarative programming languages; the interplay of structured and unstructured data …,Communications of the ACM,2009,261
Mobile computing,Tomasz Imielinski; Henry F Korth,The rapid development of wireless digital communication technology has cre atedcapabilities that software systems are only beginning to exploit. The falling cost of bothcommunication and of mobile computing devices (laptop computers; hand-held computers;etc.) is making wireless computing affordable not only to business users but also toconsumers. Mobile computing is not a" scaled-down" version of the established and we-studied field of distributed computing. The nature of wireless communication media and themobility of computers combine to create fundamentally new problems in networking;operating systems; and information systems. Further more; many of the applicationsenvisioned for mobile computing place novel demands on software systems. Althoughmobile computing is still in its infancy; some basic concepts have been identified and …,*,1996,236
A transaction model for multidatabase systems,Sharad Mehrotra; Rajeev Rastogi; Abraham Silberschatz; Henry F Korth,A transaction model for multidatabase system (MDBS) applications in which globalsubtransactions may be either compensatable or retriable is presented. In this modelcompensation and retrying are used for recovery purposes. However; since such executionsmay no longer consist of atomic transactions; a correctness criterion that ensures thattransactions see consistent database states is necessary. A commit protocol and aconcurrency control scheme that ensures that all generated schedules are correct are alsopresented. The commit protocol eliminates the problem of blocking; which is characteristicsof the standard 2PC protocol. The concurrency control protocol can be used in any MDBSenvironment irrespective of the concurrency control protocol followed by the local DBMSs inorder to ensure serializability.,Distributed Computing Systems; 1992.; Proceedings of the 12th International Conference on,1992,207
SQL/NF: a query language for¬ 1NF relational databases,Mark A Roth; Henry F Korth; Don S Batory,Abstract There is growing interest in abandoning the first-normal-form assumption on whichthe relational database model is based. This interest has developed from a desire to extendthe applicability of the relational model beyond traditional data-processing application. Inthis paper; we extend one of the most widely used relational query languages; SQL; tooperate on non-first-normal-form relations. In this framework; well allow attributes to berelation-valued as well as atomic-valued (eg integer or character). A relation which occursas the value of an attribute in a tuple of another relation is said to be nested. Our extendedlanguage; called SQL/NF; includes all of the power of standard SQL as well as the ability todefine nested relations in the data definition language and query these relations directly inthe extended data manipulation language. A variety of improvements are made to SQL; …,Information systems,1987,196
数据库系统概念::[英文],Abraham Silberschatz,*,*,2002,182
Replication; consistency; and practicality: are these mutually exclusive?,Todd Anderson; Yuri Breitbart; Henry F Korth; Avishai Wool,Abstract Previous papers have postulated that traditional schemes for the management ofreplicated data are doomed to failure in practice due to a quartic (or worse) explosion in theprobability of deadlocks. In this paper; we present results of a simulation study for threerecently introduced protocols that guarantee global serializability and transaction atomicitywithout resorting to the two-phase commit protocol. The protocols analyzed in this paperinclude a global locking protocol [10]; a “pessimistic” protocol based on a replication graph[5]; and an “optimistic” protocol based on a replication graph [7]. The results of the studyshow a wide range of practical applicability for the lazy replica-update approach employedin these protocols. We show that under reasonable contention conditions and sufficientlyhigh transaction rate; both replication-graph-based protocols outperform the global …,ACM SIGMOD Record,1998,172
Replication and consistency: Being lazy helps sometimes,Yuri Breitbart; Henry F Korth,Abstract The issue of data replication is considered in the context of a restricted systemmodel motivated by certain distributed data-warehousing applications. A new replicamanagement protocol is defined for this model in which gIobaI serializability is ensured;while message overhead and deadlock frequency are less than in previously publishedwork. The advantages of the protocol arise from its use of a lazy approach to update ofsecondary copies of replicated data and the use of a new concept; virtual sites; to reduce thepotential for conflict among global transactions.,Proceedings of the sixteenth ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,1997,155
Formal model of correctness without serializabilty,Henry K Korth; Gregory Speegle,Abstract In the classical approach to transaction processing; a concurrent execution isconsidered to be correct if it is equivalent to a non-concurrent schedule. This notion ofcorrectness is called serializability. Serializability has proven to be a highly useful conceptfor transaction systems for data-processing style applications. Recent interest in applyingdatabase concepts to applications in computer-aided design; office information systems; etc.has resulted in transactions of relatively long duration. For such transactions; there areserious consequences to requiring serializability as the notion of correctness. Specifically;such systems either impose long-duration waits or require the abortion of long transactions.In this paper; we define a transaction model that allows for several alternative notions ofcorrectness without the requirement of serializability. After introducing the model; we …,ACM SIGMOD Record,1988,155
On long-duration CAD transactions,Henry F Korth; Won Kim; François Bancilhon,Abstract The conventional model of transactions is based on the notions of serializability andatomicity. This transaction model has served conventional data-processing applicationswell. However; it is not appropriate for a CAD environment. Transactions in a CADenvironment are of long duration and represent interactive modifications to a complexdesign. Application of the standard techniques to ensure atomicity and serializability resultsin intolerably long waits or the undoing of a significant amount of work. In this paper; we firstreview a model of CAD transactions which allows a group of cooperating designers to arriveat a complex design without being forced to wait over a long duration; and which also allowsa group of designers to collaborate on a design with another group by assigning subtasks.We then discuss concurrency control and recovery schemes that implement the model …,Information Sciences,1988,146
System/U: a database system based on the universal relation assumption,Henry F Korth; Gabriel M Kuper; Joan Feigenbaum; Allen Van Gelder; Jeffrey D Ullman,Abstract System/U is a universal relation database system under development at StandfordUniversity which uses the language C on UNIX. The system is intended to test the use of theuniversal view; in which the entire database is seen as one relation. This paper describesthe theory behind System/U; in particular the theory of maximal objects and the connectionbetween a set of attributes. We also describe the implementation of the DDL (DataDescription Language) and the DML (Data Manipulation Language); and discuss in detailhow the DDL finds maximal objects and how the DML determines the connection betweenthe attributes that appear in a query.,ACM Transactions on Database Systems (TODS),1984,145
A straw man analysis of probability of waiting and deadlock,Thomas J. Watson IBM Research Center. Research Division; JN Gray; P Homan; RL Obermarck; HF Korth,*,*,1981,131
Real-time event processing system with service authoring environment,*,A real-time event processing system (EPS) for processing a sequence of events generatedby one or more applications. In an illustrative embodiment; the EPS includes a set of real-time analysis engines (RAEs) operating in parallel; eg; a set of clusters each including oneor more RAEs; and one or more mappers for mapping a given input event to a particular oneof the clusters. A main-memory database system is coupled to the RAEs; and the RAEsprocess events associated with input streams from one or more data sources and deliveroutput streams to one or more data sinks. The data source and data sinks may be; eg;network elements; clients; databases; etc. The events are processed in accordance withservices implemented in the RAEs; and utilize data stored in a memory portion of the main-memory database system accessible to the RAEs. The data may include; eg; a …,*,2004,121
An optimistic commit protocol for distributed transaction management,Eliezer Levy; Henry F Korth; Abraham Silberschatz,Abstract. A major disadvantage of the two-phase commit might be severe. At each site; andfor each transaction (2 PC) protocol is the potential unbounded delay that transactions mayhave to endure if certain failures occur. By using compensating transactions; we obtain arevised 2PC protocol that overcomes these difficulties. In the revised protocol; locks arereleased as soou as a site votes to commit a transaction; thereby solving the indefiniteblocking problem of 2PC. If finally the transaction is to be aborted; then its effects are undonesemantically using a compensating transaction. Therefore; Semantic; rather than standard;atomicity is guaranteed. Relaxing standard atomicity interacts in a subtle way withcorrectness and concurrency control issues. Accordingly; a correctness criterion is proposedthat is most appropriate when atomicity is given up for semantic atomicity. The …,ACM SIGMOD Record,1991,120
PICASSO: a graphical query language,Hyoung‐Joo Kim; Henry F Korth; Avi Silberschatz,Abstract PICASSO (PICture Aided Sophisticated Sketch Of database queries) is a graphics-based database query language designed for use with a universal relation databasesystem. The primary objective of PICASSO is ease of use. Graphics are used to provide asimple method of expressing queries and to provide visual feedback to the user about thesystem's interpretation of the query. Inexperienced users can use the graphical feedback toaid them in formulating queries whereas experienced users can ignore the feedback.Inexperienced users can pose queries without knowing the details of underlying databaseschema and without learning the formal syntax of SQL-like query language. This paperpresents the syntax of PICASSO queries and compares PICASSO queries with similarqueries in standard relational query languages. Comparisons are also made with System …,Software: Practice and Experience,1988,119
Database systems: Achievements and opportunities,Avi Silberschatz; Michael Stonebraker; Jeffrey D Ullman,Abstract The history of database system research in the US is one of exceptional productivityand startling economic impact. Barely twenty years old as a basic science research field;database research conducted with Federal support in the nation's universities and in itsindustrial research laboratories has fueled an information services industry estimated at $10billion per year in the US alone. This industry has grown at an average rate of 20 percent peryear since 1965 and is continuing to expand at this rate. Achievements in database researchunderpin fundamental advances in communications systems; transportation and logistics;financial management; knowledge-based systems; accessibility to scientific literature; and ahost of other civilian and defense applications. They also serve as the foundation forconsiderable progress in basic science in various fields ranging from computing to …,ACM Sigmod Record,1990,116
Computer science handbook,Allen B Tucker,When you think about how far and fast computer science has progressed in recent years; it'snot hard to conclude that a seven-year old handbook may fall a little short of the kind ofreference today's computer scientists; software engineers; and IT professionals need. With abroadened scope; more emphasis on applied computing; and more than 70 chapters eithernew or significantly revised; the Computer Science Handbook; Second Edition is exactly thekind of reference you need. This rich collection of theory and practice fully characterizes thecurrent state of the field and conveys the modern spirit; accomplishments; and direction ofcomputer science. Highlights of the Second Edition: Coverage that reaches across all 11subject areas of the discipline as defined in Computing Curricula 2001; now the standardtaxonomy More than 70 chapters revised or replaced Emphasis on a more practical …,*,2004,108
The concurrency control problem in multidatabases: Characteristics and solutions,Sharad Mehrotra; Rajeev Rastogi; Yuri Breitbart; Henry F Korth; Avi Silberschatz,Abstract A Multidatabase System (MDBS) is a collection of local database managementsystems; each of which may follow a different concurrency control protocol. Thisheterogeneity makes the task of ensuring global serializability in an MDBS environmentdifficult. In this paper; we reduce the problem of ensuring global serializability to the problemof ensuring serializability in a centralized database system. We identify characteristics of theconcurrency control problem in an MDBS environment; and additional requirements onconcurrency control schemes for ensuring global serializability. We then develop a range ofconcurrency control schemes that ensure global serializability in an MDBS environment; andat the same time meet the requirements. Finally; we study the tradeoffs between thecomplexities of the various schemes and the degree of concurrency provided by each of …,ACM SIGMOD Record,1992,99
Triggered real-time databases with consistency constraints,Henry F Korth; Nandit Soparkar,Abstract Real-time database systems incorporate the notion of a deadline into the databasesystem model. USU-ally; deadlines are associated with transactions; and the systemattempts to execute a given set of transactions so as to both meet the deadlines and ensurethe database consistency. This paper presents an alternative model of real-time databaseprocessing in which deadlines are associated with consistency constraints rather thandirectly with transactions. This model leads to a predicate-baaed approach to transactionmanagement that allows greater concurrency and more flexibility in modeling real-worldsystems.,*,1990,93
Real-time event processing system for telecommunications and other applications,*,A real-time event processing system (EPS) for processing a sequence of events generatedby one or more applications. In an illustrative embodiment; the EPS includes a set of real-time analysis engines (RAEs) operating in parallel; eg; a set of clusters each including oneor more RAEs; and one or more mappers for mapping a given input event to a particular oneof the clusters. A main-memory database system is coupled to the RAEs; and the RAEsprocess events associated with input streams from one or more data sources and deliveroutput streams to one or more data sinks. The data source and data sinks may be; eg;network elements; clients; databases; etc. The events are processed in accordance withservices implemented in the RAEs; and utilize data stored in a memory portion of the main-memory database system accessible to the RAEs. The data may include; eg; a …,*,2002,88
Formal aspects of concurrency control in long-duration transaction systems using the NT/PV model,Henry F Korth; Greg Speegle,Abstract In the typical database system; an execution is correct if it is equivalent to someserial execution. This criterion; called serializability; is unacceptable for new databaseapplications which require long-duration transactions. We present a new transaction modelwhich allows correctness criteria more suitable for these applications. This model combinesthree enhancements to the standard model: nested transactions; explicit predicates; andmultiple versions. These features yield the name of the new model; nested transactions withpredicates and versions; or NT/PV. The modular nature of the NT/PV model allows astraightforward representation of simple systems. It also provides a formal framework fordescribing complex interactions. The most complex interactions the model allows can becaptured by a protocol which exploits all of the semantics available to the NT/PV model …,ACM Transactions on Database Systems (TODS),1994,88
Non-serializable executions in heterogeneous distributed database systems,Sharad Mehrotra; Rajeev Rastogi; Henry F Korth; Abraham Silberschatz,The concept of serializability has been the traditionally accepted notion of correctness indatabase systems. However; in a heterogeneous distributed database system (HDBMS)environment; ensuring serializability is a difficult task mainly due to the desire of preservingthe local autonomy of the participating local database systems. The authors introduce a newcorrectness criterion fur HDBMSs; two-level serializability (2LSR); and show that it preservesdatabase consistency in several HDBMS models. Further; they present a simple protocol forensuring that schedules in an HDBMS environment are 2LSR. This protocol is easilyimplementable and does not violate the local autonomy of sites.,Parallel and Distributed Information Systems; 1991.; Proceedings of the First International Conference on,1991,85
The design of¬ 1NF relational databases into nested normal form,Mark A Roth; Henry F Korth,Abstract We develop new algorithms for the design of non first normal form relationaldatabases that are in nested normal form. Previously; a set of given multivalueddependencies and those multivalued dependencies implied by given functionaldependencies were used to obtain a nested normal form decomposition of a scheme. Thismethod ignored the semantic distinction between functional and multivalued dependenciesand utilized only full multivalued dependencies in the design process. We propose newalgorithms which take advantage of this distinction; and use embedded multivalueddependencies to enhance the decomposition. This results in further elimination ofredundancy due to functional dependencies in nested normal form designs.,ACM SIGMOD Record,1987,80
Sudarshan,Korth Silberschatz; Henry Korth,*,Database system concepts,2002,73
Computer implemented method and apparatus for fulfilling a request for information content with a user-selectable version of a file containing that information content,*,A method of fulfilling a request for information content with a user-selectable version of a filecontaining that information content. Selection of a hyperlink to information content results ingeneration of a menu of versions of files containing that information content. The menudisplays options for versions which are derivable therefrom by a computer program forconverting files from one version to another version. Selection of an option for a materializedversion results in transmission of the materialized version. Selection of an option for aversion which is not materialized results in derivation of the user-selected version from eithera materialized version or any other version from which the user-selected version may bederived. Apparatuses for carrying out the inventive method are also provided.,*,2004,72
Null values in nested relational databases,Mark A Roth; Henry F Korth; Abraham Silberschatz,Summary The desire to extend the applicability of the relational model beyond traditionaldata-processing applications has stimulated interest in nested or non-first normal formrelations in which the attributes of a relation can take on values which are sets or evenrelations themselves. In this paper; we study the role of null values in the nested relationalmodel using an open world assumption. We extend the traditional theory and study theproperties of extended operators for nested relations containing nulls. The no-information;unknown; and non-existent interpretation of nulls are discussed and the meaning of “emptyset” is clarified. Finally; contrary to several previous results; we determine that the traditionalaxiomatization of functional and multivalued dependencies is valid in the presence of nulls.,Acta Informatica,1989,72
Method and system for managing replicated data with enhanced consistency and concurrency,*,Method and system for managing transactions operating on replicated data items at multiplephysical sites in a distributed database system. The transactions include local transactionseach being processed at one of the physical sites and global transactions each beingprocessed at multiple physical sites. Each transaction originates at one of the physical sites;and is permitted to read data items only at that physical site. In addition; only transactionsoriginating at a physical site at which a primary copy of a data item is located are permittedto update that data item. A number of virtual sites are defined such that a given virtual siteVSi j at a particular point in time includes a set Si j of all data items at a physical site sj that agiven transaction Ti has accessed from an initial operation up to that point in time. Areplication graph is maintained to represent the relationships between the transactions …,*,1999,71
Method and apparatus for storage and retrieval of handwritten information,*,A method is provided for generating an indexed database stored in a computer system. Adatabase is established. The database includes a plurality of data objects. Each data objectis defined by a respective tuple of attributes. The attributes include at least one attributehaving a domain of values that includes handwritten objects. Each handwritten objectincludes a plurality of symbols ordered in an output sequence. An index is established;having a root node and a plurality of leaf nodes. Each leaf node is connected to the rootnode by a respective path; such that each path from the root node to one of the plurality ofleaf nodes corresponds to a respective input sequence of symbols. The input sequence forthe respective leaf node includes a set of pointers to a subset of the tuples. A respectiveHidden Markov Model (HMM) is executed to analyze the output sequence of each …,*,1996,66
Concurrency control protocols for management of replicated data items in a distributed database system,*,The invention provides protocols for managing transactions operating on replicated dataitems at multiple physical sites in a distributed database system. The protocols make use ofdynamically changing sets of data items referred to as" virtual sites" and a replication graphor other suitable globally consistent representation of the relationships between thetransactions and the virtual sites. Illustrative embodiments of the invention include a staticglobal serializability (SGS) protocol; a commit-oriented protocol (COP) and a multiversionoptimistic protocol (MOP). The SGS protocol broadcasts the data access set of a giventransaction to all physical sites; and applies the Thomas Write Rule (TWR) to write-writeconflicts on secondary copies of data items. The COP protocol defers testing of thereplication graph until a transaction is ready to commit; and each transaction is allowed to …,*,1999,64
Failure-resilient transaction management in multidatabase,Nandit Soparkar; Henry F.  Korth; Abraham Silberschatz,Failure recovery in a multidatabase environment is addressed. It is shown that localautonomy considerations force the designer of a multidatabase system to trade off certaindesirable properties to achieve reliability for transaction management. Representativetechniques in the research literature are contrasted and compared. The author's approach tothe problem is described.,Computer,1991,63
Certifiable optical character recognition,*,A certificate; calculated on the text of a document to be reproduced; is included in thedocument in a form which is machine-readable. Upon optical character recognitionscanning; or other digitizing reproduction; the certificate is also scanned and stored forcomparison. A new certificate is calculated on the contents of the reproduced document andcompared to the scanned certificate. If the two certificates are different; it is known that atleast one error exists in the reproduced document. More than one certificate can be providedfor a document in order to facilitate error location on the document and error correctiontherein.,*,1997,61
A theory of relaxed atomicity,Eliezer Levy; Henry F Korth; Abraham Silberschatz,Abstract. Supporting atomicity of multi-site transactions in a distributed transactionmanagement system is equated with long-duration delays; blocking; and loss of autonomy ofthe individual sites. The two-phase Commit protocol embodies these problems. The focus ofthis paper is on an alternative notion of relaxed atomicity where these difficult ies arealleviated. Relaxed atomicity is characterized by an asynchronous process of recoveringfrom uncoordinated local decisions as to whether to commit or abort a multi-site transaction;and finally coercing a unanimous outcome. The consequent atomicity notion is weaker thanthe standard all-or-nothing atomicity; as transactions with discrepant commit decisions arerecovered semantically rather than physically. A formal model that unifies the two dualmethods of semantic recovery; namely compensation and retry; is constructed. Due to the …,Proceedings of the tenth annual ACM symposium on Principles of distributed computing,1991,61
Method and apparatus for updating XML views of relational data,*,A method and apparatus are provided for updating XML views of relational data. Thepresent invention translates an update to an XML view of a relational database into updateoperations to be performed on the underlying relational database itself. The disclosed XMLview update manager can perform updates in the context of an underlying relationaldatabase that serves the XML-based application; as well as traditional relational databasemanagement system (RDBMS) applications. Given a pre-existing underlying relationaldatabase schema and an XML view defined on it; the present invention provides aframework for generating update plans to perform an update without introducing side-effectsto other parts of the view.,*,2004,60
Database research faces the information explosion,Henry F Korth; Abraham Silberschatz,• Low-cost computing and storage devices used not only in business; but increasingly inprivate homes;• Low-cost Internet access; potentially allowing all computing and storagedevices to be connected (even when mobile); and• Availability of simple; easy-to-useinterfaces (eg; World-Wide Web browsers). These developments increase the significance ofquestions of privacy rights—when reviewing personal records; using intellectual property;granting universal access; and so on; while generating challenging technical problems indata storage; organization; and access. Though the popular press often trumpets the dawnof the information age; it is instructive to consider the earlier information ages preceding thisone and to learn from society's responses to the earlier challenges. Consider threeexamples:,Communications of the ACM,1997,59
Optimizing view queries in ROLEX to support navigable result trees,Philip Bohannon; Sumit Ganguly; Henry F Korth; PPS Narayan; Pradeep Shenoy,Relational databases support simultaneous “OLTP” access via SQL and XML interfaces.ROLEX provides a novel approach to resolving this duality by offering the ability to accesslive; nonmaterialized XML views of relational data; directly and efficiently; through anavigable virtual DOM interface. The system avoids the overhead of tagging and parsing;which limits the performance of existing middleware systems. Through its support fornavigational access; ROLEX is able to return DOM subtrees lazily as the applicationexecutes. Further; ROLEX accepts a navigational profile associated with a view query anduses this profile in a cost-based optimizer to choose a best-cost navigational query plan. Thenovel optimization plan-space includes a variety of correlated and decorrelated executionsof each subquery; using VOLCANO'S common sub-expression detection to prevent a …,*,2002,52
Introduction to mobile computing,Tomasz Imielinski; Henry Korth,Abstract The rapidly expanding technology of cellular communication; wireless LANs; andsatellite services will make information accessible anywhere and at any time. In the nearfuture; tens of millions of people will carry a portable palmtop or laptop computer. Smallerunits; often called personal digital assistants or personal communicators; will run on AAbatteries and may have only a small memory; larger ones will be powerful laptop computerswith large memories and powerful processors. Regardless of size; most mobile computerswill be equipped with a wireless connection to the fixed part of the network; and; perhaps; toother mobile computers. The resulting computing environment; which is often referred to asmobile or nomadic computing; no longer requires users to maintain a fixed and universallyknown position in the network and enables almost unrestricted mobility. Mobility and …,Mobile computing,1996,51
Sudarshan; 2002,Korth Silberschatz; H Korth,*,Database system concept,*,49
Method and apparatus for the payment of internet content,*,*,*,2002,44
Long-duration transactions in software design projects,Henry F Korth; Gregory D Speegle,An example of a software development application is considered; and the formal model of H.Korth and G. Speegle (1988) is applied to show how this example could be represented as aset of database transactions. It is shown that; although the standard notion of correctness(serializability) is too strict; the notion of correctness in the Korth and Speegle model allowssufficient concurrency with acceptable overhead. An extrapolation is made from thisexample to draw some conclusions regarding the potential usefulness of a formal approachto the management of long-duration design transactions.,Data Engineering; 1990. Proceedings. Sixth International Conference on,1990,44
Database hash-join algorithms on multithreaded computer architectures,Philip Garcia; Henry F Korth,Abstract As the performance gap between main memory and modern processors widens;database algorithms must be adapted to be" architecture-aware" for optimal performance.We address this issue using the computation of hash join; one of the most importantoperations in database query processing; to study the impact of simultaneous multithreading(SMT) and main-memory latency (cache misses) on performance. Prior work [8] has studiedcache misses on a simulation based on the Compaq ES40. Our results are obtained bymeasuring the performance of actual hardware (Intel Pentium and Xeon; and AMD Opteron)first for the single-threaded version of the hash-join algorithm used in the prior work and anew version designed for multiple threads. We found that hardware prefetching from main-memory data into CPU cache as implemented in the architectures we tested significantly …,Proceedings of the 3rd Conference on Computing Frontiers,2006,42
Ensuring transaction atomicity in multidatabase systems,Sharad Mehrotra; Rajeev Rastogi; Yuri Breitbart; Henry F Korth; Avi Silberschatz,Systems* with the problem of ensuring the atomicity of transactions in a multidatabasesystem (MDBS) environment. An MDBS; built on top of preexisting centralized localdatabase management systems (DBMSS); is a facility that allows users to access andupdate data located at remote sites. An MDBS environment supports two types oftransactions:,Proceedings of the eleventh ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,1992,42
