Strabon: a semantic geospatial DBMS,Kostis Kyzirakos; Manos Karpathiotakis; Manolis Koubarakis,Abstract We present Strabon; a new RDF store that supports the state of the art semanticgeospatial query languages stSPARQL and GeoSPARQL. To illustrate the expressive poweroffered by these query languages and their implementation in Strabon; we concentrate onthe new version of the data model stRDF and the query language stSPARQL that we havedeveloped ourselves. Like GeoSPARQL; these new versions use OGC standards torepresent geometries where the original versions used linear constraints. We study theperformance of Strabon experimentally and show that it scales to very large data volumesand performs; most of the times; better than all other geospatial RDF stores it has beencompared with.,International Semantic Web Conference,2012,103
SemSorGrid4Env architecture–phase I,Alasdair JG Gray; Ixent Galpin; Alvaro AA Fernandes; Norman W Paton; Kevin Page; Jason Sadler; Manolis Koubarakis; Kostis Kyzirakos; Jean-Paul Calbimonte; Oscar Corcho; Raul Garcia; Victor M Diaz; Israel Liebana,*,Deliverable D1. 3v1; SemSorGrid4Env,2009,16
GeoTriples: a Tool for Publishing Geospatial Data as RDF Graphs Using R2RML Mappings.,Kostis Kyzirakos; Ioannis Vlachopoulos; Dimitrianos Savva; Stefan Manegold; Manolis Koubarakis,Abstract. A plethora of Earth Observation data that is becoming available at no charge inEurope and the US recently reflects the strong push for more open Earth Observation data.Linked data is a paradigm which studies how one can make data available on the Web; andinterconnect it with other data with the aim of making the value of the resulting “Web of data”greater than the sum of its parts. Open Earth Observation data that are currently madeavailable by space agencies such as ESA and NASA are not following the linked dataparadigm. Therefore; Earth Observation data and other kinds of geospatial data that arenecessary for a user to satisfy her information needs can only be found in different data silos;where each silo may contain only part of the needed data. Publishing the content of thesesilos as RDF graphs; enables the development of data analytics applications with great …,International Semantic Web Conference (Posters & Demos),2014,14
Wildfire monitoring using satellite images; ontologies and linked geospatial data,Kostis Kyzirakos; Manos Karpathiotakis; George Garbis; Charalampos Nikolaou; Konstantina Bereta; Ioannis Papoutsis; Themos Herekakis; Dimitrios Michail; Manolis Koubarakis; Charalambos Kontoes,Abstract Advances in remote sensing technologies have allowed us to send an ever-increasing number of satellites in orbit around Earth. As a result; Earth Observation dataarchives have been constantly increasing in size in the last few years; and have become avaluable source of data for many scientific and application domains. When EarthObservation data is coupled with other data sources many pioneering applications can bedeveloped. In this paper we show how Earth Observation data; ontologies; and linkedgeospatial data can be combined for the development of a wildfire monitoring service thatgoes beyond applications currently deployed in various Earth Observation data centers. Theservice has been developed in the context of European project TELEIOS that faces thechallenges of extracting knowledge from Earth Observation data head-on; capturing this …,Web Semantics: Science; Services and Agents on the World Wide Web,2014,13
Developing registries for the semantic sensor Web using stRDF and stSPARQL,Kostis Kyzirakos; Manos Karpathiotakis; Manolis Koubarakis,Abstract. We address the problem of registering and discovering sensors; sensor servicesand other related resources in the Semantic Sensor Web. We show how to develop asemantic registry for the storage and manipulation of metadata describing such resourcesusing an implementation of the data model stRDF and the query language stSPARQL.stRDF extends RDF with the ability to represent spatial and temporal metadata using linearconstraints. stSPARQL extends SPARQL for querying stRDF metadata. Together theyprovide a natural modeling framework for the problem at hand; since spatial and temporalmetadata figure prominently in the description of sensors and related resources or services.We present Strabon; a storage and query evaluation module for stRDF/stSPARQL for thearchitecture of the EU FP7 project Semsor-Grid4Env and we show how to use Strabon to …,International Workshop on Semantic Sensor Networks,2010,12
Hecataeus: A Framework for Representing SQL Constructs as Graphs,George Papastefanatos; Kostis Kyzirakos; Panos Vassiliadis; Yannis Vassiliou,Abstract. Traditional modeling techniques typically focus on the static part of databases andignore their dynamic part (eg; queries or data-centric workflows). In this paper; we firstintroduce and sketch a graph-based model that captures relations; views; constraints andqueries. We then present HECATAEUS; a tool for implementing and visualizing the aboveframework.,Proceedings of 10th International Workshop on Exploring Modeling Methods for Systems Analysis and Design-EMMSAD,2005,12
Sextant: Visualizing time-evolving linked geospatial data,Charalampos Nikolaou; Kallirroi Dogani; Konstantina Bereta; George Garbis; Manos Karpathiotakis; Kostis Kyzirakos; Manolis Koubarakis,Abstract The linked open data cloud is constantly evolving as datasets get continuouslyupdated with newer versions. As a result; representing; querying; and visualizing thetemporal dimension of linked data is crucial. This is especially important for geospatialdatasets that form the backbone of large scale open data publication efforts in many sectorsof the economy (eg; the public sector; the Earth Observation sector). Although there hasbeen some work on the representation and querying of linked geospatial data that changeover time; to the best of our knowledge; there is currently no tool that offers spatio-temporalvisualization of such data. This is in contrast with the existence of many tools for thevisualization of the temporal evolution of geospatial data in the GIS area. In this article; wepresent Sextant; a Web-based system for the visualization and exploration of time …,Web Semantics: Science; Services and Agents on the World Wide Web,2015,11
Data models and languages for registries in SemsorGrid4Env,Kostis Kyzirakos; Manolis Koubarakis; Zoi Kaoudi,*,Deliverable D3,2009,10
Publishing; discovering and updating semantic grid resources using DHTs,Zoi Kaoudi; Manolis Koubarakis; Kostis Kyzirakos; Matoula Magiridou; Iris Miliaraki; Antonios Papadakis-Pesaresi,Abstract We presentAtlas; a P2P system for publishing; discovering and updating SemanticGrid resources described using the RDF data model. Atlas has been developed in thecontext of project OntoGrid funded by FP6. Atlas is built on top of the distributed hash tableBamboo and extends Bamboo's protocols for storing; querying and updating RDF (S) data.Atlas is being used currently to realize the metadata service of S-OGSA architecture in a fullydistributed and scalable way. In this paper; we describe the operations of publishing andupdating RDF information and answering one-time queries in Atlas.,CoreGRID Workshop on Grid Programming Model; Grid and P2P Systems Architecture; Grid Systems; Tools and Environments,2007,10
Sextant: browsing and mapping the ocean of linked geospatial data,Charalampos Nikolaou; Kallirroi Dogani; Kostis Kyzirakos; Manolis Koubarakis,Abstract Linked geospatial data has recently received attention as researchers andpractitioners have started tapping the wealth of geospatial information available on the Web.With the rapid population of the Web of data with geospatial information; applications tomanage it have also started to emerge. What the semantic geospatial web lacks; though;compared to the technological arsenal of the traditional GIS area are the tools that aidresearchers and practitioners in making use of this ocean of geospatial data. In this demopaper; we present Sextant; a web-based tool that enables exploration of linked geospatialdata as well as creation; sharing; and collaborative editing of thematic maps by combininglinked geospatial data and other geospatial information available in standard OGC fileformats.,Extended Semantic Web Conference,2013,9
GIS navigation boosted by column stores,Foteini Alvanaki; Romulo Goncalves; Milena Ivanova; Martin Kersten; Kostis Kyzirakos,Abstract Earth observation sciences; astronomy; and seismology have large data sets whichhave inherently rich spatial and geospatial information. In combination with large collectionsof semantically rich objects which have a large number of thematic properties; they form anew source of knowledge for urban planning; smart cities and natural resourcemanagement.,Proceedings of the VLDB Endowment,2015,8
Real time fire monitoring using semantic web and linked data technologies,Kostis Kyzirakos; Manos Karpathiotakis; George Garbis; Charalampos Nikolaou; Konstantina Bereta; Michael Sioutis; Ioannis Papoutsis; Themistoklis Herekakis; Dimitrios Michail; Manolis Koubarakis; Charalambos Kontoes,Fire monitoring and management in Mediterranean countries such as Greece is ofparamount importance. Almost every summer massive forest fires break out; causing severedestruction and even human life losses. Thus; European initiatives in the area of EarthObservation (EO); such as GMES SAFER4; have supported the development of relevantoperational infrastructures. In the context of the European project TELEIOS5; we aim atdeveloping a fire monitoring service; that goes beyond operational systems currentlydeployed in various EO data centers; by building on Semantic Web and Linked Datatechnologies. In this demonstration we present the fire monitoring service that we haveimplemented using TELEIOS technologies focusing on its Semantic Web relatedfunctionality. The service implements a processing chain where raw satellite images are …,Proceedings of the 2012th International Conference on Posters & Demonstrations Track-Volume 914,2012,7
Building virtual earth observatories using ontologies and linked geospatial data,Manolis Koubarakis; Manos Karpathiotakis; Kostis Kyzirakos; Charalampos Nikolaou; Stavros Vassos; George Garbis; Michael Sioutis; Konstantina Bereta; Stefan Manegold; Martin Kersten; Milena Ivanova; Holger Pirk; Ying Zhang; Charalampos Kontoes; Ioannis Papoutsis; Themistoklis Herekakis; Dimitris Mihail; Mihai Datcu; Gottfried Schwarz; Octavian Dumitru; Daniela Molina; Katrin Molch; Ugo Giammatteo; Manuela Sagona; Sergio Perelli; Eva Klien; Thorsten Reitz; Robert Gregor,Abstract Advances in remote sensing technologies have enabled public and commercialorganizations to send an ever-increasing number of satellites in orbit around Earth. As aresult; Earth Observation (EO) data has been constantly increasing in volume in the last fewyears; and is currently reaching petabytes in many satellite archives. For example; the multi-mission data archive of the TELEIOS partner German Aerospace Center (DLR) is expectedto reach 2PB next year; while ESA estimates that it will be archiving 20PB of data before theyear 2020. As the volume of data in satellite archives has been increasing; so have thescientific and commercial applications of EO data. Nevertheless; it is estimated that up to95% of the data present in existing archives has never been accessed; so the potential forincreasing exploitation is very big.,International conference on web reasoning and rule systems,2012,7
TELEIOS: a database-powered virtual earth observatory,Manolis Koubarakis; Mihai Datcu; Charalambos Kontoes; Ugo Di Giammatteo; Stefan Manegold; Eva Klien,Abstract TELEIOS is a recent European project that addresses the need for scalable accessto petabytes of Earth Observation data and the discovery and exploitation of knowledge thatis hidden in them. TELEIOS builds on scientific database technologies (array databases;SciQL; data vaults) and Semantic Web technologies (stRDF and stSPARQL) implementedon top of a state of the art column store database system (MonetDB). We demonstrate a firstprototype of the TELEIOS Virtual Earth Observatory (VEO) architecture; using a forest firemonitoring application as example.,Proceedings of the VLDB Endowment,2012,7
A data model and query language for an extension of RDF with time and space,Manolis Koubarakis; Kostis Kyzirakos; Babis Nikolaou; Michael Sioutis; Stavros Vassos,Page 1. TELEIOS FP7-257662 Deliverable D2.1 A data model and query language for anextension of RDF with time and space Manolis Koubarakis; Kostis Kyzirakos; Babis Nikolaou;Michael Sioutis; Stavros Vassos; and Consortium Members April 1; 2012 Status: Final ScheduledDelivery Date: 28 February; 2011 Page 2. TELEIOS FP7-257662 Executive Summary Thisdeliverable presents the semantics-based data models and language that we will utilize inTELEIOS. First; we discuss the challenges for semantic data modeling in TELEIOS byconcentrating on the two use cases A Virtual Observatory for TerraSAR-X data" and Real-timefire monitoring based on continuous acquisitions of EO images and geospatial data". For eachuse case we discuss what challenges arise in semantic modeling of the relevant data sets usingW3C standards such as RDF; RDFS; OWL 2 and SPARQL …,*,2011,7
Reference semsorgrid4env implementation–phase i,Juan José Aparicio; Alasdair JG Gray; Kostis Kyzirakos; Jason Sadler; Jean-Paul Calbimonte,*,Deliverable D1. 4v1; SemSorGrid4Env,2010,6
Wildfire monitoring via the integration of remote sensing with innovative information technologies,C Kontoes; I Papoutsis; D Michail; Th Herekakis; M Koubarakis; K Kyzirakos; M Karpathiotakis; C Nikolaou; M Sioutis; G Garbis; S Vassos; I Keramitsoglou; M Kersten; S Manegold; H Pirk,Fire monitoring and management in Europe; and in the wider Mediterranean region inparticular; is of paramount importance. Almost every summer massive forest wildfires breakout in several areas across the Mediterranean; leaving behind severe destruction in forestedand agricultural land; infrastructure and private property; and losses of human lives.,GR Abstracts; editor; EGU2012-PREVIEW,2012,5
A round table for multi-disciplinary research on Geospatial and Climate Data,Romulo Goncalves; Milena Ivanova; Foteini Alvanaki; Jason Maassen; Kostis Kyzirakos; Oscar Martinez-Rubi; Hannes Mühleisen,Earth observation sciences produce large sets of data which are inherently rich in spatialand geo-spatial information. Together with live data collected from monitoring systems andlarge collections of semantically rich objects they provide new opportunities for advancedeScience research on climatology; urban planing and smart cities. Such combination ofheterogeneous data sets forms a new source of knowledge. Efficient knowledge extractionfrom them is an eScience challenge. It requires efficient bulk data injection from both staticand streaming data sources; dynamic adaptation of the physical and logical schema;efficient methods to correlate spatial and temporal data; and flexibility to (re-) formulate theresearch question at any time. In this work; we present a data management layer over acolumn-oriented relational data management system that provides efficient analysis of …,e-Science (e-Science); 2015 IEEE 11th International Conference on,2015,4
Managing Big; Linked; and Open Earth-Observation Data: Using the TELEIOS\/LEO software stack,Manolis Koubarakis; Kostis Kyzirakos; Charalampos Nikolaou; George Garbis; Konstantina Bereta; Roi Dogani; Stella Giannakopoulou; Panayiotis Smeros; Dimitrianos Savva; George Stamoulis; Giannis Vlachopoulos; Stefan Manegold; Charalampos Kontoes; Themistocles Herekakis; Ioannis Papoutsis; Dimitrios Michail,Big Earth-observation (EO) data that are made freely available by space agencies comefrom various archives. Therefore; users trying to develop an application need to searchwithin these archives; discover the needed data; and integrate them into their application. Inthis article; we argue that if EO data are published using the linked data paradigm; then thedata discovery; data integration; and development of applications becomes easier. Wepresent the life cycle of big; linked; and open EO data and show how to support their variousstages using the software stack developed by the European Union (EU) research projectsTELEIOS and the Linked Open EO Data for Precision Farming (LEO). We also show how thisstack of tools can be used to implement an operational wildfire-monitoring service.,IEEE Geoscience and Remote Sensing Magazine,2016,3
Big; linked and open data: applications in the German aerospace center,Charalampos Nikolaou; Kostis Kyzirakos; Konstantina Bereta; Kallirroi Dogani; Stella Giannakopoulou; Panayiotis Smeros; George Garbis; Manolis Koubarakis; DE Molina; OC Dumitru; Gottfried Schwarz; Mihai Datcu,Abstract Earth Observation satellites acquire huge volumes of high resolution imagescontinuously increasing the size of the archives and the variety of EO products. However;only a small part of this data is exploited. In this paper; we present how we take advantage ofthe TerraSAR-X images of the German Aerospace Center in order to build applications ontop of EO data.,European Semantic Web Conference,2014,3
The spatiotemporal RDF store strabon,Kostis Kyzirakos; Manos Karpathiotakis; Konstantina Bereta; George Garbis; Charalampos Nikolaou; Panayiotis Smeros; Stella Giannakopoulou; Kallirroi Dogani; Manolis Koubarakis,Abstract Strabon is a very scalable and efficient RDF store for storing and queryinggeospatial data that changes over time. We present the geospatial and temporal features ofStrabon and we demonstrate their utilization in the fire monitoring and the burn scarmapping applications of the National Observatory of Athens.,International Symposium on Spatial and Temporal Databases,2013,3
Data models; Query Languages; Implemented Systems and Applications of Linked Geospatial Data,Manolis Koubarakis; Kostis Kyzirakos; Manos Karpathiotakis,Page 1. Data models; Query Languages; Implemented Systems and Applications of LinkedGeospatial Data Dept. of Informatics and Telecommunications National and KapodistrianUniversity of Athens Manolis Koubarakis; Kostis Kyzirakos and Manos Karpathiotakis ExtendedSemantic Web Conference 2012 Page 2. Data models; Query Languages; Implemented Systemsand Applications of Linked Geospatial Data; ESWC 2012 2 Tutorial Organization • 14:00 –14:15 Introduction • 14:15 – 15:00 Background in geospatial data modeling • 15:00 – 15:30Geospatial data in the Semantic Web – stSPARQL • 15:30 – 16:00 Coffee break • 16:00-16:30 Geospatial data in the Semantic Web – GeoSPARQL • 16:30 – 17:00 Implemented systemsand applications • 17:00 – 17:15 Conclusions; questions; discussion • 17:15 – 17:30 Demo ofStrabon Page 3. Introduction Presenter: Manolis Koubarakis …,Tutorials at ESWC,2012,3
Operational wildfire monitoring and disaster management support using state-of-the-art EO and Information Technologies,C Kontoes; I Keramitsoglou; I Papoutsis; T Herekakis; D Michail; P Xofis; M Koubarakis; K Kyzirakos; M Karpathiotakis; C Nikolaou; M Sioutis; G Garbis; S Vassos; S Manegold; M Kersten; H Pirk; M Ivanova,The National Observatory of Athens (NOA) has been established in Greece as a researchinstitute offering; among others; operational services for disaster management of forestwildfires. In this paper the main activities of NOA related to fire monitoring and the Burn ScarMapping damage assessment services are presented. The current capacities in deliveringfire-related products and services are greatly enhanced by the integration of state-of-the-artInformation Technologies; which provide the potential of refining the thematic accuracy ofour products; allows the connection to other distributed databases for the generation of newand innovative added-value products; and suggest the establishment of an operationalsystem that can be extended to include other applications related to natural disastermanagement.,Earth Observation and Remote Sensing Applications (EORSA); 2012 Second International Workshop on,2012,2
Building earth observatories using scientific database and semantic web technologies,M Koubarakis; K Kyzirakos; M Karpathiotakis; C Nikolaou; S Vassos; G Garbis; M Sioutis; K Bereta; D Michail; C Kon-toes; I Papoutsis; T Herekakis; S Manegold; M Kersten; M Ivanova; H Pirk; Y Zhang; M Datcu; G Schwarz; O Dumitru; D Espinoza-Molina; K Molch; UD Giammatteo; M Sagona; S Perelli; T Reitz; E Klien; R Gregor,*,Proc. 8th Conf. Image Inf. Mining ESA-EUSC-JRC,2012,2
A spatial column-store to triangulate the Netherlands on the fly.,Romulo Goncalves; Tom van Tilburg; Kostis Kyzirakos; Foteini Alvanaki; Panagiotis Koutsourakis; Ben van Werkhoven; Willem van Hage,Abstract 3D digital city models; important for urban planning; are currently constructed frommassive point clouds obtained through airborne LiDAR (Light Detection and Ranging). Theyare semantically enriched with information obtained from auxiliary GIS data like Cadastraldata which contains information about the boundaries of properties; road networks; rivers;lakes etc. Technical advances in the LiDAR data acquisition systems made possible therapid acquisition of high resolution topographical information for an entire country. Suchdata sets are now reaching the trillion points barrier. To cope with this data deluge andprovide up-to-date 3D digital city models on demand current geospatial managementstrategies should be re-thought.,Proceedings of the 24th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,2016,1
In memory processing of massive point clouds for multi-core systems,Kostis Kyzirakos; Foteini Alvanaki; Martin Kersten,Abstract LIDAR is a popular remote sensing method used to examine the surface of theEarth. LIDAR instruments use light in the form of a pulsed laser to measure ranges (variabledistances) and generate vast amounts of precise three dimensional point data describingthe shape of the Earth. Processing large collections of point cloud data and combining themwith auxiliary GIS data remain an open research problem. Past research in the area ofgeographic information systems focused on handling large collections of complex geometricobjects stored on disk and most algorithms have been designed and studied in a single-thread setting even though multi-core systems are well established. In this paper; wedescribe parallel alternatives of known algorithms for evaluating spatial selections over pointclouds and spatial joins between point clouds and rectangle collections.,Proceedings of the 12th International Workshop on Data Management on New Hardware,2016,1
Building virtual earth observatories using scientific database and semantic web technologies,Kostis Kyzirakos; Stefan Manegold; Charalampos Nikolaou; Manolis Koubarakis,TELEIOS is a recent European project that addresses the need for scalable access topetabytes of Earth Observation (EO) data and the identification of hidden knowledge thatcan be used in applications. To achieve this; TELEIOS builds on scientific databases; linkedgeospatial data and ontologies. TELEIOS was the first project internationally that introducedthe Linked Data paradigm to the EO domain; and developed prototype services such as thereal-time fire monitoring service that has been used for the last two years by decision makersand emergency response managers in Greece. Linked Data is a new research area whichstudies how one can make data available on the Web; and interconnect it with other datawith the aim of making the value of the resulting “Web of data” greater than the sum of itsparts. The Web of data has recently started being populated with geospatial data. Great …,ERCIM News,2014,1
Building remote sensing applications using scientific database and semantic web technologies,Manolis Koubarakis; George Garbis; Kostis Kyzirakos; Manos Karpathiotakis; Charalampos Nikolaou; Stavros Vassos; Michael Sioutis; Konstantina Bereta; Charis Kontoes; Ioannis Papoutsis; Themistoklis Herekakis; Dimitris Michail; Stefan Manegold; Martin Kersten; Milena Ivanova; Holger Pirk; Ying Zhang; Mihai Datcu; Gottfried Schwarz; Octavian Dumitru; Daniela Espinoza-Molina; Katrin Molch; Ugo Di Giammatteo; Manuela Sagona; Sergio Perelli; Thorsten Reitz; Eva Klien; Robert Gregor,We address the need for scalable access to petabytes of Earth Observation data and thediscovery of knowledge that is hidden in them.,*,2012,1
An Implementation of a Temporal and Spatial Extension of RDF and SPARQL on top of MonetDB-Phase I,George Garbis; Konstantina Mpereta; Manos Karpathiotakis; Kostis Kyzirakos; Babis Nikolaou; Michael Sioutis; Stavros Vassos; Iris Miliaraki; Katerina Papadaki; Manolis Koubarakis,Executive Summary The objectives of WP4 are to study query processing and optimizationalgorithms for the temporal/spatial extensions of RDF and SPARQL; called stRDF andstSPARQL respectively; that were proposed in WP2; and implement these algorithms on topof MonetDB. This deliverable is the first of a set of three deliverables that represent the WP4contribution towards the design and implementation of a system offering the abilities torepresent and query both definite and indefinite geospatial information. These threedeliverables are as follows:,*,2012,1
Semsorgrid4env architecture,Alasdair JG Gray; Ixent Galpin; Alvaro AA Fernandes; Norman W Paton; Kevin Page; Jason Sadler; Kostis Kyzirakos; Manolis Koubarakis; Jean-Paul Calbimonte; Raúl García Castro; Oscar Corcho; Jesus E Gabaldon; Juanjo Aparicio,This document specifies; designs; and validates the Semantic Sensor Grid RapidApplication Development for Environmental Management (SemSorGrid4Env) softwarearchitecture. The architecture enables the publication and querying of both stored (egdatabase) and streaming (eg sensor) data to support the rapid development of applicationsfor environmental monitoring. Significant benefits are provided by the use of semantictechnology for service discovery and data integration. The infrastructural backbone of thearchitecture is provided by four service-oriented services: Stored Data Service for thepublication of databases; Streaming Data Service for the publication of sensor data;Registration and Discovery Service to enable resources to found; and Integration andQuerying Service to enable multiple data sources to be accessed through a single model …,*,2010,1
