Chlorites and hydroxy-interlayered vermiculite and smectite,Richard I Barnhisel; Paul M Bertsch,Chlorites are not as abundant as some other clay minerals in soils; but when present theyplay significant roles in the chemical environment. Chlorites are less stable than most of theother clays when placed into acidic environments; and therefore may be rapidly altered. Thisweathering process may account for significant amounts of Mg2+ and other cations thatoccupy exchange sites of clay minerals of such soils. In addition to the minerals consideredfor this chapter; the chlorite layer may be an important part of mixed layer sequences (seeSawhney; chapter 16; this book). Confusion may occur from casual reading of the literature;since the word chlorite appears in many earlier reports. Such minerals are presentlyclassified as a type of interstratified mineral sequence. For example the term" swelling"chlorite was first used by Stephen and MacEwan (1950; 1951) to describe a mineral …,Minerals in soil environments,1989,646
Direct measurement of aluminum uptake and distribution in single cells of Chara corallina,Gregory J Taylor; Julie L McDonald-Stephens; Douglas B Hunter; Paul M Bertsch; David Elmore; Zdenko Rengel; Robert J Reid,Quantitative information on the uptake and distribution of Al at the cellular level is required tounderstand mechanisms of Al toxicity; but direct measurement of uptake across the plasmamembrane has remained elusive. We measured rates of Al transport across membranes insingle cells of Chara corallina using the rare 26 Al isotope; an emerging technology(accelerator mass spectrometry); and a surgical technique for isolating subcellularcompartments. Accumulation of Al in the cell wall dominated total uptake (71–318 μg m− 2min− 1); although transport across the plasma membrane was detectable (71–540 ng m− 2min− 1) within 30 min of exposure. Transport across the tonoplast was initially negligible; butaccelerated to rates approximating uptake across the plasma membrane. The avacuolateprotoplasm showed signs of saturation after 60 min; but continued movement across the …,Plant Physiology,2000,196
In situ Cr (VI) reduction within coarse-textured; oxide-coated soil and aquifer systems using Fe (II) solutions,John C Seaman; Paul M Bertsch; L Schwallie,Batch and column techniques were used to evaluate the in situ Cr (VI) reduction andimmobilization using Fe (II) solutions within the sediments of the Atlantic Coastal Plain.Remediation treatments included Cr-free groundwater and buffered and unbuffered Fe (II)solutions as either FeCl2 and FeSO4. The slow release of Cr (VI) from the Fe-oxide richsubsurface sediment following exposure to Cr-free solutions indicated that simple pump-and-treat procedures would require extended operation time to meet regulatory standards. In situreduction was confirmed by the loss of Cr (VI) and Fe (II) from solution and a drop in pHcompared to control systems. Batch and column-effluent Cr (VI) decreased with increasingFe (II); generally falling below detection limits as the persistence of Fe (II) occurred.However; CrDissolved; presumably Cr (III); exceeded regulatory limits due to the low pH …,Environmental Science & Technology,1999,193
Immobilization of nickel and other metals in contaminated sediments by hydroxyapatite addition,John C Seaman; J Samuel Arey; Paul M Bertsch,Abstract Batch experiments were conducted to evaluate the ability of hydroxyapatite (HA) toreduce the solubility of metals; including the primary contaminants of concern; Ni and U;from contaminated sediments located on the Department of Energy's Savannah River Site;near Aiken; SC. Hydroxyapatite was added to the sediments at application rates of 0; 5; 15.8;and 50 g kg− 1 After equilibrating in either 0.02 M KCl or 0.01 M CaCl 2; the samples werecentrifuged and the supernatants filtered prior to metal; dissolved organic C; and PO 4analyses. The treated soils were then air-dried and changes in solid-phase metaldistribution were evaluated using sequential extractions and electron-based microanalysistechniques. Hydroxyapatite was effective at reducing the solubility of U and; to a lesserdegree; Ni. Hydroxyapatite was also effective in reducing the solubility of Al; Ba; Cd; Co …,Journal of Environmental Quality,2001,186
Soil-borne mobile colloids as influenced by water flow and organic carbon,Daniel I Kaplan; Paul M Bertsch; Domy C Adriano; William P Miller,Paucity of understanding mechanisms relevant to the generation of subsurface mobilecolloids is a major limitation to our current knowledge of colloid-facilitated contaminanttransport. To evaluate the roles of natural organic materials and pore water velocity onmobile colloid generation; colloids generated from 14-m3 lysimeters containingreconstructed soil profiles were collected and characterized. Colloids generated during lowflow rates were 1030% less abundant; contained at least 65% more iron oxides andgibbsite; were 80% smaller; and had 40% greater electrophoretic mobility than colloidsgenerated during higher flow rates. Quartz; kaolinite; and hydroxyinterlayered vermiculitewere enriched by at least 32% in colloids generated during faster flow rates. Mobile colloidsurface charge was greatly enhanced by organic carbon (OC) coatings. Concentrations of …,Environmental Science & Technology,1993,184
Conditions for Al13 polymer formation in partially neutralized aluminum solutions1,Paul M Bertsch,Abstract The influence of synthesis methodology on the formation of the Al 13 ([AlO 4 Al 12(OH) 24 (H 2 O) 12] 7+) polymer was investigated to better establish boundary conditions forits formation. The amount of Al 13 polymer formed in solutions ranging in Al concentrationfrom 3.34× 10− 4 to 3.34× 10− 2 mol L− 1 was found to be highly dependent on OH/Al ratio(ñ); neutralization rate; mixing conditions; and initial Al concentration. For the 3.34× 10− 3mol Al L− 1 solution synthesized at 1.2 cm 3 min− 1; the Al 13 polymer formed only when ñexceeded 1.5; whereas this polymer predominated in a solution 3.34× 10− 2 mol L− 1 withrespect to Al at ñ≥ 0.4. There was no evidence for Al 13 polymer formation in solutions≤3.34× 10− 4 mol Al L− 1 with ñ= 2.5 synthesized at the 1.2 cm 3 min− 1 base injection rate;however; the formation of this species could be induced in the 3.34× 10− 4 mol Al L− 1 …,Soil Science Society of America Journal,1987,175
In situ chemical speciation of uranium in soils and sediments by micro X-ray absorption spectroscopy,Paul M Bertsch; Douglas B Hunter; Stephen R Sutton; Sasa Bajt; Mark L Rivers,The ability to develop adequate models for predicting the fate of inorganic contaminants inboth surface and subsurface environments is highly dependent on accurate knowledge ofthe partitioning of these constituents between the solid and solution phases and ultimatelyon the capability to provide molecular-level information on chemical species distributions inboth of these phases. Furthermore; the development of environmentally sound yet cost-effective remediation strategies requires an understanding of the chemical speciation of thecontaminants within the soil or sediment matrix in which they are contained. Owing toanalytical difficulties; traditional methods for determining speciation of metals in soils andsediments have relied heavily on indirect chemical extraction techniques; in which variousphases within the matrix are operationally defined and inferences on chemical …,Environmental science & technology,1994,170
Formation of the" Al13" tridecameric aluminum polycation under diverse synthesis conditions,David R Parker; Paul M Bertsch,Recent studies using 27A1-NMR spectroscopy indicate that the polynuclear hydroxo-A1fraction that exhibits a moderate reaction rate with the ferron reagent can be equated to theAll; tridecamer; and we utilized this correspondence to examine the formation of All3 over abroad range of synthesis conditions; including some pertinent to natural waters. Ferron andNMR analyses revealed that solutions ([All;= 2 x 10-5-5 x mol Ll) partially neutralized withaqueous NaHCO; contained from 26 to 87% of A1T as the tridecamer. Solutions neutralizedwith solid CaC03 or MgO; or with NH3 vapor; also contained substantial quantities (14-46%of AIT) of Al13. Bicarbonate-neutralized solutions were also prepared by injecting base intoan acidic A1 solution (forward method); by injecting the Al solution into the base (reversemethod); and by simultaneous injection of the two solutions. The latter two methods …,Environmental science & technology,1992,166
Effect of silver nanoparticle surface coating on bioaccumulation and reproductive toxicity in earthworms (Eisenia fetida),William A Shoults-Wilson; Brian C Reinsch; Olga V Tsyusko; Paul M Bertsch; Gregory V Lowry; Jason M Unrine,Abstract The purpose of this study was to investigate the effect of surface coating on thetoxicity of silver nanoparticles (Ag NPs) soil. Earthworms (Eisenia fetida) were exposed toAgNO3 and Ag NPs with similar size ranges coated with either polyvinylpyrrolidone(hydrophilic) or oleic acid (amphiphilic) during a standard sub-chronic reproduction toxicitytest. No significant effects on growth or mortality were observed within any of the testtreatments. Significant decreases in reproduction were seen in earthworms exposed toAgNO3;(94.21 mg kg-1) as well as earthworms exposed to Ag NPs with either coating (727.6mg kg-1 for oleic acid and 773.3 mg kg-1 for polyvinylpyrrolidone). The concentrations of AgNPs at which effects were observed are much higher than predicted concentrations of AgNPs in sewage sludge amended soils; however; the concentrations at which adverse …,Nanotoxicology,2011,163
Potassium status of temperate region soils,Paul M Bertsch; Grant W Thomas,A comprehensive review of the K status of temperate region soils is very difficult to present.The published literature is far too voluminous to treat equitably in a single chapter. Theavailable soil classification; soil analysis; and fertilizer use statistics represent; at best; pointestimates or averages over large land masses. Furthermore; data on losses of K byleaching; runoff; and erosion are few. Such factors have to be interpolated; and; at times;extrapolated to arrive at reasonable estimates of the amounts involved. As a result; thefigures are somewhat suspect; yet they represent the best available. Other problems includethe sensitivity of K soil tests; the availability of reliable measurements of K release from soils;and even the unreliability of the numbers representing K removal by crops. Nevertheless; wehave made an attempt to consider the aforementioned factors in addition to fertilizer …,Potassium in agriculture,1985,158
Role of particle size and soil type in toxicity of silver nanoparticles to earthworms,W Aaron Shoults-Wilson; Brian C Reinsch; Olga V Tsyusko; Paul M Bertsch; Greg V Lowry; Jason M Unrine,Abstract Silver nanoparticles (NPs) are an emerging contaminant of concern due to theirincreased use. The earthworm Eisenia fetida was exposed to a range of concentrations ofAgNO 3 and two polyvinylpyrolidone coated Ag NPs with different particle size distributions.They were exposed in two different soils: a naturally occurring sandy loam and astandardized artificial soil. The AgNO 3 significantly reduced E. fetida growth andreproduction at 7.41±0.01 mg kg− 1 Ag in the sandy loam but only reproduction was affectedat concentrations of 94.1±3.2 mg kg− 1 in the artificial soil. In the artificial soil; significant (α=0.05) reproductive toxicity was only observed in organisms exposed to the Ag NPs atconcentrations approximately eight times higher than those at which the effects from ionic Agwere observed. Eisenia fetida exposed to either AgNO 3 or Ag NPs in the sandy loam …,Soil Science Society of America Journal,2011,156
Mineral associations and average oxidation states of sorbed Pu on tuff,MC Duff; DB Hunter; IR Triay; PM Bertsch; DT Reed; SR Sutton; G Shea-McCarthy; J Kitten; P Eng; SJ Chipera; DT Vaniman,Subsurface transport of groundwater contaminants is greatly influenced by chemicalspeciation; precipitation; and sorption processes. The transport of Pu potentially releasedfrom spent nuclear fuel disposal and storage sites will be dependent on its interaction withmineral surfaces and speciation in the subsurface. The sorption of dissolved Pu (V) on anatural zeolitic tuff that was equilibrated with synthetic groundwater was examined usingsynchrotron-based microanalytical techniques. The tuff contained trace quantities ofsmectites and iron and manganese oxides; which are present as fracture fill and pore spacematerials. Synchrotron-based micro-X-ray fluorescence (SXRF) showed that Pu ispredominately associated with manganese oxides (rancieite) and smectites but not with ironoxides (hematite). In situ micro-X-ray absorption near-edge structure (XANES) …,Environmental science & technology,1999,153
Characterization of complex mineral assemblages: Implications for contaminant transport and environmental remediation,Paul M Bertsch; John C Seaman,Abstract Surface reactive phases of soils and aquifers; comprised of phyllosilicate and metaloxohydroxide minerals along with humic substances; play a critical role in the regulation ofcontaminant fate and transport. Much of our knowledge concerning contaminant-mineralinteractions at the molecular level; however; is derived from extensive experimentation onmodel mineral systems. Although these investigations have provided a foundation forunderstanding reactive surface functional groups on individual mineral phases; theinformation cannot be readily extrapolated to complex mineral assemblages in naturalsystems. Recent studies have elucidated the role of less abundant mineral and organicsubstrates as important surface chemical modifiers and have demonstrated complexcoupling of reactivity between permanent-charge phyllosilicates and variable-charge Fe …,Proceedings of the National Academy of Sciences,1999,152
Characterization of dissolved and colloidal organic matter in soil solution: a review.,Bruce E Herbert; Paul M Bertsch; WW McFee; JM Kelly,Abstract Definitions of dissolved organic matter (DOM) and water soluble organic matter(WSOM) are reviewed. Because of the difficulties in collecting soil solution DOM; WSOM hasbeen used as a surrogate for soil solution DOM. The collection and extraction of DOM andWSOM from soil solutions and their fractionation by solubility; molecular size; and sorptionchromatography are described. The chemical characteristics of DOM and WSOM arereviewed and a table is presented of observed DOC concn in soil solution as a function ofsoil type; horizon; and collection method. The transport; sorption; and microbial degradationof DOM in the vadose zone are discussed.,Carbon forms and functions in forest soils.,1995,152
Applications of synchrotron-based X-ray microprobes,Paul M Bertsch; Douglas B Hunter,The past decade has witnessed significant advances in technologies related to X-rayspectroscopic techniques; both as a result of advances in X-ray optics; focusing devices; anddetectors and because of greater availability of high-brilliance synchrotron facilitiesworldwide. The result is that synchrotron-based X-ray absorption fine structure spectroscopy(XAFS) has become a mainstream technique in a number of scientific disciplines and isproviding molecular-level information not previously available using other techniques. TheXAFS spectrum is typically separated into the X-ray absorption near-edge structure(XANES); also known as the near-edge extended X-ray absorption fine structure (NEXAFS)region; and the extended X-ray absorption fine structure (EXAFS) region. The XANES orNEXAFS spectrum is represented by the energy region just below to∼ 50 eV above the …,Chemical Reviews,2001,149
Effects of particle size on chemical speciation and bioavailability of copper to earthworms (Eisenia fetida) exposed to copper nanoparticles,Jason M Unrine; Olga V Tsyusko; Simona E Hunyadi; Jonathan D Judy; Paul M Bertsch,Abstract To investigate the role of particle size on the oxidation; bioavailability; and adverseeffects of manufactured Cu nanoparticles (NPs) in soils; we exposed the earthworm Eiseniafetida to a series of concentrations of commercially produced NPs labeled as 20-to 40-nmor< 100-nm Cu in artificial soil media. Effects on growth; mortality; reproduction; andexpression of a variety of genes associated with metal homeostasis; general stress; andoxidative stress were measured. We also used X-ray absorption spectroscopy and scanningX-ray fluorescence microscopy to characterize changes in chemical speciation and spatialdistribution of the NPs in soil media and earthworm tissues. Exposure concentrations of CuNPs up to 65 mg kg− 1 caused no adverse effects on ecologically relevant endpoints.Increases in metallothionein expression occurred at concentrations exceeding 20 mg kg …,Journal of environmental quality,2010,142
Toxicity of manufactured zinc oxide nanoparticles in the nematode Caenorhabditis elegans,Hongbo Ma; Paul M Bertsch; Travis C Glenn; Nadine J Kabengi; Phillip L Williams,Abstract Information describing the possible impacts of manufactured nanoparticles onhuman health and ecological receptors is limited. The objective of the present study was toevaluate the potential toxicological effects of manufactured zinc oxide nanoparticles (ZnO-NPs; 1.5 nm) compared to aqueous zinc chloride (ZnCl 2) in the free-living nematodeCaenorhabditis elegans. Toxicity of both types of Zn was investigated using the ecologicallyrelevant endpoints of lethality; behavior; reproduction; and transgene expression in a mtl-2::GFP (gene encoding green fluorescence protein fused onto the metallothionein-2 genepromoter) transgenic strain of C. elegans. Zinc oxide nanoparticles showed no significantdifference from ZnCl 2 regarding either lethality or reproduction in C. elegans; as indicatedby their median lethal concentrations (LC50s; p= 0.29; n= 3) and median effective …,Environmental Toxicology and Chemistry,2009,141
Evidence for bioavailability of Au nanoparticles from soil and biodistribution within earthworms (Eisenia fetida),Jason M Unrine; Simona E Hunyadi; Olga V Tsyusko; William Rao; W Aaron Shoults-Wilson; Paul M Bertsch,Because Au nanoparticles (NPs) are resistant to oxidative dissolution and are easilydetected; they have been used as stable probes for the behavior of nanomaterials withinbiological systems. Previous studies provide somewhat limited evidence for bioavailability ofAu NPs in food webs; because the spatial distribution within tissues and the speciation of Auwas not determined. In this study; we provide multiple lines of evidence; includingorthogonal microspectroscopic techniques; as well as evidence from biological responses;that Au NPs are bioavailable from soil to a model detritivore (Eisenia fetida). We also presentlimited evidence that Au NPs may cause adverse effects on earthworm reproduction. This isperhaps the first study to demonstrate that Au NPs can be taken up by detritivores from soiland distributed among tissues. We found that primary particle size (20 or 55 nm) did not …,Environmental science & technology,2010,135
Characterization of Hydroxy-Aluminum Solutions by Aluminum-27 Nuclear Magnetic Resonance Spectroscopy1,Paul M Bertsch; Grant W Thomas; RICHARD I BARNHisEL,Abstract Laboratory synthesized hydroxy-Al solutions were characterized by nuclearmagnetic resonance (NMR) spectroscopy. Solutions ranging in Al concentration from 3.4×10− 3 to 1.0 mol L− 1 at OH/Al ratios (ñ) of 0; 0.25; 0.50; 0.75; 1.00; 1.25; 1.50; 1.75; 2.25;and 2.50 prepared with base injection rates of 0.6 and 1.2 cm 3 min− 1 were investigated.For concentrated solutions (0.5 mol L− 1); two polymeric species produced observableresonance peaks; the [AlO 4 Al 12 (OH) 24 (H 2 O) 2] 7+ polynuclear (ie;“Al 13”) species witha chemical shift (δ) 63-ppm downfield of the hexaaquaaluminum species; and the dimer Al 2(OH) 2 (H 2 O) 4+ 8; which displayed a broad resonance≅ 3-ppm downfield from thehexaaqua-Al cation. In solutions of much lower Al concentration (3.4× 10− 2 mol L− 1); the Al13 polynuclear species was observed at ñ> 0.25 and its concentration was found to …,Soil Science Society of America Journal,1986,135
Microfluorescence and microtomography analyses of heterogeneous earth and environmental materials,Stephen R Sutton; Paul M Bertsch; Matthew Newville; Mark Rivers; Antonio Lanzirotti; Peter Eng,Analytical techniques with high sensitivity and high spatial resolution are crucial forunderstanding the chemical properties of complex earth materials and environmentalsamples; and these so-called “microprobes” have become workhorses of the geochemicalcommunity as well as important tools for environmental scientists. These microanalyticalinstruments are based on various forms of sample excitation and detection. They arecomplementary in terms of spatial resolution; element sensitivity; energy deposition and non-destructiveness. Several techniques fall in the class of methods employing charged particleexcitation of X-ray fluorescence; including electron microprobe analysis (EMPA) andparticleinduced X-ray emission (PIXE). EMPA is capable of µm-sized spots with minimumdetection limits near 100 mg kg− 1. PIXE is well suited for analyses of relatively light …,Reviews in Mineralogy and Geochemistry,2002,126
Pyrene sorption by water-soluble organic carbon,Bruce E Herbert; Paul M Bertsch; Jeff M Novak,Natural dissolved organic matter (DOM) in soil solution has the potential to facilitate thetransport of nonionic organic contaminants (NOC). The interactions between pyrene andultrafiltration fractions of water-soluble organic carbon (WSOC); humic acid; and fulvic acidwere quantified using fluorescence-quenching spectroscopy. Pyrene partition coefficients tothe smaller WSOC fractions varied between 4.1 X l. 03 and 6.8 X lo3 L kg-l; while partitioncoefficients for the largest fraction of WSOC; humic acid; and fulvic acid were 1.5 X lo4; 1.7 Xlo5; and 1.1 X lo4 L kg-l; respectively. These results demonstrate that the use of the samecKK; value to describe NOC partitioning to both immobile organic matter and soil solutionDOM will overestimate the ability of DOM to facilitate the transport of NOC. Conversely;pyrene partitioning data to the largest WSOC fraction suggest that the presence of …,Environmental science & technology,1993,124
Evidence for avoidance of Ag nanoparticles by earthworms (Eisenia fetida),WA Shoults-Wilson; Oksana I Zhurbich; David H McNear; Olga V Tsyusko; Paul M Bertsch; Jason M Unrine,Abstract Silver nanoparticles have been incorporated into a wide variety of consumerproducts; ideally acting as antimicrobial agents. Silver exposure has long been known tocause toxic effects to a wide variety of organisms; making large scale production of silvernanoparticles a potential hazard to environmental systems. Here we describe the firstevidence that an organism may be able to sense manufactured nanoparticles in a complex;environmentally relevant exposure and that the presence of nanoparticles alters theorganism's behavior. We found that earthworms (Eisenia fetida) consistently avoid soilscontaining silver nanoparticles and AgNO 3 at similar concentrations of Ag. However;avoidance of silver nanoparticles occurred over 48 h; while avoidance of AgNO 3 wasimmediate. It was determined that avoidance of silver nanoparticles could not be …,Ecotoxicology,2011,123
Fate of arsenic compounds in poultry litter upon land application,BP Jackson; JC Seaman; PM Bertsch,Abstract The use of the organic As compound; roxarsone; as an antibiotic additive to poultryfeed continues to raise concern over potential negative environmental impacts. Total Asconcentration in poultry litter can reach> 40 mg kg− 1 and both roxarsone and itsmineralization product As (V) have been identified in poultry litters (PL). To investigate thefate of these As species upon land application of PL we conducted two studies. In the first;an Orangeburg soil (Ultisol from the Atlantic Coastal Plain) was spiked with either 20 mg kg−1 As (V) or roxarsone and incubated at 10% moisture content for 4 months. ExchangeableAs was determined periodically by extraction with 0.1 M PO 4. Both As (V) and roxarsonedisplayed similar desorption; initially; approximately 70% of added As was ligandexchangeable and this decreased to 35% after 4 months incubation; presumably due to …,Chemosphere,2006,123
Actinide association with groundwater colloids in a coastal plain aquifer,DI Kaplan; PM Bertsch; DC Adriano; KA Orlandini,Abstract Trace levels of Pu; Am; Cm; and U in an acidic plume have been traveling through asurface aquifer underlying the Savannah River Site; Aiken; SC; at rates appreciably greaterthan anticipated. The objective of this study was to determine the extent to which each ofthese actinides was associated with groundwater colloids; a potential cause for the apparentenhanced transport. Contaminated groundwater was recovered along a 1.02 km transect atapproximately the rate of groundwater flow; passed though an ultrafiltration system; and thenchemically characterized. The filterable (> 500 molecular weight) fraction of nuclidesincreased with reported nuclide distribution coefficients (Kd values): Pu> Th> U> Am= Cm>Ra> tritium. The filterable fractions of the strongersorbing nuclides (Pu and Th) increased;whereas those of the weaker-sorbing nuclides (Am; Cm; and Ra) generally decreased …,Radiochimica Acta,1994,121
