Cube faceted data analysis,*,Methods; systems; and computer readable medium for displaying results of a search query.In one implementation; the method includes receiving a query; obtaining documents thatsatisfy the query; constructing a facet hierarchy based on documents that satisfy the query;creating a cube structure based on the facet hierarchy; and displaying a multi-dimensionalsearch interface based on the cube structure.,*,2010,95
Data analysis using facet attributes,*,A method; computer program product; and system for analyzing data using a datawarehouse application are provided. The method; computer program product; and systemprovide for displaying a facet in a user interface of the data warehouse application; the facetclassifying a plurality of documents; and displaying a facet attribute of the facet in the userinterface of the data warehouse application; the facet attribute corresponding to acharacteristic associated with each of the plurality of documents classified by the facet.,*,2011,6
The DBMS-your big data sommelier,Yağız Kargın; Martin Kersten; Stefan Manegold; Holger Pirk,When addressing the problem of “big” data volume; preparation costs are one of the keychallenges: the high costs for loading; aggregating and indexing data leads to a long data-to-insight time. In addition to being a nuisance to the end-user; this latency prevents real-timeanalytics on “big” data. Fortunately; data often comes in semantic chunks such as files thatcontain data items that share some characteristics such as acquisition time or location. Adata management system that exploits this trait can significantly lower the data preparationcosts and the associated data-to-insight time by only investing in the preparation of therelevant chunks. In this paper; we develop such a system as an extension of an existingrelational DBMS (MonetDB). To this end; we develop a query processing paradigm and datastorage model that are partial-loading aware. The result is a system that can make a 1.2 …,Data Engineering (ICDE); 2015 IEEE 31st International Conference on,2015,5
Wildfire monitoring via the integration of remote sensing with innovative information technologies,C Kontoes; I Papoutsis; D Michail; Th Herekakis; M Koubarakis; K Kyzirakos; M Karpathiotakis; C Nikolaou; M Sioutis; G Garbis; S Vassos; I Keramitsoglou; M Kersten; S Manegold; H Pirk,Fire monitoring and management in Europe; and in the wider Mediterranean region inparticular; is of paramount importance. Almost every summer massive forest wildfires breakout in several areas across the Mediterranean; leaving behind severe destruction in forestedand agricultural land; infrastructure and private property; and losses of human lives.,GR Abstracts; editor; EGU2012-PREVIEW,2012,5
An implementation of ad-hoc array queries on top of MonetDB,Ying Zhang; Martin Kersten; Milena Ivanova; Holger Pirk; Stefan Manegold,Executive Summary The objectives of WP5 are (i) to develop query processing andoptimization techniques for ad-hoc and continuous/stream queries for EO image dataimplemented as arrays on top of MonetDB and (ii) to develop a functional/performancebenchmark that allow us to evaluate our implementation. WP5 is organized in three tasksthat each yield one deliverable as follows:,EU Project TELEIOS (FP7-257662) D,2012,4
Weld: Rethinking the Interface Between Data-Intensive Applications,Shoumik Palkar; James Thomas; Deepak Narayanan; Anil Shanbhag; Rahul Palamuttam; Holger Pirk; Malte Schwarzkopf; Saman Amarasinghe; Samuel Madden; Matei Zaharia,Abstract: Data analytics applications combine multiple functions from different libraries andframeworks. Even when each function is optimized in isolation; the performance of thecombined application can be an order of magnitude below hardware limits due to extensivedata movement across these functions. To address this problem; we propose Weld; a newinterface between data-intensive libraries that can optimize across disjoint libraries andfunctions. Weld exposes a lazily-evaluated API where diverse functions can submit theircomputations in a simple but general intermediate representation that captures their data-parallel structure. It then optimizes data movement across these functions and emits efficientcode for diverse hardware. Weld can be integrated into existing frameworks such as Spark;TensorFlow; Pandas and NumPy without changing their user-facing APIs. We …,arXiv preprint arXiv:1709.06416,2017,3
By their fruits shall ye know them: A Data Analyst's Perspective on Massively Parallel System Design,Holger Pirk; Sam Madden; Mike Stonebraker,Abstract Increasingly parallel systems promise a remedy for the current stagnation of single-core performance. However; the battle to find the most appropriate architecture for theresulting massively parallel systems is still ongoing. Currently; there are two activecontenders: Massively Parallel Single Instruction Multiple Threads (SIMT) systems such asGPGPUs and Many Core Single Instruction Multiple Data (SIMD) systems such as Intel'sXeon Phi. While the former is more versatile; the latter is an efficient; time-tested technologywith a clear migration path. In this study; we provide a data management perspective to thedebate: we study the implementation and performance of a set of common datamanagement operations on an SIMT device (an Nvidia GTX 780) and compare it to a ManyCore SIMD system (an Intel Xeon Phi). We interpret the results to pinpoint architectural …,Proceedings of the 11th International Workshop on Data Management on New Hardware,2015,3
Operational wildfire monitoring and disaster management support using state-of-the-art EO and Information Technologies,C Kontoes; I Keramitsoglou; I Papoutsis; T Herekakis; D Michail; P Xofis; M Koubarakis; K Kyzirakos; M Karpathiotakis; C Nikolaou; M Sioutis; G Garbis; S Vassos; S Manegold; M Kersten; H Pirk; M Ivanova,The National Observatory of Athens (NOA) has been established in Greece as a researchinstitute offering; among others; operational services for disaster management of forestwildfires. In this paper the main activities of NOA related to fire monitoring and the Burn ScarMapping damage assessment services are presented. The current capacities in deliveringfire-related products and services are greatly enhanced by the integration of state-of-the-artInformation Technologies; which provide the potential of refining the thematic accuracy ofour products; allows the connection to other distributed databases for the generation of newand innovative added-value products; and suggest the establishment of an operationalsystem that can be extended to include other applications related to natural disastermanagement.,Earth Observation and Remote Sensing Applications (EORSA); 2012 Second International Workshop on,2012,2
Building earth observatories using scientific database and semantic web technologies,M Koubarakis; K Kyzirakos; M Karpathiotakis; C Nikolaou; S Vassos; G Garbis; M Sioutis; K Bereta; D Michail; C Kon-toes; I Papoutsis; T Herekakis; S Manegold; M Kersten; M Ivanova; H Pirk; Y Zhang; M Datcu; G Schwarz; O Dumitru; D Espinoza-Molina; K Molch; UD Giammatteo; M Sagona; S Perelli; T Reitz; E Klien; R Gregor,*,Proc. 8th Conf. Image Inf. Mining ESA-EUSC-JRC,2012,2
Non-invasive progressive optimization for in-memory databases,Steffen Zeuch; Holger Pirk; Johann-Christoph Freytag,Abstract Progressive optimization introduces robustness for database workloads againstwrong estimates; skewed data; correlated attributes; or outdated statistics. Previous workfocuses on cardinality estimates and rely on expensive counting methods as well ascomplex learning algorithms. In this paper; we utilize performance counters to driveprogressive optimization during query execution. The main advantages are thatperformance counters introduce virtually no costs on modern CPUs and their usage enablesa non-invasive monitoring. We present fine-grained cost models to detect differencesbetween estimates and actual costs which enables us to kick-start reoptimization. Based onour cost models; we implement an optimization approach that estimates the individualselectivities of a multi-selection query efficiently. Furthermore; we are able to learn …,Proceedings of the VLDB Endowment,2016,1
An evaluation of ad-hoc queries on arrays in MonetDB,Holger Pirk; Ying Zhang; Stefan Manegold; Martin Kersten,Executive Summary The objectives of WP5 are (i) to develop query processing andoptimization techniques for ad-hoc and continuous/stream queries for EO image dataimplemented as arrays on top of MonetDB and (ii) to develop a functional/performancebenchmark that allows us to evaluate our implementation. WP5 is organized in three tasksthat each yield one deliverable as follows:,*,2013,1
Building remote sensing applications using scientific database and semantic web technologies,Manolis Koubarakis; George Garbis; Kostis Kyzirakos; Manos Karpathiotakis; Charalampos Nikolaou; Stavros Vassos; Michael Sioutis; Konstantina Bereta; Charis Kontoes; Ioannis Papoutsis; Themistoklis Herekakis; Dimitris Michail; Stefan Manegold; Martin Kersten; Milena Ivanova; Holger Pirk; Ying Zhang; Mihai Datcu; Gottfried Schwarz; Octavian Dumitru; Daniela Espinoza-Molina; Katrin Molch; Ugo Di Giammatteo; Manuela Sagona; Sergio Perelli; Thorsten Reitz; Eva Klien; Robert Gregor,We address the need for scalable access to petabytes of Earth Observation data and thediscovery of knowledge that is hidden in them.,*,2012,1
Weld: Rethinking the Interface Between Data-Intensive Libraries,Shoumik Palkar; James Thomas; Deepak Narayanan; Anil Shanbhag; Rahul Palamuttam; Holger Pirk; Malte Schwarzkopf; Saman Amarasinghe; Samuel Madden; Matei Zaharia,Abstract Data analytics applications combine multiple functions from different libraries andframeworks. Even when each function is optimized in isolation; the performance of thecombined application can be an order of magnitude below hardware limits due to extensivedata movement across these functions. To address this problem; we propose Weld; a newinterface between data-intensive libraries that can optimize across disjoint libraries andfunctions. Weld exposes a lazily-evaluated API where diverse functions can submit theircomputations in a simple but general intermediate representation that captures their data-parallel structure. It then optimizes data movement across these functions and emits efficientcode for diverse hardware. Weld can be integrated into existing frameworks such as Spark;TensorFlow; Pandas and NumPy without changing their user-facing APIs. We …,*,*,1
Locality-Adaptive Parallel Hash Joins using Hardware Transactional Memory,Anil Shanbhag; Holger Pirk; Sam Madden,Abstract Previous work [1] has claimed that the best performing implementation of in-memory hash joins is based on (radix-) partitioning of the build-side input. Indeed; despitethe overhead of partitioning; the benefits from increased cache-locality and synchronizationfree parallelism in the build-phase outweigh the costs when the input data is randomlyordered. However; many datasets already exhibit significant spatial locality (ie; non-randomness) due to the way data items enter the database: through periodic ETL or trickleloaded in the form of transactions. In such cases; the first benefit of partitioning—increasedlocality—is largely irrelevant. In this paper; we demonstrate how hardware transactionalmemory (HTM) can render the other benefit; freedom from synchronization; irrelevant aswell. Specifically; using careful analysis and engineering; we develop an adaptive hash …,*,2016,*
What Makes a Good Physical plan?: Experiencing Hardware-Conscious Query Optimization with Candomblé,Holger Pirk; Oscar Moll; Sam Madden,Abstract Query optimization is hard and the current proliferation of" modern" hardware doesnothing to make it any easier. In addition; the tools that are commonly used by performanceengineers; such as compiler intrinsics; static analyzers or hardware performance countersare neither integrated with data management systems nor easy to learn. This fact makes it(unnecessarily) hard to educate engineers; to prototype and to optimize database queryplans for modern hardware. To address this problem; we developed a system calledCandomblé that lets database performance engineers interactively examine; optimize andevaluate query plans using a touch-based interface. Candomblé puts attendants in the placeof a physical query optimizer that has to rewrite a physical query plan into a better equivalentplan. Attendants experience the challenges when ad-hoc optimizing a physical plan for …,Proceedings of the 2016 International Conference on Management of Data,2016,*
MonetDB Jun2016 feature release,ML Kersten; PA Boncz; NJ Nes; S Manegold; KS Mullender; JA deRijke; Y Zhang; M Pham; LHA Scheers; E Petraki; THJ Sellam; Y Kargin; MM Gawade; HF Mühleisen; K Kyzirakos; DG Nedev; CP Cijvat; F Alvanaki; M vanDinther; E Sidirourgos; RA Koopmanschap; M Raasveldt; P Koutsourakis; TR Döhmen; BB Kruit; A Wits; PE Ferreira; SG Stalinov,KNAW Narcis. Back to search results. Publication MonetDB Jun2016 feature release (2016).Pagina-navigatie: Main. Save publication: Save as MODS; Export to Mendeley; Save as EndNote;Export to RefWorks. Title; MonetDB Jun2016 feature release. Author; ML Kersten (Martin); PA Boncz(Peter); NJ Nes (Niels); S. Manegold (Stefan); KS Mullender (Sjoerd); JA de Rijke (Arjen); Y. Zhang(Ying); M.-D. Pham (Minh-Duc); LHA Scheers (Bart); E. Petraki (Eleni); THJ Sellam (Thibault); Y.Kargin (Yagiz); MM Gawade (Mrunal); HF Mühleisen (Hannes); K. Kyzirakos (Konstantinos); DGNedev (Dimitar); CP Cijvat (Robin); F. Alvanaki (Foteini); M. van Dinther (Martin); E. Sidirourgos(Eleftherios); RA Koopmanschap (Richard); M. Raasveldt (Mark); P. Koutsourakis (Panagiotis);TR Döhmen (Till); BB Kruit (Benno); A. Wits (Abe); PE Silva Ferreira (Pedro); SG Stalinov (Svetlin).Supporting host; Database Architectures. Date; 2016 …,*,2016,*
MonetDB Jul2015-SP3 bigfix release,ML Kersten; PA Boncz; NJ Nes; Stefan Manegold; KS Mullender; JA deRijke; Ying Zhang; M Pham; LHA Scheers; Eleni Petraki; THJ Sellam; Yagiz Kargin; MM Gawade; HF Mühleisen; Konstantinos Kyzirakos; DG Nedev; CP Cijvat; Foteini Alvanaki; M vanDinther; Eleftherios Sidirourgos; RA Koopmanschap; Mark Raasveldt; Panagiotis Koutsourakis; TR Döhmen; BB Kruit; Abe Wits,KNAW Narcis. Back to search results. Publication MonetDBJul2015-SP3 bigfix release (2016). Pagina-navigatie: Main …,*,2016,*
... like Commanding an Anthill: A Case for Micro-Distributed (Data) Management Systems,Holger Pirk,Abstract Computer system architecture has changed: an assembly of autonomouscomponents has replaced the omnipotent CPU and its legion of dumb devices. DatabaseManagement System (DBMS) architecture; however; does not yet reflect this change: it is stilldominated by a centralized kernel that limits the autonomy of the devices and; thus; theirability to exploit their increased â smartnessâ. Distributed data management research canserve as an inspiration for an architecture that addresses this problem. However; therespective algorithms were never designed with CPU efficiency in mind implementingprinciples like dynamic programming and recursion. More than two decades ago; thetransition to memory resident databases spawned a plethora of research on CPU-efficientquery processors. We predict that hardware heterogeneity will trigger a similar line of …,ACM SIGMOD Record,2015,*
Big Data at High Performance-Engineersonline. nl,H Pirk,KNAW Narcis. Back to search results. Publication Big Data at High Performance -Engineersonline.nl (2015). . Pagina-navigatie: Main …,*,2015,*
Waste Not; Want Not: Managing Relational Data in Asymmetric Memories,Holger Pirk,Abstract Computer systems are not the monolithic machines they used to be. In the earlydays of computer science (until the late 70s); most computer systems included exactly onecomponent to perform a given task: one (type of) disc for persistence; one CPU forprocessing and one volatile RAM to hold intermediate data. Today; the architecture hasdeveloped into a heterogeneous landscape of components: discs; SSDs; RAM; NVRAM;GPUs and CPUs with a hierarchy of caches–all working together to accomplish a given task.However; making efficient use of all of these devices is difficult: slow interconnects makecommunication and synchronization of these devices costly and motivate sophisticated co-operation strategies to minimize such communication. While developing an efficient cross-device co-operation strategy is far from trivial; there is a fundamental characteristic of …,*,2015,*
Computer benut z'n geheugen niet echt handig-AutomatiseringGids,H Pirk,KNAW Narcis. Back to search results. Publication Computer benut z'n geheugen nietecht handig - AutomatiseringGids (2015). Pagina-navigatie: Main …,*,2015,*
MonetDB Oct2014-SP1 bugfix release,ML Kersten; PA Boncz; NJ Nes; S Manegold; KS Mullender; JA deRijke; Y Zhang; H Pirk; M Pham; LHA Scheers; E Petraki; THJ Sellam; Y Kargin; MM Gawade; HF Mühleisen; S Héman; K Kyzirakos; DG Nedev; CP Cijvat; F Alvanaki; M vanDinther; E Sidirourgos; MG Ivanova,KNAW Narcis. Back to search results. Publication MonetDB Oct2014-SP1 bugfix release (2014).Pagina-navigatie: Main. Save publication: Save as MODS; Export to Mendeley; Save as EndNote;Export to RefWorks. Title; MonetDB Oct2014-SP1 bugfix release. Author; ML Kersten (Martin);PA Boncz (Peter); NJ Nes (Niels); S. Manegold (Stefan); KS Mullender (Sjoerd); JA de Rijke (Arjen);Y. Zhang (Ying); H. Pirk (Holger); M.-D. Pham (Minh-Duc); LHA Scheers (Bart); E. Petraki (Eleni);THJ Sellam (Thibault); Y. Kargin (Yagiz); MM Gawade (Mrunal); HF Mühleisen (Hannes); S. Héman(Sándor); K. Kyzirakos (Konstantinos); DG Nedev (Dimitar); CP Cijvat (Robin); F. Alvanaki (Foteini);M. van Dinther (Martin); E. Sidirourgos (Eleftherios); MG Ivanova (Milena). Supporting host;Database Architectures; Database Architectures. Date; 2014-11-01. Language; English. Type;Other. Publication; https://ir.cwi.nl/pub/22666 …,*,2014,*
MonetDB Oct2014 feature release,ML Kersten; PA Boncz; NJ Nes; S Manegold; KS Mullender; JA deRijke; Y Zhang; H Pirk; M Pham; LHA Scheers; E Petraki; THJ Sellam; Y Kargin; MM Gawade; HF Mühleisen; S Héman; K Kyzirakos; DG Nedev; CP Cijvat; F Alvanaki; M vanDinther; E Sidirourgos; MG Ivanova,KNAW Narcis. Back to search results. Publication MonetDB Oct2014 feature release (2014).Pagina-navigatie: Main. Save publication: Save as MODS; Export to Mendeley; Save as EndNote;Export to RefWorks. Title; MonetDB Oct2014 feature release. Author; ML Kersten (Martin); PABoncz (Peter); NJ Nes (Niels); S. Manegold (Stefan); KS Mullender (Sjoerd); JA de Rijke (Arjen);Y. Zhang (Ying); H. Pirk (Holger); M.-D. Pham (Minh-Duc); LHA Scheers (Bart); E. Petraki (Eleni);THJ Sellam (Thibault); Y. Kargin (Yagiz); MM Gawade (Mrunal); HF Mühleisen (Hannes); S.Héman (Sándor); K. Kyzirakos (Konstantinos); DG Nedev (Dimitar); CP Cijvat (Robin); F. Alvanaki(Foteini); M. van Dinther (Martin); E. Sidirourgos (Eleftherios); MG Ivanova (Milena). Supportinghost; Database Architectures; Database Architectures. Date; 2014-10-01. Language; English.Type; Other. Publication; https://ir.cwi.nl/pub/22647 …,*,2014,*
