Algorithmic graph minor theory: Decomposition; approximation; and coloring,Erik D Demaine; Mohammad Taghi Hajiaghayi; Ken-ichi Kawarabayashi,At the core of the seminal graph minor theory of Robertson and Seymour is a powerfulstructural theorem capturing the structure of graphs excluding a fixed minor. This result isused throughout graph theory and graph algorithms; but is existential. We develop apolynomial-time algorithm using topological graph theory to decompose a graph into thestructure guaranteed by the theorem: a clique-sum of pieces almost-embeddable intobounded-genus surfaces. This result has many applications. In particular we showapplications to developing many approximation algorithms; including a 2-approximation tograph coloring; constant-factor approximations to treewidth and the largest grid minor;combinatorial polylogarithmic approximation to half-integral multicommodity flow;subexponential fixed-parameter algorithms; and PTASs for many minimization and …,Foundations of Computer Science; 2005. FOCS 2005. 46th Annual IEEE Symposium on,2005,173
Detecting even holes,Maria Chudnovsky; Ken‐ichi Kawarabayashi; Paul Seymour,Abstract Conforti; Cornuéjols; Kapoor; and Vušković (Even-hole-free graphs. Part II:Recognition algorithm; J Graph Theory 40 (2002); 238–266) gave a 73-page polynomialtime algorithm to test whether a graph has an induced subgraph that is a cycle of evenlength. Here; we provide another algorithm to solve the same problem. The differences are:,Journal of Graph Theory,2005,47
Shortest-path queries for complex networks: exploiting low tree-width outside the core,Takuya Akiba; Christian Sommer; Ken-ichi Kawarabayashi,Abstract We present new and improved methods for efficient shortest-path query processing.Our methods are tailored to work for two specific classes of graphs: graphs with small tree-width and complex networks. Seemingly unrelated at first glance; these two classes ofgraphs have some commonalities: complex networks are known to have a core--fringestructure with a dense core and a tree-like fringe. Our main contributions are efficientalgorithms and data structures on three different levels. First; we provide two new methodsfor graphs with small but not necessarily constant tree-width. Our methods achieve newtradeoffs between space and query time. Second; we present an improved tree-decomposition-based method for complex networks; utilizing the methods for graphs withsmall tree-width. Third; we extend our method to handle the highly inter-connected core …,Proceedings of the 15th International Conference on Extending Database Technology,2012,46
Linear-space approximate distance oracles for planar; bounded-genus and minor-free graphs,Ken-ichi Kawarabayashi; Philip N Klein; Christian Sommer,Abstract A (1+ ε)–approximate distance oracle for a graph is a data structure that supportsapproximate point-to-point shortest-path-distance queries. The most relevant measures for adistance-oracle construction are: space; query time; and preprocessing time. There arestrong distance-oracle constructions known for planar graphs (Thorup; JACM'04) and;subsequently; minor-excluded graphs (Abraham and Gavoille; PODC'06). However; theserequire Ω(ϵ^-1n\lgn) space for n–node graphs. In this paper; for planar graphs; bounded-genus graphs; and minor-excluded graphs we give distance-oracle constructions thatrequire only O (n) space. The big O hides only a fixed constant; independent of ε andindependent of genus or size of an excluded minor. The preprocessing times for ourdistance oracle are also faster than those for the previously known constructions. For …,International Colloquium on Automata; Languages; and Programming,2011,43
A coherent Ising machine for 2000-node optimization problems,Takahiro Inagaki; Yoshitaka Haribara; Koji Igarashi; Tomohiro Sonobe; Shuhei Tamate; Toshimori Honjo; Alireza Marandi; Peter L McMahon; Takeshi Umeki; Koji Enbutsu; Osamu Tadanaga; Hirokazu Takenouchi; Kazuyuki Aihara; Ken-ichi Kawarabayashi; Kyo Inoue; Shoko Utsunomiya; Hiroki Takesue,The analysis and optimization of complex systems can be reduced to mathematicalproblems called combinatorial optimization. Many such problems can be mapped ontoground-state-search problems of the Ising model; and various artificial spin systems are nowemerging as promising approaches. However; physical Ising machines have suffered fromlimited numbers of spin-spin couplings because of implementations based on localizedspins; resulting in severe scalability problems. We report a 2;000-spin network with all-to-allspin-spin couplings. Using a measurement and feedback scheme; we coupled time-multiplexed degenerate optical parametric oscillators to implement maximum cut problemson arbitrary graph topologies with up to 2;000 nodes. Our coherent Ising machine couldoutperform simulated annealing in terms of accuracy and computation time for a 2;000 …,Science,2016,40
Optimal budget allocation: Theoretical guarantee and efficient algorithm,Tasuku Soma; Naonori Kakimura; Kazuhiro Inaba; Ken-ichi Kawarabayashi,Abstract We consider the budget allocation problem over bipartite influence model proposedby Alon et al.(Alon et al.; 2012). This problem can be viewed as the well-known influencemaximization problem with budget constraints. We first show that this problem and its muchmore general form fall into a general setting; namely the monotone submodular functionmaximization over integer lattice subject to a knapsack constraint. Our framework includesAlon et al.'s model; even with a competitor and with cost.,International Conference on Machine Learning,2014,40
A linear time algorithm for the induced disjoint paths problem in planar graphs,Ken-ichi Kawarabayashi; Yusuke Kobayashi,Abstract In this paper; we consider a problem which we call the induced disjoint pathsproblem (IDPP) for planar graphs. We are given a planar graph G and a collection of vertexpairs {(s 1; t 1);…;(sk; tk)}. The objective is to find k paths P 1;…; P k such that P i is a pathfrom si to ti and P i and P j have neither common vertices nor adjacent vertices for anydistinct i; j. This problem setting is a generalization of the disjoint paths problem; since if wesubdivide each edge; then desired disjoint paths would be induced disjoint paths. Theproblem is motivated by not only the disjoint paths problem but also the recognition of aninduced subgraph. The latter has been developed in recent years; and this is actuallyconnected to the Strong Perfect Graph Theorem (Chudnovsky; et al.; 2006)[1]; and therecognition of the perfect graphs (Chudnovsky; et al.; 2005)[2]. Our main result in this …,Journal of Computer and System Sciences,2012,39
Three-coloring triangle-free planar graphs in linear time,Zdeněk Dvořák; Ken-ichi Kawarabayashi; Robin Thomas,Abstract Grötzsch's theorem states that every triangle-free planar graph is 3-colorable; andseveral relatively simple proofs of this fact were provided by Thomassen and other authors. Itis easy to convert these proofs into quadratic-time algorithms to find a 3-coloring; but it is notclear how to find such a coloring in linear time (Kowalik used a nontrivial data structure toconstruct an O (n log n) algorithm). We design a linear-time algorithm to find a 3-coloring of agiven triangle-free planar graph. The algorithm avoids using any complex data structures;which makes it easy to implement. As a by-product; we give a yet simpler proof of Grötzsch'stheorem.,ACM Transactions on Algorithms (TALG),2011,39
A separator theorem in minor-closed classes,Ken-ichi Kawarabayashi; Bruce Reed,It is shown that for each $ t $; there is a separator of size $ O (t\sqrt {n}) $ in any $ n $-vertexgraph $ G $ with no $ K_t $-minor. This settles a conjecture of Alon; Seymour and Thomas(J. Amer. Math. Soc.; 1990 and STOC'90); and generalizes a result of Djidjev (1981); andGilbert; Hutchinson and Tarjan (J. Algorithm; 1984); independently; who proved that everygraph with $ n $ vertices and genus $ g $ has a separator of order $ O (\sqrt {gn}) $; because$ K_t $ has genus $\Omega (t^ 2) $. The bound $ O (t\sqrt {n}) $ is best possible becauseevery 3-regular expander graph with $ n $ vertices is a graph with no $ K_t $-minor for $ t=cn^{1/2} $; and with no separator of size $ dn $ for appropriately chosen positive constants $c; d $. In addition; we give an $ O (n^ 2) $ time algorithm to obtain such a separator; andthen give a sketch how to obtain such a separator in $ O (n^{1+\epsilon}) $ time for any …,Foundations of Computer Science (FOCS); 2010 51st Annual IEEE Symposium on,2010,39
The minimum k-way cut of bounded size is fixed-parameter tractable,Ken-ichi Kawarabayashi; Mikkel Thorup,We consider the minimum k-way cut problem for unweighted undirected graphs with a sizebound s on the number of cut edges allowed. Thus we seek to remove as few edges aspossible so as to split a graph into k components; or report that this requires cutting morethan s edges. We show that this problem is fixed-parameter tractable (FPT) with the standardparameterization in terms of the solution size s. More precisely; for s= O (1); we present aquadratic time algorithm. Moreover; we present a much easier linear time algorithm forplanar graphs and bounded genus graphs. Our tractability result stands in contrast to knownW [1] hardness of related problems. Without the size bound; Downey et al.[2003] proved thatthe minimum k-way cut problem is W [1] hard with parameter k; and this is even for simpleunweighted graphs. Downey et al. asked about the status for planar graphs. We get linear …,Foundations of Computer Science (FOCS); 2011 IEEE 52nd Annual Symposium on,2011,38
Packing cycles through prescribed vertices,Naonori Kakimura; Ken-ichi Kawarabayashi; Dániel Marx,Abstract The well-known theorem of Erdős and Pósa says that a graph G has either k vertex-disjoint cycles or a vertex set X of order at most f (k) such that G∖ X is a forest. Starting withthis result; there are many results concerning packing and covering cycles in graph theoryand combinatorial optimization. In this paper; we generalize Erdős–Pósaʼs result to cyclesthat are required to go through a set S of vertices. Given an integer k and a vertex subset S(possibly unbounded number of vertices) in a given graph G; we prove that either G has kvertex-disjoint cycles; each of which contains at least one vertex of S; or G has a vertex set Xof order at most f (k)= 40 k 2 log 2 k such that G∖ X has no cycle that intersects S.,Journal of Combinatorial Theory; Series B,2011,38
Algorithms for finding an induced cycle in planar graphs and bounded genus graphs,Yusuke Kobayashi; Ken-ichi Kawarabayashi,Abstract In this paper; we consider the problem of finding an induced cycle passing throughk given vertices; which we call the induced cycle problem. The significance of findinginduced cycles stems from the fact that precise characterization of perfect graphs wouldrequire structures of graphs without an odd induced cycle; and its complement. There hasbeen huge progress in the recent years; especially; the Strong Perfect Graph Conjecturewas solved in [6]. Concerning recognition of perfect graphs; there had been a long-standingopen problem for detecting an odd hole and its complement; and finally this was solved in[4]. Unfortunately; the problem of finding an induced cycle passing through two givenvertices is NP-complete in a general graph [2]. However; if the input graph is constrained tobe planar and k is fixed; then the induced cycle problem can be solved in polynomial time …,Proceedings of the twentieth annual ACM-SIAM symposium on Discrete algorithms,2009,38
Contraction decomposition in H-minor-free graphs and algorithmic applications,Erik D Demaine; MohammadTaghi Hajiaghayi; Ken-ichi Kawarabayashi,Abstract We prove that any graph excluding a fixed minor can have its edges partitioned intoa desired number k of color classes such that contracting the edges in any one color classresults in a graph of treewidth linear in k. This result is a natural finale to research incontraction decomposition; generalizing previous such decompositions for planar andbounded-genus graphs; and solving the main open problem in this area (posed at SODA2007). Our decomposition can be computed in polynomial time; resulting in a generalframework for approximation algorithms; particularly PTASs (with k∼ 1/ε); and fixed-parameter algorithms; for problems closed under contractions in graphs excluding a fixedminor. For example; our approximation framework gives the first PTAS for TSP in weighted H-minor-free graphs; solving a decade-old open problem of Grohe; and gives another fixed …,Proceedings of the forty-third annual ACM symposium on Theory of computing,2011,37
Some recent progress and applications in graph minor theory,Ken-ichi Kawarabayashi; Bojan Mohar,Abstract In the core of the seminal Graph Minor Theory of Robertson and Seymour lies apowerful theorem capturing the``rough''structure of graphs excluding a fixed minor. Thisresult was used to prove Wagner's Conjecture that finite graphs are well-quasi-orderedunder the graph minor relation. Recently; a number of beautiful results that use this structuralresult have appeared. Some of these along with some other recent advances on graphminors are surveyed.,Graphs and combinatorics,2007,36
Locally planar graphs are 5-choosable,Matt DeVos; Ken-ichi Kawarabayashi; Bojan Mohar,Journal of Combinatorial Theory; Series B 98 (2008) 1215–1232 … Matt DeVosa;1; Ken-ichiKawarabayashib;2; Bojan Moharc;a;3 … Abstract It is proved that every graph embedded ina fixed surface with sufficiently large edge-width is 5-choosa- ble. © 2008 Elsevier Inc. All rightsreserved … Keywords: List coloring; Choosability; Surface; Edge-width; Locally planar graph… E-mail addresses: mdevos@sfu.ca (M. DeVos); k_keniti@nii.ac.jp (K.-i. Kawarabayashi);bojan.mohar@fmf.uni-lj.si (B. Mohar). 1 Supported in part by the SLO-USA Grant BI-US/04-05/36 and by the Slovenian grant L1-5014. 2 Research partly supported by Japan Society for thePromotion of Science; Grant-in-Aid for Scientific Research; by Sumitomo Foundation; by C &C Foundation; by Inamori Foundation and by Inoue Research Award for Young Scientists. 3 Supportedin part by the Ministry of Higher Education; Science and Technology of Slovenia …,Journal of Combinatorial Theory; Series B,2008,34
Graph and map isomorphism and all polyhedral embeddings in linear time,Ken-ichi Kawarabayashi; Bojan Mohar,Abstract For every surface S (orientable or non-orientable); we give a linear time algorithm totest the graph isomorphism of two graphs; one of which admits an embedding of face-widthat least 3 into S. This improves a previously known algorithm whose time complexity is n O(g); where g is the genus of S. This is the first algorithm for which the degree of polynomial inthe time complexity does not depend on g. The above result is based on two linear timealgorithms; each of which solves a problem that is of independent interest. The first of theseproblems is the following one. Let S be a fixed surface. Given a graph G and an integer k≥3; we want to find an embedding of G in S of face-width at least k; or conclude that such anembedding does not exist. It is known that this problem is NP-hard when the surface is notfixed. Moreover; if there is an embedding; the algorithm can give all embeddings of face …,Proceedings of the fortieth annual ACM symposium on Theory of computing,2008,34
Linear min-max relation between the treewidth of H-minor-free graphs and its largest grid,Ken-ichi Kawarabayashi; Yusuke Kobayashi,A key theorem in algorithmic graph-minor theory is a min-max relation between the treewidthof a graph and its largest grid minor. This min-max relation is a keystone of the Graph MinorTheory of Robertson and Seymour; which ultimately proves Wagner's Conjecture about thestructure of minor-closed graph properties. In 2008; Demaine and Hajiaghayi proved aremarkable linear min-max relation for graphs excluding any fixed minor H: every H-minor-free graph of treewidth at least c_H r has an r times r-grid minor for some constant c_H.However; as they pointed out; there is still a major problem left in this theorem. The problemis that their proof heavily depends on Graph Minor Theory; most of which lacks explicitbounds and is believed to have very large bounds. Hence c_H is not explicitly given in thepaper and therefore this result is usually not strong enough to derive efficient algorithms …,STACS'12 (29th Symposium on Theoretical Aspects of Computer Science),2012,33
K4−‐factor in a graph,Ken‐ichi Kawarabayashi,In this paper; all graphs considered are finite; undirected; and without loops or multipleedges. For a graph G;VšGŽ;EšGŽ; šGŽ; and 1šGŽ denote the set of vertices and the set ofedges; the minimum degree of G and the chromatic number of G; respectively. For a given graphG and x 2 VšGŽ; we write NGšxŽ the neighbourhood of the vertex x in G and note that the degreedGšxŽ¼jNGšxŽj. For a subset S of VšGŽ; the subgraph induced by S is denoted by hSi …—————————————————— yContract grant sponsor: Japan Society for the Promotionof Science for Young Scientists … For a subgraph H of G;G Ą H ¼ hVšGŽ Ą VšHŽi and for avertex x of G;G Ą x ¼ hVšGŽĄfxgi and also for an edge e of EšGŽ; G Ą e means the graph obtainedfrom G by removing e. For a graph G;n is always the order of G. For a subgraph H of G and avertex v 2 VšGŽ Ą VšHŽ;NHšvŽ ¼ NGšvŽ \ VšHŽ and dHšvŽ¼jNH švŽj. In addition; for a …,Journal of Graph Theory,2002,33
Algorithmic graph minor theory: Improved grid minor bounds and Wagner’s contraction,Erik D Demaine; MohammadTaghi Hajiaghayi; Ken-ichi Kawarabayashi,Abstract We explore three important avenues of research in algorithmic graph-minor theory;which all stem from a key min-max relation between the treewidth of a graph and its largestgrid minor. This min-max relation is a keystone of the Graph Minor Theory of Robertson andSeymour; which ultimately proves Wagner's Conjecture about the structure of minor-closedgraph properties. First; we obtain the only known polynomial min-max relation for graphsthat do not exclude any fixed minor; namely; map graphs and power graphs. Second; weobtain explicit (and improved) bounds on the min-max relation for an important class ofgraphs excluding a minor; namely; K 3; k-minor-free graphs; using new techniques that donot rely on Graph Minor Theory. These two avenues lead to faster fixed-parameteralgorithms for two families of graph problems; called minor-bidimensional and contraction …,Algorithmica,2009,31
Planarity allowing few error vertices in linear time,Ken-ichi Kawarabayashi,We show that for every fixed $ k $; there is a linear time algorithm that decides whether ornot a given graph has a vertex set $ X $ of order at most $ k $ such that $ GX $ is planar (wecall this class of graphs {\it $ k $-apex}); and if this is the case; computes a drawing of thegraph in the plane after deleting at most $ k $ vertices. In fact; in this case; we shalldetermine the minimum value $ l\leq k $ such that after deleting some $ l $ vertices; theresulting graph is planar. If this is not the case; then the algorithm gives rise to a minor whichis not $ k $-apex and is minimal with this property. This answers the question posed byCabello and Mohar in 2005; and by Kawarabayashi and Reed (STOC'07); respectively. Notethat the case $ k= 0$ is the planarity case. Thus our algorithm can be viewed as ageneralization of the seminal result by Hopcroft and Tarjan (J. ACM 1974); which …,Foundations of Computer Science; 2009. FOCS'09. 50th Annual IEEE Symposium on,2009,30
Non-zero disjoint cycles in highly connected group labelled graphs,Ken-ichi Kawarabayashi; Paul Wollan,Abstract Let G=(V; E) be an oriented graph whose edges are labelled by the elements of agroup Γ. A cycle C in G has non-zero weight if for a given orientation of the cycle; when weadd the labels of the forward directed edges and subtract the labels of the reverse directededges; the total is non-zero. We are specifically interested in the maximum number of vertexdisjoint non-zero cycles. We prove that if G is a Γ-labelled graph and G¯ is thecorresponding undirected graph; then if G¯ is 31 2 k-connected; either G has k disjoint non-zero cycles or it has a vertex set Q of order at most 2 k-2 such that GQ has no non-zerocycles. The bound “2 k-2” is best possible. This generalizes the results due to Thomassen(The Erdős–Pósa property for odd cycles in graphs with large connectivity; Combinatorica21 (2001) 321–333.); Rautenbach and Reed (The Erdős–Pósa property for odd cycles in …,Journal of Combinatorial Theory; Series B,2006,30
Path factors in cubic graphs,Ken‐ichi Kawarabayashi; Haruhide Matsuda; Yoshiaki Oda; Katsuhiro Ota,Abstract Let ℱ be a set of connected graphs. An ℱ-factor of a graph is its spanning subgraphsuch that each component is isomorphic to one of the members in ℱ. Let P k denote the pathof order k. Akiyama and Kano have conjectured that every 3-connected cubic graph of orderdivisible by 3 has a {P 3}-factor. Recently; Kaneko gave a necessary and sufficient conditionfor a graph to have a {P 3; P 4; P 5}-factor. As a corollary; he proved that every cubic graphhas a {P 3; P 4; P 5}-factor. In this paper; we prove that every 2-connected cubic graph oforder at least six has a {P k∣ k≥; 6}-factor; and hence has a {P 3; P 4}-factor.© 2002 WileyPeriodicals; Inc. J Graph Theory 39: 188–193; 2002; DOI 10.1002/jgt. 10022,Journal of Graph Theory,2002,30
Contractible edges and triangles in k-connected graphs,Ken-ichi Kawarabayashi,Abstract It is proved that if G is a k-connected graph which does not contain K− 4; then G hasan edge e or a triangle T such that the graph obtained from G by connecting e or bycontracting T is still k-connected. By using this theorem; we prove some theorems which aregeneralizations of earlier work. In addition; we give a condition for a k-connected graph tohave a k-contractible edge; which implies two theorems proved by C. Thomassen (1981; J.Graph Theory5; 351–354) and by the author (2001; Australas. J. Combin. 24; 165–168);respectively.,Journal of Combinatorial Theory; Series B,2002,29
A simpler algorithm and shorter proof for the graph minor decomposition,Ken-ichi Kawarabayashi; Paul Wollan,Abstract At the core of the Robertson-Seymour theory of graph minors lies a powerfuldecomposition theorem which captures; for any fixed graph H; the common structuralfeatures of all the graphs which do not contain H as a minor. Robertson and Seymour usedthis result to prove Wagner's Conjecture that finite graphs are well-quasi-ordered under thegraph minor relation; as well as give a polynomial time algorithm for the disjoint pathsproblem when the number of the terminals is fixed. The theorem has since found numerousapplications; both in graph theory and theoretical computer science. The original proof runsmore than 400 pages and the techniques used are highly non-trivial. In this paper; we give asimplified algorithm for finding the decomposition based on a new constructive proof of thedecomposition theorem for graphs excluding a fixed minor H. The new proof is both …,Proceedings of the forty-third annual ACM symposium on Theory of computing,2011,28
Immersing small complete graphs,Matt DeVoss; Ken-ichi Kawarabayashi; Bojan Mohar; Haruko Okamura,Abstract Following in the spirit of the Hadwiger and Hajós conjectures; Abu-Khzam andLangston have conjectured that every k-chromatic graph contains an immersion of K k. Theyproved this for k≤ 4. Much before that; Lescure and Meyniel [F. Lescure and H. Meyniel; Ona problem upon configurations contained in graphs with given chromatic number; Graphtheory in memory of GA Dirac (Sandbjerg; 1985); 325− 331; Ann. Discrete Math. 41; North-Holland; Amsterdam; 1989] obtained a stronger result that included also the values k= 5 and6; by proving that every simple graph of minimum degree k− 1 contains an immersion of K k.They noted that they also have a proof of the same result for k= 7 but have not published itdue to the length of the proof. We give a simple proof of this result. This; in particular; provesthe conjecture of Abu-Khzam and Langston for every k≤ 7.,Ars Mathematica Contemporanea,2010,27
An (almost) linear time algorithm for odd cycles transversal,Ken-ichi Kawarabayashi; Bruce Reed,Abstract We consider the following problem; which is called the odd cycles transversalproblem. Input: A graph G and an integer k. Output: A vertex set X∊ V (G) with| X|≤ k suchthat G–X is bipartite. We present an O (m α (m; n)) time algorithm for this problem for anyfixed k; where n; m are the number of vertices and the number of edges; respectively; andthe function α (m; n) is the inverse of the Ackermann function (see by Tarjan [38]). Thisimproves the time complexity of the algorithm by Reed; Smith and Vetta [29] who gave an O(nm) time algorithm for this problem. Our algorithm also implies the edge version of theproblem; ie; there is an edge set X′∊ E (G) such that G–X′ is bipartite. Using thisalgorithm and the recent result in [16]; we give an O (m α (m; n)+ n log n) algorithm for thefollowing problem for any fixed k: Input: A graph G and an integer k. Output: Determine …,*,2010,27
