The SAP HANA Database–An Architecture Overview,Franz Färber; Norman May; Wolfgang Lehner; Philipp Große; Ingo Müller; Hannes Rauhe; Jonathan Dees,Abstract Requirements of enterprise applications have become much more demanding.They require the computation of complex reports on transactional data while thousands ofusers may read or update records of the same data. The goal of the SAP HANA database isthe integration of transactional and analytical workload within the same databasemanagement system. To achieve this; a columnar engine exploits modern hardware(multiple CPU cores; large main memory; and caches); compression of database content;maximum parallelization in the database kernel; and database extensions required byenterprise applications; eg; specialized data structures for hierarchies or support for domainspecific languages. In this paper we highlight the architectural concepts employed in theSAP HANA database. We also report on insights gathered with the SAP HANA database …,Data Engineering Bulletin,2012,191
Scaling up concurrent main-memory column-store scans: towards adaptive NUMA-aware data and task placement,Iraklis Psaroudakis; Tobias Scheuer; Norman May; Abdelkader Sellami; Anastasia Ailamaki,Abstract Main-memory column-stores are called to efficiently use modern non-uniformmemory access (NUMA) architectures to service concurrent clients on big data. The efficientusage of NUMA architectures depends on the data placement and scheduling strategy of thecolumn-store. Most column-stores choose a static strategy that involves partitioning all dataacross the NUMA architecture; and employing a stealing-based task scheduler. In thispaper; we implement different strategies for data placement and task scheduling for the caseof concurrent scans. We compare these strategies with an extensive sensitivity analysis. Ourmost significant findings include that unnecessary partitioning can hurt throughput by up to70%; and that stealing memory-intensive tasks can hurt throughput by up to 58%. Based onour analysis; we envision a design that adapts the data placement and task scheduling …,Proceedings of the VLDB Endowment,2015,20
Unnesting scalar SQL queries in the presence of disjunction,Matthias Brantner; Norman May; Guido Moerkotte,Optimizing nested queries is an intricate problem. It becomes even harder if in a nestedquery the linking predicate or the correlation predicate occurs disjunctively. We present thefirst unnesting strategy that can effectively deal with such queries. The starting point of ourapproach is to translate SQL into the relational algebra extended by bypass operators. Thenwe present for the first time unnesting equivalences which are valid for algebraicexpressions containing bypass operators. Applying these to the translated queries results inour effective unnesting strategy for nested SQL queries with disjunction. With an extensiveexperimental study (including three commercial DBMSs); we demonstrate the possibleperformance gains of our approach.,Data Engineering; 2007. ICDE 2007. IEEE 23rd International Conference on,2007,18
SQLScript: Efficiently Analyzing Big Enterprise Data in SAP HANA,Carsten Binnig; Norman May; Tobias Mindnich,Abstract: Today; not only Internet companies such as Google; Facebook or Twitter do haveBig Data but also Enterprise Information Systems store an ever growing amount of data(called Big Enterprise Data in this paper). In aclassical SAP system landscape acentral datawarehouse (SAP BW) is used to integrate and analyze all enterprise data. In SAP BW mostof the business logic required for complex analytical tasks (eg; acomplexcurrencyconversion) is implemented in the application layer on top of astandardrelational database. While being independent from the underlying database when usingsuch an architecture; this architecture has twomajor drawbacks when analyzing BigEnterprise Data:(1) algorithms in ABAP do not scale with the amount of data and (2) datashipping is required. To this end; we present anovel programming language called …,15. GI-Fachtagung Datenbanksysteme für Business; Technologie und Web,2013,17
Index vs. navigation in XPath evaluation,Norman May; Matthias Brantner; Alexander Böhm; Carl-Christian Kanne; Guido Moerkotte,Abstract A well-known rule of thumb claims; it is better to scan than to use an index whenmore than 10% of the data are accessed. This rule was formulated for relational databases.But is it still valid for XML queries? In this paper we develop similar rules of thumb for XMLqueries by experimentally comparing different execution strategies; eg using navigation orindices. These rules can be used immediately for heuristic optimization of XML queries; andin the long run; they may serve as a foundation for cost-based query optimization in XQuery.,International XML Database Symposium,2006,17
Scaling up mixed workloads: a battle of data freshness; flexibility; and scheduling,Iraklis Psaroudakis; Florian Wolf; Norman May; Thomas Neumann; Alexander Böhm; Anastasia Ailamaki; Kai-Uwe Sattler,Abstract The common “one size does not fit all” paradigm isolates transactional andanalytical workloads into separate; specialized database systems. Operational data isperiodically replicated to a data warehouse for analytics. Competitiveness of enterprisestoday; however; depends on real-time reporting on operational data; necessitating anintegration of transactional and analytical processing in a single database system. Themixed workload should be able to query and modify common data in a shared schema. Thedatabase needs to provide performance guarantees for transactional workloads; and; at thesame time; efficiently evaluate complex analytical queries. In this paper; we share ouranalysis of the performance of two main-memory databases that support mixed workloads;SAP HANA and HyPer; while evaluating the mixed workload CH-benCHmark. By …,Technology Conference on Performance Evaluation and Benchmarking,2014,16
Tpc-bih: A benchmark for bitemporal databases,Martin Kaufmann; Peter M Fischer; Norman May; Andreas Tonder; Donald Kossmann,Abstract An increasing number of applications such as risk evaluation in banking orinventory management require support for temporal data. After more than a decade ofstandstill; the recent adoption of some bitemporal features in SQL: 2011 has reinvigoratedthe support among commercial database vendors; who incorporate an increasing number ofrelevant bitemporal features. Naturally; assessing the performance and scalability oftemporal data storage and operations is of great concern for potential users. The cost ofkeeping and querying history with novel operations (such as time travel; temporal joins ortemporal aggregations) is not adequately reflected in any existing benchmark. In this paper;we present a benchmark proposal which provides comprehensive coverage of thebitemporal data management. It builds on the solid foundations of TPC-H but extends it …,Technology Conference on Performance Evaluation and Benchmarking,2013,16
Composing services for third-party service delivery,Ingo Weber; Alistair Barros; Norman May; Jörg Hoffmann; Tomasz Kaczmarek,This paper proposes a model-based technique for lowering the entrance barrier for serviceproviders to register services with a marketplace broker; such that the service is rapidlyconfigured to utilize the broker's local service delivery management components.Specifically; it uses process modeling for supporting the execution steps of a service andshows how service delivery functions (eg payment points)“local” to a service broker can becorrectly configured into the process model. By formalizing the different operations in aservice delivery function (like payment or settlement) and their allowable executionsequences (full payments must follow partial payments); including cross-functiondependencies; it shows how through tool support; the non-technical user can quicklyconfigure service delivery functions in a consistent and complete way.,Web Services; 2009. ICWS 2009. IEEE International Conference on,2009,12
Exploiting ordered dictionaries to efficiently construct histograms with q-error guarantees in SAP HANA,Guido Moerkotte; David DeHaan; Norman May; Anisoara Nica; Alexander Boehm,Abstract Histograms that guarantee a maximum multiplicative error (q-error) for estimatesmay significantly improve the plan quality of query optimizers. However; the constructiontime for histograms with maximum q-error was too high for practical use cases. In this paperwe extend this concept with a threshold; ie; an estimate or true cardinality θ; below which wedo not care about the q-error because we still expect optimal plans. This allows us todevelop far more efficient construction algorithms for histograms with bounded error. Thetest for θ; q-acceptability developed also exploits the order-preserving dictionary encoding ofSAP HANA. We have integrated this family of histograms into SAP HANA; and we report onthe construction time; histograms size; and estimation errors on real-world data sets. Invirtually all cases the histograms can be constructed in far less than one second …,Proceedings of the 2014 ACM SIGMOD international conference on Management of data,2014,11
Main Memory Implementations for Binary Grouping,Norman May; Guido Moerkotte,Abstract An increasing number of applications depend on efficient storage and analysisfeatures for XML data. Hence; query optimization and efficient evaluation techniques for theemerging XQuery standard become more and more important. Many XQuery queries requirenested expressions. Unnesting them often introduces binary grouping. We introduce severalalgorithms implementing binary grouping and analyze their time and space complexity.Experiments demonstrate their performance.,technical report,2005,11
Three cases for query decorrelation in XQuery,Norman May; Sven Helmer; Guido Moerkotte,Abstract We present algebraic equivalences that allow to unnest nested algebraicexpressions for order-preserving algebraic operators. We illustrate how these equivalencescan be applied successfully to unnest nested queries given in the XQuery language.Measurements illustrate the performance gains possible our approach.,International XML Database Symposium,2003,11
Parallel execution of parsed query based on a concurrency level corresponding to an average number of available worker threads,*,Systems and method for a task scheduler with dynamic adjustment of concurrency levelsand task granularity are disclosed for improved execution of highly concurrent analytical andtransactional systems. The task scheduler can avoid both over commitment andunderutilization of computing resources by monitoring and controlling the number of activeworker threads. The number of active worker threads can be adapted to avoidunderutilization of computing resources by giving the OS control of additional worker threadsprocessing blocked application tasks. The task scheduler can dynamically determine anumber of parallel operations for a particular task based on the number of available threads.The number of available worker threads can be determined based on the averageavailability of worker threads in the recent history of the application. Based on the number …,*,2016,9
Extending database task schedulers for multi-threaded application code,Florian Wolf; Iraklis Psaroudakis; Norman May; Anastasia Ailamaki; Kai-Uwe Sattler,Abstract Modern databases can run application logic defined in stored procedures inside thedatabase server to improve application speed. The SQL standard specifies how to callexternal stored routines implemented in programming languages; such as C; C++; or JAVA;to complement declarative SQL-based application logic. This is beneficial for scientific andanalytical algorithms because they are usually too complex to be implemented entirely inSQL. At the same time; database applications like matrix calculations or data miningalgorithms benefit from multi-threading to parallelize compute-intensive operations. Multi-threaded application code; however; introduces a resource competition between the threadsof applications and the threads of the database task scheduler. In this paper; we show thatmulti-threaded application code can render the database's workload scheduling …,Proceedings of the 27th International Conference on Scientific and Statistical Database Management,2015,9
Bi-temporal timeline index: A data structure for processing queries on bi-temporal data,Martin Kaufmann; Peter M Fischer; Norman May; Chang Ge; Anil K Goel; Donald Kossmann,Following the adoption of basic temporal features in the SQL: 2011 standard; there has beena tremendous interest within the database industry in supporting bi-temporal features; as asignificant number of real-life workloads would greatly benefit from efficient temporaloperations. However; current implementations of bi-temporal storage systems and operatorsare far from optimal. In this paper; we present the Bi-temporal Timeline Index; whichsupports a broad range of temporal operators and exploits the special properties of an in-memory column store database system. Comprehensive performance experiments with theTPC-BiH benchmark show that algorithms based on the Bi-temporal Timeline Indexoutperform significantly both existing commercial database systems and state-of-the-art datastructures from research.,Data Engineering (ICDE); 2015 IEEE 31st International Conference on,2015,9
Benchmarking Bitemporal Database Systems: Ready for the Future or Stuck in the Past?,Martin Kaufmann; Peter M Fischer; Norman May; Donald Kossmann,ABSTRACT After more than a decade of a virtual standstill; the adoption of temporal datamanagement features has recently picked up speed; driven by customer demand and theinclusion of temporal expressions into SQL: 2011. Most of the big commercial DBMS nowinclude support for bitemporal data and operators. In this paper; we perform a thoroughanalysis of these commercial temporal DBMS: We investigate their architecture; determinetheir performance and study the impact of performance tuning. This analysis utilizes ourrecent (TPCTC 2013) benchmark proposal; which includes a comprehensive temporalworkload definition. The results of our analysis show that the support for temporal data is stillin its infancy: All systems store their data in regular; statically partitioned tables and rely onstandard indexes as well as query rewrites for their operations. As shown by our …,EDBT,2014,9
Distributed snapshot isolation: global transactions pay globally; local transactions pay locally,Carsten Binnig; Stefan Hildenbrand; Franz Färber; Donald Kossmann; Juchang Lee; Norman May,Abstract Modern database systems employ Snapshot Isolation to implement concurrencycontrol and isolationbecause it promises superior query performance compared to lock-based alternatives. Furthermore; Snapshot Isolation never blocks readers; which is animportant property for modern information systems; which have mixed workloads of heavyOLAP queries and short update transactions. This paper revisits the problem ofimplementing Snapshot Isolation in a distributed database system and makes threeimportant contributions. First; a complete definition of Distributed Snapshot Isolation is given;thereby extending existing definitions from the literature. Based on this definition; a set ofcriteria is proposed to efficiently implement Snapshot Isolation in a distributed system.Second; the design space of alternative methods to implement Distributed Snapshot …,The VLDB Journal,2014,8
DeltaNI: An efficient labeling scheme for versioned hierarchical data,Jan Finis; Robert Brunel; Alfons Kemper; Thomas Neumann; Franz Färber; Norman May,Abstract Main-memory database systems are emerging as the new backbone of businessapplications. Besides flat relational data representations also hierarchical ones are essentialfor these modern applications; therefore we devise a new indexing and versioning approachfor hierarchies that is deeply integrated into the relational kernel. We propose the DeltaNIindex as a versioned pendant of the nested intervals (NI) labeling scheme. The index isspace-and time-efficient and yields a gapless; fixed-size integer NI labeling for each versionwhile also supporting branching histories. In contrast to a naive NI labeling; it facilitates evencomplex updates of the tree structure. As many query processing techniques that work ontop of the NI labeling have already been proposed; our index can be used as a buildingblock for processing various kinds of queries. We evaluate the performance of the index …,Proceedings of the 2013 ACM SIGMOD International Conference on Management of Data,2013,8
Execution-level process modeling,*,A system includes a semantic process validator that includes a state construction componentthat is configured to collect state information for an instance of a process model; a parallelitychecker that is configured to determine a set of one or more process tasks within theinstance of the process model that may be executed in parallel to a selected task; and avalidation coordinator that is configured to coordinate requests to the state constructioncomponent and to the parallelity checker. The system includes a process modeling tool thatincludes a goal creator that is configured to construct a constraint set for the selected taskusing the set of process tasks; where the selected task has a goal. The system includes atask composer that is configured to find one or more services to fulfill the goal for theselected task using the constraint set.,*,2009,8
System and method of performing snapshot isolation in distributed databases,*,A system and method of performing snapshot isolation in distributed databases. Each nodestores local snapshot information that enforces snapshot isolation for that node. The methodincludes partially processing a distributed transaction by a first node; receiving a globalcommit identifier from a coordinator; and continuing to process the distributed transaction; bythe first node and a second node; in accordance with the global commit identifier.,*,2015,7
SAP HANA–From Relational OLAP Database to Big Data Infrastructure,Norman May; Wolfgang Lehner; Shahul Hameed; Nitesh Maheshwari; Carsten Müller; Sudipto Chowdhuri; Anil Goel,ABSTRACT SAP HANA started as one of the best-performing database engines for OLAPworkloads strictly pursuing a main-memory centric architecture and exploiting hardwaredevelopments like large number of cores and main memories in the TByte range. Within thispaper; we outline the steps from a traditional relational database engine to a Big Datainfrastructure comprising different methods to handle data of different volume; coming in withdifferent velocity; and showing a fairly large degree of variety. In order to make thepresentation of this transformation process more tangible; we discuss two major technicaltopics–HANA native integration points as well as extension points for collaboration withHadoop-based data management infrastructures. The overall of goal of this paper is to (a)review current application patterns and resulting technical challenges as well as to (b) …,EDBT,2015,7
Benchmarking Databases with History Support,Martin Kaufmann; Peter M Fischer; Norman May; Donald Kossmann,An increasing number of applications such as risk evaluation in banking or inventorymanagement require support for temporal data. After more than a decade of standstill; therecent adoption of some bitemporal features in SQL: 2011 has reinvigorated the supportamong commercial database vendors; who incorporate an increasing number of relevantbitemporal features. Naturally; assessing the performance and scalability of temporal datastorage and operations is of great concern for potential users. The cost of keeping andquerying history with novel operations (such as time travel; temporal joins or temporalaggregations) is not adequately reflected in any existing benchmark. In this paper; wepresent a benchmark proposal which provides comprehensive coverage of the bitemporaldata management. It builds on the solid foundations of TPC-H but extends it with a rich set …,*,2013,7
Towards an automated gap analysis for e-Service portfolios,Norman May; Ulrich Scholten; Robin Fischer,Intermediaries for e-services continuously gain momentum; powered by a materializingInternet of Services. However; quality of service still exhibits considerable shortcomings; asno structured process to enhance consumer satisfaction is available yet. To improve thematch of delivered e-service quality and expected service quality on the consumer side; wedevelop a portfolio optimization process that integrates both; the consumer's as well as theintermediary's perspective. First; we introduce a toolkit for an e-service oriented gapanalysis. Thereupon; we identify monitoring points to measure service quality gapsautomatically. A subsequent aggregation of measured data into customized feedbackinformation allows for applying the toolkit to continuously optimize e-service portfolios.Instantiated in the AGORA e-service market; we conclude with a report on our recent …,Services Computing (SCC); 2011 IEEE International Conference on,2011,7
Unified Service Description Language (USDL)—Service Module,Alistair Barros; Christian Baumann; Anis Charfi; Matthias Flügge; Steffen Heinzl; Tom Kiemes; Uwe Kylau; Florian Marienfeld; Norman May; Oliver Müller; Francesco Novelli; Daniel Oberle; Jonas Pattberg; Philip Robinson; Benjamin Schmeling; Wolfgang Theilmann; Heiko Witteborg; Jan Finzen; Andrea Horch; Maximilien Kintz,*,SAP Research; SAP Research,2011,7
Quantifiers in XQuery,Norman May; Sven Helmer; Guido Moerkotte,We present algebraic equivalences that allow to unnest nested algebraic expressionscontaining quantifiers for order-preserving algebraic operators. We illustrate how theseequivalences can be applied successfully to unnest nested queries formulated in XQuery.Measurements illustrate the performance gains possible by unnesting.,WISE,2003,7
Patterns for emerging application integration scenarios: A survey,Daniel Ritter; Norman May; Stefanie Rinderle-Ma,Abstract The discipline of enterprise application integration (EAI) enables the decoupledcommunication between (business) applications; and thus became a cornerstone of today'sIT architectures. In 2004; the book by Hohpe and Woolf on Enterprise Integration Patterns(EIP) provided a fundamental collection of messaging patterns; denoting the building blocksof many EAI system implementations. Since then; multiple new trends and a broad range ofnew application scenarios have emerged; eg; cloud and mobile computing; multimediastreams. These developments ultimately lead to conceptual changes and challenges suchas larger data volumes (ie; message sizes); a growing number of messages (ie; velocity)and communication partners; and even more diverse message formats (ie; variety).However; the research since 2004 focused on isolated EAI solutions; and thus a broader …,*,2017,6
Adaptive NUMA-aware data placement and task scheduling for analytical workloads in main-memory column-stores,Iraklis Psaroudakis; Tobias Scheuer; Norman May; Abdelkader Sellami; Anastasia Ailamaki,Abstract Non-uniform memory access (NUMA) architectures pose numerous performancechallenges for main-memory column-stores in scaling up analytics on modern multi-socketmulti-core servers. A NUMA-aware execution engine needs a strategy for data placementand task scheduling that prefers fast local memory accesses over remote memory accesses;and avoids an imbalance of resource utilization; both CPU and memory bandwidth; acrosssockets. State-of-the-art systems typically use a static strategy that always partitions dataacross sockets; and always allows inter-socket task stealing. In this paper; we show thatadapting data placement and task stealing to the workload can improve throughput by up toa factor of 4 compared to a static approach. We focus on highly concurrent workloadsdominated by operators working on a single table or table group (copartitioned tables) …,Proceedings of the VLDB Endowment,2016,6
Benchmarking integration pattern implementations,Daniel Ritter; Norman May; Kai Sachs; Stefanie Rinderle-Ma,The integration of a growing number of distributed; heterogeneous applications is one of themain challenges of enterprise data management. Through the advent of cloud and mobileapplication integration; higher volumes of messages have to be processed; compared tocommon enterprise computing scenarios; while guaranteeing high throughput. However; noprevious study has analyzed the impact on message throughput for Enterprise IntegrationPatterns (EIPs)(eg; channel creation; routing and transformation). Acknowledging this void;we propose EIPBench; a comprehensive micro-benchmark design for evaluating themessage throughput of frequently implemented EIPs and message delivery semantics inproductive cloud scenarios. For that; these scenarios are collected and described in aprocess-driven; TPC-C-like taxonomy; from which the most relevant patterns; message …,*,2016,6
Supporting Hierarchical Data in SAP HANA,Robert Brunel; Jan Finis; Gerald Franz; Norman May; Alfons Kemper; Thomas Neumann; Franz Faerber,Managing hierarchies is an ever-recurring challenge for relational database systems.Through investigations of customer scenarios at SAP we found that today's RDBMSs stillleave a lot to be desired in order to meet the requirements of typical applications. Ourresearch puts a new twist on handling hierarchies in SQL-based systems. We present anapproach for modeling hierarchical data natively; and we extend the SQL language withexpressive constructs for creating; manipulating; and querying a hierarchy. The constructscan be evaluated efficiently by leveraging existing indexing and query processingtechniques. We demonstrate the feasibility of our concepts with initial measurements on aHANA-based prototype.,PVLDB,2015,6
Information gathering for semantic service discovery and composition in business process modeling,Norman May; Ingo Weber,Abstract When creating an execution-level process model today; two crucial problems arehow to find the right services (service discovery and composition); and how to make surethey are in the right order (semantic process validation). While isolated solutions for bothproblems exist; a unified approach has not yet been available. Our approach resolves thisshortcoming by gathering all existing information in the process; thus making the basis ofsemantic service discovery and task composition both broader and more targeted. Therebywe achieve the following benefits:(i) less modeling overhead for semantic annotations to theprocess;(ii) more information regarding the applicability of services; and (iii) early avoidanceof inconsistencies in the interrelation between all process parts. Consequently; new orchanged business processes can be realized in IT more efficiently and with fewer errors …,*,2008,6
Advanced Analytics with the SAP HANA Database,Philipp Große; Wolfgang Lehner; Norman May,Abstract: MapReduce as a programming paradigm provides a simple-to-use yet verypowerful abstraction encapsulated in two second-order functions: Map and Reduce. Assuch; they allow defining single sequentially processed tasks while at the same time hidingmany of the framework details about how those tasks are parallelized and scaled out. In thispaper we discuss four processing patterns in the context of the distributed SAP HANAdatabase that go beyond the classic MapReduce paradigm. We illustrate them using sometypical Machine Learning algorithms and present experimental results that demonstrate howthe data flows scale out with the number of parallel tasks.,DATA,2013,5
A Generic Database Benchmarking Service,Martin Kaufmann; Peter M Fischer; Donald Kossmann; Norman May,Benchmarks are widely applied for the development and optimization of database systems.Standard benchmarks such as TPC-C and TPC-H provide a way of comparing theperformance of different systems. In addition; micro benchmarks can be exploited to test aspecific behavior of a system. Yet; despite all the benefits that can be derived frombenchmark results; the effort of implementing and executing benchmarks remainsprohibitive: Database systems need to be set up; a large number of artifacts such as datagenerators and queries need to be managed and complex; time-consuming operations haveto be orchestrated. In this demo; we introduce a generic benchmarking service thatcombines a rich meta model; low marginal cost and ease of use; which drastically reducesthe time and cost to define; adapt and run a benchmark.,IEEE 29th International Conference on Data Engienering (ICDE),2013,5
Supply Chain Control building on Emergent Self-Organizing Effects,Ulrich Scholten; Robin Fischer; Dimitar Bojkov; Norman May,Abstract This paper sheds light on control mechanisms to improve and automate servicequality respectively service portfolio management in platform ecosystems. Its focus is placedon e-service value networks as found in platforms such as the Apple App Store; Facebook;Salesforce or SAP ByD. The paper differentiates between direct and indirect controlmechanisms and explains how they can be embedded within feedback controlled systems.Informative and Motivational Control mechanisms act on the macro level; indirectlyinfluencing a whole system or subsystem towards a specific target. Sanctional andRestrictive Control in conjunction with Co-Regulative Control act on the micro level anddirectly influence specific services. Market Regulative Control indirectly influences specificservices. The paper suggests and formalizes possible sequences to implement control …,Supply Management Research,2011,5
Methods and systems for one dimensional heterogeneous histograms,*,A method and system to generate cardinality estimates for at least one query execution planfor a query using a histogram; the cardinality estimation being constrained by a q-error thatis a factor by which the estimate deviates; at most; from a true value of the cardinality and athreshold value which the cardinality does not exceed; use the cardinality estimation todetermine an optimal query plan for executing the query; and produce an output of theoptimal query plan.,*,2015,4
Indexing highly dynamic hierarchical data,Jan Finis; Robert Brunel; Alfons Kemper; Thomas Neumann; Norman May; Franz Faerber,Abstract Maintaining and querying hierarchical data in a relational database system is animportant task in many business applications. This task is especially challenging whenconsidering dynamic use cases with a high rate of complex; possibly skewed structuralupdates. Labeling schemes are widely considered the indexing technique of choice forhierarchical data; and many different schemes have been proposed. However; they cannothandle dynamic use cases well due to various problems which we investigate in this paper.We therefore propose our dynamic Order Indexes; which offer competitive queryperformance; unprecedented update efficiency; and robustness for highly dynamicworkloads.,Proceedings of the VLDB Endowment,2015,4
