Model minority at risk: Expressed needs of mental health by Asian American young adults,Sunmin Lee; Hee-Soon Juon; Genevieve Martinez; Chiehwen E Hsu; E Stephanie Robinson; Julie Bawa; Grace X Ma,Abstract The objective of this study is to obtain and discuss in-depth information on mentalhealth problems; including the status; barriers; and potential solutions in 1.5 and 2ndgeneration Asian American young adults. As a part of the Health Needs Assessment project;the researchers conducted two focus groups with 17 young adults (mainly 1.5 or 2ndgeneration) from eight Asian American communities (Asian Indian; Cambodian; Chinese;Indonesian; Korean; Taiwanese; Thai; and Vietnamese) in Montgomery County; Maryland.We developed a moderator's guide with open-ended questions and used it to collectqualitative data. Using a software; we organized and identified emergent themes by majorcategories. Participants reported a several common sources of stress that affect the mentalhealth of Asian American young adults including: pressure to meet parental expectations …,Journal of community health,2009,160
Assessing the readiness and training needs of non-urban physicians in public health emergency and response,Chiehwen Ed Hsu; Francisco Soto Mas; Holly Jacobson; Richard Papenfuss; Ella T Nkhoma; James Zoretic,Emergency readiness has become a public health priority for United States communitiesafter the 9/11 attacks. Communities that have a less developed public health infrastructureare challenged to organize preparedness and response efforts and to ensure that healthcare providers are capable of caring for victims of terrorist acts. A survey was used to assessnon-urban physicians' prior experience with and self-confidence in treating; and preferredtraining needs for responding to chemical; biologic; radiologic; nuclear; and explosive(CBRNE) cases. Data were collected through a mailed and Web-based survey. Although theresponse rate was calculated at 30%; approximately one third of the surveys were not ableto be delivered. Most respondents reported never having seen or treated CBRNE-inflictedcases and were not confident in their ability to diagnose or treat CBRNE cases; but many …,International Journal of Trauma Nursing,2005,27
Public health preparedness of health providers: meeting the needs of diverse; rural communities.,Chiehwen Ed Hsu; Francisco Soto Mas; Holly E Jacobson; Ann Marie Harris; Victoria I Hunt; Ella T Nkhoma,Abstract Meeting the needs of public health emergency and response presents a uniquechallenge for health practitioners with primary responsibilities for rural communities that areoften very diverse. The present study assessed the language capabilities; confidence andtraining needs of Texas rural physicians in responding to public health emergencies. In thefirst half of year 2004; a cross-sectional; semistructured survey questionnaire wasadministered in northern; rural Texas. The study population consisted of 841 practicing orretired physicians in the targeted area. One-hundred-sixty-six physicians (30%) respondedto the survey. The responses were geographically referenced in maps. Respondentsreported seeing patients with diverse cultural backgrounds. They communicated in 16different languages other than English in clinical practice or at home; with 40% speaking …,Journal of the National Medical Association,2006,25
Assessing the needs and guiding the future: Findings from the health needs assessment in 13 Asian American communities of Maryland in the United States,Sunmin Lee; Grace X Ma; Hee-Soon Juon; Genevieve Martinez; Chiehwen E Hsu; Julie Bawa,Abstract There is lack of in depth data on health needs of diverse Asian Americancommunities. We conducted 19 focus groups in 13 Asian American communities inMaryland in 2007. We developed a moderator's guide to collect qualitative data on healthneeds from 174 participants; and used MAX QDA to analyze data and code emergentthemes. Cardiovascular disease related conditions; diabetes; and mental health were thetop three health concerns. Weight concerns; cancer; arthritis; smoking; osteoporosis; andhepatitis B followed next. Many participants were not receiving preventive health servicesuch as cancer screening due to a lack of access to health care or lack of awareness ofpreventive care. Additionally; under-represented communities lacked adequate healthresources and advocacy; potentially due to a relatively shorter history of immigration and …,Journal of immigrant and minority health,2011,20
Molecular evidence shows low species diversity of coral-associated hydroids in Acropora corals,Silvia Fontana; Shashank Keshavmurthy; Hernyi Justin Hsieh; Vianney Denis; Chao-Yang Kuo; Chia-Ming Hsu; Julia KL Leung; Wan-Sen Tsai; Carden C Wallace; Chaolun Allen Chen,A novel symbiosis between scleractinians and hydroids (Zanclea spp.) was recentlydiscovered using taxonomic approaches for hydroid species identification. In this study; weaddress the question whether this is a species-specific symbiosis or a cosmopolitanassociation between Zanclea and its coral hosts. Three molecular markers; includingmitochondrial 16S and nuclear 28S ribosomal genes; and internal transcribed spacer (ITS);were utilized to examine the existence of Zanclea species from 14 Acropora species and 4other Acroporidae genera including 142 coral samples collected from reefs in Kenting andthe Penghu Islands; Taiwan; Togian Island; Indonesia; and Osprey Reef and Orpheus Islandon the Great Barrier Reef; Australia. Molecular phylogenetic analyses of the 16S and 28Sgenes showed that Acropora-associated Zanclea was monophyletic; but the genus …,PLoS One,2012,18
Evaluation of a tele-education programme in Brazil,Ashish Joshi; Magdala A Novaes; Sriram Iyengar; Josiane L Machiavelli; Jiajie Zhang; Robert Vogler; Chiehwen E Hsu,We evaluated a tele-education programme for primary care staff in Pernambuco State;Brazil. During 2008 and 2009; tele-education sessions occurred four times each week forone hour per day. The topics included public health; child and adolescent health; mentalhealth and nursing. After each session; participants completed an evaluation questionnaire.A total of 73 municipalities and 141 health centres participated in the programme. Therewere 254 tele-education sessions scheduled during the 20-month study period; of these;224 sessions were successfully performed and 30 were cancelled. We collected 3504responses from the satisfaction survey. There was high acceptance of the programme: 97%rated it as excellent or good.,Journal of telemedicine and telecare,2011,17
A spatial-temporal approach to surveillance of prostate cancer disparities in population subgroups.,Chiehwen Ed Hsu; Francisco Soto Mas; Jerry A Miller; Ella T Nkhoma,BACKGROUND: Prostate cancer mortality disparities exist among racial/ethnic groups in theUnited States; yet few studies have explored the spatiotemporal trend of the disease burden.To better understand mortality disparities by geographic regions over time; the present studyanalyzed the geographic variations of prostate cancer mortality by three Texas racial/ethnicgroups over a 22-year period. METHODS: The Spatial Scan Statistic developed by Kulldorffet al was used. Excess mortality was detected using scan windows of 50% and 90% of thestudy period and a spatial cluster size of 50% of the population at risk. Time trend wasanalyzed to examine the potential temporal effects of clustering. Spatial queries were usedto identify regions with multiple racial/ethnic groups having excess mortality. RESULTS: Themost likely area of excess mortality for blacks occurred in Dallas-Metroplex and upper …,Journal of the National Medical Association,2007,16
Original Data,Tuan D Le; Sejong Bae; Chiehwen Ed Hsu; Karan P Singh; Steven N Blair; Ning Shang,BACKGROUND: Cardiorespiratory fitness (CRF) and physical activity (PA) are inverselyrelated to the occurrence of type 2 diabetes (T2D). Both play an important role in reducingserum ferritin (SF) concentration. Increased SF concentration is considered a contributingfactor for developing T2D. METHODS: The present cohort study investigated 5;512 adultparticipants enrolled in the Aerobics Center Longitudinal Study (ACLS) between 1995 and2001. The subjects completed a comprehensive medical examination and a SF evaluation;and had been followed up until either diabetes onset; death; or the cut-off date of November2007. Three CRF levels were categorized. SF quartile levels were defined by gender andmenopausal status. The incidence of T2D was calculated for 10;000 person-years; andhazard ratios (HR) were computed to predict the incidence of T2D based on SF quartiles …,Rev Diabet Stud,2008,15
Surveillance of the Colorectal Cancer Disparities Among Demographic Subgroups-A Spatial Analysis,Chiehwen Ed Hsu; Francisco Soto Mas; Jessica Hickey; Jerry A Miller; Dejian Lai,To understand the extent of the demographic and geographic disparities; the present studyexamined colorectal cancer mortality in 15 demographic groups in Texas counties between1990 and 2001. The study confirmed the excess mortality in some Texas counties found inthe literature; identified 13 additional excess mortality regions; and found 4 health regionswith persistent excess mortality involving several population subgroups. The studysuggested that Health disparities of colorectal cancer mortality continue to exist in Texasdemographic subpopulations. Health education and intervention programs should bedirected to the at-risk sub-populations in the identified regions.,*,2006,14
A review of the Adoption of Just-In-Time method and its effect on efficiency,Hassan Younies; Belal Barhem; C Ed Hsu,Abstract The just-in-time (JIT) process has been around for many years; and it hassuccessfully been implemented by many Japanese companies. Some companies in theUnited States (US) presently use JIT ideas and techniques in their operations. JIT is more ofa philosophy than an actual process. The JIT philosophy emphasizes the performance ofactivities based on immediate need or demand. JIT has primarily been used in themanufacturing area; but it may also be broadly viewed as a procedure for helpingcompanies manage and reduce their total processing times. This paper will discuss the JITprocess mainly as it applies to the manufacturing industry. First; the applications of JITtechniques will be examined; focusing primarily on the Kanban system developed by theJapanese. Secondly; examples of several US companies using JIT procedures will be …,Public Administration and Management,2007,13
Physician assistants and bioterrorism preparedness,Francisco Soto Mas; Chiehwen Ed Hsu; Holly Jacobson; James Zoretic; Michael Felán,Despite the resources dedicated since 2001 to training health providers in emergency andbioterrorism preparedness and response; the literature on the participation of physicianassistants (PAs) is very limited. The purpose of this pilot study was to explore the traininglevel and experiences of PAs in the diagnosis and treatment of chemical; biological;radiological; nuclear; and explosive agents that could be used in a bioterrorism attack. Thestudy population consisted of licensed PAs in 37 northern Texas counties. Data werecollected through mailed and web-based surveys. Response rate was 36%. More than halfof the respondents (58.6%) had not participated in bioterrorism preparedness and responsetraining. Results also indicated that the level of training has not increased since September11; 2001. However; most respondents were receptive to the idea of participating in both …,Biosecurity and bioterrorism: biodefense strategy; practice; and science,2006,12
Correlates of tobacco cessation counseling among Hispanic physicians in the US: A cross-sectional survey study,Francisco G Soto Mas; Héctor G Balcázar; Julia Valderrama Alberola; Chiehwen Ed Hsu,Physician advice is an important motivator for attempting to stop smoking. However;physicians' lack of intervention with smokers has only modestly improved in the last decade.Although the literature includes extensive research in the area of the smoking interventionpractices of clinicians; few studies have focused on Hispanic physicians. The purpose of thisstudy was to explore the correlates of tobacco cessation counseling practices amongHispanic physicians in the US. Data were collected through a validated survey instrumentamong a cross-sectional sample of self-reported Hispanic physicians practicing in NewMexico; and who were members of the New Mexico Hispanic Medical Society in the year2001. Domains of interest included counseling practices; self-efficacy;attitudes/responsibility; and knowledge/skills. Returned surveys were analyzed to obtain …,BMC Public Health,2008,11
Examining geographic and temporal variations of AIDS mortality: evidence of racial disparities,Yu-Wen Chiu; Chiehwen Ed Hsu; Min-Qi Wang; Ella T Nkhoma,Background There is little literature on spatiotemporal trends of AIDS mortality amongdifferent race and gender groups. The purpose of the present study is to describe AIDSmortality geographically and temporally; and to determine if detected trends vary by raceand gender. Methods The Spatial Scan Statistic was employed to examine the geographicexcess of AIDS mortality by race and gender in 24 Maryland jurisdictions between 1987 and2003. Spatial analysis was conducted to identify clusters of excess mortality. The temporalscan statistic was used to explore time trends of AIDS mortality. Prospective space–timeanalysis was also conducted to verify if detected clusters persisted into the present. ResultsAmong 10;887 AIDS deaths; 77.5% occurred in African Americans. Geographic excesses ofAIDS mortality were detected in Baltimore city; and Howard; Montgomery; Anne Arundel …,Journal of the National Medical Association,2008,11
Understanding public health informatics competencies for mid-tier public health practitioners—a Web-based survey,Chiehwen Ed Hsu; Kim Dunn; Hsin-Hsuan Juo; Rick Danko; Drew Johnson; Francisco Soto Mas; Jiunn-Jye Sheu,The abstract of this article was orally presented at American Public Health AssociationAnnual Conference Health Informatics Information Technology Section in Philadelphia; PA;USA; November 2009. The literature suggests that there is a need for measuring publichealth informatics (PHI) competency to further understand whether current educationalmodules and modalities meet the needs of PHI practitioners and researchers to perform theirjobs more effectively; particularly for mid-tier practitioners that constitute the majority ofpublic health workers in the USA. The present study seeks to update current knowledge ofthe perceptions and experiences of PHI competencies proposed by the US Council onLinkage in Public Health specifically for mid-tier PH practitioners and researchers. Theresults were collected and analyzed by using a Web-based survey (WBS) method …,Health informatics journal,2012,10
A human centered GeoVisualization framework to facilitate visual exploration of telehealth data: a case study,Ashish Joshi; Magdala de Araujo Novaes; Josiane Machiavelli; Sriram Iyengar; Robert Vogler; Craig Johnson; Jiajie Zhang; E Chiehwen,Purpose: Public health data is typically organized by geospatial units. Routine geographicmonitoring of health data enables an understanding of the spatial patterns of events in termsof causes and controls. GeoVisualization (GeoVis) allows users to see information hiddenboth visually and explicitly on a map. Despite the applicability of GeoVis in public health; it isstill underused for visualizing public health data. The objective of this study is to examine theperception of telehealth users' to utilize GeoVis as a proof of concept to facilitate visualexploration of telehealth data in Brazil using principles of human centered approach andcognitive fit theory. Methods: A mixed methods approach combining qualitative andquantitative assessments was utilized in this cross sectional study conducted at theTelehealth Center of the Federal University of Pernambuco (NUTE-UFPE); Recife; Brazil …,Technology and Health Care,2012,9
Effects of cardiorespiratory fitness on serum ferritin concentration and incidence of type 2 diabetes: evidence from the Aerobics Center Longitudinal Study (ACLS),Tuan D Le; Sejong Bae; Chiehwen Ed Hsu; Karan P Singh; Steven N Blair; Ning Shang,BACKGROUND: Cardiorespiratory fitness (CRF) and physical activity (PA) are inverselyrelated to the occurrence of type 2 diabetes (T2D). Both play an important role in reducingserum ferritin (SF) concentration. Increased SF concentration is considered a contributingfactor for developing T2D. METHODS: The present cohort study investigated 5;512 adultparticipants enrolled in the Aerobics Center Longitudinal Study (ACLS) between 1995 and2001. The subjects completed a comprehensive medical examination and a SF evaluation;and had been followed up until either diabetes onset; death; or the cut-off date of November2007. Three CRF levels were categorized. SF quartile levels were defined by gender andmenopausal status. The incidence of T2D was calculated for 10;000 person-years; andhazard ratios (HR) were computed to predict the incidence of T2D based on SF quartiles …,The review of diabetic studies: RDS,2008,9
Risk communication and college students: the 2009 H1N1 pandemic influenza,Francisco Soto Mas; Arturo Olivárez; Holly E Jacobson; Chiewen Ed Hsu; Jerry Miller,The Centers for Disease Control and Prevention (CDC) estimated up to 89 million cases;403;000 hospitalizations; and 18;300 deaths related to the 2009 H1N1 influenza in theUnited States (CDC; 2010a). To prevent the spread of the virus; agencies provided guidancefor specific populations and settings; including Institutions of Higher Education (IHE).Although college students per se are not a group at higher risk for serious complicationsfrom flu; influenza-like illnesses (ILIs) are common and associated with substantial morbidity(Sobal and Loveland; 1982; Nichol et al.; 2005; Nichol et al.; 2008). Between August 2009and April 2010; the American College Health Association (ACHA) reported more than95;500 cases of ILIs at 170 institutions (ACHA; 2010).International studies with universitystudents suggested that H1N1 campaigns were effective in promoting hand hygiene …,Preventive medicine,2011,8
Adherence and medication utilisation patterns of fixed‐dose and free combination of angiotensin receptor blocker/thiazide diuretics among newly diagnosed hyperte...,C‐I Hsu; F‐Y Hsiao; F‐LL Wu; L‐J Shen,Objective The study aimed to compare the adherence and persistence among newlydiagnosed hypertensive patients using fixed-dose (FDC) and free combinations (FC) ofangiotensin receptor blocker (ARB)/thiazide diuretic using Taiwan's National HealthInsurance Research Database. Methods General linear regression and Kaplan–Meieranalyses were used to estimate the impact of FDC on adherence [measured by medicationpossession ratio (MPR)] and persistence (time from day of initiation to treatmentdiscontinuation) of ARB/thiazide diuretic. Results The adjusted MPRs were all significantlyhigher among FDC group compared with FC group (6 months: 66.55% vs. 63.86%; 1 year:52.58% vs. 46.73%; 1.5 year: 46.30% vs. 38.07%; 2 year: 42.06% vs. 32.45%; all p< 0.001).Patients received FDC therapy were less likely to discontinue their therapy [adjusted …,International journal of clinical practice,2015,7
Factors associated with the process of adaptation among Pakistani adolescent females living in United States,Salma A Khuwaja; Beatrice J Selwyn; Osaro Mgbere; Alam Khuwaja; Asha Kapadia; Sheryl McCurdy; Chiehwen E Hsu,Abstract This study explored post-migration experiences of recently migrated PakistaniMuslim adolescent females residing in the United States. In-depth; semi-structuredinterviews were conducted with thirty Pakistani Muslim adolescent females between theages of 15 and 18 years living with their families in Houston; Texas. Data obtained from theinterviews were evaluated using discourse analysis to identify major reoccurring themes.Participants discussed factors associated with the process of adaptation to the Americanculture. The results revealed that the main factors associated with adaptation processincluded positive motivation for migration; family bonding; social support networks; inter-familial communication; aspiration of adolescents to learn other cultures; availability ofEnglish-as-second-language programs; participation in community rebuilding activities …,Journal of immigrant and minority health,2013,7
Do EHR investments lead to lower staffing levels? One of the best ways to measure whether an organization is realizing the benefits of its EHR investments may be t...,Jeffrey Helton; Jim Langabeer; Jami DelliFraine; Chiehwen Hsu,Electronic health records (EHRs) are widely seen as being integral tools for" fixing" the UShealthcare system while they reduce costs and improve quality of delivering care inhospitals. Even so; hospitals have been slow to implement EHR technology; in large partbecause of the high cost; the hospitals' insufficient capital; and uncertain financial returns.(a)These factors have made it difficult for healthcare finance leaders to make the case for EHRtechnology investments; despite the findings of researchers in the general business worldthat investment in IT correlates with improved measures of organizational performance; suchas cost per unit of output or overall profitability.(b)The problem is that; despite widespreadassertions of the benefits of IT investments; not much is known about how these benefits areachieved. For example; improvements could derive from enhanced revenue recognition …,Healthcare Financial Management,2012,7
Assessing bioterrorism preparedness and response of rural veterinarians: experiences and training needs,Chiehwen Ed Hsu; Holly Jacobson; Katherine Feldman; Jerry A Miller; Lori Rodriguez; Francisco Soto Mas,ABSTRACT Veterinarians play a unique role in emergency preparedness and response;and federal agencies and academic institutions therefore allocate considerable resources toprovide training to enhance their readiness. However; the level of preparedness ofveterinarians in many rural regions is yet to be improved. This article reports an assessmentof the bioterrorism preparedness; specifically the experience and training needs; of ruralveterinarians in North Texas. The study employed a cross-sectional design with a studypopulation that included all veterinarians (N= 352) in the 37 counties within TexasDepartment of State Health Services Regions 2 and 3. Data on veterinarians practicing orresiding in the target region were obtained from the Texas State Board of Veterinary MedicalExaminers. The response rate was 35%(n= 121). Results indicate that chemical exposure …,Journal of veterinary medical education,2008,6
A new application of spatiotemporal analysis for detecting demographic variations in AIDS mortality: an example from Florida,Yu-Wen Chiu; Min-Qi Wang; Hung-Yi Chuang; Chiehwen Ed Hsu; Ella T Nkhoma,The purpose of the present study was to characterize; geographically and temporally; thepatterns of acquired immune deficiency syndrome (AIDS) death disparity in 67 Floridajurisdictions; and to determine if the detected trends varied according to age; race; and sex.The space-time scan statistic proposed by Kulldorff et al was used to examine the excessAIDS deaths that occurred between 1987 and 2004. Results were geographicallyreferenced in maps using EpiInfo and EpiMap made available by the Centers for DiseaseControl. Miami-Dade and the nearby counties including Broward; Martin; and Palm Beachare the most likely clusters (observed/expected: 1505.16) with temporal dimension (alsocalled cluster's age) persisting from 1996 to the present. Union county had the longestcluster for the cluster period 1987–1998; but not for 1999–2004. African-Americans …,The Kaohsiung journal of medical sciences,2008,5
Understanding behavioral intent to participate in shared decision-making in medically uncertain situations,RM Maffei; Kim Dunn; Jiajie Zhang; Chiehwen E Hsu; John H Holmes,Objective: This article describes the process undertaken to identify and validate behavioraland normative beliefs and behavioral intent based on the Theory of Reasoned Action (TRA)and applied to men between the ages of 45 and 70 in the context of their participation inshared decision-making (SDM) in medically uncertain situations. This article also discussesthe preliminary results of the aforementioned processes and explores potential future usesof this information that may facilitate greater understanding; efficiency and effectiveness ofclinician-patient consultations. Materials and Methods: Twenty-five male subjects from thePhiladelphia community participated in this study. Individual semi-structure patientinterviews were conducted until data saturation was reached. Based on their review of thepatient interview transcripts; researchers conducted a qualitative content analysis to …,Methods of information in medicine,2012,4
Designing human centered GeoVisualization application–the SanaViz–for telehealth users: a case study,Ashish Joshi; Magdala de Araujo Novaes; Josiane Machiavelli; Sriram Iyengar; Robert Vogler; Craig Johnson; Jiajie Zhang; Chiehwen E Hsu,Background: Public health data is typically organized by geospatial unit. GeoVisualization(GeoVis) allows users to see information visually on a map. Objectives: Examine telehealthusers' perceptions towards existing public health GeoVis applications and obtains users'feedback about features important for the design and development of Human CenteredGeoVis application" the SanaViz". Methods: We employed a cross sectional study designusing mixed methods approach for this pilot study. Twenty users involved with the NUTEStelehealth center at Federal University of Pernambuco (UFPE); Recife; Brazil were enrolled.Open and closed ended questionnaires were used to gather data. We performed audiorecording for the interviews. Information gathered included socio-demographics; prior spatialskills and perception towards use of GeoVis to evaluate telehealth services. Card sorting …,Technology and Health Care,2012,4
