Significance of a fragmented QRS complex versus a Q wave in patients with coronary artery disease,Mithilesh K Das; Bilal Khan; Sony Jacob; Awaneesh Kumar; Jo Mahenthiran,Background—Q waves on a 12-lead ECG are markers of a prior myocardial infarction (MI).However; they may regress or even disappear over time; and there is no specific ECG signof a non–Q-wave MI. Fragmented QRS complexes (fQRSs); which include various RSR′patterns; without a typical bundle-branch block are markers of altered ventriculardepolarization owing to a prior myocardial scar. We postulated that the presence of an fQRSmight improve the ability to detect a prior MI compared with Q waves alone by ECG. Methodsand Results—A cohort of 479 consecutive patients (mean±SD age; 58.2±13.2 years; 283males) who were referred for nuclear stress tests was studied. The fQRS included variousmorphologies of the QRS (< 120 ms); which included an additional R wave (R′) or notchingin the nadir of the S wave; or> 1 R′(fragmentation) in 2 contiguous leads; corresponding …,Circulation,2006,517
Fragmented left sided QRS in absence of bundle branch block: sign of left ventricular aneurysm,Chatla VR Reddy; Kuruvilla Cheriparambill; Barry Saul; Majesh Makan; John Kassotis; Awaneesh Kumar; Mithilesh Kumar Das,Background: A left ventricular aneurysm (LVA) occurs between 3.5% and 9.4% of all casesof acute myocardial infarction. A fragmented left sided QRS (RSRpattern or its variant RSr;rSR; or rSr) without evidence of bundle branch block (QRS duration≤ 120 ms) on the ECGmay be associated with a significant myocardial scar; which is the characteristic of a LVA.We; therefore; postulate that fragmented QRS (RSRpattern or its variant) in the left sidedleads (I; aVL; V 3 to V 6) may be a useful sign of LVA. Methods: ECGs of 110 consecutivepatients with LVA documented by left ventricular angiography (30 right anterior obliqueview) was compared with 220 patients without LVA (110 patients with and 110 patientswithout coronary artery disease (CAD)); who were evaluated for CAD by symptoms andsigns. Results: The sensitivity of the fragmented QRS for identification of LVA was 50%(55 …,Annals of noninvasive electrocardiology,2006,75
Insulin inhibits the activation of transcription by a C-terminal fragment of the forkhead transcription factor FKHR A mechanism for insulin inhibition of insulin-like growt...,Minoru Tomizawa; Amit Kumar; Valérie Perrot; Jun Nakae; Domenico Accili; Matthew M Rechler,Abstract The forkhead rhabdomyosarcoma transcription factor (FKHR) is a promisingcandidate to be the transcription factor that binds to the insulin response element of theinsulin-like growth factor-binding protein-1 (IGFBP-1) promoter and mediates insulininhibition of IGFBP-1 promoter activity. Cotransfection of mouse FKHR increased IGFBP-1promoter activity 2–3-fold in H4IIE rat hepatoma cells; insulin inhibited FKHR-stimulatedpromoter activity∼ 70%. A C-terminal fragment of mouse FKHR (residues 208–652) thatcontains the transcription activation domain fused to a Gal4 DNA binding domain potentlystimulated Gal4 promoter activity. Insulin inhibited FKHR fragment-stimulated promoteractivity by∼ 70%. Inhibition was abolished by coincubation with the phosphatidylinositol-3kinase inhibitor; LY294002. The FKHR 208–652 fragment contains two consensus sites …,Journal of Biological Chemistry,2000,72
Comparison of four different immunosuppression protocols without long-term steroid therapy in kidney recipients monitored by surveillance biopsy: five-year outcomes,Mysore S Anil Kumar; M Irfan Saeed; Karthik Ranganna; Gregory Malat; Nedjema Sustento-Reodica; Arjun MS Kumar; William C Meyers,Abstract Induction and maintenance immunosuppression protocols with or without long-termsteroid therapy in kidney transplant recipients are variable and are transplant center-specific. The aim of this prospective randomized pilot study was to compare 5-yearoutcomes in kidney recipients maintained on 4 different calcineurin inhibitor (CNI)-basedimmunosuppression protocols without long-term steroid therapy. Two hundred consentingpatients who received kidney transplants between June 2000 and October 2004 wereenrolled in 4 immunosuppression protocol groups; with 50 patients in each group:cyclosporine (CSA)/mycophenolate mofetil (MMF); CSA/sirolimus (SRL); tacrolimus(TAC)/MMF; and TAC/SRL. Induction therapy was done with basiliximab andmethylprednisolone. Steroids were withdrawn on post-transplant day 2; and long-term …,Transplant immunology,2008,69
Molecular modeling in heavy hydrocarbon conversions,Michael T Klein; Gang Hou; Ralph Bertolacini; Linda J Broadbelt; Ankush Kumar,In the past two decades; new modeling efforts have gradually incorporated more molecularand structural detail in response to environmental and technical interests. MolecularModeling in Heavy Hydrocarbon Conversions introduces a systematic molecule-basedmodeling approach with a system of chemical engineering software tools that can automatethe entire model building; solution; and optimization process. Part I shows how chemicalengineering principles provide a rigorous framework for the building; solution; andoptimization of detailed kinetic models for delivery to process chemists and engineers. Part IIpresents illustrative examples that apply this approach to the development of kinetic modelsfor complex process chemistries; such as heavy naphtha reforming and gas oilhydroprocessing. Molecular Modeling in Heavy Hydrocarbon Conversions develops the …,*,2005,68
Academic stress and adjustment among high school students,Akbar Hussain; Ashutosh Kumar; Abid Husain,Present study was undertaken to examine the level of academic stress and overalladjustment among Public and Government high school students and also to see relationshipbetween the two variables (academic stress and adjustment). For that purpose 100 studentsof class IX were selected randomly from two different schools out of which 50 were takenfrom Public and the remaining 50 were taken from Government school Sinha and Sinhascale for measuring academic stress was used to see the magnitude of stress and Sinhaand Singh Adjustment Inventory for school students was used to examine level ofadjustment among the students. Results indicated that magnitude of academic stress wassignificantly higher among the Public school students where as Government school studentswere significantly better in terms of their level of adjustment. However; inverse but …,Journal of the Indian Academy of Applied Psychology,2008,66
Allopurinol; erythema multiforme; and renal insufficiency.,A Kumar; N Edward; MI White; PW Johnston; GR Catto,Allopurinol; a xanthine oxidase inhibitor; has become established as the drug of choice forpreventing and treating conditions where there is overproduction of uric acid; such as occursin gout; uric acid nephrolithiasis; and polycythaemia vera; during chemotherapy forlymphomas; and in the Lesch-Nyhan syndrome.'Allopurinol may; however; cause a severe;and sometimes fatal; hypersensitivity reaction in patients with pre-existing renal disease. Wedescribe two patients with severe hypersensitivity. In both the syndrome was relapsing andin one ultimately fatal. Case 1 A 52 year old man presented with a five day history ofawidespread rash; oral and genital ulceration; fever; malaise; diarrhoea; and diminishedurine output. Five weeks earlier he had developed gout in his great toe; for which he wastreated with ibuprofen followed by allopurinol 300 mg daily. Then his serum urate …,BMJ: British Medical Journal,1996,65
Genomic profiling of messenger RNAs and microRNAs reveals potential mechanisms of TWEAK-induced skeletal muscle wasting in mice,Siva K Panguluri; Shephali Bhatnagar; Akhilesh Kumar; John J McCarthy; Apurva K Srivastava; Nigel G Cooper; Robert F Lundy; Ashok Kumar,Background Skeletal muscle wasting is a devastating complication of several physiologicaland pathophysiological conditions. Inflammatory cytokines play an important role in the lossof skeletal muscle mass in various chronic diseases. We have recently reported thatproinflammatory cytokine TWEAK is a major muscle-wasting cytokine. Emerging evidencesuggests that gene expression is regulated not only at transcriptional level but also at post-transcriptional level through the expression of specific non-coding microRNAs (miRs) whichcan affect the stability and/or translation of target mRNA. However; the role of miRs inskeletal muscle wasting is unknown. Methodology/Principal Findings To understand themechanism of action of TWEAK in skeletal muscle; we performed mRNA and miRsexpression profile of control and TWEAK-treated myotubes. TWEAK increased the …,PloS one,2010,61
Phospholipase A2 engineering. Probing the structural and functional roles of N-terminal residues with site-directed mutagenesis; X-ray; and NMR,Xiaohong Liu; Hongxin Zhu; Baohua Huang; Joseph Rogers; Bao-Zhu Yu; Amarendra Kumar; Mahendra K Jain; Muttaiya Sundaralingam; Ming-Daw Tsai,Revised Manuscript Received March 20; 1995® abstract: The N-terminal residues ofphospholipase A2 (PLA2) are believed to be involved in the hydrogen-bonding network; theinterfacial binding site; or the hydrophobic channel. Site-directedmutants of bovinepancreatic PLA2with substitutions at positions 2; 3; 4; 5; 6; and 9 were constructed to test theroles of these residues in the structure and function of PLA2. Nonconservative mutations ofPhe-5 and Ile-9; which are located inside the hydrophobic channel; led to significantperturbations in the conformation and conformational stability. Kinetic studies also indicatedthat mutations at Ile-9 and Phe-5 caused significant decreases in the rate of hydrolysistoward micellar and vesicle substrates. Scooting mode kinetic analysisshowed that thebinding step of the mutant enzymes to the DC14PM (1; 2-dimyristoylrn-glycero-3 …,Biochemistry,1995,60
Matrix metalloproteinase inhibitor batimastat alleviates pathology and improves skeletal muscle function in dystrophin-deficient mdx mice,Akhilesh Kumar; Shephali Bhatnagar; Ashok Kumar,Duchenne muscular dystrophy (DMD); caused by mutations in the dystrophin gene; involvessevere muscle degeneration; inflammation; fibrosis; and early death in afflicted boys. Matrixmetalloproteinases (MMPs) are extracellular proteases that cause tissue degradation inseveral disease states. In this study; we tested the hypothesis that the expression levels ofvarious MMPs are abnormally increased and that their inhibition will ameliorate musclepathogenesis in animal models of DMD. Our results show that the transcript levels of severalMMPs are significantly up-regulated; whereas tissue inhibitors of MMPs are down-regulated;in dystrophic muscle of mdx mice. Chronic administration of batimastat (BB-94); a broadspectrum peptide inhibitor of MMPs; reduced necrosis; infiltration of macrophages;centronucleated fibers; and the expression of embryonic myosin heavy chain in skeletal …,The American journal of pathology,2010,57
Luffa Cylindrica: An important medicinal plant,Sangh Partap; Amit Kumar; Neeraj Kant Sharma; KK Jha,ABSTRACT Traditional system of medicine consists of large number of plant with variousmedicinal and pharmacological importances and hence represents a priceless tank of newbioactive molecules. Luffa cylindrica found all over the world. It is commonly known as'tori'and has been recognized in different traditional system of medicines for the treatment ofvaried diseases of human being. The phytoconstituents present in it mainly belong to thecategory of flavonoids. Different part of this plant are traditionally claimed to be used for thetreatment of broad spectrum of ailment including snake bites; convulsions; cramps; tetanus;emetic; cathartic; dropsy; nephritis; chronic bronchitis; asthma; sinusitis and fever to be list afew.,J. Nat. Prod. Plant Resour,2012,51
Mobile robot simulation of clinical laboratory deliveries,Manuel D Rossetti; Amit Kumar; Robin A Felder,ABSTRACT Flexible automation in the form of mobile robots holds the potential fordecreasing operating costs while improving delivery performance in mid-size hospitaldelivery systems. This paper discusses the use of simulation modeling to analyze the costs;benefits; and performance tradeoffs related to the installation and use of a fleet of mobilerobots within mid-size hospital facilities. The results of this study enable a betterunderstanding of the delivery and transportation requirements of mid-sized hospitals andhow a fleet of mobile robots can meet those requirements. We show that for clinicallaboratory deliveries a fleet of 6 mobile robots can achieve significant performance gainsover the current system of 3 human couriers while still remaining cost effective. The 6-robotalternative reduces the annual cost by approximately 56% and improves turn-around time …,Proceedings of the 30th conference on Winter simulation,1998,51
Oxidative nanopeeling chemistry-based synthesis and photodynamic and photothermal therapeutic applications of plasmonic core-petal nanostructures,Amit Kumar; Sumit Kumar; Won-Kyu Rhim; Gyeong-Hwan Kim; Jwa-Min Nam,The precise control of plasmonic nanostructures and their use for less invasive apoptoticpathway-based therapeutics are important but challenging. Here; we introduce a highlycontrolled synthetic strategy for plasmonic core-petal nanoparticles (CPNs) with massivelybranched and plasmonically coupled nanostructures. The formation of CPNs was facilitatedby the gold chloride-induced oxidative disassembly and rupture of the polydopamine coronaaround Au nanoparticles and subsequent growth of Au nanopetals. We show that CPNs canact as multifunctional nanoprobes that induce dual photodynamic and photothermaltherapeutic effects without a need for organic photosensitizers; coupled with the generationof reactive oxygen species (ROS); and allow for imaging and analyzing cells. Near-infraredlaser-activated CPNs can optically monitor and efficiently kill cancer cells via apoptotic …,Journal of the American Chemical Society,2014,50
Biochemical and molecular markers in renal cell carcinoma: an update and future prospects,MK Kashyap; A Kumar; N Emelianenko; A Kashyap; R Kaushik; R Huang; M Khullar; SK Sharma; SK Singh; AK Bhargave; SK Upadhyaya,Abstract Cancer is a big problem in the developed world as well as in developing countries.Renal cell carcinoma (RCC) accounts for approximately 3% of adult malignancies and 90–95% of neoplasms arising from the kidney. RCC is more common in men than in women (2:1); and it most often occurs in patients between the ages of 50–70 years. In all cancers thecancerous cells release particular kind of proteins (called tumour markers) and blood testsare used to detect the presence of these markers. These tumour markers nowadays are anarea of interest for oncologists who search for a possible solution in the detection andtreatment of RCC. Different kinds of biochemical and molecular markers such as ferritin;MN/CA9; apoptotic index; p53; IL-2; gamma-enolase; CD44; CD95; chromosome instabilityand loss of heterozygosity have been tested in RCC; but so far no marker fulfils one or the …,Biomarkers,2005,50
Sensitive detection method of dielectric dispersions in aqueous-based; surface-bound macromolecular structures using microwave spectroscopy,John Hefti; Alfred Pan; Amit Kumar,An approach for measuring the dispersions in the microwave regime of larger aqueous-based molecules such as proteins and nucleic acids is presented. This method allows forthe identification of molecular structures; changes in structures; and various types ofintermolecular interactions via the direct detection of the dispersion properties of the system;and further allows for the measurement in physiologic environments such as aqueousbuffers. By placing the molecular system on a surface; the structures and interactions arereduced to a two-dimensional sample; and thus the sensitivity of the measurement strategyis greatly enhanced.,Applied Physics Letters,1999,50
The absolute determination of extinction cross-sections by the use of an open resonator,AL Cullen; A Kumar,A new experimental technique for determining the extinction cross-section of an obstacle atmicrowave frequencies is described. This method does not involve the measurement offields but requires only the determination of the Q-factor of an open resonator; which can bedone very accurately. By measuring the Q-factor of the resonator with no obstacle present;and then with the obstacle in two different positions a quarter wavelength apart along theaxis of the resonator; the extinction cross-section can be deduced. The methodis; however;restricted to a class of obstacles possessing reflexion symmetry in a plane perpendicular tothe direction of propagation of the incident wave. Experimental results with brass spheres forwhich the absorption is negligible (and therefore the extinction cross-section is nearly equalto the total scattering cross-section); give excellent agreement with Mie's theory. Results …,Proc. R. Soc. Lond. A,1970,50
Impact of rapid urbanization on the rates of infection by Vibrio cholerae O1 and enterotoxigenic Escherichia coli in Dhaka; Bangladesh,Fahima Chowdhury; Mohammad Arif Rahman; Yasmin A Begum; Ashraful I Khan; Abu SG Faruque; Nirod Chandra Saha; Nabilah Ibnat Baby; MA Malek; Anisha Rajeev Kumar; Ann-Mari Svennerholm; Mark Pietroni; Alejandro Cravioto; Firdausi Qadri,Background In Bangladesh; increases in cholera epidemics are being documented with agreater incidence and severity. The aim of this prospective study was to identify theprevalence and importance of V. cholerae O1 and enterotoxigenic Escherichia coli (ETEC)as causal agents of severe diarrhea in a high diarrhea prone urban area in Dhaka city.Methodology Systematic surveillance was carried out on all diarrheal patients admitted fromMirpur between March 2008 to February 2010 at the ICDDR; B hospital. Stool or rectalswabs were collected from every third diarrheal patient for microbiological evaluation.Principal Findings Of diarrheal patients attending the hospital from Mirpur; 41% sufferedfrom severe dehydration with 39% requiring intravenous rehydration therapy. More diarrhealpatients were above five years of age (64%) than those below five years of age (36%) …,PLoS neglected tropical diseases,2011,47
Dual-view plane illumination microscopy for rapid and spatially isotropic imaging,Abhishek Kumar; Yicong Wu; Ryan Christensen; Panagiotis Chandris; William Gandler; Evan McCreedy; Alexandra Bokinsky; Daniel A Colón-Ramos; Zhirong Bao; Matthew McAuliffe; Gary Rondeau; Hari Shroff,Abstract We describe the construction and use of a compact dual-view inverted selectiveplane illumination microscope (diSPIM) for time-lapse volumetric (4D) imaging of livingsamples at subcellular resolution. Our protocol enables a biologist with some priormicroscopy experience to assemble a diSPIM from commercially available parts; to alignoptics and test system performance; to prepare samples; and to control hardware and dataprocessing with our software. Unlike existing light sheet microscopy protocols; our methoddoes not require the sample to be embedded in agarose; instead; samples are preparedconventionally on glass coverslips. Tissue culture cells and Caenorhabditis elegansembryos are used as examples in this protocol; successful implementation of the protocolresults in isotropic resolution and acquisition speeds up to several volumes per s on …,nature protocols,2014,46
Genetic ablation of TWEAK augments regeneration and post-injury growth of skeletal muscle in mice,Ashwani Mittal; Shephali Bhatnagar; Akhilesh Kumar; Pradyut K Paul; Shihuan Kuang; Ashok Kumar,Impairment in the regeneration process is a critical determinant for skeletal muscle wastingin chronic diseases and degenerative muscle disorders. Inflammatory cytokines are knownto cause significant muscle wasting; however; their role in myofiber regeneration is lessclear. In this study we have investigated the role of tumor necrosis factor-like weak inducer ofapoptosis (TWEAK) in skeletal muscle regeneration in vivo. Our results show that expressionlevels of TWEAK and its receptor Fn14 are significantly increased in skeletal muscles ofmice after injury. Genetic deletion of TWEAK increased the fiber cross-sectional area andlevels of embryonic isoform of myosin heavy chain in regenerating tibial anterior muscle.Conversely; muscle-specific transgenic overexpression of TWEAK reduced the fiber cross-sectional area and levels of the embryonic myosin heavy chain in regenerating muscle …,The American journal of pathology,2010,46
Polymerase chain reaction for detection of endocervical Chlamydia trachomatis infection in women attending a gynecology outpatient department in India,Vineeta Singh; Sangita Rastogi; Suneela Garg; Sujala Kapur; Amit Kumar; Sudha Salhan; Aruna Mittal,OBJECTIVES: To detect Chlamydia trachomatis infection by polymerase chain reaction(PCR) in symptomatic women attending a gynecology clinic in a city hospital and inrandomly selected slum dwellers. STUDY DESIGN: Endocervical specimens were collectedfrom 350 women with genitourinary complaints (group I) and 53 slum dwellers (group II).Samples were analyzed by PCR; direct fluorescence assay (DFA) and Giemsa staincytology for detection of C trachomatis and compared for their sensitivity; specificity; positivepredictive value (PPV) and negative predictive value (NPV). RESULTS: The prevalence ofendocervical C trachomatis infection was 43.1% and 24.5% in groups I and II; respectively.The sensitivity; specificity; PPV and NPV of PCR were 80.0%; 75.0%; 66.6% and 85.7%;respectively; when DFA was considered true positive. The percent increment in detection …,Acta cytologica,2002,43
Mesa: Geo-replicated; near real-time; scalable data warehousing,Ashish Gupta; Fan Yang; Jason Govig; Adam Kirsch; Kelvin Chan; Kevin Lai; Shuo Wu; Sandeep Govind Dhoot; Abhilash Rajesh Kumar; Ankur Agiwal; Sanjay Bhansali; Mingsheng Hong; Jamie Cameron; Masood Siddiqi; David Jones; Jeff Shute; Andrey Gubarev; Shivakumar Venkataraman; Divyakant Agrawal,Abstract Mesa is a highly scalable analytic data warehousing system that stores criticalmeasurement data related to Google's Internet advertising business. Mesa is designed tosatisfy a complex and challenging set of user and systems requirements; including near real-time data ingestion and queryability; as well as high availability; reliability; fault tolerance;and scalability for large data and query volumes. Specifically; Mesa handles petabytes ofdata; processes millions of row updates per second; and serves billions of queries that fetchtrillions of rows per day. Mesa is geo-replicated across multiple datacenters and providesconsistent and repeatable query answers at low latency; even when an entire datacenterfails. This paper presents the Mesa system and reports the performance and scale that itachieves.,Proceedings of the VLDB Endowment,2014,41
Comparative Analysis between DES and RSA Algorithm’s,Aman Kumar; Dr Sudesh Jakhar; Mr Sunil Makkar,*,International Journal of Advanced Research in Computer Science and Software Engineering,2012,39
Plasmonically engineered nanoprobes for biomedical applications,Amit Kumar; Sungi Kim; Jwa-Min Nam,The localized surface plasmon resonance of metal nanoparticles is the collective oscillationof electrons on particle surface; induced by incident light; and is a particle composition-;morphology-; and coupling-dependent property. Plasmonic engineering deals with highlyprecise formation of the targeted nanostructures with targeted plasmonic properties (eg;electromagnetic field distribution and enhancement) via controlled synthetic; assembling;and atomic/molecular tuning strategies. These plasmonically engineered nanoprobes(PENs) have a variety of unique and beneficial physical; chemical; and biological properties;including optical signal enhancement; catalytic; and local temperature-tuning photothermalproperties. In particular; for biomedical applications; there are many useful properties fromPENs including LSPR-based sensing; surface-enhanced Raman scattering; metal …,*,2016,38
The formation of complexes by asymmetrical tricyclic hosts,Ashwani Kumar; Sivapathasuntharam Mogeswaran; Ian O Sutherland,Abstract The five asymmetrical tricyclic hosts (9; ac) and (10; a and b) were synthesised fromthe mono-protected diaza crown others (7a) and (7c). These hosts form 1: 1 complexes withbis-alkylammonium cations H 3 N+ CH 2 n N+ H 3. A detailed examination of the complexesof host (10a); using'H NMR spectroscopy; shows that in most cases complexation involves asingle conformation of the host molecule. Competition experiments show that the selectivityof complexation by this host involves at least two different conformations of the-CH 2 (CH 2OCH 2) 2 CH 2-bridge. Complexes formed by the analogous host (10b) involve; to a majorextent; a single conformation (17a) of the host molecule.,Tetrahedron,1986,38
