A query language for XML,Alin Deutsch; Mary Fernandez; Daniela Florescu; Alon Levy; Dan Suciu,Abstract An important application of XML is the interchange of electronic data (EDI) betweenmultiple data sources on the Web. As XML data proliferates on the Web; applications willneed to integrate and aggregate data from multiple source and clean and transform data tofacilitate exchange. Data extraction; conversion; transformation; and integration are all well-understood database problems; and their solutions rely on a query language. We present aquery language for XML; called XML-QL; which we argue is suitable for performing theabove tasks. XML-QL is a declarative;relational complete'query language and is simpleenough that it can be optimized. XML-QL can extract data from existing XML documents andconstruct new XML documents.,Computer networks,1999,900
Querying XML data,Alin Deutsch; Mary F.  Fernandez; Daniela Florescu; Alon Y.  Levy; David Maier; Dan Suciu,XML threatens to expand beyond its document markup origins to become the basis for datainterchange on the Internet. One highly anticipated application of XML is the interchange ofelectronic data (EDI). Unlike existing Web documents; electronic data is primarily intendedfor computer; not human; consumption. For example; businesses could publish data abouttheir products and services; and potential customers could compare and process thisinformation automatically; business partners could exchange internal operational databetween their information systems on secure channels; search robots could integrateautomatically information from related sources that publish their data in XML format; likestock quotes from financial sites; sports scores from news sites. New opportunities will arisefor third parties to add value by integrating; transforming; cleaning; and aggregating XML …,IEEE Data Eng. Bull.,1999,118
Specification and verification of data-driven web services,Alin Deutsch; Liying Sui; Victor Vianu,Abstract We study data-driven Web services provided by Web sites interacting with users orapplications. The Web site can access an underlying database; as well as state informationupdated as the interaction progresses; and receives user input. The structure and contentsof Web pages; as well as the actions to be taken; are determined dynamically by queryingthe underlying database as well as the state and inputs. The properties to be verifiedconcern the sequences of events (inputs; states; and actions) resulting from the interaction;and are expressed in linear or branching-time temporal logics. The results establish underwhat conditions automatic verification of such properties is possible and provide thecomplexity of verification. This brings into play a mix of techniques from logic and automaticverification.,Proceedings of the twenty-third ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2004,117
Physical data independence; constraints and optimization with universal plans,Alin Deutsch; Lucian Popa; Val Tannen,Abstract We present an optimization method and al gorithm designed for three objectives:physi cal data independence; semantic optimization; and generalized tableau minimization.The method relies on generalized forms of chase and" backchase" with constraints(dependen cies). By using dictionaries (finite functions) in physical schemas we can capturewith con straints useful access structures such as indexes; materialized views; sourcecapabilities; access support relations; gmaps; etc. The search space for query plans isdefined and enumerated in a novel manner: the chase phase rewrites the original query intoa" universal" plan that integrates all the access structures and alternative pathways that areallowed by appli cable constraints. Then; the backchase phase produces optimal plans byeliminating various combinations of redundancies; again according to constraints. This …,Database Research Group (CIS),1999,104
Query reformulation with constraints,Alin Deutsch; Lucian Popa; Val Tannen,Abstract Let Σ 1; Σ 2 be two schemas; which may overlap; C be a set of constraints on thejoint schema Σ 1∪ Σ 2; and q 1 be a Σ 1-query. An (equivalent) reformulation of q 1 in thepresence of C is a Σ 2-query; q 2; such that q 2 gives the same answers as q 1 on any Σ 1∪Σ 2-database instance that satisfies C. In general; there may exist multiple suchreformulations and choosing among them may require; for example; a cost model.,ACM SIGMOD Record,2006,103
Verification of communicating data-driven web services,Alin Deutsch; Liying Sui; Victor Vianu; Dayou Zhou,Abstract We study the verification of compositions of Web Service peers which interactasynchronously by exchanging messages. Each peer has access to a local database andreacts to user input and incoming messages by performing various actions and sendingmessages. The reaction is described by queries over the database; internal state; user inputand received messages. We consider two formalisms for specification of correctnessproperties of compositions; namely Linear Temporal First-Order Logic and ConversationProtocols. For both formalisms; we map the boundaries of verification decidability; showingthat they include expressive classes of compositions and properties. We also addressmodular verification; in which the correctness of a composition is predicated on theproperties of its environment.,Proceedings of the twenty-fifth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2006,93
Artifact systems with data dependencies and arithmetic,Elio Damaggio; Alin Deutsch; Victor Vianu,Abstract We study the static verification problem for data-centric business processes;specified in a variant of IBM's “business artifact” model. Artifacts are records of variables thatcorrespond to business-relevant objects and are updated by a set of services equipped withpre-and postconditions; that implement business process tasks. The verification problemconsists in statically checking whether all runs of an artifact system satisfy desirableproperties expressed in a first-order extension of linear-time temporal logic. Previous workidentified the class of guarded artifact systems and properties; for which verification isdecidable. However; the results suffer an important limitation: they fail in the presence ofeven very simple data dependencies or arithmetic; both crucial to real-life businessprocesses. In this article; we extend the artifact model and verification results to alleviate …,ACM Transactions on Database Systems (TODS),2012,88
Optimization properties for classes of conjunctive regular path queries,Alin Deutsch; Val Tannen,Abstract We are interested in the theoretical foundations of the optimization of conjunctiveregular path queries (CRPQs). The basic problem here is deciding query containment bothin the absence and presence of constraints. Containment without constraints for CRPQs isEXPSPACE-complete; as opposed to only NP-complete for relational conjunctive queries.Our past experience with implementing similar algorithms suggests that staying in PSPACEmight still be useful. Therefore we investigate the complexity of containment for a hierarchyof fragments of the CRPQ language. The classifying principle of the fragments is theexpressivity of the regular path expressions allowed in the query atoms. For most of thesefragments; we give matching lower and upper bounds for containment in the absence ofconstraints. We also introduce for every fragment a naturally corresponding class of …,International Workshop on Database Programming Languages,2001,86
The NEXT framework for logical XQuery optimization,Alin Deutsch; Yannis Papakonstantinou; Yu Xu,Abstract Classical logical optimization techniques rely on a logical semantics of the querylanguage. The adaptation of these techniques to XQuery is precluded by its definition as afunctional language with operational semantics. We introduce Nested XML Tableaux whichenable a logical foundation for XQuery semantics and provide the logical plan optimizationframework of our XQuery processor. As a proof of concept; we develop and evaluate aminimization algorithm for removing redundant navigation within and across nestedsubqueries. The rich XQuery features create key challenges that fundamentally extend theprior work on the problems of minimizing conjunctive and tree pattern queries.,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,83
XML query languages: Experiences and exemplars,Mary Fernandez; Jérôme Siméon; Philip Wadler; S Cluet; A Deutsch; D Florescu; A Levy; D Maier; J McHugh; J Robie; D Suciu; J Widom,Abstract This paper identi es essential features of an XML query language by examining fourexisting query languages: XML-QL; YATL; Lorel; and XQL. The rst three languages comefrom the database community and possess striking similarities. The fourth comes from thedocument community and lacks some key functionality of the other three.,*,1999,81
Managing and querying transaction-time databases under schema evolution,Hyun J Moon; Carlo A Curino; Alin Deutsch; Chien-Yi Hou; Carlo Zaniolo,Abstract The old problem of managing the history of database information is now made moreurgent and complex by fast spreading web information systems; such as Wikipedia. OurPRIMA system addresses this difficult problem by introducing two key pieces of newtechnology. The first is a method for publishing the history of a relational database in XML;whereby the evolution of the schema and its underlying database are given a unifiedrepresentation. This temporally grouped representation makes it easy to formulatesophisticated historical queries on any given schema version using standard XQuery. Thesecond key piece of technology is that schema evolution is transparent to the user: shewrites queries against the current schema while retrieving the data from one or moreschema versions. The system then performs the labor-intensive and error-prone task of …,Proceedings of the VLDB Endowment,2008,76
Rewriting nested XML queries using nested views,Nicola Onose; Alin Deutsch; Yannis Papakonstantinou; Emiran Curtmola,Abstract We present and analyze an algorithm for equivalent rewriting of XQuery queriesusing XQuery views; which is complete for a large class of XQueries featuring nested FLWRblocks; XML construction and join equalities by value and identity. These features posesignificant challenges which lead to fundamental extension of prior work on the problems ofrewriting conjunctive and tree pattern queries. Our solution exploits the Nested XMLTableaux (NEXT) notation which enables a logical foundation for specifying XQuerysemantics. We present a tool which inputs XQuery queries and views and outputs anXQuery rewriting; thus being usable on top of any of the existing XQuery processingengines. Our experimental evaluation shows that the tool scales well for large numbers ofviews and complex queries.,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,75
Flexible and efficient XML search with complex full-text predicates,Sihem Amer-Yahia; Emiran Curtmola; Alin Deutsch,Abstract Recently; there has been extensive research that generated a wealth of new XMLfull-text query languages; ranging from simple Boolean search to combining sophisticatedproximity and order predicates on keywords. While computing least common ancestors ofquery terms was proposed for efficient evaluation of conjunctive keyword queries byexploiting the document structure; no such solution was developed to evaluate complex full-text queries. We present efficient evaluation algorithms based on a formalization of XMLqueries in terms of keyword patterns and an algebra which manipulates pattern matches.Our algebra captures most existing languages and their varying semantics and ouralgorithms combine relational query evaluation techniques with the exploitation of documentstructure to process queries with complex full-text predicates. We show how scoring can …,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,74
XML queries and constraints; containment and reformulation,Alin Deutsch; Val Tannen,Abstract Starting from the XQuery language we define XBind; an XML analog of relationalconjunctive queries as well as a related class of XML integrity constraints (dependencies).We identify a fragment of XBind for which containment is decidable; in fact Π 2 p-complete;and a further fragment for which containment is NP-complete. We extend the containmentalgorithm to take XML dependencies into account. We give an algorithm for thereformulation of XBind queries under combinations of GAV and LAV XQuery views; as wellas additional dependencies. We prove a completeness theorem which guarantees thatunder certain conditions; our algorithm will find a minimal reformulation if one exists.Moreover; we identify conditions when this algorithm achieves optimal complexity bounds.Our results on containment and reformulation depend on certain restrictions on the query …,Theoretical Computer Science,2005,73
Systematic approach to query optimization,*,The present invention demonstrates the development and application of thechase/backchase (“C&B”) technique to systematically optimize generating alternative queryplans; aimed at multiple disparate targets. It further provides a first optimization prototypethat uses path-conjunctive query graphs internally. The methods; systems; apparatus andtechniques of the present invention capture and extend many aspects of semanticoptimizations; physical data independence; use of materialized views and cached queries;as well as generalized tableau-like minimization. Moreover; using a uniform representationwith constraints; the techniques make these disparate optimization principles highlycooperative. This present invention provides a new class of optimization opportunities; suchas the non-trivial use of indexes and materialized views enabled only by the presence of …,*,2003,71
Rewriting queries using views with access patterns under integrity constraints,Alin Deutsch; Bertram Ludäscher; Alan Nash,Abstract We study the problem of rewriting queries using views in the presence of accesspatterns; integrity constraints; disjunction and negation. We provide asymptotically optimalalgorithms for (1) finding minimally containing and (2) maximally contained rewritingsrespecting the access patterns (which we call executable) and for (3) deciding whether anexact executable rewriting exists. We show that rewriting queries using views in this casereduces (a) to rewriting queries with access patterns and constraints without views and also(b) to rewriting queries using views under constraints without access patterns. We show howto solve (a) directly and how to reduce (b) to rewriting queries under constraints only(semantic optimization). These reductions provide two separate routes to a unified solutionfor problems 1; 2 and 3 based on an extension of the relational chase theory to queries …,Theoretical Computer Science,2007,66
A verifier for interactive; data-driven web applications,Alin Deutsch; Monica Marcus; Liying Sui; Victor Vianu; Dayou Zhou,Abstract We present WAVE; a verifier for interactive; database-driven Web applicationsspecified using high-level modeling tools such as WebML. WAVE is complete for a broadclass of applications and temporal properties. For other applications; WAVE can be used asan incomplete verifier; as commonly done in software verification. Our experiments on fourrepresentative data-driven applications and a battery of common properties yieldedsurprisingly good verification times; on the order of seconds. This suggests that interactiveapplications controlled by database queries may be unusually well suited to automaticverification. They also show that the coupling of model checking with database optimizationtechniques used in the implementation of WAVE can be extremely effective. This issignificant both to the database area and to automatic verification in general.,Proceedings of the 2005 ACM SIGMOD international conference on Management of data,2005,66
Privacy in database publishing,Alin Deutsch; Yannis Papakonstantinou,Abstract We formulate and study a privacy guarantee to data owners; who share informationwith clients by publishing views of a proprietary database. The owner identi. es the sensitiveproprietary data using a secret query against the proprietary database. Given an extra view;the privacy guarantee ensures that potential attackers will not learn any information aboutthe secret that could not already be obtained from the existing views. We de. ne “learning” asthe modi. cation of the attacker's a-priori probability distribution on the set of possiblesecrets. We assume arbitrary a-priori distributions (including distributions that correlate theexistence of particular tuples) and solve the problem when secret and views are expressedas unions of conjunctive queries with non-equalities; under integrity constraints. Weconsider guarantees (a) for given view extents (b) for given domain of the secret and (c) …,International Conference on Database Theory,2005,66
A chase too far?,Lucian Popa; Alin Deutsch; Arnaud Sahuguet; Val Tannen,Abstract In a previous paper we proposed a novel method for generating alternative queryplans that uses chasing (and back-chasing) with logical constraints. The method bringstogether use of indexes; use of materialized views; semantic optimization and joinelimination (minimization). Each of these techniques is known separately to be beneficial toquery optimization. The novelty of our approach is in allowing these techniques to interactsystematically; eg. non-trivial use of indexes and materialized views may be enabled only bysemantic constraints. We have implemented our method for a variety of schemas andqueries. We examine how far we can push the method in term of complexity of both schemasand queries. We propose a technique for reducing the size of the search space by“stratifying” the sets of constraints used in the (back) chase. The experimental results …,ACM SIGMOD Record,2000,61
Xml-ql: A query language for XML; 1998,Alin Deutsch; Mary Fernandez; Daniela Florescu; Alon Levy; Dan Suciu,*,*,1999,60
A deterministic model for semistructured data,Peter Buneman; Alin Deutsch; Wang-Chiew Tan,This is a preliminary report on a new model for semistructured data. The idea of semi-structured data evolved; in part; from various syntactic representations of data such asAceDB 11]; OEM 10] and has more recently been used e ectively to design query languagesfor XML 4]. Insofar as there is an agreed model; it is simply an edgelabeled graph. Howeverthis description begs a number of important questions: What can constitute an edge label?Are there values associated with the vertices? Is there a separate labeling system forvertices to provide them with independent identity? We describe here a new model for semi-structured data. It is more restrictive than the models described in 10; 6; 5] in that it isdeterministic. The edges emanating from any node in the graph have distinct labels. It is lessrestrictive in that the edges can carry data and may have structure. In fact they may …,Workshop on Query Processing for Semistructured Data and Non-Standard Data Formats,1999,60
Automating the database schema evolution process,Carlo Curino; Hyun Jin Moon; Alin Deutsch; Carlo Zaniolo,Abstract Supporting database schema evolution represents a long-standing challenge ofpractical and theoretical importance for modern information systems. In this paper; wedescribe techniques and systems for automating the critical tasks of migrating the databaseand rewriting the legacy applications. In addition to labor saving; the benefits delivered bythese advances are many and include reliable prediction of outcome; minimization ofdowntime; system-produced documentation; and support for archiving; historical queries;and provenance. The PRISM/PRISM++ system delivers these benefits; by solving the difficultproblem of automating the migration of databases and the rewriting of queries and updates.In this paper; we present the PRISM/PRISM++ system and the novel technology that made itpossible. In particular; we focus on the difficult and previously unsolved problem of …,The VLDB Journal,2013,58
XPath Rewriting Using Multiple Views: Achieving Completeness and Efficiency.,Bogdan Cautis; Alin Deutsch; Nicola Onose,ABSTRACT The standard approach for optimization of XPath queries by rewriting usingviews techniques consists in navigating inside a view's output; thus allowing the usage ofonly one view in the rewritten query. Algorithms for richer classes of XPath rewritings; usingintersection or joins on node identifiers; have been proposed; but they either lackcompleteness guarantees; or require additional information about the data. We identify thetightest restrictions under which an XPath can be rewritten in polynomial time using anintersection of views and propose an algorithm that works for any documents or type ofidentifiers. As an additional contribution; we analyze the complexity of the related problem ofdeciding if an XPath with intersection can be equivalently rewritten as one withoutintersection or union.,WebDB,2008,51
Update rewriting and integrity constraint maintenance in a schema evolution support system: PRISM++,Carlo A Curino; Hyun Jin Moon; Alin Deutsch; Carlo Zaniolo,Abstract Supporting legacy applications when the database schema evolves represents along-standing challenge of practical and theoretical importance. Recent work has producedalgorithms and systems that automate the process of data migration and query adaptation;however; the problems of evolving integrity constraints and supporting legacy updates underschema and integrity constraints evolution are significantly more difficult and have thus farremained unsolved. In this paper; we address this issue by introducing a formal evolutionmodel for the database schema structure and its integrity constraints; and use it to deriveupdate mapping techniques akin to the rewriting techniques used for queries. Thus; we (i)propose a new set of Integrity Constraints Modification Operators (ICMOs);(ii) characterizethe impact on integrity constraints of structural schema changes;(iii) devise …,Proceedings of the VLDB Endowment,2010,46
Rewriting queries using views with access patterns under integrity constraints,Alin Deutsch; Bertram Ludäscher; Alan Nash,Abstract We study the problem of rewriting queries using views in the presence of accesspatterns; integrity constraints; disjunction; and negation. We provide asymptotically optimalalgorithms for finding minimal containing and maximal contained rewritings and for decidingwhether an exact rewriting exists. We show that rewriting queries using views in this casereduces (a) to rewriting queries with access patterns and constraints without views and also(b) to rewriting queries using views under constraints without access patterns. We show howto solve (a) directly and how to reduce (b) to rewriting queries under constraints only(semantic optimization). These reductions provide two separate routes to a unified solutionfor all three problems; based on an extension of the relational chase theory to queries andconstraints with disjunction and negation. We also handle equality and arithmetic …,International Conference on Database Theory,2005,42
A system for specification and verification of interactive; data-driven web applications,Alin Deutsch; Liying Sui; Victor Vianu; Dayou Zhou,Abstract When comparing alternative query execution plans (QEPs); a cost-based queryoptimizer in a relational database management system needs to estimate the selectivity ofconjunctive predicates. To avoid inaccurate independence assumptions; modern optimizerstry to exploit multivariate statistics (MVS) that provide knowledge about joint frequencies in atable of a relation. Because the complete joint distribution is almost always too large to store;optimizers are given only partial knowledge about this distribution. As a result; there existmultiple; non-equivalent ways to estimate the selectivity of a conjunctive predicate. Toconsistently combine the partial knowledge during the estimation process; existingoptimizers employ cumbersome ad hoc heuristics. These methods unjustifiably ignorevaluable information; and the optimizer tends to favor QEPs for which the least …,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,40
Minimization and Group-By Detection for Nested XQueries.,Alin Deutsch; Yannis Papakonstantinou; Yu Xu,*,ICDE,2004,37
Automatic verification of data-centric business processes,Elio Damaggio; Alin Deutsch; Richard Hull; Victor Vianu,Abstract Recent years have witnessed the evolution of business process specificationframeworks from the traditional process-centric approach towards data-awareness. Process-centric formalisms focus on control flow while under-specifying the underlying data and itsmanipulations by the process tasks; often abstracting them away completely. In contrast;data-aware formalisms treat data as first-class citizens. A notable exponent of this class isthe business artifact model pioneered in [46; 34]; deployed by IBM in professional servicesofferings with associated tooling; and further studied in a line of follow-up works [4; 5; 26; 27;6; 38; 33; 35; 42]. Business artifacts (or simply “artifacts”) model key business-relevantentities; which are updated by a set of services that implement business process tasks. Acollection of artifacts and services is called an artifact system. This modeling approach …,International Conference on Business Process Management,2011,36
The role of visual tools in a web application design and verification framework: a visual notation for LTL formulae,Marco Brambilla; Alin Deutsch; Liying Sui; Victor Vianu,Abstract As the Web becomes a platform for implementing complex B2C and B2Bapplications; there is a need to extend Web conceptual modeling to process-centricapplications. In this context; new problems about process safety and verification arise.Recent work has investigated high-level specification and verification of Web applications.This relies on a formal data-driven model of the application; which can access an underlyingdatabase as well as state information updated as the interaction progresses; and a set ofuser inputs. Properties verified concern the sequences of events; inputs; states; and actionsresulting from the interaction. For the purpose of automatic verification; properties areexpressed in linear-time or branching-time temporal logics. However; temporal logicsproperties are difficult to specify and understand by users; which can be a significant …,International Conference on Web Engineering,2005,33
The reach active oodbms,Alejandro P Buchmann; Alin Deutsch; Juergen Zimmermann; M Higa,REACH[1] is a full-fledged aOODBMS research platform; that was implemented byextending TI's OpenOODB[2]. The REACH prototype is one of the first running systems thatcombines most of the advanced features of aOODBMSs that previously have been shown inpartial implementations only. It provides a much needed platform for the development ofapplications and was instrumented to make performance measurements and visualize theflow of execution. It has a graphical user interface and support tool for rule definition andadministration(GRANT). OpenOODB is implemented in an extensible way that resemblesthe event-driven paradigm of active database systems. A meta-architecture moduleimplements the notions of low-level event; sentry; and policy manager interface. Policymanagers are used for handling persistence; transactions; queries; etc. We extended …,ACM SIGMOD Record,1995,32
A query language for {XML},D Florescu; A Deutsch; A Levy; D Suciu; M Fernandez,*,Proceedings of Eighth International World Wide Web Conference,1999,30
Invisible glue: scalable self-tuning multi-stores,Francesca Bugiotti; Damian Bursztyn; Alin Deutsch; Ioana Ileana; Ioana Manolescu,Next-generation data centric applications often involve di-verse datasets; some very largewhile others may be of mod-erate size; some highly structured (eg; relations) while othersmay have more complex structure (eg; graphs) or little structure (eg; text or log data). Facingthem is a variety of storage systems; each of which can host some of the datasets (possiblyafter some data migration); but none of which is likely to be best for all; at all times.Deploying and efficiently running data-centric applications in such a complex setting is verychallenging. We propose Estocada; an architecture for efficiently han-dling highlyheterogeneous datasets based on a dynamic set of potentially very different data stores.Estocada pro-vides to the application/programming layer access to each data set in itsnative format; while hosting them internally in a set of potentially overlapping fragments …,Conference on Innovative Data Systems Research (CIDR),2015,25
Complete yet practical search for minimal query reformulations under constraints,Ioana Ileana; Bogdan Cautis; Alin Deutsch; Yannis Katsis,Abstract We revisit the Chase&Backchase (C&B) algorithm for query reformulation underconstraints; which provides a uniform solution to such particular-case problems as view-based rewriting under constraints; semantic query optimization; and physical access pathselection in query optimization. For an important class of queries and constraints; C&B hasbeen shown to be complete; ie guaranteed to find all (join-) minimal reformulations underconstraints. C&B is based on constructing a canonical rewriting candidate called a universalplan; then inspecting its exponentially many sub-queries in search for minimalreformulations; essentially removing redundant joins in all possible ways. This inspectioninvolves chasing the subquery. Because of the resulting exponentially many chases; theconventional wisdom has held that completeness is a concept of mainly theoretical …,Proceedings of the 2014 ACM SIGMOD international conference on Management of data,2014,24
Efficient rewriting of XPath queries using query set specifications,Bogdan Cautis; Alin Deutsch; Nicola Onose; Vasilis Vassalos,Abstract We study the problem of querying XML data sources that accept only a limited set ofqueries; such as sources accessible by Web services which can implement very large(potentially infinite) families of XPath queries. To compactly specify such families of querieswe adopt the Query Set Specifications [14]; a formalism close to context-free grammars. Wesay that query Q is expressible by the specification P if it is equivalent to some expansion ofP. Q is supported by P if it has an equivalent rewriting using some finite set of P'sexpansions. We study the complexity of expressibility and support and identify large classesof XPath queries for which there are efficient (PTIME) algorithms. Our study considers boththe case in which the XML nodes in the results of the queries lose their original identity andthe one in which the source exposes persistent node ids.,Proceedings of the VLDB Endowment,2009,22
