Nanotechnology platforms and physiological challenges for cancer therapeutics,Kelly Y Kim,*,Nanomedicine: Nanotechnology; Biology and Medicine,2007,272
STAT3-RANTES autocrine signaling is essential for tamoxifen resistance in human breast cancer cells,Eun Hee Yi; Chang Seok Lee; Jin-Ku Lee; Young Ju Lee; Min Kyung Shin; Chung-Hyun Cho; Keon Wook Kang; Jung Weon Lee; Wonshik Han; Dong-Young Noh; Yong-Nyun Kim; Ik-Hyun Cho; Sang-kyu Ye,The acquisition of tamoxifen resistance is a major therapeutic problem in breast cancer. Wedeveloped a tamoxifen-resistant MCF-7 (TRM-7) cell line to elucidate the molecularmechanisms and factors associated with acquisition of such resistance. We showed thatphosphorylation of STAT3 at tyrosine 705 (Y705) and RANTES expression are increased inresponse to tamoxifen in human breast cancer cells. On the basis of these results; wehypothesize that upregulated STAT3 phosphorylation and RANTES may be correlated withthe development of drug resistance. Here; we showed that STAT3 and RANTES contributeto the maintenance of drug resistance. STAT3 phosphorylation is constitutively retained via aRANTES autocrine loop; which in turn upregulates anti-apoptotic signals in TRM-7 cells.STAT3–RANTES autocrine signaling affected expression of anti-apoptotic BCL-2 family …,Molecular Cancer Research,2013,39
Short-term hyperhomocysteinemia-induced oxidative stress activates retinal glial cells and increases vascular endothelial growth factor expression in rat retina,Insun Lee; Hwayoung Lee; Ji-Myung Kim; Eun Hye Chae; Soo Jung Kim; Namsoo Chang,抄録 Hyperhomocysteinemia is associated with an increase in the incidence of vasculardiseases; including retinal vascular diseases. We examined the effects of high plasma levelsof homocysteine on retinal glial cells and vascular endothelial growth factor (VEGF)expression. Male Sprague-Dawley rats were fed either a 3.0 g/kg homocystine diet or acontrol diet for 2 week. The homocystine-diet group had higher plasma levels ofhomocysteine and thiobarbituric acid reactive substances (TBARSs) and lower plasmalevels of folate; retinol; α-tocopherol; and retinal expression of CuZn superoxide dismutase(SOD) than the controls. The rats fed the homocystine-diet showed an increase in vimentin;glial fibrillary acidic protein (GFAP); and VEGF immunoreactivity in the retina as compared tothe controls. The increase in vimentin immunoreactivity in the hyperhomocysteinemic rats …,Bioscience; biotechnology; and biochemistry,2007,37
CADPE suppresses cyclin D1 expression in hepatocellular carcinoma by blocking IL-6-induced STAT3 activation,Cheolhee Won; Chang Seok Lee; Jin-Ku Lee; Tack-Joong Kim; Kwang-Ho Lee; Young Mok Yang; Yong-Nyun Kim; Sang-Kyu Ye; Myung-Hee Chung,Abstract The initiation and growth of hepatocellular carcinoma (HCC) are closely linked tochronic inflammation. Not only is cyclin D1 overexpressed; but it is also related to aggressiveprogression in HCC. However; the mechanism of expression cyclin D1; a cell-cycle regulatorof paramount importance; in the tumor microenvironment remains unknown. Here; weinvestigated the mechanism of cyclin D1 expression induced by interleukin-6 (IL-6) andwhether 3-[3; 4-dihydroxy-phenyl]-acrylic acid 2-[3; 4-dihydroxy-phenyl]-ethyl ester(CADPE); a derivate of caffeic acid; suppresses cyclin D1 expression. CADPE significantlyinhibited IL-6-induced signal transducer and activator of transcription 3 (STAT3) activity inthe Huh7 HCC cell line and attenuated IL-6-induced cyclin D1 transcription. Moreover;overexpression of constitutively active STAT3 increased cyclin D1 transcriptional activity …,Anticancer research,2010,35
Similarity join size estimation using locality sensitive hashing,Hongrae Lee; Raymond T Ng; Kyuseok Shim,Abstract Similarity joins are important operations with a broad range of applications. In thispaper; we study the problem of vector similarity join size estimation (VSJ). It is ageneralization of the previously studied set similarity join size estimation (SSJ) problem andcan handle more interesting cases such as TF-IDF vectors. One of the key challenges insimilarity join size estimation is that the join size can change dramatically depending on theinput similarity threshold. We propose a sampling based algorithm that uses Locality-Sensitive-Hashing (LSH). The proposed algorithm LSH-SS uses an LSH index to enableeffective sampling even at high thresholds. We compare the proposed technique withrandom sampling and the state-of-the-art technique for SSJ (adapted to VSJ) anddemonstrate LSH-SS offers more accurate estimates throughout the similarity threshold …,Proceedings of the VLDB Endowment,2011,30
Power-law based estimation of set similarity join size,Hongrae Lee; Raymond T Ng; Kyuseok Shim,Abstract We propose a novel technique for estimating the size of set similarity join. Theproposed technique relies on a succinct representation of sets using Min-Hash signatures.We exploit frequent patterns in the signatures for the Set Similarity Join (SSJoin) sizeestimation by counting their support. However; there are overlaps among the counts ofsignature patterns and we need to use the set Inclusion-Exclusion (IE) principle. We developa novel lattice-based counting method for efficiently evaluating the IE principle. Theproposed counting technique is linear in the lattice size. To make the mining process verylight-weight; we exploit a recently discovered Power-law relationship of pattern count andfrequency. Extensive experimental evaluations show the proposed technique is capable ofaccurate and efficient estimation.,Proceedings of the VLDB Endowment,2009,29
Transflective liquid crystal display device and method for manufacturing the same,*,A transflective type LCD device and a method for manufacturing the same is disclosed; inwhich an aperture ratio of a reflective part is improved; and manufacturing process issimplified by decreasing the number of masks for forming contact holes. The transflectivetype LCD device includes a plurality of gate and data lines crossing each other; defining aplurality of pixel regions; a thin film transistor at a crossing point of the gate and data lines; alower storage electrode formed by one portion of a preceding gate line; and an upperstorage electrode above the lower storage electrode having a gate insulating layer inbetween; a transmitting electrode in contact the upper storage electrode; and a reflectiveelectrode in contact with the transmitting electrode in the reflective part of the pixel regionwherein the transmitting electrode is in between the reflective electrode and the substrate.,*,2012,28
Variance aware optimization of parameterized queries,Surajit Chaudhuri; Hongrae Lee; Vivek R Narasayya,Abstract Parameterized queries are commonly used in database applications. In aparameterized query; the same SQL statement is potentially executed multiple times withdifferent parameter values. In today's DBMSs the query optimizer typically chooses a singleexecution plan that is reused for multiple instances of the same query. A key problem is thateven if a plan with low average cost across instances is chosen; its variance can be high;which is undesirable in many production settings. In this paper; we describe techniques forselecting a plan that can better address the trade-off between the average and variance ofcost across instances of a parameterized query. We show how to efficiently compute theskyline in the average-variance cost space. We have implemented our techniques on top ofa commercial DBMS. We present experimental results on benchmark and real-world …,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,25
Performance evaluation and verification of communication protocol for railway signaling systems,Jae-Ho Lee; Jong-Gyu Hwang; Gwi-Tae Park,Abstract As long as railway signaling systems is digitalized; communication link is gettingmore important as a result of variety of communication links; such as links for interfacebetween each signaling are replaced by digital communication channels. However; thecommunication links for current railroad signaling have some problems in Korea. At first; themaintenance is difficult because protocols for interface are applied differently at the eachmanufacturer. Also; communication protocols; such as structure; byte format; and errorcorrection method; have a little non-logical part; which threatens safety. In order to solve thisproblem; the standard communication verified by using formal method is required. Afterdesigning new protocol for railway signaling; this paper analyzed the designed protocol'sstructure and performance through simulation. Also; as a very important part in the …,Computer Standards & Interfaces,2005,25
Survey of consumer perception for derivation of superior factors in various Korean traditional foods,Dai-la Jang; Suna Kim; Sang-Hee Kim; Kyoung Kae Lee,Abstract This study selected and classified the representative foods for diversifying Koreantraditional foods in the globa1 market and derived the superior factor of each food byconsumer survey (n= 744). The superiority of Korean traditional foods was generallyrecognized as being in the order of'Nutritional value'>'Dietary culture'>'Material'>'Taste.'Kimchi; Tteok/Hangwa; and grilled foods were regarded as potent Korean traditional foodsfor global consumers. The survey about the superior factors of representative Koreantraditional foods produced the following results. The superior factor of Bibimbap; Mandu;Jangachi; Joeotgal; Namul muchim Salad; Naengchae; and Ganjang was' Variety ofmaterial or cuisine'; that of Bap; Jut Samguetang; Seolleongtang; Kimchi; Doenjang; andSikcho was' Nutritional value'; that of Naengmyeon; Kalguksu; Bulgogi; Pyeonyuk …,Korean journal of food and cookery science,2005,25
Use of 2-methyl-1-phenylpropan-2-yl hydroperoxide (MPPH) as a mechanistic probe for the heterolytic versus homolytic OO bond cleavage of tert-alkyl hydroperoxid...,Wonwoo Nam; Hye J Choi; Hui J Han; So H Cho; Ha J Lee; So-Yeop Han,АННОТАЦИЯ: The mechanism of the OO bond cleavage of tert-alkyl hydroperoxide by iron(III) porphyrin complexes has been studied using 2-methyl-1-phenylpropan-2-ylhydroperoxide (MPPH) as a mechanistic probe; the hydroperoxide OO bond is cleaved bothheterolytically and homolytically and partitioning between the two pathways significantlydepends on the reaction conditions such as the pH of the reaction solutions and the natureof porphyrin and axial ligands.,Chemical Communications,1999,25
Liver X receptor activation inhibits melanogenesis through the acceleration of ERK-mediated MITF degradation,Chang Seok Lee; Miyoung Park; Jiwon Han; Ji-hae Lee; Il-Hong Bae; Hyunjung Choi; Eui Dong Son; Young-Ho Park; Kyung-Min Lim,Liver X receptors (LXRs) are nuclear receptors that act as ligand-activated transcriptionfactors regulating lipid metabolism and inflammation. In the skin; activation of LXRsstimulates differentiation of keratinocytes and augments lipid synthesis in sebocytes.However; the function of LXRs in melanocytes remains largely unknown. We investigatedwhether LXR activation would affect melanogenesis. In human primary melanocytes; MNT-1;and B16 melanoma cells; TO901317; a synthetic LXR ligand; inhibited melanogenesis.Small interfering RNA (siRNA) experiments revealed the dominant role of LXRβ inTO901317-mediated antimelanogenesis. Enzymatic activities of tyrosinase were unaffected;but the expression of tyrosinase; tyrosinase-related protein-1 (TRP-1); and TRP-2 wassuppressed by TO901317. Expressions of microphthalmia-associated transcription factor …,Journal of Investigative Dermatology,2013,22
Sophoraflavanone G induces apoptosis of human cancer cells by targeting upstream signals of STATs,Byung-Hak Kim; Cheolhee Won; Yun-Han Lee; Jung Sook Choi; Kum Hee Noh; Songhee Han; Haeri Lee; Chang Seok Lee; Dong-Sup Lee; Sang-Kyu Ye; Myoung-Hwan Kim,Abstract Aberrantly activated signal transducer and activator of transcription (STAT) proteinsare implicated with human cancers and represent essential roles for cancer cell survival andproliferation. Therefore; the development of small-molecule inhibitors of STAT signalingbearing pharmacological activity has therapeutic potential for the treatment of humancancers. In this study; we identified sophoraflavanone G as a novel small-molecule inhibitorof STAT signaling in human cancer cells. Sophoraflavanone G inhibited tyrosinephosphorylation of STAT proteins in Hodgkin's lymphoma and tyrosine phosphorylation ofSTAT3 in solid cancer cells by inhibiting phosphorylation of the Janus kinase (JAK) proteins;Src family tyrosine kinases; such as Lyn and Src; Akt; and ERK1/2. In addition;sophoraflavanone G inhibited STAT5 phosphorylation in murine-bone-marrow-derived …,Biochemical pharmacology,2013,21
Feature-based machining precedence reasoning and sequence planning,YS Kim; E Wang; CS Lee; HM Rho,*,Atlanta; GA,1998,21
Fabrication of hierarchical Rh nanostructures by understanding the growth kinetics of facet-controlled Rh nanocrystals,Heonjo Kim; Nguyen Tien Khi; Jisun Yoon; Hongseok Yang; Youngjoo Chae; Hionsuck Baik; HyunKyung Lee; Jeong-Hun Sohn; Kwangyeol Lee,By understanding the structural relationship among three shape-controlled Rhnanostructures; namely;{111} nanotetrahedrons;{111} tetrahedral nanoframes; and< 111>skeletal nanotetrapods; we could prepare novel hierarchical dendritic Rh nanostructureswith< 111> Rh arms as linkers between tetrahedral shaped nanocrystals.,Chemical Communications,2013,19
Adamantyl N-benzylbenzamide: new series of depigmentation agents with tyrosinase inhibitory activity,Heung Soo Baek; Yong Deog Hong; Chang Seok Lee; Ho Sik Rho; Song Seok Shin; Young-Ho Park; Yung Hyup Joo,Abstract A new series of polyhydroxylated N-benzylbenzamide derivatives containing anadamantyl moiety has been synthesized; and the depigmenting and tyrosinase inhibitoryactivities of the molecules were evaluated. The lipophilic character of the adamantyl moietyappeared to confer greater depigmentation power on the benzamide derivatives ascompared to those lacking adamantyl substitution. Molecular modeling was applied in orderto elucidate the interactions between ligands and tyrosinase that led to inhibition.,Bioorganic & medicinal chemistry letters,2012,19
Studies on tyrosinase inhibitory and antioxidant activities of benzoic acid derivatives containing kojic acid moiety,Ho-Sik Rho; Chang-Seok Lee; Soo-Mi Ahn; Yong-Deog Hong; Song-Seok Shin; Young-Ho Park; Soo-Nam Park,Studies on Tyrosinase Inhibitory and Antioxidant Activities of Benzoic Acid Derivatives ContainingKojic Acid Moiety - Tyrosinase;DPPH;Hydroxyl benzoic acid;Kojic acid;Ester;,Bulletin of the Korean Chemical Society,2011,18
Approximate substring selectivity estimation,Hongrae Lee; Raymond T Ng; Kyuseok Shim,Abstract We study the problem of estimating selectivity of approximate substring queries. Itsimportance in databases is ever increasing as more and more data are input by users andare integrated with many typographical errors and different spelling conventions. To beginwith; we consider edit distance for the similarity between a pair of strings. Based oninformation stored in an extended N-gram table; we propose two estimation algorithms; MOFand LBS for the task. The latter extends the former with ideas from set hashing signatures.The experimental results show that MOF is a light-weight algorithm that gives fairly accurateestimations. However; if more space is available; LBS can give better accuracy than MOFand other baseline methods. Next; we extend the proposed solution to other similaritypredicates; SQL LIKE operator and Jaccard similarity.,Proceedings of the 12th International Conference on Extending Database Technology: Advances in Database Technology,2009,16
QoS management specification support for multimedia middleware,Hector A Duran-Limon; Gordon S Blair,Abstract Middleware technologies are now widely used in order to provide support for theinteraction of systems relying on different hardware and operating systems. At presentmiddleware platforms; however; do not provide enough support for both the configurationand reconfiguration of quality of service (QoS) management aspects of real-timeapplications such as distributed multimedia systems. That is; current middleware onlyprovides support for the low-level specification of QoS properties. This paper presents anarchitecture description language (ADL) called Xelha for the high-level specification of QoSmanagement in multimedia middleware whereas lower-level aspects can be tuned by usingan aspect-oriented suite of languages referred to as resource configuration descriptionlanguage (RCDL). Tool support is also provided for the interpretation of the Xelha and …,Journal of Systems and Software,2004,16
Inhibition of DNA topoisomerase I by dihydrotanshinone I; components of a medicinal herb Salvia miltiorrhiza Bunge,Dong-Sun Lee; Sang-Han Lee; Gi-Seok Kwon; Hong-Kum LEE; Joo-Hyung WOO; Jong-Guk KIM; Soon-Duck HONG,抄録 Dihydrotanshinone I induced topoisomerase I-mediated DNA cleavage in vitro asstrongly as camptothecin; but topoisomerase II-mediated DNA cleavage was not affected. Ina DNA relaxation assay using calf thymus DNA topoisomerase I and supercoiled pBR322plasmid DNA; dihydrotanshinone I reduced topoisomerase I-mediated DNA relaxation in adose-dependent manner. Heat treatment (65 C) of the reaction mixture containingdihydrotanshinone I and topoisomerase I resulted in a substantial reduction in DNAcleavage; suggesting topoisomerase I and dihydrotanshinone I may form a reversiblecleavable complex to induce DNA damage. A DNA unwinding assay using T 4 DNA ligaseshowed that dihydrotanshinone I is a very weak DNA intercalator. These results suggest thatdihydrotanshinone I inhibits the catalytic activity of topoisomerase I by the formation of a …,Bioscience; biotechnology; and biochemistry,1999,16
Homologous monocuspid valve patch in right ventricular outflow tract reconstruction,Tae-Gook Jun; Pyo Won Park; Park Kay-Hyun; Hurn Chae,BACKGROUND: In the surgical repair of tetralogy of Fallot or pulmonary atresia; pulmonaryregurgitation may be detrimental in the postoperative period. We have used homograftmonocuspid valve patch to prevent pulmonary insufficiency. METHODS: From September1996 to December 1998; twenty-five patients; 4 months to 8 years of age (median 10.1months) had homograft monocuspid valve in the procedure of right ventricular outflow tractreconstruction. The function of the monocuspid valve was assessed by echocardiogram andgraded as trivial to mild; mild to moderate; moderate; and severe. We evaluated the degreeof pulmonary insufficiency before discharge; at 3-6 months; and at 12 months after theoperation. RESULTS: There was one hospital death due to fulminate adeno viralpneumonia. On echocardiogram; 21 patients (88%; 21/24) had no significant pulmonary …,Journal of Cardiovascular Surgery,2001,15
A novel adamantyl benzylbenzamide derivative; AP736; suppresses melanogenesis through the inhibition of cAMP‐PKA‐CREB‐activated microphthalmia‐associat...,Chang Seok Lee; Won‐Hee Jang; Miyoung Park; Kyoungmi Jung; Heung Soo Baek; Yung Hyup Joo; Young‐Ho Park; Kyung‐Min Lim,Abstract Melanogenesis is essential for the protection of skin against UV; but excessiveproduction of melanin causes unaesthetic hyperpigmentation. Much effort is being made todevelop effective depigmenting agents. Here; we found that a tyrosinase inhibitor; AP736 (5-adamantan-1-yl-N-(2; 4-dihydroxy-benzyl)-2; 4-dimethoxy-benzamide) potently suppressestyrosinase expression; and the mechanism underlying was elucidated. AP736 attenuatedthe melanin production induced by diverse melanogenic stimuli in murine and humanmelanocytes. It suppressed the expression of key melanogenic enzymes; tyrosinase;tyrosinase-related protein-1 and tyrosinase-related protein-2. The expression ofmicrophthalmia-associated transcription factor (MiTF); a major promoter of melanogenesiswas also decreased. AP736 inhibited the activation of cAMP response element-binding …,Experimental dermatology,2013,13
Depigmenting activities of kojic acid derivatives without tyrosinase inhibitory activities,Jun-Cheol Cho; Ho Sik Rho; Yung Hyup Joo; Chang Seok Lee; Jaekyoung Lee; Soo Mi Ahn; Jung Eun Kim; Song Seok Shin; Young-Ho Park; Kyung-Do Suh; Soo Nam Park,Abstract We synthesized benzoate ester derivatives of kojic acid with and withoutadamantane moiety. Benzoate derivatives 2a–e that did not contain an adamantane moietyshowed potent tyrosinase inhibitory activities. However; depigmenting activity was not notedin a cell-based assay. Contrasting results were obtained for benzoate derivatives (3a–e)containing an adamantane moiety. Compounds 3a–e showed potent depigmenting activitieswithout tyrosinase inhibitory activities. To the best of our knowledge; this is the first studyshowing the depigmenting activities of kojic acid derivatives without tyrosinase inhibitoryactivities.,Bioorganic & medicinal chemistry letters,2012,13
Versatile punch surgery,Khalid M AlGhamdi; Madallah M AlEnazi,Background: Punch instrument is a circular blade that can be used for many diagnostic andtherapeutic purposes in different medical and surgical specialties. Punch surgery (or biopsy)is achieved by using this versatile punch blade under local anesthesia. Basic punch surgeryis quick and easy to learn. Complications such as bleeding and infection are minimal.Diagnostic punch surgery can obtain a part of or whole skin lesion for histologicexamination. In addition to the skin; nail and mucous membrane tissue can be obtained bypunch biopsy. Interestingly; punch biopsy can be used as an adjunctive to fine-needleaspiration to establish the diagnosis of tumors of solid organ such as the breast. Diagnosticpunch surgery can be modified to overcome certain problems. The split-punch techniquehelps avoid crushing the tissue punch when trying to divide it for different examinations …,Journal of cutaneous medicine and surgery,2011,13
Zeolite 4A; a synthetic silicate; suppresses melanogenesis through the degradation of microphthalmia-associated transcription factor by extracellular signal-regulate...,Yong Jae Shin; Chang-Soo Han; Chang Seok Lee; Hong-Sook Kim; Seong-Hee Ko; Seung Kyun Hwang; Seong-Gyu Ko; Jong Wook Shin; Sang-Kyu Ye; Myung-Hee Chung,MATERIALS AND METHODS Materials Fetal bovine serum (FBS); Dulbecco's modifiedEagle's medium and other medium supplements were purchased from Invitrogen (Carlsbad;NM; USA). Synthetic melanin; L-dihydroxyphenylalanine (L-DOPA); kojic acid andmushroom tyrosinase were purchased from Sigma-Aldrich Co.(St. Louis; MO; USA). Alpha-MSH was purchased from Calbiochem (St. Louis; MO; USA). Anti-pERK (Thr 202; Tyr 204);anti-ERK and anti-pAKT were purchased from Santa Cruz Biotechnology (Santa Cruz; CA;USA). Anti-tyrosinase antibody; anti-MITF (C-5) and anti-tubulin (DM1A) were purchasedfrom NeoMarker (Fremont; CA; USA). Cell Cultures B16F10 melanoma cells weregenerously provided by Dr. Kyoung-Chan Park (Department of Dermatology; Seoul NationalUniversity); cultured in DMEM (13.4 mg/ml Dulbecco's modified Eagle's medium; 10mM …,Biological and Pharmaceutical Bulletin,2010,13
