A reputation-based approach for choosing reliable resources in peer-to-peer networks,Ernesto Damiani; De Capitani di Vimercati; Stefano Paraboschi; Pierangela Samarati; Fabio Violante,Abstract Peer-to-peer (P2P) applications have seen an enormous success; and recentlyintroduced P2P services have reached tens of millions of users. A feature that significantlycontributes to the success of many P2P applications is user anonymity. However; anonymityopens the door to possible misuses and abuses; exploiting the P2P network as a way tospread tampered with resources; including Trojan Horses; viruses; and spam. To addressthis problem we propose a self-regulating system where the P2P network is used toimplement a robust reputation mechanism. Reputation sharing is realized through adistributed polling algorithm by which resource requestors can assess the reliability of aresource offered by a participant before initiating the download. This way; spreading ofmalicious contents will be reduced and eventually blocked. Our approach can be …,Proceedings of the 9th ACM conference on Computer and communications security,2002,874
Design and implementation of an access control processor for XML documents,Ernesto Damiani; Sabrina de Capitani di Vimercati; Stefano Paraboschi; Pierangela Samarati,Abstract More and more information is distributed in XML format; both on corporate Intranetsand on the global Net. In this paper an Access Control System for XML is described allowingfor definition and enforcement of access restrictions directly on the structure and content ofXML documents; thus providing a simple and effective way for users to protect information atthe same granularity level provided by the language itself.,Computer Networks,2000,244
Database systems,Paolo Atzeni; Stefano Ceri; Stefano Paraboschi; Riccardo Torlone,*,*,1999,227
Automatic generation of production rules for integrity maintenance,Stefano Ceri; Piero Fraternali; Stefano Paraboschi; Letizia Tanca,Abstract In this article we present an approach to integrity maintenance; consisting ofautomatically generating production rules for integrity enforcement. Constraints areexpressed as particular formulas of Domain Relational Calculus; they are automaticallytranslated into a set of repair actions; encoded as production rules of an active databasesystem. Production rules may be redundant (they enforce the same constraint in differentways) and conflicting (because repairing one constraint may cause the violation of anotherconstraint). Thus; it is necessary to develop techniques for analyzing the properties of the setof active rules and for ensuring that any computation of production rules after any incorrecttransaction terminates and produces a consistent database state. Along these guidelines;we describe a specific architecture for constraint definition and enforcement. The …,ACM Transactions on Database Systems (TODS),1994,202
Combining fragmentation and encryption to protect privacy in data storage,Valentina Ciriani; Sabrina De Capitani Di Vimercati; Sara Foresti; Sushil Jajodia; Stefano Paraboschi; Pierangela Samarati,Abstract The impact of privacy requirements in the development of modern applications isincreasing very quickly. Many commercial and legal regulations are driving the need todevelop reliable solutions for protecting sensitive information whenever it is stored;processed; or communicated to external parties. To this purpose; encryption techniques arecurrently used in many scenarios where data protection is required since they provide alayer of protection against the disclosure of personal information; which safeguardscompanies from the costs that may arise from exposing their data to privacy breaches.However; dealing with encrypted data may make query processing more expensive. In thisarticle; we address these issues by proposing a solution to enforce the privacy of datacollections that combines data fragmentation with encryption. We model privacy …,ACM Transactions on Information and System Security (TISSEC),2010,193
P2P-based collaborative spam detection and filtering,Ernesto Damiani; S De Capitani Di Vimercati; Stefano Paraboschi; Pierangela Samarati,Spam is one of the major problems of today email systems. While many solutions have beenproposed to automatically detect and filter spam; spammers are getting more and moretechnically sophisticated and aware of internal workings of anti-spam systems; finding waysto disguise their emails to get around the different controls that can be enforced. We proposea decentralized privacy-preserving approach to spam filtering. Our solution exploits robustdigests to identify messages that are a slight variation of one another and a structured peer-to-peer architecture between mail servers to collaboratively share knowledge about spam.,Peer-to-Peer Computing; 2004. Proceedings. Proceedings. Fourth International Conference on,2004,154
Basi di dati: modelli e linguaggi di interrogazione,Paolo Atzeni; Stefano Ceri; Stefano Paraboschi; R Torlone Rtorlone,Segnalazioni con codici 20501/20503/20504: Alcuni dati obbligatori per il sito CINECA nonsono presenti o invalidi; oppure il sito CINECA non è riuscito ad individuare una rivista con idati forniti; è necessario controllare la correttezza dell'ISSN e/o EISSN dove applicabili e iltitolo della rivista.Segnalazioni con codici 20201/20202: La pubblicazione non è statatrasferita SOLO per i docenti segnalati nel messaggio a causa di problemi nell'anagraficaCINECA e/o di Ateneo (pe i codici fiscali non sono gli stessi) oppure perché si tratta didocenti che; pur essendo abilitati all'inserimento nel sistema di Ateneo; non hanno facoltà disincronizzare le proprie pubblicazioni in CINECA. Tutti gli altri eventuali coautori senzasegnalazione troveranno la pubblicazione correttamente nel proprio spazio personaleCINECA.,*,2009,150
Data-driven; one-to-one web site generation for data-intensive applications,Stefano Ceri; Piero Fraternali; Stefano Paraboschi,Abstract A data-driven approach can be fruitfully used in the specification and automaticgeneration of data-intensive Web applications; ie; applications which make large amounts ofdata available on the Web. We present a multi-level architecture based on orthogonalabstractions for the definition of the structure; derivation; navigation; composition; andpresentation of Web sites; then we show how these ingredients are used in Torii; a toolenvironment for the specification and automatic generation of Web sites; currentlydeveloped in the context of a large Esprit project. By means of design tools; specificationsare collected in a design repository; which is next used for Web page generation. Thisdynamic; data-centered approach opens up opportunities for personalizations: each usercan be mapped to an individual hypertextual view of the Web site called site view; and …,VLDB,1999,149
Fuzzy techniques for trust and reputation management in anonymous peer‐to‐peer systems,Roberto Aringhieri; Ernesto Damiani; Di Vimercati; Sabine De Capitani; Stefano Paraboschi; Pierangelo Samarati,Abstract Peer-to-peer (P2P) applications are rapidly gaining acceptance among users ofInternet-based services; especially because of their capability of exchanging resourceswhile preserving the anonymity of both requesters and providers. However; concerns havebeen raised about the possibility that malicious users can exploit the network to spreadtampered-with resources (eg; malicious programs and viruses). A considerable amount ofresearch has thus focused on the development of trust and reputation models in P2Pnetworks. In this article; we propose to use fuzzy techniques in the design of reputationsystems based on collecting and aggregating peers' opinions. Fuzzy techniques are used inthe evaluation and synthesis of all the opinions expressed by peers. The behavior of theproposed system is described by comparison with probabilistic approaches.,Journal of the Association for Information Science and Technology,2006,147
Modeling and assessing inference exposure in encrypted databases,Alberto Ceselli; Ernesto Damiani; Sabrina De Capitani Di Vimercati; Sushil Jajodia; Stefano Paraboschi; Pierangela Samarati,Abstract The scope and character of today's computing environments are progressivelyshifting from traditional; one-on-one client-server interaction to the new cooperativeparadigm. It then becomes of primary importance to provide means of protecting the secrecyof the information; while guaranteeing its availability to legitimate clients. Operating onlinequerying services securely on open networks is very difficult; therefore many enterprisesoutsource their data center operations to external application service providers. A promisingdirection toward prevention of unauthorized access to outsourced data is represented byencryption. However; data encryption is often supported for the sole purpose of protectingthe data in storage while allowing access to plaintext values by the server; which decryptsdata for query execution. In this paper; we present a simple yet robust single-server …,ACM Transactions on Information and System Security (TISSEC),2005,142
Encryption policies for regulating access to outsourced data,Sabrina De Capitani Di Vimercati; Sara Foresti; Sushil Jajodia; Stefano Paraboschi; Pierangela Samarati,Abstract Current access control models typically assume that resources are under the strictcustody of a trusted party which monitors each access request to verify if it is compliant withthe specified access control policy. There are many scenarios where this approach isbecoming no longer adequate. Many clear trends in Web technology are creating a need forowners of sensitive information to manage access to it by legitimate users using the servicesof honest but curious third parties; that is; parties trusted with providing the required servicebut not authorized to read the actual data content. In this scenario; the data owner encryptsthe data before outsourcing and stores them at the server. Only the data owner and userswith knowledge of the key will be able to decrypt the data. Possible access authorizationsare to be enforced by the owner. In this article; we address the problem of enforcing …,ACM Transactions on Database Systems (TODS),2010,137
A data outsourcing architecture combining cryptography and access control,Sabrina De Capitani Di Vimercati; Sara Foresti; Sushil Jajodia; Stefano Paraboschi; Pierangela Samarati,Abstract Data outsourcing is becoming today a successful solution that allows users andorganizations to exploit external servers for the distribution of resources. Some of the mostchallenging issues in such a scenario are the enforcement of authorization policies and thesupport of policy updates. Since a common approach for protecting the outsourced dataconsists in encrypting the data themselves; a promising approach for solving these issues isbased on the combination of access control with cryptography. This idea is in itself not new;but the problem of applying it in an outsourced architecture introduces several challenges. Inthis paper; we first illustrate the basic principles on which an architecture for combiningaccess control and cryptography can be built. We then illustrate an approach for enforcingauthorization policies and supporting dynamic authorizations; allowing policy changes …,Proceedings of the 2007 ACM workshop on Computer security architecture,2007,134
Active rules for XML: A new paradigm for E-services,Angela Bonifati; Stefano Ceri; Stefano Paraboschi,Abstract. XML is rapidly becoming one of the most widely adopted technologies forinformation exchange and representation. As the use of XML becomes more widespread;we foresee the development of active XML rules; ie; rules explicitly designed for themanagement of XML information. In particular; we argue that active rules for XML offer anatural paradigm for the rapid development of innovative e-services. In the paper; we showhow active rules can be specified in the context of XSLT; a pattern-based language forpublishing XML documents (promoted by the W3C) which is receiving strong commercialsupport; and Lorel; a query language for XML documents that is quite popular in theresearch world. We demonstrate; through simple examples of active rules for XSLT andLorel; that active rules can be effective for the implementation of e-commerce services …,The VLDB Journal,2001,116
Improved rule analysis by means of triggering and activation graphs,Elena Baralis; Stefano Ceri; Stefano Paraboschi,Abstract In this paper; we propose new methods for the compile-time analysis of thebehavior of active rules; based on the distinction between mutual triggering and mutualactivation of rules. This distinction motivates the introduction of two graphs defining ruleinteraction; called triggering and activation graphs respectively. Analysis techniquespresented in this paper are focused on the problem of termination; results provide asystematic identification of reactive behaviors which can be guaranteed to terminate andreactive behaviors which may lead to infinite rule processing.,International Workshop on Rules in Database Systems,1995,114
Fine grained access control for SOAP e-services,Ernesto Damiani; Sabrina De Capitani di Vimercati; Stefano Paraboschi; Pierangela Samarati,ABSTRACT Lightweight protocols for remote service invocation via HTTP and XML; such asSOAP; are rapidly gaining acceptance among developers of Internet-based e-services;especially because of their firewall-traversal capabilities. However; no standard techniquefor access control security is currently defined for either HTTP or SOAP itself. Concerns havebeen raised about the possibility that different SOAP applications will deal with embeddedsecurity in different ways; leading to application-dependent security holes. In this paper; wepropose an approach that relies on the XML structure of SOAP requests to support fine-grained authorizations at the level of individual XML elements and attributes that compose aSOAP call. The result is a simple; yet powerful and general; technique to enforce accessrestrictions to SOAP invocations.,Proceedings of the 10th international conference on World Wide Web,2001,113
Active rule management in Chimera,Ceri Stefano; Piero Fraternali; Paraboschi Stefano; Tanca Letizia,Segnalazioni con codici 20501/20503/20504: Alcuni dati obbligatori per il sito CINECA nonsono presenti o invalidi; oppure il sito CINECA non è riuscito ad individuare una rivista con idati forniti; è necessario controllare la correttezza dell'ISSN e/o EISSN dove applicabili e iltitolo della rivista.Segnalazioni con codici 20201/20202: La pubblicazione non è statatrasferita SOLO per i docenti segnalati nel messaggio a causa di problemi nell'anagraficaCINECA e/o di Ateneo (pe i codici fiscali non sono gli stessi) oppure perché si tratta didocenti che; pur essendo abilitati all'inserimento nel sistema di Ateneo; non hanno facoltà disincronizzare le proprie pubblicazioni in CINECA. Tutti gli altri eventuali coautori senzasegnalazione troveranno la pubblicazione correttamente nel proprio spazio personaleCINECA.,*,1996,112
VLDB 2001,Peter MG Apers; Paolo Atzeni; Stefano Ceri; Stefano Paraboschi; Kotagiri Ramamohanarao; Richard T Snodgrass,*,Proceedings of 27th International Conference on Very Large Data Bases; September 11-14; 2001; Roma; Italy,2001,109
Keep a few: Outsourcing data while maintaining confidentiality,Valentina Ciriani; Sabrina De Capitani Di Vimercati; Sara Foresti; Sushil Jajodia; Stefano Paraboschi; Pierangela Samarati,Abstract We put forward a novel paradigm for preserving privacy in data outsourcing whichdeparts from encryption. The basic idea behind our proposal is to involve the owner instoring a limited portion of the data; and maintaining all data (either at the owner or atexternal servers) in the clear. We assume a relational context; where the data to beoutsourced is contained in a relational table. We then analyze how the relational table canbe fragmented; minimizing the load for the data owner. We propose several metrics andpresent a general framework capturing all of them; with a corresponding algorithm finding aheuristic solution to a family of NP-hard problems.,European Symposium on Research in Computer Security,2009,104
Key management for multi-user encrypted databases,Ernesto Damiani; S Di Vimercati; Sara Foresti; Sushil Jajodia; Stefano Paraboschi; Pierangela Samarati,Abstract Database outsourcing is becoming increasingly popular introducing a newparadigm; called database-as-a-service (DAS); where an organization's database is storedat an external service provider. In such a scenario; access control is a very important issue;especially if the data owner wishes to publish her data for external use. In this paper; we firstpresent our approach for the implementation of access control through selective encryption.The focus of the paper is then the presentation of the experimental results; whichdemonstrate the applicability of our proposal.,Proceedings of the 2005 ACM workshop on Storage security and survivability,2005,104
Compile-time and runtime analysis of active behaviors,Elena Baralis; Stefano Ceri; Stefano Paraboschi,Active rules may interact in complex and sometimes unpredictable ways; thus possiblyyielding infinite rule executions by triggering each other indefinitely. This paper presentsanalysis techniques focused on detecting termination of rule execution. We describe anapproach which combines static analysis of a rule set at compile-time and detection ofendless loops during rule processing at runtime. The compile-time analysis technique isbased on the distinction between mutual triggering and mutual activation of rules. Thisdistinction motivates the introduction of two graphs defining rule interaction; calledTriggering and Activation Graphs; respectively. This analysis technique allows us to identifyreactive behaviors which are guaranteed to terminate and reactive behaviors which maylead to infinite rule processing. When termination cannot be guaranteed at compile-time …,IEEE Transactions on Knowledge and Data Engineering,1998,101
An Open Digest-based Technique for Spam Detection.,Ernesto Damiani; Sabrina De Capitani di Vimercati; Stefano Paraboschi; Pierangela Samarati,Abstract A promising anti-spam technique consists in collecting users opinions that givenemail messages are spam and using this collective judgment to block message propagationto other users. To be effective; this strategy requires a way to identify similarity among emailmessages; even if the program used by the spammer to generate the messages may try toobfuscate their common origin. In this paper; we investigate the issues arising in the designof a digest-based spam detection mechanism; which has to satisfy many conflictingrequirements: protect message confidentiality; be public; and prove difficult or expensive tofool by obfuscation techniques that automatically introduce differences into the same basespam message. We show that an open digest function is able to satisfy the aboverequirements and contribute to the fight against spam.,ISCA PDCS,2004,98
Efficient and private access to outsourced data,Sabrina De Capitani di Vimercati; Sara Foresti; Stefano Paraboschi; Gerardo Pelosi; Pierangela Samarati,As the use of external storage and data processing services for storing and managingsensitive data becomes more and more common; there is an increasing need for noveltechniques that support not only data confidentiality; but also confidentiality of the accessesthat users make on such data. In this paper; we propose a technique for guaranteeingcontent; access; and pattern confidentiality in the data outsourcing scenario. The proposedtechnique introduces a shuffle index structure; which adapts traditional B+-trees. We showthat our solution exhibits a limited performance cost; thus resulting effectively usable inpractice.,Distributed Computing Systems (ICDCS); 2011 31st International Conference on,2011,97
Active xquery,Angela Bonifati; Stefano Paraboschi,Summary We analyze some of the issues arising when an event-condition-action (ECA) rulemechanism is introduced within an XML management system. Apart from the presentation ofa specific solution; the focus of the chapter is on two aspects. First; we analyze the couplingmodes (immediate and deferred) that can be adopted to integrate the event application partand the rule evaluation part. Then; we illustrate how the component responsible of updatingXML data and the rule processing engine can be integrated in a loose or tight way;producing two distinct rule execution semantics.,*,2004,97
Access control: principles and solutions,Sabrina De Capitani di Vimercati; Stefano Paraboschi; Pierangela Samarati,Abstract Access control is the process of mediating every request to resources and datamaintained by a system and determining whether the request should be granted or denied.The variety and complexity of the protection requirements that may need to be imposedmakes access control a far from trivial process. Expressiveness and flexibility are toprequisites for an access control system together with; and usually in conflict with; simplicityand efficiency. In this paper; we discuss the main desiderata for access control systems andillustrate the main characteristics of access control solutions in some of the most popularexisting systems. Copyright© 2003 John Wiley & Sons; Ltd.,Software: Practice and Experience,2003,93
Fragmentation and encryption to enforce privacy in data storage,Valentina Ciriani; Sabrina De Capitani Di Vimercati; Sara Foresti; Sushil Jajodia; Stefano Paraboschi; Pierangela Samarati,Abstract Privacy requirements have an increasing impact on the realization of modernapplications. Technical considerations and many significant commercial and legalregulations demand today that privacy guarantees be provided whenever sensitiveinformation is stored; processed; or communicated to external parties. It is therefore crucialto design solutions able to respond to this demand with a clear integration strategy forexisting applications and a consideration of the performance impact of the protectionmeasures. In this paper we address this problem and propose a solution to enforce privacyover data collections by combining data fragmentation with encryption. The idea behind ourapproach is to use encryption as an underlying (conveniently available) measure for makingdata unintelligible; while exploiting fragmentation as a way to break sensitive …,European symposium on research in computer security,2007,90
Pushing reactive services to XML repositories using active rules,Angela Bonifati; Stefano Ceri; Stefano Paraboschi,Abstract Push technology; ie; the ability of sending relevant information to clients in reactionto new events; is a fundamental aspect of modern information systems; XML is rapidlyemerging as the widely adopted standard for information exchange and representation andhence; several XML-based protocols have been defined and are the object of investigationat W3C and throughout commercial organizations. In this paper; we propose the newconcept of active XML rules for “pushing” reactive services to XML-enabled repositories.Rules operate on XML documents and deliver information to interested remote users inreaction to update events occurring at the repository site. The proposed mechanismassumes the availability of XML repositories supporting a standard XML query language;such as XQuery that is being developed by the W3C; for the implementation of the …,Computer Networks,2002,89
Design principles for data-intensive Web sites,Stefano Ceri; Piero Fraternali; Stefano Paraboschi,The integrated design of the VVeb interface and of data content gives several advantages inthe design of data-intensive VVeb sites. The main objectives of this design process are (a)associating the\Veb with a high-level description of its content; that can be used for querying;evolution; and main-tenance;(b) providing multiple views of the same data;(c) separating thedeﬁnition of information content from VVeb page composition; navigation; a11dpresentation; which should be deﬁned independently and autonomously;(d) storing the meta-information collected during the design process within a repository used for the dynamicgeneration of Web pages;(e) collecting information about the VVeb site usage; obtainedboth statically (user registration) and dynamically (user tracking);(f) supporting selectiveaccess to information based on users' requirements a11d needs;(g) using business rules …,SIGMOD record,1999,83
Modularization techniques for active rules design,Elena Baralis; Stefano Ceri; Stefano Paraboschi,Abstract Active database systems can be used to establish and enforce data managementpolicies. A large amount of the semantics that normally needs to be coded in applicationprograms can be abstracted and assigned to active rules. This trend is sometimes called“knowledge independence” a nice consequence of achieving full knowledge independenceis that data management policies can then effectively evolve just by modifying rules insteadof application programs. Active rules; however; may be quite complex to understand andmanage: rules react to arbitrary event sequences; they trigger each other; and sometimesthe outcome of rule processing may depend on the order in which events occur or rules arescheduled. Although reasoning on a large collection of rules is very difficult; the taskbecomes more manageable when the rules are few. Therefore; we are convinced that …,ACM Transactions on Database Systems (TODS),1996,82
Controlling access to XML documents,Ernesto Damiani; Pierangela Samarati; S De Capitani Di Vimercati; Stefano Paraboschi,Access control techniques for XML provide a simple way to protect confidential informationat the same granularity level provided by XML schemas. In this article; we describe ourapproach to these problems and the design guidelines that led to our currentimplementation of an access control system for XML information.,IEEE Internet Computing,2001,79
XML: Current developments and future challenges for the database community,Stefano Ceri; Piero Fraternali; Stefano Paraboschi,Abstract While we can take as a fact “the Web changes everything”; we argue that “XML isthe means” for such a change to make a significant step forward. We therefore regard XML-related research as the most promising and challenging direction for the community ofdatabase researchers. In this paper; we approach XML-related research by taking threeprogressive perspectives. We first consider XML as a data representation standard (in thesmall); then as a data interchange standard (in the large); and finally as a basis for buildinga new repository technology. After a broad and necessarily coarse-grain analysis; we turnour focus to three specific research projects which are currently ongoing at the Politecnico diMilano; concerned with XML query languages; with active document management; and withXML-based specifications of Web sites.,International Conference on Extending Database Technology,2000,78
Securing SOAP e-services,Ernesto Damiani; S De Capitani Di Vimercati; Stefano Paraboschi; Pierangela Samarati,Abstract. Remote service invocation via HTTP and XML promises to become an importantcomponent of the Internet infrastructure. Work is ongoing in the W3C XML Protocol WorkingGroup to define a common standard; and solutions like SOAP and XML-RPC are alreadyused in a few situations; demonstrating the potential. However; no standard technique foraccess control security is currently defined for these protocols. In this paper; we propose anapproach that relies on the XML structure of SOAP requests to support fine-grainedauthorizations at the level of individual XML elements and attributes that comprise a SOAPcall. The result is a simple yet general technique to specify and enforce fine-grained accesscontrol for e-services.,International Journal of Information Security,2002,68
Preserving confidentiality of security policies in data outsourcing,Sabrina De Capitani di Vimercati; Sara Foresti; Sushil Jajodia; Stefano Paraboschi; Gerardo Pelosi; Pierangela Samarati,Abstract Recent approaches for protecting information in data outsourcing scenarios exploitthe combined use of access control and cryptography. In this context; the number of keys tobe distributed and managed by users can be maintained limited by using a public catalog oftokens that allow key derivation along a hierarchy. However; the public token catalog; byexpressing the key derivation relationships; may leak information on the security policies(authorizations) enforced by the system; which the data owner may instead wish to maintainconfidential. In this paper; we present an approach to protect the privacy of the tokenspublished in the public catalog. Consistently with the data outsourcing scenario; our solutionexploits the use of cryptography; by adding an encryption layer to the catalog. Acomplicating issue in this respect is that this new encryption layer should follow a …,Proceedings of the 7th ACM workshop on Privacy in the electronic society,2008,63
Implementing a reputation-aware gnutella servent,Fabrizio Cornelli; Ernesto Damiani; Sabrina De Capitani di Vimercati; Stefano Paraboschi; Pierangela Samarati,Peer-to-peer (P2P) architectures have recently become the subject of consider- ableinterest; both in the population of Internet users and in the research com- munity [4;6;7;8;9;10;11;17]. Internet users find in P2P applications a convenient solution for the anonymous exchangeof resources. The research community has looked with interest to the huge success that theseapplications were achieving and it has started to investigate many issues that arise in thiscontext; like per- formance; usability; and robustness [2;6;12;13]. These architectures appearas an interesting paradigm for the development of many novel network applications. One of theurgent issues to be investigated is the definition of security mech- anisms that would permit toreduce the risks that are currently faced by users of these applications [1]. Anonymity of the interactionis one of the major reasons of the success of these solutions; but it usually implies that no …,International Conference on Research in Networking,2002,61
