Radiation-pressure acceleration of ion beams driven by circularly polarized laser pulses,Andreas Henig; S Steinke; M Schnürer; T Sokollik; Rainer Hörlein; D Kiefer; D Jung; Jörg Schreiber; BM Hegelich; XQ Yan; Jürgen Meyer-ter-Vehn; T Tajima; PV Nickles; W Sandner; Dietrich Habs,Abstract We present experimental studies on ion acceleration from ultrathin diamondlikecarbon foils irradiated by ultrahigh contrast laser pulses of energy 0.7 J focused to peakintensities of 5× 10 19 W/cm 2. A reduction in electron heating is observed when the laserpolarization is changed from linear to circular; leading to a pronounced peak in the fullyionized carbon spectrum at the optimum foil thickness of 5.3 nm. Two-dimensional particle-in-cell simulations reveal that those C 6+ ions are for the first time dominantly accelerated in aphase-stable way by the laser radiation pressure.,Physical Review Letters,2009,439
Stable laser-ion acceleration in the light sail regime,S Steinke; P Hilz; M Schnürer; G Priebe; J Bränzel; F Abicht; Daniel Kiefer; C Kreuzer; T Ostermayr; Jörg Schreiber; AA Andreev; TP Yu; A Pukhov; W Sandner,Abstract We present experimental results on ion acceleration with circularly polarized;ultrahigh contrast laser pulses focused to peak intensities of 5× 10 19 W cm− 2 onto polymertargets of a few 10 nanometer thickness. We observed spatially and energetically separatedprotons and carbon ions that accumulate to pronounced peaks around 2 MeV containing asmuch as 6.5% of the laser energy. Based on particle-in-cell simulation; we illustrate that anearly separation of heavier carbon ions and lighter protons creates a stable interface that ismaintained beyond the end of the radiation pressure dominated acceleration process.,Physical Review Special Topics-Accelerators and Beams,2013,45
Development of a high resolution and high dispersion Thomson parabola,Daniel Jung; Rainer Hörlein; Daniel Kiefer; S Letzring; DC Gautier; U Schramm; C Hübsch; R Öhm; BJ Albright; JC Fernandez; Dietrich Habs; BM Hegelich,Here; we report on the development of a novel high resolution and high dispersion Thomsonparabola for simultaneously resolving protons and low-Z ions of more than 100MeV/nucleon necessary to explore novel laser ion acceleration schemes. High electric andmagnetic fields enable energy resolutions of Δ E/E< 5% at 100 MeV/nucleon and impedepremature merging of different ion species at low energies on the detector plane. Firstresults from laser driven ion acceleration experiments performed at the Trident Laser Facilitydemonstrate high resolution and superior species and charge state separation of this novelThomson parabola for ion energies of more than 30 MeV/nucleon.,Review of Scientific Instruments,2011,45
First observation of quasi-monoenergetic electron bunches driven out of ultra-thin diamond-like carbon (DLC) foils,Daniel Kiefer; Andreas Henig; Daniel Jung; DC Gautier; KA Flippo; SA Gaillard; S Letzring; RP Johnson; RC Shah; T Shimada; JC Fernández; V Kh Liechtenstein; Jörg Schreiber; BM Hegelich; Dietrich Habs,Abstract Electrons have been accelerated from ultra-thin diamond-like carbon (DLC) foils byan ultrahigh-intensity laser pulse. A distinct quasi-monoenergetic electron spectrum peakedat 30 MeV is observed at a target thickness as thin as 5 nm which is in contrast to theobservations of wide spectral distributions for thicker targets. At the same time; a substantialdrop in laser-accelerated ion energies is found. The experimental findings give firstindication that relativistic electron sheets can be generated from ultra-thin foils which infuture may be used to generate brilliant X-ray beams by the coherent reflection of a secondlaser.,The European Physical Journal D,2009,45
A novel high resolution ion wide angle spectrometer,Daniel Jung; Rainer Hörlein; DC Gautier; S Letzring; Daniel Kiefer; K Allinger; BJ Albright; R Shah; S Palaniyappan; L Yin; JC Fernández; Dietrich Habs; BM Hegelich,A novel ion wide angle spectrometer (iWASP) has been developed; which is capable ofmeasuring angularly resolved energy distributions of protons and a second ion species;such as carbon C6+; simultaneously. The energy resolution for protons and carbon ions isbetter than 10% at∼ 50 MeV/nucleon and thus suitable for the study of novel laser-ionacceleration schemes aiming for ultrahigh particle energies. A wedged magnet designenables an acceptance angle of 30°(∼ 524 mrad) and high angular accuracy in the μradrange. First; results obtained at the LANL Trident laser facility are presented demonstratinghigh energy and angular resolution of this novel iWASP.,Review of Scientific Instruments,2011,37
Introducing the fission–fusion reaction process: using a laser-accelerated Th beam to produce neutron-rich nuclei towards the N= 126 waiting point of the r-process,Dietrich Habs; PG Thirolf; M Gross; K Allinger; J Bin; A Henig; D Kiefer; Wenjun Ma; Jörg Schreiber,Abstract We propose to produce neutron-rich nuclei in the range of the astrophysical r-process (the rapid neutron-capture process) around the waiting point N= 126 (Kratz et al. inProg. Part. Nucl. Phys. 59: 147; 2007; Arnould et al. in Phys. Rep. 450: 97; 2007; Panov andJanka in Astron. Astrophys. 494: 829; 2009) by fissioning a dense laser-accelerated thoriumion bunch in a thorium target (covered by a polyethylene layer; CH 2); where the light fissionfragments of the beam fuse with the light fission fragments of the target. Using the 'hole-boring'(HB) mode of laser radiation pressure acceleration (RPA)(Robinson et al. in PlasmaPhys. Control. Fusion 51: 024004; 2009; Henig et al. in Phys. Rev. Lett. 103: 245003; 2009;Tajima et al. in Rev. Accel. Sci. Technol. 2: 221; 2009) using a high-intensity; short pulselaser; bunches of 232 Th with solid-state density can be generated very efficiently from a …,Applied Physics B,2011,35
Harmonic generation by reflecting internal waves,Bruce Rodenborn; D Kiefer; HP Zhang; Harry L Swinney,The generation of internal gravity waves by tidal flow over topography is an importantoceanic process that redistributes tidal energy in the ocean. Internal waves reflect fromboundaries; creating harmonics and mixing. We use laboratory experiments and two-dimensional numerical simulations of the Navier–Stokes equations to determine the value ofthe topographic slope that gives the most intense generation of second harmonic waves inthe reflection process. The results from our experiments and simulations agree well but differmarkedly from theoretical predictions by SA Thorpe [“On the reflection of a train of finiteamplitude waves from a uniform slope;” J. Fluid Mech. 178; 279 (1987)] and A. Tabaei etal.[“Nonlinear effects in reflecting and colliding internal wave beams;” J. Fluid Mech. 526;217 (2005)]; except for nearly inviscid; weakly nonlinear flow. However; even for weakly …,Physics of Fluids,2011,30
Signatures of the Unruh effect via high-power; short-pulse lasers,PG Thirolf; D Habs; A Henig; D Jung; D Kiefer; C Lang; J Schreiber; C Maia; G Schaller; R Schützhold; T Tajima,Abstract The ultra-high fields of high-power short-pulse lasers are expected to contribute tounderstanding fundamental properties of the quantum vacuum and quantum theory in verystrong fields. For example; the neutral QED vacuum breaks down at the Schwinger fieldstrength of 1.3× 10 18 V/m; where a virtual e+ e-pair gains its rest mass energy over aCompton wavelength and materializes as a real pair. At such an ultra-high field strength; anelectron experiences an acceleration of a S= 2× 10 28 g and hence fundamentalphenomena such as the long predicted Unruh effect start to play a role. The Unruh effectimplies that the accelerated electron experiences the vacuum as a thermal bath with theUnruh temperature. In its accelerated frame the electron scatters photons off the thermalbath; corresponding to the emission of an entangled pair of photons in the laboratory …,The European Physical Journal D,2009,30
Dependence of laser-driven coherent synchrotron emission efficiency on pulse ellipticity and implications for polarization gating,M Yeung; B Dromey; S Cousens; T Dzelzainis; Daniel Kiefer; Jörg Schreiber; JH Bin; Wenjun Ma; C Kreuzer; Jürgen Meyer-ter-Vehn; MJV Streeter; PS Foster; S Rykovanov; M Zepf,Abstract The polarization dependence of laser-driven coherent synchrotron emissiontransmitted through thin foils is investigated experimentally. The harmonic generationprocess is seen to be almost completely suppressed for circular polarization opening up thepossibility of producing isolated attosecond pulses via polarization gating. Particle-in-cellsimulations suggest that current laser pulses are capable of generating isolated attosecondpulses with high pulse energies.,Physical review letters,2014,27
Coherent synchrotron emission in transmission from ultrathin relativistic laser plasmas,B Dromey; S Cousens; S Rykovanov; M Yeung; Daniel Jung; DC Gautier; T Dzelzainis; Daniel Kiefer; S Palaniyppan; R Shah; Jörg Schreiber; JC Fernandez; CLS Lewis; M Zepf; Björn M Hegelich,Abstract Relativistic laser plasmas have been shown to provide a robust platform for thegeneration of bright attosecond pulses via the relativistically oscillating mirror and coherentwake emission mechanisms. Theoretical work; however; has shown an alternative methodfor achieving this goal: dense nanobunch formation and acceleration on timescales of lessthan an optical laser cycle (~ 10− 15 s) during relativistic laser–plasma interactions. Thisopens up the exciting potential for developing a new bright ultrafast extreme ultravioletXUV/x-ray source. Here we demonstrate; using a previously unexplored geometry; coherentsynchrotron emission generated during relativistically intense laser–ultrathin foil interactionswhich extends to~ 1 keV photon energies. Particle-in-cell code simulations reveal howperiodic sub-laser cycle acceleration of dense nanobunches of electrons formed during …,New Journal of Physics,2013,20
Dynamics of nanometer-scale foil targets irradiated with relativistically intense laser pulses,Rainer Hörlein; S Steinke; Andreas Henig; Sergey G Rykovanov; M Schnürer; T Sokollik; Daniel Kiefer; Daniel Jung; Xue Qing Yan; T Tajima; Jörg Schreiber; M Hegelich; PV Nickles; Matthew Zepf; George D Tsakiris; W Sandner; Dietrich Habs,Abstract In this paper we report on an experimental study of high harmonic radiationgenerated in nanometer-scale foil targets irradiated under normal incidence. Theexperiments constitute the first unambiguous observation of odd-numbered relativisticharmonics generated by the v× B component of the Lorentz force verifying a long predictedproperty of solid target harmonics. Simultaneously the observed harmonic spectra allow in-situ extraction of the target density in an experimental scenario which is of utmost interest forapplications such as ion acceleration by the radiation pressure of an ultraintense laser.,Laser and Particle Beams,2011,18
Yersinia pestis in small rodents; Mongolia,Julia M Riehm; Damdindorj Tserennorov; Daniel Kiefer; Ingo W Stuermer; Herbert Tomaso; Lothar Zöller; Dashdavaa Otgonbaatar; Holger C Scholz,9. Timmermans E; Ruppol P; Saido A; Onclin M. Influence du marché international et desstratégies d'approvisionnement en viande sur les risques d'importation de maladies. Le casde l'ecthyma en République Fédérale Islamique des Comores. 2000 [cited 2010 Dec 1].http://www. vsfbelgium. org/docs/ecthyma_contagieux. pdf 10. De Deken R; Martin V; SaidoA; Madder M; Brandt J; Geysen D. An outbreak of East Coast fever on the Comoros: aconsequence of the import of immunised cattle from Tanzania? Vet Parasitol. 2007; 143: 245–53. doi: 10.1016/j. vetpar. 2006.08. 018,Emerging Infectious Diseases,2011,16
On the small divergence of laser-driven ion beams from nanometer thick foils,JH Bin; WJ Ma; Klaus Allinger; HY Wang; Daniel Kiefer; S Reinhardt; P Hilz; Konstantin Khrennikov; Stefan Karsch; Xue Qing Yan; Ferenc Krausz; Toshiki Tajima; Dietrich Habs; Jörg Schreiber,We report on experimental studies of divergence of proton beams from nanometer thickdiamond-like carbon foils irradiated by a linearly polarized intense laser with high contrast.Proton beams with extremely small divergence (half angle) of 2° are observed in additionwith a remarkably well-collimated feature over the whole energy range; showing one orderof magnitude reduction of the divergence angle in comparison to the results from μ m thicktargets. Similar features are reproduced in two-dimensional particle-in-cell simulations withparameters representing our experiments; indicating a strong influence from the electrondensity distribution on the divergence of protons. Our comprehensive experimental studyreveals grand opportunities for using nm foils in experiments that require high ion flux andsmall divergence.,Physics of Plasmas,2013,14
On the small divergence of laser-driven ion beams from nanometer thick foils,JH Bin; WJ Ma; Klaus Allinger; HY Wang; Daniel Kiefer; S Reinhardt; P Hilz; Konstantin Khrennikov; Stefan Karsch; Xue Qing Yan; Ferenc Krausz; Toshiki Tajima; Dietrich Habs; Jörg Schreiber,We report on experimental studies of divergence of proton beams from nanometer thickdiamond-like carbon foils irradiated by a linearly polarized intense laser with high contrast.Proton beams with extremely small divergence (half angle) of 2° are observed in additionwith a remarkably well-collimated feature over the whole energy range; showing one orderof magnitude reduction of the divergence angle in comparison to the results from μ m thicktargets. Similar features are reproduced in two-dimensional particle-in-cell simulations withparameters representing our experiments; indicating a strong influence from the electrondensity distribution on the divergence of protons. Our comprehensive experimental studyreveals grand opportunities for using nm foils in experiments that require high ion flux andsmall divergence.,Physics of Plasmas,2013,14
Bright subcycle extreme ultraviolet bursts from a single dense relativistic electron sheet,WJ Ma; JH Bin; HY Wang; M Yeung; C Kreuzer; M Streeter; PS Foster; S Cousens; D Kiefer; B Dromey; XQ Yan; Jürgen Meyer-ter-Vehn; M Zepf; Jörg Schreiber,Abstract Double-foil targets separated by a low density plasma and irradiated by a petawatt-class laser are shown to be a copious source of coherent broadband radiation. Simulationsshow that a dense sheet of relativistic electrons is formed during the interaction of the laserwith the tenuous plasma between the two foils. The coherent motion of the electron sheet asit transits the second foil results in strong broadband emission in the extreme ultraviolet;consistent with our experimental observations.,Physical review letters,2014,12
Comparison of femtosecond laser-driven proton acceleration using nanometer and micrometer thick target foils,M Schnürer; AA Andreev; S Steinke; T Sokollik; Tim Paasch-Colberg; PV Nickles; Andreas Henig; Daniel Jung; Daniel Kiefer; Rainer Hörlein; Jörg Schreiber; Toshiki Tajima; Dietrich Habs; W Sandner,Abstract Advancement of ion acceleration by intense laser pulses is studied with ultra-thinnanometer-thick diamond like carbon and micrometer-thick Titanium target foils. Bothinvestigations aim at optimizing the electron density distribution which is the key for efficientlaser driven ion acceleration. While recently found maximum ion energies achieved withultra-thin foils mark record values micrometer thick foils are flexible in terms of atomicconstituents. Electron recirculation is one prerequisite for the validity of a very simple modelthat can approximate the dependence of ion energies of nanometer-thick targets when allelectrons of the irradiated target area interact coherently with the laser pulse and CoherentAcceleration of Ions by Laser pulses (CAIL) becomes dominant. Complementaryexperiments; an analytical model and particle in cell computer simulations show; that with …,Laser and particle beams,2011,11
Il nodo delle Province,Roberto Bin,Scrivere oggi un Rapporto sulle province appare un compito inutile; più ancora che difficile.Le turbolente misure legislative che sono state emanate negli ultimi anni hanno infattimesso in crisi l'assetto tradizionale delle province in Italia; con il velleitario intento ditrasformarlo nel profondo. Le vicende sono note e sono state segnate da tre decreti-legge: ildl 201/2011 (cd “salva Italia”); convertito in legge 214/2011; il dl 95/2012; convertito dallalegge 135/2012; il dl 188/2012; decaduto. Il primo incide sugli organi della provincia:scompare la Giunta provinciale; mentre il Presidente e il Consiglio cessano di essere organieletti direttamente dal corpo elettorale; perché saranno espressione dei comuni ricadenti nelterritorio provinciale (manca però ancora la disciplina per la loro elezione); inoltre vengonoconseguentemente ridotte le competenze delle province; che dovranno essere limitate …,Le Regioni,2012,9
Bartonella; rodents; fleas and ticks: a molecular field study on host-vector-pathogen associations in Saxony; Eastern Germany,Cornelia Silaghi; Martin Pfeffer; Daniel Kiefer; Matthias Kiefer; Anna Obiegala,Abstract Bartonellae cause zoonotic diseases and are transmitted by arthropods. Rodentsare reservoirs for most Bartonella spp. As the knowledge about Bartonella in rodents andtheir parasitizing ectoparasites is scarce in Germany; this study's objectives were toinvestigate Bartonella spp. in small mammals and in their ectoparasites. A total of 79 smallmammals (seven species) were captured and their ectoparasites collected at seven sitesaround Leipzig; Saxony; Germany; in 2010 and 2011. Altogether; 79 spleen samples; 135fleas (five species) and 365 ticks (three species) were investigated for Bartonella spp. byPCR targeting the ITS 16S–23S rRNA region. In total; 52 (65.8%) small mammals; 73(54.1%) fleas and 51 (16.3%) ticks were positive for Bartonella spp. Most small mammalswere positive for uncultured Bartonella sp.(n= 29) followed by Bartonella grahamii (n= 12) …,Microbial ecology,2016,7
Optimization of Laser‐Generated Ion Beams,S Steinke; M Schnürer; T Sokollik; AA Andreev; PV Nickles; Andreas Henig; Rainer Hörlein; Daniel Kiefer; D Jung; Jörg Schreiber; Toshiki Tajima; M Hegelich; Dietrich Habs; W Sandner,Abstract In this paper the route towards the current optimum of laser generated ion beams bysubsequently changing the important parameters such as target thickness; laser pulsecontrast; angle of incidence and laser pulse polarization is sketched. Beginning withparameters of isothermal target normal sheath acceleration (TNSA); we reached the regimewhere the plasma expansion can be described adiabatically and results in a symmetric ionacceleration. Further we demonstrated a way to phase match the accelerating electronpopulation with the ions; namely coherent acceleration of ions by laser pulses (CAIL); whichfinally lead to radiation pressure acceleration (RPA) if the laser polarization was changedfrom linear to circular. These findings of ion acceleration with transparent solid targets areadditionally supported by analyzing the optical properties of the transmitted laser pulse (© …,Contributions to Plasma Physics,2011,7
Performance and behavior of seals for pneumatic spool valves,Guido Belforte; Marcello Conte; A Manuello; Luigi Mazza,This article presents a seal development approach that takes actual operating conditions(mounting; sealed pressure; lubricating conditions); seal material; and counterpartmachining tolerances into account. The approach was applied to the design of seals for acommercial pneumatic spool valve. A single seal geometry and two seat configurations werespecified on the basis of finite element analysis and experimental tests. The goal was todevelop a compact low-friction seal capable of operating dry in order to avoid the use ofgrease. The investigation focused on seals that are somewhat shorter (ie; with a smallerradial height to permit application on new valve models) than existing commercial units butwhose performance is not inferior. Prototypes of the new seal were manufactured andtested; and a specific device for measuring seal friction force and sealing was developed …,Tribology Transactions,2011,7
Rickettsia spp. in small mammals and their parasitizing ectoparasites from Saxony; Germany,Anna Obiegala; Carolin Oltersdorf; Cornelia Silaghi; Daniel Kiefer; Matthias Kiefer; Dietlinde Woll; Martin Pfeffer,Abstract Rickettsiae are emerging pathogens causing various types of spotted fever andtyphus and are mostly transmitted by arthropods to humans and animals. In order toinvestigate the distribution of Rickettsiae of the spotted fever group (SFG) in small mammalsas potential reservoirs and in fleas and ticks from these animals as potential vectors; a totalof 91 small mammals (seven species) were captured and their ectoparasites were collectedat seven sites around Leipzig; Saxony; Germany; in 2010 and 2011. Altogether; 91 skinsamples; 125 fleas (five species) and 363 ticks (four species) were investigated for DNA ofRickettsia spp. with a real-time PCR targeting the gltA gene. A total of 26 (28.6%) rodents; 5(3.9%) fleas and 151 (41.6%) ticks were positive for Rickettsia spp. by real-time PCR.Altogether 42 positive tick-; and all positive small mammal-and flea-samples were further …,Veterinary Parasitology: Regional Studies and Reports,2016,6
PACE 1450: An Experimental Test Setup for the Investigation of the Crack Behaviour of Prestressed Concrete Containment Walls,Nico Herrmann; Christoph Niklasch; Daniela Kiefer; Lutz Gerlach; Yann Le Pape; Stéphane Fortier,abstract Among other topics the crack initiation and the leakage through prestressedconcrete walls of reactor containments are matters of particular interest for the safety ofnuclear facilities. Experimental investigations under different loads which also include thelimit state under accidental conditions are the basis for the implementation of theseproblems in finite element codes. The validity of models that are used in nonlinearcalculations has to be verified by comparing their performance with experimental results. Inorder to determine the capability of simulations to predict the structural behaviour of realisticand representative structural parts these kind of complex tests are indispensable. The PACE1450 experimental project is an intermediate sized experiment to investigate the behaviourof a curved specimen which is representative for the prestressed containment of a 1450 …,16th International Conference on Nuclear Engineering,2008,6
