Indexing the Positions of Continuously Moving Objects.,Simonas Saltenis; Christian S. Jensen; Scott T. Leutenegger; Mario A. López,*,SIGMOD Conference,2000,1252
Mining significant semantic locations from GPS data,Xin Cao; Gao Cong; Christian S Jensen,Abstract With the increasing deployment and use of GPS-enabled devices; massiveamounts of GPS data are becoming available. We propose a general framework for themining of semantically meaningful; significant locations; eg; shopping malls and restaurants;from such data. We present techniques capable of extracting semantic locations from GPSdata. We capture the relationships between locations and between locations and users witha graph. Significance is then assigned to locations using random walks over the graph thatpropagates significance among the locations. In doing so; mutual reinforcement betweenlocation significance and user authority is exploited for determining significance; as areaspects such as the number of visits to a location; the durations of the visits; and thedistances users travel to reach locations. Studies using up to 100 million GPS records …,Proceedings of the VLDB Endowment,2010,280
Nearest neighbor and reverse nearest neighbor queries for moving objects,Rimantas Benetis; Christian S Jensen; Gytis Karciauskas; Simonas Saltenis,With the proliferation of wireless communications and the rapid advances in technologies fortracking the positions of continuously moving objects; algorithms for efficiently answeringqueries about large numbers of moving objects increasingly are needed. One such query isthe reverse nearest neighbor (RNN) query that returns the objects that have a query objectas their closest object. While algorithms have been proposed that compute RNN queries fornon-moving objects; there have been no proposals for answering RNN queries forcontinuously moving objects. Another such query is the nearest neighbor (NN) query; whichhas been studied extensively and in many contexts. Like the RNN query; the NN query hasnot been explored for moving query and data points. This paper proposes an algorithm foranswering RNN queries for continuously moving points in the plane. As a part of the …,Database Engineering and Applications Symposium; 2002. Proceedings. International,2002,278
Indexing of moving objects for location-based services,Simonas Saltenis; Christian S Jensen,Visionaries predict that the Internet will soon extend to billions of wireless devices; orobjects; a substantial fraction of which will offer their changing positions to location-basedservices. This paper assumes an Internet-service scenario where objects that have notreported their position within a specified duration of time are expected to no longer beinterested in; or of interest to; the service. Due to the possibility of many" expiring" objects; ahighly dynamic database results. The paper presents an R-tree based technique for theindexing of the current positions of such objects. Different types of bounding regions arestudied; and new algorithms are provided for maintaining the tree structure. Performanceexperiments indicate that; when compared to the approach where the objects are notassumed to expire; the new indexing technique can improve search performance by a …,Data Engineering; 2002. Proceedings. 18th International Conference on,2002,268
Multidimensional database technology,Torben Bach Pedersen; Christian S Jensen,Multidimensional database technology is a key factor in the interactive analysis of largeamounts of data for decision making purposes. In contrast to previous technologies; thesedatabases view data as multidimensional cubes that are particularly well suited for dataanalysis. Multidimensional models categorize data either as facts with associated numericalmeasures or as textual dimensions that characterize the facts. Queries aggregate measurevalues over a range of dimension values to provide results such as total sales per month of agiven product. Multidimensional database technology is being applied to distributed dataand to new types of data that current technology often cannot adequately analyze. Forexample; classic techniques such as preaggregation cannot ensure fast query responsetimes when data-such as that obtained from sensors or GPS-equipped moving objects …,Computer,2001,267
Temporal Entity-Relationship models-a survey,Heidi Gregersen; Christian S Jensen,The entity-relationship (ER) model; using varying notations and with some semanticvariations; is enjoying a remarkable and increasing popularity in both the researchcommunity-the computer science curriculum-and in industry. In step with the increasingdiffusion of relational platforms; ER modeling is growing in popularity. It has been widelyrecognized that temporal aspects of database schemas are prevalent and difficult to modelusing the ER model. As a result; how to enable the ER model to properly capture time-varying information has; for a decade and a half; been an active area in the databaseresearch community. This has led to the proposal of close to a dozen temporally enhancedER models. This paper surveys all temporally enhanced ER models known to the authors. Itprovides a comprehensive overview of temporal ER modeling and it thus meets a need …,IEEE Transactions on knowledge and data engineering,1999,249
-Supporting Frequent Updates in R-Trees: A Bottom-Up Approach,Mong Li Lee; Wynne Hsu; Christian S Jensen; Bin Cui; Keng Lik Teo,This paper proposes a generalized bottom-up update strategy for R-trees. This strategy ismotivated by the class of monitoring applications; which are characterized by large volumesof updates; and the increasingly important role of indexing. This update strategy can easilybe applied to the members of the family of R-tree-based indexing techniques; as it preservesthe index structure and takes into account concurrency control. The strategy improves therobustness of R-trees by supporting different levels of index reorganization—ranging fromlocal to global—during updates; thus using expensive top-down updates only whennecessary. This chapter presents a compact main-memory summary structure along withefficient bottom-up algorithms that reduce the numbers of disk accesses and CPU resourcesused for update and querying. Empirical studies indicate that the new strategy …,*,2003,237
On the semantics of “now” in databases,James Clifford; Curtis Dyreson; Tomás Isakowitz; Christian S Jensen; Richard Thomas Snodgrass,Abstract Although “now” is expressed in SQL and CURRENT_TIMESTAMP within queries;this value cannot be stored in the database. How ever; this notion of an ever-increasingcurrent-time value has been reflected in some temporal data models by inclusion ofdatabase-resident variables; such as “now”“until-changed;”“**;”“@;” and “-”. Time variablesare very desirable; but their used also leads to a new type of database; consisting of tupleswith variables; termed a variable database.,ACM Transactions on Database Systems (TODS),1997,237
Techniques for efficient road-network-based tracking of moving objects,Alminas Civilis; Christian S Jensen; Stardas Pakalnis,With the continued advances in wireless communications; geo-positioning; and consumerelectronics; an infrastructure is emerging that enables location-based services that rely onthe tracking of the continuously changing positions of entire populations of service users;termed moving objects. This scenario is characterized by large volumes of updates; forwhich reason location update technologies become important. A setting is assumed in whicha central database stores a representation of each moving object's current position. Thisposition is to be maintained so that it deviates from the user's real position by at most a giventhreshold. To do so; each moving object stores locally the central representation of itsposition. Then; an object updates the database whenever the deviation between its actualposition (as obtained from a GPS device) and the database position exceeds the …,IEEE Transactions on Knowledge and Data Engineering,2005,227
Nearest and reverse nearest neighbor queries for moving objects,Rimantas Benetis; Christian S Jensen; Gytis Karĉiauskas; Simonas Ŝaltenis,Abstract With the continued proliferation of wireless communications and advances inpositioning technologies; algorithms for efficiently answering queries about largepopulations of moving objects are gaining interest. This paper proposes algorithms for knearest and reverse k nearest neighbor queries on the current and anticipated futurepositions of points moving continuously in the plane. The former type of query returns kobjects nearest to a query object for each time point during a time interval; while the latterreturns the objects that have a specified query object as one of their k closest neighbors;again for each time point during a time interval. In addition; algorithms for so-calledpersistent and continuous variants of these queries are provided. The algorithms are basedon the indexing of object positions represented as linear functions of time. The results of …,The VLDB Journal,2006,223
Nearest neighbor queries in road networks,Christian S Jensen; Jan Kolářvr; Torben Bach Pedersen; Igor Timko,Abstract With wireless communications and geo-positioning being widely available; itbecomes possible to offer new e-services that provide mobile users with information aboutother mobile objects. This paper concerns active; ordered k-nearest neighbor queries forquery and data objects that are moving in road networks. Such queries may be of use inmany services. Specifically; we present an easily implementable data model that serves wellas a foundation for such queries. We also present the design of a prototype system thatimplements the queries based on the data model. The algorithm used for the nearestneighbor search in the prototype is presented in detail. In addition; the paper reports onresults from experiments with the prototype system.,Proceedings of the 11th ACM international symposium on Advances in geographic information systems,2003,223
TSQL2 language specification,Richard Thomas Snodgrass; Ilsoo Ahn; Gad Ariav; Don S Batory; James Clifford; Curtis E Dyreson; Ramez Elmasri; Fabio Grandi; Christian S Jensen; Wolfgang Käfer; Nick Kline; Krishna G Kulkarni; TY Cliff Leung; Nikos A Lorentzos; John F Roddick; Arie Segev; Michael D Soo; Suryanarayana M Sripada,This document speci es a temporal extension to the SQL-92 language standard. Thelanguage is designated TSQL2. The document is organized as follows. The next sectionindicates the starting point of the design; the SQL-92 language. Section 4 lists the desiredfeatures on which the TSQL2 Language Design Committee reached consensus. Section 5presents the major concepts underlying TSQL2. Compatibility with SQL-92 is the topic ofSection 6. Section 7 brie y discusses how the language can be implemented. Subsequentsections specify the syntax of the language extensions.,Sigmod Record,1994,223
Retrieving top-k prestige-based relevant spatial web objects,Xin Cao; Gao Cong; Christian S Jensen,Abstract The location-aware keyword query returns ranked objects that are near a querylocation and that have textual descriptions that match query keywords. This query occursinherently in many types of mobile and traditional web services and applications; eg; YellowPages and Maps services. Previous work considers the potential results of such a query asbeing independent when ranking them. However; a relevant result object with nearbyobjects that are also relevant to the query is likely to be preferable over a relevant objectwithout relevant nearby objects. The paper proposes the concept of prestige-basedrelevance to capture both the textual relevance of an object to a query and the effects ofnearby objects. Based on this; a new type of query; the Location-aware top-k Prestige-basedText retrieval (LkPT) query; is proposed that retrieves the top-k spatial web objects ranked …,Proceedings of the VLDB Endowment,2010,214
Skyline queries against mobile lightweight devices in MANETs,Zhiyong Huang; Christian S Jensen; Hua Lu; Beng Chin Ooi,Skyline queries are well suited when retrieving data according to multiple criteria. Whilemost previous work has assumed a centralized setting this paper considers skyline queryingin a mobile and distributed setting; where each mobile device is capable of holding only aportion of the whole dataset; where devices communicate through mobile ad hoc networks;and where a query issued by a mobile user is interested only in the user's local area;although a query generally involves data stored on many mobile devices due to the storagelimitations. We present techniques that aim to reduce the costs of communication amongmobile devices and reduce the execution time on each single mobile device. For the former;skyline query requests are forwarded among mobile devices in a deliberate way; such thatthe amount of data to be transferred is reduced. For the latter; specific optimization …,Data Engineering; 2006. ICDE'06. Proceedings of the 22nd International Conference on,2006,214
Indexing the past; present; and anticipated future positions of moving objects,Mindaugas Pelanis; Simonas Šaltenis; Christian S Jensen,Abstract With the proliferation of wireless communications and geo-positioning; e-servicesare envisioned that exploit the positions of a set of continuously moving users to providecontext-aware functionality to each individual user. Because advances in disk capacitiescontinue to outperform Moore's Law; it becomes increasingly feasible to store online all theposition information obtained from the moving e-service users. With the much sloweradvances in I/O speeds and many concurrent users; indexing techniques are of the essencein this scenario. Existing indexing techniques come in two forms. Some techniques capturethe position of an object up until the time of the most recent position sample; while othertechniques represent an object's position as a constant or linear function of time and capturethe position from the current time and into the (near) future. This article offers an indexing …,ACM Transactions on Database Systems (TODS),2006,209
A glossary of temporal database concepts,Christian S.  Jensen; James Clifford; Shashi K.  Gadia; Arie Segev; Richard Thomas Snodgrass,Abstract This glossary contains concepts specific to temporal databases that are well-defined; well understood; and widely used. In addition to defining and naming the concepts;the glossary also explains the decisions made. It lists competing alternatives and discussesthe pros and cons of these. It also includes evaluation criteria for the naming of concepts.This paper is a structured presentation of the results of e-mail discussions initiated duringthe preparation of the first book on temporal databases; Temporal Databases: Theory;Design; and Implementation; published by Benjamin Cummings; to appear January 1993.Independently of the book; an initiative aimed at designing a consensus Temporal SQL isunder way. The paper is a contribution towards establishing common terminology; an initialsubtask of this initiative.,ACM Sigmod Record,1992,207
Multidimensional data modeling for location-based services,Christian S Jensen; Augustas Kligys; Torben Bach Pedersen; Igor Timko,Abstract With the recent and continuing advances in areas such as wireless communicationsand positioning technologies; mobile; location-based services are becoming possible. Suchservices deliver location-dependent content to their users. More specifically; these servicesmay capture the movements and requests of their users in multidimensional databases; ie;data warehouses; and content delivery may be based on the results of complex queries onthese data warehouses. Such queries aggregate detailed data in order to find usefulpatterns; eg; in the interaction of a particular user with the services. The application ofmultidimensional technology in this context poses a range of new challenges. The specificchallenge addressed here concerns the provision of an appropriate multidimensional datamodel. In particular; the paper extends an existing multidimensional data model and …,The VLDB Journal—The International Journal on Very Large Data Bases,2004,195
Conceptual data modeling for spatiotemporal applications,Nectaria Tryfona; Christian S Jensen,Abstract Many exciting potential application areas for database technology manage time-varying; spatial information. In contrast; existing database techniques; languages; andassociated tools provide little built-in support for the management of such information. Thefocus of this paper is on enhancing existing conceptual data models with new constructs;improving their ability to conveniently model spatiotemporal aspects of information. The goalis to speed up the data modeling process and to make diagrams easier to comprehend andmaintain. Based on explicitly formulated ontological foundations; the paper presents a smallset of new; generic modeling constructs that may be introduced into different conceptualdata models. The ER model is used as the concrete context for presenting the constructs.The semantics of the resulting spatiotemporal ER model; STER; is given in terms of the …,Geoinformatica,1999,194
Spatial keyword query processing: an experimental evaluation,Lisi Chen; Gao Cong; Christian S Jensen; Dingming Wu,Abstract Geo-textual indices play an important role in spatial keyword querying. The existinggeo-textual indices have not been compared systematically under the same experimentalframework. This makes it difficult to determine which indexing technique best supportsspecific functionality. We provide an all-around survey of 12 state-of-the-art geo-textualindices. We propose a benchmark that enables the comparison of the spatial keyword queryperformance. We also report on the findings obtained when applying the benchmark to theindices; thus uncovering new insights that may guide index selection as well as furtherresearch.,Proceedings of the VLDB Endowment,2013,179
Google fusion tables: web-centered data management and collaboration,Hector Gonzalez; Alon Y Halevy; Christian S Jensen; Anno Langen; Jayant Madhavan; Rebecca Shapley; Warren Shen; Jonathan Goldberg-Kidon,Abstract It has long been observed that database management systems focus on traditionalbusiness applications; and that few people use a database management system outsidetheir workplace. Many have wondered what it will take to enable the use of datamanagement technology by a broader class of users and for a much wider range ofapplications. Google Fusion Tables represents an initial answer to the question of how datamanagement functionality that focused on enabling new users and applications would lookin today's computing environment. This paper characterizes such users and applicationsand highlights the resulting principles; such as seamless Web integration; emphasis onease of use; and incentives for data sharing; that underlie the design of Fusion Tables. Wedescribe key novel features; such as the support for data acquisition; collaboration …,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,175
Pad: privacy-area aware; dummy-based location privacy in mobile services,Hua Lu; Christian S Jensen; Man Lung Yiu,Abstract Location privacy in mobile services has the potential to become a serious concernfor service providers and users. Existing privacy protection techniques that use k-anonymityconvert an original query into an anonymous query that contains the locations of multipleusers. Such techniques; however; generally fail in offering guaranteed large privacy regionsat reasonable query processing costs. In this paper; we propose the PAD approach that iscapable of offering privacy-region guarantees. To achieve this; PAD uses so-called dummylocations that are deliberately generated according to either a virtual grid or circle. Thesecover a user's actual location; and their spatial extents are controlled by the generationalgorithms. The PAD approach only requires a lightweight server-side front-end in order for itto be integrated into an existing client/server mobile service system. In addition; query …,Proceedings of the Seventh ACM International Workshop on Data Engineering for Wireless and Mobile Access,2008,170
Spatio-temporal databases: The CHOROCHRONOS approach,Manolis Koubarakis; Timos Sellis; Andrew U Frank; Stéphane Grumbach; Ralf Hartmut Güting; Christian S Jensen; Nikos Lorentzos; Yannis Manolopoulos; Enrico Nardelli; Barbara Pernici; Hans-Jörg Schek; Michel Scholl; Babis Theodoulidis; Nectaria Tryfona,A summary of research carried out in the CHOROCHRONOS Project; established as an EC-funded Training and Mobility Research Network with the objective of studying the design;implementation; and application of spatio-temporal database management systems. Thenine coherent chapters by leading research groups are written in a tutorial style; making theresearch contributions of the project accessible to a wider audience interested in spatio-temporal information processing. Following an introductory overview; the book presentschapters on ontologies for spatio-temporal databases; conceptual models; spatio-temporalmodels and languages; access methods and query processing; architectures andimplementation of spatio-temporal DBMS; interactive spatio-temporal documents; and futureperspectives.,*,2003,169
Semantics of time-varying information,Christian S Jensen; Richard T Snodgrass,Abstract This paper provides a systematic and comprehensive study of the underlyingsemantics of temporal databases; summarizing the results of an intensive collaborationbetween the two authors over the last five years. We first examine how facts may beassociated with time; most prominently with one or more dimensions of valid time andtransaction time. One common case is that of a bitemporal relation; in which facts areassociated with timestamps from exactly one valid-time and one transaction-time dimension.These two times may be related in various ways; yielding temporal specialization. Multipletransaction times arise when a fact is stored in one database; then later replicated ortransferred to another database. By retaining the transaction times; termed temporalgeneralization; the original relation can be effectively queried by referencing only the final …,*,1996,165
Unifying temporal data models via a conceptual model,Christian S Jensen; Michael D Soo; Richard T Snodgrass,Abstract To add time support to the relational model; both first normal form (1NF) and non-1NF data models have been proposed. Each has associated advantages anddisadvantages. For example; remaining within 1NF when time support is added mayintroduce data redundancy. On the other hand; well-established storage organization andquery evaluation techniques require atomic attribute values; and are thus intended for 1NFmodels; utilizing a non-1NF model may degrade performance. This paper describes a newtemporal data model designed with the single purpose of capturing the time-dependentsemantics of data. Here; tuples of bitemporal relations are stamped with sets of two-dimensional chronons in transaction-time/valid-time space. We use the notion of snapshotequivalence to map temporal relation instances and temporal operators of one existing …,Information systems,1994,155
Graph model based indoor tracking,Christian S Jensen; Hua Lu; Bin Yang,The tracking of the locations of moving objects in large indoor spaces is important; as itenables a range of applications related to; eg; security and indoor navigation and guidance.This paper presents a graph model based approach to indoor tracking that offers a uniformdata management infrastructure for different symbolic positioning technologies; eg;Bluetooth and RFID. More specifically; the paper proposes a model of indoor space thatcomprises a base graph and mappings that represent the topology of indoor space atdifferent levels. The resulting model can be used for one or several indoor positioningtechnologies. Focusing on RFID-based positioning; an RFID specific reader deploymentgraph model is built from the base graph model. This model is then used in severalalgorithms for constructing and refining trajectories from raw RFID readings. Empirical …,Mobile Data Management: Systems; Services and Middleware; 2009. MDM'09. Tenth International Conference on,2009,150
Indexing of network constrained moving objects,Dieter Pfoser; Christian S Jensen,Abstract With the proliferation of mobile computing; the ability to index efficiently themovements of mobile objects becomes important. Objects are typically seen as moving intwo-dimensional (x; y) space; which means that their movements across time may beembedded in the three-dimensional (x; y; t) space. Further; the movements are typicallyrepresented as trajectories; sequences of connected line segments. In certain cases;movement is restricted; and specifically in this paper; we aim at exploiting that movementsoccur in transportation networks to reduce the dimensionality of the data. Briefly; the idea isto reduce movements to occur in one spatial dimension. As a consequence; the movementdata becomes two-dimensional (x; t). The advantages of considering such lower-dimensional trajectories are the reduced overall size of the data and the lower …,Proceedings of the 11th ACM international symposium on Advances in geographic information systems,2003,136
Continuous clustering of moving objects,Christian S Jensen; Dan Lin; Beng Chin Ooi,This paper considers the problem of efficiently maintaining a clustering of a dynamic set ofdata points that move continuously in two-dimensional Euclidean space. This problem hasreceived little attention and introduces new challenges to clustering. The paper proposes anew scheme that is capable of incrementally clustering moving objects. This proposalemploys a notion of object dissimilarity that considers object movement across a period oftime; and it employs clustering features that can be maintained efficiently in incrementalfashion. In the proposed scheme; a quality measure for incremental clusters is used foridentifying clusters that are not compact enough after certain insertions and deletions. Anextensive experimental study shows that the new scheme performs significantly faster thantraditional ones that frequently rebuild clusters. The study also shows that the new …,IEEE Transactions on Knowledge and Data Engineering,2007,134
Location-related privacy in geo-social networks,Carmen Ruiz Vicente; Dario Freni; Claudio Bettini; Christian S Jensen,Geo-social networks (GeoSNs) provide context-aware services that help associate locationwith users and content. The proliferation of GeoSNs indicates that they're rapidly attractingusers. GeoSNs currently offer different types of services; including photo sharing; friendtracking; and" check-ins." However; this ability to reveal users' locations causes new privacythreats; which in turn call for new privacy-protection methods. The authors study four privacyaspects central to these social networks-location; absence; co-location; and identity privacy-and describe possible means of protecting privacy in these circumstances.,IEEE Internet Computing,2011,132
Spatial keyword querying,Xin Cao; Lisi Chen; Gao Cong; Christian S Jensen; Qiang Qu; Anders Skovsgaard; Dingming Wu; Man Lung Yiu,Abstract The web is increasingly being used by mobile users. In addition; it is increasinglybecoming possible to accurately geo-position mobile users and web content. Thisdevelopment gives prominence to spatial web data management. Specifically; a spatialkeyword query takes a user location and user-supplied keywords as arguments and returnsweb objects that are spatially and textually relevant to these arguments. This paper reviewsrecent results by the authors that aim to achieve spatial keyword querying functionality that iseasy to use; relevant to users; and can be supported efficiently. The paper covers differentkinds of functionality as well as the ideas underlying their definition.,International Conference on Conceptual Modeling,2012,130
