Matching events in a content-based subscription system,Marcos K Aguilera; Robert E Strom; Daniel C Sturman; Mark Astley; Tushar D Chandra,Content-based subscription systems are an emerging alternative to traditional publish-subscribe systems; because they permit more flexible subscriptions along multipledimensions. In these systems; each subscription is a predicate which may test arbitraryattributes within an event. However; the matching problem for content-based systems-determining for each event the subset of all subscriptions whose predicates match the event-is still an open problem. We present an efficient; scalable solution to the matching problem.Our solution has an expected time complexity that is sub-linear in the number ofsubscriptions; and it has a spacecomplexity that is linear. Specifically; we prove that forpredicates reducible to conjunctions of elementary tests; the expected time to match arandom event is no greater than O (N'-') where N is the number of subscriptions; and X is …,Proceedings of the eighteenth annual ACM symposium on Principles of distributed computing,1999,839
Failure detection and consensus in the crash-recovery model,Marcos Kawazoe Aguilera; Wei Chen; Sam Toueg,Abstract We study the problems of failure detection and consensus in asynchronous systemsin which processes may crash and recover; and links may lose messages. We first proposenew failure detectors that are particularly suitable to the crash-recovery model. We nextdetermine under what conditions stable storage is necessary to solve consensus in thismodel. Using the new failure detectors; we give two consensus algorithms that match theseconditions: one requires stable storage and the other does not. Both algorithms tolerate linkfailures and are particularly efficient in the runs that are most likely in practice—those with nofailures or failure detector mistakes. In such runs; consensus is achieved within 3 δ time andwith 4 n messages; where δ is the maximum message delay and n is the number ofprocesses in the system.,International Symposium on Distributed Computing,1998,115
Transaction chains: achieving serializability with low latency in geo-distributed storage systems,Yang Zhang; Russell Power; Siyuan Zhou; Yair Sovran; Marcos K Aguilera; Jinyang Li,Abstract Currently; users of geo-distributed storage systems face a hard choice betweenhaving serializable transactions with high latency; or limited or no transactions with lowlatency. We show that it is possible to obtain both serializable transactions and low latency;under two conditions. First; transactions are known ahead of time; permitting an a priori staticanalysis of conflicts. Second; transactions are structured as transaction chains consisting ofa sequence of hops; each hop modifying data at one server. To demonstrate this idea; webuilt Lynx; a geo-distributed storage system that offers transaction chains; secondaryindexes; materialized join views; and geo-replication. Lynx uses static analysis to determineif each hop can execute separately while preserving serializability---if so; a client needs waitonly for the first hop to complete; which occurs quickly. To evaluate Lynx; we built three …,Proceedings of the Twenty-Fourth ACM Symposium on Operating Systems Principles,2013,104
Dynamic atomic storage without consensus,Marcos K Aguilera; Idit Keidar; Dahlia Malkhi; Alexander Shraer,Abstract This article deals with the emulation of atomic read/write (R/W) storage in dynamicasynchronous message passing systems. In static settings; it is well known that atomic R/Wstorage can be implemented in a fault-tolerant manner even if the system is completelyasynchronous; whereas consensus is not solvable. In contrast; all existing emulations ofatomic storage in dynamic systems rely on consensus or stronger primitives; leading to apopular belief that dynamic R/W storage is unattainable without consensus. In this article; wespecify the problem of dynamic atomic read/write storage in terms of the interface availableto the users of such storage. We discover that; perhaps surprisingly; dynamic R/W storage issolvable in a completely asynchronous system: we present DynaStore; an algorithm thatsolves this problem. Our result implies that atomic R/W storage is in fact easier than …,Journal of the ACM (JACM),2011,100
Sinfonia: A new paradigm for building scalable distributed systems,Marcos K Aguilera; Arif Merchant; Mehul Shah; Alistair Veitch; Christos Karamanolis,Abstract We propose a new paradigm for building scalable distributed systems. Ourapproach does not require dealing with message-passing protocols; a major complication inexisting distributed systems. Instead; developers just design and manipulate data structureswithin our service called Sinfonia. Sinfonia keeps data for applications on a set of memorynodes; each exporting a linear address space. At the core of Sinfonia is a newminitransaction primitive that enables efficient and consistent access to data; while hidingthe complexities that arise from concurrency and failures. Using Sinfonia; we implementedtwo very different and complex applications in a few months: a cluster file system and agroup communication service. Our implementations perform well and scale to hundreds ofmachines.,ACM Transactions on Computer Systems (TOCS),2009,86
On quiescent reliable communication,Marcos Kawazoe Aguilera; Wei Chen; Sam Toueg,We study the problem of achieving reliable communication with quiescent algorithms (ie;algorithms that eventually stop sending messages) in asynchronous systems with processcrashes and lossy links. We first show that it is impossible to solve this problem inasynchronous systems (with no failure detectors). We then show that; among failuredetectors that output lists of suspects; the weakest one that can be used to solve thisproblem is \diamond\calP; a failure detector that cannot be implemented. To overcome thisdifficulty; we introduce an implementable failure detector called Heartbeat and show that itcan be used to achieve quiescent reliable communication. Heartbeat is novel: in contrast totypical failure detectors; it does not output lists of suspects and it is implementable withouttimeouts. With Heartbeat; many existing algorithms that tolerate only process crashes can …,SIAM Journal on Computing,2000,85
Block-level security for network-attached disks,Marcos K Aguilera; Minwen Ji; Mark Lillibridge; John MacCormick; Erwin Oertli; David G Andersen; Mike Burrows; Timothy Mann; Chandramohan A Thekkath,Abstract We propose a practical and efficient method for adding security to network-attacheddisks (NADs). In contrast to previous work; our design requires no changes to the data layouton disk; minimal changes to existing NADs; and only small changes to the standard protocolfor accessing remote block-based devices. Thus; existing NAD file systems and storage-management software could incorporate our scheme very easily. Our design enforcessecurity using the well-known idea of self-describing capabilities; with two novel featuresthat limit the need for memory on secure NADs: a scheme to manage revocations based oncapability groups; and a replay-detection method using Bloom filters. We have implementeda prototype NAD file system; called Snapdragon; that incorporates our ideas. We evaluatedSnapdragon's performance and scalability. The overhead of access control is small …,*,2003,84
Efficient atomic broadcast using deterministic merge,Marcos Kawazoe Aguilera; Robert E Strom,Abstract We present an approach for merging message streams from producers distributedover a network; using a deterministic algorithm that is independent of any nondeterminism ofthe system; such as the amount of time the messages are delayed by the network; or theirarrival order. Thus; if this algorithm is replicated at multiple “mergers”; then each merger willmerge the message streams in exactly the same way. The technique is therefore a solutionto atomic broadcast and global atomic multicast [12]. We assume that each producer hasaccess to (approximately) synchronized clocks and can estimate the expected messagerates of all producers. We propose an algorithm; called the Bias Algorithm. To measure theperformance of the Bias Algorithm; we assume that messages are generated by memorylessprocesses operating at known message rates; and we measure the expected total merge …,Proceedings of the nineteenth annual ACM symposium on Principles of distributed computing,2000,84
A pleasant stroll through the land of infinitely many creatures,Marcos K Aguilera,Abstract Many distributed algorithms are designed for a system with a fixed set of nprocesses. However; some systems may dynamically change and expand over time; so thatthe number of processes may grow to infinity as time tends to infinity. This paper considerssuch systems; and gives algorithms that are new and simple (but not necessarily efficient) forcommon problems. The reason for simplicity is to better expose some of the algorithmictechniques for dealing with infinitely many processes. A brief summary of existing work in thesubject is also provided.,ACM Sigact News,2004,80
Snapshots in distributed storage systems,*,Embodiments include methods; apparatus; and systems for snapshots in distributed storagesystems. One method of software execution includes using a version tree to determine whatdata blocks are shared between various storage nodes in the version tree in order to createa clone or a snapshot of a storage volume in a distributed storage system that uses quorum-based replication.,*,2015,79
A simple bivalency proof that t-resilient consensus requires t+ 1 rounds,Marcos Kawazoe Aguilera; Sam Toueg,Abstract We use a straightforward bivalency argument borrowed from Fischer et al.(1985) toshow that in a synchronous system with up to t crash failures solving consensus requires atleast t+ 1 rounds. The proof is simpler and more intuitive than the traditional one: It uses aneasy forward induction rather than a more complex backward induction which needs theinduction hypothesis several times.,Information Processing Letters,1999,78
Thrifty generic broadcast,Marcos Kawazoe Aguilera; Carole Delporte-Gallet; Hugues Fauconnier; Sam Toueg,Abstract We consider the problem of generic broadcast in asynchronous systems withcrashes; a problem that was first studied in [12]. Roughly speaking; given a “conflict” relationon the set of messages; generic broad-cast ensures that any two messages that conflict aredelivered in the same order; messages that do not conflict may be delivered in differentorder. In this paper; we define what it means for an implementation generic broadcast to be“thrifty”; and give corresponding implementations that are optimal in terms of resiliency. Wealso give an interesting application of our results regarding the implementation of atomicbroadcast.,International Symposium on Distributed Computing,2000,66
Failure detection and randomization: A hybrid approach to solve consensus,Marcos Kawazoe Aguilera; Sam Toueg,We present a consensus algorithm that combines unreliable failure detection andrandomization; two well-known techniques for solving consensus in asynchronous systemswith crash failures. This hybrid algorithm combines advantages from both approaches: itguarantees deterministic termination if the failure detector is accurate; and probabilistictermination otherwise. In executions with no failures or failure detector mistakes; the mostlikely ones in practice; consensus is reached in only two asynchronous rounds.,SIAM Journal on Computing,1998,62
Detecting failures in distributed systems with the falcon spy network,Joshua B Leners; Hao Wu; Wei-Lun Hung; Marcos K Aguilera; Michael Walfish,Abstract A common way for a distributed system to tolerate crashes is to explicitly detectthem and then recover from them. Interestingly; detection can take much longer thanrecovery; as a result of many advances in recovery techniques; making failure detection thedominant factor in these systems' unavailability when a crash occurs. This paper presentsthe design; implementation; and evaluation of Falcon; a failure detector with severalfeatures. First; Falcon's common-case detection time is sub-second; which keepsunavailability low. Second; Falcon is reliable: it never reports a process as down when it isactually up. Third; Falcon sometimes kills to achieve reliable detection but aims to kill thesmallest needed component. Falcon achieves these features by coordinating a network ofspies; each monitoring a layer of the system. Falcon's main cost is a small amount of …,Proceedings of the Twenty-Third ACM Symposium on Operating Systems Principles,2011,57
Consensus with byzantine failures and little system synchrony,Marcos Kawazoe Aguilera; Carole Delporte-Gallet; Hugues Fauconnier; Sam Toueg,We study consensus in a message-passing system where only some of the n 2 links exhibitsome synchrony. This problem was previously studied for systems with process crashes; wenow consider Byzantine failures. We show that consensus can be solved in a system wherethere is at least one non-faulty process whose links are eventually timely; all other links canbe arbitrarily slow. We also show that; in terms of problem solvability; such a system is strictlyweaker than one where all links are eventually timely,Dependable Systems and Networks; 2006. DSN 2006. International Conference on,2006,55
On the impact of fast failure detectors on real-time fault-tolerant systems,Marcos K Aguilera; Gérard Le Lann; Sam Toueg,Abstract We investigate whether fast failure detectors can be useful—and if so by how much—in the design of real-time fault-tolerant systems. Specifically; we show how fast failuredetectors can speed up consensus and fault-tolerant broadcasts; by providing fastalgorithms and deriving some matching lower bounds; for synchronous systems withcrashes. These results show that a fast failure detector service (implemented usingspecialized hardware or expedited message delivery) can be an important tool in the designof real-time mission-critical systems.,International Symposium on Distributed Computing,2002,53
Improving recoverability in multi-tier storage systems,Marcos K Aguilera; Kimberly Keeton; Arif Merchant; Kiran-Kumar Muniswamy-Reddy; Mustafa Uysal,Enterprise storage systems typically contain multiple storage tiers; each having its ownperformance; reliability; and recoverability. The primary motivation for this multi-tierorganization is cost; as storage tier costs vary considerably. In this paper; we describe a filesystem called TierFS that stores files at multiple storage tiers while providing highrecoverability at all tiers. To achieve this goal; TierFS uses several novel techniques thatleverage coupling between multiple tiers to reduce data loss; take consistent snapshotsacross tiers; provide continuous data protection; and improve recovery time. We evaluateTierFS with analytical models; showing that TierFS can provide better recoverability than aconventional design of similar cost.,Dependable Systems and Networks; 2007. DSN'07. 37th Annual IEEE/IFIP International Conference on,2007,52
Failure detector with consensus protocol,*,New failure detector mechanisms particularly suitable for use in asynchronous distributedcomputing systems in which processes may crash and recover; and two crash-recoveryconsensus mechanisms; one requiring stable storage and the other not requiring it. Bothconsensus mechanisms tolerate link failures and are particularly efficient in the commonruns with no failures or failure detector mistakes. Consensus is achieved in such runs within3□ time and with 4n messages; where□ is the maximum message delay and n is thenumber of processes in the system.,*,2004,49
Abortable and query-abortable objects and their efficient implementation,Marcos K Aguilera; Svend Frolund; Vassos Hadzilacos; Stephanie L Horn; Sam Toueg,Abstract We introduce abortable and query-abortable objects; intended for asynchronousshared-memory systems with low contention. These objects behave like ordinary objectswhen accessed sequentially; but may abort operations when accessed concurrently. Anaborted operation may or may not take effect; ie; cause a state transition; and it returns noindication of which possibility occurred. Since this uncertainty is problematic; a query-abortable object supports a QUERY operation that each process can use to determine itslast non-QUERY operation on the object that caused a state transition; and the responseassociated with this state transition. Query-abortable objects can easily implementobstruction-free objects (introduced by Herlihy; Luchangco and Moir) and pausable objects(introduced by Attiya; Guerraoui and Kouznetsov). We present universal constructions for …,Proceedings of the twenty-sixth annual ACM symposium on Principles of distributed computing,2007,48
On implementing omega in systems with weak reliability and synchrony assumptions,Marcos K Aguilera; Carole Delporte-Gallet; Hugues Fauconnier; Sam Toueg,Abstract We study the feasibility and cost of implementing Ω—a fundamental failure detectorat the core of many algorithms—in systems with weak reliability and synchrony assumptions.Intuitively; Ω allows processes to eventually elect a common leader. We first give analgorithm that implements Ω in a weak system S where (a) except for some unknown timelyprocess s; all processes may be arbitrarily slow or may crash; and (b) only the output links ofs are eventually timely (all other links can be arbitrarily slow and lossy). Previously knownalgorithms for Ω worked only in systems that are strictly stronger than S in terms of reliabilityor synchrony assumptions. We next show that algorithms that implement Ω in system S arenecessarily expensive in terms of communication complexity: all correct processes (exceptpossibly one) must send messages forever; moreover; a quad-ratic number of links must …,Distributed Computing,2008,47
Revisiting the weakest failure detector for uniform reliable broadcast,Marcos Kawazoe Aguilera; Sam Toueg; Borislav Deianov,Abstract Uniform Reliable Broadcast (URB) is a communication prim-itive that requires that ifa process delivers a message; then all correct processes also deliver this message. A recentpaper [HR99] uses Knowl-edge Theory to determine what failure detectors are necessary toimple-ment this primitive in asynchronous systems with process crashes and lossy links thatare fair. In this paper; we revisit this problem using a different approach; and provide a resultthat is simpler; more intuitive; and; in a precise sense; more general.,International Symposium on Distributed Computing,1999,47
Randomization and failure detection: A hybrid approach to solve consensus,Marcos Kawazoe Aguilera; Sam Toueg,Abstract We present a Consensus algorithm that combines randomization and unreliablefailure detection; two well-known techniques for solving Consensus in asynchronoussystems with crash failures. This hybrid algorithm combines advantages from bothapproaches: it guarantees deterministic termination if the failure detector is accurate; andprobabilistic termination otherwise. In executions with no failures or failure detectormistakes; the most likely ones in practice; Consensus is reached in only two asynchronousrounds.,International Workshop on Distributed Algorithms,1996,39
Heartbeat failure detector method and apparatus,*,The Heartbeat Failure Detector of the present invention; is a new; simple method and devicethat has several identical modules; and each module is attached to a processor in thesystem. Roughly speaking; the module of a processor x maintains a heartbeat counter forevery other process. For each process y; the counter of y at x (called the heartbeat of y at x)periodically increases while y is alive and in the same network partition; and the counterstops increasing after y crashes or becomes partitioned away. Using such a device; x cansolve the communication problem above by resending m only if the heartbeat of y at xincreases. Note that if y is crashed (or partitioned away from x); its heartbeat at x stopsalmost immediately; and so x will also immediately stop sending copies of m to y.,*,2004,36
Improving availability in distributed systems with failure informers,Joshua B Leners; Trinabh Gupta; Marcos K Aguilera; Michael Walfish,Abstract. This paper addresses a core question in distributed systems: how shouldapplications be notified of failures? When a distributed system acts on failure reports; thesystem's correctness and availability depend on the granularity and semantics of thosereports. The system's availability also depends on coverage (failures are reported); accuracy(reports are justified); and timeliness (reports come quickly). This paper describes Pigeon; afailure reporting service designed to enable high availability in the applications that use it.Pigeon exposes a new abstraction; called a failure informer; which allows applications totake informed; application-specific recovery actions; and which encapsulates uncertainty;allowing applications to proceed safely in the presence of doubt. Pigeon also significantlyimproves over the previous state of the art in the three-way trade-off among coverage …,Proc. of NSDI,2013,30
System and method for preventing replay attacks,*,Preventing replay attacks on servers. At least one Bloom filter may be set up in a server fortracking requests received from clients. Identifying data may be generated for each request.The identifying data may be checked against the Bloom filter array. If a match is found; themessage may be a replay and may be rejected. If a match is not found; the requestidentifying data may be added to the Bloom filter and the request may be processed.,*,2011,30
Online Migration for Geo-distributed Storage Systems.,Nguyen Tran; Marcos K Aguilera; Mahesh Balakrishnan,Abstract We consider the problem of migrating user data between data centers. Weintroduce distributed storage overlays; a simple abstraction that represents data as stackedlayers in different places. Overlays can be readily used to cache data objects; migrate thesecaches; and migrate the home of data objects. We implement overlays as part of a key-valueobject store called Nomad; designed to span many data centers. Using Nomad; we compareoverlays against common migration approaches and show that overlays are more flexibleand impose less overhead. To drive migration decisions; we propose policies for predictingthe location of future accesses; focusing on a web mail application. We evaluate themigration policies using real traces of user activity from Hotmail.,USENIX Annual Technical Conference,2011,28
Altering document term vectors for classification: ontologies as expectations of co-occurrence,Meenakshi Nagarajan; Amit Sheth; Marcos Aguilera; Kimberly Keeton; Arif Merchant; Mustafa Uysal,Abstract In this paper we extend the state-of-the-art in utilizing background knowledge forsupervised classification by exploiting the semantic relationships between terms explicatedin Ontologies. Preliminary evaluations indicate that the new approach generally improvesprecision and recall; more so for hard to classify cases and reveals patterns indicating theusefulness of such background knowledge.,Proceedings of the 16th international conference on World Wide Web,2007,28
Food engineering interfaces,José Miguel Aguilera; Ricardo Simpson; Jorge Welti-Chanes; Daniela Bermudez Aguirre; Gustavo Barbosa-Canovas,The International Conference on Food Engineering is held every four years and drawsglobal participation. ICEF 10 will be held in April 2008 in Chile with the theme of foodengineering at interfaces. This will not be a typical proceedings with uneven contributions.Papers will be solicited from each plenary speaker plus two or three invited speakers fromeach topic and the goal is to publish a book that conveys the interdisciplinary spirit of themeeting as well as covers the topics in depth; creating a strong reference work. The idea isto explore how food engineers have to be prepared in years ahead not only to perform intheir normal activities but also to engage in new challenges and opportunities that will makethe profession more attractive; responsive; and able to create a larger impact. Thesechallenges and opportunities are within the profession and at interfaces with other areas …,*,2010,27
Reconfiguring replicated atomic storage: A tutorial,Marcos K Aguilera; Idit Keidar; Dahlia Malkhi; Jean-Philippe Martin; Alexander Shraer,Abstract We live in a world of Internet services such as email; social networks; websearching; and more; which must store increasingly larger volumes of data. These servicesmust run on cheap infrastructure; hence they must use distributed storage systems; and theyhave to provide reliability of data for long periods as well as availability; hence they mustsupport online reconfiguration to remove failed nodes and add healthy ones. Theknowledge needed to implement online reconfiguration is subtle and simple techniquesoften fail to work well. This tutorial provides an introductory overview of this topic; including adescription of the main technical challenges; as well as the various approaches that areused to address these challenges.,Bulletin of the EATCS,2010,27
