VisTrails: visualization meets data management,Steven P Callahan; Juliana Freire; Emanuele Santos; Carlos E Scheidegger; Cláudio T Silva; Huy T Vo,Abstract Scientists are now faced with an incredible volume of data to analyze. Tosuccessfully analyze and validate various hypothesis; it is necessary to pose severalqueries; correlate disparate data; and create insightful visualizations of both the simulatedprocesses and observed phenomena. Often; insight comes from comparing the results ofmultiple visualizations. Unfortunately; today this process is far from interactive and containsmany error-prone and time-consuming tasks. As a result; the generation and maintenance ofvisualizations is a major bottleneck in the scientific process; hindering both the ability tomine scientific data and the actual use of the data. The VisTrails system represents our initialattempt to improve the scientific discovery process and reduce the time to insight. InVisTrails; we address the problem of visualization from a data management perspective …,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,474
A provenance-based infrastructure to support the life cycle of executable papers,David Koop; Emanuele Santos; Phillip Mates; Huy T Vo; Philippe Bonnet; Bela Bauer; Brigitte Surer; Matthias Troyer; Dean N Williams; Joel E Tohline; Juliana Freire; Cláudio T Silva,Abstract As publishers establish a greater online presence as well as infrastructure tosupport the distribution of more varied information; the idea of an executable paper thatenables greater interaction has developed. An executable paper provides more informationfor computational experiments and results than the text; tables; and figures of standardpapers. Executable papers can bundle computational content that allow readers andreviewers to interact; validate; and explore experiments. By including such content; authorsfacilitate future discoveries by lowering the barrier to reproducing and extending results. Wepresent an infrastructure for creating; disseminating; and maintaining executable papers.Our approach is rooted in provenance; the documentation of exactly how data; experiments;and results were generated. We seek to improve the experience for everyone involved in …,Procedia Computer Science,2011,46
The more the merrier: Efficient multi-source graph traversal,Manuel Then; Moritz Kaufmann; Fernando Chirigati; Tuan-Anh Hoang-Vu; Kien Pham; Alfons Kemper; Thomas Neumann; Huy T Vo,Abstract Graph analytics on social networks; Web data; and communication networks hasbeen widely used in a plethora of applications. Many graph analytics algorithms are basedon breadth-first search (BFS) graph traversal; which is not only time-consuming for largedatasets but also involves much redundant computation when executed multiple times fromdifferent start vertices. In this paper; we propose Multi-Source BFS (MS-BFS); an algorithmthat is designed to run multiple concurrent BFSs over the same graph on a single CPU corewhile scaling up as the number of cores increases. MS-BFS leverages the properties ofsmall-world networks; which apply to many real-world graphs; and enables efficient graphtraversal that:(i) shares common computation across concurrent BFSs;(ii) greatly reduces thenumber of random memory accesses; and (iii) does not incur synchronization costs. We …,Proceedings of the VLDB Endowment,2014,32
Analogy based workflow identification,*,A method of creating an analogous workflow is provided. A first workflow is received at a firstdevice; the first workflow including a plurality of first modules that are connected. A secondworkflow is received at the first device; the second workflow including a plurality of secondmodules that are connected. A third workflow is received at the first device; the third workflowincluding a plurality of third modules that are connected. An analogy workflow is determinedbased on a difference between the received first workflow and the received secondworkflow. The determined analogy workflow is applied to the received third workflow todefine a fourth workflow. A method of identifying a workflow of a plurality of workflows isprovided. A query workflow includes a plurality of modules that are connected. A workflow isidentified that at least partially matches the received query workflow.,*,2014,32
Integrating predictive analytics and social media,Yafeng Lu; Robert Krüger; Dennis Thom; Feng Wang; Steffen Koch; Thomas Ertl; Ross Maciejewski,A key analytical task across many domains is model building and exploration for predictiveanalysis. Data is collected; parsed and analyzed for relationships; and features are selectedand mapped to estimate the response of a system under exploration. As social media datahas grown more abundant; data can be captured that may potentially represent behavioralpatterns in society. In turn; this unstructured social media data can be parsed and integratedas a key factor for predictive intelligence. In this paper; we present a framework for thedevelopment of predictive models utilizing social media data. We combine feature selectionmechanisms; similarity comparisons and model cross-validation through a variety ofinteractive visualizations to support analysts in model building and prediction. In order toexplore how predictions might be performed in such a framework; we present results from …,Visual Analytics Science and Technology (VAST); 2014 IEEE Conference on,2014,26
Towards provenance-enabling paraview,Steven P Callahan; Juliana Freire; Carlos E Scheidegger; Cláudio T Silva; Huy T Vo,Abstract Currently; there are no general provenance management systems or tools availablefor existing applications. Our goal is to develop provenance technology that is flexible andadaptable to the wide range of requirements of software applications. By consolidatingprovenance information for a variety of applications; we can provide a uniform environmentfor querying; sharing; and re-using provenance in large-scale; collaborative settings. In thispaper; we describe our framework for provenance-enabling existing applications. Ourapproach is applicable to a variety of software systems that are process driven. As aconcrete example; we describe a working plug-in for an open source application in scientificvisualization.,International Provenance and Annotation Workshop,2008,26
Streaming‐Enabled Parallel Dataflow Architecture for Multicore Systems,Huy T Vo; Daniel K Osmari; Brian Summa; João LD Comba; Valerio Pascucci; Cláudio T Silva,Abstract We propose a new framework design for exploiting multi-core architectures in thecontext of visualization dataflow systems. Recent hardware advancements have greatlyincreased the levels of parallelism available with all indications showing this trend willcontinue in the future. Existing visualization dataflow systems have attempted to takeadvantage of these new resources; though they still have a number of limitations whendeployed on shared memory multi-core architectures. Ideally; visualization systems shouldbe built on top of a parallel dataflow scheme that can optimally utilize CPUs and assignresources adaptively to pipeline elements. We propose the design of a flexible dataflowarchitecture aimed at addressing many of the shortcomings of existing systems including aunified execution model for both demand-driven and event-driven models; a resource …,Computer Graphics Forum,2010,24
Managing provenance for an evolutionary workflow process in a collaborative environment,*,A method of and a device for supporting a collaborative workflow process that includes aplurality of workflows are provided. A first modified workflow process is received from a firstdevice at a second device. The first modified workflow process is created by modifying anevolutionary workflow process. The first modified workflow process is compared with theevolutionary workflow process to identify a first identifier associated with an action includedin the first modified workflow process and not included in the evolutionary workflow process.If the identified first identifier is included in the evolutionary workflow process is determined.If the identified first identifier is included in the evolutionary workflow process; a secondidentifier is defined. The defined second identifier is associated with the action. The secondaction is added with the associated second identifier to the evolutionary workflow process …,*,2008,19
iRun: Interactive rendering of large unstructured grids.,Huy T Vo; Steven P Callahan; Nathan Smith; Cláudio T Silva; William Martin; David Owen; David Weinstein,Abstract We present iRun; a system for interactively volume rendering large unstructuredgrids on commodity PCs. Rendering arbitrarily large datasets has been an active area ofresearch for many years. However; the techniques required for polygonal data do notdirectly apply to the more complex problem of unstructured grids. In this paper; we describethe data structures and algorithms necessary to store large datasets on disk; keep an activeportion of the dataset in main memory; and render visible regions to one or more displays.Our system leverages a combination of out-of-core data management; distributed rendering;hardware-accelerated volume rendering; and dynamic level-of-detail. On a commodity PC;our system can preprocess a dataset consisting of about 36 million tetrahedra in about anhour and can render it interactively with one or more PCs.,EGPGV,2007,17
Urbane: A 3d framework to support data driven decision making in urban development,Nivan Ferreira; Marcos Lage; Harish Doraiswamy; Huy Vo; Luc Wilson; Heidi Werner; Muchan Park; Cláudio Silva,Architects working with developers and city planners typically rely on experience; precedentand data analyzed in isolation when making decisions that impact the character of a city.These decisions are critical in enabling vibrant; sustainable environments but must alsonegotiate a range of complex political and social forces. This requires those shaping thebuilt environment to balance maximizing the value of a new development with its impact onthe character of a neighborhood. As a result architects are focused on two issues throughoutthe decision making process: a) what defines the character of a neighborhood? and b) howwill a new development change its neighborhood? In the first; character can be influencedby a variety of factors and understanding the interplay between diverse data sets is crucial;including safety; transportation access; school quality and access to entertainment. In the …,Visual Analytics Science and Technology (VAST); 2015 IEEE Conference on,2015,14
A scalable approach for data-driven taxi ride-sharing simulation,Masayo Ota; Huy Vo; Claudio Silva; Juliana Freire,As urban population grows; cities face many challenges related to transportation; resourceconsumption; and the environment. Ride sharing has been proposed as an effectiveapproach to reduce traffic congestion; gasoline consumption; and pollution. Despite greatpromise; researchers and policy makers lack adequate tools to assess tradeoffs and benefitsof various ride-sharing strategies. Existing approaches either make unrealistic modelingassumptions or do not scale to the sizes of existing data sets. In this paper; we propose areal-time; data-driven simulation framework that supports the efficient analysis of taxi ridesharing. By modeling taxis and trips as distinct entities; our framework is able to simulate arich set of realistic scenarios. At the same time; by providing a comprehensive set ofparameters; we are able to study the taxi ride-sharing problem from different angles …,Big Data (Big Data); 2015 IEEE International Conference on,2015,13
Using provenance to streamline data exploration through visualization,Steven P Callahan; Juliana Freire; Emanuele Santos; Carlos E Scheidegger; Claudio T Silva; Huy T Vo,Abstract Scientists are faced with increasingly larger volumes of data to analyze. To analyzeand validate various hypotheses; they need to create insightful visual representations ofboth observed data and simulated processes. Often; insight comes from comparing multiplevisualizations. But data exploration through visualization requires scientists to assemblecomplex workflows—pipelines consisting of sequences of operations that transform the datainto appropriate visual representations—and today; this process contains many error-proneand time-consuming tasks. We show how a new action-based model for capturing andmaintaining detailed provenance of the visualization process can be used to streamline thedata exploration process and reduce the time to insight. This model enables the flexible re-use of workflows; a scalable mechanism for creating a large number of visualizations; and …,*,2006,13
Baseball4d: A tool for baseball game reconstruction & visualization,Carlos Dietrich; David Koop; Huy T Vo; Cláudio T Silva,While many sports use statistics and video to analyze and improve game play; baseball hasled the charge throughout its history. With the advent of new technologies that allow allplayers and the ball to be tracked across the entire field; it is now possible to bring thisunderstanding to another level. From discrete positions across time; we present techniquesto reconstruct entire baseball games and visually explore each play. This providesopportunities to not only derive new metrics for the game; but also allow us to investigateexisting measures with targeted visualizations. In addition; our techniques allow users tofilter on demand so specific situations can be analyzed both in general and according tothose situations. We show that gameplay can be accurately reconstructed from the rawposition data and discuss how visualization and statistical methods can combine to better …,Visual Analytics Science and Technology (VAST); 2014 IEEE Conference on,2014,12
HyperFlow: A Heterogeneous Dataflow Architecture.,Huy T Vo; Daniel K Osmari; Joao Comba; Peter Lindstrom; Cláudio T Silva,Abstract We propose a dataflow architecture; called HyperFlow; that offers a supportinginfrastructure that creates an abstraction layer over computation resources and naturallyexposes heterogeneous computation to dataflow processing. In order to show the efficiencyof our system as well as testing it; we have included a set of synthetic and real-caseapplications. First; we designed a general suite of micro-benchmarks that captures mainparallel pipeline structures and allows evaluation of HyperFlow under different stressconditions. Finally; we demonstrate the potential of our system with relevant applications invisualization. Implementations in HyperFlow are shown to have greater performance thanactual hand-tuning codes; yet still providing high scalability on different platforms.,EGPGV,2012,12
Managing provenance of the evolutionary development of workflows,*,A method of and a system for presenting a plurality of workflows that describe anevolutionary workflow process associated with creating a result are provided. A first workflowis received at a first device. The first workflow comprises a first module which applies a firstinstruction to form a first result. A modification of the first workflow is received at the firstdevice. The received modification includes a second workflow which includes a secondmodule that applies a second instruction to form a second result. The evolutionary workflowprocess is presented to a user at a second device. The evolutionary workflow processincludes the first workflow and the second workflow and indicates a parent-child relationshipbetween the first workflow and the second workflow.,*,2008,12
Predicting taxi demand at high spatial resolution: Approaching the limit of predictability,Kai Zhao; Denis Khryashchev; Juliana Freire; Cláudio Silva; Huy Vo,In big cities; taxi service is imbalanced. In some areas; passengers wait too long for a taxi;while in others; many taxis roam without passengers. Knowledge of where a taxi willbecome available can help us solve the taxi demand imbalance problem. In this paper; weemploy a holistic approach to predict taxi demand at high spatial resolution. We showcaseour techniques using two real-world data sets; yellow cabs and Uber trips in New York City;and perform an evaluation over 9;940 building blocks in Manhattan. Our approach consistsof two key steps. First; we use entropy and the temporal correlation of human mobility tomeasure the demand uncertainty at the building block level. Second; to identify whichpredictive algorithm can approach the theoretical maximum predictability; we implement andcompare three predictors: the Markov predictor (a probability-based predictive algorithm) …,Big Data (Big Data); 2016 IEEE International Conference on,2016,11
Dynamics of the urban lightscape,Gregory Dobler; Masoud Ghandehari; Steven E Koonin; Rouzbeh Nazari; Aristides Patrinos; Mohit S Sharma; Arya Tafvizi; Huy T Vo; Jonathan S Wurtele,Abstract The manifest importance of cities and the advent of novel data about them arestimulating interest in both basic and applied “urban science”(Bettencourt et al.; 2007 [4];Bettencourt; 2013 [3]). A central task in this emerging field is to document and understandthe “pulse of the city” in its diverse manifestations (eg; in mobility; energy use;communications; economics) both to define the normal state against which anomalies canbe judged and to understand how macroscopic city observables emerge from the aggregatebehavior of many individuals (Louail; 2013 [9]; Ferreira et al.; 2013 [6]). Here we quantify thedynamics of an urban lightscape through the novel modality of persistent synopticobservations from an urban vantage point. Established astronomical techniques are appliedto visible light images captured at 0.1 Hz to extract and analyze the light curves of 4147 …,Information Systems,2015,11
Exploring Traffic Dynamics in Urban Environments Using Vector‐Valued Functions,Jorge Poco; Harish Doraiswamy; Huy Vo; João LD Comba; Juliana Freire; Cláudio Silva,Abstract The traffic infrastructure greatly impacts the quality of life in urban environments. Tooptimize this infrastructure; engineers and decision makers need to explore traffic data. Indoing so; they face two important challenges: the sparseness of speed sensors that coveronly a limited number of road segments; and the complexity of traffic patterns they need toanalyze. In this paper we take a first step at addressing these challenges. We use New YorkCity (NYC) taxi trips as sensors to capture traffic information. While taxis provide substantialcoverage of the city; the data captured about taxi trips contain neither the location of taxis atfrequent intervals nor their routes. We propose an efficient traffic model to derive speed anddirection information from these data; and show that it provides reliable estimates. Usingthese estimates; we define a time-varying vector-valued function on a directed graph …,Computer Graphics Forum,2015,11
Using workflow medleys to streamline exploratory tasks,Emanuele Santos; David Koop; Huy T Vo; Erik W Anderson; Juliana Freire; Cláudio Silva,Abstract To analyze and understand the growing wealth of scientific data; complexworkflows need to be assembled; often requiring the combination of loosely-coupledresources; specialized libraries; distributed computing infrastructure; and Web services.However; constructing these workflows is a non-trivial task; especially for users who do nothave programming expertise. This problem is compounded for exploratory tasks; where theworkflows need to be iteratively refined. In this paper; we introduce workflow medleys; a newapproach for manipulating collections of workflows. We propose a workflow manipulationlanguage that includes operations that are common in exploratory tasks and present a visualinterface designed for this language. We briefly discuss how medleys have been applied intwo (real) applications.,International Conference on Scientific and Statistical Database Management,2009,10
An urban data profiler,Daniel Castellani Ribeiro; Huy T Vo; Juliana Freire; Cláudio T Silva,Abstract Large volumes of urban data are being made available through a variety of openportals. Besides promoting transparency; these data can bring benefits to government;science; citizens and industry. It is no longer a fantasy to ask" if you could know anythingabout a city; what do you want to know" and to ponder what could be done with thatinformation. However; the great number and variety of datasets creates a new challenge:how to find relevant datasets. While existing portals provide search interfaces; these areoften limited to keyword searches over the limited metadata associated each dataset; forexample; attribute names and textual description. In this paper; we present a new tool;UrbanProfiler; that automatically extracts detailed information from datasets. This informationincludes attribute types; value distributions; and geographical information; which can be …,Proceedings of the 24th International Conference on World Wide Web,2015,9
Urban human mobility data mining: An overview,Kai Zhao; Sasu Tarkoma; Siyuan Liu; Huy Vo,Understanding urban human mobility is crucial for epidemic control; urban planning; trafficforecasting systems and; more recently; various mobile and network applications.Nowadays; a variety of urban human mobility data have been gathered and published.Pervasive GPS data can be collected by mobile phones. A mobile operator can trackpeople's movement in cities based on their cellular network location. This urban humanmobility data contains rich knowledge about locations and can help in addressing manyurban challenges such as traffic congestion or air pollution problems. In this article; wesurvey recent literature on urban human mobility from a data mining view: from the datacollection and cleaning; to the mobility models and the applications. First; we summarizerecent public urban human mobility data sets and how to clean and preprocess such data …,Big Data (Big Data); 2016 IEEE International Conference on,2016,8
Simple and efficient mesh layout with space-filling curves,Huy T Vo; Claudio T Silva; Luiz F Scheidegger; Valerio Pascucci,Abstract We present a simple and efficient algorithm to compute cache-friendly layouts ofunstructured geometric data. Coherent mesh layouts minimize cache misses and page faultsby laying out vertices; triangles; or tetrahedra in a spatially structured manner. Recently;Yoon et al. have shown that it is possible to construct an optimal cache-oblivious meshlayout (COML) for surface and volume data. However; their approach is based on an NP-Hard optimization problem and is thus very computationally expensive. We present a meshlayout based on space-filling curves that has comparable performance to COML and isorders of magnitude faster to compute. We also discuss extending our algorithm to handleextremely large datasets through an out-of-core approach. Finally; we include an analysisthat examines a number of different mesh layouts; highlighting their strengths and …,Journal of Graphics Tools,2012,8
Parallel large data visualization with display walls,Luiz Scheidegger; Huy T Vo; Jens Krüger; Cláudio T Silva; João LD Comba,While there exist popular software tools that leverage the power of arrays of tiled highresolution displays; they usually require either the use of a particular API or significantprogramming effort to be properly configured. We present PVW (Parallel Visualization usingdisplay Walls); a framework that uses display walls for scientific visualization; requiringminimum labor in setup; programming and configuration. PVW works as a plug-in to pipeline-based visualization software; and allows users to migrate existing visualizations designedfor a single-workstation; single-display setup to a large tiled display running on a distributedmachine. Our framework is also extensible; allowing different APIs and algorithms to bemade display wall-aware with minimum effort.,Visualization and Data Analysis 2012,2012,7
A GPU-based index to support interactive spatio-temporal queries over historical data,Harish Doraiswamy; Huy T Vo; Cláudio T Silva; Juliana Freire,There are increasing volumes of spatio-temporal data from various sources such as sensors;social networks and urban environments. Analysis of such data requires flexible explorationand visualizations; but queries that span multiple geographical regions over multiple timeslices are expensive to compute; making it challenging to attain interactive speeds for largedata sets. In this paper; we propose a new indexing scheme that makes use of modernGPUs to efficiently support spatio-temporal queries over point data. The index coversmultiple dimensions; thus allowing simultaneous filtering of spatial and temporal attributes. Ituses a block-based storage structure to speed up OLAP-type queries over historical data;and supports query processing over in-memory and disk-resident data. We present differentquery execution algorithms that we designed to allow the index to be used in different …,Data Engineering (ICDE); 2016 IEEE 32nd International Conference on,2016,6
Streaming-enabled parallel data flow framework in the visualization toolkit,Huy T Vo; João LD Comba; Berk Geveci; Cláudio T Silva,72 Copublished by the IEEE CS and the AIP 1521-9615/11/$26.00 © 2011 IEEE COMPUTINGIN SCIENCE & ENGINEERING … Editors: Cláudio T. Silva; csilva@nyu.edu DanielWeiskopf; weiskopf@visus.uni-stuttgart.de … By Huy T. Vo; João LD Comba; Berk Geveci; andCláudio T. Silva … Task; Pipeline; and Data Parallelism In a system that doesn't support anylevel of parallelism; modules can be updated only sequentially starting from the sources; leadingto no per- formance gain when executing on a multicore machine. Another form of parallelismis task parallelism; which allows independent branches of the network to run in parallel; eachusing their own thread. This is illustrated in Figure 2a; where modules A and B are independentof module C; and therefore A and B are allowed to run concurrently with C. Branches that sharecommon up- stream modules aren't allowed to run in parallel because modules are …,Computing in science & engineering,2011,6
Fast technique for converting temperature readings into values expressed in an engineering unit format,*,An engineering unit converter system for converting an analog measurement into anengineering value. An analog measurement of a physical quantity is transformed into adigital value. The digital value is then split into a high order digit and a lower order digit. Thehigh order digit is used as an address to a memory device for fetching a line segmentcoefficient and a line segment offset coefficient. The lower order digit is multiplied with theline segment coefficient in a multiplier resulting in a product. The product is added to the linesegment coefficient offset resulting in a sum whose value is an engineering unit. Oneembodiment is directed to converting temperature measurements into engineering units viathermocouples. This embodiment includes: thermocouple devices; resistance thermaldevices or positive temperature coefficient thermistors; adders; multipliers; and memory …,*,2001,6
Yellow cabs as red corpuscles,Timothy H Savage; Huy T Vo,Data obtained from New York City's Taxi & Limousine Commission highlights the importanceof yellow cabs in the city's transportation infrastructure. In 2011; for example; there werenearly 180 million cab rides. In this paper; we provide detailed visualizations of thesenumerous journeys. Using a random sample; we also develop several relevant economicmetrics. For example; we find that nearly half of all rides were taken by a single passengertraveling short distances. In contrast; out-of-pocket costs faced by passengers averaged lessthan $6 per mile; with 90% paying less than $8 per mile; even when the social value of thecity's roads is highest. From a city planner's perspective; the current fare structure for yellowcabs may not be optimal. Finally; we propose a statistical method to analyze dynamic flowpatterns of yellow-cab rides that can ultimately be extended to a multivariate model.,Big Data; 2013 IEEE International Conference on,2013,5
Towards process provenance for existing applications,Steven P Callahan; Juliana Freire; Carlos E Scheidegger; Cláudio T Silva; Huy T Vo; V INC,*,Proceedings of the 2nd International Provenance and Annotation Workshop,2008,5
VisTrails: Using provenance to streamline data exploration,Erik Anderson; S Callahan; D Koop; Emanuele Santos; C Scheidegger; H Vo; Juliana Freire; C Silva,*,Poster Proceedings of the International Workshop on Data Integration in the Life Sciences (DILS) 2007,2007,5
