Generic schema matching with cupid,Jayant Madhavan; Philip A Bernstein; Erhard Rahm,Abstract Schema matching is a critical step in many applications; such as XML messagemapping; data warehouse loading; and schema integration. In this paper; we investigatealgorithms for generic schema matching; outside of any particular data model or application.We first present a taxonomy for past solutions; showing that a rich range of techniques isavailable. We then propose a new algorithm; Cupid; that discovers mappings betweenschema elements based on their names; data types; constraints; and schema structure;using a broader set of techniques than past approaches. Some of our innovations are theintegrated use of linguistic and structural matching; context-dependent matching of sharedtypes; and a bias toward leaf structure where much of the schema content resides. Afterdescribing our algorithm; we present experimental results that compare Cupid to two …,vldb,2001,1885
The Piazza peer data management project,Igor Tatarinov; Zachary Ives; Jayant Madhavan; Alon Halevy; Dan Suciu; Nilesh Dalvi; Xin Luna Dong; Yana Kadiyska; Gerome Miklau; Peter Mork,Abstract A major problem in today's information-driven world is that sharing heterogeneous;semantically rich data is incredibly difficult. Piazza is a peer data management system thatenables sharing heterogeneous data in a distributed and scalable way. Piazza assumes theparticipants to be interested in sharing data; and willing to define pairwise mappingsbetween their schemas. Then; users formulate queries over their preferred schema; and aquery answering system expands recursively any mappings relevant to the query; retrievingdata from other peers. In this paper; we provide a brief overview of the Piazza projectincluding our work on developing mapping languages and query reformulation algorithms;assisting the users in defining mappings; indexing; and enforcing access control overshared data.,ACM Sigmod Record,2003,263
Recovering semantics of tables on the web,Petros Venetis; Alon Halevy; Jayant Madhavan; Marius Paşca; Warren Shen; Fei Wu; Gengxin Miao; Chung Wu,Abstract The Web offers a corpus of over 100 million tables [6]; but the meaning of eachtable is rarely explicit from the table itself. Header rows exist in few cases and even whenthey do; the attribute names are typically useless. We describe a system that attempts torecover the semantics of tables by enriching the table with additional annotations. Ourannotations facilitate operations such as searching for tables and finding related tables. Torecover semantics of tables; we leverage a database of class labels and relationshipsautomatically extracted from the Web. The database of classes and relationships has verywide coverage; but is also noisy. We attach a class label to a column if a sufficient number ofthe values in the column are identified with that label in the database of class labels; andanalogously for binary relationships. We describe a formal model for reasoning about …,Proceedings of the VLDB Endowment,2011,228
Generic schema matching; ten years later,Philip A Bernstein; Jayant Madhavan; Erhard Rahm,ABSTRACT In a paper published in the 2001 VLDB Conference; we proposed treatinggeneric schema matching as an independent problem. We developed a taxonomy ofexisting techniques; a new schema matching algorithm; and an approach to comparativeevaluation. Since then; the field has grown into a major research topic. We briefly summarizethe new techniques that have been developed and applications of the techniques in thecommercial world. We conclude by discussing future trends and recommendations forfurther work.,Proceedings of the VLDB Endowment,2011,215
Google fusion tables: web-centered data management and collaboration,Hector Gonzalez; Alon Y Halevy; Christian S Jensen; Anno Langen; Jayant Madhavan; Rebecca Shapley; Warren Shen; Jonathan Goldberg-Kidon,Abstract It has long been observed that database management systems focus on traditionalbusiness applications; and that few people use a database management system outsidetheir workplace. Many have wondered what it will take to enable the use of datamanagement technology by a broader class of users and for a much wider range ofapplications. Google Fusion Tables represents an initial answer to the question of how datamanagement functionality that focused on enabling new users and applications would lookin today's computing environment. This paper characterizes such users and applicationsand highlights the resulting principles; such as seamless Web integration; emphasis onease of use; and incentives for data sharing; that underlie the design of Fusion Tables. Wedescribe key novel features; such as the support for data acquisition; collaboration …,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,175
Clustering query refinements by user intent,Eldar Sadikov; Jayant Madhavan; Lu Wang; Alon Halevy,Abstract We address the problem of clustering the refinements of a user search query. Theclusters computed by our proposed algorithm can be used to improve the selection andplacement of the query suggestions proposed by a search engine; and can also serve tosummarize the different aspects of information relevant to the original user query. Ouralgorithm clusters refinements based on their likely underlying user intents by combiningdocument click and session co-occurrence information. At its core; our algorithm operates byperforming multiple random walks on a Markov graph that approximates user searchbehavior. A user study performed on top search engine queries shows that our clusters arerated better than corresponding clusters computed using approaches that use onlydocument click or only sessions co-occurrence information.,Proceedings of the 19th international conference on World wide web,2010,166
Harvesting relational tables from lists on the web,Hazem Elmeleegy; Jayant Madhavan; Alon Halevy,Abstract A large number of web pages contain data structured in the form of" lists". Manysuch lists can be further split into multi-column tables; which can then be used in moresemantically meaningful tasks. However; harvesting relational tables from such lists can bea challenging task. The lists are manually generated and hence need not have well definedtemplates--they have inconsistent delimiters (if any) and often have missing information. Wepropose a novel technique for extracting tables from lists. The technique is domain-independent and operates in a fully unsupervised manner. We first use multiple sources ofinformation to split individual lines into multiple fields; and then compare the splits acrossmultiple lines to identify and fix incorrect splits and bad alignments. In particular; we exploit acorpus of HTML tables; also extracted from the Web; to identify likely fields and good …,Proceedings of the VLDB Endowment,2009,130
Personal information management with SEMEX,Yuhan Cai; Xin Luna Dong; Alon Halevy; Jing Michelle Liu; Jayant Madhavan,Abstract The explosion of information available in digital form has made search a hotresearch topic for the Information Management Community. While most of the research onsearch is focused on the WWW; individual computer users have developed their own vastcollections of data on their desktops; and these collections are in critical need for goodsearch and query tools. The problem is exacerbated by the proliferation of varied electronicdevices (laptops; PDAs; cellphones) that are at our disposal; which often hold subsets orvariations of our data. In fact; several recent venues have noted Personal InformationManagement (PIM) as an area of growing interest to the data management community [1; 8;6],Proceedings of the 2005 ACM SIGMOD international conference on Management of data,2005,129
Google fusion tables: data management; integration and collaboration in the cloud,Hector Gonzalez; Alon Halevy; Christian S Jensen; Anno Langen; Jayant Madhavan; Rebecca Shapley; Warren Shen,Abstract Google Fusion Tables is a cloud-based service for data management andintegration. Fusion Tables enables users to upload tabular data files (spreadsheets; CSV;KML); currently of up to 100MB. The system provides several ways of visualizing the data(eg; charts; maps; and timelines) and the ability to filter and aggregate the data. It supportsthe integration of data from multiple sources by performing joins across tables that maybelong to different users. Users can keep the data private; share it with a select set ofcollaborators; or make it public and thus crawlable by search engines. The discussionfeature of Fusion Tables allows collaborators to conduct detailed discussions of the data atthe level of tables and individual rows; columns; and cells. This paper describes the innerworkings of Fusion Tables; including the storage of data in the system and the tight …,Proceedings of the 1st ACM symposium on Cloud computing,2010,128
Crossing the Structure Chasm.,Alon Y Halevy; Oren Etzioni; AnHai Doan; Zachary G Ives; Jayant Madhavan; Luke K McDowell; Igor Tatarinov,Online information comes in two flavors: unstructured corpora of text on the one hand; andstructured data managed by databases and knowledge bases on the other. These twodifferent kinds of data lead to very different authoring; management and search paradigms.In the first; search is based on keywords and answers are ranked according to relevance. Inthe second; search is based on queries in a formal language (eg; SQL); and all the answersreturned for the query are correct according to the underlying semantics of the system. In theu-world of unstructured data; authoring data is straightforward. In contrast; in the s-world ofstructured data; authoring data is a conceptual effort that requires technical expertise andsubstantial up front effort; the author is required to provide a comprehensive structure (ie;schema) of the domain before entering data. This paper is focused on the profound …,CIDR,2003,116
Harnessing the deep web: Present and future,Jayant Madhavan; Loredana Afanasiev; Lyublena Antova; Alon Halevy,Abstract: Over the past few years; we have built a system that has exposed large volumes ofDeep-Web content to Google. com users. The content that our system exposes contributes tomore than 1000 search queries per-second and spans over 50 languages and hundreds ofdomains. The Deep Web has long been acknowledged to be a major source of structureddata on the web; and hence accessing Deep-Web content has long been a problem ofinterest in the data management community. In this paper; we report on where we believethe Deep Web provides value and where it does not. We contrast two very differentapproaches to exposing Deep-Web content--the surfacing approach that we used; and thevirtual integration approach that has often been pursued in the data management literature.We emphasize where the values of each of the two approaches lie and caution against …,arXiv preprint arXiv:0909.1785,2009,101
Structured data on the web,Michael J Cafarella; Alon Halevy; Jayant Madhavan,Though the web is best known as a vast repository of shared documents; it also contains a significantamount of structured data covering a complete range of topics; from product to financial;public-record; scientific; hobby-related; and government. Structured data on the Web sharesmany similarities with the kind of data traditionally managed by commercial database systemsbut also reflects some unusual characteristics of its own; for example; it is embedded in textualWeb pages and must be extracted prior to use; there is no centralized data design as there isin a traditional database; and; unlike traditional databases that focus on a single domain; it coverseverything. Existing data-management systems do not address these challenges and assumetheir data is modeled within a well-defined domain … This article discusses the nature ofWeb-embedded structured data and the challenges of managing it. To begin; we present …,Communications of the ACM,2011,92
Web-scale extraction of structured data,Michael J Cafarella; Jayant Madhavan; Alon Halevy,Abstract A long-standing goal of Web research has been to construct a unified Webknowledge base. Information extraction techniques have shown good results on Web inputs;but even most domain-independent ones are not appropriate for Web-scale operation. Inthis paper we describe three recent extraction systems that can be operated on the entireWeb (two of which come from Google Research). The TextRunner system focuses on rawnatural language text; the WebTables system focuses on HTML-embedded tables; and thedeep-web surfacing system focuses on" hidden" databases. The domain; expressiveness;and accuracy of extracted data can depend strongly on its source extractor; we describedifferences in the characteristics of data produced by the three extractors. Finally; we discussa series of unique data applications (some of which have already been prototyped) that …,ACM SIGMOD Record,2009,92
Openii: an open source information integration toolkit,Len Seligman; Peter Mork; Alon Halevy; Ken Smith; Michael J Carey; Kuang Chen; Chris Wolf; Jayant Madhavan; Akshay Kannan; Doug Burdick,Abstract OpenII (openintegration. org) is a collaborative effort to create a suite of open-source tools for information integration (II). The project is leveraging the latest developmentsin II research to create a platform on which integration tools can be built and further researchconducted. In addition to a scalable; extensible platform; OpenII includes industrial-strengthcomponents developed by MITRE; Google; UC-Irvine; and UC-Berkeley that interoperatethrough a common repository in order to solve II problems. Components of the toolkit havebeen successfully applied to several large-scale US government II challenges.,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,72
Structured data meets the Web: a few observations.,Jayant Madhavan; Alon Y Halevy; Shirley Cohen; Xin Luna Dong; Shawn R Jeffery; David Ko; Cong Yu,Abstract The World Wide Web is witnessing an increase in the amount of structured content–vast heterogeneous collections of structured data are on the rise due to the Deep Web;annotation schemes like Flickr; and sites like Google Base. While this phenomenon iscreating an opportunity for structured data management; dealing with heterogeneity on theweb-scale presents many new challenges. In this paper we articulate challenges based onour experience with addressing them at Google; and offer some principles for addressingthem in a general fashion.,IEEE Data Eng. Bull.,2006,52
Data management projects at Google,Michael Cafarella; Edward Chang; Andrew Fikes; Alon Halevy; Wilson Hsieh; Alberto Lerner; Jayant Madhavan; S Muthukrishnan,Abstract This article describes some of the ongoing research projects related to structureddata management at Google today. The organization of Google encourages researchscientists to work closely with engineering teams. As a result; the research projects tend tobe motivated by real needs faced by Google's products and services; and solutions are putinto production and tested rapidly. In addition; because of the sheer scale at which Googleoperates; the engineering challenges faced by Google's services often require researchinnovations.,ACM SIGMOD Record,2008,43
Identifying query aspects,*,Methods; systems; and apparatus; including computer program products; for generatingaspects associated with entities. In some implementations; a method includes receiving dataidentifying an entity; generating a group of candidate aspects for the entity; modifying thegroup of candidate aspects to generate a group of modified candidate aspects comprisingcombining similar candidate aspects and grouping candidate aspects using one or moreaspect classes each associated with one or more candidate aspects; ranking one or moremodified candidate aspects in the group of modified candidate aspects based on a diversityscore and a popularity score; and storing an association between one or more highestranked modified candidate aspects and the entity. The aspects can be used to organize andpresent search results in response to queries for the entity.,*,2013,37
Harvesting relational tables from lists on the web,Hazem Elmeleegy; Jayant Madhavan; Alon Halevy,Abstract A large number of web pages contain data structured in the form of" lists". Manysuch lists can be further split into multi-column tables; which can then be used in moresemantically meaningful tasks. However; harvesting relational tables from such lists can bea challenging task. The lists are manually generated and hence need not have well-definedtemplates--they have inconsistent delimiters (if any) and often have missing information. Wepropose a novel technique for extracting tables from lists. The technique is domainindependent and operates in a fully unsupervised manner. We first use multiple sources ofinformation to split individual lines into multiple fields and then; compare the splits acrossmultiple lines to identify and fix incorrect splits and bad alignments. In particular; we exploit acorpus of HTML tables; also extracted from the web; to identify likely fields and good …,The VLDB Journal—The International Journal on Very Large Data Bases,2011,34
Scalable rendering of large spatial databases,*,Aspects of the invention provide a service for data management and integration across awide range of applications. Clustered computers may be arranged in a cloud-typeconfiguration for storing and handling large amounts of user data under the control of a front-end management server. Communities of distributed users may collaborate on the dataacross multiple enterprises. Very large tabular data files are uploaded to the storagefacilities. The data files are maintained as tables; and a composite table of relatedinformation is created and maintained in response to user queries. Different ways ofvisualizing the data are provided. Depending on the amount of information that can bedisplayed; features in a spatial index may the thinned for presentation. Spatial andstructured queries are processing and results are intersected to obtain information for …,*,2015,33
Applying WebTables in Practice.,Sreeram Balakrishnan; Alon Y Halevy; Boulos Harb; Hongrae Lee; Jayant Madhavan; Afshin Rostamizadeh; Warren Shen; Kenneth Wilder; Fei Wu; Cong Yu,*,CIDR,2015,29
Efficient spatial sampling of large geographical tables,Anish Das Sarma; Hongrae Lee; Hector Gonzalez; Jayant Madhavan; Alon Halevy,Abstract Large-scale map visualization systems play an increasingly important role inpresenting geographic datasets to end users. Since these datasets can be extremely large;a map rendering system often needs to select a small fraction of the data to visualize them ina limited space. This paper addresses the fundamental challenge of thinning: determiningappropriate samples of data to be shown on specific geographical regions and zoom levels.Other than the sheer scale of the data; the thinning problem is challenging because of anumber of other reasons:(1) data can consist of complex geographical shapes;(2) renderingof data needs to satisfy certain constraints; such as data being preserved across zoom levelsand adjacent regions; and (3) after satisfying the constraints; an optimal solution needs to bechosen based on objectives such as maximality; fairness; and importance of data. This …,Proceedings of the 2012 ACM SIGMOD International Conference on Management of Data,2012,29
Exploring schema repositories with schemr,Kuang Chen; Akshay Kannan; Jayant Madhavan; Alon Halevy,Abstract Schemr is a search engine for users to search for and visualize schemas in ametadata repository. Users may search by keywords and by example; using schemafragments as query terms. Schemr uses a novel search algorithm; based on a combinationof text search and schema matching techniques; coupled with a structurally-aware scoringmetric. Schemr presents search results in a GUI that allows users to explore which elementsmatch and how well they do. The GUI supports interactions; including panning; zooming;layout and drilling-in. This paper introduces Schemr as a new component of the informationintegration toolbox and discusses its benefits in several applications.,ACM SIGMOD Record,2011,29
Corpus-based knowledge representation,Alon Y Halevy; Jayant Madhavan,Abstract A corpus-based knowledge representation system consists of a large collection ofdisparate knowledge fragments or schemas; and a rich set of statistics computed over thecorpus. We argue that by collecting such a corpus and computing the appropriate statistics;corpus-based representation offers an alternative to traditional knowledge representation fora broad class of applications. The key advantage of corpusbased representation is that weavoid the laborious process of building a (often brittle) knowledge base. We describe thebasic building blocks of a corpus-based representation system and a set of applications forwhich such a paradigm is appropriate; including one application where the approach isalready showing promising results.,IJCAI,2003,29
Mining structures for semantics,Xin Dong; Jayant Madhavan; Alon Halevy,Abstract Online data is available in two avors: unstructured data that resides as free text inHTML pages; and structured data that resides in databases and knowledge bases.Unstructured data is easily accessed as human-readable text on a browser; while structureddata is hidden behind web query interfaces (web forms); web services; and customdatabase APIs. Access to this data; popularly referred to as the hidden web; entailssubmitting correctly completed web forms or writing code to access web services usingprotocols such as SOAP.,ACM SIGKDD Explorations Newsletter,2004,28
Clustering query refinements by inferred user intent,*,Methods; systems; and apparatus; including computer programs encoded on computerstorage media; for clustering query refinements. One method includes building arepresentation of a graph for a first query; wherein the graph has a node for the first query; anode for each of a plurality of refinements for the first query; and a node for each documentin the document sets of the refinements; and wherein the graph has edges from the firstquery node to each of the refinement nodes; edges from the first query to each document inthe respective document set of the first query; edges from each refinement to each documentin the respective document set of the refinement; and edges from each refinement to each co-occurring query of the refinement. The method further includes clustering the refinementsinto refinement clusters by partitioning the refinement nodes in the graph into proper …,*,2013,19
Data management projects at Google,Wilson Hsieh; Jayant Madhavan; Rob Pike,Abstract This session describes three data management projects at Google. BigTable is ahighly scalable system for distributed storage and querying of structured data. Sawzall is asystem for large-scale analysis of data sets that have a flat but regular structure. Finally;GoogleBase is a system for storing and searching structured data contributed by externalparties.,*,2006,19
Facilitating searches through content which is accessible through web-based forms,*,One embodiment of the present invention provides a system that facilitates crawling throughweb-based forms to gather information to facilitate subsequent searches through contentwhich is accessible though the web-based forms. During operation; the system first obtainsweb-based forms to be searched. Note that the system can obtain these web-based formsfrom a number of sources. For example; the system can crawl through web sites to identifyweb-based forms; the system can receive manually provided web-based forms; or thesystem can find web-based forms through methods other than crawling. Next; the systemcreates database entries for the identified forms. This involves obtaining and storingmetadata describing the identified forms into database entries and then storing thesedatabase entries in a form database to facilitate searches through content which is …,*,2010,18
Table search using recovered semantic information,*,Methods; systems; and apparatus; including computer programs encoded on a computerstorage medium; for searching tables using recovered semantic information. In general; oneaspect of the subject matter described in this specification can be embodied in methods thatinclude the actions of receiving a collection of tables; each table including a plurality of rows;each row including a plurality of cells; recovering semantic information associated with eachtable of the collection of tables; the recovering including determining a class associated witheach respective table according to a class-instance hierarchy including identifying a subjectcolumn of each table of the collection of tables; and labeling each table in the collection oftables with the respective class.,*,2012,16
Self-organizing data sharing communities with SAGRES,Zachary Ives; Alon Levy; Jayant Madhavan; Rachel Pottinger; Stefan Saroiu; Igor Tatarinov; Shiori Betzler; Qiong Chen; Ewa Jaslikowska; Jing Su; Wai Tak Theodora Yeung,An increasing number of devices (eg; household appliances; PDAs; cell phones) havemicroprocessors and will soon be able to exhibit sophisticated behaviors and interactionswith other devices: a home heating system will monitor its residents' alarm clocks andschedules to set the temperature optimally; a car's GPS system will use local traffic reports tooptimize its driv er'sroute based on road conditions. The Sagres project at the University ofWashington addresses the key issues of data sharing and management in the realm ofinvisible computing. In the con text of invisible computing; data exchange and computationoccur in the background in response to cues from users. Devices are added and removedfrom the net w ork on a regular basis; and they must be able to interoperate with little humanintervention. The collection of devices that exist around a particular individual or in a …,ACM SIGMOD Record,2000,13
Identifying aspects for web-search queries,Fei Wu; Jayant Madhavan; Alon Halevy,Abstract Many web-search queries serve as the beginning of an exploration of an unknownspace of information; rather than looking for a specific web page. To answer such querieseffectively; the search engine should attempt to organize the space of relevant information ina way that facilitates exploration. We describe the Aspector system that computes aspects fora given query. Each aspect is a set of search queries that together represent a distinctinformation need relevant to the original search query. To serve as an effective means toexplore the space; Aspector computes aspects that are orthogonal to each other and to havehigh combined coverage. Aspector combines two sources of information to computeaspects. We discover candidate aspects by analyzing query logs; and cluster them toeliminate redundancies. We then use a mass-collaboration knowledge base (eg …,Journal of Artificial Intelligence Research,2011,12
Big Data Storytelling Through Interactive Maps.,Jayant Madhavan; Sreeram Balakrishnan; Kathryn Brisbin; Hector Gonzalez; Nitin Gupta; Alon Y Halevy; Karen Jacqmin-Adams; Heidi Lam; Anno Langen; Hongrae Lee; Rod McChesney; Rebecca Shapley; Warren Shen,Abstract Google Fusion Tables (GFT) brings big data collaboration and visualization to data-experts who possess neither large data-processing resources nor expertise. In this paper wehighlight our support for map visualizations over large complex geospatial datasets.Interactive maps created using GFT have already been used by journalists in numerous high-profile stories.,IEEE Data Eng. Bull.,2012,11
Searching through content which is accessible through web-based forms,*,One embodiment of the present invention provides a system that facilitates searchingthrough content which is accessible though web-based forms. During operation; the systemreceives a query containing keywords. Next; the system analyzes the query to create astructured query. The system then performs a lookup based on the structured query in adatabase containing entries describing the web-based forms. Next; the system ranks formsreturned by the lookup; and uses the rankings and associated database entries to facilitate asearch through content which is accessible through the forms.,*,2011,10
Consistent thinning of large geographical data for map visualization,Anish Das Sarma; Hongrae Lee; Hector Gonzalez; Jayant Madhavan; Alon Halevy,Abstract Large-scale map visualization systems play an increasingly important role inpresenting geographic datasets to end-users. Since these datasets can be extremely large;a map rendering system often needs to select a small fraction of the data to visualize them ina limited space. This article addresses the fundamental challenge of thinning: determiningappropriate samples of data to be shown on specific geographical regions and zoom levels.Other than the sheer scale of the data; the thinning problem is challenging because of anumber of other reasons:(1) data can consist of complex geographical shapes;(2) renderingof data needs to satisfy certain constraints; such as data being preserved across zoom levelsand adjacent regions; and (3) after satisfying the constraints; an optimal solution needs to bechosen based on objectives such as maximality; fairness; and importance of data. This …,ACM Transactions on Database Systems (TODS),2013,7
