Mindreader: Querying databases through multiple examples,Yoshiharu Ishikawa; Ravishankar Subramanya; Christos Faloutsos,Abstract Users often can not easily express their queries. For example; in amultimedia/image by content setting; the user might want photographs with sunsets; incurrent systems; like QBIC; the user has to give a sample query; and to specify the relativeimportance of color; shape and texture. Even worse; the user might want correlationsbetween attributes; like; for example; in a traditional; medical record database; a medicalresearcher might want to nd\mildly overweight patients"; where the implied query wouldbe\weight/height 4 lb/inch". Our goal is to provide a user-friendly; but theoretically solidmethod; to handle such queries. We allow the user to give several examples; and;optionally; their'goodness' scores; and we propose a novel method to\guess" whichattributes are important; which correlations are important; and with what weight. Our …,Computer Science Department,1998,705
Efficient processing of graph similarity queries with edit distance constraints,Xiang Zhao; Chuan Xiao; Xuemin Lin; Wei Wang; Yoshiharu Ishikawa,Abstract Graphs are widely used to model complicated data semantics in many applicationsin bioinformatics; chemistry; social networks; pattern recognition; etc. A recent trend is totolerate noise arising from various sources such as erroneous data entries and find similaritymatches. In this paper; we study graph similarity queries with edit distance constraints.Inspired by the q-gram idea for string similarity problems; our solution extracts paths fromgraphs as features for indexing. We establish a lower bound of common features to generatecandidates. Efficient algorithms are proposed to handle three types of graph similarityqueries by exploiting both matching and mismatching features as well as degree informationto improve the filtering and verification on candidates. We demonstrate the proposedalgorithms significantly outperform existing approaches with extensive experiments on …,The VLDB Journal,2013,26
Estimation of false drops in set-valued object retrieval with signature files,Hiroyuki Kitagawa; Yoshiaki Fukushima; Yoshiharu Ishikawa; Nobuo Ohbo,Abstract Advanced database systems have to support complex data structures as treated inobject-oriented data models and nested relational data models. In particular; efficientprocessing of set-valued object retrieval (simply; set retrieval) is indispensable for suchsystems. In the previous paper [6]; we proposed the use of signature files as efficient setretrieval facilities and showed their potential capabilities based on a disk page access costmodel. Retrieval with signature files is always accompanied by mismatches called falsedrops; and it is very important in designing signature files to properly control the false drops.In this paper; we present an in-depth study of false drops in set retrieval with signature files.We derive formulas estimating false drops in four types of set retrieval based on the “has-subset;”“is-subset;”“has-intersection;” and “is-equal” relationships. Then we evaluate their …,International Conference on Foundations of Data Organization and Algorithms,1993,26
T-scroll: Visualizing trends in a time-series of documents for interactive user exploration,Yoshiharu Ishikawa; Mikine Hasegawa,Abstract On the Internet; a large number of documents such as news articles and onlinejournals are delivered everyday. We often have to review major topics and topic transitionsfrom a large time-series of documents; but it requires much time and effort to browse andanalyze the target documents. We have therefore developed an information visualizationsystem called T-Scroll (Trend/Topic-Scroll) to visualize the transition of topics extracted fromthose documents. The system takes periodical outputs of the underlying clustering systemfor a time-series of documents then visualizes the relationships between clusters as a scroll.Using its interaction facility; users can grasp the topic transitions and the details of topics forthe target time period. This paper describes the idea; the functions; the implementation; andthe evaluation of the T-Scroll system.,International Conference on Theory and Practice of Digital Libraries,2007,22
Direction-based surrounder queries for mobile recommendations,Xi Guo; Baihua Zheng; Yoshiharu Ishikawa; Yunjun Gao,Abstract Location-based recommendation services recommend objects to the user based onthe user's preferences. In general; the nearest objects are good choices considering theirspatial proximity to the user. However; not only the distance of an object to the user but alsotheir directional relationship are important. Motivated by these; we propose a new spatialquery; namely a direction-based surrounder (DBS) query; which retrieves the nearestobjects around the user from different directions. We define the DBS query not only in a two-dimensional Euclidean space E but also in a road network R. In the Euclidean space E; weconsider two objects a and b are directional close wrt a query point q iff the included angle∠ aqb is bounded by a threshold specified by the user at the query time. In a road networkR; we consider two objects a and b are directional close iff their shortest paths to q …,The VLDB Journal,2011,20
Effective top-k keyword search in relational databases considering query semantics,Yanwei Xu; Yoshiharu Ishikawa; Jihong Guan,Abstract Keyword search in relational databases has recently emerged as a new researchtopic. As a search result is often assembled from multiple relational tables; existing IR-styleranking strategies can not be applied directly. In this paper; we propose a novel IR rankingstrategy considering query semantics for effective keyword search. The experimental resultson a large-scale real database demonstrate that our method results in significantimprovement in terms of retrieval effectiveness as compared to previous ranking strategies.,*,2009,18
Novelty-based incremental document clustering for on-line documents,Sophoin Khy; Yoshiharu Ishikawa; Hiroyuki Kitagawa,Document clustering has been used as a core technique in managing vast amount of dataand providing needed information. In on-line environments; generally new information gainsmore interests than old one. Traditional clustering focuses on grouping similar documentsinto clusters by treating each document with equal weight. We proposed a novelty-basedincremental clustering method for on-line documents that has biases on recent documents.In the clustering method; the notion of 'novelty'is incorporated into a similarity function and aclustering method; a variant of the K-means method; is proposed. We examine the efficiencyand behaviors of the method by experiments.,Data Engineering Workshops; 2006. Proceedings. 22nd International Conference on,2006,18
Continual neighborhood tracking for moving objects using adaptive distances,Yoshiharu Ishikawa; Hiroyuki Kitagawa; Tooru Kawashima,Based on the recent progress of digital cartography; global positioning systems (GPSs); andhand-held devices; there are growing needs of technology that provides neighborhoodinformation to moving objects according to their locations and trajectories. In this paper wepropose spatial query generation models that take account of the current position and thepast/future trajectories of a moving object to provide appropriate neighborhood informationto it. For this purpose; we introduce an influence model of trajectory points and deriveneighborhood query generation models using adaptive ellipsoid distances. We describequery processing strategies for these query generation models and show incremental queryupdate procedures to support continual query facilities with low processing cost. Finally; wepresent experimental results to show the effectiveness of our approach.,Database Engineering and Applications Symposium; 2002. Proceedings. International,2002,18
Processing all k-nearest neighbor queries in hadoop,Takuya Yokoyama; Yoshiharu Ishikawa; Yu Suzuki,Abstract A k-nearest neighbor (k-NN) query; which retrieves nearest k points from adatabase is one of the fundamental query types in spatial databases. An all k-nearestneighbor query (A k NN query); a variation of ak-NN query; determines the k-nearestneighbors for each point in the dataset in a query process. In this paper; we propose amethod for processing A k NN queries in Hadoop. We decompose the given space into cellsand execute a query using the MapReduce framework in a distributed and parallel manner.Using the distribution statistics of the target data points; our method can process givenqueries efficiently.,International Conference on Web-Age Information Management,2012,16
Finding probabilistic nearest neighbors for query objects with imprecise locations,Yuichi Iijima; Yoshiharu Ishikawa,A nearest neighbor query is an important notion in spatial databases and moving objectdatabases. In the emerging application fields of moving object technologies; such as mobilesensors and mobile robotics; the location of an object is often imprecise due to noise andestimation errors. We propose techniques for processing a nearest neighbor query when thelocation of the query object is specified by an imprecise Gaussian distribution. First; weconsider two query processing strategies for pruning candidate objects; which can reducethe number of objects that require numerical integration for computing the qualificationprobabilities. In addition; we consider a hybrid approach that combines the two strategies.The performance of the proposed methods is evaluated using test data.,Mobile Data Management: Systems; Services and Middleware; 2009. MDM'09. Tenth International Conference on,2009,16
X 2 QL: An eXtensible XML Query Language supporting user-defined foreign functions,Norihide Shinagawa; Hiroyuki Kitagawa; Yoshiharu Ishikawa,Abstract With the recent and rapid advance of the Internet; management of structureddocuments such as XML documents and their databases has become more and moreimportant. A number of query languages for XML documents have been proposed up to thepresent. Some of them enable tag-based powerful document structure manipulation.However; their contents processing capability is very limited. Here; the contents processingimplies the similarity-based selection; ranking; summary generation; topic extraction; and soon; as well as simple string-based pattern matching. In this paper; we propose an extensibleXML query language X 2 QL; which features inclusion of user-defined foreign functions toprocess document contents in the context of XML-QL-based document structuremanipulation. This feature makes it possible to integrate application-oriented high-level …,*,2000,16
Monitoring aggregate k-nn objects in road networks,Lu Qin; Jeffrey Xu Yu; Bolin Ding; Yoshiharu Ishikawa,Abstract In recent years; there is an increasing need to monitor k nearest neighbor (k-NN) ina road network. There are existing solutions on either monitoring k-NN objects from a singlequery point over a road network; or computing the snapshot k-NN objects over a roadnetwork to minimize an aggregate distance function with respect to multiple query points. Inthis paper; we study a new problem that is to monitor k-NN objects over a road network frommultiple query points to minimize an aggregate distance function with respect to the multiplequery points. We call it a continuous aggregate k-NN (CANN) query. We propose a newapproach that can significantly reduce the cost of computing network distances whenmonitoring aggregate k-NN objects on road networks. We conducted extensive experimentalstudies and confirmed the efficiency of our algorithms.,International Conference on Scientific and Statistical Database Management,2008,15
Integration of multiple dissemination-based information sources using source data arrival properties,Yousuke Watanabe; Hiroyuki Kitagawa; Yoshiharu Ishikawa,The integration of heterogeneous information sources is an important data engineeringresearch issue. Various types of information sources are available today. They includedissemination-based information sources; which actively and autonomously deliverinformation from servers to users. We are developing a mediator/wrapper-based informationintegration system in which we employ ECA rules to define new information deliverychannels; integrating multiple existing dissemination-based information sources. ECA rulesin this system are derived from integration requirement specifications based on relationalalgebra provided by users. Dissemination-based information sources usually have dataarrival properties; such as an information delivery schedule. Using the data arrival propertiesof underlying information sources; the system can derive more appropriate ECA rules and …,Web Information Systems Engineering; 2001. Proceedings of the Second International Conference on,2001,13
Dynamic thesaurus for intelligent access to research databases,Y Fujiwara,CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ]. メニュー 検索 …,Proc. 47 FID Conf.,1988,13
Database Systems for Advanced Applications: 9th International Conference; DASFAA 2004; Jeju Island; Korea; March 17-19; 2003; Proceedings,YoonJoon Lee; Jianzhong Li; Kyu-Young Whang; Doheon Lee,The 9th International Conference on Database Systems for Advanced Applications(DASFAA 2004) was held during March 17–19; 2004 on the beautiful Jeju island of Korea.The DASFAA conference provides an international forum for technical discussions amongresearchers; developers; and users of database systems from academia; business; andindustry. The main focus of DASFAA is on research in database theory; development ofadvanced DBMS technologies; and their advanced applications. A premier databaseconference in the Asia/Pacific region; DASFAA has been held every two years; and in manycountries in the region. To promote the area further and to answer the needs of manyparticipants; the steering committee decided to hold the conference annually. DASFAA 2004was the first such annual conference. The conference was organized by the Special …,*,2004,12
A dynamic mobility histogram construction method based on Markov chains,Yoshiharu Ishikawa; Yoji Machida; Hiroyuki Kitagawa,With the recent progress of spatial information technologies and communicationtechnologies; it has become easier to track positions of a large number of moving objects inreal-time. Mobility statistics plays an important role in the interactive analysis of a largecollection of moving objects trajectories and its use of movement pattern prediction. Thedevelopment of an effective mobility statistics measure and its efficient computation methodare critical issues. Thus; we propose an approach for constructing a mobility histogram tosummarize a number of moving object trajectories. The histogram is based on a mobilitystatistics model called the Markov chain model. To facilitate an interactive analysisperformed by a user; we provide a mobility histogram data cube-like logical representationand support an OLAP-style analysis. Since trajectory data is often received continuously …,Scientific and Statistical Database Management; 2006. 18th International Conference on,2006,11
A semantic caching method based on linear constraints,Yoshiharu Ishikawa; Hiroyuki Kitagawa,Because performance is a crucial issue in database systems; data caching techniques havebeen studied in the database research field; especially in client-server databases anddistributed databases. Recently; the idea of semantic caching has been proposed. Theapproach uses semantic information to describe cached data items so that it tries to exploitnot only temporal locality but also semantic locality to improve query response time. Wepropose linear constraint-based semantic caching as a new approach to semantic caching.Based on the idea of constraint databases; we describe the semantic information about thecached relational tuples as compact constraint tuples. The main focus is the representationmethod of cache information and the cache examination algorithm.,Database Applications in Non-Traditional Environments; 1999.(DANTE'99) Proceedings. 1999 International Symposium on,1999,11
Traceable P2P record exchange based on database technologies,Fengrong Li; Yoshiharu Ishikawa,Abstract Information exchanges in P2P networks have become very popular in recent years.However; tracing how data circulates between peers and how data modifications areperformed during the circulation before reaching the destination are not easy because datareplications and modifications are performed independently by peers. This creates a lack ofreliability among the records exchanged. To provide reliable and flexible informationexchange facilities in P2P networks; we propose a framework for a record exchange systembased on database technologies. The system consists of three layers: a user layer; a logicallayer and a physical layer. Its tracing operations are executed as distributed recursivequeries among cooperating peers in a P2P network. This paper describes the concept andoverviews the framework.,Asia-Pacific Web Conference,2008,10
A rule-oriented architecture to incorporate dissemination-based information delivery into information integration environments,Hironori Mizuguchi; Hiroyuki Kitagawa; Yoshiharu Ishikawa; Atsuyuki Morishima,Abstract Integration of heterogeneous information sources has been one of importantresearch issues in recent advanced application environments. Today; various types ofinformation sources are available. Dissemination-based information delivery services thatautonomously deliver information from the server sites to users are among the useful andpromising information sources. In this paper; we present incorporation of dissemination-based information delivery into information integration environments. The integration herehas two goals:(1) Users can utilize dissemination-based information services as otherinformation sources such as databases and the Web. Namely; they can be sources ofinformation inte gration.(2) Users can obtain integrated information through dissemination-based delivery. We explain this requirement can be met by a combination of an …,*,2000,10
Animal models of myasthenia gravis: utility and limitations,Renato Mantegazza; Chiara Cordiglieri; Alessandra Consonni; Fulvio Baggi,Abstract Myasthenia gravis (MG) is a chronic autoimmune disease caused by the immuneattack of the neuromuscular junction. Antibodies directed against the acetylcholine receptor(AChR) induce receptor degradation; complement cascade activation; and postsynapticmembrane destruction; resulting in functional reduction in AChR availability. Besides anti-AChR antibodies; other autoantibodies are known to play pathogenic roles in MG. Theexperimental autoimmune MG (EAMG) models have been of great help over the years inunderstanding the pathophysiological role of specific autoantibodies and T helperlymphocytes and in suggesting new therapies for prevention and modulation of the ongoingdisease. EAMG can be induced in mice and rats of susceptible strains that show clinicalsymptoms mimicking the human disease. EAMG models are helpful for studying both the …,International journal of general medicine,2016,9
AEDSMS: Automotive embedded data stream management system,Akihiro Yamaguchi; Yukikazu Nakamoto; Kenya Sato; Yoshiharu Ishikawa; Yousuke Watanabe; Shinya Honda; Hiroaki Takada,Data stream management systems (DSMSs) are useful for the management and processingof continuous data at a high input rate with low latency. In the automotive domain;embedded systems use a variety of sensor data and communications from outside thevehicle to promote autonomous and safe driving. Thus; the software developed for thesesystems must be capable of handling large volumes of data and complex processing. Atpresent; we are developing a platform for the integration and management of data in anautomotive embedded system using a DSMS. However; compared with conventional DSMSfields; we have encountered new challenges such as precompiling queries when designingautomotive systems (which demands time predictability); distributed stream processing in in-vehicle networks; and real-time scheduling and sensor data fusion by stream processing …,Data Engineering (ICDE); 2015 IEEE 31st International Conference on,2015,8
Traceable P2P record exchange: A database-oriented approach,Fengrong Li; Takuya Iida; Yoshiharu Ishikawa,Abstract In recent years; peer-to-peer (P2P) technologies are used for flexible and scalableinformation exchange in the Internet; but there exist problems to be solved for reliableinformation exchange. It is important to trace how data circulates between peers and howdata modifications are performed during the circulation before reaching the destination forenhancing the reliability of exchanged information. However; such lineage tracing is noteasy in current P2P networks; since data replications and modifications are performedindependently by autonomous peers—this creates a lack of reliability among the recordsexchanged. In this paper; we propose a framework for traceable record exchange in a P2Pnetwork. By managing historical information in distributed peers; we make the modificationand exchange histories of records traceable. One of the features of our work is that the …,Frontiers of Computer Science in China,2008,8
False drop analysis of set retrieval with signature files,Hiroyuki Kitagawa; Yoshiharu Ishikawa,Modern database systems have to support complex data objects; which appear in advanceddata models such as object-oriented data models and nested relational data models. Set-valued objects are basic constructs to build complex structures in those models. Therefore;efficient processing of set-valued object retrieval (simply; set retrieval) is an important featurerequired of advanced database systems. Our previous work proposed a basic scheme toapply superimposed coded signature files to set retrieval and showed its potentialadvantages over the B-tree index based approach using a performance analysis model.Retrieval with signature files is always accompanied by mismatches called false drops; andproper control of the false drops is indispensable in the signature file design. This studyintensively analyzes the false drops in set retrieval with signature files. First; schemes to …,IEICE TRANSACTIONS on Information and Systems,1997,8
Quality of life under oxycodone/naloxone; oxycodone; or morphine treatment for chronic low back pain in routine clinical practice,Michael A Ueberall; Alice Eberhardt; Gerhard HH Mueller-Schwefe,Objective To compare the quality of life of patients with moderate-to-severe chronic low backpain under treatment with the WHO-step III opioids oxycodone/naloxone; oxycodone; ormorphine in routine clinical practice. Study design Prospective; 12-week; randomized; open-label; blinded end-point study in 88 medical centers in Germany.,International journal of general medicine,2016,7
Combination skyline queries,Xi Guo; Chuan Xiao; Yoshiharu Ishikawa,Abstract Given a collection of data objects; the skyline problem is to select the objects whichare not dominated by any others. In this paper; we propose a new variation of the skylineproblem; called the combination skyline problem. The goal is to find the fixed-sizecombinations of objects which are skyline among all possible combinations. Our problem istechnically challenging as traditional skyline approaches are inapplicable to handle a hugenumber of possible combinations. By indexing objects with an R-tree; our solution is basedon object-selecting patterns that indicate the number of objects to be selected for each MBR.We develop two major pruning conditions to avoid unnecessary expansions andenumerations; as well as a technique to reduce space consumption on storing the skyline foreach rule in the object-selecting pattern. The efficiency of the proposed algorithm is …,*,2012,7
A wrapping architecture for IR systems to mediate external structured document sources,Yoshiharu Ishikawa; Takehiro Furudate; Shunsuke Uemura,Abstract With the growth of digital libraries and electronic publishing; many structureddocument sources are appearing and their effective mediation is an important researchtopic. In this paper; we propose a wrapping architecture for externally maintained structureddocument sources. Our wrapping target is information retrieval systems (IRSs) that provideaccess to structured documents. We describe a wrapper construction method for such IRSswith limited functionality. A constructed wrapper enhances retrieval facilities of theunderlying IRS and provides an object database view to the mediator. We focus ondetermining whether the underlying IRS can support a given query. Then we discuss someresearch issues related to our wrapping architecture.,*,1997,7
Design and evaluation of signature file organization incorporating vertical and horizontal decomposition schemes,Hiroyuki Kitagawa; Noriyasu Watanabe; Yoshiharu Ishikawa,Abstract Signature files are known as promising facilities to speed up accesses to largeinformation repositories in database and information retrieval systems. This paper presentsa new signature file organization method; named Partitioned Frame-Sliced Signature File (P-FSSF); and studies its performance. P-FSSF incorporates both vertical and horizontaldecomposition schemes to reduce page accesses required to look up signatures. Inaddition; P-FSSF is flexible enough to have its concrete organization tuned to realapplication environments. We develop formulas to estimate the retrieval cost of P-FSSF inthe context of the general set-valued object retrieval. Also; formulas to tell the update andstorage costs are derived. Then; the processing cost of P-FSSF is shown to be lower thanthe other existing signature file organizations in general. We also show that Partitioned Bit …,International Conference on Database and Expert Systems Applications,1996,7
Multi-objective optimal combination queries,Xi Guo; Yoshiharu Ishikawa,Abstract Multi-objective optimization problem finds out optimal objects wrt several objectivesrather than a single objective. We propose a new problem called a multi-objective optimalcombination problem (MOC problem) which finds out object combinations wrt multipleobjectives. A combination dominates another combination if it is not worse than anther onein all attributes and better than another one in one attribute at least. The combinations; whichcannot be dominated by any other combinations; are optimal. We propose an efficientalgorithm to find out optimal combinations by reducing the search space with a lower boundreduction method and an upper bound reduction method based on the R-tree index. Weimplemented the proposed algorithm and conducted experiments on synthetic data sets.,International Conference on Database and Expert Systems Applications,2011,6
Data mining for moving object databases,Yoshiharu Ishikawa,Due to the recent developments in mobile devices and GPS systems and the progress ofnetwork technology; mobile computing has become a key technology today. Along with theprogress in mobile technologies; research on moving object databases is currently beingactively investigated in the area of database research [16]. As its name suggests; a movingobject database is a database that stores and manages information on moving objects suchas vehicles; pedestrians with mobile devices; and so on. Various research and developmentefforts regarding moving object databases have been conducted; including several topicssuch as data models for representing,Mobile intelligence,2010,6
Implementation and evaluation of an adaptive neighborhood information retrieval system for mobile users,Yoshiharu Ishikawa; Yuichi Tsukamoto; Hiroyuki Kitagawa,Rapid development and ongoing research activities on mobile devices; digital cartography;and global positioning systems (GPSs) have brought us a new type of software service-location-based services for moving objects (such as people with mobile devices andvehicles with car navigation systems). Realization of location-based services requires newtechnologies to provide appropriate neighborhood information to moving objects. A generalapproach to providing neighborhood information to moving objects is to retrieve objects inthe neighborhood of a moving object with a spatial query that uses the traditional Euclideandistance. However; if we know the destination and the estimated route of a moving object;we would be able to provide more appropriate information to the object. Based on this idea;we have developed adaptive spatial query generation models that take the trajectory of a …,Web Information Systems Engineering Workshops; 2003. Proceedings. Fourth International Conference on,2003,6
An improved approach to the clustering method based on forgetting factors,Y Ishikawa,CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ]. メニュー 検索 …,DBSJ Letters,2003,6
Algebraic service specification and rule generation for integrating multiple dissemination-based information sources,Hiroyuki Kitagawa; Tomoyuki Kajino; Yoshiharu Ishikawa,Integration of heterogeneous information sources has been one of important dataengineering research issues. Various type of information sources are available today. Theyinclude dissemination-based information sources; which actively and autonomously deliverinformation from server sites to users. We have been developing a mediator/wrapper-basedinformation integration system; in which we employ ECA (event-condition-action) rules toenable users to define new information delivery services integrating multiple existingdissemination-based information sources. However; it is not easy for users to directly specifyECA rules and to verify them. In this paper; we propose a scheme to specify new informationdelivery services using the framework of the relational algebra. We discuss some importantproperties of the specification and show how we can derive ECA rules to implement the …,Database Systems for Advanced Applications; 2001. Proceedings. Seventh International Conference on,2001,6
Processing probabilistic range queries over Gaussian-based uncertain data,Tingting Dong; Chuan Xiao; Xi Guo; Yoshiharu Ishikawa,Abstract Probabilistic range query is an important type of query in the area of uncertain datamanagement. A probabilistic range query returns all the objects within a specific range fromthe query object with a probability no less than a given threshold. In this paper we assumethat each uncertain object stored in the databases is associated with a multi-dimensionalGaussian distribution; which describes the probability distribution that the object appears inthe multi-dimensional space. A query object is either a certain object or an uncertain objectmodeled by a Gaussian distribution. We propose several filtering techniques and an R-tree-based index to efficiently support probabilistic range queries over Gaussian objects.Extensive experiments on real data demonstrate the efficiency of our proposed approach.,International Symposium on Spatial and Temporal Databases,2013,5
