Structural joins: A primitive for efficient XML query pattern matching,Shurug Al-Khalifa; HV Jagadish; Nick Koudas; Jignesh M Patel; Divesh Srivastava; Yuqing Wu,XML queries typically specify patterns of selection predicates on multiple elements that havesome specified tree structured relationships. The primitive tree structured relationships areparent-child and ancestor-descendant; and finding all occurrences of these relationships inan XML database is a core operation for XML query processing. We develop two families ofstructural join algorithms for this task: tree-merge and stack-tree. The tree-merge algorithmsare a natural extension of traditional merge joins and the multi-predicate merge joins; whilethe stack-tree algorithms have no counterpart in traditional relational join processing. Wepresent experimental results on a range of data and queries using the TIMBER native XMLquery engine built on top of SHORE. We show that while; in some cases; tree-mergealgorithms can have performance comparable to stack-tree algorithms; in many cases …,Data Engineering; 2002. Proceedings. 18th International Conference on,2002,1206
Energy management for mapreduce clusters,Willis Lang; Jignesh M Patel,Abstract The area of cluster-level energy management has attracted significant researchattention over the past few years. One class of techniques to reduce the energy consumptionof clusters is to selectively power down nodes during periods of low utilization to increaseenergy efficiency. One can think of a number of ways of selectively powering down nodes;each with varying impact on the workload response time and overall energy consumption.Since the MapReduce framework is becoming" ubiquitous"; the focus of this paper is ondeveloping a framework for systematically considering various MapReduce node powerdown strategies; and their impact on the overall energy consumption and workloadresponse time. We closely examine two extreme techniques that can be accommodated inthis framework. The first is based on a recently proposed technique called" Covering Set" …,Proceedings of the VLDB Endowment,2010,230
Structural join order selection for XML query optimization,Yuqing Wu; Jignesh M Patel; HV Jagadish,Structural join operations are central to evaluating queries against XML data; and aretypically responsible for consuming a lion's share of the query processing time. Thus;structural join order selection is at the heart of query optimization in an XML database; justas (value-based) join order selection is central to relational query optimization. We introducefive algorithms for structural join order optimization for XML tree pattern matching andpresent an extensive experimental evaluation. Our experiments demonstrate that manyrelational rules of thumb are no longer appropriate: for instance; using dynamicprogramming style optimization is not efficient; limiting consideration to left-deep plansusually misses the best solution. Our experiments also show that a dynamic programmingoptimization with pruning (DPP) algorithm can find the optimal solution; with low cost …,Data Engineering; 2003. Proceedings. 19th International Conference on,2003,228
SAGA: a subgraph matching tool for biological graphs,Yuanyuan Tian; Richard C Mceachin; Carlos Santos; David J States; Jignesh M Patel,Abstract Motivation: With the rapid increase in the availability of biological graph datasets;there is a growing need for effective and efficient graph querying methods. Due to the noisyand incomplete characteristics of these datasets; exact graph matching methods havelimited use and approximate graph matching methods are required. Unfortunately; existinggraph matching methods are too restrictive as they only allow exact or near exact graphmatching. This paper presents a novel approximate graph matching technique called SAGA.This technique employs a flexible model for computing graph similarity; which allows fornode gaps; node mismatches and graph structural differences. SAGA employs an indexingtechnique that allows it to efficiently evaluate queries even against large graph datasets.Results: SAGA has been used to query biological pathways and literature datasets; which …,Bioinformatics,2006,205
Client-server paradise,David J DeWitt; Navin Kabra; Jun Luo; Jignesh M Patel; Jie-Bing Yu,Abstract This paper describes the design and implementation of Paradise; a databasesystem designed for handling GIS type of applications. The current version of Paradise; usesa client {server architecture and provides an extended {relational data model for modelingGIS applications. Paradise supports an extended version of SQL and provides a graphicaluser interface for querying and browsing the database. We also describe the results ofbenchmarking Paradise using the Sequoia 2000 storage benchmark.,VLDB,1994,194
Twitter heron: Stream processing at scale,Sanjeev Kulkarni; Nikunj Bhagat; Maosong Fu; Vikas Kedigehalli; Christopher Kellogg; Sailesh Mittal; Jignesh M Patel; Karthik Ramasamy; Siddarth Taneja,Abstract Storm has long served as the main platform for real-time analytics at Twitter.However; as the scale of data being processed in real-time at Twitter has increased; alongwith an increase in the diversity and the number of use cases; many limitations of Stormhave become apparent. We need a system that scales better; has better debug-ability; hasbetter performance; and is easier to manage--all while working in a shared clusterinfrastructure. We considered various alternatives to meet these needs; and in the endconcluded that we needed to build a new real-time stream data processing system. Thispaper presents the design and implementation of this new system; called Heron. Heron isnow the de facto stream data processing engine inside Twitter; and in this paper we alsoshare our experiences from running Heron in production. In this paper; we also provide …,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,2015,190
Data prefetching by dependence graph precomputation,Murali Annavaram; Jignesh M Patel; Edward S Davidson,Data cache misses reduce the performance of wide-issue processors by stalling the datasupply to the processor. Prefetching data by predicting the miss address is one way totolerate the cache miss latencies. But current applications with irregular access patternsmake it difficult to accurately predict the address sufficiently early to mask large cache misslatencies. This paper explores an alternative to predicting prefetch addresses; namelyprecomputing them. The Dependence Graph Precomputation scheme (DGP) introduced inthis paper is a novel approach for dynamically identifying and precomputing the instructionsthat determine the addresses accessed by those load/store instructions marked as beingresponsible for most data cache misses. DGP's dependence graph generator efficientlygenerates the required dependence graphs at run time. A separate precomputation …,Computer Architecture; 2001. Proceedings. 28th Annual International Symposium on,2001,182
Design and evaluation of main memory hash join algorithms for multi-core CPUs,Spyros Blanas; Yinan Li; Jignesh M Patel,Abstract The focus of this paper is on investigating efficient hash join algorithms for modernmulti-core processors in main memory environments. This paper dissects each internalphase of a typical hash join algorithm and considers different alternatives for implementingeach phase; producing a family of hash join algorithms. Then; we implement these mainmemory algorithms on two radically different modern multi-processor systems; and carefullyexamine the factors that impact the performance of each method. Our analysis reveals someinteresting results--a very simple hash join algorithm is very competitive to the other morecomplex methods. This simple join algorithm builds a shared hash table and does notpartition the input relations. Its simplicity implies that it requires fewer parameter settings;thereby making it far easier for query optimizers and execution engines to use it in …,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,176
Estimating answer sizes for XML queries,Yuqing Wu; Jignesh M Patel; HV Jagadish,Abstract Estimating the sizes of query results; and intermediate results; is crucial to manyaspects of query processing. In particular; it is necessary for effective query optimization.Even at the user level; predictions of the total result size can be valuable in “next-step”decisions; such as query refinement. This paper proposes a technique to obtain query resultsize estimates effectively in an XML database. Queries in XML frequently specify structuralpatterns; requiring specific relationships between selected elements. Whereas traditionaltechniques can estimate the number of nodes (XML elements) that will satisfy a node-specific predicate in the query pattern; such estimates cannot easily be combined to provideestimates for the entire query pattern; since element occurrences are expected to have highcorrelation. We propose a solution based on a novel histogram encoding of element …,International Conference on Extending Database Technology,2002,170
An efficient and accurate method for evaluating time series similarity,Michael D Morse; Jignesh M Patel,Abstract A variety of techniques currently exist for measuring the similarity between timeseries datasets. Of these techniques; the methods whose matching criteria is bounded by aspecified ε threshold value; such as the LCSS and the EDR techniques; have been shown tobe robust in the presence of noise; time shifts; and data scaling. Our work proposes a newalgorithm; called the Fast Time Series Evaluation (FTSE) method; which can be used toevaluate such threshold value techniques; including LCSS and EDR. Using FTSE; we showthat these techniques can be evaluated faster than using either traditional dynamicprogramming or even warp-restricting methods such as the Sakoe-Chiba band and theItakura Parallelogram. We also show that FTSE can be used in a framework that canevaluate a richer range of ε threshold-based scoring techniques; of which EDR and LCSS …,Proceedings of the 2007 ACM SIGMOD international conference on Management of data,2007,168
Method and apparatus for parallel execution of SQL-from within user defined functions,*,A method; apparatus; and an article of manufacture for parallel execution of SQL operationsfrom within user defined functions. One or more embodiments of the invention provide theuser defined function (UDF) with a C++ class (hereinafter referred to as “dispatcher”) thatcan take an SQL query and start parallel execution of the query. The query is optimized andparallelized. The dispatcher executes the query; sets up the communication links betweenthe various operators in the query; and ensures that all the results are sent back to the data-server that originated the query request. Further; the dispatcher merges the results of theparallel execution and produces a single stream of tuples that is fed to the calling UDF. Toprovide the single stream to the calling UDF; one or more embodiments of the inventionutilize a class that provides the UDF with a simple and easy-to-use interface to access the …,*,2003,165
High-performance concurrency control mechanisms for main-memory databases,Per-Åke Larson; Spyros Blanas; Cristian Diaconu; Craig Freedman; Jignesh M Patel; Mike Zwilling,Abstract A database system optimized for in-memory storage can support much highertransaction rates than current systems. However; standard concurrency control methodsused today do not scale to the high transaction rates achievable by such systems. In thispaper we introduce two efficient concurrency control methods specifically designed for main-memory databases. Both use multiversioning to isolate read-only transactions from updatesbut differ in how atomicity is ensured: one is optimistic and one is pessimistic. To avoidexpensive context switching; transactions never block during normal processing but theymay have to wait before commit to ensure correct serialization ordering. We alsoimplemented a main-memory optimized version of single-version locking. Experimentalresults show that while single-version locking works well when transactions are short and …,Proceedings of the VLDB Endowment,2011,159
Efficient skyline computation over low-cardinality domains,Michael Morse; Jignesh M Patel; Hosagrahar V Jagadish,Abstract Current skyline evaluation techniques follow a common paradigm that eliminatesdata elements from skyline consideration by finding other elements in the dataset thatdominate them. The performance of such techniques is heavily influenced by the underlyingdata distribution (ie whether the dataset attributes are correlated; independent; or anti-correlated). In this paper; we propose the Lattice Skyline Algorithm (LS) that is built around anew paradigm for skyline evaluation on datasets with attributes that are drawn from low-cardinality domains. LS continues to apply even if one attribute has high cardinality. Manyskyline applications naturally have such data characteristics; and previous skyline methodshave not exploited this property. We show that for typical dimensionalities; the complexity ofLS is linear in the number of input tuples. Furthermore; we show that the performance of …,Proceedings of the 33rd international conference on Very large data bases,2007,155
A demonstration of SciDB: a science-oriented DBMS,Philippe Cudré-Mauroux; Hideaki Kimura; K-T Lim; Jennie Rogers; Roman Simakov; Emad Soroush; Pavel Velikhov; Daniel L Wang; Magdalena Balazinska; Jacek Becla; D DeWitt; Bobbi Heath; David Maier; Samuel Madden; J Patel; Michael Stonebraker; S Zdonik,Abstract In CIDR 2009; we presented a collection of requirements for SciDB; a DBMS thatwould meet the needs of scientific users. These included a nested-array data model; science-specific operations such as regrid; and support for uncertainty; lineage; and named versions.In this paper; we present an overview of SciDB's key features and outline a demonstration ofthe first version of SciDB on data and operations from one of our lighthouse users; the LargeSynoptic Survey Telescope (LSST).,Proceedings of the VLDB Endowment,2009,153
Column-oriented storage techniques for MapReduce,Avrilia Floratou; Jignesh M Patel; Eugene J Shekita; Sandeep Tata,Abstract Users of MapReduce often run into performance problems when they scale up theirworkloads. Many of the problems they encounter can be overcome by applying techniqueslearned from over three decades of research on parallel DBMSs. However; translating thesetechniques to a Map-Reduce implementation such as Hadoop presents unique challengesthat can lead to new design choices. This paper describes how column-oriented storagetechniques can be incorporated in Hadoop in a way that preserves its popular programmingAPIs. We show that simply using binary storage formats in Hadoop can provide a 3xperformance boost over the naive use of text files. We then introduce a column-orientedstorage format that is compatible with the replication and scheduling constraints of Hadoopand show that it can speed up MapReduce jobs on real workloads by an order of …,Proceedings of the VLDB Endowment,2011,152
Building a scaleable geo-spatial DBMS: technology; implementation; and evaluation,Jignesh Patel; JieBing Yu; Navin Kabra; Kristin Tufte; Biswadeep Nag; Josef Burger; Nancy Hall; Karthikeyan Ramasamy; Roger Lueder; Curt Ellmann; Jim Kupsch; Shelly Guo; Johan Larson; David De Witt; Jeffrey Naughton,Abstract This paper presents a number of new techniques for parallelizing geo-spatialdatabase systems and discusses their implementation in the Paradise object-relationaldatabase system. The effectiveness of these techniques is demonstrated using a variety ofcomplex geo-spatial queries over a 120 GB global geo-spatial data set.,ACM SIGMOD Record,1997,145
Method and apparatus for parallel execution of SQL from stored procedures,*,A method; apparatus; and an article of manufacture for parallel execution of SQL operationsfrom stored procedures. One or more embodiments of the invention provide the storedprocedure (stored procedure) with a C++ class (hereinafter referred to as “dispatcher”) thatcan take an SQL query and start parallel execution of the query. The query is optimized andparallelized. The dispatcher executes the query; sets up the communication links betweenthe various operators in the query; and ensures that all the results are sent back to the data-server that originated the query request. Further; the dispatcher merges the results of theparallel execution and produces a single stream of tuples that is fed to the calling storedprocedure. To provide the single stream to the calling stored procedure; one or moreembodiments of the invention utilize a class that provides the stored procedure with a …,*,2003,141
Efficient continuous skyline computation,Michael Morse; Jignesh M Patel; William I Grosky,Abstract In a number of emerging streaming applications; the data values that are producedhave an associated time interval for which they are valid. A useful computation over suchstreaming data is to produce a continuous and valid skyline summary. Previous work onskyline algorithms have only focused on evaluating skylines over static data sets; and thereare no known algorithms for skyline computation in the continuous setting. In this paper; weintroduce the continuous time-interval skyline operator; which continuously computes thecurrent skyline over a data stream. We present a new algorithm called LookOut forevaluating such queries efficiently; and empirically demonstrate the scalability of thisalgorithm. In addition; we also examine the effect of the underlying spatial index structurewhen evaluating skylines. Whereas previous work on skyline computations have only …,Information Sciences,2007,135
-OASIS: An Online and Accurate Technique for Local-alignment Searches on Biological Sequences,Colin Meek; Jignesh M Patel; Shruti Kasetty,This chapter introduces a new algorithm called online and accurate search technique forInferring local-alignments on sequences (OASIS); which improves upon the performance ofthe existing state-of-the-art for accurate local sequence alignment. The existing accuratelocal-alignment algorithm; the Smith-Waterman (SW) algorithm; is rarely used since it is verycomputationally expensive. The chapter shows that the OASIS algorithm is often an order-of-magnitude or faster than the SW algorithm when the query is a short sequence. Such shortsequences are often used in querying biological sequence data sets; and OASIS is veryeffective in these cases. OASIS; also has the property of returning result tuples in decreasingorder of the matching scores. Consequently; OASIS can also be used in an online mode;where the scientist may want to abort the query after seeing the top few results. The …,*,2003,127
Discovery-driven graph summarization,Ning Zhang; Yuanyuan Tian; Jignesh M Patel,Large graph datasets are ubiquitous in many domains; including social networking andbiology. Graph summarization techniques are crucial in such domains as they can assist inuncovering useful insights about the patterns hidden in the underlying data. One importanttype of graph summarization is to produce small and informative summaries based on user-selected node attributes and relationships; and allowing users to interactively drill-down orroll-up to navigate through summaries with different resolutions. However; two keycomponents are missing from the previous work in this area that limit the use of this methodin practice. First; the previous work only deals with categorical node attributes.Consequently; users have to manually bucketize numerical attributes based on domainknowledge; which is not always possible. Moreover; users often have to manually iterate …,Data Engineering (ICDE); 2010 IEEE 26th International Conference on,2010,119
-Data Morphing: An Adaptive; Cache-Conscious Storage Technique,Richard A Hankins; Jignesh M Patel,This chapter proposes a flexible data storage technique called Data Morphing. Using DataMorphing; a cache-efficient attribute layout; called a partition; is first determined through ananalysis of the query workload. This partition is then used as a template for storing data in acache efficient way. This chapter presents two algorithms for computing partitions; andpresents a versatile storage model that accommodates the dynamic reorganization of theattributes in a file. It experimentally demonstrates that the Data Morphing technique providesa significant performance improvement over both the traditional N-ary storage model and thePAX model. The number of processor cache misses has a critical impact on the performanceof database management systems (DBMSs) running on servers with large main-memoryconfigurations. In turn; the cache utilization of database systems is highly dependent on …,*,2003,111
Practical suffix tree construction,Sandeep Tata; Richard A Hankins; Jignesh M Patel,Abstract Large string datasets are common in a number of emerging text and biologicaldatabase applications. Common queries over such datasets include both exact andapproximate string matches. These queries can be evaluated very efficiently by using asuffix tree index on the string dataset. Although suffix trees can be constructed quickly inmemory for small input datasets; constructing persistent trees for large datasets has beenchallenging. In this paper; we explore suffix tree construction algorithms over a widespectrum of data sources and sizes. First; we show that on modern processors; a cache-efficient algorithm with O (n 2) complexity outperforms the popular O (n) Ukkonen algorithm;even for in-memory construction. For larger datasets; the disk I/O requirement quicklybecomes the bottleneck in each algorithm's performance. To address this problem; we …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,110
Estimating the selectivity of tf-idf based cosine similarity predicates,Sandeep Tata; Jignesh M Patel,Abstract An increasing number of database applications today require sophisticatedapproximate string matching capabilities. Examples of such application areas include dataintegration and data cleaning. Cosine similarity has proven to be a robust metric for scoringthe similarity between two strings; and it is increasingly being used in complex queries. Animmediate challenge faced by current database optimizers is to find accurate and efficientmethods for estimating the selectivity of cosine similarity predicates. To the best of ourknowledge; there are no known methods for this problem. In this paper; we present the firstapproach for estimating the selectivity of tf. idf based cosine similarity predicates. Weevaluate our approach on three different real datasets and show that our method oftenproduces estimates that are within 40% of the actual selectivity.,ACM Sigmod Record,2007,109
Challenges and Opportunities with big data 2011-1,Divyakant Agrawal; Philip Bernstein; Elisa Bertino; Susan Davidson; Umeshwas Dayal; Michael Franklin; Johannes Gehrke; Laura Haas; Alon Halevy; Jiawei Han; HV Jagadish; Alexandros Labrinidis; Sam Madden; Yannis Papakonstantinou; Jignesh Patel; Raghu Ramakrishnan; Kenneth Ross; Cyrus Shahabi; Dan Suciu; Shiv Vaithyanathan; Jennifer Widom,Abstract The promise of data-driven decision-making is now being recognized broadly; andthere is growing enthusiasm for the notion of``Big Data.''While the promise of Big Data is real--for example; it is estimated that Google alone contributed 54 billion dollars to the USeconomy in 2009--there is currently a wide gap between its potential and its realization.,*,2011,107
Practical methods for constructing suffix trees,Yuanyuan Tian; Sandeep Tata; Richard A Hankins; Jignesh M Patel,Abstract Sequence datasets are ubiquitous in modern life-science applications; andquerying sequences is a common and critical operation in many of these applications. Thesuffix tree is a versatile data structure that can be used to evaluate a wide variety of querieson sequence datasets; including evaluating exact and approximate string matches; andfinding repeat patterns. However; methods for constructing suffix trees are often very time-consuming; especially for suffix trees that are large and do not fit in the available mainmemory. Even when the suffix tree fits in memory; it turns out that the processor cachebehavior of theoretically optimal suffix tree construction methods is poor; resulting in poorperformance. Currently; there are a large number of algorithms for constructing suffix trees;but the practical tradeoffs in using these algorithms for different scenarios are not well …,The VLDB Journal,2005,105
Can the elephants handle the nosql onslaught?,Avrilia Floratou; Nikhil Teletia; David J DeWitt; Jignesh M Patel; Donghui Zhang,Abstract In this new era of" big data"; traditional DBMSs are under attack from two sides. Atone end of the spectrum; the use of document store NoSQL systems (eg MongoDB)threatens to move modern Web 2.0 applications away from traditional RDBMSs. At the otherend of the spectrum; big data DSS analytics that used to be the domain of parallel RDBMSsis now under attack by another class of NoSQL data analytics systems; such as Hive onHadoop. So; are the traditional RDBMSs; aka" big elephants"; doomed as they arechallenged from both ends of this" big data" spectrum? In this paper; we compare onerepresentative NoSQL system from each end of this spectrum with SQL Server; and analyzethe performance and scalability aspects of each of these approaches (NoSQL vs. SQL) ontwo workloads (decision support analysis and interactive data-serving) that represent the …,Proceedings of the VLDB Endowment,2012,99
Michigan molecular interactions r2: from interacting proteins to pathways,V Glenn Tarcea; Terry Weymouth; Alex Ade; Aaron Bookvich; Jing Gao; Vasudeva Mahavisno; Zach Wright; Adriane Chapman; Magesh Jayapandian; Arzucan Özgür; Yuanyuan Tian; Jim Cavalcoli; Barbara Mirel; Jignesh Patel; Dragomir Radev; Brian Athey; David States; HV Jagadish,Abstract Molecular interaction data exists in a number of repositories; each with its own dataformat; molecule identifier and information coverage. Michigan molecular interactions (MiMI)assists scientists searching through this profusion of molecular interaction data. The originalrelease of MiMI gathered data from well-known protein interaction databases; and deepmerged this information while keeping track of provenance. Based on the feedback receivedfrom users; MiMI has been completely redesigned. This article describes the resulting MiMIRelease 2 (MiMIr2). New functionality includes extension from proteins to genes and topathways; identification of highlighted sentences in source publications; seamless two-waylinkage with Cytoscape; query facilities based on MeSH/GO terms and other concepts;approximate graph matching to find relevant pathways; support for querying in bulk; and a …,Nucleic acids research,2008,99
Sedna: A BPEL-based environment for visual scientific workflow modeling,Bruno Wassermann; Wolfgang Emmerich; Ben Butchart; Nick Cameron; Liang Chen; Jignesh Patel,Abstract Scientific Grid computing environments are increasingly adopting the Open GridServices Architecture (OGSA); which is a service-oriented architecture for Grids. With theproliferation of OGSA; Grids effectively consist of a collection of Grid services; Web serviceswith certain extensions providing additional support for state and life cycle management.Hence; the need arises for some means of composing these basic services into largerworkflows in order to; for example; express a scientific experiment.,*,2007,99
The Michigan benchmark: towards XML query performance diagnostics,Kanda Runapongsa; Jignesh M Patel; HV Jagadish; Yun Chen; Shurug Al-Khalifa,Abstract We propose a micro-benchmark for XML data management to aid engineers indesigning improved XML processing engines. This benchmark is inherently different fromapplication-level benchmarks; which are designed to help users choose between alternativeproducts. We primarily attempt to capture the rich variety of data structures and distributionspossible in XML; and to isolate their effects; without imitating any particular application. Thebenchmark specifies a single data set against which carefully specified queries can be usedto evaluate system performance for XML data with various characteristics. We have used thebenchmark to analyze the performance of three database systems: two native XML DBMSs;and a commercial ORDBMS. The benchmark reveals key strengths and weaknesses ofthese systems. We find that commercial relational techniques are effective for XML query …,Information Systems,2006,98
Towards eco-friendly database management systems,Willis Lang; Jignesh Patel,Abstract: Database management systems (DBMSs) have largely ignored the task ofmanaging the energy consumed during query processing. Both economical andenvironmental factors now require that DBMSs pay close attention to energy consumption. Inthis paper we approach this issue by considering energy consumption as a first-classperformance goal for query processing in a DBMS. We present two concrete techniques thatcan be used by a DBMS to directly manage the energy consumption. Both techniques tradeenergy consumption for performance. The first technique; called PVC; leverages the abilityof modern processors to execute at lower processor voltage and frequency. The secondtechnique; called QED; uses query aggregation to leverage common components of queriesin a workload. Using experiments run on a commercial DBMS and MySQL; we show that …,arXiv preprint arXiv:0909.1767,2009,92
