Chord: a scalable peer-to-peer lookup protocol for internet applications,Ion Stoica; Robert Morris; David Liben-Nowell; David R Karger; M Frans Kaashoek; Frank Dabek; Hari Balakrishnan,Abstract A fundamental problem that confronts peer-to-peer applications is the efficientlocation of the node that stores a desired data item. This paper presents Chord; a distributedlookup protocol that addresses this problem. Chord provides support for just one operation:given a key; it maps the key onto a node. Data location can be easily implemented on top ofChord by associating a key with each data item; and storing the key/data pair at the node towhich the key maps. Chord adapts efficiently as nodes join and leave the system; and cananswer queries even if the system is continuously changing. Results from theoreticalanalysis and simulations show that Chord is scalable: Communication cost and the statemaintained by each node scale logarithmically with the number of Chord nodes.,IEEE/ACM Transactions on Networking (TON),2003,16851
Mesos: A Platform for Fine-Grained Resource Sharing in the Data Center.,Benjamin Hindman; Andy Konwinski; Matei Zaharia; Ali Ghodsi; Anthony D Joseph; Randy H Katz; Scott Shenker; Ion Stoica,Abstract We present Mesos; a platform for sharing commodity clusters between multiplediverse cluster computing frameworks; such as Hadoop and MPI. Sharing improves clusterutilization and avoids per-framework data replication. Mesos shares resources in a fine-grained manner; allowing frameworks to achieve data locality by taking turns reading datastored on each machine. To support the sophisticated schedulers of today's frameworks;Mesos introduces a distributed two-level scheduling mechanism called resource offers.Mesos decides how many resources to offer each framework; while frameworks decidewhich resources to accept and which computations to run on them. Our results show thatMesos can achieve near-optimal data locality when sharing the cluster among diverseframeworks; can scale to 50;000 (emulated) nodes; and is resilient to failures.,NSDI,2011,1072
Geographic routing without location information,Ananth Rao; Sylvia Ratnasamy; Christos Papadimitriou; Scott Shenker; Ion Stoica,Abstract For many years; scalable routing for wireless communication systems was acompelling but elusive goal. Recently; several routing algorithms that exploit geographicinformation (eg GPSR) have been proposed to achieve this goal. These algorithms refer tonodes by their location; not address; and use those coordinates to route greedily; whenpossible; towards the destination. However; there are many situations where locationinformation is not available at the nodes; and so geographic methods cannot be used. In thispaper we define a scalable coordinate-based routing algorithm that does not rely on locationinformation; and thus can be used in a wide variety of ad hoc and sensornet environments.,Proceedings of the 9th annual international conference on Mobile computing and networking,2003,992
Looking up data in P2P systems,Hari Balakrishnan; M Frans Kaashoek; David Karger; Robert Morris; Ion Stoica,Abstract The main challenge in P2P computing is to design and implement a robust andscalable distributed system composed of inexpensive; individually unreliable computers inunrelated administrative domains. The participants in a typical P2P system might includecomputers at homes; schools; and businesses; and can grow to several million concurrentparticipants.,Communications of the ACM,2003,975
The impact of DHT routing geometry on resilience and proximity,Krishna Gummadi; Ramakrishna Gummadi; Steven Gribble; Sylvia Ratnasamy; Scott Shenker; Ion Stoica,Abstract The various proposed DHT routing algorithms embody several different underlyingrouting geometries. These geometries include hypercubes; rings; tree-like structures; andbutterfly networks. In this paper we focus on how these basic geometric approaches affectthe resilience and proximity properties of DHTs. One factor that distinguishes thesegeometries is the degree of flexibility they provide in the selection of neighbors and routes.Flexibility is an important factor in achieving good static resilience and effective proximityneighbor and route selection. Our basic finding is that; despite our initial preference for morecomplex geometries; the ring geometry allows the greatest flexibility; and hence achievesthe best resilience and proximity performance.,Proceedings of the 2003 conference on Applications; technologies; architectures; and protocols for computer communications,2003,761
Towards a common API for structured peer-to-peer overlays,Frank Dabek; Ben Zhao; Peter Druschel; John Kubiatowicz; Ion Stoica,Abstract In this paper; we describe an ongoing effort to define common APIs for structuredpeer-to-peer overlays and the key abstractions that can be built on them. In doing so; wehope to facilitate independent innovation in overlay protocols; services; and applications; toallow direct experimental comparisons; and to encourage application development by thirdparties. We provide a snapshot of our efforts and discuss open problems in an effort to solicitfeedback from the research community.,International Workshop on Peer-To-Peer Systems,2003,758
Robust incentive techniques for peer-to-peer networks,Michal Feldman; Kevin Lai; Ion Stoica; John Chuang,Abstract Lack of cooperation (free riding) is one of the key problems that confronts today'sP2P systems. What makes this problem particularly difficult is the unique set of challengesthat P2P systems pose: large populations; high turnover; a symmetry of interest; collusion;zero-cost identities; and traitors. To tackle these challenges we model the P2P system usingthe Generalized Prisoner's Dilemma (GPD); and propose the Reciprocative decisionfunction as the basis of a family of incentives techniques. These techniques arefullydistributed and include: discriminating server selection; maxflow-based subjectivereputation; and adaptive stranger policies. Through simulation; we show that thesetechniques can drive a system of strategic users to nearly optimal levels of cooperation.,Proceedings of the 5th ACM conference on Electronic commerce,2004,742
Providing guaranteed services without per flow management,Ion Stoica; Hui Zhang,Abstract Existing approaches for providing guaranteed services require routers to manageper flow states and perform per flow operations [9; 21]. Such a stateful network architectureis less scalable and robust than stateless network architectures like the original IP and therecently proposed Diffserv [3]. However; services provided with current stateless solutions;Diffserv included; have lower flexibility; utilization; and/or assurance level as compared tothe services that can be provided with per flow mechanisms. In this paper; we proposetechniques that do not require per flow management (either control or data planes) at corerouters; but can implement guaranteed services with levels of flexibility; utilization; andassurance similar to those that can be provided with per flow mechanisms. In this way wecan simultaneously achieve high quality of service; high scalability and robustness. The …,ACM SIGCOMM Computer Communication Review,1999,705
-Querying the Internet with PIER,Ryan Huebsch; Joseph M Hellerstein; Nick Lanham; Boon Thau Loo; Scott Shenker; Ion Stoica,This chapter presents the initial design of peer-to-peer information exchange and retrieval(PIER); a massively distributed query engine based on overlay networks; which is intendedto bring database query processing facilities to new; widely distributed environments. Thechapter highlights the need for massively distributed queries; and argues for a relaxation ofcertain traditional database research goals in the pursuit of scalability and widespreadadoption. It presents simulation results showing PIER running relational queries acrossthousands of machines; and shows results from the same software base in actualdeployment on a large experimental cluster. The scalability of PIER derives from a small setof relaxed design principles; which led to some of the key decisions; including the adoptionof soft state and dilated-reachable snapshot semantics; the use of DHTs as a core …,*,2003,693
Dominant Resource Fairness: Fair Allocation of Multiple Resource Types.,Ali Ghodsi; Matei Zaharia; Benjamin Hindman; Andy Konwinski; Scott Shenker; Ion Stoica,Abstract We consider the problem of fair resource allocation in a system containing differentresource types; where each user may have different demands for each resource. To addressthis problem; we propose Dominant Resource Fairness (DRF); a generalization of max-minfairness to multiple resource types. We show that DRF; unlike other possible policies;satisfies several highly desirable properties. First; DRF incentivizes users to shareresources; by ensuring that no user is better off if resources are equally partitioned amongthem. Second; DRF is strategy-proof; as a user cannot increase her allocation by lying abouther requirements. Third; DRF is envyfree; as no user would want to trade her allocation withthat of another user. Finally; DRF allocations are Pareto efficient; as it is not possible toimprove the allocation of a user without decreasing the allocation of another user. We …,Nsdi,2011,681
OpenDHT: a public DHT service and its uses,Sean Rhea; Brighten Godfrey; Brad Karp; John Kubiatowicz; Sylvia Ratnasamy; Scott Shenker; Ion Stoica; Harlan Yu,Abstract Large-scale distributed systems are hard to deploy; and distributed hash tables(DHTs) are no exception. To lower the barriers facing DHT-based applications; we havecreated a public DHT service called OpenDHT. Designing a DHT that can be widely shared;both among mutually untrusting clients and among a variety of applications; poses twodistinct challenges. First; there must be adequate control over storage allocation so thatgreedy or malicious clients do not use more than their fair share. Second; the interface to theDHT should make it easy to write simple clients; yet be sufficiently general to meet a broadspectrum of application requirements. In this paper we describe our solutions to thesedesign challenges. We also report our early deployment experience with OpenDHT anddescribe the variety of applications already using the system.,ACM SIGCOMM Computer Communication Review,2005,646
Free-riding and whitewashing in peer-to-peer systems,Michal Feldman; Christos Papadimitriou; John Chuang; Ion Stoica,We devise a model to study the phenomenon of free-riding and free-identities in peer-to-peer systems. At the heart of our model is a user of a certain type; an intrinsic and privateparameter that reflects the user's willingness to contribute resources to the system. A userdecides whether to contribute or free-ride based on how the current contribution cost in thesystem compares to her type. We study the impact of mechanisms that exclude low typeusers or; more realistically; penalize free-riders with degraded service. We also considerdynamic scenarios with arrivals and departures of users; and with whitewashers-users wholeave the system and rejoin with new identities to avoid reputational penalties. We find thatimposing penalty on all users that join the system is effective under many scenarios. Inparticular; system performance degrades significantly only when the turnover rate among …,IEEE Journal on Selected Areas in Communications,2006,620
Packet fair queueing algorithms for wireless networks with location-dependent errors,TS Eugene Ng; Ion Stoica; Hui Zhang,While packet fair queueing (PFQ) algorithms provide both bounded delay and fairness inwired networks; they cannot be applied directly to wireless networks. The key difficulty is thatin wireless networks sessions can experience location-dependent channel errors. This maylead to situations in which a session receives significantly less service than it is supposed to;while another receives more. This results in large discrepancies between the sessions'virtual times; making it difficult to provide both delay-guarantees and fairnesssimultaneously. Our contribution is twofold. First; we identify a set of properties; calledchannel-condition independent fair (CIF); that a packet fair queueing algorithm should havein a wireless environment:(1) delay and throughput guarantees for error-free sessions;(2)long term fairness for error sessions;(3) short term fairness for error-free sessions; and (4) …,INFOCOM'98. Seventeenth Annual Joint Conference of the IEEE Computer and Communications Societies. Proceedings. IEEE,1998,614
Reining in the Outliers in Map-Reduce Clusters using Mantri.,Ganesh Ananthanarayanan; Srikanth Kandula; Albert G Greenberg; Ion Stoica; Yi Lu; Bikas Saha; Edward Harris,Abstract–Experience from an operational Map-Reduce cluster reveals that outlierssignificantly prolong job completion. e causes for outliers include run-time contention forprocessor; memory and other resources; disk failures; varying bandwidth and congestionalong network paths and; imbalance in task workload. We present Mantri; a system thatmonitors tasks and culls outliers using cause-and resource-aware techniques. Mantri'sstrategies include restarting outliers; network-aware placement of tasks and protectingoutputs of valuable tasks. Using real-time progress reports; Mantri detects and acts onoutliers early in their lifetime. Early action frees up resources that can be used bysubsequent tasks and expedites the job overall. Acting based on the causes and theresource and opportunity cost of actions lets Mantri improve over prior work that only …,OSDI,2010,582
Load balancing in structured P2P systems,Ananth Rao; Karthik Lakshminarayanan; Sonesh Surana; Richard Karp; Ion Stoica,Abstract Most P2P systems that provide a DHT abstraction distribute objects among “peernodes” by choosing random identifiers for the objects. This could result in an O (log N)imbalance. Besides; P2P systems can be highly heterogeneous; ie they may consist ofpeers that range from old desktops behind modem lines to powerful servers connected tothe Internet through high-bandwidth lines. In this paper; we address the problem of loadbalancing in such P2P systems. We explore the space of designing load-balancingalgorithms that uses the notion of “virtual servers”. We present three schemes that differprimarily in the amount of information used to decide how to re-arrange load. Our simulationresults show that even the simplest scheme is able to balance the load within 80% of theoptimal value; while the most complex scheme is able to balance the load within 95% of …,International Workshop on Peer-to-Peer Systems,2003,582
Discretized streams: Fault-tolerant streaming computation at scale,Matei Zaharia; Tathagata Das; Haoyuan Li; Timothy Hunter; Scott Shenker; Ion Stoica,Abstract Many" big data" applications must act on data in real time. Running theseapplications at ever-larger scales requires parallel platforms that automatically handle faultsand stragglers. Unfortunately; current distributed stream processing models provide faultrecovery in an expensive manner; requiring hot replication or long recovery times; and donot handle stragglers. We propose a new processing model; discretized streams (D-Streams); that overcomes these challenges. D-Streams enable a parallel recoverymechanism that improves efficiency over traditional replication and backup schemes; andtolerates stragglers. We show that they support a rich set of operators while attaining highper-node throughput similar to single-node systems; linear scaling to 100 nodes; sub-second latency; and sub-second fault recovery. Finally; D-Streams can easily be …,Proceedings of the Twenty-Fourth ACM Symposium on Operating Systems Principles,2013,550
Routing algorithms for DHTs: Some open questions,Sylvia Ratnasamy; Ion Stoica; Scott Shenker,Abstract Even though they were introduced only a few years ago; peer-to-peer (P2P)filesharing systems are now one of the most popular Internet applications and have becomea major source of Internet traffic. Thus; it is extremely important that these systems bescalable. Unfortunately; the initial designs for P2P systems have significant scalingproblems; for example; Napster has a centralized directory service; and Gnutella employs aflooding based search mechanism that is not suitable for large systems.,International Workshop on Peer-to-Peer Systems,2002,495
Understanding the impact of video quality on user engagement,Florin Dobrian; Vyas Sekar; Asad Awan; Ion Stoica; Dilip Joseph; Aditya Ganjam; Jibin Zhan; Hui Zhang,Abstract As the distribution of the video over the Internet becomes main-stream and itsconsumption moves from the computer to the TV screen; user expectation for high quality isconstantly increasing. In this context; it is crucial for content providers to understand if andhow video quality affects user engagement and how to best invest their resources tooptimize video quality. This paper is a first step towards addressing these questions. We usea unique dataset that spans different content types; including short video on demand (VoD);long VoD; and live content from popular video con-tent providers. Using client-sideinstrumentation; we measure quality metrics such as the join time; buffering ratio; averagebitrate; rendering quality; and rate of buffering events. We quantify user engagement both ata per-video (or view) level and a per-user (or viewer) level. In particular; we find that the …,ACM SIGCOMM Computer Communication Review,2011,489
Complex queries in DHT-based peer-to-peer networks,Matthew Harren; Joseph M Hellerstein; Ryan Huebsch; Boon Thau Loo; Scott Shenker; Ion Stoica,Abstract Recently a new generation of P2P systems; offering distributed hash table (DHT)functionality; have been proposed. These systems greatly improve the scalability and exact-match accuracy of P2P systems; but offer only the exact-match query facility. This paperoutlines a research agenda for building complex query facilities on top of these DHT-basedP2P systems. We describe the issues involved and outline our research plan and currentstatus.,International Workshop on Peer-to-Peer Systems,2002,483
GraphX: Graph Processing in a Distributed Dataflow Framework.,Joseph E Gonzalez; Reynold S Xin; Ankur Dave; Daniel Crankshaw; Michael J Franklin; Ion Stoica,Abstract In pursuit of graph processing performance; the systems community has largelyabandoned general-purpose distributed dataflow frameworks in favor of specialized graphprocessing systems that provide tailored programming abstractions and accelerate theexecution of iterative graph algorithms. In this paper we argue that many of the advantagesof specialized graph processing systems can be recovered in a modern general-purposedistributed dataflow system. We introduce GraphX; an embedded graph processingframework built on top of Apache Spark; a widely used distributed dataflow system. GraphXpresents a familiar composable graph abstraction that is sufficient to express existing graphAPIs; yet can be implemented using only a few basic dataflow operators (eg; join; map;group-by). To achieve performance parity with specialized graph systems; GraphX …,OSDI,2014,471
Endpoint admission control: Architectural issues and performance,Lee Breslau; Edward W Knightly; Scott Shenker; Ion Stoica; Hui Zhang,Abstract The traditional approach to implementing admission control; as exemplified by theIntegrated Services proposal in the IETF; uses a signalling protocol to establish reservationsat all routers along the path. While providing excellent quality-of-service; this approach haslimited scalability because it requires routers to keep per-flow state and to process per-flowreservation messages. In an attempt to implement admission control without these scalabilityproblems; several recent papers have proposed various forms of endpoint admissioncontrol. In these designs; the hosts (the endpoints) probe the network to detect the level ofcongestion; the host admits the flow only if the detected level of congestion is sufficiently low.This paper is devoted to the study of endpoint admission control. We first consider severalarchitectural issues that guide (and constrain) the design of such systems. We then use …,ACM SIGCOMM Computer Communication Review,2000,470
A proportional share resource allocation algorithm for real-time; time-shared systems,Ion Stoica; Hussein Abdel-Wahab; Kevin Jeffay; Sanjoy K Baruah; Johannes E Gehrke; C Greg Plaxton,We propose and analyze a proportional share resource allocation algorithm for realizingreal-time performance in time-shared operating systems. Processes are assigned a weightwhich determines a share (percentage) of the resource they are to receive. The resource isthen allocated in discrete-sized time quanta in such a manner that each process makesprogress at a precise; uniform rate. Proportional share allocation algorithms are of interestbecause: they provide a natural means of seamlessly integrating real and non-real-timeprocessing; they are easy to implement; they provide a simple and effective means ofprecisely controlling the real-time performance of a process; and they provide a naturalmeans of policing so that processes that use more of a resource than they request have noill-effect on well-behaved processes. We analyze our algorithm in the context of an …,Real-Time Systems Symposium; 1996.; 17th IEEE,1996,468
Above the clouds: A Berkeley view of cloud computing,Armando Fox; Rean Griffith; Anthony Joseph; Randy Katz; Andrew Konwinski; Gunho Lee; David Patterson; Ariel Rabkin; Ion Stoica,Page 1. UC Berkeley 1 Above the Clouds: A Berkeley View of Cloud Computing Armando Fox;UC Berkeley Reliable Adaptive Distributed Systems Lab © 2009 Image: John Curleyhttp://www.flickr.com/photos/jay_que/1834540/ Page 2. • What is distributed computing? • Whatis warehouse-scale computing? • What is cloud computing? • Why should you care? 2 Page 3.UC Berkeley What is distributed computing? 3 Page 4. • The first demonstration of how to buildreally large Internet sites out of clusters of computers was done by: (a) Stanford (b) Berkeley(c) Yahoo! (d) Google (e) IBM 4 Page 5. Big Computers c. 1996 Sun E-10000 “supermini” • Upto 64 processors @250MHz • Up to 64 GB RAM • Up to 20 TB Disk • Used by eBay; among othersPC • 200 MHz CPU; 32MB RAM; 4 GB disk 5 Page 6. UC Berkeley Networks Of Workstations(1994-1999) 6 Page 7. NOW-0 (4 HP-735ʼs) NOW-0 1994 Four HP-735ʼs 7 Page …,Dept. Electrical Eng. and Comput. Sciences; University of California; Berkeley; Rep. UCB/EECS,2009,455
Beacon vector routing: Scalable point-to-point routing in wireless sensornets,Rodrigo Fonseca; Sylvia Ratnasamy; Jerry Zhao; Cheng Tien Ee; David Culler; Scott Shenker; Ion Stoica,Abstract We propose a practical and scalable technique for point-to-point routing in wirelesssensornets. This method; called Beacon Vector Routing (BVR); assigns coordinates tonodes based on the vector of hop count distances to a small set of beacons; and thendefines a distance metric on these coordinates. BVR routes packets greedily; forwarding tothe next hop that is the closest (according to this beacon vector distance metric) to thedestination. We evaluate this approach through a combination of high-level simulation toinvestigate scaling and design tradeoffs; and a prototype implementation over real testbedsas a necessary reality check.,Proceedings of the 2nd Conference on Symposium on Networked Systems Design & Implementation-Volume 2,2005,443
Job scheduling for multi-user mapreduce clusters,Matei Zaharia; Dhruba Borthakur; J Sen Sarma; Khaled Elmeleegy; Scott Shenker; Ion Stoica,Abstract Sharing a MapReduce cluster between users is attractive because it enablesstatistical multiplexing (lowering costs) and allows users to share a common large data set.However; we find that traditional scheduling algorithms can perform very poorly inMapReduce due to two aspects of the MapReduce setting: the need for data locality(running computation where the data is) and the dependence between map and reducetasks. We illustrate these problems through our experience designing a fair scheduler forMapReduce at Facebook; which runs a 600-node multiuser data warehouse on Hadoop. Wedeveloped two simple techniques; delay scheduling and copy-compute splitting; whichimprove throughput and response times by factors of 2 to 10. Although we focus on multi-user workloads; our techniques can also raise throughput in a single-user; FIFO workload …,*,2009,430
Implementing declarative overlays,Boon Thau Loo; Tyson Condie; Joseph M Hellerstein; Petros Maniatis; Timothy Roscoe; Ion Stoica,Abstract Overlay networks are used today in a variety of distributed systems ranging from file-sharing and storage systems to communication infrastructures. However; designing; buildingand adapting these overlays to the intended application and the target environment is adifficult and time consuming process. To ease the development and the deployment of suchoverlay networks we have implemented P2; a system that uses a declarative logic languageto express overlay networks in a highly compact and reusable form. P2 can express aNarada-style mesh network in 16 rules; and the Chord structured overlay in only 47 rules. P2directly parses and executes such specifications using a dataflow architecture to constructand maintain overlay networks. We describe the P2 approach; how our implementationworks; and show by experiment its promising trade-off point between specification …,ACM SIGOPS Operating Systems Review,2005,422
Load balancing in dynamic structured P2P systems,Brighten Godfrey; Karthik Lakshminarayanan; Sonesh Surana; Richard Karp; Ion Stoica,Most P2P systems that provide a DHT abstraction distribute objects randomly among" peernodes" in a way that results in some nodes having/spl theta/(log N) times as many objects asthe average node. Further imbalance may result due to non-uniform distribution of objects inthe identifier space and a high degree of heterogeneity in object loads and node capacities.Additionally; a node's load may vary greatly over time since the system can be expected toexperience continuous insertions and deletions of objects; skewed object arrival patterns;and continuous arrival and departure of nodes. We propose an algorithm for load balancingin such heterogeneous; dynamic P2P systems. Our simulation results show that in the faceof rapid arrivals and departures of objects of widely varying load; our algorithm achievesload balancing for system utilizations as high as 90% while moving only about 8% of the …,INFOCOM 2004. Twenty-third AnnualJoint Conference of the IEEE Computer and Communications Societies,2004,421
Graphx: A resilient distributed graph system on spark,Reynold S Xin; Joseph E Gonzalez; Michael J Franklin; Ion Stoica,Abstract From social networks to targeted advertising; big graphs capture the structure indata and are central to recent advances in machine learning and data mining. Unfortunately;directly applying existing data-parallel tools to graph computation tasks can be cumbersomeand inefficient. The need for intuitive; scalable tools for graph computation has lead to thedevelopment of new graph-parallel systems (eg.; Pregel; PowerGraph) which are designedto efficiently execute graph algorithms. Unfortunately; these new graph-parallel systems donot address the challenges of graph construction and transformation which are often just asproblematic as the subsequent computation. Furthermore; existing graph-parallel systemsprovide limited fault-tolerance and support for interactive data mining. We introduce GraphX;which combines the advantages of both data-parallel and graph-parallel systems by …,First International Workshop on Graph Data Management Experiences and Systems,2013,415
