Privacy-Preserving Data Publishing: A Survey of Recent Developments,P. Yu. B. Fung; K. Wang; R. Chen,*,ACM Computing Surveys,2010,1335
Privacy-enhancing personalized web search,Yabo Xu; Ke Wang; Benyu Zhang; Zheng Chen,Abstract Personalized web search is a promising way to improve search quality bycustomizing search results for people with individual information goals. However; users areuncomfortable with exposing private preference information to search engines. On the otherhand; privacy is not absolute; and often can be compromised if there is a gain in service orprofitability to the user. Thus; a balance must be struck between search quality and privacyprotection. This paper presents a scalable way for users to automatically build rich userprofiles. These profiles summarize a user. s interests into a hierarchical organizationaccording to specific interests. Two parameters for specifying privacy requirements areproposed to help the user to choose the content and degree of detail of the profileinformation that is exposed to the search engine. Experiments showed that the user …,Proceedings of the 16th international conference on World Wide Web,2007,259
Clustering transactions using large items,Ke Wang; Chu Xu; Bing Liu,Abstract In traditional data clustering; similarity of a cluster of objects is measured bypairwise similarity of objects in that cluster. We argue that such measures are notappropriate for transactions that are sets of items. We propose the notion of large items; ie;items contained in some minimum fraction of transactions in a cluster; to measure thesimilarity of a cluster of transactions. The intuition of our clustering criterion is that thereshould be many large items within a cluster and little overlapping of such items acrossclusters. We discuss the rationale behind our approach and its implication on providing abetter solution to the clustering problem. We present a clustering algorithm based on thenew clustering criterion and evaluate its effectiveness.,Proceedings of the eighth international conference on Information and knowledge management,1999,247
Anonymizing sequential releases,Ke Wang; Benjamin Fung,Abstract An organization makes a new release as new information become available;releases a tailored view for each data request; releases sensitive information and identifyinginformation separately. The availability of related releases sharpens the identification ofindividuals by a global quasi-identifier consisting of attributes from related releases. Since itis not an option to anonymize previously released data; the current release must beanonymized to ensure that a global quasi-identifier is not effective for identification. In thispaper; we study the sequential anonymization problem under this assumption. A keyquestion is how to anonymize the current release so that it cannot be linked to previousreleases yet remains useful for its own release purpose. We introduce the lossy join; anegative property in relational database design; as a way to hide the join relationship …,Proceedings of the 12th ACM SIGKDD international conference on Knowledge discovery and data mining,2006,227
Discovering structural association of semistructured data,Ke Wang; Huiqing Liu,Many semistructured objects are similarly; though not identically structured. We study theproblem of discovering" typical" substructures of a collection of semistructured objects. Thediscovered structures can serve the following purposes: 1) the" table-of-contents" for gaininggeneral information of a source; 2) a road map for browsing and querying informationsources; 3) a basis for clustering documents; 4) partial schemas for providing standarddatabase access methods; and 5) user/customer interests and browsing patterns. Thediscovery task is affected by structural features of semistructured data in a nontrivial way andtraditional data mining frameworks are inapplicable. We define this discovery problem andpropose a solution.,IEEE Transactions on knowledge and data engineering,2000,202
Anonymizing transaction databases for publication,Yabo Xu; Ke Wang; Ada Wai-Chee Fu; Philip S Yu,Abstract This paper considers the problem of publishing" transaction data" for researchpurposes. Each transaction is an arbitrary set of items chosen from a large universe.Detailed transaction data provides an electronic image of one's life. This has twoimplications. One; transaction data are excellent candidates for data mining research. Two;use of transaction data would raise serious concerns over individual privacy. Therefore;before transaction data is released for data mining; it must be made anonymous so that datasubjects cannot be re-identified. The challenge is that transaction data has no structure andcan be extremely high dimensional. Traditional anonymization methods lose too muchinformation on such data. To date; there has been no satisfactory privacy notion and solutionproposed for anonymizing transaction data. This paper proposes one way to address this …,Proceedings of the 14th ACM SIGKDD international conference on Knowledge discovery and data mining,2008,189
Discovering typical structures of documents: a road map approach,Ke Wang; Huiqing Liu,Abstract The structure of a document refers to the role and hierarchy of subdocumentreferences. Many online documents are similarly structured; though not identicallystructured. We study the problem of discovering “typical” structures of a collection of suchdocuments; where the user specifies the minimum frequency of a typical structure. We willconsider structural features of subdocument references such as labeling; nesting; ordering;cyclicity; and wild-card references; like those found on the Web and digital libraries. Typicalstructures can be used to serve the following purposes.(a) The “table-ofcontent” for gainingthe general information of a source.(b) A road map for browsing and querying a source.(c) Abasis for clustering documents.(d) Partial schemas for building structured layers to providestandard database access methods.(e) User/customer's interests and browsing patterns …,Proceedings of the 21st annual international ACM SIGIR conference on Research and development in information retrieval,1998,189
Mining frequent itemsets using support constraints,Ke Wang; Yu He; Jiawei Han,Abstract Interesting patterns often occur at varied levels of support. The classic associationmining based on a uniform minimum support; such as Apriori; either misses interestingpatterns of low support or suffers from the bottleneck of itemset generation. A better solutionis to exploit support constraints; which specify what minimum support is required for whatitemsets; so that only necessary itemsets are generated. In this paper; we present aframework of frequent itemset mining in the presence of support constraints. Our approach isto" push" support constraints into the Apriori itemset generation so that the" best" minimumsupport is used for each itemset at run time to preserve the essence of Apriori.,VLDB,2000,183
Rectree: An efficient collaborative filtering method,Sonny Han Seng Chee; Jiawei Han; Ke Wang,Abstract Many people rely on the recommendations of trusted friends to find restaurants ormovies; which match their tastes. But; what if your friends have not sampled the item ofinterest? Collaborative filtering (CF) seeks to increase the effectiveness of this process byautomating the derivation of a recommendation; often from a clique of advisors that we haveno prior personal relationship with. CF is a promising tool for dealing with the informationoverload that we face in the networked world. Prior works in CF have dealt with improvingthe accuracy of the predictions. However; it is still challenging to scale these methods tolarge databases. In this study; we develop an efficient collaborative filtering method; calledRecTree (which stands for RECommendation Tree) that addresses the scalability problemwith a divide-and-conquer approach. The method first performs an efficient k-means-like …,International Conference on Data Warehousing and Knowledge Discovery,2001,179
Growing decision trees on support-less association rules,Ke Wang; Senqiang Zhou; Yu He,1. INTRODUCTION In association mining; first studied in database [1]; the task is to find allassociation rules that are individually predictive in terms of high confidence. Associationrules; first motivated by market-basket analysis; capture co-occurrence of events; such ascoffee and sugar are often sold together. In classification mining; mainly studied in machinelearning; statistic; pattern recognition; information retrieval (See [5; 14]; for example); the taskis to find a classifier; usually a set of rules; that are collectively qualified in terms ofassociating new cases with classes. The two problems have been largely investigatedindependently; despite their similarity ofdiscovering association of some kind. Interestingquestions arise: what issues must be addressed to turn association rules into a classifier?how does this approach compare to traditional classification methods? In this paper; we …,Proceedings of the sixth ACM SIGKDD international conference on Knowledge discovery and data mining,2000,179
Top down fp-growth for association rule mining,Ke Wang; Liu Tang; Jiawei Han; Junqiang Liu,Abstract In this paper; we propose an efficient algorithm; called TD-FP-Growth (theshorthand for Top-Down FP-Growth); to mine frequent patterns. TD-FP-Growth searches theFP-tree in the top-down order; as opposed to the bottom-up order of previously proposed FP-Growth. The advantage of the top-down search is not generating conditional pattern basesand sub-FP-trees; thus; saving substantial amount of time and space. We extend TD-FP-Growth to mine association rules by applying two new pruning strategies: one is to pushmultiple minimum supports and the other is to push the minimum confidence. Experimentsshow that these algorithms and strategies are highly effective in reducing the search space.,Pacific-Asia Conference on Knowledge Discovery and Data Mining,2002,171
Building hierarchical classifiers using class proximity,Ke Wang; Senqiang Zhou; Shiang Chen Liew,Abstract In this paper; we address the need to automatically classify text documents intotopic hierarchies like those in ACM Digital Library and Yahoo!. The existing local approachconstructs a classifier at each split of the topic hierarchy. However; the local approach doesnot address the closeness of classification in hierarchical classification where the concernoften is how close a classification is; rather than simply correct or wrong. Also; the localapproach puts its bet on classification at higher levels where the classification structure oftendiminishes. To address these issues; we propose the notion of class proximity and cast thehierarchical classification as a flat classification with the class proximity modeling thecloseness of classes. Our approach is global in that it constructs a single classifier based onthe global information about all classes and class proximity. We leverage generalized …,VLDB,1999,169
Handicapping attacker's confidence: an alternative to k-anonymization,Ke Wang; Benjamin CM Fung; S Yu Philip,Abstract We present an approach of limiting the confidence of inferring sensitive propertiesto protect against the threats caused by data mining abilities. The problem has dual goals:preserve the information for a wanted data analysis request and limit the usefulness ofunwanted sensitive inferences that may be derived from the release of data. Sensitiveinferences are specified by a set of “privacy templates". Each template specifies the sensitiveproperty to be protected; the attributes identifying a group of individuals; and a maximumthreshold for the confidence of inferring the sensitive property given the identifying attributes.We show that suppressing the domain values monotonically decreases the maximumconfidence of such sensitive inferences. Hence; we propose a data transformation thatminimally suppresses the domain values in the data to satisfy the set of privacy templates …,Knowledge and Information Systems,2007,138
Mining customer value: From association rules to direct marketing,Ke Wang; Senqiang Zhou; Qiang Yang; Jack Man Shun Yeung,Abstract Direct marketing is a modern business activity with an aim to maximize the profitgenerated from marketing to a selected group of customers. A key to direct marketing is toselect a subset of customers so as to maximize the profit return while minimizing the cost.Achieving this goal is difficult due to the extremely imbalanced data and the inversecorrelation between the probability that a customer responds and the dollar amountgenerated by a response. We present a solution to this problem based on a creative use ofassociation rules. Association rule mining searches for all rules above an interestingnessthreshold; as opposed to some rules in a heuristic-based search. Promising associationrules are then selected based on the observed value of the customers they summarize.Selected association rules are used to build a model for predicting the value of a future …,Data Mining and Knowledge Discovery,2005,133
Scalable sequential pattern mining for biological sequences,Ke Wang; Yabo Xu; Jeffrey Xu Yu,Abstract Biosequences typically have a small alphabet; a long length; and patternscontaining gaps (ie;" don't care") of arbitrary size. Mining frequent patterns in suchsequences faces a different type of explosion than in transaction sequences primarilymotivated in market-basket analysis. In this paper; we study how this explosion affects theclassic sequential pattern mining; and present a scalable two-phase algorithm to deal withthis new explosion. The< i> Segment Phase</i> first searches for short patterns containingno gaps; called< i> segments</i>. This phase is efficient. The< i> Pattern Phase</i>searches for long patterns containing multiple segments separated by variable length gaps.This phase is time consuming. The purpose of two phases is to exploit the informationobtained from the first phase to speed up the pattern growth and matching and to prune …,Proceedings of the thirteenth ACM international conference on Information and knowledge management,2004,127
Schema Discovery for Semistructured Data.,Ke Wang; Huiqing Liu,Abstract To formulate a meaningful query on semistructured data; such as on the Web; thatmatches some of the source's structure; we need first to discover something about how theinformation is represented in the source. This is referred to as schema discovery and wasconsidered for a single object recently. In the case of multiple objects; the task of schemadiscovery is to identify typical structurine: information of those objects as a whole. Wemitivate the schema discovery in this general setting and propose a framework andalgorithm for it. We apply the framework to a real Web database; the Internet MoviesDatabase; to discover typical schema of most voted movies.,KDD,1997,127
Anonymity for continuous data publishing,Benjamin Fung; Ke Wang; Ada Wai-Chee Fu; Jian Pei,Abstract k-anonymization is an important privacy protection mechanism in data publishing.While there has been a great deal of work in recent years; almost all considered a singlestatic release. Such mechanisms only protect the data up to the first release or first recipient.In practical applications; data is published continuously as new data arrive; the same datamay be anonymized differently for a different purpose or a different recipient. In suchscenarios; even when all releases are properly k-anonymized; the anonymity of anindividual may be unintentionally compromised if recipient cross-examines all the releasesreceived or colludes with other recipients. Preventing such attacks; called correspondenceattacks; faces major challenges. In this paper; we systematically characterize thecorrespondence attacks and propose an efficient anonymization algorithm to thwart the …,Proceedings of the 11th international conference on Extending database technology: Advances in database technology,2008,125
Interestingness-Based Interval Merger for Numeric Association Rules.,Ke Wang; Soon Hock William Tay; Bing Liu,Abstract We present aa algorithm for mining association rules from relational tablescontaining numeric and categorical attributes. The approach is to merge adjacent intervalsof numeric values; in a bottom-up manner; on the basis of maximizing the interestingness ofa set of association rules. A modification of the B-tree is adopted for performing this taskefficiently. The algorithm takes O (kN) I/O time; where k is the number of attributes and N isthe number of rows in the table. We evaluate the effectiveness of producing good intervals.,KDD,1998,125
Encyclopedia of data warehousing and mining,John Wang,Data Warehousing and Mining (DWM) is the science of managing and analyzing largedatasets and discovering novel patterns and in recent years has emerged as a particularlyexciting and industrially relevant area of research. Prodigious amounts of data are nowbeing generated in domains as diverse as market research; functional genomics andpharmaceuticals; intelligently analyzing these data; with the aim of answering crucialquestions and helping make informed decisions; is the challenge that lies ahead. TheEncyclopedia of Data Warehousing and Mining provides a comprehensive; critical anddescriptive examination of concepts; issues; trends; and challenges in this rapidlyexpanding field of data warehousing and mining (DWM). This encyclopedia consists of morethan 350 contributors from 32 countries; 1;800 terms and definitions; and more than 4;400 …,*,2005,121
Extracting interpretable features for early classification on time series,Zhengzheng Xing; Jian Pei; Philip S Yu; Ke Wang,Abstract Early classification on time series data has been found highly useful in a fewimportant applications; such as medical and health informatics; industry productionmanagement; safety and security management. While some classifiers have been proposedto achieve good earliness in classification; the interpretability of early classification remainslargely an open problem. Without interpretable features; application domain experts such asmedical doctors may be reluctant to adopt early classification. In this paper; we tackle theproblem of extracting interpretable features on time series for early classification.Specifically; we advocate local shapelets as features; which are segments of time seriesremaining in the same space of the input data and thus are highly interpretable. We extractlocal shapelets distinctly manifesting a target class locally and early so that they are …,*,2011,117
Template-based privacy preservation in classification problems,Ke Wang; Benjamin CM Fung; Philip S Yu,In this paper; we present a template-based privacy preservation to protect against the threatscaused by data mining abilities. The problem has dual goals: preserve the information for awanted classification analysis and limit the usefulness of unwanted sensitive inferences thatmay be derived from the data. Sensitive inferences are specified by a set of" privacytemplates". Each template specifies the sensitive information to be protected; a set ofidentifying attributes; and the maximum association between the two. We show thatsuppressing the domain values is an effective way to eliminate sensitive inferences. For alarge data set; finding an optimal suppression is hard; since it requires optimization over allsuppressions. We present an approximate but scalable solution. We demonstrate theeffectiveness of this approach on real life data sets.,Data Mining; Fifth IEEE International Conference on,2005,115
Privacy-preserving trajectory data publishing by local suppression,Rui Chen; Benjamin CM Fung; Noman Mohammed; Bipin C Desai; Ke Wang,Abstract The pervasiveness of location-aware devices has spawned extensive research intrajectory data mining; resulting in many important real-life applications. Yet; the privacyissue in sharing trajectory data among different parties often creates an obstacle for effectivedata mining. In this paper; we study the challenges of anonymizing trajectory data: highdimensionality; sparseness; and sequentiality. Employing traditional privacy models andanonymization methods often leads to low data utility in the resulting data and ineffectivedata mining. In addressing these challenges; this is the first paper to introduce localsuppression to achieve a tailored privacy model for trajectory data anonymization. Theframework allows the adoption of various data utility metrics for different data mining tasks.As an illustration; we aim at preserving both instances of location-time doublets and …,Information Sciences,2013,110
Profit mining: From patterns to actions,Ke Wang; Senqiang Zhou; Jiawei Han,Abstract A major obstacle in data mining applications is the gap between the statistic-basedpattern extraction and the value-based decision making. We present a profit miningapproach to reduce this gap. In profit mining; we are given a set of past transactions and pre-selected target items; and we like to build a model for recommending target items andpromotion strategies to new customers; with the goal of maximizing the net profit. We identifyseveral issues in profit mining and propose solutions. We evaluate the effectiveness of thisapproach using data sets of a wide range of characteristics.,International Conference on Extending Database Technology,2002,105
Maintaining k-anonymity against incremental updates,Jian Pei; Jian Xu; Zhibin Wang; Wei Wang; Ke Wang,K-anonymity is a simple yet practical mechanismto protect privacy against attacks of re-identifying individuals by joining multiple public data sources. All existing methods achievingk-anonymity assume implicitly that the data objects to be anonymized are given once andfixed. However; in many applications; the real world data sources are dynamic. In this paper;we investigate the problem of maintaining k-anonymity against incremental updates; andpropose a simple yet effective solution. We analyze how inferences from multiple releasesmay temper the k-anonymity of data; and propose the monotonic incremental anonymizationproperty. The general idea is to progressively and consistently reduce the generalizationgranularity as incremental updates arrive. Our new approach guarantees the k-anonymity oneach release; and also on the inferred table using multiple releases. At the same time; our …,Scientific and Statistical Database Management; 2007. SSBDM'07. 19th International Conference on,2007,103
Introduction to privacy,Benjamin CM Fung; Ke Wang; Ada Wai-Chee Fu; Philip S Yu,*,Preserving Data Publishing: Concepts and Techniques. Chapman & Hall/CRC; 1st edição. ISBN,2010,97
Discovering frequent closed partial orders from strings,Jian Pei; Haixun Wang; Jian Liu; Ke Wang; Jianyong Wang; Philip S Yu,Mining knowledge about ordering from sequence data is an important problem with manyapplications; such as bioinformatics; Web mining; network management; and intrusiondetection. For example; if many customers follow a partial order in their purchases of aseries of products; the partial order can be used to predict other related customers' futurepurchases and develop marketing campaigns. Moreover; some biological sequences (eg;microarray data) can be clustered based on the partial orders shared by the sequences.Given a set of items; a total order of a subset of items can be represented as a string. A stringdatabase is a multiset of strings. In this paper; we identify a novel problem of mining frequentclosed partial orders from strings. Frequent closed partial orders capture the nonredundantand interesting ordering information from string databases. Importantly; mining frequent …,IEEE Transactions on Knowledge and Data Engineering,2006,96
Building association-rule based sequential classifiers for web-document prediction,Qiang Yang; Tianyi Li; Ke Wang,Abstract Web servers keep track of web users' browsing behavior in web logs. From theselogs; one can build statistical models that predict the users' next requests based on theircurrent behavior. These data are complex due to their large size and sequential nature. Inthe past; researchers have proposed different methods for building association-rule basedprediction models using the web logs; but there has been no systematic study on the relativemerits of these methods. In this paper; we provide a comparative study on different kinds ofsequential association rules for web document prediction. We show that the existingapproaches can be cast under two important dimensions; namely the type of antecedents ofrules and the criterion for selecting prediction rules. From this comparison we propose a bestoverall method and empirically test the proposed model on real web logs.,Data mining and knowledge discovery,2004,94
Pushing support constraints into association rules mining,Ke Wang; Yu He; Jiawei Han,Interesting patterns often occur at varied levels of support. The classic association miningbased on a uniform minimum support; such as Apriori; either misses interesting patterns oflow support or suffers from the bottleneck of itemset generation caused by a low minimumsupport. A better solution lies in exploiting support constraints; which specify what minimumsupport is required for what itemsets; so that only the necessary itemsets are generated. Wepresent a framework of frequent itemset mining in the presence of support constraints. Ourapproach is to" push" support constraints into the Apriori itemset generation so that the" best"minimum support is determined for each itemset at runtime to preserve the essence ofApriori. This strategy is called Adaptive Apriori. Experiments show that Adapative Apriori ishighly effective in dealing with the bottleneck of itemset generation.,IEEE Transactions on Knowledge and Data Engineering,2003,92
Frequent-subsequence-based prediction of outer membrane proteins,Rong She; Fei Chen; Ke Wang; Martin Ester; Jennifer L Gardy; Fiona SL Brinkman,Abstract A number of medically important disease-causing bacteria (collectively called Gram-negative bacteria) are noted for the extra" outer" membrane that surrounds their cell.Proteins resident in this membrane (outer membrane proteins; or OMPs) are of primaryresearch interest for antibiotic and vaccine drug design as they are on the surface of thebacteria and so are the most accessible targets to develop new drugs against. With thedevelopment of genome sequencing technology and bioinformatics; biologists can nowdeduce all the proteins that are likely produced in a given bacteria and have attempted toclassify where proteins are located in a bacterial cell. However such protein localizationprograms are currently least accurate when predicting OMPs; and so there is a current needfor the development of a better OMP classifier. Data mining research suggests that the …,Proceedings of the ninth ACM SIGKDD international conference on Knowledge discovery and data mining,2003,88
Item selection by hub-authority profit ranking,Ke Wang; Ming-Yen Thomas Su,Abstract A fundamental problem in business and other applications is ranking items withrespect to some notion of profit based on historical transactions. The difficulty is that the profitof one item not only comes from its own sales; but also from its influence on the sales ofother items; ie; the" cross-selling effect". In this paper; we draw an analogy between thisinfluence and the mutual reinforcement of hub/authority web pages. Based on this analogy;we present a novel approach to the item ranking problem. We apply this ranking approach tosolve two selection problems. In size-constrained selection; the maximum number of itemsthat can be selected is fixed. In cost-constrained selection; there is no maximum number ofitems to be selected; but there is some cost associated with the selection of each item. Inboth cases; the question is what items should be selected to maximize the profit …,Proceedings of the eighth ACM SIGKDD international conference on Knowledge discovery and data mining,2002,83
Electrochemical reactions of lithium with CuP2 and Li1. 75Cu1. 25P2 synthesized by ballmilling,Ke Wang; Jun Yang; Jingying Xie; Baofeng Wang; Zhongsheng Wen,Abstract Copper phosphide (CuP 2) and lithium copper phosphide (Li 1.75-Cu 1.25 P 2)were synthesized by high-energy ballmilling at room temperature. The electrochemicalreactions between lithium and these samples have been studied. The first lithium insertioninto the CuP 2 phase till 0.0 V vs. Li leads to copper reduction and the formation of lithiumphosphide (Li 3 P); corresponding to a long voltage plateau. The subsequent lithiumextraction until 1.3 V vs. Li presents three voltage plateaus related to the formation of newphases such as Li 2 CuP; giving a reversible capacity about 810 mAh/g and faradic yieldabout 61%. It means that both copper and phosphorus face a change of the oxidation statefor the electrochemical insertion and extraction. Lithium copper phosphide exhibits a similarreaction process. However; it provides a reversible capacity of 750 mAh/g and faradic …,Electrochemistry communications,2003,82
Topicsketch: Real-time bursty topic detection from twitter,Wei Xie; Feida Zhu; Jing Jiang; Ee-Peng Lim; Ke Wang,Twitter has become one of the largest microblogging platforms for users around the world toshare anything happening around them with friends and beyond. A bursty topic in Twitter isone that triggers a surge of relevant tweets within a short period of time; which often reflectsimportant events of mass interest. How to leverage Twitter for early detection of bursty topicshas therefore become an important research problem with immense practical value. Despitethe wealth of research work on topic modelling and analysis in Twitter; it remains achallenge to detect bursty topics in real-time. As existing methods can hardly scale to handlethe task with the tweet stream in real-time; we propose in this paper $\sf {TopicSketch} $; asketch-based topic model together with a set of techniques to achieve real-time detection.We evaluate our solution on a tweet stream with over 30 million tweets. Our experiment …,IEEE Transactions on Knowledge and Data Engineering,2016,81
Automated load curve data cleansing in power systems,Jiyi Chen; Wenyuan Li; Adriel Lau; Jiguo Cao; Ke Wang,Load curve data refers to the electric energy consumption recorded by meters at certain timeintervals at delivery points or end user points; and contains vital information for day-to-dayoperations; system analysis; system visualization; system reliability performance; energysaving and adequacy in system planning. Unfortunately; it is unavoidable that load curvescontain corrupted data and missing data due to various random failure factors in meters andtransfer processes. This paper presents the B-Spline smoothing and Kernel smoothingbased techniques to automatically cleanse corrupted and missing data. In implementation; aman-machine dialogue procedure is proposed to enhance the performance. The experimentresults on the real British Columbia Transmission Corporation (BCTC) load curve datademonstrated the effectiveness of the presented solution.,IEEE Transactions on Smart Grid,2010,81
