Synthesis of N-doped graphene by chemical vapor deposition and its electrical properties,Dacheng Wei; Yunqi Liu; Yu Wang; Hongliang Zhang; Liping Huang; Gui Yu,To realize graphene-based electronics; various types of graphene are required; thus;modulation of its electrical properties is of great importance. Theoretic studies show thatintentional doping is a promising route for this goal; and the doped graphene might promisefascinating properties and widespread applications. However; there is no experimentalexample and electrical testing of the substitutionally doped graphene up to date. Here; wesynthesize the N-doped graphene by a chemical vapor deposition (CVD) method. We findthat most of them are few-layer graphene; although single-layer graphene can beoccasionally detected. As doping accompanies with the recombination of carbon atoms intographene in the CVD process; N atoms can be substitutionally doped into the graphenelattice; which is hard to realize by other synthetic methods. Electrical measurements show …,Nano letters,2009,1910
A new method to synthesize complicated multibranched carbon nanotubes with controlled architecture and composition,Dacheng Wei; Yunqi Liu; Lingchao Cao; Lei Fu; Xianglong Li; Yu Wang; Gui Yu; Daoben Zhu,Here we develop a simple method by using flow fluctuation to synthesize arrays ofmultibranched carbon nanotubes (CNTs) that are far more complex than those previouslyreported. The architectures and compositions can be well controlled; thus avoiding anytemplate or additive. A branching mechanism of fluctuation-promoted coalescence ofcatalyst particles is proposed. This finding will provide a hopeful approach to the goal ofCNT-based integrated circuits and be valuable for applying branched junctions innanoelectronics and producing branched junctions of other materials.,Nano letters,2006,92
Optimizing Single‐Walled Carbon Nanotube Films for Applications in Electroluminescent Devices,Yu Wang; Chong‐an Di; Yunqi Liu; Hisashi Kajiura; Shanghui Ye; Lingchao Cao; Dacheng Wei; Hongliang Zhang; Yongming Li; Kazuhiro Noda,As 1D nanomaterials; single-walled carbon nanotubes (SWNTs) have increasingly becomethe focus of intense multidisciplinary study; and present many new opportunities forfundamental science and new technologies [1] due to their unique physical and chemicalproperties and their prospective applications.[2] Flexible; transparent; conducting thin filmsmade from SWNTs have attracted much attention; and are the subject of current interestpartly because of their applications in electroluminescent photoconductor and photovoltaicdevices.[3] Although the optically transparent and highly conductive indium tin oxide (ITO)has enjoyed widespread use in optoelectronic applications; its inherent brittleness severelylimits film ffexibility. With high strength and ffexibility; SWNT thin films are excellentcandidates for ffexible electronic components; and will allow powerful experimental …,Advanced Materials,2008,90
Photocatalytic activities of M2Sb2O7 (M= Ca; Sr) for degrading methyl orange,Xinping Lin; Fuqiang Huang; Wendeng Wang; Yaoming Wang; Yujuan Xia; Jianlin Shi,Abstract M 2 Sb 2 O 7 (M= Ca; Sr) photocatalysts were synthesized by a solid state reactionmethod. The results concerning methyl orange (MO) photodecomposition generally showthat the catalytic efficiency of Sr 2 Sb 2 O 7 is much higher than that of Ca 2 Sb 2 O 7 underUV light irradiation. The more open structure in Sr 2 Sb 2 O 7 is suggested to be responsiblefor its higher photocatalytic activity. In the investigation on pH-dependent photocatalysis overSr 2 Sb 2 O 7 catalyst; the pseudo-first reaction rate k was found to be increased by about sixtimes as the pH value decreases from 6.88 to 3.91. We believe that the decolorization of MOin neutral or alkaline conditions is primarily through a photocatalytic process; while the MOphotosensitization and photolysis mechanisms play more important roles in acidicconditions.,Applied Catalysis A: General,2006,87
A general preparation strategy for hybrid TiO2 hierarchical spheres and their enhanced solar energy utilization efficiency,Xujie Lü; Fuqiang Huang; Xinliang Mou; Yaoming Wang; Fangfang Xu,Titanium (IV) dioxide (TiO 2) is one of the most attractive d-block transition metal functionaloxides due to its unique physical and chemical properties. Many applications of TiO 2; suchas photocatalyst and dye-sensitized solar cells (DSSCs); have been widely investigated.[1;2] To utilize solar energy efficiently; TiO 2 should be well-crystallized with a high surfacearea and promote charge separation as well as electron transport. To improve chargeseparation; TiO 2/semiconductor composites have proved successful;[3; 4] but efforts toenhance electron transport are less so due to the inefficient interface between TiO 2 and thesemiconductor. A new composite structure of TiO 2| semimetal| semiconductor isinvestigated here for solar energy applications. In general; such heterojunction structurerequires (i) an alignment of the conduction band of the semiconductor with that of TiO 2;(ii …,Advanced Materials,2010,83
MiR-96 downregulates REV1 and RAD51 to promote cellular sensitivity to cisplatin and PARP inhibition,Yemin Wang; Jen-Wei Huang; Philamer Calses; Christopher J Kemp; Toshiyasu Taniguchi,Cell survival after DNA damage relies on DNA repair; the abrogation of which causesgenomic instability. The DNA repair protein RAD51 and the trans-lesion synthesis DNApolymerase REV1 are required for resistance to DNA interstrand cross-linking agents suchas cisplatin. In this study; we show that overexpression of miR-96 in human cancer cellsreduces the levels of RAD51 and REV1 and impacts the cellular response to agents thatcause DNA damage. MiR-96 directly targeted the coding region of RAD51 and the 3′-untranslated region of REV1. Overexpression of miR-96 decreased the efficiency ofhomologous recombination and enhanced sensitivity to the PARP inhibitor AZD2281 in vitroand to cisplatin both in vitro and in vivo. Taken together; our findings indicate that miR-96regulates DNA repair and chemosensitivity by repressing RAD51 and REV1. As a …,Cancer research,2012,82
Facile fabrication of faceted copper nanocrystals with high catalytic activity for p-nitrophenol reduction,Pinhua Zhang; Yongming Sui; Guanjun Xiao; Yingnan Wang; Chunzhong Wang; Bingbing Liu; Guangtian Zou; Bo Zou,This article reports a reproducible and facile approach to synthesize faceted coppernanocrystals (Cu NCs) using an inexpensive copper oxide as a precursor. By simplyprolonging the reaction time; Cu cubes and polyhedrons were successfully produced; andthe mean size could be effectively controlled in the range of 9 to 21 nm. The catalyticactivities of the Cu cubes and polyhedrons were investigated by photometrically monitoringthe reduction of p-nitrophenol by an excess of NaBH4. The kinetics of the reduction reactionat different temperatures were investigated to determine the activation parameters. Ourinvestigations indicate that Cu nanocubes exhibit higher catalytic activity than Cupolyhedrons; which can be ascribed to three features: the higher surface-to-volume ratio; thehigher surface energy of the {100} facet; and the lower redox potential. In addition; these …,Journal of Materials Chemistry A,2013,80
Determining factor of MoSe2 formation in Cu (In; Ga) Se2 solar cells,Xiaolong Zhu; Zhen Zhou; Yaoming Wang; Lei Zhang; Aimin Li; Fuqiang Huang,Abstract The MoSe 2 layers; as a necessary interface layer in Cu (In; Ga) Se 2/Mo for high-efficiency Cu (In; Ga) Se 2 solar cells; were observed to form in the Mo and CIGS/Mo filmsduring the selenization process. In order to reveal the determining factor of MoSe 2; thecorrelation of MoSe 2 thickness with the Mo sputtering pressure was investigated. The MoSe2 thickness increased with decreasing the sputtering pressure. Furthermore; thedependence of MoSe 2 thickness on the deposition time of SiO 2 layer and thecharacterizations of X-ray photoelectron spectroscopy (XPS) and Raman spectroscopydemonstrate that the formation of Na 2 Se x compounds plays a determining role for theformation of MoSe 2 layer. The illuminated I–V characterization showed that the high seriesresistance of the CIGS solar cell was induced by too thick MoSe 2 layer. The significant …,Solar Energy Materials and Solar Cells,2012,79
Structure-dependent photocatalytic activities of MWO4 (M= Ca; Sr; Ba),Zhichao Shan; Yaoming Wang; Hanming Ding; Fuqiang Huang,Abstract The photocatalytic activities of the isostructural photocatalysts MWO 4 (M= Ca; Sr;Ba) for decomposing methyl orange; which were synthesized by a solid state reaction; wereinvestigated. In the experiments; the photocatalytic activity is in the increasing order ofCaWO 4< SrWO 4< BaWO 4 under both neutral and acidic conditions. The factors; whichinfluence the photocatalytic processes and the final activity; were analyzed the difference oftheir photocatalytic behaviors. The further investigation indicates that the higher structuralopenness degree; corresponding to a lower packing factor; leads to the better photocatalyticactivity.,Journal of Molecular Catalysis A: Chemical,2009,78
Punctuated copy number evolution and clonal stasis in triple-negative breast cancer,Ruli Gao; Alexander Davis; Thomas O McDonald; Emi Sei; Xiuqing Shi; Yong Wang; Pei-Ching Tsai; Anna Casasent; Jill Waters; Hong Zhang; Funda Meric-Bernstam; Franziska Michor; Nicholas E Navin,Abstract Aneuploidy is a hallmark of breast cancer; however; knowledge of how thesecomplex genomic rearrangements evolve during tumorigenesis is limited. In this study; wedeveloped a highly multiplexed single-nucleus sequencing method to investigate copynumber evolution in patients with triple-negative breast cancer. We sequenced 1;000 singlecells from tumors in 12 patients and identified 1–3 major clonal subpopulations in eachtumor that shared a common evolutionary lineage. For each tumor; we also identified aminor subpopulation of non-clonal cells that were classified as metastable; pseudodiploid orchromazemic. Phylogenetic analysis and mathematical modeling suggest that these dataare unlikely to be explained by the gradual accumulation of copy number events over time.In contrast; our data challenge the paradigm of gradual evolution; showing that the …,Nature genetics,2016,76
Hint1 inhibits growth and activator protein-1 activity in human colon cancer cells,Lin Wang; Yujing Zhang; Haiyang Li; Zhiheng Xu; Regina M Santella; I Bernard Weinstein,There is accumulating evidence that histidine triad (HIT) nucleotide-binding protein 1(HINT1); a member of the evolutionary highly conserved HIT protein super family; is a noveltumor suppressor. However; the mechanism of action of HINT1 with respect to tumorsuppression is not known. In the present study; we found that a series of human coloncancer cell lines displayed various levels of expression of HINT1; with a very low level inSW480 cells. This cell line also displayed partial methylation of the promoter region of theHint1 gene; and treatment of these cells with 5-azadeoxycitidine increased expression ofHint1 mRNA and protein. Therefore; the decreased expression of HINT1 in SW480 cellsseems to be due to epigenetic silencing. Increased expression of HINT1 in these cells; usinga retrovirus vector (pLNCX2) that encodes either wild-type (WT) Hint1 or a point mutant …,Cancer research,2007,74
Hepatic resection as a safe and effective treatment for hepatocellular carcinoma involving a single large tumor; multiple tumors; or macrovascular invasion,Jian-Hong Zhong; A Chapin Rodríguez; Yang Ke; Yan-Yan Wang; Lin Wang; Le-Qun Li,From the Department of Hepatobiliary Surgery (J-HZ; ACR; Y-YW; L-QL); Affiliated Tumor Hospitalof Guangxi Medical University; Nanning; Department of Research (ACR); Creaducate EnterprisesLtd; Kowloon; Hong Kong; and Department of Hepatobiliary Surgery (YK; LW); The Second AffiliatedHospital of Kunming Medical University; Kunming; PR China … Correspondence: Le-QunLi; Hepatobiliary Surgery Department; Affiliated Tumor Hospital of Guangxi MedicalUniversity; He Di Rd. #71; Nanning 530021; PR China (e-mail:moc.361@66gnohnaijgnohz) … Copyright © 2015 Wolters Kluwer Health; Inc. All rightsreserved … This article has been corrected. See Medicine (Baltimore). 2015 February;94(6): 1 … This article has been cited by other articles in PMC … This systematic review examinedwhether the available evidence justifies using hepatic resection (HR) during later stages …,Medicine,2015,73
Full-scale experiment research and theoretical study for fires in tunnels with roof openings,Yanfu Wang; Juncheng Jiang; Dezhi Zhu,Abstract In order to assess the possibility of exhausting smoke through passive roofopenings and the influence of smoke on personnel in the tunnels; full-scale fire experimentsin tunnels with roof openings are carried out; which were rarely reported in the previousreferences. The data of smoke propagation; smoke sedimentation; velocity field andtemperature field are measured. On the basis of the smoke longitudinal propagation laws;the prediction model of calculating backlayering distance is built. The Kurioka model and thebuilt mathematical models are validated by those experiments. All the experimental datapresented in this paper can be further applied for verification of numerical models; andbench-scale experimental results. Those full-scale experimental results and theoreticalanalysis can also be used for directing tunnel fire research; which afforded scientific gist …,Fire Safety Journal,2009,73
Comparison of hybrid excitation topologies for flux-switching machines,Yu Wang; Zhiquan Deng,The flux-switching permanent-magnet (FSPM) machine has robust rotor structure; highreliability; high efficiency; and high torque density. The hybrid excitation topology can realizeflux adjustment and good constant power operating capability of the FSPM machines.According to different combination modes of PMs; excitation winding; and iron flux bridge;this paper compares and analyzes the electromagnetic performance of different hybridexcitation flux-switching machines with particular emphasis on coupling of PM flux andelectrical excitation flux; utilization ratio of excitation current; flux adjustment capability; andtorque capability. The analysis conclusions are verified by finite element method andexperimental results based on an investigated parallel hybrid excitation flux-switchingmachine.,IEEE transactions on magnetics,2012,65
Effects of blueberry on hepatic fibrosis and transcription factor Nrf2 in rats,Yu-Ping Wang; Ming-Liang Cheng; Bao-Fang Zhang; Mao Mu; Jun Wu,AIM: To investigate the effects of blueberry on hepatic fibrosis and NF-E2-related factor 2(Nrf2) transcription factor in rats. METHODS: Forty-five male Sprague-Dawley rats wererandomly divided into control group (A); CCl 4-induced hepatic fibrosis group (B); blueberryprevention group (C); Dan-shao-hua-xian capsule (DSHX) prevention group (D); andblueberry+ DSHX prevention group (E). Liver fibrosis was induced in rats by subcutaneousinjection of CCl 4 and a high-lipid/low-protein diet for 8 wk (except the control group). Thelevel of hyaluronic acid (HA) and alanine aminotransferase (ALT) in serum was examined.The activity of superoxide dismutase (SOD); glutathione-S-transferase (GST) andmalondialdehyde (MDA) in liver homogenates was determined. The degree of hepaticfibrosis was evaluated by hematoxylin and eosin and Masson staining. Expression of Nrf2 …,World journal of gastroenterology: WJG,2010,62
Observation of an intermediate band in Sn-doped chalcopyrites with wide-spectrum solar response,Chongyin Yang; Mingsheng Qin; Yaoming Wang; Dongyun Wan; Fuqiang Huang; Jianhua Lin,Abstract Nanostrcutured particles and polycrystalline thin films of Sn-doped chalcopyrite aresynthesized by newly-developed methods. Surprisingly; Sn doping introduces a narrowpartially filled intermediate band (IB) located~ 1.7 eV (CuGaS 2) and~ 0.8 eV (CuInS 2)above the valance band maximum in the forbidden band gap. Diffuse reflection spectra andphotoluminescence spectra reveal extra absorption and emission spectra induced by theIBs; which are further supported by first-principle calculations. Wide spectrum solar responsegreatly enhances photocatalysis; photovoltaics; and photo-induced hydrogen productiondue to the intermediate band.,Scientific reports,2013,61
Cardiomyocyte‐restricted over‐expression of C‐type natriuretic peptide prevents cardiac hypertrophy induced by myocardial infarction in mice,Yong Wang; Monique C Waard; Anja Sterner‐Kock; Holger Stepan; Heinz‐Peter Schultheiss; Dirk J Duncker; Thomas Walther,Objective: Infused C-type natriuretic peptide (CNP) was recently found to play acardioprotective role in preventing myocardial ischaemia/reperfusion (I/R) injury andimproving cardiac remodelling after myocardial infarction (MI) in rats. Our study aimed toinvestigate the effect of cardiomyocyte-specific CNP over-expression on I/R injury and MI intransgenic mice. Methods and results: We generated transgenic (TG) mice over-expressingCNP in cardiomyocytes. Elevated CNP expression on RNA and protein levels wasdemonstrated by RNase-protection assay and radioimmunoassay. Male TG mice and age-matched wild-type (WT) littermates were subjected to 1-hour global myocardial ischaemiaand 23 h of reperfusion or permanent ligation of the coronary artery for 3 weeks.,European journal of heart failure,2007,60
Identification and characterization of C‐terminal fragments of the beta‐amyloid precursor produced in cell culture.,D Wolf; D Quon; Y Wang; B Cordell,Abstract The mechanism of amyloid formation in Alzheimer's disease is unknown butappears to involve proteolytic processing of the amyloidogenic peptide from a largerprecursor. When the C-terminus containing the amyloid-forming and cytoplasmic domains ofthe precursor was recombinantly expressed in cultured mammalian cells; a 16 kd proteinaccumulated which had a tendency to aggregate and form deposits. These deposits hadphysical characteristics resembling those of preamyloid. Recombinant expression of the full-length precursor was found to produce a similar; cell-associated 16 kd C-terminal fragmentas well as a 12 kd fragment; neither of which formed detectable aggregates suggestingefficient catabolism of these fragments. Identification of these two naturally occurringmetabolic products of the beta-amyloid precursor provides a system permitting the …,The EMBO journal,1990,60
Prevalence of hepatitis E virus in swine under different breeding environment and abattoir in Beijing; China,Wengui Li; Ruiping She; Haitao Wei; Jingyi Zhao; Yinghua Wang; Quan Sun; Yanmei Zhang; Decheng Wang; Ruiwen Li,Abstract This study was to investigate the prevalence of HEV in pig herds under differentbreeding environment and in abattoirs located in Beijing; China. In total 638 sera samplesand 114 liver samples were collected for a serological survey and a RT-PCR assay;respectively. The average prevalence rate of HEV in pig herds in Beijing suburb were 47.5–100%. Seropositive rate was 76.6% for pig herds of large-scale and 90% for family-scalefarms. For sera samples collected from abattoir; 127 samples (78.4%) were found to bepositive. Among four liver samples (3.5%) that positive for HEV RNA detection; two strains ofHEV has been identified. the two detected HEV sequences shared 99.1% nucleotidesequence identity with each other; and 76.4–81.0%; 76.5–76.8%; 75.7–79.0% and 85.2–96.4% with related strains representing genotype 1; 2; 3; and 4; respectively. Further …,Veterinary microbiology,2009,58
Inhibitory effect of cucurbitacin E on pancreatic cancer cells growth via STAT3 signaling,Chunyan Sun; Meixia Zhang; Xiaolei Shan; Xueying Zhou; Jiao Yang; Yanli Wang; Jesse Li-Ling; Yihui Deng,Abstract Purpose Pancreatic cancer has been a serious disease worldwide for its highmortality. Cucurbitacin E is a member of triterpenoid family isolated from plants showingantiproliferative activity on various cancer cells. In this study; we have explored whethercucurbitacin E also has an anti-tumor effect on pancreatic cancer cells. Methods Humanpancreatic cancer cells PANC-1 were used to explore the effect and possible mechanisms ofcucurbitacin E on cell cycle progression; apoptosis and proliferation. Results Cucurbitacin Ehas inhibited the growth of PANC-1 cells in a dose-and time-dependent manner; and hascaused accumulation of cells at the G 2/M phase as well as apoptosis. Western blotting alsoshowed that cucurbitacin E treatment can inhibit STAT3 phosphorylation while upregulatep53 expression. Conclusions Our results suggested that cucurbitacin E may be an …,Journal of cancer research and clinical oncology,2010,56
Microwave-assisted synthesis of nanosphere-like NiCo2O4 consisting of porous nanosheets and its application in electro-catalytic oxidation of methanol,Li Gu; Lei Qian; Ying Lei; Yanyan Wang; Jing Li; Hongyan Yuan; Dan Xiao,Abstract A fast microwave-assisted synthesis method followed by a post-calcining process isused to prepare three-dimensional (3D) nanosphere-like NiCo 2 O 4 nanostructure. The 3DNiCo 2 O 4 nanospheres are constructed by intertwined two-dimensional (2D) ultrathinmesoporous nanosheets. The nanosphere-like NiCo 2 O 4 has a large specific surface area(SSA; 146.5 m 2 g− 1) and is successfully applied to electro-catalytic oxidation of methanol.Electrochemical impedance spectroscopy (EIS); cyclic voltammetry (CV) andchronoamperometry (CA) measurements are used to investigate electro-catalyticperformance of the as-prepared NiCo 2 O 4. The current density of NiCo 2 O 4/Ni foam(NiCo 2 O 4/NF) electrode in 1 M KOH with 0.5 M methanol is up to 40.9 A g− 1. And thecurrent density can be returned to 97% of the original value by replacing new 1 M KOH …,Journal of Power Sources,2014,54
Real time and in situ control of the gap size of nanoelectrodes for molecular devices,Dacheng Wei; Yunqi Liu; Lingchao Cao; Yu Wang; Hongliang Zhang; Gui Yu,Molecular electronics is often limited by the lack of a simple method to fabricatenanoelectrodes with controlled gap size. This is partly attributed to the lack of a real timecharacterization in the fabrication. Here; we report a new method based on an electroninduced deposition process operated in scanning electron microscopy that realizes in situand real time characterization in the nanoelectrode fabrication; thus the gap size can becontrolled easily and precisely. It is a clean and nondestructive process for carbon nanotube(CNT) electrodes. The mechanism is detailed. The nanoelectrodes have a π-conjugatedsurface due to the deposition of sp2-rich amorphous carbon. As an application; DNAmolecules are assembled between the CNT electrodes by π-stacking interaction for current−voltage measurement. Our result provides a feasible route to prepare nanoelectrodes …,Nano letters,2008,54
Functional uncoupling of the Janus kinase 3-Stat5 pathway in malignant growth of human T cell leukemia virus type 1-transformed human T cells,Robert A Kirken; Rebecca A Erwin; Lihua Wang; Yuling Wang; Hallgeir Rui; William L Farrar,Human T cell leukemia virus type 1 (HTLV-1) transforms cytokine-dependent T lymphocytesand causes adult T cell leukemia. Janus tyrosine kinase (Jak) 3 and transcription factorsStat5a and Stat5b are essential for the proliferation of normal T cells and are constitutivelyhyperactivated in both HTLV-1-transformed human T cell lines and lymphocytes isolatedfrom HTLV-1-infected patients; therefore; a critical role for the Jak3-Stat5 pathway in theprogression of this disease has been postulated. We recently reported that tyrphostin AG-490 selectively blocked IL-2 activation of Jak3/Stat5 and growth of murine T cell lines. Herewe demonstrate that disruption of Jak3/Stat5a/b signaling with AG-490 (50 μM) blocked theproliferation of primary human T lymphocytes; but paradoxically failed to inhibit theproliferation of HTLV-1-transformed human T cell lines; HuT-102 and MT-2. Structural …,The Journal of Immunology,2000,54
