Accelerating XPath location steps,Torsten Grust,Abstract This work is a proposal for a database index structure that has been specificallydesigned to support the evaluation of XPath queries. As such; the index is capable tosupport all XPath axes (including ancestor; following; preceding-sibling; descendant-or-self;etc.). This feature lets the index stand out among related work on XML indexing structureswhich had a focus on regular path expressions (which correspond to the XPath axeschildren and descendant-or-self plus name tests). Its ability to start traversals from arbitrarycontext nodes in an XML document additionally enables the index to support the evaluationof path traversals embedded in XQuery expressions. Despite its flexibility; the new index canbe implemented and queried using purely relational techniques; but it performs especiallywell if the underlying database host provides support for R-trees. A performance …,Proceedings of the 2002 ACM SIGMOD international conference on Management of data,2002,638
Avalanche-safe LINQ compilation,Torsten Grust; Jan Rittinger; Tom Schreiber,Abstract We report on a query compilation technique that enables the construction ofalternative efficient query providers for Microsoft's Language Integrated Query (LINQ)framework. LINQ programs are mapped into an intermediate algebraic form; suitable forexecution on any SQL: 1999-capable relational database system. This compilationtechnique leads to query providers that (1) faithfully preserve list order and nesting; bothbeing core features of the LINQ data model;(2) support the complete family of LINQ'sStandard Query Operators;(3) bring database support to LINQ to XML where the originalprovider performs in-memory query evaluation; and; most importantly;(4) emit SQL statementsequences whose size is only determined by the input query's result type (and thusindependent of the database size).,Proceedings of the VLDB Endowment,2010,45
Tree awareness for relational DBMS kernels: Staircase join,Torsten Grust; Maurice Van Keulen,Abstract Relational database management systems (RDBMSs) derive much of theirefficiency from the versatility of their core data structure: tables of tuples. Such tables aresimple enough to allow for an efficient representation on all levels of the memory hierarchy;yet sufficiently generic to host a wide range of data types. If one can devise mappings from adata type τ to tables and from operations on τ to relational queries; an RDBMS may be apremier implementation alternative. Temporal intervals; complex nested objects; and spatialdata are sample instances for such types τ.,*,2003,44
Query evaluation in CROQUE,Torsten Grust; Joachim Kröger; Dieter Gluche; Andreas Heuer; Marc H Scholl,Abstract With the substantial change of declarative query languages from plain SQL to theso-called “object SQLs”; in particular OQL; there has surprisingly been not much change inthe way problems of query representation and optimization for such languages are tackled.We identify some of the difficulties pure algebraic approaches experience when facingobject models and the operations defined for them. Calculus-style formalisms suite thischallenge better; but are said not to be efficiently implementable in the database context.This paper proposes a hybrid query representation and optimization approach; combiningthe strengths of a many-sorted query algebra and the monoid comprehension calculus. Weshow that efficient execution plans beyond nested-loop processing can be derived—not onlyfor σ-π-⋈ queries—in such a framework. The translation process accounts for queries …,British National Conference on Databases,1997,41
Purely Relational FLWORs.,Torsten Grust,ABSTRACT We report on a compilation procedure that derives relational algebra plans fromarbitrarily nested XQuery FLWOR blocks. While recent research was able to developrelational encodings of trees which may turn RDBMSs into highly efficient XPath and XMLSchema processors; here we describe relational encodings of nested iteration; variables;and the item sequences to which variables are bound. The developed techniques are purelyrelational in more than one sense:(a) we rely on a standard (or rather: classical) algebra thatis readily supported by relational engines; and (b) we use relational concepts like functionaland multivalued dependencies to significantly simplify the emitted plans. This work blendswell with the mentioned tree encodings and thus contributes a further important buildingblock to investigations into XQuery processors based on relational database technology.,XIME-P,2005,38
A SQL: 1999 code generator for the pathfinder XQuery compiler,Torsten Grust; Manuel Mayr; Jan Rittinger; Sherif Sakr; Jens Teubner,Abstract The Pathfinder XQuery compiler has been enhanced by a new code generator thatcan target any SQL: 1999-compliant relational database system (RDBMS). This codegenerator marks an important next step towards truly relational XQuery processing; a branchof database technology that aims to turn RDBMSs into highly efficient XML and XQueryprocessors without the need to invade the relational database kernel. Pathfinder; aretargetable front-end compiler; translates input XQuery expressions into DAG-shapedrelational algebra plans. The code generator then turns these plans into sequences of eitherSQL: 1999 statements or view definitions which jointly implement the (sometimes intricate)XQuery semantics. In a sense; this demonstration thus lets relational algebra and SQL swaptheir traditional roles in database query processing. The result is a code generator that (1) …,Proceedings of the 2007 ACM SIGMOD international conference on Management of data,2007,37
Haskell boards the Ferry,George Giorgidze; Torsten Grust; Tom Schreiber; Jeroen Weijers,Abstract Relational database management systems can be used as a coprocessor forgeneral-purpose programming languages; especially for those program fragments that carryout data-intensive and data-parallel computations. In this paper we present a Haskell libraryfor database-supported program execution. Data-intensive and data-parallel computationsare expressed using familiar combinators from the standard list prelude and are entirelyexecuted on the database coprocessor. Programming with the expressive listcomprehension notation is also supported. The library; in addition to queries of basic types;supports computations over arbitrarily nested tuples and lists. The implementation avoidsunnecessary data transfer and context switching between the database coprocessor and theprogramming language runtime by ensuring that the number of generated relational …,Symposium on Implementation and Application of Functional Languages,2010,35
Dependable cardinality forecasts for XQuery,Jens Teubner; Torsten Grust; Sebastian Maneth; Sherif Sakr,Abstract Though inevitable for effective cost-based query rewriting; the derivation ofmeaningful cardinality estimates has remained a notoriously hard problem in the context ofXQuery. By basing the estimation on a relational representation of the XQuery syntax; weshow how existing cardinality estimation techniques for XPath and proven relationalestimation machinery can play together to yield dependable forecasts for arbitrary XQuery(sub) expressions. Our approach benefits from a light-weight form of data flow analysis.Abstract domain identifiers guide our query analyzer through the estimation process andallow for informed decisions even in case of deeply nested XQuery expressions. A variant ofprojection paths [15] provides a versatile interface into which existing techniques for XPathcardinality estimation can be plugged in seamlessly. We demonstrate an implementation …,Proceedings of the VLDB Endowment,2008,34
Translating OQL into Monoid Comprehensions: Stuck with Nested Loops?,Torsten Grust; Marc H Scholl,This work tries to employ the monoid comprehension calculus-which has proven to be anadequate framework to capture the semantics of modern object query languages featuring afamily of collection types like sets; bags; and lists-in a twofold manner: First; serving as atarget language for the translation of ODMG OQL queries. We review work done in this fieldand also give comprehension calculus equivalents for the recently introduced OQL 1.2concepts. Second; we use monoid comprehensions as the formalism in which we try to findefficient execution methods working on a rich set of physical structures (including indices;vertical and horizontal decomposition; etc.). The main problem coming up here is the"nested-loop nature" of the calculus expressions. While these loop-based semantics forevaluating comprehensions at least provide a way for executing OQL queries; their …,*,1996,34
Small-footprint applicative query interpreter method; system and program product,*,A method system; and program product for managing a relational database in a pervasivecomputing environment. The system receives queries in a query language; and representsthe queries in accordance with a declarative language paradigm; this may be explicit orimplicit. The queries represented in a declarative language paradigm are converted (eg;represented; translated; or cross-compiled) to an imperative language (including a datastructure that is interpreted by an imperative language); and the imperative languagequeries are executed on the database. The queries may be explicitly converted to anintermediate declarative representative; and thereafter converted to an imperative languagerepresentation of the original queries for execution. Alternatively; the queries may be directlyconverted to an imperative language representation of the declarative language and the …,*,2010,33
A synthesis of complex objects and object-orientation,Marc Scholl; Hans-Jörg Schek,Complex Object models; semantic or knowledge representation models on the one side;and object-oriented models on the other side are currently considered candidates for futuredatabases. Either of them have their particular strongpoints and weaknesses; such that up tonow no single model could be identified to suit all needs. Database models provide limitedstructuring capabilities and too poor semantics and object-oriented approaches suffer fromtheir navigational one-object-at-a-time style of operation; that is; they need set oriented"object algebra" operations. In this paper we show how the approaches can be mixed into asingle coherent approach; in an evolutionary way preserving their respective advantages:flexibility through powerful structuring primitives; rich semantics; encapsulation; andefficiency through optimizable descriptive; set-oriented query and update languages.,IFIP TC2/WG 2.6,1991,32
eXrQuy: Order indifference in XQuery,Torsten Grust; Jan Rittinger; Jens Teubner,There are more spots than immediately obvious in XQuery expressions where order isimmaterial for evaluation-this affects most notably; but not exclusively; expressions in thescope of unordered {} and the argument of fn: unordered (). Clearly; performance gains arelurking behind such expression contexts but the prevalent impact of order on the XQuerysemantics reaches deep into any compliant XQuery processor; making it non-trivial to setthis potential free. Here; we describe how the relational XQuery compiler Pathfinderuniformly exploits such order indifference in a purely algebraic fashion: Pathfinder-emittedplans faithfully implement the required XQuery order semantics but (locally) ignore orderwherever this is admitted.,Data Engineering; 2007. ICDE 2007. IEEE 23rd International Conference on,2007,28
Monad comprehensions: a versatile representation for queries,Torsten Grust,Summary This chapter is an exploration of the possibilities that open up if we consistentlyadopt a style of database query and collection processing which allows us to look insidecollections and thus enables us to play with atomic constructors instead of the monolithiccollection values they build. This comprehension of values goes well together with acompletely functional style of query formulation: queries map between the constructors ofdifferent collection types. It turns out that a single uniform type of mapping; thecatamorphism; is sufficient to embrace the functionality of today's database querylanguages; like SQL; OQL; but also XPath. Monad comprehensions provide just the rightamount of syntactic sugar to express these mappings in a style that is similar to relationalcalculus (but goes beyond its expressiveness). The major portion of this chapter; however …,*,2004,28
Pathfinder: Relational xquery over multi-gigabyte XML inputs in interactive time,Peter Alexander Boncz; Torsten Grust; Stefan Manegold; Jan Rittinger; Jens Teubner,textabstractUsing a relational DBMS as back-end engine for an XQuery processing systemleverages relational query optimization and scalable query processing strategies providedby mature DBMS engines in the XML domain. Though a lot of theoretical work has beendone in this area and various solutions have been proposed; no complete systems havebeen made available so far to give the practical evidence that this is a viable approach. Inthis paper; we describe the ourely relational XQuery processor Pathfinder that has been builton top of the extensible RDBMS MonetDB. Performance results indicate that the system iscapable of evaluating XQuery queries efficiently; even if the input XML documents becomehuge. We additionally present further contributions such as loop-lifted staircase join;techniques to derive order properties and to reduce sorting effort in the generated …,Information Systems [INS],2005,25
How to comprehend queries functionally,Torsten Grust; Marc H Scholl,Abstract Compilers and optimizers for declarative query languages use some form ofintermediate language to represent user-level queries. The advent of compositional querylanguages for orthogonal type systems (eg; OQL) calls for internal query representationsbeyond extensions of relational algebra. This work adopts a view of query processing whichis greatly influenced by ideas from the functional programming domain. A uniform formalframework is presented which covers all query translation phases; including user-levelquery language compilation; query optimization; and execution plan generation. We pursuethe type-based design—based on initial algebras—of a core functional language which isthen developed into an intermediate representation that fits the needs of advanced queryprocessing. Based on the principle of structural recursion we extend the language by …,Journal of Intelligent Information Systems,1999,23
Bringing back monad comprehensions,George Giorgidze; Torsten Grust; Nils Schweinsberg; Jeroen Weijers,Abstract This paper is about a Glasgow Haskell Compiler (GHC) extension that generalisesHaskell's list comprehension notation to monads. The monad comprehension notationimplemented by the extension supports generator and filter clauses; as was the case in theHaskell 1.4 standard. In addition; the extension generalises the recently proposed paralleland SQL-like list comprehension notations to monads. The aforementioned generalisationsare formally defined in this paper. The extension will be available in GHC 7.2. This papergives several instructive examples that we hope will facilitate wide adoption of the extensionby the Haskell community. We also argue why the do notation is not always a good fit formonadic libraries and embedded domain-specific languages; especially for those that arebased on collection monads. Should the question of how to integrate the extension into …,ACM SIGPLAN Notices,2011,22
Let SQL drive the XQuery workhorse (XQuery join graph isolation),Torsten Grust; Manuel Mayr; Jan Rittinger,Abstract A purely relational account of the true XQuery semantics can turn any relationaldatabase system into an XQuery processor. Compiling nested expressions of the fullycompositional XQuery language; however; yields odd algebraic plan shapes featuringscattered distributions of join operators that currently overwhelm commercial SQL queryoptimizers. This work rewrites such plans before submission to the relational database back-end. Once cast into the shape of join graphs; we have found off-the-shelf relational queryoptimizers---the B-tree indexing subsystem and join tree planner; in particular---to cope andeven be autonomously capable of" reinventing" advanced processing strategies that haveoriginally been devised specifically for the XQuery domain; eg; XPath step reordering; axisreversal; and path stitching. Performance assessments provide evidence that relational …,Proceedings of the 13th International Conference on Extending Database Technology,2010,20
Comprehending queries,Torsten Grust,Abstract There are no compelling reasons why database-internal query representationshave to be designated by operators. This thesis describes a world in which datatypesdetermine the comprehension of queries. In this world; a datatype is characterized by itsalgebra of value constructors. These algebras are principal. Query operators are secondaryin the sense that they simply box (recursive) programs that describe how to form a queryresult by application of datatype constructors. Often; operators will be unboxed to inspectand possibly rewrite these programs. Query optimization then means to deal with thetransformation of programs.,*,2000,19
An injection with tree awareness: adding staircase join to postgreSQL,Sabine Mayer; Torsten Grust; Maurice Van Keulen; Jens Teubner,The syntactic wellformedness constraints of XML (opening and closing tags nest properly)imply that XML processors face the challenge to efficiently handle data that takes the shapeof ordered; unranked trees. Although RDBMSs have originally been designed to managetable-shaped data; we propose their use as XML and XPath processors. In our setup; thedatabase system employs a relational XML document encoding; the XPath accelerator [1];which maps information about the XML node hierarchy to a table; thus making it possible toevaluate XPath expressions on SQL hosts. Conventional RDBMSs; nevertheless; remainignorant of many interesting properties of the encoded tree data; and were thus found tomake no or poor use of these properties. This is why we devised a new join algorithm;staircase join [2]; which incorporates the tree-specific knowledge required for an efficient …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,18
Pathfinder: XQuery off the relational shelf.,Torsten Grust; Jan Rittinger; Jens Teubner,Abstract The Pathfinder project makes inventive use of relational database technology—originally developed to process data of strictly tabular shape—to construct efficient database-supported XML and XQuery processors. Pathfinder targets database engines that implementa set-oriented mode of query execution: many off-the-shelf traditional database systemsmake for suitable XQuery runtime environments; but a number of off-beat storage back-endsfit that bill as well. While Pathfinder has been developed with a close eye on the XQuerysemantics; some of the techniques that we will review here will be generally useful toevaluate XQuery-style iterative languages on database back-ends.,IEEE Data Eng. Bull.,2008,17
Visualizing vowel harmony,Thomas Mayer; Christian Rohrdantz; Miriam Butt; Frans Plank; Daniel Keim,Abstract This paper deals with vowel harmony from a cross-linguistic perspective; with theaim of visualizing the distribution of vowels in corpora so that languages with vowel harmonycan be distinguished from those lacking it. For this purpose vowel successions within wordsare statistically analyzed and visualized in a quadratic matrix whose rows and columns areordered according to their distribution in the text; with more similar vowels occurring closertogether. The method has been tested on the basis of Bible corpora in a variety of languagesincluding well-known harmonic languages such as Turkish; Hungarian and Finnish as wellas non-harmonic languages.,Linguistic issues in language technology,2010,13
XQuery join graph isolation: celebrating 30+ years of XQuery processing technology,Torsten Grust; Manuel Mayr; Jan Rittinger,A purely relational account of the true XQuery semantics can turn any relational databasesystem into an XQuery processor. Compiling nested expressions of the fully compositionalXQuery language; however; yields odd algebraic plan shapes featuring scattereddistributions of join operators that currently overwhelm commercial SQL query optimizers.This work rewrites such plans before submission to the relational database back-end. Oncecast into the shape of join graphs; we have found off-the-shelf relational query optimizers—the B-tree indexing subsystem and join tree planner; in particular—to cope and even beautonomously capable of" reinventing" advanced processing strategies that have originallybeen devised specifically for the XQuery domain; eg; XPath step reordering; axis reversal;and path stitching. Performance assessments provide evidence that relational query …,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,13
An inflationary fixed point operator in XQuery,Loredana Afanasiev; Torsten Grust; Maarten Marx; Jan Rittinger; Jens Teubner,We introduce a controlled form of recursion in XQuery; an inflationary fixed point operator;familiar from the context of relational databases. This operator imposes restrictions on theexpressible types of recursion; but we show that it is sufficiently versatile to capture a widerange of interesting use cases; including Regular XPath and its core transitive closureoperator. While the optimization of general user-defined recursive functions in XQueryappears elusive; we describe how inflationary fixed points can be efficiently evaluated;provided that the recursive XQuery expressions are distributive. We test distributivitysyntactically and algebraically; and provide experimental evidence that XQuery processorscan benefit substantially from this mode of evaluation.,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,13
Observing SQL queries in their natural habitat,Torsten Grust; Jan Rittinger,Abstract We describe H abitat; a declarative observational debugger for SQL. H abitatfacilitates true language-level (not: plan-level) debugging of; probably flawed; SQL queriesthat yield unexpected results. Users mark SQL subexpressions of arbitrary size and thenobserve whether these evaluate as expected. H abitat understands query nesting and freerow variables in correlated subqueries; and generally aims to not constrain users whilesuspect subexpressions are marked for observation. From the marked SQL text; H abitat'salgebraic compiler derives a new query whose result represents the values of the desiredobservations. These observations are generated by the target SQL database host itself andare derived from the original data: H abitat does not require prior data extraction or extradebugging middleware. Experiments with TPC-H database instances indicate that …,ACM Transactions on Database Systems (TODS),2013,11
Recursion in XQuery: put your distributivity safety belt on,Loredana Afanasiev; Torsten Grust; Maarten Marx; Jan Rittinger; Jens Teubner,Abstract We introduce a controlled form of recursion in XQuery; an inflationary fixed pointoperator; familiar from the context of relational databases. This operator imposes restrictionson the expressible types of recursion; but it is sufficiently versatile to capture a wide range ofinteresting use cases; including Regular XPath and its core transitive closure operator.While the optimization of general user-defined recursive functions in XQuery appearselusive; we describe how inflationary fixed points can be efficiently evaluated; provided thatthe recursive XQuery expressions are distributive. We test distributivity syntactically andalgebraically; and provide experimental evidence that XQuery processors can benefitsubstantially from this mode of evaluation.,Proceedings of the 12th International Conference on Extending Database Technology: Advances in Database Technology,2009,11
MonetDB/XQuery—consistent and efficient updates on the pre/Post plane,Peter Boncz; Jan Flokstra; Torsten Grust; Maurice van Keulen; Stefan Manegold; Sjoerd Mullender; Jan Rittinger; Jens Teubner,Abstract Relational XQuery processors aim at leveraging mature relational DBMS queryprocessing technology to provide scalability and efficiency. To achieve this goal; variousstorage schemes have been proposed to encode the tree structure of XML documents in flatrelational tables. Basically; two classes can be identified:(1) encodings using fixed-lengthsurrogates; like the preorder ranks in the pre/post encoding [5] or the equivalentpre/size/level encoding [8]; and (2) encodings using variable-length surrogates; like; eg;ORDPATH [9] or P-PBiTree [12]. Recent research [1] showed a clear advantage of theformer for efficient evaluation of XPath location steps; exploiting techniques like cheap nodeorder tests; positional lookup; and node skipping in staircase join [7]. However; onceupdates are involved; variable-length surrogates are often considered the better choice …,International Conference on Extending Database Technology,2006,10
A deep embedding of queries into Ruby,Torsten Grust; Manuel Mayr,We demonstrate SWITCH; a deep embedding of relational queries into Ruby and Ruby onRails. With SWITCH; there is no syntactic or stylistic difference between Ruby programs thatoperate over in-memory array objects or database-resident tables; even if these programsrely on array order or nesting. SWITCH's built-in compiler and SQL code generatorguarantee to emit few queries; addressing long-standing performance problems that traceback to Rails' Active Record database binding." Looks likes Ruby; but performs likehandcrafted SQL;" is the ideal that drives the research and development effort behindSWITCH.,Data Engineering (ICDE); 2012 IEEE 28th International Conference on,2012,9
Thirteen new players in the team: a ferry-based linq to sql provider,Tom Schreiber; Simone Bonetti; Torsten Grust; Manuel Mayr; Jan Rittinger,Abstract We demonstrate an efficient LINQ to SQL provider and its significant impact on theruntime performance of LINQ programs that process large data volumes. This alternativeprovider is based on Ferry; compilation technology that lets relational database systemsparticipate in the evaluation of first-order functional programs over nested; ordered datastructures. The Ferry-based provider seamlessly hooks into the .NET LINQ framework andgenerates SQL code that strictly adheres to the semantics of the LINQ data model. Ferrycomes with strong code size guarantees and complete support for the LINQ Standard QueryOperator family; enabling a truly interactive and compelling LINQ demonstration. A variety ofinspection holes may be opened to learn about the internals of the Ferry-based LINQ to SQLprovider.,Proceedings of the VLDB Endowment,2010,9
Query deforestation,Torsten Grust; Marc H Scholl,The construction of a declarative query engine for a DBMS includes the challenge ofcompiling algebraic queries into efficient execution plans that can be run on top of thepersistent storage. This work pursues the goal of employing foldr-build deforestation for thederivation of efficient streaming programs-programs that do not allocate intermediate datastructures to perform their task-from algebraic (combinator) query plans. The query engine isbased on the insertion representation of collections and base types; making thedeforestation idea amenable to a wide range of type constructors and operators. In additionto the removal of intermediate data structures; deforestation actually implements certainalgebraic optimizations for free. Query deforestation is a generally applicable technique thatputs the derivation of streaming programs in a compact formal framework that should be …,*,1998,9
True language-level SQL debugging,Torsten Grust; Fabian Kliebhan; Jan Rittinger; Tom Schreiber,Abstract We demonstrate Habitat; a declarative observational debugger for SQL. Habitatfacilitates true language-level (not: plan-level) debugging of; probably flawed; SQL queriesthat yield unexpected results. Users may mark arbitrary SQL subexpressions---ranging fromliterals; over fragments of predicates; to entire subquery blocks---to observe whether theseevaluate as expected.,Proceedings of the 14th International Conference on Extending Database Technology,2011,8
Jump Through Hoops to Grok the Loops--Pathfinder’s Purely Relational Account of XQuery-style Iteration Semantics,Torsten Grust; Jan Rittinger,Abstract What remains if you remove XML trees and node construction; XPath location pathtraversal; atomization; and all other XML-inflicted concepts from XQuery?—We describe howthe design of the database-supported XQuery processor Pathfinder has been centeredaround the compilation of the language's core side effect-free iteration construct; for; aconcept that XQuery shares with many (data-intensive) languages; eg; SQL; Linq; Links;Ruby; and Haskell's or Python's list comprehensions. The compiler implements loop lifting; acompilation technique that lets a relational database back-end fully realize—and benefitfrom—the independence of the individual iterations of a for loop. We explore usefulextensions and special cases of loop lifting and will see how XQuery 1.1's proposedwindowed iteration,IN PROC. ACM SIGMOD/PODS WORKSHOP ON XQUERY IMPLEMENTATION; EXPERIENCE AND PERSPECTIVES (XIME-P,2008,8
