Extension de l'analyse en composantes principales à des données de type intervalle,Pierre Cazes; Ahlame Chouakria; Edwin Diday; Y Schektrman,Cazes P.L'analyse de certains tableaux rectangulaires décomposés en blocs : généralisationdes propriétés rencontrées dans l'analyse des correspondances multiples. II Questionnaires: variantes de codages et nouveaux calculs de contributions. Les Cahiers de l'analyse desdonnées. Vol. V; n°4; pp. 387- 403; 1980 … Cazes P.L'analyse de certains tableaux rectangulairesdécomposés en blocs : généralisation des propriétés rencontrées dans l'analyse des correspondancesmultiples. IV Cas modèles. Les Cahiers de l'analyse des données. Vol. VI; n°2; pp. 135-143;1981 … Chouakria A.; Diday E.; Cazes P.Extension of Principal Components Analysis to intervaldata. NTTS '95 : New Techniques and Technologies for Statistics; Bonn; novembre 1995 …Chouakria A.; Cazes P.; Diday E.Extension de l'analyse factorielle des correspondances multiplesà des données de type intervalle et de type ensemble. SFC 96 : Actes de la 3ème …,Revue de Statistique appliquée,1997,176
Learning multiple temporal matching for time series classification,Cedric Frambourg; Ahlame Douzal-Chouakria; Eric Gaussier,Abstract In real applications; time series are generally of complex structure; exhibitingdifferent global behaviors within classes. To discriminate such challenging time series; wepropose a multiple temporal matching approach that reveals the commonly shared featureswithin classes; and the most differential ones across classes. For this; we rely on a newframework based on the variance/covariance criterion to strengthen or weaken matchedobservations according to the induced variability within and between classes. Theexperiments performed on real and synthetic datasets demonstrate the ability of the multipletemporal matching approach to capture fine-grained distinctions between time series.,International Symposium on Intelligent Data Analysis,2013,16
Approche géométrique et classification pour la reconnaissance de visage,Bertrand Leroy; Ahlame Chouakria; Isabelle Herlin; Edwin Diday,Nous présentons dans cet article un système d'identification de visage fondé sur l'utilisationdes propriétés géométriques. Ce système se décompose en trois phases successives detraitement: une localisation d'éléments caractéristiques du visage; l'extraction de leurfrontière par une méthode de contour actif et une analyse factorielle des données ainsiextraites. La localisation des régions contenant les éléments significatifs du visage; tels quela bouche; les yeux et le nez; est effectuée à l'aide d'opérateurs de morphologiemathématique. Afin d'extraire ensuite la frontière de ces structures; nous employons uneméthode de contour actif dédiée. Cette méthode est fondée sur l'utilisation de descripteursde Fourier; ce qui permet d'adapter simplement le modèle à la morphologie de chacun desobjets du visage. Les contours; ainsi obtenus sur le visage à identifier; sont ensuite mis …,Congrès de Reconnaissance des Formes et Intelligence Artificielle,1996,14
Prédictions d'activité dans les réseaux sociaux en ligne,François Kawala; Ahlame Douzal-Chouakria; Eric Gaussier; Eustache Dimert,Online Platforms dedicated to social networking host new social phenomenons. Thusseveral keywords may suddenly take an unprecedented importance; reflecting the numberof dis-cussions they have raised within a short time period. Such bursts in topic discussionsare usually referred to as buzz events. We address in this paper the problem of predictingthe activity volume associated to a given keyword without a priori knowledge on theunderlying social network. To do so; we propose to define social netowrk on a content-centric way. Our approach is evaluated at" industrial scale" on two different social networks:Twitter; a platform with extremely fast dynamics (Kwak et al.; 2010); and Tom's Hardware; aworldwide forum network focusing on new technology. The experiments conducted revealthat it is possible to predict activity volume associated to a keyword in social media with …,4ième conférence sur les modèles et l'analyse des réseaux: Approches mathématiques et informatiques,2013,13
Vertices principal components analysis with an improved factorial representation,A Chouakria; E Diday; P Cazes,Abstract We propose; in the framework of the Symbolic Data Analysis (Diday 89); a newmethod which takes as input an array of objects described by interval data (Cazes & al. 97).In the factorial space; objects are described by an interval type principal components. It istherefore; represented in the factorial plane by a rectangle; a segment or a point. Theinterpretation parameters are generalised accordingly. An additional iterative subroutine isproposed to give a rectangular representation which takes into account the relativecontributions of the objects. An application on “face's recognition” is provided to illustrate theeffectiveness of the proposed whole method.,*,1998,13
Wavesim and adaptive wavesim transform for subsequence time-series clustering,R Pradeep Kumar; P Nagabhushan; A Chouakria-Douzal,Recent days advancement in sensor and instrumentation technology has seen a largeamount of time series data being recorded in our day-to-day life. Knowledge and datamining research has taken up the responsibility of mining the hidden patterns in these hugecollection of time series data during the past decade. In this paper we proposemethodologies to extract hidden knowledge in a time series data through an unsupervisedapproach by using the novel WaveSim transform. This recently introduced transform is anovel perspective of wavelet transform and it is defined by keeping pattern analysis andrecognition in mind. Time series data mining has been classified broadly into whole seriesmining and subsequence series mining. We propose a hierarchical tree based approach forsubsequence mining in a time series using a modified WaveSim transform called …,Information Technology; 2006. ICIT'06. 9th International Conference on,2006,12
Improved fréchet distance for time series,Ahlame Chouakria-Douzal; Panduranga Naidu Nagabhushan,Abstract This paper focuses on the Fréchet distance introduced by Maurice Fréchet in 1906to account for the proximity between curves (Fréchet (1906)). The major limitation of thisproximity measure is that it is based on the closeness of the values independently of thelocal trends. To alleviate this set back; we propose a dissimilarity index extending the aboveestimates to include the information of dependency between local trends. A synthetic datasetis generated to reproduce and show the limited conditions for the Fréchet distance. Theproposed dissimilarity index is then compared with the Fréchet estimate and resultsillustrating its efficiency are reported.,*,2006,12
Généralisation de l’analyse factorielle des correspondances multiples à des objets symboliques,A Chouakria; R Verde; E Diday; P Cazes,*,Société Francophone de Classification (SFC’96); Vannes,1996,12
Extension of the principal component analysis to interval data,A Chouakria; E Diday; P Cazes,*,New Techniques and Technologies for Statistics; Bonn,1995,12
Symbolic principal component for interval-valued observations,Lynn Billard; Ahlame Douzal-Chouakria; E Diday,One feature of contemporary datasets is that instead of the single point value in the p-dimensional space Rp seen in classical data; the data may take interval values thusproducing hypercubes in Rp. This paper extends the methodology of classical principalcomponents to that for interval-valued data. Two methods are proposed; viz.; a verticesmethod which uses all the vertices of the observation's hypercube; and a centers methodwhich uses the centroid values. Unlike classical data; each symbolic data point has internalvariation. For both the vertices and centers methods; we obtain intervalvalued symbolicprincipal components which recapture the internal variation of the observations; as well asdiagnostics such as correlation measures between these principal components and therandom variables and/or the observations themselves. We also provide a visualization …,*,2008,10
Adaptive clustering of time series,Ahlame Douzal Chouakria; Françoise Giroud,This paper focuses on the cell division cycle insuring the proliferation of cells and which isdras-tically aberrant in cancer cells. The aim of this biological problem is the identification ofgenes characterizing each cell cycle phase. The identification process is commonly basedon a prior set of well-characterized cell cycle genes; called reference genes. The expressionlevels of the studied genes are measured during the cell division cycle. Each studied gene isassigned a cell cycle phase by it's peak similarity to the reference genes. This classicalapproach suffers of two limitations. On the one hand; the most widely used proximitymeasures between gene expression profiles are based on the closeness of the valuesregardless to the similarity with respect to (wrt) the genes expression behavior. On the otherhand; many different ill-founded sets of reference genes are pro-posed in the literature …,International Association for Statistical Computing (IASC); Statistics for Data Mining; Learning and Knowledge Extraction,2007,10
Symbolic principal components analysis,P Cazes; A Chouakria; E Diday,*,Analysis of Symbolic Data,2000,10
Progressive and Iterative Approaches for Time Series Averaging.,Saeid Soheily-Khah; Ahlame Douzal Chouakria; Eric Gaussier,Abstract. Averaging a set of time series is a major topic for many temporal data mining tasksas summarization; extracting prototype or clustering. Time series averaging should deal withthe tricky multiple temporal alignment problem; a still challenging issue in various domains.This work compares the major progressive and iterative averaging time series methodsunder dynamic time warping (dtw).,AALTD@ PKDD/ECML,2015,7
Multiple Metric Learning for large margin kNN Classification of time series,Cao-Tri Do; Ahlame Douzal-Chouakria; Sylvain Marié; Michèle Rombaut,Time series are complex data objects; they may present noise; varying delays or involveseveral temporal granularities. To classify time series; promising solutions refer to thecombination of multiple basic metrics to compare time series according to severalcharacteristics. This work proposes a new framework to learn a combination of multiplemetrics for a robust kNN classifier. By introducing the concept of pairwise space; thecombination function is learned in this new space through a" large margin" optimizationprocess. We apply it to compare time series on both their values and behaviors. Theefficiency of the learned metric is compared to the major alternative metrics on large publicdatasets.,Signal Processing Conference (EUSIPCO); 2015 23rd European,2015,7
A random-periods model for the comparison of a metrics efficiency to classify cell-cycle expressed genes,Ahlame Douzal-Chouakria; Francoise Giroud,Abstract This paper addresses the clustering and classification of active genes during theprocess of cell division. Cell division ensures the proliferation of cells; but it becomesincreasingly abnormal in cancer cells. The genes studied here are described by theirexpression profiles (ie time series) during the cell division cycle. This work focuses onevaluating the efficiency of four major metrics for clustering and classifying genesexpression profiles and is based on a random-periods model for the expression of cell-cyclegenes. The model accounts for the observed attenuation in cycle amplitude or duration;variations in the initial amplitude; and drift in the expression profiles.,Pattern Recognition Letters,2010,7
Extension de l’analyse factorielle des correspondances multiples à des données de type intervalle et de type ensemble,A Chouakria; E Diday; P Cazes,*,Société Francophone de Classification (SFC’95); Namur,1995,5
Apprentissage d'ordonnancement et influence de l'ambiguïté pour la prédiction d'activité sur les réseaux sociaux,François Kawala; Éric Gaussier; Ahlame Douzal-Chouakria; Eustache Diemert,Forecasting keyword/topic activities in social networking sites has been the subject of manyrecent studies; as such activities represent; in many cases; a direct estimate of the spreadthof real-world phenomena; ıt eg. box-office revenues or flu epidemies. Most of these studiesrely on pointwise; regression-like prediction algorithms and focus on few; usuallyunambiguous; keywords/topics. We study different strategies to rank keyword activitiesthrough a comparison of pointwise and pairwise learning to rank approaches; as well as theimpact of keyword ambiguity; keyword activity and keyword set size on the prediction results.It is the first time; to our knowledge; that such dimensions are evaluated in this framework.Our experiments are conducted on a large dataset built by monitoring Twitter over a yearand including 1497 keywords.,Coria'2014,2014,3
Classification adaptative de séries temporelles: application à l'identification des gènes exprimés au cours du cycle cellulaire.,Ahlame Douzal-Chouakria; Françoise Giroud,Ce travail s' inscrit dans le cadre de l'étude de la division cellulaire assurant la proliférationdes cellules. Une meilleure compréhension de ce phénomène biologique nécessitel'identification des gènes caractérisant chaque phase du cycle cellulaire. Le procédéd'identification est généralement basé sur un ensemble de gènes dits gènes de référence;sélectionnés expérimentalement et considérés comme caractérisant les phases du cyclecellulaire. Les niveaux d'expression des gènes étudiés sont mesurés durant le cycle de ladivision cellulaire et permettent de construire des profils d'expression. Chaque gène étudiéest affecté à la phase du cycle cellulaire correspondant au groupe de gènes de référence leplus similaire. Cette approche classique souffre de deux limites. D'une part; les mesures deproximité les plus couramment utilisées entre profils d'expression de gènes sont basées …,Revue des Nouvelles Technologies de l'Information,2008,3
Temporal decision trees,Guillaume Rizk; Ahlame Douzal Chouakria; Cécile Amblard,We propose a new splitting approach to extend the decision trees to temporal data. Theproposed split aims to determine for each daughter node the representative time series; theobservation period best discriminating the output variable; and the optimal contribution ofthe values and of the behavior for the proximity evaluation. A new extension of the Dynamictime warping is also proposed. The high efficiency and interpretability of the proposition isillustrated through many public datasets and compared to two important alternativealgorithms. Future work will focus on the stability evaluation through real datasets.,56th Session of the ISI (International Statistical Institute),2007,3
Adaptive dissimilarity index for Gene Expression Profiles Classification,Ahlame Douzal Chouakria; Françoise Giroud,Abstract DNA microarray technology allows to monitor simultaneously the expression levelsof thousands of genes during important biological processes and across collections ofrelated experiments. Clustering and classification techniques have proved to be helpful tounderstand gene function; gene regulation; and cellular processes. However theconventional proximity measures between genes expression data; used for clustering orclassification purpose; do not fit gene expression specifications as they are based on thecloseness of the expression magnitudes regardless of the overall gene expression profile(shape). We propose in this paper an adaptive dissimilarity index which would cover bothvalues and behavior proximity. The effectiveness of the adaptive dissimilarity index isillustrated through a classification process for identification of genes cell cycle phases.,*,2007,3
Querying temporal drifts at multiple granularities,Sofia Kleisarchaki; Sihem Amer-Yahia; Ahlame Douzal-Chouakria; Vassilis Christophides,Abstract There exists a large body of work on online drift detection with the goal ofdynamically finding and maintaining changes in data streams. In this paper; we adopt aquery-based approach to drift detection. Our approach relies on a drift index; a structure thatcaptures drift at different time granularities and enables flexible drift queries. We formalizedifferent drift queries that represent real-world scenarios and develop query evaluationalgorithms that use different materializations of the drift index as well as strategies for onlineindex maintenance. We describe a thorough study of the performance of our algorithms onreal-world and synthetic datasets with varying change rates.,Proceedings of the 24th ACM International on Conference on Information and Knowledge Management,2015,2
Learning temporal matchings for time series discrimination,Cédric Frambourg; Ahlame Douzal-Chouakria; Éric Gaussier,In real applications it is not rare for time series of the same class to exhibit dis-similarities intheir overall behaviors; or that time series from different classes have slightly similar shapes.To discriminate between such challenging time se-ries; we present a new approach fortraining discriminative matching that con-nects time series with respect to the commonlyshared features within classes; and the greatest differential across classes. For this; we relyon a variance/covariance criterion to strengthen or weaken matched observations accordingto the induced variability within and between classes. In this paper; learned discriminativematching is used to define a locally weighted time series metric; which restricts time seriescomparison to discriminative features. The relevance of the proposed approach is studiedthrough a nearest neighbor time series classification on real datasets. The experiments …,*,2014,2
Online Detection of Topic Change in Social Posts,Sofia Kleisarchaki; Vassilis Christophides; Sihem Amer-Yahia; Ahlame Douzal-Chouakria,Gaining deep insights of the social Web content is a challenging Big Data analytics problem;especially when dealing with social posts of high volume and arrival rate consisting of highvariable topics. Detecting and tracking the topics that the users discuss in popularmicroblogging applications like Twitter and studying the evolution of each topic revealscrowd interests and intelligence. The evolution summarizes the changes that are occurringon the topics over a given time horizon inside the evolving data stream. For instance; sometopics may disappear at some point in time due to lack of users' interest; while others areretained over time adopting either a stable or an evolving behaviour. The analysis andstorage of such dynamic and massive content with spatio-thematic properties poses newchallenges for research.,Big'2014,2014,2
Apprentissage de couplages pour la discrimination de séries temporelles,Cédric Frambourg; Ahlame Douzal-Chouakria; Éric Gaussier; Jacques Demongeot,Résumé: En vue de la discrimination de classes de séries temporelles; ce papier proposel'apprentissage de couplages entre séries. Cette discrimination repose sur un nouveaucritère de variance visant à maximiser la compacité des classes et leur séparabilité. Pour cefaire; les couplages appris tendent à lier les séries temporelles selon des caractéristiques;communes au sein des classes et différentielles entre les classes. L'idée principale de cetapprentissage consiste à renforcer ou à pénaliser les liens en fonction de leur contribution àla variabilité intra et inter classe. Pour cela; l'expression usuelle de la variance/covarianceest étendue à des ensembles puis à des partitions de séries temporelles. Lesexpérimentations menées sur plusieurs jeux de données publics et simulés rendent comptede l'efficacité des couplages appris par rapport aux couplages standards pour la …,Conférence d’Apprentissage automatique,2011,2
Which Distance for the Identification and the Differentiation of Cell-Cycle Expressed Genes?,Ahlame Douzal-Chouakria; Francoise Giroud,Abstract This paper addresses the clustering and classification of active genes during theprocess of cell division. Cell division ensures the proliferation of cells; but becomesdrastically aberrant in cancer cells. The studied genes are described by their expressionprofiles (ie time series) during the cell division cycle. This work focuses on evaluating theefficiency of four major metrics for clustering and classifying gene expression profiles. Thestudy is based on a random-periods model for the expression of cell-cycle genes. The modelaccounts for the observed attenuation in cycle amplitude or duration; variations in the initialamplitude; and drift in the expression profiles.,International Symposium on Intelligent Data Analysis,2009,2
A comparison of progressive and iterative centroid estimation approaches under time warp,Saeid Soheily-Khah; Ahlame Douzal-Chouakria; Eric Gaussier,Abstract Estimating the centroid of a set of time series under time warp is a major topic formany temporal data mining applications; as summarization a set of time series; prototypeextraction or clustering. The task is challenging as the estimation of centroid of time seriesfaces the problem of multiple temporal alignments. This work compares the majorprogressive and iterative centroid estimation methods; under the dynamic time warping;which currently is the most relevant similarity measure in this context.,International Workshop on Advanced Analytics and Learning on Temporal Data,2015,1
A multi-modal metric learning framework for time series kNN classification,Cao-Tri Do; Ahlame Douzal-Chouakria; Sylvain Marié; Michèle Rombaut,Abstract This work proposes a temporal and frequential metric learning framework for a timeseries nearest neighbor classification. For that; time series are embedded into a pairwisespace where a combination function is learned based on a maximum margin optimizationprocess. A wide range of experiments are conducted to evaluate the ability of the learnedmetric on time series k NN classification.,International Workshop on Advanced Analytics and Learning on Temporal Data,2015,1
Temporal and frequential metric learning for time series kNN classification,Cao-Tri Do123; Ahlame Douzal-Chouakria; Sylvain Marié; Michèle Rombaut,Abstract. This work proposes a temporal and frequential metric learning framework for a timeseries nearest neighbor classification. For that; time series are embedded into a pairwisespace where a combination function is learned based on a maximum margin optimizationprocess. A wide range of experiments are conducted to evaluate the ability of the learnedmetric on time series kNN classification.,Proceedings of AALTD 2015,2015,1
Contribution à l'analyse de données temporelles,Ahlame Douzal-Chouakria,Mes travaux de recherche portent sur l'analyse de données temporelles et s' articulent entrois parties:-la représentation de séries temporelles;-la définition de métriques et leurapprentissage;-ainsi que la proposition de nouvelles approches de classification dédiéesaux séries temporelles. Le déploiement de statistiques d'autocorrélation spatiale sur desstructures de contiguïté particulières; telle que temporelle; met en évidence des propriétésintéressantes. Elles permettent; par exemple; d'appréhender le comportement des séries(aléatoire; chaotique); d'évaluer le niveau de saillance d'un événement; ou de mesurer ladépendance locale ou globale entre une structure évolutive et les observations associées.Ces propriétés ont guidé nos principaux travaux. Ainsi; une première contribution concernela représentation compacte de séries multivariées. J'ai étudié une approche de réduction …,*,2012,1
Multi-modal and multi-scale temporal metric learning for a robust time series nearest neighbors classification,Cao-Tri Do; Ahlame Douzal-Chouakria; Sylvain Marié; Michèle Rombaut; Saeed Varasteh,Abstract The definition of a metric between time series is inherent to several data analysisand mining tasks; including clustering; classification or forecasting. Time series data presentnaturally several modalities covering their amplitude; behavior or frequential spectrum; thatmay be expressed with varying delays and at multiple temporal scales—exhibited globallyor locally. Combining several modalities at multiple temporal scales to learn a holistic metricis a key challenge for many real temporal data applications. This paper proposes a Multi-modal and Multi-scale Temporal Metric Learning (m 2 tml) approach for a robust time seriesnearest neighbors classification. The solution lies in embedding time series into adissimilarity space where a pairwise svm is used to learn both linear and non linearcombined metric. A sparse and interpretable variant of the solution shows the ability of the …,Information Sciences,2017,*
WeBrowse: Leveraging User Clicks for Content Discovery in Communities of a Place,Giuseppe Scavo; Zied Ben Houidi; Stefano Traverso; Renata Teixeira; Marco Mellia; Murray Goulden; Peter Tolmie; Richard Mortier; Tom Lodge; Anna-Kaisa Pietilainen; Renata Teixeira; Marina Lucena; Francesco Bronzino; Renata Teixeira; Diego Da Hora; Renata Teixeira; Karel Van Doorselaer; Zeinab Hmedeh; Harry Kourdounakis; Vassilis Christophides; Cédric Du Mouza; Michel Scholl; Nicolas Travers; Floris Geerts; Thomas Unger; Grigoris Karvounarakis; Irini Fundulaki; Vassilis Christophides; Diego Neves da Hora; Renata Teixeira; Karel Van Doorselaer; Koen Van Oost,Découvrez celles et ceux qui sont honorés cette année pour leurs contributions majeuresaux sciences du numérique; au déploiement d'innovations riches de promesses pour notresociété ainsi qu'au bon fonctionnement de l'institut. Les lauréats 2017 des cinq prix Inriaétaient à l'honneur le 7 novembre 2017; lors de l'événement consacré aux 50 ans d'Inria auCENTQUATRE.,Proceedings of the ACM on Human-Computer Interaction,2017,*
Generalized k-means-based clustering for temporal data under time warp,Saeid Soheily-Khah,Temporal alignment of multiple time series is an important unresolved problem in manyscientific disciplines. Major challenges for an accurate temporal alignment includedetermining and modeling the common and differential characteristics of classes of timeseries. This thesis is motivated by recent works in extending Dynamic time warping foraligning multiple time series from several applications including speech recognition; curvematching; micro-array data analysis; temporal segmentation or human motion. Howeverthese DTW-based works suffer of several limitations: 1) They address the problem ofaligning two time series regardless of the remaining time series; 2) They involve uniformlythe features of the multiple time series; 3) The time series are aligned globally by includingthe whole observations. The aim of this thesis is to explore a generalized dynamic time …,*,2016,*
Advanced Analysis and Learning on Temporal Data,Ahlame Douzal-Chouakria; José A Vilar; Pierre-François Marteau,This book brings together advances and new perspectives in machine learning; statistics;and data analysis on temporal data. Temporal data arise in several domains such as bio-informatics; medicine; finance; and engineering; among many others. They are naturallypresent in applications covering language; motion; and vision analysis; and particularly inemerging applications such as energy-efficient building; smart cities; dynamic social media;or Internet of Things. Contrary to static data; temporal data are of a complex nature; they aregenerally noisy; of high dimensionality; they may be nonstationary (ie; first-order statisticsvary with time) and irregular (involving several time granularities); they may have severalinvariant domain-dependent factors such as time delay; translation; scale; or tendencyeffects. These temporal peculiarities make limited the majority of standard statistical …,*,2016,*
A study of different keyword activity prediction problems in social media,François Kawala; Éric Gaussier; Ahlame Douzal-Chouakria; Eustache Diemert,Forecasting keyword activities in social networking sites has been the subject of manystudies; as such activities represent; in many cases; a direct estimate of the spread of real-world phenomena; eg box-office revenues or flu epidemic. Most of these studies rely onpoint-wise; regression-like prediction algorithms and focus on few; usually unambiguous;keywords. We study in this paper the impact of keyword activity on three different problems:a) classification of keywords according to the increase of their activity in the near future; b)prediction of the activity value of each keyword in the near future; c) ranking of a set ofkeywords according to their future activity values. It is the first time; to our knowledge; thatsuch dimensions are evaluated in this framework. Our experiments are conducted on a largedataset built by monitoring Twitter over a year. The different methods tested are evaluated …,International Journal of Social Network Mining,2016,*
Temporal and frequential metric learning for time series kNN classification,Cao-Tri Do; Ahlame Douzal-Chouakria; Sylvain Marié; Michèle Rombaut,Abstract This work proposes a temporal and frequential metric learning framework for a timeseries nearest neighbor classification. For that; time series are embedded into a pairwisespace where a combination function is learned based on a maximum margin optimizationprocess. A wide range of experiments are conducted to evaluate the ability of the learnedmetric on time series kNN classification.,Proceedings of the 1st International Conference on Advanced Analytics and Learning on Temporal Data-Volume 1425,2015,*
An exploratory analysis of multiple multivariate time series,Lynne Billard; Ahlame Douzal-Chouakria; Seyed Yaser Samadi,Abstract. Our aim is to extend standard principal component analysis for non-time seriesdata to explore and highlight the main structure of multiple sets of multivariate time series. Tothis end; standard variancecovariance matrices are generalized to lagged cross-autocorrelation matrices. The methodology produces principal component time series; whichcan be analysed in the usual way on a principal component plot; except that the plot alsoincludes time as an additional dimension.,Proceedings of AALTD 2015,2015,*
