Introduction to data mining,Pang-Ning Tan,*,*,2006,10141
Combining integrated sampling with SVM ensembles for learning from imbalanced datasets,Yang Liu; Xiaohui Yu; Jimmy Xiangji Huang; Aijun An,Abstract Learning from imbalanced datasets is difficult. The insufficient information that isassociated with the minority class impedes making a clear understanding of the inherentstructure of the dataset. Most existing classification methods tend not to perform well onminority class examples when the dataset is extremely imbalanced; because they aim tooptimize the overall accuracy without considering the relative distribution of each class. Inthis paper; we study the performance of SVMs; which have gained great success in manyreal applications; in the imbalanced data context. Through empirical analysis; we show thatSVMs may suffer from biased decision boundaries; and that their prediction performancedrops dramatically when the data is highly skewed. We propose to combine an integratedsampling technique; which incorporates both over-sampling and under-sampling; with an …,Information processing & management,2011,89
Rule-induction and case-based reasoning: Hybrid architectures appear advantageous,Nick Cercone; Aijun An; Christine Chan,Researchers have embraced a variety of machine learning (ML) techniques in their efforts toimprove the quality of learning programs. The recent evolution of hybrid architectures formachine learning systems has resulted in several approaches that combine rule inductionmethods with case-based reasoning techniques to engender performance improvementsover more traditional single-representation architectures. We briefly survey several majorrule-induction and case-based reasoning ML systems. We then examine some interestinghybrid combinations of these systems and explain their strengths and weaknesses aslearning systems. We present a balanced approach to constructing a hybrid architecture;along with arguments in favor of this balance and mechanisms for achieving a properbalance. Finally; we present some initial empirical results from testing our ideas and draw …,IEEE Transactions on Knowledge and Data Engineering,1999,84
Unsupervised emotion detection from text using semantic and syntactic relations,Ameeta Agrawal; Aijun An,Abstract Emotion detection from text is a relatively new classification task. This paperproposes a novel unsupervised context-based approach to detecting emotion from text atthe sentence level. The proposed methodology does not depend on any existing manuallycrafted affect lexicons such as Word Net-Affect; thereby rendering our model flexible enoughto classify sentences beyond Ekman's model of six basic emotions. Our method computesan emotion vector for each potential affect bearing word based on the semantic relatednessbetween words and various emotion concepts. The scores are then fine tuned using thesyntactic dependencies within the sentence structure. Extensive evaluation on various datasets shows that our framework is a more generic and practical solution to the emotionclassification problem and yields significantly more accurate results than recent …,Proceedings of the The 2012 IEEE/WIC/ACM International Joint Conferences on Web Intelligence and Intelligent Agent Technology-Volume 01,2012,70
Applying knowledge discovery to predict water-supply consumption,Aijun An; Christine Chan; Ning Shan; Nick Cercone; Wojciech Ziarko,Optimizing the control of operations in a municipal water distribution system can reduceelectricity costs and realize other economic benefits. However; optimal control requires theability to precisely predict short-term water demand so that minimum-cost pumpingschedules can be prepared. One of the objectives of our project to develop an intelligentsystem for monitoring and controlling municipal water-supply systems is to ensure optimalcontrol and reduce energy costs. Hence; prediction of water demand is essential. Wepresent an application of a rough-set approach for the automated discovery of rules from aset of data samples for daily water-demand predictions. The database contains 306 trainingsamples; covering information on seven environmental and sociological factors and theircorresponding daily volume of distribution flow. The rough-set method generates …,IEEE Expert,1997,69
Discretization of continuous attributes for learning classification rules,Aijun An; Nick Cercone,Abstract We present a comparison of three entropy-based discretization methods in acontext of learning classification rules. We compare the binary recursive discretization with astopping criterion based on the Minimum Description Length Principle (MDLP)[3]; a non-recursive method which simply chooses a number of cut-points with the highest entropygains; and a non-recursive method that selects cut-points according to both informationentropy and distribution of potential cut-points over the instance space. Our empirical resultsshow that the third method gives the best predictive performance among the three methodstested.,Pacific-Asia Conference on Knowledge Discovery and Data Mining,1999,63
Detection of malicious and non-malicious website visitors using unsupervised neural network learning,Dusan Stevanovic; Natalija Vlajic; Aijun An,Abstract Distributed denials of service (DDoS) attacks are recognized as one of the mostdamaging attacks on the Internet security today. Recently; malicious web crawlers havebeen used to execute automated DDoS attacks on web sites across the WWW. In this study;we examine the use of two unsupervised neural network (NN) learning algorithms for thepurpose web-log analysis: the Self-Organizing Map (SOM) and Modified AdaptiveResonance Theory 2 (Modified ART2). In particular; through the use of SOM and modifiedART2; our work aims to obtain a better insight into the types and distribution of visitors to apublic web-site based on their browsing behavior; as well as to investigate the relativedifferences and/or similarities between malicious web crawlers and other non-maliciousvisitor groups. The results of our study show that; even though there is a pretty clear …,Applied Soft Computing,2013,62
ELEM2: A learning system for more accurate classifications,Aijun An; Nick Cercone,Abstract We present ELEM2; a new method for inducing classification rules from a set ofexamples. The method employs several new strategies in the induction and classificationprocesses to improve the predictive performance of induced rules. In particular; a newheuristic function for evaluating attribute-value pairs is proposed. The function is defined toreflect the degree of relevance of an attribute-value pair to a target concept and leads toselection of the most relevant pairs for formulating rules. Another feature of ELEM2 is that ithandles inconsistent training data by defining an unlearnable region of a concept based onthe probability distribution of that concept in the training data. To further deal with imperfectdata; ELEM2 makes use of the post-pruning technique to remove unreliable portions of agenerated rule. A new rule quality measure is proposed for the purpose of post-pruning …,Conference of the Canadian Society for Computational Studies of Intelligence,1998,60
Efficient bi-objective team formation in social networks,Mehdi Kargar; Aijun An; Morteza Zihayat,Abstract We tackle the problem of finding a team of experts from a social network tocomplete a project that requires a set of skills. The social network is modeled as a graph. Anode in the graph represents an expert and has a weight representing the monetary cost forusing the expert service. Two nodes in the graph can be connected and the weight on theedge represents the communication cost between the two corresponding experts. Given aproject; our objective is to find a team of experts that covers all the required skills and alsominimizes the communication cost as well as the personnel cost of the project. To minimizeboth of the objectives; we define a new combined cost function which is based on the linearcombination of the objectives (ie communication and personnel costs). We show that theproblem of minimizing the combined cost function is an NP-hard problem. Thus; one …,Joint European Conference on Machine Learning and Knowledge Discovery in Databases,2012,56
Finding and analyzing database user sessions,Qingsong Yao; Aijun An; Xiangji Huang,Abstract A database user session is a sequence of queries issued by a user (or anapplication) to achieve a certain task. Analysis of task-oriented database user sessionsprovides useful insight into the query behavior of database users. In this paper; we describenovel algorithms for identifying sessions from database traces and for grouping the sessionsdifferent classes. We also present experimental results.,International Conference on Database Systems for Advanced Applications,2005,46
Mining top-k high utility patterns over data streams,Morteza Zihayat; Aijun An,Abstract Online high utility itemset mining over data streams has been studied recently.However; the existing methods are not designed for producing top-k patterns. Since therecould be a large number of high utility patterns; finding only top-k patterns is more attractivethan producing all the patterns whose utility is above a threshold. A challenge with findingtop-k high utility itemsets over data streams is that it is not easy for users to determine aproper minimum utility threshold in order for the method to work efficiently. In this paper; wepropose a new method (named T-HUDS) for finding top-k high utility patterns over slidingwindows of a data stream. The method is based on a compressed tree structure; calledHUDS-tree; that can be used to efficiently find potential top-k high utility itemsets over slidingwindows. T-HUDS uses a new utility estimation model to more effectively prune the …,Information Sciences,2014,44
Applying data mining to pseudo-relevance feedback for high performance text retrieval,Xiangji Huang; Yan Rui Huang; Miao Wen; Aijun An; Yang Liu; Josiah Poon,In this paper; we investigate the use of data mining; in particular the text classification and co-training techniques; to identify more relevant passages based on a small set of labeledpassages obtained from the blind feedback of a retrieval system. The data mining results areused to expand query terms and to re-estimate some of the parameters used in aprobabilistic weighting function. We evaluate the data mining based feedback method on theTREC HARD data set. The results show that data mining can be successfully applied toimprove the text retrieval performance. We report our experimental findings in detail.,Data Mining; 2006. ICDM'06. Sixth International Conference on,2006,43
Feature evaluation for web crawler detection with data mining techniques,Dusan Stevanovic; Aijun An; Natalija Vlajic,Abstract Distributed Denial of Service (DDoS) is one of the most damaging attacks on theInternet security today. Recently; malicious web crawlers have been used to executeautomated DDoS attacks on web sites across the WWW. In this study we examine the effectof applying seven well-established data mining classification algorithms on static web serveraccess logs in order to:(1) classify user sessions as belonging to either automated webcrawlers or human visitors and (2) identify which of the automated web crawlers sessionsexhibit 'malicious' behavior and are potentially participants in a DDoS attack. Theclassification performance is evaluated in terms of classification accuracy; recall; precisionand F 1 score. Seven out of nine vector (ie web-session) features employed in our work areborrowed from earlier studies on classification of user sessions as belonging to web …,Expert Systems with Applications,2012,42
Comparison of interestingness functions for learning web usage patterns,Nick Cercone; Aijun An,Abstract Livelink is a collaborative intranet; extranet and e-business application that enablesemployees and business partners of an organization to capture; share and reuse businessinformation and knowledge. The usage of the Livelink software has been recorded by theLivelink Web server in its log files. We present an application of data mining techniques tothe Livelink Web usage data. In particular; we focus on how to find interesting associationrules and sequential patterns from the Livelink log files. A number of interestingnessmeasures are used in our application to identify interesting rules and patterns. We present acomparison of these measures based on the feedback from domain experts. Some of theinterestingness measures are found to be better than others.,Proceedings of the eleventh international conference on Information and knowledge management,2002,41
Learning classification rules from data,Aijun An,Abstract We present ELEM2; a machine learning system that induces classification rulesfrom a set of data based on a heuristic search over a hypothesis space. ELEM2 isdistinguished from other rule induction systems in three aspects. First; it uses a newheuristtic function to guide the heuristic search. The function reflects the degree of relevanceof an attribute-value pair to a target concept and leads to selection of the most relevant pairsfor formulating rules. Second; ELEM2 handles inconsistent training examples by defining anunlearnable region of a concept based on the probability distribution of that concept in thetraining data. The unlearnable region is used as a stopping criterion for the concept learningprocess; which resolves conflicts without removing inconsistent examples. Third; ELEM2employs a new rule quality measure in its post-pruning process to prevent rules from …,Computers & Mathematics with Applications,2003,40
Feature selection with rough sets for web page classification,Aijun An; Yanhui Huang; Xiangji Huang; Nick Cercone,Abstract Web page classification is the problem of assigning predefined categories to webpages. A challenge in web page classification is how to deal with the high dimensionality ofthe feature space. We present a feature reduction method based on the rough set theory andinvestigate the effectiveness of the rough set feature selection method on web pageclassification. Our experiments indicate that rough set feature selection can improve thepredictive performance when the original feature set for representing web pages is large.,*,2004,39
Clustering by common friends finds locally significant proteins mediating modules,Bill Andreopoulos; Aijun An; Xiaogang Wang; Michalis Faloutsos; Michael Schroeder,Abstract Motivation: Much research has been dedicated to large-scale protein interactionnetworks including the analysis of scale-free topologies; network modules and the relation ofdomain–domain to protein–protein interaction networks. Identifying locally significantproteins that mediate the function of modules is still an open problem. Method: We use alayered clustering algorithm for interaction networks; which groups proteins by the similarityof their direct neighborhoods. We identify locally significant proteins; called mediators; whichlink different clusters. We apply the algorithm to a yeast network. Results: Clusters andmediators are organized in hierarchies; where clusters are mediated by and act asmediators for other clusters. We compare the clusters and mediators to known yeastcomplexes and find agreement with precision of 71% and recall of 61%. We analyzed the …,Bioinformatics,2007,38
Data preprocessing,Jiawei Han; Micheline Kamber; Jian Pei,Heterogeneous data – data integration From various departments; in various forms Dirty data– data cleaning Incomplete data: missing attribute values eg; occupation=“” Noisy data:errors; outlier values eg; Salary=“-10” Inconsistent data eg; US=USA Data not in the right format– data transformation Normalization; discretization; etc. A huge amount of data – data reductionSpeed up mining No quality data; no quality mining results … Integration of multiple databasesor files Data cleaning … Fill in missing values; identify outliers and smooth out noisy data; andresolve inconsistencies Data transformation … Feed right data to the mining algorithm Datareduction … Obtains reduced representation in volume but produces the same or similar analyticalresults Data discretization … Part of data reduction and data transformation but with particularimportance; transform numerical data into symbolic data … Fill in missing values Identify …,Data mining: concepts and techniques. San Francisco: Morgan Kaufmann,2006,35
Objective and Subjective Algorithms for Grouping Association Rules.,Aijun An; Shakil M Khan; Xiangji Huang,Abstract We propose two algorithms for grouping and summarizing association rules. Thefirst algorithm recursively groups rules according to the structure of the rules and generatesa tree of clusters as a result. The second algorithm groups the rules according to thesemantic distance between the rules by making use of an autometically tagged semantictree-structured network of items. We provide a case study in which the proposed algorithmsare evaluated. The results show that our grouping methods are effective and produce goodgrouping results.,ICDM,2003,34
From computational intelligence to web intelligence,Nick Cercone; Lijun Hou; Vlado Keselj; Aijun An; Kanlaya Naruedomkul; Xiaohua Hu,The authors explore three topics in computational intelligence: machine translation; machinelearning and user interface design and speculate on their effects on Web intelligence.Systems that can communicate naturally and learn from interactions will power Webintelligence's long term success. The large number of problems requiring Web-specificsolutions demand a sustained and complementary effort to advance fundamental machine-learning research and incorporate a learning component into every Internet interaction.Traditional forms of machine translation either translate poorly; require resources that growexponentially with the number of languages translated; or simplify language excessively.Recent success in statistical; nonlinguistic; and hybrid machine translation suggests thatsystems based on these technologies can achieve better results with a large annotated …,Computer,2002,34
Clustering large software systems at multiple layers,Bill Andreopoulos; Aijun An; Vassilios Tzerpos; Xiaogang Wang,Abstract Software clustering algorithms presented in the literature rarely incorporate in theclustering process dynamic information; such as the number of function invocations duringruntime. Moreover; the structure of a software system is often multi-layered; while existingclustering algorithms often create flat system decompositions. This paper presents asoftware clustering algorithm called MULICsoft that incorporates in the clustering processboth static and dynamic information. MULICsoft produces layered clusters with the coreelements of each cluster assigned to the top layer. We present experimental results ofapplying MULICsoft to a large open-source system. Comparison with existing softwareclustering algorithms indicates that MULICsoft is able to produce decompositions that areclose to those created by system experts.,Information and Software Technology,2007,32
Finding affordable and collaborative teams from a network of experts,Mehdi Kargar; Morteza Zihayat; Aijun An,Abstract Given an expert network; we tackle the problem of finding a team of experts thatcovers a set of required skills and also minimizes the communication cost as well as thepersonnel cost of the team. Since two costs need to be minimized; this is a bicriteriaoptimization problem. We show that the problem of minimizing these objectives is NP-hard.We use two approaches to solve this bicriteria optimization problem. In the first approach; wepropose several (α; β)-approximation algorithms that receive a budget on one objective andminimizes the other objective within the budget with guaranteed performance bounds. In thesecond approach; an approximation algorithm is proposed to find a set of Pareto-optimalteams; in which each team is not dominated by other feasible teams in terms of thepersonnel and communication costs. The proposed approximation algorithms have …,*,2013,31
Discovery of interesting association rules from livelink web log data,Xiangji Huang; Aijun An,We present our experience in mining web usage patterns from a large collection of Livelinklog data. Livelink is a web-based product of Open Text; which provides automaticmanagement and retrieval of different types of information objects over an intranet orextranet. We report our experience in preprocessing raw log data and post-processing themining results for finding interesting rules. In particular we compare and evaluate a numberof rule interestingness measures and find that two of the measures that have not been usedin association rule learning work very well.,Data Mining; 2002. ICDM 2003. Proceedings. 2002 IEEE International Conference on,2002,31
An efficient approach to mining indirect associations,Qian Wan; Aijun An,Abstract Discovering association rules is one of the important tasks in data mining. Whilemost of the existing algorithms are developed for efficient mining of frequent patterns; it hasbeen noted recently that some of the infrequent patterns; such as indirect associations;provide useful insight into the data. In this paper; we propose an efficient algorithm; called HI-mine; based on a new data structure; called HI-struct; for mining the complete set of indirectassociations between items. Our experimental results show that HI-mine's performance issignificantly better than that of the previously developed algorithm for mining indirectassociations on both synthetic and real world data sets over practical ranges of supportspecifications.,Journal of Intelligent Information Systems,2006,27
Comparisons of classification methods for screening potential compounds,Aijun An; Yuanyuan Wang,We compare a number of data mining and statistical methods on the drug design problem ofmodeling molecular structure-activity relationships. The relationships can be used to identifyactive compounds based on their chemical structures from a large inventory of chemicalcompounds. The data set of this application has a highly skewed class distribution; in whichonly 2% of the compounds are considered active. We apply a number of classificationmethods to this extremely imbalanced data set and propose to use different performancemeasures to evaluate these methods. We report our findings on the characteristics of theperformance measures; the effect of using pruning techniques in this application and acomparison of local learning methods with global techniques. We also investigate whetherreducing the imbalance in the training data by up-sampling or down-sampling would …,Data Mining; 2001. ICDM 2001; Proceedings IEEE International Conference on,2001,25
Rough Sets; Fuzzy Sets; Data Mining and Granular Computing: 11th International Conference; RSFDGrC 2007; Toronto; Canada; May 14-16; 2007,Aijun An,This volume contains the papers selected for presentation at the 11th Int-nationalConference on Rough Sets; Fuzzy Sets; Data Mining; and Granular Computing (RSFDGrC2007); a part of the Joint Rough Set Symposium (JRS 2007) organized by Infobright Inc. andYork University. JRS 2007 was held for the? rst time during May 14–16; 2007 in MaRSDiscovery District; Toronto; Canada. It consisted of two conferences: RSFDGrC 2007 and theSecond Int-national Conference on Rough Sets and Knowledge Technology (RSKT 2007).The two conferences that constituted JRS 2007 investigated rough sets as an emergingmethodology established more than 25 years ago by Zdzis law Pawlak. Roughsettheoryhasbecomeanintegralpartof…. In keeping with this trend; JRS 2007 encompassed rough and fuzzy sets; kno-edgetechnologyanddiscovery; softandgranularcomputing; dataprocessingand mining …,*,2007,24
Multiple layer clustering of large software systems,Bill Andreopoulos; Aijun An; Vassilios Tzerpos; Xiaogang Wang,Software clustering algorithms presented in the literature rarely incorporate in the clusteringprocess dynamic information; such as the number of function invocations during runtime.Moreover; the structure of a software system is often multi-layered; while existing clusteringalgorithms often create flat system decompositions. This paper presents a softwareclustering algorithm called MULICsoft that incorporates in the clustering process both staticand dynamic information. MULICsoft produces layered clusters with the core elements ofeach cluster assigned to the top layer. We present experimental results of applyingMULICsoft to a large open-source system. Comparison with existing software clusteringalgorithms indicates that MULICsoft is able to produce decompositions that are close tothose created by system experts.,Reverse Engineering; 12th Working Conference on,2005,24
Using user access patterns for semantic query caching,Qingsong Yao; Aijun An,Abstract In this paper; we propose a solution that partly solves the selection andreplacement problems for semantic query caching. We believe that the queries submitted bya client are not random. They have certain meaning and may follow certain rules. We useuser access graphs to represent the query execution orders and propose algorithms that usesuch information for semantic query caching. Unlike the previous approaches; oursanticipates incoming queries based on the queries that have been submitted; analyzes thesemantic relationship between them; and rewrites and caches the current query to answermultiple queries. Our initial experimental result shows that our solution improves cacheperformance.,International Conference on Database and Expert Systems Applications,2003,24
Riding the tide of sentiment change: sentiment analysis with evolving online reviews,Yang Liu; Xiaohui Yu; Aijun An; Xiangji Huang,Abstract The last decade has seen a rapid growth in the volume of online reviews. A greatdeal of research has been done in the area of opinion mining; aiming at analyzing thesentiments expressed in those reviews towards products and services. Most of the suchwork focuses on mining opinions from a collection of reviews posted during a particularperiod; and does not consider the change in sentiments when the collection of reviewsevolve over time. In this paper; we fill in this gap; and study the problem of developingadaptive sentiment analysis models for online reviews. Given the success of latent semanticmodeling techniques; we propose two adaptive methods to capture the evolving sentiments.As a case study; we also investigate the possibility of using the extracted adaptive patternsfor sales prediction. Our proposal is evaluated on an IMDB dataset consisting of reviews …,World Wide Web,2013,23
Hierarchical density-based clustering of categorical data and a simplification,Bill Andreopoulos; Aijun An; Xiaogang Wang,Abstract A challenge involved in applying density-based clustering to categorical datasets isthat the 'cube'of attribute values has no ordering defined. We propose the HIERDENCalgorithm for hierarchical density-based clustering of categorical data. HIERDENC offers abasis for designing simpler clustering algorithms that balance the tradeoff of accuracy andspeed. The characteristics of HIERDENC include:(i) it builds a hierarchy representing theunderlying cluster structure of the categorical dataset;(ii) it minimizes the user-specified inputparameters;(iii) it is insensitive to the order of object input;(iv) it can handle outliers. Weevaluate HIERDENC on small-dimensional standard categorical datasets; on which itproduces more accurate results than other algorithms. We present a faster simplification ofHIERDENC called the MULIC algorithm. MULIC performs better than subspace clustering …,Pacific-Asia Conference on Knowledge Discovery and Data Mining,2007,23
Applying language modeling to session identification from database trace logs,Xiangji Huang; Qingsong Yao; Aijun An,Abstract A database session is a sequence of requests presented to the database system bya user or an application to achieve a certain task. Session identification is an important stepin discovering useful patterns from database trace logs. The discovered patterns can beused to improve the performance of database systems by prefetching predicted queries;rewriting the current query or conducting effective cache replacement. In this paper; wepresent an application of a new session identification method based on statistical languagemodeling to database trace logs. Several problems of the language modeling based methodare revealed in the application; which include how to select values for the parameters of thelanguage model; how to evaluate the accuracy of the session identification result and how tolearn a language model without well-labeled training data. All of these issues are …,Knowledge and information systems,2006,23
Bi-level clustering of mixed categorical and numerical biomedical data,Bill Andreopoulos; Aijun An; Xiaogang Wang,Biomedical data sets often have mixed categorical and numerical types; where the formerrepresent semantic information on the objects and the latter represent experimental results.We present the BILCOM algorithm for'Bi-Level Clustering of Mixed categorical andnumerical data types'. BILCOM performs a pseudo-Bayesian process; where the prior iscategorical clustering. BILCOM partitions biomedical data sets of mixed types; such ashepatitis; thyroid disease and yeast gene expression data with Gene Ontology annotations;more accurately than if using one type alone.,International Journal of Data Mining and Bioinformatics,2006,23
Representing UML snowflake diagram from integrating XML data using XML schema,Yu Li; Aijun An,We present a UML conceptual-level integration framework for supporting OLAP operationson diverse XML data sources. Our integration framework takes advantage of the constructsand relationships existing within XML schemas. Two processes are involved in ourintegration framework. The first one is to convert XML schemas into UML class diagrams.The second is to build a multidimensional model from the UML class diagrams. This paperfocuses on the issues in the second process. We describe how to represent amultidimensional model using a UML snowflake diagram and how to represent the UMLsnow/lake diagram using XML schemas. Our advanced XML schema-based representationof a multidimensional model is used as metadata in our prototype system for processingOLAP queries. It elegantly holds the information within a UML snowflake diagram such as …,Data Engineering Issues in E-Commerce; 2005. Proceedings. International Workshop on,2005,23
Unsupervised clustering of Web sessions to detect malicious and non-malicious website users,Dusan Stevanovic; Natalija Vlajic; Aijun An,Abstract Denial of Service (DoS) attacks are recognized as one of the most damagingattacks on the Internet security today. Recently; malicious web crawlers have been used toexecute automated DoS attacks on web sites across the WWW. In this study; we examine theuse of two unsupervised neural network (NN) learning algorithms for the purpose web-loganalysis: the Self-Organizing Map (SOM) and Modified Adaptive Resonance Theory 2(Modified ART2). In particular; through the use of SOM and Modified ART2; our work aims toobtain a better insight into the types and distribution of visitors to a public web-site based ontheir link-traversal behaviour; as well as to investigate the relative differences and/orsimilarities between malicious web crawlers and other non-malicious visitor groups. Theresults of our study show that; even though there is a pretty clear separation between …,Procedia Computer Science,2011,22
A quality-aware model for sales prediction using reviews,Xiaohui Yu; Yang Liu; Xiangji Huang; Aijun An,Abstract Writing and publishing reviews online has become an increasingly popular way forpeople to express opinions and sentiments. Analyzing the large volume of online reviewsavailable can produce useful knowledge that are of interest to vendors and other parties.Prior studies in the literature have shown that online reviews have a significant correlationwith the sales of products; and therefore mining the reviews could help predict the salesperformance of relevant products. However; those studies fail to consider one importantfactor that may significantly affect the accuracy of the prediction; ie; the quality of the reviews.In this paper; we propose a regression model that explicitly takes into account the qualityfactor; and discusses how this quality information can be predicted when it is not readilyavailable. Experimental results on a movie review dataset confirm the effectiveness of the …,Proceedings of the 19th international conference on World wide web,2010,22
