Lipid-like material as the source of the uncharacterized organic carbon in the ocean?,Jeomshik Hwang; Ellen RM Druffel,The composition and formation mechanisms of the uncharacterized fraction of oceanicparticulate organic carbon (POC) are not well understood. We isolated biologically importantcompound classes and the acid-insoluble fraction; a proxy of the uncharacterized fraction;from sinking POC in the deep Northeast Pacific and measured carbon isotope ratios toconstrain the source (s) of the uncharacterized fraction. Stable carbon and radiocarbonisotope signatures of the acid-insoluble fraction were similar to those of the lipid fraction;implying that the acid-insoluble fraction might be composed of selectively accumulated lipid-like macromolecules.,Science,2003,72
Temporal variability of Δ14C; δ13C; and C/N in sinking particulate organic matter at a deep time series station in the northeast Pacific Ocean,Jeomshik Hwang; Ellen RM Druffel; Sheila Griffin; Kenneth L Smith; Roberta J Baldwin; James E Bauer,Abstract [1] A 6-year time series of Δ 14 C; δ 13 C; and C/N measurements in deep sinkingparticulate organic matter (POM) is presented for an abyssal site; Station M in the northeastPacific Ocean. The Δ 14 C values revealed that sinking POM at 3450 m depth (650 m abovebottom) contained old carbon despite its presumed short transit time in the water column.The isotopic and chemical properties of the sinking POM varied with time and appear to becontrolled by more than one major process. In 1993; 1994; and late 1996; isotopicsignatures and C/N molar ratios indicate negligible or vertically homogeneous influence ofresuspended particles from the bottom or particles laterally transported from the margin tothe study site. However; during early 1995 and 1998; Δ 14 C values were lower than thoseduring other periods and C/N values at three deep depths were not equal; indicating that …,Global biogeochemical cycles,2004,21
Variability of monthly radiocarbon during the 1760s in corals from the Galapagos Islands,Ellen RM Druffel; Sheila Griffin; Jeomshik Hwang; Tomoko Komada; Steven R Beaupre; Kevin C Druffel-Rodriguez; Guaciara M Santos; John Southon,Abstract Radiocarbon (Δ 14 C) measurements of monthly samples from a Galapagossurface coral are among the first data sets from the new Keck Carbon Cycle AcceleratorMass Spectrometry laboratory at the University of California; Irvine. An average Δ 14 C valueof− 62 is obtained for 144 measurements of samples from monthly coral bands that livedfrom about AD 1760–1771 (±6 yr). High Δ 14 C values were found during January throughMarch; when upwelling was weak or absent at the Galapagos Islands. Low Δ 14 C valueswere obtained mid-year during strong upwelling. The average seasonal variability of Δ 14 Cwas 15–25; which is greater than that at other tropical and subtropical locations in the PacificOcean because of intense seasonal upwelling at this site. Periods of sustained high Δ 14 Cvalues were found during 1762–1763 and 1766. A spectral analysis revealed that the …,Radiocarbon,2004,21
Penetration of anthropogenic carbon into organic particles of the deep ocean,Ellen RM Druffel; James E Bauer; Sheila Griffin; Jeomshik Hwang,Abstract [1] In the late 1980s; bomb 14 C was present in suspended particulate organiccarbon (POC) from the North Central Pacific (NCP) and Sargasso Sea (SS) throughout mostof the water column; demonstrating that deep POC had exchanged with atmospheric CO 2 inthe past 30 years. Upon reoccupation of these sites in 1999 and 2000; respectively; weobserved that the δ 13 C values of suspended POC were lower than those measured adecade earlier. This demonstrates that anthropogenic CO 2 from fossil fuel and biomassburning has penetrated a major organic matter pool in the deep ocean. Δ 14 C measured inthe suspended POC showed similar or higher values in the deep Sargasso Sea anddecreased values in the deep NCP compared to those measured previously. We use a boxmodel to show that the differences in the radiocarbon results are likely due to the …,Geophysical research letters,2003,17
The air-sea exchange of CO2 in the East Sea (Japan Sea),Dong-Chan Oh; Mi-Kyung Park; Sang-Hwa Choi; Dong-Jin Kang; Sun Young Park; Jeom Shik Hwang; Andrey Andreev; Gi Hoon Hong; Kyung-Ryul Kim,Abstract During CREAMS expeditions; f CO 2 for surface waters was measured continuouslyalong the cruise tracks. The f CO 2 in surface waters in summer varied in the range 320–440µatm; showing moderate supersaturation with respect to atmospheric CO 2. In winter;however; f CO 2 showed under-saturation of CO 2 in most of the area; while varying in amuch wider range from 180 to 520 µatm. Some very high f CO 2 values observed in thenorthern East Sea (Japan Sea) appeared to be associated with the intensive convectionsystem developed in the area. A gas-exchange model was developed for describing theannual variation of f CO 2 and for estimating the annual flux of CO 2 at the air-sea interface.The model incorporated annual variations in SST; the thickness of the mixed layer; gasexchange associated with wind velocity; biological activity and atmospheric concentration …,Journal of oceanography,1999,16
Source (s) and cycling of the nonhydrolyzable organic fraction of oceanic particles,Jeomshik Hwang; Ellen RM Druffel; Timothy I Eglinton; Daniel J Repeta,Abstract A major fraction of particulate organic carbon (POC) in the deep ocean remainsmolecularly uncharacterized. In an effort to determine the chemical characteristics andsource (s) of sinking POC; we studied a nonhydrolyzable fraction of sinking POC using 13 CNMR (nuclear magnetic resonance) spectroscopy and analytical pyrolysis. 13 C NMRspectra and products from analytical pyrolysis of the nonhydrolyzable fraction exhibit astrongly aliphatic character that is distinct from that of bulk POC. The aliphatic nature of thisfraction is consistent with its low stable carbon isotope values. We hypothesize that thenonhydrolyzable fraction derives to a significant extent from a refractory component oforganisms that selectively accumulates; resulting in its manifestation as a major part of POCsinking to the deep ocean and in underlying sediments.,Geochimica et cosmochimica acta,2006,14
Dynamics of particle export on the Northwest Atlantic margin,Jeomshik Hwang; Steven J Manganini; Daniel B Montluçon; Timothy I Eglinton,Abstract The Northwest Atlantic margin is characterized by high biological productivity inshelf and slope surface waters. In addition to carbon supply to underlying sediments; thepersistent; intermediate depth nepheloid layers emanating from the continental shelves; andbottom nepheloid layers maintained by strong bottom currents associated with thesouthward flowing Deep Western Boundary Current (DWBC); provide conduits for export oforganic carbon over the margin and/or to the interior ocean. As a part of a project tounderstand dynamics of particulate organic carbon (POC) cycling in this region; weexamined the bulk and molecular properties of time-series sediment trap samples obtainedat 968 m; 1976 m; and 2938 m depths from a bottom-tethered mooring on the New Englandslope (water depth; 2988 m). Frequent occurrences of higher fluxes in deep relative to …,Deep Sea Research Part I: Oceanographic Research Papers,2009,12
Dissolved inorganic radiocarbon in the North Pacific Ocean and Sargasso Sea,Ellen RM Druffel; James E Bauer; Sheila Griffin; Steven R Beaupré; Jeomshik Hwang,Abstract We present radiocarbon measurements of dissolved inorganic carbon (DIC) indepth profiles from reoccupations of our central North Pacific Ocean and Sargasso Sea (SS)sites. From 1985 to 1999; an increase in Δ 14 C values of 6–17‰ was measured between1150 and 2400 m depth in the North Central Pacific. Natural changes in deep circulation arelikely responsible for variability of Δ 14 C signatures in the deep ocean; though we cannotrule out the presence of bomb 14 C at this depth range. Bomb 14 C had increased in thedeep SS from 1989 to 2000; this is the result of southward transport of North Atlantic DeepWater (NADW) to this site.,Deep Sea Research Part I: Oceanographic Research Papers,2008,12
Molecular and isotopic constraints on the sources of suspended particulate organic carbon on the northwestern Atlantic margin,Jeomshik Hwang; Daniel Montluçon; Timothy I Eglinton,Abstract The abundance; carbon isotopic composition (Δ 14 C and δ 13 C); and lipidbiomarker (alkenones and saturated fatty acids) distributions of suspended particulateorganic matter were investigated at three stations centered on the 2000; 3000; and 3500 misobaths over the New England slope in order to assess particulate carbon sources anddynamics in this highly productive and energetic region. Transmissometry profiles revealthat particle abundances exhibit considerable fine structure; with several distinct layers ofelevated suspended particulate matter concentration at intermediate water depths inaddition to the presence of a thick bottom nepheloid layer at each station. Excluding surfacewater samples; the Δ 14 C values of particulate organic carbon (POC) indicated thepresence of a pre-aged component in the suspended POC pool (Δ 14 C<+ 38‰). The Δ …,Deep Sea Research Part I: Oceanographic Research Papers,2009,10
Biomagnification of persistent chlorinated and brominated contaminants in food web components of the Yellow Sea,Gyo-Hyuk Byun; Hyo-Bang Moon; Jung-Hwa Choi; Jeomshik Hwang; Chang-Keun Kang,Abstract Concentrations of polychlorinated biphenyls (PCBs); organochlorine pesticides(OCPs); and polybrominated diphenyl ethers (PBDEs) were measured in 32 speciesinhabiting the Yellow Sea to assess their bioaccumulation potentials. The concentrations inthese samples were lower than those reported for other countries or locations. Relativelyhigh levels of BDE 209 in biota suggest an ongoing source of deca-BDE technical mixingwithin the Yellow Sea. The accumulation profiles of PCBs were uniform between species;but the concentrations of OCPs and PBDEs varied widely. Pelagic and benthic food-chaincomponents were separated by their δ 13 C values. Significant positive correlationsbetween δ 15 N and PCB 153; PCB 138; p; p′-DDE; oxy-chlordane; and trans-nonachlordane were found only for pelagic consumers; indicating that the pelagic food …,Marine pollution bulletin,2013,9
Sinking particle flux in the sea ice zone of the Amundsen shelf; Antarctica,Minkyoung Kim; Jeomshik Hwang; Hyung J Kim; Dongseon Kim; Eun J Yang; Hugh W Ducklow; S La Hyoung; Sang H Lee; Jisoo Park; SangHoon Lee,Abstract We have examined the flux; biogenic composition; and isotopic values of sinkingparticles collected by a time-series sediment trap deployed in the sea ice zone (SIZ) of theAmundsen Sea from January 2011 for 1 year. The major portion of the particle flux occurredduring the austral summer in January and February when sea ice concentration wasreduced to< 60%. Biogenic components; dominated by opal (~ 78% of the biogeniccomponents); accounted for over 75% of particle flux during this high-flux period. Thedominant source of sinking particles shifted from diatoms to soft-tissued organisms;evidenced by high particulate organic carbon (POC) content (> 30%) and a low bio-Si/POCratio (< 0.5) during the austral winter. CaCO 3 content and its contribution to total particle fluxwas low (~ 6%) throughout the study period. Aged POC likely supplied from sediment …,Deep Sea Research Part I: Oceanographic Research Papers,2015,8
Summer primary productivity and phytoplankton community composition driven by different hydrographic structures in the East/Japan Sea and the Western Subarctic...,Jung Hyun Kwak; Sang Heon Lee; Jeomshik Hwang; Young‐Sang Suh; Hyun Park; Kyung‐Il Chang; Kyung‐Ryul Kim; Chang‐Keun Kang,Abstract The East/Japan Sea (EJS) is a highly productive marginal sea in the northwestPacific; consisting of three basins (Ulleung Basin: UB; Yamato Basin: YB; and Japan Basin:JB). To find causes of the reportedly high primary productivity in summer in the EJS;especially in the UB; we measured primary productivity; phytoplankton composition; andother environmental variables. The water column was strongly stratified in the EJScompared with the Western Subarctic Pacific (WSP). Integrated primary productivity was twotimes higher in the EJS (612 mg C m− 2 d− 1) than in the WSP (291 mg C m− 2 d− 1). Thevertical distributions of physicochemical and biological factors confirmed that production inthe subsurface chlorophyll maximum layer in the study regions was an important factorregulating primary productivity within the water column. While picoplankton (< 2.7 µm) …,Journal of Geophysical Research: Oceans,2014,8
Temporal and spatial variability of particle transport in the deep Arctic Canada Basin,Jeomshik Hwang; Minkyoung Kim; Steven J Manganini; Cameron P McIntyre; Negar Haghipour; JongJin Park; Richard A Krishfield; Robie W Macdonald; Fiona A McLaughlin; Timothy I Eglinton,Abstract To better understand the current carbon cycle and potentially detect its change inthe rapidly changing Arctic Ocean; we examined sinking particles collected quasi-continuously over a period of 7 years (2004–2011) by bottom-tethered sediment trapmoorings in the central Canada Basin. Total mass flux was very low (< 100 mg m− 2 d− 1) atall sites and was temporally decoupled from the cycle of primary production in surfacewaters. Extremely low radiocarbon contents of particulate organic carbon and highaluminum contents in sinking particles reveal high contributions of resuspended sediment tototal sinking particle flux in the deep Canada Basin. Station A (75 N; 150 W) in the southwestquadrant of the Canada Basin is most strongly influenced while Station C (77 N; 140 W) inthe northeast quadrant is least influenced by lateral particle supply based on radiocarbon …,Journal of Geophysical Research: Oceans,2015,5
Alkenones as tracers of surface ocean temperature and biological pump processes on the Northwest Atlantic margin,Jeomshik Hwang; Minkyoung Kim; JongJin Park; Steven J Manganini; Daniel B Montluçon; Timothy I Eglinton,Abstract We have examined alkenone distributions; specifically the temperature proxy U 37K′; in sinking particulate organic matter (POM) intercepted at three depths by time-seriessediment traps deployed between 2004 and 2007 on the Northwest Atlantic margin. Thegoal was to assess physical and biogeochemical processes acting upon alkenones duringpassage through the water column. U 37 K′ did not exhibit any systematic trend withincreasing depth despite several-fold attenuation in alkenone flux. Because of the extensivereduction in C 37 alkenone flux in the water column and more efficient alkenonedegradation during the period of high alkenone flux; the temperature bias toward that ofmore productive seasons was reduced with increasing trap depth. The temporal variation ofU 37 K′ and alkenone-derived temperature compared best with the satellite-derived …,Deep Sea Research Part I: Oceanographic Research Papers,2014,5
Variability of dissolved inorganic radiocarbon at a surface site in the Northeast Pacific Ocean,Ellen RM Druffel; Steven Beaupré; Sheila Griffin; Jeomshik Hwang,Abstract We report radiocarbon measurements of dissolved inorganic carbon (DIC) insurface water samples collected daily during 12 cruises to Station M in the northeast Pacificoff central California. Individual surface Δ 14 C values ranged from 22‰ to 70‰ over 10 yr.Variability of average cruise values is highest during winter likely due to increased mixing. Ageneral decrease of Δ 14 C values was observed at a rate of about 3‰ per year between1994 and 2004; about half of that in atmospheric CO 2 during this period (Levin and Kromer2004). The Δ 14 C results ranged from 2–18‰ during individual cruises and were oftensignificantly larger than the total uncertainty for individual measurements (±3.9‰). Thisindicates that a single Δ 14 C result from a surface site is not sufficient to capture the truevariability of Δ 14 C in the surface ocean.,Radiocarbon,2010,4
Sedimentation of particulate organic carbon on the Amundsen Shelf; Antarctica,Minkyoung Kim; Jeomshik Hwang; Sang H Lee; Hyung J Kim; Dongseon Kim; Eun J Yang; SangHoon Lee,Abstract We examined the recent history of sedimentary organic carbon (SOC) accumulationon the western Amundsen Shelf; to help characterize the biological carbon pump in theAmundsen Sea; Antarctica. Vertical sedimentary profiles (in the upper 21-cm) of SOCcontent; radio-and stable-carbon isotopes were obtained at four locations in the westernAmundsen Sea: near the shelf break; inside the polynya near the Dotson Ice Shelf; and atboth the periphery and the center of the Amundsen Sea polynya. Profiles wererepresentative not only of various distances from the coast; but also of various summertimesea ice conditions and bottom depths. The SOC content (up to 1.1%) and the radiocarboncontent were distinctly higher at the periphery and at the center of the polynya than at theother sites. The SOC and 14 C contents were generally consistent with the spatial …,Deep Sea Research Part II: Topical Studies in Oceanography,2016,3
Carbon isotope ratios of organic compound fractions in oceanic suspended particles,Jeomshik Hwang; Ellen RM Druffel,Abstract [1] To study cycling of organic fractions in the ocean; relative abundances and radio-and stable-carbon isotope measurements of total lipid extract; acid-soluble; and acid-insoluble fractions of suspended particulate organic carbon (POC) were made. Changes inrelative abundances occurred mostly in the upper 1000 m of the water column; with adecrease in total lipid extract and the acid-soluble fraction and an increase in the acid-insoluble fraction with increasing depth. We found lower Δ 14 C values for total lipid extractand the acid-insoluble fraction than for the acid-soluble fraction; which is consistent with theprevious suggestion of incorporation of dissolved organic carbon and/or resuspendedsediment to POC (Druffel and Williams; 1990; Sherrell et al.; 1998). The Δ 14 C values ofthese fractions in a given organic carbon pool must be understood in terms of acquisition …,Geophysical research letters,2006,3
Biogeochemical properties of sinking particles in the southwestern part of the East Sea (Japan Sea),Minkyoung Kim; Jeomshik Hwang; TaeKeun Rho; Tongsup Lee; Dong-Jin Kang; Kyung-Il Chang; Suyun Noh; HuiTae Joo; Jung Hyun Kwak; Chang-Keun Kang; Kyung-Ryul Kim,Abstract This study investigates the biological pump system in the East Sea (Japan Sea) byconducting an analysis of the total particle flux; biogenic material composition; and carbonisotope ratios of sinking particles. The samples were collected for one year starting fromMarch 2011 using time-series sediment traps deployed at depths of 1040 m and 2280 m onbottom-tethered mooring at Station EC1 (37.33° N; 131.45° E; 2300 m water depth) in theUlleung Basin (UB); southwestern part of the East Sea. The temporal variation in theparticulate organic carbon (POC) flux at 1000 m shows a good relationship with the primaryproduction in the corresponding surface water. The ratio of POC flux at 1000 m to satellite-based primary production in the corresponding region in the UB was~ 3%; which iscomparable to the values of 2 to 5% estimated from previous studies of other part of the …,Journal of Marine Systems,2017,2
Evaluation of resuspended sediments to sinking particles by benthic disturbance in the Clarion-Clipperton nodule fields,Hyung Jeek Kim; Dongseon Kim; Kiseong Hyeong; Jeomshik Hwang; Chan Min Yoo; Dong Jin Ham; Inah Seo,The geochemical properties of sinking particles and sediments in the Clarion-ClippertonZone were examined to develop a quantitative indicator with which to evaluate thecontribution of sediment resuspended by nodule mining activity to sinking particles. The ratioof lithogenic material to organic carbon varies from∼ 3 in sinking particles to∼ 211 insediments. This ratio is easily measured and is not easily affected by degradation and/ordissolution in the water column. A mixing model indicates that the ratio may be used as apotential proxy for estimating the contribution of resuspended sediment derived from miningoperations to sinking particles.,Marine Georesources & Geotechnology,2015,2
Molecular and isotopic insights into particulate organic carbon sources and dynamics in Jordan Basin; Gulf of Maine,Jeomshik Hwang; Daniel B Montluçon; Cynthia H Pilskaln; Timothy I Eglinton,Abstract The carbon isotope and lipid biomarker composition of suspended particles andsurface sediment was measured to examine the impact of sediment supply; redistributionand post-depositional alteration processes on organic matter cycling in the Gulf of Maine; asemi-enclosed shelf sea in the northwest Atlantic. A beam attenuation profile revealed a> 50m-thick benthic nepheloid layer (BNL) in the Jordan Basin at the time of sampling (April2006). The relatively low radiocarbon content of suspended particulate organic carbon(POC) in the BNL indicates that up to 82% of the POC in this layer was supplied fromresuspension of sediment. The concentration of alkenones normalized to POC increasedwith increasing depth in the water column and was highest in the surface sediment. Incontrast to these markers of surface ocean photoautotrophy; the vertical profiles for the …,Continental Shelf Research,2013,2
Sedimentary rocks as sources of ancient organic carbon to the ocean: an investigation through∆ 14C and δ13C signatures of compound classes,T Komada; E Druffel; J Hwang,*,Global Biogeochemical Cycles,2005,2
Flux and stable C and N isotope composition of sinking particles in the Ulleung Basin of the East/Japan Sea,Jung Hyun Kwak; Eunah Han; Jeomshik Hwang; Young II Kim; Chung Il Lee; Chang-Keun Kang,Abstract Seasonal variability of sinking fluxes of total mass (TMF); particulate organic carbonand nitrogen (POC and PON) was examined using sinking particles collected from sedimenttraps during July 2011 to December 2011; and December 2012 to June 2013 at an offshorechannel site; and from November 2013 to August 2014 at a nearshore slope site of theUlleung Basin in the East/Japan Sea. δ 13 C and δ 15 N values of sinking particles weremeasured to elucidate the major export processes of POC and PON. Annual TMF (112–638gm− 2 yr− 1) and fluxes of POC and PON (9.6–32.1 g C m–2 yr–1 and 1.2–4.5 g N m− 2 yr−1; respectively) in the Ulleung Basin corresponded to the upper limit of values reported forother open seas and oceans in the world. No great seasonal variability in both quantitative(TMF; and fluxes and contents of POC and PON) and qualitative (C/N ratios; and δ 13 C …,Deep Sea Research Part II: Topical Studies in Oceanography,2017,1
Natural and Anthropogenic Carbon Cycling,Il-Nam Kim; Kitack Lee; Jeomshik Hwang,Abstract The East Sea (Japan Sea) is experiencing changes in water temperature; oxygencontent; and deep water circulation pattern. These changes; in turn; have affected and willcontinue to affect carbon cycling in the East Sea; directly and indirectly. As the physicaldynamics of the East Sea resembles that of the open ocean; studying inorganic and organiccarbon cycling in the East Sea may improve our understanding of global carbon cycling; andconsequently enable us to predict more accurately the response of the carbon cycle toglobal climate change. In our review of inorganic carbon cycling; we focus on the uptake ofanthropogenic carbon by the East Sea and the shoaling of the saturation depths of thearagonite and calcite caused by acidification. The saturation depths for aragonite and calcitein the East Sea have shoaled by about 80–220 and 500–700 m; respectively; compared …,*,2016,1
Evidence of minimal carbon sequestration in the productive Amundsen Sea polynya,SangHoon Lee; Jeomshik Hwang; Hugh W Ducklow; Doshik Hahm; Sang H Lee; Dongseon Kim; Jung‐Ho Hyun; Jisoo Park; Ho K Ha; Tae‐Wan Kim; Eun J Yang; Hyoung C Shin,Abstract The Amundsen Sea polynya (ASP) is reportedly the most productive among thecoastal polynyas around Antarctica. However; observational constraints limit ourunderstanding of the biological pump and carbon cycle in the ASP. We measured variouscarbon-related parameters such as primary production; bacterial production; sinking flux ofparticulate organic carbon (POC); and accumulation of organic carbon in the sediment aswell as hydrographic parameters during field observations and by instrument moorings.Over 95% of the photosynthetically produced POC was converted to suspended POC and/ordissolved carbon forms in the upper~ 400 m layer. We postulate that most of the carbontransported to the water column by the biological pump in the ASP was flushed out of theshelf without being sequestered for long-term storage in sediments. Lack of bottom water …,Geophysical Research Letters,2017,*
