Protecting respondents identities in microdata release,Pierangela Samarati,Today's globally networked society places great demands on the dissemination and sharingof information. While in the past released information was mostly in tabular and statisticalform; many situations call for the release of specific data (microdata). In order to protect theanonymity of the entities (called respondents) to which information refers; data holders oftenremove or encrypt explicit identifiers such as names; addresses; and phone numbers.Deidentifying data; however; provides no guarantee of anonymity. Released informationoften contains other data; such as race; birth date; sex; and ZIP code; that can be linked topublicly available information to reidentify respondents and inferring information that was notintended for disclosure. In this paper we address the problem of releasing microdata whilesafeguarding the anonymity of respondents to which the data refer. The approach is …,IEEE transactions on Knowledge and Data Engineering,2001,2076
A modular approach to composing access control policies,Piero Bonatti; Sabrina De Capitani di Vimercati; Pierangela Samarati,ABSTRACT Despite considerable advancements in the area of access control andauthorization languages; current approaches to enforcing access control are all based onmonolithic and complete specifications. This results limiting when restrictions to be enforcedcome from different input requirements; possibly under the control of different authorities;and where the specifics of some requirements may not even be known a priori. Turningindividual specifications into a coherent policy to be fed into the access control systemrequires a nontrivial combination and translation process. We address the problem ofcombining authorization specifications that may be independently stated; possibly indifferent languages and according to different policies. We propose an algebra of securitypolicies together with its formal semantics and illustrate how to formulate complex policies …,Proceedings of the 7th ACM conference on Computer and communications security,2000,478
Over-encryption: management of access control evolution on outsourced data,Sabrina De Capitani di Vimercati; Sara Foresti; Sushil Jajodia; Stefano Paraboschi; Pierangela Samarati,Abstract Data outsourcing is emerging today as a successful paradigm allowing users andorganizations to exploit external services for the distribution of resources. A crucial problemto be addressed in this context concerns the enforcement of selective authorization policiesand the support of policy updates in dynamic scenarios. In this paper; we present a novelsolution to the enforcement of access control and the management of its evolution. Ourproposal is based on the application of selective encryption as a means to enforceauthorizations. Two layers of encryption are imposed on data: the inner layer is imposed bythe owner for providing initial protection; the outer layer is imposed by the server to reflectpolicy modifications. The combination of the two layers provides an efficient and robustsolution. The paper presents a model; an algorithm for the management of the two layers …,Proceedings of the 33rd international conference on Very large data bases,2007,450
Balancing confidentiality and efficiency in untrusted relational DBMSs,Ernesto Damiani; Sabrina De Capitani di Vimercati; Sushil Jajodia; Stefano Paraboschi; Pierangela Samarati,Abstract The scope and character of today's computing environments are progressivelyshifting from traditional; one-on-one client-server interaction to the new cooperativeparadigm. It then becomes of primary importance to provide means of protecting the secrecyof the information; while guaranteeing its availability to legitimate clients. Operating on-linequerying services securely on open networks is very difficult; therefore many enterprisesoutsource their data center operations to external application service providers. A promisingdirection towards prevention of unauthorized access to outsourced data is represented byencryption. However; data encryption is often supported for the sole purpose of protectingthe data in storage and assumes trust in the server; that decrypts data for query execution. Inthis paper; we present a simple yet robust single-server solution for remote querying of …,Proceedings of the 10th ACM conference on Computer and communications security,2003,428
A Unified Framework for Enforcing Multiple Access Control Policies,S Jajodia; P Samarati; V Subrahmanian; E Bertino,Abstract Although several access control policies can be devised for controlling access toinformation; all existing authorization models; and the corresponding enforcementmechanisms; are based on a specific policy (usually the closed policy). As a consequence;although different policy choices are possible in theory; in practice only a specific policy canbe actually applied within a given system. However; protection requirements within a systemcan vary dramatically; and no single policy may simultaneously satisfy them all. In this paperwe present a flexible authorization manager (FAM) that can enforce multiple access controlpolicies within a single; unified system. FAM is based on a language through which userscan specify authorizations and access control policies to be applied in controlling executionof specific actions on given objects. We formally define the language and properties …,Proc. of ACM SIGMOD Conference,1997,402
Securing XML documents,Ernesto Damiani; Sabrina De Capitani di Vimercati; Stefano Paraboschi; Pierangela Samarati,Abstract Web-based applications greatly increase information availability and ease ofaccess; which is optimal for public information. The distribution and sharing by the Web ofinformation that must be accessed in a selective way requires the definition and enforcementof security controls; ensuring that information will be accessible only to authorized entities.Approaches proposed to this end level; independently from the semantics of the data to beprotected and for this reason result limited. The eXtensible Markup Language (XML); amarkup language promoted by the World Wide Web Consortium (W3C); represents animportant opportunity to solve this problem. We present an access control model to protectinformation distributed on the Web that; by exploiting XML's own capabilities; allows thedefinition and enforcement of access restrictions directly on the structure and content of …,*,2000,340
An access control model supporting periodicity constraints and temporal reasoning,Elisa Bertino; Claudio Bettini; Elena Ferrari; Pierangela Samarati,Abstract Access control models; such as the ones supported by commercial DBMSs; are notyet able to fully meet many application needs. An important requirement derives from thetemporal dimension that permissions have in many real-world situations. Permissions areoften limited in time or may hold only for specific periods of time. In this article; we present anaccess control model in which periodic temporal intervals are associated withauthorizations. An authorization is automatically granted in the specified intervals andrevoked when such intervals expire. Deductive temporal rules with periodicity and orderconstraints are provided to derive new authorizations based on the presence or absence ofother authorizations in specific periods of time. We provide a solution to the problem ofensuring the uniqueness of the global set of valid authorizations derivable at each instant …,ACM Transactions on Database Systems (TODS),1998,297
k-anonymity,VALENTINA Ciriani; S De Capitani di Vimercati; S Foresti; P Samarati,*,Secure Data Management in Decentralized Systems,2007,288
Location privacy protection through obfuscation-based techniques,Claudio Agostino Ardagna; Marco Cremonini; Ernesto Damiani; Sabrina De Capitani di Vimercati; Pierangela Samarati,Abstract The widespread adoption of mobile communication devices combined withtechnical improvements of location technologies are fostering the development of a newwave of applications that manage physical positions of individuals to offer location-basedservices for business; social or informational purposes. As an effect of such innovativeservices; however; privacy concerns are increasing; calling for more sophisticated solutionsfor providing users with different and manageable levels of privacy. In this work; we proposea way to express users privacy preferences on location information in a straightforward andintuitive way. Then; based on such location privacy preferences; we discuss a new solution;based on obfuscation techniques; which permits us to achieve; and quantitatively estimatethrough a metric; different degrees of location privacy.,*,2007,284
Managing and sharing servents' reputations in P2P systems,Ernesto Damiani; Sabrina De Capitani di Vimercati; Stefano Paraboschi; Pierangela Samarati,Peer-to-peer information sharing environments are increasingly gaining acceptance on theInternet as they provide an infrastructure in which the desired information can be locatedand downloaded while preserving the anonymity of both requestors and providers. As recentexperience with P2P environments such as Gnutella shows; anonymity opens the door topossible misuses and abuses by resource providers exploiting the network as a way tospread tampered-with resources; including malicious programs; such as Trojan Horses andviruses. We propose an approach to P2P security where servants can keep track; and sharewith others; information about the reputation of their peers. Reputation sharing is based on adistributed polling algorithm by which resource requestors can assess the reliability ofperspective providers before initiating the download. The approach complements existing …,Knowledge and Data Engineering; IEEE Transactions on,2003,271
A uniform framework for regulating service access and information release on the web,Piero A Bonatti; Pierangela Samarati,Abstract The widespread use of Internet-based services is increasing the amount ofinformation (such as user profiles) that clients are required to disclose. This informationdemand is necessary for regulating access to services; and functionally convenient (eg; tosupport service customization); but it has raised privacy-related concerns which; if notaddressed; may affect the users disposition to use network services. At the same time;servers need to regulate service access without disclosing entirely the details of their accesscontrol policy. There is therefore a pressing need for privacy-aware techniques to regulateaccess to services open to the network.,Journal of Computer Security,2002,266
Regulating service access and information release on the web,Piero Bonatti; Pierangela Samarati,ABSTRACT The widespread use of Internet-based services is increasing the amount ofinformation (such as user profiles) that clients are required to disclose. This informationdemand is necessary for regulating access to services; and functionally convenient (eg; tosupport service customization); but it has raised privacy-related concerns which; if notaddressed; may affect the users disposition to use network services. At the same time;servers need to regulate service access without disclosing entirely the details of their accesscontrol policy. There is therefore a pressing need for privacy-aware techniques to regulateaccess to services open to the network. We propose an approach for regulating serviceaccess and information disclosure on the Web. The approach consists of a uniform formalframework to formulate—and reason about—both service access and information …,Proceedings of the 7th ACM conference on Computer and communications security,2000,263
Microdata protection,V Ciriani; De Capitani di Vimercati; S S Foresti; P Samarati,Abstract The increased power and interconnectivity of computer systems available todayprovide the ability of storing and processing large amounts of data; resulting in networkedinformation accessible from anywhere at any time. This information sharing anddissemination process is clearly selective. Indeed; if on the one hand there is a need todisseminate some data; there is on the other hand an equally strong need to protect thosedata that; for various reasons; should not be disclosed. Consider; for example; the case of aprivate organization making available various data regarding its business (products; sales;and so on); but at the same time wanting to protect more sensitive information; such as theidentity of its customers or plans for future products. As another example; governmentagencies; when releasing historical data; may require a sanitization process to “blank out” …,*,2007,255
Design and implementation of an access control processor for XML documents,Ernesto Damiani; Sabrina de Capitani di Vimercati; Stefano Paraboschi; Pierangela Samarati,Abstract More and more information is distributed in XML format; both on corporate Intranetsand on the global Net. In this paper an Access Control System for XML is described allowingfor definition and enforcement of access restrictions directly on the structure and content ofXML documents; thus providing a simple and effective way for users to protect information atthe same granularity level provided by the language itself.,Computer Networks,2000,244
Combining fragmentation and encryption to protect privacy in data storage,Valentina Ciriani; Sabrina De Capitani Di Vimercati; Sara Foresti; Sushil Jajodia; Stefano Paraboschi; Pierangela Samarati,Abstract The impact of privacy requirements in the development of modern applications isincreasing very quickly. Many commercial and legal regulations are driving the need todevelop reliable solutions for protecting sensitive information whenever it is stored;processed; or communicated to external parties. To this purpose; encryption techniques arecurrently used in many scenarios where data protection is required since they provide alayer of protection against the disclosure of personal information; which safeguardscompanies from the costs that may arise from exposing their data to privacy breaches.However; dealing with encrypted data may make query processing more expensive. In thisarticle; we address these issues by proposing a solution to enforce the privacy of datacollections that combines data fragmentation with encryption. We model privacy …,ACM Transactions on Information and System Security (TISSEC),2010,193
Authentication; access control; and audit,P Samarati; R Sandhu,*,ACM Computing Surveys,1996,189
Supporting location-based conditions in access control policies,Claudio A Ardagna; Marco Cremonini; Ernesto Damiani; Sabrina De Capitani di Vimercati; Pierangela Samarati,Abstract Location-based Access Control (LBAC) techniques allow taking users' physicallocation into account when determining their access privileges. In this paper; we present anapproach to LBAC aimed at integrating location-based conditions along with a genericaccess control model; so that a requestor can be granted or denied access by checking herlocation as well as her credentials. Our LBAC model includes a novel way of taking intoaccount the limitations of the technology used to ascertain the location of the requester.Namely; we describe how location verification can be encapsulated as a service;representing location technologies underlying it in terms of two semantically uniform servicelevel agreement (SLA) parameters called confidence and timeout. Based on theseparameters; we present the formal definition of a number of location-based predicates …,Proceedings of the 2006 ACM Symposium on Information; computer and communications security,2006,180
An obfuscation-based approach for protecting location privacy,Claudio A Ardagna; Marco Cremonini; Sabrina De Capitani di Vimercati; Pierangela Samarati,The pervasive diffusion of mobile communication devices and the technical improvements oflocation techniques are fostering the development of new applications that use the physicalposition of users to offer location-based services for business; social; or informationalpurposes. In such a context; privacy concerns are increasing and call for sophisticatedsolutions able to guarantee different levels of location privacy to the users. In this paper; weaddress this problem and present a solution based on different obfuscation operators that;when used individually or in combination; protect the privacy of the location information ofusers. We also introduce an adversary model and provide an analysis of the proposedobfuscation operators to evaluate their robustness against adversaries aiming to reverse theobfuscation effects to retrieve a location that better approximates the location of the users …,IEEE Transactions on Dependable and Secure Computing,2011,172
A flexible authorization mechanism for relational data management systems,Elisa Bertino; Sushil Jajodia; Pierangela Samarati,Abstract In this article; we present an authorization model that can be used to express anumber of discretionary access control policies for relational data management systems.The model permits both positive and negative authorizations and supports exceptions at thesame time. The model is flexible in that the users can specify; for each authorization theygrant; whether the authorization can allow for exceptions or whether it must be stronglyobeyed. It provides authorization management for groups with exceptions at any level of thegroup hierarchy; and temporary suspension of authorizations. The model supportsownership together with decentralized administration of authorizations. Administrativeprivileges can also be restricted so that owners retain control over their tables.,ACM Transactions on Information Systems (TOIS),1999,167
An extended authorization model for relational databases,Elisa Bertino; Pierangela Samarati; Sushil Jajodia,We propose two extensions to the authorization model for relational databases definedoriginally by PG Griffiths and B. Wade (1976). The first extension concerns a new type ofrevoke operation; called noncascading revoke operation. The original model contains asingle; cascading revoke operation; meaning that when a privilege is revoked from a user; arecursive revocation takes place that deletes all authorizations granted by this user that donot have other supporting authorizations. The new type of revocation avoids the recursiverevocation of authorizations. The second extension concerns negative authorization whichpermits specification of explicit denial for a user to access an object under a particular mode.We also address the management of views and groups with respect to the proposedextensions.,IEEE Transactions on Knowledge and Data Engineering,1997,160
Supporting multiple access policies in database systems,E Bertion; S Jajodia; P Samarati,*,Procecdings 1996 IEEE Symposium on Security and Privacy,1996,159
A temporal access control mechanism for database systems,Elisa Bertino; Claudio Bettini; Elena Ferrari; Pierangela Samarati,The paper presents a discretionary access control model in which authorizations containtemporal intervals of validity. An authorization is automatically revoked when the associatedtemporal interval expires. The proposed model provides rules for the automatic derivation ofnew authorizations from those explicitly specified. Both positive and negative authorizationsare supported. A formal definition of those concepts is presented; together with the semanticinterpretation of authorizations and derivation rules as clauses of a general logic program.Issues deriving from the presence of negative authorizations are discussed. We also allownegation in rules: it is possible to derive new authorizations on the basis of the absence ofother authorizations. The presence of this type of rule may lead to the generation of differentsets of authorizations; depending on the evaluation order. An approach is presented …,IEEE Transactions on knowledge and data engineering,1996,158
Data protection in outsourcing scenarios: Issues and directions,Pierangela Samarati; Sabrina De Capitani Di Vimercati,Abstract Data outsourcing is an emerging paradigm that allows users and companies to givetheir (potentially sensitive) data to external servers that then become responsible for theirstorage; management; and dissemination. Although data outsourcing provides manybenefits; especially for parties with limited resources for managing an ever more increasingamount of data; it introduces new privacy and security concerns. In this paper we discuss themain privacy issues to be addressed in data outsourcing; ranging from data confidentiality todata utility. We then illustrate the main research directions being investigated for providingeffective data protection to data externally stored and for enabling their querying.,Proceedings of the 5th ACM Symposium on Information; Computer and Communications Security,2010,157
Fuzzy techniques for trust and reputation management in anonymous peer‐to‐peer systems,Roberto Aringhieri; Ernesto Damiani; Sabrina De Capitani di Vimercati; Stefano Paraboschi; Pierangela Samarati,Abstract Peer-to-peer (P2P) applications are rapidly gaining acceptance among users ofInternet-based services; especially because of their capability of exchanging resourceswhile preserving the anonymity of both requesters and providers. However; concerns havebeen raised about the possibility that malicious users can exploit the network to spreadtampered-with resources (eg; malicious programs and viruses). A considerable amount ofresearch has thus focused on the development of trust and reputation models in P2Pnetworks. In this article; we propose to use fuzzy techniques in the design of reputationsystems based on collecting and aggregating peers' opinions. Fuzzy techniques are used inthe evaluation and synthesis of all the opinions expressed by peers. The behavior of theproposed system is described by comparison with probabilistic approaches.,Journal of the American Society for Information Science and Technology,2006,155
P2P-based collaborative spam detection and filtering,Ernesto Damiani; S De Capitani Di Vimercati; Stefano Paraboschi; Pierangela Samarati,Spam is one of the major problems of today email systems. While many solutions have beenproposed to automatically detect and filter spam; spammers are getting more and moretechnically sophisticated and aware of internal workings of anti-spam systems; finding waysto disguise their emails to get around the different controls that can be enforced. We proposea decentralized privacy-preserving approach to spam filtering. Our solution exploits robustdigests to identify messages that are a slight variation of one another and a structured peer-to-peer architecture between mail servers to collaboratively share knowledge about spam.,Peer-to-Peer Computing; 2004. Proceedings. Proceedings. Fourth International Conference on,2004,154
Modeling and assessing inference exposure in encrypted databases,Alberto Ceselli; Ernesto Damiani; Sabrina De Capitani di Vimercati; Sushil Jajodia; Stefano Paraboschi; Pierangela Samarati,Abstract The scope and character of today's computing environments are progressivelyshifting from traditional; one-on-one client-server interaction to the new cooperativeparadigm. It then becomes of primary importance to provide means of protecting the secrecyof the information; while guaranteeing its availability to legitimate clients. Operating onlinequerying services securely on open networks is very difficult; therefore many enterprisesoutsource their data center operations to external application service providers. A promisingdirection toward prevention of unauthorized access to outsourced data is represented byencryption. However; data encryption is often supported for the sole purpose of protectingthe data in storage while allowing access to plaintext values by the server; which decryptsdata for query execution. In this paper; we present a simple yet robust single-server …,ACM Transactions on Information and System Security (TISSEC),2005,142
Encryption policies for regulating access to outsourced data,Sabrina De Capitani di Vimercati; Sara Foresti; Sushil Jajodia; Stefano Paraboschi; Pierangela Samarati,Abstract Current access control models typically assume that resources are under the strictcustody of a trusted party which monitors each access request to verify if it is compliant withthe specified access control policy. There are many scenarios where this approach isbecoming no longer adequate. Many clear trends in Web technology are creating a need forowners of sensitive information to manage access to it by legitimate users using the servicesof honest but curious third parties; that is; parties trusted with providing the required servicebut not authorized to read the actual data content. In this scenario; the data owner encryptsthe data before outsourcing and stores them at the server. Only the data owner and userswith knowledge of the key will be able to decrypt the data. Possible access authorizationsare to be enforced by the owner. In this article; we address the problem of enforcing …,ACM Transactions on Database Systems (TODS),2010,137
A data outsourcing architecture combining cryptography and access control,Sabrina De Capitani di Vimercati; Sara Foresti; Sushil Jajodia; Stefano Paraboschi; Pierangela Samarati,Abstract Data outsourcing is becoming today a successful solution that allows users andorganizations to exploit external servers for the distribution of resources. Some of the mostchallenging issues in such a scenario are the enforcement of authorization policies and thesupport of policy updates. Since a common approach for protecting the outsourced dataconsists in encrypting the data themselves; a promising approach for solving these issues isbased on the combination of access control with cryptography. This idea is in itself not new;but the problem of applying it in an outsourced architecture introduces several challenges. Inthis paper; we first illustrate the basic principles on which an architecture for combiningaccess control and cryptography can be built. We then illustrate an approach for enforcingauthorization policies and supporting dynamic authorizations; allowing policy changes …,Proceedings of the 2007 ACM workshop on Computer security architecture,2007,135
Providing security and interoperation of heterogeneous systems,Steven Dawson; Shelly Qian; Pierangela Samarati,Abstract Interoperation and information sharing among databases independently developedand maintained by different organizations is today a pressing need; if not a practice.Governmental; military; financial; medical; and private institutions are more and morerequired to become part of a distributed infrastructure and selectively share their data withother organizations. This sharing process inevitably opens the local system to newvulnerabilities and enlarges the space of possible threats to the data and resources itmaintains. As a complicating factor; in general; data sources are heterogeneous both in thedata models they adopt and in the security models by which protection requirements arestated. We present a modeling and architectural solution to the problem of providinginteroperation while preserving autonomy and security of the local sources based on the …,*,2000,128
An authorization model for a distributed hypertext system,Pierangela Samarati; Elisa Bertino; Sushil Jajodia,Digital libraries support quick and efficient access to a large number of information sourcesthat are distributed but interlinked. As the amount of information to be shared grows; theneed to restrict access only to specific users or for specific usage will surely arise. Theprotection of information in digital libraries; however; is difficult because of the peculiarity ofthe hypertext paradigm which is generally used to represent information in digital libraries;together with the fact that related data in a hypertext are often distributed at different sites.We present an authorization model for distributed hypertext systems. Our model supportsauthorizations at different granularity levels; takes into consideration different types of dataand the relationships among them; and allows administrative privileges to be delegated.,IEEE Transactions on Knowledge and Data engineering,1996,118
Fine grained access control for SOAP E-services,Ernesto Damiani; Sabrina De Capitani di Vimercati; Stefano Paraboschi; Pierangela Samarati,ABSTRACT Lightweight protocols for remote service invocation via HTTP and XML; such asSOAP; are rapidly gaining acceptance among developers of Internet-based e-services;especially because of their firewall-traversal capabilities. However; no standard techniquefor access control security is currently defined for either HTTP or SOAP itself. Concerns havebeen raised about the possibility that different SOAP applications will deal with embeddedsecurity in different ways; leading to application-dependent security holes. In this paper; wepropose an approach that relies on the XML structure of SOAP requests to support fine-grained authorizations at the level of individual XML elements and attributes that compose aSOAP call. The result is a simple; yet powerful and general; technique to enforce accessrestrictions to SOAP invocations.,Proceedings of the 10th international conference on World Wide Web,2001,113
Information flow control in object-oriented systems,Pierangela Samarati; Elisa Bertino; Alessandro Ciampichetti; Sushil Jajodia,We describe a high assurance discretionary access control model for object orientedsystems. The model not only ensures protection against Trojan horses leaking information;but provides the flexibility of discretionary access control at the same time. The basic idea ofour approach is to check all information flows among objects in the system in order to blockpossible illegal flows. An illegal flow arises when information is transmitted from one objectto another object in violation of the security policy. The interaction modes among objects aretaken into account in determining illegal flows. We consider three different interaction modesthat are standard interaction modes found in the open distributed processing models. Thepaper presents formal definitions and proof of correctness of our flow control algorithm.,IEEE Transactions on Knowledge and Data Engineering,1997,109
A privacy-aware access control system,Claudio Agostino Ardagna; Marco Cremonini; S De Capitani di Vimercati; Pierangela Samarati,Abstract The protection of privacy is an increasing concern in our networked societybecause of the growing amount of personal information that is being collected by a numberof commercial and public services. Emerging scenarios of user–service interactions in thedigital world are then pushing toward the development of powerful and flexible privacy-aware models and languages.,Journal of Computer Security,2008,107
Key management for multi-user encrypted databases,Ernesto Damiani; S De Capitani di Vimercati; Sara Foresti; Sushil Jajodia; Stefano Paraboschi; Pierangela Samarati,Abstract Database outsourcing is becoming increasingly popular introducing a newparadigm; called database-as-a-service (DAS); where an organization's database is storedat an external service provider. In such a scenario; access control is a very important issue;especially if the data owner wishes to publish her data for external use. In this paper; we firstpresent our approach for the implementation of access control through selective encryption.The focus of the paper is then the presentation of the experimental results; whichdemonstrate the applicability of our proposal.,Proceedings of the 2005 ACM workshop on Storage security and survivability,2005,107
An Open Digest-based Technique for Spam Detection.,Ernesto Damiani; Sabrina De Capitani di Vimercati; Stefano Paraboschi; Pierangela Samarati,Abstract A promising anti-spam technique consists in collecting users opinions that givenemail messages are spam and using this collective judgment to block message propagationto other users. To be effective; this strategy requires a way to identify similarity among emailmessages; even if the program used by the spammer to generate the messages may try toobfuscate their common origin. In this paper; we investigate the issues arising in the designof a digest-based spam detection mechanism; which has to satisfy many conflictingrequirements: protect message confidentiality; be public; and prove difficult or expensive tofool by obfuscation techniques that automatically introduce differences into the same basespam message. We show that an open digest function is able to satisfy the aboverequirements and contribute to the fight against spam.,ISCA PDCS,2004,105
Keep a few: Outsourcing data while maintaining confidentiality,Valentina Ciriani; Sabrina De Capitani di Vimercati; Sara Foresti; Sushil Jajodia; Stefano Paraboschi; Pierangela Samarati,Abstract We put forward a novel paradigm for preserving privacy in data outsourcing whichdeparts from encryption. The basic idea behind our proposal is to involve the owner instoring a limited portion of the data; and maintaining all data (either at the owner or atexternal servers) in the clear. We assume a relational context; where the data to beoutsourced is contained in a relational table. We then analyze how the relational table canbe fragmented; minimizing the load for the data owner. We propose several metrics andpresent a general framework capturing all of them; with a corresponding algorithm finding aheuristic solution to a family of NP-hard problems.,*,2009,104
