The genome of the model beetle and pest Tribolium castaneum,Tribolium Genome Sequencing Consortium,Abstract Tribolium castaneum is a member of the most species-rich eukaryotic order; apowerful model organism for the study of generalized insect development; and an importantpest of stored agricultural products. We describe its genome sequence here. Thisomnivorous beetle has evolved the ability to interact with a diverse chemical environment;as shown by large expansions in odorant and gustatory receptors; as well as P450 andother detoxification enzymes. Development in Tribolium is more representative of otherinsects than is Drosophila; a fact reflected in gene content and function. For example;Tribolium has retained more ancestral genes involved in cell–cell communication thanDrosophila; some being expressed in the growth zone crucial for axial elongation in short-germ development. Systemic RNA interference in T. castaneum functions differently from …,Nature,2008,909
Ultrasonic-assisted extraction of epimedin C from fresh leaves of Epimedium and extraction mechanism,Hua-Feng Zhang; Xiao-Hua Yang; Li-Dong Zhao; Ying Wang,Abstract Epimedin C is an important component of Epimedium with many beneficialfunctions to human health. In this study; the feasibility of the extraction of epimedin C fromfresh leaves of Epimedium using ultrasonic probe system was demonstrated. The highextraction yield of epimedin C was obtained under an optimum extraction condition:extraction temperature of 50° C; methanol concentration 60%(v/v); ratio of liquor to solid 30mL g− 1; and ultrasonication time 15 min. Scanning electron micrographs and transmissionelectron micrographs revealed that ultrasound could result in the disruptions of leaf tissuesand cell walls; which enhanced the mass transfer of the solvents into the leaf materials andthe soluble constituents into the solvents. Compared with traditional Soxhlet extractionmethod; ultrasonic-assisted extraction reduced extraction time; extraction temperature …,Innovative food science & emerging technologies,2009,114
Cost-based variable-length-gram selection for string collections to support approximate queries efficiently,Xiaochun Yang; Bin Wang; Chen Li,Abstract Approximate queries on a collection of strings are important in many applicationssuch as record linkage; spell checking; and Web search; where inconsistencies and errorsexist in data as well as queries. Several existing algorithms use the concept of" grams;"which are substrings of strings used as signatures for the strings to build index structures. Arecently proposed technique; called VGRAM; improves the performance of these algorithmsby using a carefully chosen dictionary of variable-length grams based on their requencies inthe string collection. Since an index structure using fixed-length grams can be viewed as aspecial case of VGRAM; a fundamental problem arises naturally: what is the relationshipbetween the gram dictionary and the performance of queries? We study this problem in thispaper. We propose a dynamic programming algorithm for computing a tight lower bound …,Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,111
Targeting the tumor microenvironment with interferon-β bridges innate and adaptive immune responses,Xuanming Yang; Xunmin Zhang; May Lynne Fu; Ralph R Weichselbaum; Thomas F Gajewski; Yajun Guo; Yang-Xin Fu,Summary Antibodies (Abs) that preferentially target oncogenic receptors have beenincreasingly used for cancer therapy; but tumors often acquire intrinsic Ab resistance afterprolonged and costly treatment. Herein we armed the Ab with IFNβ and observed that it ismore potent than the first generation of Ab for controlling Ab-resistant tumors. This strategycontrols Ab resistance by rebridging suppressed innate and adaptive immunity in the tumormicroenvironment. Mechanistically; Ab-IFNβ therapy primarily and directly targetsintratumoral dendritic cells; which reactivate CTL by increasing antigen cross-presentationwithin the tumor microenvironment. Additionally; blocking PD-L1; which is induced by Ab-IFNβ treatment; overcomes treatment-acquired resistance and completely eradicatesestablished tumors. This study establishes a next-generation Ab-based immunotherapy …,Cancer cell,2014,110
Magnetic chitosan nanoparticles as a drug delivery system for targeting photodynamic therapy,Yun Sun; Zhi-long Chen; Xiao-xia Yang; Peng Huang; Xin-ping Zhou; Xiao-xia Du,Abstract Photodynamic therapy (PDT) has become an increasingly recognized alternative tocancer treatment in clinic. However; PDT therapy agents; namely photosensitizer (PS); arelimited in application as a result of prolonged cutaneous photosensitivity; poor watersolubility and inadequate selectivity; which are encountered by numerous chemicaltherapies. Magnetic chitosan nanoparticles provide excellent biocompatibility;biodegradability; non-toxicity and water solubility without compromising their magnetictargeting. Nevertheless; no previous attempt has been reported to develop an in vivomagnetic drug delivery system with chitosan nanoparticles for magnetic resonance imaging(MRI) monitored targeting photodynamic therapy. In this study; magnetic targeting chitosannanoparticles (MTCNPs) were prepared and tailored as a drug delivery system and …,Nanotechnology,2009,106
Complex regulation of human androgen receptor expression by Wnt signaling in prostate cancer cells,X Yang; MW Chen; S Terry; F Vacherot; DL Bemis; J Capodice; J Kitajewski; A De La Taille; MC Benson; Y Guo; R Buttyan,Abstract β-Catenin; a component of the Wnt signaling pathway; is a coactivator of humanandrogen receptor (hAR) transcriptional activity. Here; we show that Wnt signaling alsoinfluences androgen-mediated signaling through its ability to regulate hAR mRNA andprotein in prostate cancer (PCa) cells. Three functional LEF-1/TCF binding sites lie within thepromoter of the hAR gene as shown by CHIP assays that captured β-catenin-boundchromatin from Wnt-activated LNCaP cells. Chimeric reporter vectors that use the hAR genepromoter to drive luciferase expression confirmed that these LEF-1/TCF binding elementsare able to confer robust upregulation of luciferase expression when stimulated by Wnt-1 orby transfection with β-catenin and that dominant-negative TCF or mutations within thedominant TCF-binding element abrogated the response. Semi-quantitative and real time …,Oncogene,2006,98
Photocatalytic degradation of gaseous toluene on Fe-TiO2 under visible light irradiation: A study on the structure; activity and deactivation mechanism,Song Sun; Jianjun Ding; Jun Bao; Chen Gao; Zeming Qi; Xiaoyan Yang; Bo He; Chengxiang Li,Abstract The Fe-TiO 2 photocatalysts synthesized by a sol–gel method have themesoporous structure with a narrow pore size distribution; large pore volume and highsurface area. The incorporated Fe 3+ substitutes the octahedrally coordinated Ti 4+ in theTiO 2 lattice to extend the absorption of TiO 2 to visible light region and promote theformation of electron–hole pair. Additionally; the separation and transportation efficiencyincrease with the doping of Fe 3+ increasing from 0.1% to 0.7%; while decreasesremarkably with the doping concentration increasing from 0.7% to 1.5%. The Fe-TiO 2shows excellent photocatalytic performance for toluene degradation under visible lightirradiation. The optimal Fe/Ti ratio is 0.7%. Partial deactivation of the photocatalytic activitywas observed after 20 consecutive reaction runs. From the in situ DRIFTS experiment; the …,Applied Surface Science,2012,95
A human-and male-specific protocadherin that acts through the wnt signaling pathway to induce neuroendocrine transdifferentiation of prostate cancer cells,Xuezhen Yang; Min-Wei Chen; Stephane Terry; Francis Vacherot; Dominique K Chopin; Debra L Bemis; Jan Kitajewski; Mitchell C Benson; Yinglu Guo; Ralph Buttyan,Protocadherin-PC (PCDH-PC) is a gene on the human Y chromosome that is selectivelyexpressed in apoptosis-and hormone-resistant human prostate cancer cells. The proteinencoded by PCDH-PC is cytoplasmically localized and has a small serine-rich domain in itsCOOH terminus that is homologous to the β-catenin binding site of classical cadherins.Variants of prostate cancer cells that express PCDH-PC have high levels of nuclear β-catenin protein and increased wnt-signaling. In this study; we show that transfection ofhuman prostate cancer cells (LNCaP) with PCDH-PC or culture of these cells in androgen-free medium (a condition that up-regulates PCDH-PC expression) activates wnt signaling asassessed by nuclear accumulation of β-catenin; increased expression of luciferase from areporter vector promoted by Tcf binding elements and increased expression of wnt target …,Cancer Research,2005,95
Fabrication and magnetic properties of Fe3O4 octahedra,Chaoquan Hu; Zhenghong Gao; Xiaorui Yang,Abstract Fe 3 O 4 octahedral structures have been synthesized by a simple hydrothermalprocess. X-ray diffraction; X-ray photoelectron spectra; scanning electron microscopy; andtransmission electron microscopy have been used to investigate the Fe 3 O 4 octahedra.The evolution of these octahedra was examined by FESEM and the mechanism was brieflydiscussed. The influence of glycine on the morphology development was experimentallyinvestigated and the results show that glycine molecules have a significant effect on theformation of Fe 3 O 4 octahedra. Magnetic properties of Fe 3 O 4 octahedra have beendetected by a vibrating sample magnetometer at room temperature; showing a relatively lowsaturation magnetization of 46 emu/g.,Chemical Physics Letters,2006,93
Robust model-based fault diagnosis for PEM fuel cell air-feed system,Jianxing Liu; Wensheng Luo; Xiaozhan Yang; Ligang Wu,In this paper; the design of a nonlinear observer-based fault diagnosis approach for polymerelectrolyte membrane (PEM) fuel cell air-feed systems is presented; taking into account afault scenario of sudden air leak in the air supply manifold. Based on a simplified nonlinearmodel proposed in the literature; a modified super-twisting (ST) sliding mode algorithm isemployed to the observer design. The proposed ST observer can estimate not only thesystem states; but also the fault signal. Then; the residual signal is computed online fromcomparisons between the oxygen excess ratio obtained from the system model and theobserver system; respectively. Equivalent output error injection using the residual signal isable to reconstruct the fault signal; which is critical in both fuel cell control design and faultdetection. Finally; the proposed observer-based fault diagnosis approach is implemented …,IEEE Transactions on Industrial Electronics,2016,91
Purification; characterization and biological activity on hepatocytes of a polysaccharide from Flammulina velutipes mycelium,Xiubing Pang; Wenbing Yao; Xiaobing Yang; Chen Xie; Dong Liu; Jian Zhang; Xiangdong Gao,Abstract A water-soluble polysaccharide named as FVP2 has been isolated fromFlammulina velutipes mycelium by hot water extraction; anion-exchange and gel-permeation chromatography. Structure study shows FVP2 is an α-(1→ 4)-d-glucan; with asingle α-d-glucan at the C-6 position approximately every seven residues; along the mainchain. The weight-average molecular weight is 1.89× 10 4 Da. Its biological activity wastested on hepatocytes. In vitro study indicates FVP2 can enhance the livability of primaryculture of mouse hepatocytes and decrease the release of ALT as well as apoptosis ofhepatocytes after CCl 4 intoxication.,Carbohydrate Polymers,2007,91
Induction of innate lymphoid cell-derived interleukin-22 by the transcription factor STAT3 mediates protection against intestinal infection,Xiaohuan Guo; Ju Qiu; Tony Tu; Xuanming Yang; Liufu Deng; Robert A Anders; Liang Zhou; Yang-Xin Fu,Summary Inhibitors of the transcription factor STAT3 target STAT3-dependent tumorigenesisbut patients often develop diarrhea from unknown mechanisms. Here we showed thatSTAT3 deficiency increased morbidity and mortality after Citrobacter rodentium infection withdecreased secretion of cytokines including IL-17 and IL-22 associated with the transcriptionfactor RORγt. Administration of the cytokine IL-22 was sufficient to rescue STAT3-deficientmice from lethal infection. Although STAT3 was required for IL-22 production in both innateand adaptive arms; by using conditional gene-deficient mice; we observed that STAT3expression in RORγt+ innate lymphoid cells (ILC3s); but not T cells; was essential for theprotection. However; STAT3 was required for RORγt expression in T helper cells; but not inILC3s. Activated STAT3 could directly bind to the Il22 locus. Thus; cancer therapies that …,Immunity,2014,90
Dense integration of graphene and sulfur through the soft approach for compact lithium/sulfur battery cathode,Hongfei Li; Xiaowei Yang; Xiaomin Wang; Meinan Liu; Fangmin Ye; Jin Wang; Yongcai Qiu; Wanfei Li; Yuegang Zhang,Abstract The main challenge for the lithium/sulfur battery is the significant capacity decayover cycling; as the result of the diffusion of lithium polysulfide and volume/morphologychanges of sulfur electrode. Porous graphene monoliths have been widely used to alleviatethese problems with its confined frameworks of porous structures and strong mechanicalproperty; however; bulk graphene materials were normally loosely packed; leading to thelow utilization efficiency of pores and unsatisfactory frustration in suppressing polysulfidedissolution/shuttle owing to their large and highly open pores. Herein; we report the denseintegration of sulfur and graphene (SG) gel through the soft approach to prepare a compactsulfur cathode with dense but porous structure. The compact SG structures could betterincrease the bonding between sulfur and graphene; immobilize sulfur and restrain the …,Nano Energy,2015,85
Experimental study on anticoagulant and antiplatelet aggregation activity of a chemically sulfated marine polysaccharide YCP,Fang Han; Wenbing Yao; Xiaobing Yang; Xiaoni Liu; Xiangdong Gao,Abstract A polysaccharide YCP was prepared from a marine filamentous fungusKeissleriella sp. YS4108; which exhibited as a molecular weight (M w) of 2.4× 10 3 kDa andits three sulfated derivatives (YCP-SL; YCP-SM and YCP-SH) were synthesized; the degreeof substitution (DS) of which were determined to be 0.13; 0.99 and 1.3; with the averagemolecular weight 0.64× 10 3; 0.57× 10 3 and 0.45× 10 3 kDa; respectively. Anticoagulantactivity and antiplatelet aggregation activity of these sulfated derivates were evaluated byactivated partial thromboplastin time (APTT); prothrombin time (PT); thrombin time (TT) andplatelet aggregation assay. The results showed that YCP sulfates significantly prolongedAPTT; TT and PT. The derivates showed no effects on thrombin in the presence or in theabsence of antithrombin III (AT III) or heparin cofactor II (HC II); while the derivates …,International journal of biological macromolecules,2005,83
Materials science & engineering,David Bahr,Since the 1950's there has been experimental evidence that structures on the sub-micronscale can exhibit strengths approaching the theoretical strength of the material. The generalhypothesis taken is that if dislocation sources are missing; then the nucleation; rather thanpropagation; of these defects must control deformation. In small samples it is possible tocreate nominally dislocation free solids; which provides a possible platform for bothfundamental measurements of materials properties as well as insight into designing strongstructures. Two common ways these extraordinary strengths are being examinedexperimentally are with nanoindentation and micro-machined structures such as tensile andcompression samples; both in ambient conditions as well as during in situ electronmicroscopy. However; defects other than existing dislocations are either un-avoidable …,*,2017,81
Evaluation of a new software version of the FloTrac/Vigileo (version 3.02) and a comparison with previous data in cirrhotic patients undergoing liver transplant surgery,Gianni Biancofiore; Lester AH Critchley; Anna Lee; Xiao-xing Yang; Lucia M Bindi; Massimo Esposito; Massimo Bisà; Luca Meacci; Roberto Mozzo; Franco Filipponi,BACKGROUND: Reliable cardiac output monitoring is particularly useful in the cirrhoticpatient undergoing liver transplant surgery; because cirrhosis of the liver is associated with avasodilated and high output state; known as cirrhotic cardiomyopathy; that challenges thereliability of pulse contour cardiac output technology. The contractility of the ventricle incirrhosis is impaired; which is tolerated even though the ejection fraction and cardiac outputare elevated because of the low peripheral resistance. However; during surgery the cirrhoticpatient can decompensate because of the physiological changes and stress of surgery.Recently; we showed that the FloTrac/Vigileo™ failed to perform in cirrhotic patientsundergoing transplant surgery. In response; the company upgraded their software.Therefore; we have assessed the accuracy and reliability of this new third-generation …,Anesthesia & Analgesia,2011,80
Studies on preparation of photosensitizer loaded magnetic silica nanoparticles and their anti-tumor effects for targeting photodynamic therapy,Zhi-Long Chen; Yun Sun; Peng Huang; Xiao-Xia Yang; Xing-Ping Zhou,Abstract As a fast developing alternative of traditional therapeutics; photodynamic therapy(PDT) is an effective; noninvasive; nontoxic therapeutics for cancer; senile maculardegeneration; and so on. But the efficacy of PDT was compromised by insufficient selectivityand low solubility. In this study; novel multifunctional silica-based magnetic nanoparticles(SMNPs) were strategically designed and prepared as targeting drug delivery system toachieve higher specificity and better solubility. 2; 7; 12; 18-Tetramethyl-3; 8-di-(1-propoxyethyl)-13; 17-bis-(3-hydroxypropyl) porphyrin; shorted as PHPP; was used asphotosensitizer; which was first synthesized by our lab with good PDT effects. Magnetitenanoparticles (Fe 3 O 4) and PHPP were incorporated into silica nanoparticles bymicroemulsion and sol–gel methods. The prepared nanoparticles were characterized by …,Nanoscale research letters,2009,73
Impact of Cd on growth and nutrient accumulation of different plant species,Yang Mingjie; Lin Xianyong; Yang Xiaoer,*,Yingyong Shengtai Xuebao (China),1998,72
Pullulan acetate nanoparticles prepared by solvent diffusion method for epirubicin chemotherapy,Hui-zhu Zhang; Fu-ping Gao; Ling-rong Liu; Xue-min Li; Zhi-min Zhou; Qi-qing Zhang,Abstract Pullulan acetate (PA) was synthesized by the reaction of pullulan with aceticanhydride in the presence of pyridine. PA was characterized by Fourier transform infrared(FT-IR) and proton nuclear magnetic resonance (1 H NMR). A solvent diffusion method wasemployed in the current work to prepare PA nanoparticles. This technique had someadvantages compared with other methods. The particle size increased from 185.7 nm to423.0 nm with the degree of acetylation increasing from 2.71 to 3.0. Drug-loaded PAnanopaticles were prepared for controlled release of epirubicin (EPI). The drug entrapmentand drug content increased with the degree substitution of PA increasing. EPI was releasedfrom the nanoparticles in a biphasic profile with a fast release rate in the first 10 h followedby a slow release in vitro. A higher cytotoxicity against KB cells was found for EPI-loaded …,Colloids and Surfaces B: Biointerfaces,2009,71
Secure XML publishing without information leakage in the presence of data inference,Xiaochun Yang; Chen Li,Abstract Recent applications are seeing an increasing need that publishing XML documentsshould meet precise security requirements. In this paper; we consider data-publishingapplications where the publisher specifies what information is sensitive and should beprotected. We show that if a partial document is published carelessly; users can usecommon knowledge (eg;" all patients in the same ward have the same disease") to infermore data; which can cause leakage of sensitive information. The goal is to protect suchinformation in the presence of data inference with common knowledge. We considercommon knowledge represented as semantic XML constraints. We formulate the processhow users can infer data using three types of common XML constraints. Interestingly; nomatter what sequences users follow to infer data; there is a unique; maximal document …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,71
A molecular mechanism for ibuprofen-mediated RhoA inhibition in neurons,John Dill; Ankur R Patel; Xiao-Li Yang; Robert Bachoo; Craig M Powell; Shuxin Li,Ibuprofen is a nonsteroidal anti-inflammatory drug widely used to relieve pain andinflammation in many disorders via inhibition of cyclooxygenases. Recently; we havedemonstrated that ibuprofen inhibits intracellular signaling of RhoA and promotes significantaxonal growth and functional recovery following spinal cord lesions in rodents. In addition;another study suggests that ibuprofen reduces generation of amyloid-β42 peptide viainactivation of RhoA signaling; although it may also regulate amyloid-β42 formation by directinhibition of the γ-secretase complex. The molecular mechanisms by which ibuprofeninhibits the RhoA signal in neurons; however; remain unclear. Here; we report that thetranscription factor peroxisome proliferator-activated receptor γ (PPARγ) is essential forcoupling ibuprofen to RhoA inhibition and subsequent neurite growth promotion in …,Journal of Neuroscience,2010,65
RR photons,Pablo G Cámara; Luis E Ibanez; Fernando Marchesano,Abstract Type II string compactifications to 4d generically contain massless Ramond-Ramond U (1) gauge symmetries. However there is no massless matter charged underthese U (1)'s; which makes a priori difficult to measure any physical consequences of theirexistence. There is however a window of opportunity if these RR U (1)'s mix with thehypercharge U (1) Y (hence with the photon). In this paper we study in detail differentavenues by which U (1) RR bosons may mix with D-brane U (1)'s. We concentrate on TypeIIA orientifolds and their M-theory lift; and provide geometric criteria for the existence of suchmixing; which may occur either via standard kinetic mixing or via the mass terms induced byStückelberg couplings. The latter case is particularly interesting; and appears whenever D-branes wrap torsional p-cycles in the compactification manifold. We also show that in the …,Journal of High Energy Physics,2011,64
Community paleoecology as a geologic tool: the Chinese Ashgillian-Eifelian (latest Ordovician through early Middle Devonian) as an example,Yu Wang,ABSTRACT For the ﬁrst time the faunal data for the Chinese Ashgillian through Eifelian inter-val are presented in a community; a community group; and community evolution context.These Chinese data are compared and contrasted with similar data for the same timeintervals available from other parts of the world. A brief review of the techniques ofcommunity analysis is provided. Emphasis is placed on the nature and preparation ofcommunity frameworks; and on the use of the community group concept in classifyingcommunities into a form more useful for purposes of basin analysis. We conclude thatcommunity evolution; under appropriate conditions of biogeographic isolation from manyother parts of the contemporary marine world; proceeded in China along lines similar tothose recognized elsewhere in the world. Our data are cast into a basin analysis …,*,1987,64
