Neural systems responding to degrees of uncertainty in human decision-making,Ming Hsu; Meghana Bhatt; Ralph Adolphs; Daniel Tranel; Colin F Camerer,Much is known about how people make decisions under varying levels of probability (risk).Less is known about the neural basis of decision-making when probabilities are uncertainbecause of missing information (ambiguity). In decision theory; ambiguity about probabilitiesshould not affect choices. Using functional brain imaging; we show that the level ofambiguity in choices correlates positively with activation in the amygdala and orbitofrontalcortex; and negatively with a striatal system. Moreover; striatal activity correlates positivelywith expected reward. Neurological subjects with orbitofrontal lesions were insensitive to thelevel of ambiguity and risk in behavioral choices. These data suggest a general neuralcircuit responding to degrees of uncertainty; contrary to decision theory.,Science,2005,1197
From “where” to “what”: distributed representations of brand associations in the human brain,Yu-Ping Chen; Leif D Nelson; Ming Hsu,Considerable attention has been given to the notion of a set of human-like characteristicsassociated with brands; referred to as “brand personality.” The authors combine newlyavailable machine learning techniques with functional neuroimaging data to characterizethe set of processes that give rise to these associations. The authors show that brandpersonality traits can be captured by the weighted activity across a widely distributed set ofbrain regions previously implicated in reasoning; imagery; and affective processing. That is;as opposed to being constructed through reflective processes; brand personality traits seemto exist a priori inside consumers' minds; such that the authors are able to predict what branda person is thinking about solely on the basis of the relationship between brand personalityassociations and brain activity. These findings represent an important advance in the …,Journal of Marketing Research,2015,26
Divergence; closed cycles and convergence in Scarf environments: Experiments in the dynamics of general equilibrium systems,Masayoshi Hirota; Ming Hsu; Charles R Plott; Brian W Rogers,Previous experimental work has demonstrated the power of the classical theory of economicdynamics. In particular; the models have proved to be accurate in predicting the principledirections of movement and orbit-like behavior in general equilibrium systems. Questions leftopen and addressed in this study are (i) do the markets necessarily converge to a uniqueinterior equilibrium or can markets exhibit the “explosive property” of instability and (ii)among the several variations of the classical model; which; if any; is most accurate inpredicting what is actually observed in experiments? Markets were created and studied inthe extreme environments identified by Scarf and Hirota. Such environments allow us tostudy features of market adjustments that are obscured by the complexity of naturallyoccurring markets. Two fundamental results are reported. First; the instability …,*,2005,24
Neuroeconomics: Illustrated by the study of ambiguity aversion,Colin F Camerer; Meghana Bhatt; Ming Hsu,It is an empirical fact that the natural sciences have progressed only when they have takensecondary principles as their point of departure; instead of trying to discover the essence ofthings.... Pure political economy has therefore a great interest in relying as little as possibleon the domain of psychology (quoted in Busino; 1964; p. xxiv (14)).,*,2007,22
The high availability of extreme events serves resource-rational decision-making,Falk Lieder; Ming Hsu; Thomas L Griffiths,Abstract Extreme events come to mind very easily and people overestimate their probabilityand overweight them in decisionmaking. In this paper we show that rational use of limitedcognitive resources can generate these'availability biases.'We hypothesize that availabilityhelps people to quickly make good decisions in very risky situations. Our analysis showsthat agents who decide by simulating a finite number of possible outcomes (sampling)should over-sample outcomes with extreme utility. We derive a cognitive strategy withconnections to fast-and-frugal heuristics; and we experimentally confirm its prediction that anevent's extremity increases the factor by which people overestimate its frequency. Our modelalso explains three context effects in decision-making under risk: framing effects; the Allaisparadox; and preference reversals.,Proceedings of the Annual Meeting of the Cognitive Science Society,2014,21
Dopamine modulates egalitarian behavior in humans,Ignacio Sáez; Lusha Zhu; Eric Set; Andrew Kayser; Ming Hsu,Summary Egalitarian motives form a powerful force in promoting prosocial behavior andenabling large-scale cooperation in the human species [1]. At the neural level; there issubstantial; albeit correlational; evidence suggesting a link between dopamine and suchbehavior [2; 3]. However; important questions remain about the specific role of dopamine insetting or modulating behavioral sensitivity to prosocial concerns. Here; using a combinationof pharmacological tools and economic games; we provide critical evidence for a causalinvolvement of dopamine in human egalitarian tendencies. Specifically; using the brainpenetrant catechol-O-methyl transferase (COMT) inhibitor tolcapone [4; 5]; we investigatedthe causal relationship between dopaminergic mechanisms and two prosocial concerns atthe core of a number of widely used economic games:(1) the extent to which individuals …,Current Biology,2015,19
Damage to dorsolateral prefrontal cortex affects tradeoffs between honesty and self-interest,Lusha Zhu; Adrianna C Jenkins; Eric Set; Donatella Scabini; Robert T Knight; Pearl H Chiu; Brooks King-Casas; Ming Hsu,Abstract Substantial correlational evidence suggests that prefrontal regions are critical tohonest and dishonest behavior; but causal evidence specifying the nature of thisinvolvement remains absent. We found that lesions of the human dorsolateral prefrontalcortex (DLPFC) decreased the effect of honesty concerns on behavior in economic gamesthat pit honesty motives against self-interest; but did not affect decisions when honestyconcerns were absent. These results point to a causal role for DLPFC in honest behavior.,Nature neuroscience,2014,18
Dissociable contribution of prefrontal and striatal dopaminergic genes to learning in economic games,Eric Set; Ignacio Saez; Lusha Zhu; Daniel E Houser; Noah Myung; Songfa Zhong; Richard P Ebstein; Soo Hong Chew; Ming Hsu,Abstract Game theory describes strategic interactions where success of players' actionsdepends on those of coplayers. In humans; substantial progress has been made at theneural level in characterizing the dopaminergic and frontostriatal mechanisms mediatingsuch behavior. Here we combined computational modeling of strategic learning with apathway approach to characterize association of strategic behavior with variations in thedopamine pathway. Specifically; using gene-set analysis; we systematically examinedcontribution of different dopamine genes to variation in a multistrategy competitive gamecaptured by (i) the degree players anticipate and respond to actions of others (belieflearning) and (ii) the speed with which such adaptations take place (learning rate). We foundthat variation in genes that primarily regulate prefrontal dopamine clearance—catechol-O …,Proceedings of the National Academy of Sciences,2014,17
Dopamine-system genes and cultural acquisition: the norm sensitivity hypothesis,Shinobu Kitayama; Anthony King; Ming Hsu; Israel Liberzon; Carolyn Yoon,Previous research in cultural psychology shows that cultures vary in the social orientationsof independence and interdependence. To date; however; little is known about how peoplemay acquire such global patterns of cultural behavior or cultural norms. Nor is it clear whatgenetic mechanisms may underlie the acquisition of cultural norms. Here; we draw on recentevidence for certain genetic variability in the susceptibility to environmental influences andpropose the norm sensitivity hypothesis; which holds that people acquire culture; and rulesof cultural behaviors; through reinforcement-mediated social learning processes. Onecorollary of the hypothesis is that the degree of cultural acquisition should be influenced bypolymorphic variants of genes involved in dopaminergic neural pathways; which have beenwidely implicated in reinforcement learning. We review initial evidence for these …,*,2016,12
Ambiguity-aversion in the Brain,Ming Hsu; Colin F Camerer,The distinction between “ambiguity” on the one hand; the “risk” on the other; has been a longstanding one in both economics; statistics; and probability theory. The former refers tosituations where the decision-maker can assign numerical probabilities to the states at hand;the latter to situations when the various states of nature cannot be expressed in terms of“objective” probabilities. This is also the problem of multiple prior distributions in statistics;especially Bayesian and neo-Bayesian methods. Indeed; Bayesian methods have oftenbeen criticized on grounds that they does not provide an intuitively appealing method tohandle non-unique prior distributions 1. There are many; however; who think the distinctionto be more heat than light—that ambiguity doesn't matter—that is; holding beliefs constant;the amount of evidence used to form the belief is (or should be) irrelevant. On the other …,Academy of Behavioral Finance & Economics,2004,12
Financial errors in dementia: Testing a neuroeconomic conceptual framework,Winston Chiong; Ming Hsu; Danny Wudka; Bruce L Miller; Howard J Rosen,Financial errors by patients with dementia can have devastating personal and familyconsequences. We developed and evaluated a neuroeconomic conceptual framework forunderstanding financial errors across different dementia syndromes; using a systematic;retrospective; blinded chart review of demographically-balanced cohorts of patients withAlzheimer's disease (AD; n= 100) and behavioral variant frontotemporal dementia (bvFTD;n= 50). Reviewers recorded specific reports of financial errors according to a conceptualframework identifying patient cognitive and affective characteristics; and contextualinfluences; conferring susceptibility to each error. Specific financial errors were reported for49% of AD and 70% of bvFTD patients (p= 0.012). AD patients were more likely than bvFTDpatients to make amnestic errors (p< 0.001); while bvFTD patients were more likely to …,Neurocase,2014,11
The neuroscience of consumer choice,Ming Hsu; Carolyn Yoon,We review progress and challenges relating to scientific and applied goals of the nascentfield of consumer neuroscience. Scientifically; substantial progress has been made inunderstanding the neurobiology of choice processes. Further advances; however; requireresearchers to begin clarifying the set of developmental and cognitive processes that shapeand constrain choices. First; despite the centrality of preferences in theories of consumerchoice; we still know little about where preferences come from and the underlyingdevelopmental processes. Second; the role of attention and memory processes in consumerchoice remains poorly understood; despite importance ascribed to them in interpreting datafrom the field. The applied goal of consumer neuroscience concerns our ability to translatethis understanding to augment prediction at the population level. Although the use of …,*,2015,10
Neuroeconomics of decision-making in the aging brain: the example of long-term care,Ming Hsu; Hung-Tai Lin; Paul E McNamara,Purpose–Long-term care (LTC) services assist people with limitations in the ability toperform activities of daily living (ADLs) as a result of chronic illness or disabilities. Wediscuss possible behavioral explanations for the under-purchasing of LTC insurance; aswell as the current state of knowledge on the neural mechanisms behind these behavioralfactors. Findings/approach–Ideas from behavioral economics are discussed; including risk-seeking over losses; ambiguity-preferring over losses; hyperbolic discounting; and the effectof the aging process on the underlying neural mechanisms supporting these decisions. Wefurther emphasize the role of age; as aging is a highly heterogeneous process. It isassociated with changes in both brain tissue as well as cognitive abilities; and both arecharacterized by large individual differences. Therefore; understanding the neural …,*,2008,9
Overrepresentation of extreme events in decision making reflects rational use of cognitive resources.,Falk Lieder; Thomas L Griffiths; Ming Hsu,Abstract People's decisions and judgments are disproportionately swayed by improbablebut extreme eventualities; such as terrorism; that come to mind easily. This article exploreswhether such availability biases can be reconciled with rational information processing bytaking into account the fact that decision makers value their time and have limited cognitiveresources. Our analysis suggests that to make optimal use of their finite time decisionmakers should overrepresent the most important potential consequences relative to lessimportant; put potentially more probable; outcomes. To evaluate this account; we derive andtest a model we call utility-weighted sampling. Utility-weighted sampling estimates theexpected utility of potential actions by simulating their outcomes. Critically; outcomes withmore extreme utilities have a higher probability of being simulated. We demonstrate that …,Psychological review,2018,6
Delay discounting; genetic sensitivity; and leukocyte telomere length,Onn-Siong Yim; Xing Zhang; Idan Shalev; Mikhail Monakhov; Songfa Zhong; Ming Hsu; Soo Hong Chew; Poh San Lai; Richard P Ebstein,Abstract In a graying world; there is an increasing interest in correlates of aging; especiallythose found in early life. Leukocyte telomere length (LTL) is an emerging marker of aging atthe cellular level; but little is known regarding its link with poor decision making that oftenentails being overly impatient. Here we investigate the relationship between LTL and thedegree of impatience; which is measured in the laboratory using an incentivized delaydiscounting task. In a sample of 1;158 Han Chinese undergraduates; we observe thatsteeper delay discounting; indexing higher degree of impatience; is negatively associatedwith LTL. The relationship is robust after controlling for health-related variables; as well asrisk attitude—another important determinant of decision making. LTL in females is moresensitive to impatience than in males. We then asked if genes possibly modulate the …,Proceedings of the National Academy of Sciences,2016,6
Computational substrates of social norm enforcement by unaffected third parties,Songfa Zhong; Robin Chark; Ming Hsu; Soo Hong Chew,Abstract Enforcement of social norms by impartial bystanders in the human species revealsa possibly unique capacity to sense and to enforce norms from a third party perspective.Such behavior; however; cannot be accounted by current computational models based onan egocentric notion of norms. Here; using a combination of model-based fMRI and thirdparty punishment games; we show that brain regions previously implicated in egocentricnorm enforcement critically extend to the important case of norm enforcement by unaffectedthird parties. Specifically; we found that responses in the ACC and insula cortex werepositively associated with detection of distributional inequity; while those in the anteriorDLPFC were associated with assessment of intentionality to the violator. Moreover; duringsanction decisions; the subjective value of sanctions modulated activity in both vmPFC …,NeuroImage,2016,5
From genes to behavior: placing cognitive models in the context of biological pathways,Ignacio Saez; Eric Set; Ming Hsu,Connecting neural mechanisms of behavior to their underlying molecular and geneticsubstrates has important scientific and clinical implications. However; despite rapid growthin our knowledge of the functions and computational properties of neural circuitry underlyingbehavior in a number of important domains; there has been much less progress in extendingthis understanding to their molecular and genetic substrates; even in an age marked byexploding availability of genomic data. Here we describe recent advances in analyticalstrategies that aim to overcome two important challenges in dealing with the complexrelationship between genes and behavior:(i) reducing distal behavioral phenotype to a set ofmolecular; physiological; and neural processes that render them closer to the actions ofgenetic forces; and (ii) striking a balance between the competing demands of discovery …,Frontiers in neuroscience,2014,5
Neuroeconomic measures of social decision-making across the lifespan,Lusha Zhu; Daniel Walsh; Ming Hsu,Social and decision-making deficits are often the first symptoms of a striking number ofneurodegenerative disorders associated with aging. These includes not only disorders thatdirectly impact dopamine and basal ganglia; such as Parkinson's disorder; but alsodegeneration in which multiple neural pathways are affected over the course of normalaging. The impact of such deficits can be dramatic; as in cases of financial fraud; whichdisproportionately affect the elderly. Unlike memory and motor impairments; however; whichare readily recognized as symptoms of more serious underlying neurological conditions;social and decision-making deficits often do not elicit comparable concern in the elderly.Furthermore; few behavioral measures exist to quantify these deficits; due in part to ourlimited knowledge of the core cognitive components or their neurobiological substrates …,Frontiers in neuroscience,2012,5
Three correlated essays on the neural foundations of economic decision-making,Ming Hsu,Abstract Paradoxes are useful in science because they hint at errors or inconsistencies inour models of the world. In this thesis; I study two well-known and long-standing paradoxesin decision theory from the point of view of neuroeconomics. This approach combines toolsand ideas from economics and neuroscience; and tries to understand the neuralmechanisms and the causal structures behind these paradoxes.,*,2007,5
Neuromarketing: Inside the mind of the consumer,Ming Hsu,Managers today are under tremendous pressure to uncover factors driving customers'attitudes and behavior. Unfortunately; traditional methods suffer from well-known limitationsand have remained largely unchanged since their introduction decades ago. As a result;there is growing interest in brain-based approaches that may enable managers to directlyprobe customers' underlying thoughts; feelings; and intentions. This article provides practicalguidance to managers on using these tools; focusing on two distinct uses: validation ofexisting insights and generation of novel insights. Throughout; we emphasize that managersshould see traditional and brain-based approaches as complements; rather than substitutes;in understanding customers.,California Management Review,2017,4
Neuroeconomic dissociation of semantic dementia and behavioural variant frontotemporal dementia,Winston Chiong; Kristie A Wood; Alexander J Beagle; Ming Hsu; Andrew S Kayser; Bruce L Miller; Joel H Kramer,Abstract Many neuropsychiatric disorders are marked by abnormal behaviour and decision-making; but prevailing diagnostic criteria for such behaviours are typically qualitative andoften ambiguous. Behavioural variant frontotemporal dementia and semantic variant primaryprogressive aphasia (also called semantic dementia) are two clinical variants offrontotemporal dementia with overlapping but distinct anatomical substrates known to causeprofound changes in decision-making. We investigated whether abnormal decision-makingin these syndromes could be more precisely characterized in terms of dissociableabnormalities in patients' subjective evaluations of valence (positive versus negativeoutcome) and of time (present versus future outcome). We presented 28 patients withbehavioural variant frontotemporal dementia; 14 patients with semantic variant primary …,Brain,2015,4
Behavioral variant frontotemporal dementia patients do not succumb to the Allais paradox,Maxime Bertoux; Florian Cova; Mathias Pessiglione; Ming Hsu; Bruno Dubois; Sacha Bourgeois-Gironde,The Allais Paradox represents on of the earliest empirical challenges to normative models ofdecision-making; and suggests that choices in one part of a gamble may depend on thepossible outcome in another; independent; part of the gamble—a violation of the so-called“independence axiom”. To account for Allaisian behavior; one well-known class of modelspropose that individuals' choices are influenced not only by possible outcomes resultingfrom one's choices; but also the anticipation of regret for foregone options. Here we test theregret hypothesis using a population of patients with behavioral variant frontotemporaldementia (bvFTD); a clinical population known to present ventromedial prefrontal cortexdysfunctions and associated with impaired regret processing in previous studies of decision-making. Compared to behavior of matched controls and Alzheimer (AD) patients that has …,Frontiers in neuroscience,2014,4
The Hunger for Knowledge: Neural Correlates of Curiosity,Min Jeong Kang; Ming Hsu; Ian M Krajbich; George Loewenstein; Samuel M McClure; Joseph Tao-yi Wang; Colin F Camerer,Abstract Curiosity; which has been described as a 'hunger for knowledge'; plays a criticalrole in the acquisition of information; but its underlying mechanisms are not well understood.We explored the neural correlates of curiosity by scanning subjects with fMRI while theyread trivia questions which create a mixture of high and low curiosity. We tested oneimplication of out initial findings in a follow-up study in which we measured subjects' pupildilation and tested memory recall. When subjects are more curious; there is more activity incaudate regions known to be involved in anticipated reward; and their pupils dilate more justbefore receiving answers. Both effects are consistent with the hypothesis that curiosityreflects a hunger for information. Our fMRI results also showed that curiosity increasesactivity in memory areas such as parahippocampal gyrus (PHG) and left inferior frontal …,Unpublished manuscript. Division of Humanities and Social Sciences; California Institute of Technology. Retrieved from https://www. researchgate. net/profile/Joseph_Wang6/publication/242568025_The_Hunger_for_Knowledge_Ne ural_Correlates_of_Curiosity/links/0046352ce084a8d668000000. pdf,2006,3
Decision making under uncertainty,Kerstin Preuschoff; Peter NC Mohr; Ming Hsu,In our everyday life we often have to make decisions with uncertain consequences; forinstance in the context of investment decisions. To successfully cope with these situations;the nervous system has to be able to estimate; represent; and eventually resolve uncertaintyat various levels. That is; not only are there different forms of uncertainty with differentconsequences for behavior and learning but research indicates that the processing ofuncertainty highly depends on situation and context. The present research topic includesboth review and original research articles that seek to shed light on the neural processesunderlying decision making under uncertainty with a particular focus on situational andcontextual influences.First; Bland and Schaefer (2012) review the diverse (and oftenoverlapping) definitions of uncertainty. They identify three main forms—expected …,Frontiers in neuroscience,2013,2
Neural mechanisms of updating under reducible and irreducible uncertainty,Kenji Kobayashi; Ming Hsu,Adaptive decision making depends on an agent9s ability to use environmental signals toreduce uncertainty. However; because of multiple types of uncertainty; agents must take intoaccount not only the extent to which signals violate prior expectations but also whetheruncertainty can be reduced in the first place. Here we studied how human brains of bothsexes respond to signals under conditions of reducible and irreducible uncertainty. We showbehaviorally that subjects9 value updating was sensitive to the reducibility of uncertainty;and could be quantitatively characterized by a Bayesian model where agents ignoreexpectancy violations that do not update beliefs or values. Using fMRI; we found that neuralprocesses underlying belief and value updating were separable from responses toexpectancy violation; and that reducibility of uncertainty in value modulated connections …,Journal of Neuroscience,2017,1
Dissociable Contributions of Imagination and Willpower to the Malleability of Human Patience,Adrianna C Jenkins; Ming Hsu,The ability to exercise patience is important for human functioning. Although it is known thatpatience can be promoted by using top-down control; or willpower; to override impatientimpulses; patience is also malleable—in particular; susceptible to framing effects—in waysthat are difficult to explain using willpower alone. So far; the mechanisms underlying framingeffects on patience have been elusive. We investigated the role of imagination in theseeffects. In a behavioral experiment (Experiment 1); a classic framing manipulation(sequence framing) increased self-reported and independently coded imagination duringintertemporal choice. In an investigation of neural responses during decision making(Experiment 2); sequence framing increased the extent to which patience was related toactivation in brain regions associated with imagination; relative to activation in regions …,Psychological science,2017,1
Cognitive neuroscience of honesty and deception: a signaling framework,Adrianna C Jenkins; Lusha Zhu; Ming Hsu,Understanding the neural basis of human honesty and deception has enormous potentialscientific and practical value. However; past approaches; largely developed out of studieswith forensic applications in mind; are increasingly recognized as having seriousmethodological and conceptual shortcomings. Here we propose to address thesechallenges by drawing on so-called signaling games widely used in game theory andethology to study behavioral and evolutionary consequences of information transmissionand distortion. In particular; by separating and capturing distinct adaptive problems facingsignal senders and receivers; signaling games provide a framework to organize the complexset of cognitive processes associated with honest and deceptive behavior. Furthermore; thisframework provides novel insights into feasibility and practical challenges of …,*,2016,1
Learning in games: neural computations underlying strategic learning,Ming Hsu; Lusha Zhu,The past decade has witnessed an unprecedented growth in our understanding of the brainbasis of economic decision-making. In particular; research is uncovering not only thelocation of brain regions where certain processes are taking place; but also the nature of the(economically meaningful) latent variables that are represented; as well as how they relateto behavior. This transition from understanding where to how economic decisions are beingmade in the brain has been integral to relating neural processes to economic models ofbehavior. This progress; however; has been notably uneven. Neuroeconomic studies ofindividual decision-making; such as those involve risk and time preferences; have thebenefit of drawing on decades of work from neuroscientific studies of animal behavior.Critically; many of these findings are based on quantitative; computational approach that …,Recherches économiques de Louvain,2012,1
Spatial gradient in activity within the insula reflects dissociable neural mechanisms underlying context-dependent advantageous and disadvantageous inequity aver...,Xiaoxue Gao; Hongbo Yu; Ignacio Saez; Philip R Blue; Lusha Zhu; Ming Hsu; Xiaolin Zhou,Humans are capable of integrating social contextual information into decision-makingprocesses to adjust their attitudes towards inequity. This context-dependency emerges bothwhen individual is better off (ie advantageous inequity) and worse off (ie disadvantageousinequity) than others. It is not clear however; whether the context-dependent processing ofadvantageous and disadvantageous inequity rely on dissociable or shared neuralmechanisms. Here; by combining an interpersonal interactive game that gave rise tointerpersonal guilt and different versions of the dictator games that enabled us tocharacterize individual weights on aversion to advantageous and disadvantageous inequity;we investigated the neural mechanisms underlying the two forms of inequity aversion in theinterpersonal guilt context. In each round; participants played a dot-estimation task with …,bioRxiv,2018,*
